,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 19, 2011 Ancient City of Damascus Syrian Arab Republic C 20","(0.34444444444444444, 'conservation standards use traditional materials improved controlling illegal developments')","(0.2955974842767296, 'zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved controlling illegal developments n')","(0.32692307692307687, 'conservation report implementation above examination')","(0.3679245283018868, 'preparation adoption conservation management plan submitted world heritage centre review advisory bodies n')","(0.45945945945945943, 'preparation adoption conservation management plan submitted world heritage')","(0.2967741935483871, 'including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved')","(0.36, 'faisal street area medhat')","(0.352112676056338, 'urgent need preparation adoption conservation management plan submitted')","(0.32183908045977017, 'also reiterates urgent need preparation adoption conservation management plan submitted')","(0.3589743589743589, 'february nbsp state conservation report')","(0.33870967741935487, 'adoption conservation management plan submitted world heritage')","(0.3194444444444444, 'zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved controlling illegal')","(0.2857142857142857, 'party including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved')","(0.34285714285714286, 'zone modification abandonment deleterious developments improvement conservation standards use traditional')","(0.36585365853658536, 'developments improvement conservation standards use traditional materials improved')","(0.34285714285714286, 'heritage centre february nbsp state conservation report implementation')","(0.33333333333333337, 'establishment buffer zone modification abandonment deleterious developments improvement')","(0.3076923076923077, 'controlling illegal developments n reiterates request state party')","(0.3650793650793651, 'nbsp state conservation report implementation above examination')","(0.32098765432098764, 'preparation adoption conservation management plan submitted world heritage centre')","(0.34523809523809523, 'bodies detailed information four rehabilitation projects redesign king faisal street')","(0.33333333333333337, 'conservation standards use traditional materials improved controlling')","(0.28767123287671237, 'proposals state party including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use')","(0.30434782608695654, 'cultural centre work undertaken n also reiterates urgent need preparation adoption conservation management plan')","(0.2875, 'whc com n recalling decision com adopted session brasilia n')","(0.3421052631578947, 'conservation management plan submitted world heritage centre review advisory')","(0.4, 'zone modification abandonment deleterious developments improvement conservation standards use traditional')","(0.32369942196531787, 'party including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved controlling')","(0.3229813664596274, 'party including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use traditional materials improved')","(0.34931506849315064, 'including establishment buffer zone modification abandonment deleterious developments improvement conservation standards use traditional materials')","(0.4666666666666667, 'improvement conservation standards use traditional materials')","(0.27835051546391754, 'recalling decision com adopted session brasilia n takes note proposals state party')","(0.3191489361702128, 'proposals state party including establishment buffer zone modification abandonment deleterious')"
"Jun 19, 2011 Archaeological Site of Carthage Tunisia C 37","(0.3369565217391305, 'conservation property n welcomes cancellation decrees declassification within archaeological')","(0.2733333333333333, 'submit world heritage centre february updated report state conservation property implementation recommendations consideration world heritage committee')","(0.33333333333333337, 'conservation property progress regarding plan')","(0.3495145631067961, 'assess state conservation property progress regarding plan protection enhancement n also requests state')","(0.3970588235294118, 'provided state conservation property n welcomes cancellation decrees')","(0.2836879432624113, 'submitted state party information provided state conservation property n welcomes cancellation decrees declassification within archaeological')","(0.3448275862068966, 'plan protection enhancement n')","(0.4181818181818182, 'indicate legal framework protection n urges state party')","(0.3918918918918919, 'integrity property indicate legal framework protection n urges state party')","(0.4285714285714286, 'mission assess state conservation property')","(0.32258064516129037, 'state conservation property progress regarding plan protection')","(0.29323308270676696, 'world heritage centre february updated report state conservation property implementation recommendations consideration world heritage')","(0.32191780821917804, 'submitted state party information provided state conservation property n welcomes cancellation decrees declassification within archaeological park')","(0.28431372549019607, 'february updated report state conservation property implementation recommendations consideration world')","(0.3764705882352941, 'report state conservation property implementation recommendations consideration world')","(0.33333333333333337, 'carthage sidi bou said n encourages state party')","(0.3880597014925373, 'framework protection n urges state party complete adopt')","(0.328125, 'implement plan protection enhancement property initiated since n')","(0.43333333333333335, 'provided state conservation property n welcomes cancellation')","(0.32608695652173914, 'conservation property n welcomes cancellation decrees declassification within archaeological')","(0.31958762886597936, 'conservation property n welcomes cancellation decrees declassification within archaeological park')","(0.44285714285714284, 'conservation property n welcomes cancellation decrees declassification')","(0.2971014492753623, 'information provided state conservation property n welcomes cancellation decrees declassification within archaeological park carthage sidi')","(0.29323308270676696, 'world heritage centre february updated report state conservation property implementation recommendations consideration world heritage')","(0.3375, 'progress regarding plan protection enhancement n also requests state party')","(0.3936170212765957, 'report state conservation property implementation recommendations consideration world heritage')","(0.36708860759493667, 'implement plan protection enhancement property initiated since n requests state')","(0.28776978417266186, 'n takes note report submitted state party information provided state conservation property n welcomes cancellation decrees declassification')","(0.32307692307692304, 'n urges state party complete adopt implement plan protection enhancement property initiated since n requests state')","(0.3308270676691729, 'information provided state conservation property n welcomes cancellation decrees declassification within archaeological park carthage')","(0.46808510638297873, 'provided state conservation property n welcomes')","(0.2773109243697479, 'information provided state conservation property n welcomes cancellation decrees declassification within archaeological')","(0.34523809523809523, 'conservation property progress regarding plan protection enhancement n also requests')"
"Jun 19, 2011 Archaeological Site of Cyrene Libyan Arab Jamahiriya C 190","(0.33720930232558144, 'conservation property implementation decision com examination world heritage committee')","(0.282258064516129, 'h aving examined document whc com add n recalling decision com adopted session brasilia n notes')","(0.36734693877551017, 'conservation report christchurch seville brasilia')","(0.31304347826086953, 'centre february report state conservation property implementation decision com examination world heritage committee')","(0.3648648648648649, 'submitted state conservation report christchurch seville brasilia sessions')","(0.2755905511811023, 'submit world heritage centre february report state conservation property implementation decision com examination world heritage')","(0.36, 'h aving examined document')","(0.3484848484848485, 'earlier decisions measures recommended joint world heritage centre')","(0.31707317073170727, 'party implement earlier decisions measures recommended joint world heritage centre')","(0.39583333333333337, 'submitted state conservation report christchurch')","(0.32835820895522383, 'state conservation property implementation decision com examination')","(0.2857142857142857, 'recalling decision com adopted session brasilia n notes state party submitted state conservation report')","(0.2790697674418605, 'h aving examined document whc com add n recalling decision com adopted session brasilia n notes')","(0.33783783783783783, 'brasilia sessions n u rges state party implement earlier decisions')","(0.3513513513513513, 'report state conservation property implementation decision com examination')","(0.3157894736842105, 'conservation property implementation decision com examination world heritage')","(0.33783783783783783, 'report state conservation property implementation decision com examination')","(0.29729729729729726, 'centre february report state conservation property implementation decision')","(0.34328358208955223, 'state conservation property implementation decision com examination')","(0.34883720930232553, 'conservation property implementation decision com examination world heritage committee')","(0.2808988764044944, 'report state conservation property implementation decision com examination world heritage')","(0.3880597014925373, 'state conservation property implementation decision com examination')","(0.2844827586206896, 'world heritage committee n h aving examined document whc com add n recalling decision com')","(0.27826086956521734, 'n h aving examined document whc com add n recalling decision com adopted session')","(0.275, 'add n recalling decision com adopted session brasilia n notes')","(0.39534883720930236, 'conservation property implementation decision com examination world heritage committee')","(0.29333333333333333, 'committee n h aving examined document whc com add n')","(0.28148148148148144, 'whc com add n recalling decision com adopted session brasilia n notes state party submitted state conservation')","(0.2692307692307693, 'whc com add n recalling decision com adopted session brasilia n notes state party submitted state')","(0.28712871287128716, 'world heritage committee n h aving examined document whc com add n recalling decision')","(0.4137931034482759, 'february report state conservation property implementation')","(0.27835051546391754, 'recalling decision com adopted session brasilia n notes state party submitted state')","(0.2647058823529411, 'heritage centre icomos mission january n requests state party submit')"
"Jun 19, 2011 Archaeological Ruins at Moenjodaro Pakistan C 138","(0.3023255813953488, 'centre advisory bodies refrain undertaking major archaeological interventions strategy')","(0.29729729729729726, 'archaeological remains completed n develop archaeological research strategy including non invasive methods investigation consultation world heritage')","(0.38636363636363635, 'protect areas archaeological interest within')","(0.326530612244898, 'archaeological interventions strategy place n provide full report measures put place protect areas')","(0.3783783783783784, 'site presentation interpretation programme suggested world heritage centre')","(0.2962962962962963, 'october n requests state party to n update risk management plan n submit topographic map')","(0.5, 'n update risk management')","(0.33766233766233766, 'implementation recommendations contained report october world heritage centre')","(0.3214285714285714, 'n develop site presentation interpretation programme suggested world heritage centre')","(0.34615384615384615, 'made implementation recommendations contained report')","(0.30434782608695654, 'progress made implementation recommendations contained report october')","(0.2966101694915254, 'area subject potential extension property encroachments land uses n develop site presentation interpretation programme')","(0.29861111111111116, 'investigation consultation world heritage centre advisory bodies refrain undertaking major archaeological interventions strategy place n provide')","(0.3146067415730337, 'invasive methods investigation consultation world heritage centre advisory bodies refrain')","(0.3466666666666667, 'progress made implementation recommendations contained report october world')","(0.33333333333333337, 'archaeological remains completed n develop archaeological research strategy')","(0.29850746268656714, 'decision com adopted session seville n notes comprehensive')","(0.3055555555555556, 'interpretation programme suggested world heritage centre icomos reactive')","(0.38888888888888884, 'potential extension property encroachments land uses n')","(0.3414634146341463, 'implementation recommendations contained report october world heritage centre post')","(0.3555555555555555, 'investigation consultation world heritage centre advisory bodies refrain undertaking major')","(0.3793103448275862, 'interest within property boundaries area subject potential')","(0.2931034482758621, 'whc com n recalling decision com adopted session seville n notes comprehensive master plan prepared')","(0.29268292682926833, 'submit world heritage centre february detailed report progress made implementation recommendations contained report october')","(0.36250000000000004, 'full report measures put place protect areas archaeological interest within')","(0.36363636363636365, 'n develop site presentation interpretation programme suggested world heritage')","(0.32499999999999996, 'potential extension property encroachments land uses n develop site presentation')","(0.3055555555555556, 'interest within property boundaries area subject potential extension property encroachments land uses n develop site presentation interpretation')","(0.27692307692307694, 'examined document whc com n recalling decision com adopted session seville n notes comprehensive master plan')","(0.31666666666666665, 'possible extension property dry core drilling determine extent archaeological remains completed n develop archaeological')","(0.3695652173913043, 'assessment mission property october n requests')","(0.2828282828282829, 'notes appreciation efforts made director general unesco address emergency situation august flooding')","(0.31868131868131866, 'interest within property boundaries area subject potential extension property encroachments')"
"Jun 19, 2011 Archaeological Areas of Pompei, Herculaneum and Torre Annunziata Italy C 829","(0.3287671232876712, 'centre detailed information project review n requests state party')","(0.3032258064516129, 'mission property collapses november compromise outstanding universal value property nevertheless underlying conditions could threaten outstanding universal')","(0.3513513513513513, 'conservation management property to n')","(0.35238095238095235, 'effective programme conservation maintenance property n requests state party submit world heritage centre')","(0.36363636363636365, 'programme conservation maintenance property n requests state party')","(0.30000000000000004, 'notes conclusions joint world heritage centre icomos advisory mission property collapses november compromise outstanding universal')","(0.5, 'use plan risk management')","(0.33333333333333337, 'urges state party address underlying conditions contributed collapses')","(0.31034482758620685, 'property november urges state party address underlying conditions contributed collapses')","(0.38235294117647056, 'drainage systems n identify secure')","(0.34615384615384615, 'backlog conservation management property to n review')","(0.3125, 'nola pompei portion property also urges state party provide world heritage centre detailed information')","(0.31333333333333335, 'state conservation property implementation above examination world heritage committee session view considering case confirmation ascertained potential')","(0.3258426966292135, 'underlying conditions could threaten outstanding universal value remain unaddressed short')","(0.40909090909090906, 'programme conservation maintenance property n requests state party')","(0.32432432432432434, 'heritage centre february report state conservation property implementation')","(0.36, 'state conservation property implementation above examination world heritage')","(0.32835820895522383, 'plan well provisions regulate control development vicinity property')","(0.38095238095238093, 'di nola pompei portion property also urges')","(0.3176470588235294, 'state conservation property implementation above examination world heritage committee')","(0.3472222222222222, 'centre detailed information project review n requests state party inform')","(0.3846153846153846, 'conditions use property including updating geographic information')","(0.3129251700680272, 'property collapses november compromise outstanding universal value property nevertheless underlying conditions could threaten outstanding universal')","(0.28695652173913044, 'large concrete building north porta di nola pompei portion property also urges state party')","(0.31958762886597936, 'compromise outstanding universal value property nevertheless underlying conditions could threaten')","(0.3647058823529412, 'state conservation property implementation above examination world heritage committee')","(0.3655913978494624, 'state conservation property implementation above examination world heritage committee session')","(0.3037037037037037, 'di nola pompei portion property also urges state party provide world heritage centre detailed information project review')","(0.30714285714285716, 'adequate qualified staff contractors restoration maintenance property n develop implement measures monitor conditions use property including')","(0.38211382113821135, 'restoration maintenance property n develop implement measures monitor conditions use property including updating geographic')","(0.4629629629629629, 'programme conservation maintenance property n requests')","(0.27835051546391754, 'urgency n also notes conclusions joint world heritage centre icomos advisory mission')","(0.32183908045977017, 'property november urges state party address underlying conditions contributed collapses')"
"Jun 19, 2011 Bam and its Cultural Landscape Islamic Republic of Iran C 1208","(0.32499999999999996, 'n also encourages international community continue supporting conservation works')","(0.3112582781456954, 'control construction protection landscape n also encourages international community continue supporting conservation works required technical expertise')","(0.3829787234042553, 'conservation works required technical expertise')","(0.38613861386138615, 'current state conservation evaluate whether desired state conservation achieved n also requests state')","(0.38235294117647056, 'supporting conservation works required technical expertise funding n')","(0.2857142857142857, 'encourages continue efforts particularly regard control construction protection landscape n also encourages international community continue')","(0.3928571428571429, 'party s sustained commitment')","(0.3380281690140845, 'protection landscape n also encourages international community continue')","(0.34782608695652173, 'control construction protection landscape n also encourages international community continue')","(0.3783783783783784, 'desired state conservation achieved n')","(0.35593220338983056, 'control construction protection landscape n also encourages')","(0.3435114503816794, 'encourages continue efforts particularly regard control construction protection landscape n also encourages international community')","(0.3178807947019867, 'party s sustained commitment conservation protection property encourages continue efforts particularly regard control construction protection landscape')","(0.29032258064516125, 'particularly regard control construction protection landscape n also encourages international')","(0.37037037037037035, 'sustained commitment conservation protection property encourages continue efforts')","(0.32499999999999996, 'conservation protection property encourages continue efforts particularly regard')","(0.3972602739726028, 'control construction protection landscape n also encourages international')","(0.3375, 'conservation protection property encourages continue efforts particularly regard')","(0.43939393939393945, 's sustained commitment conservation protection property encourages')","(0.3295454545454546, 'conservation protection property encourages continue efforts particularly regard control')","(0.3168316831683168, 'conservation protection property encourages continue efforts particularly regard control construction')","(0.4461538461538461, 'construction protection landscape n also encourages international')","(0.3448275862068966, 's sustained commitment conservation protection property encourages continue efforts particularly regard control construction protection landscape')","(0.3308270676691729, 'construction protection landscape n also encourages international community continue supporting conservation works required technical')","(0.29702970297029707, 'sustained commitment conservation protection property encourages continue efforts particularly regard')","(0.3975903614457831, 'control construction protection landscape n also encourages international community')","(0.40594059405940597, 'conservation protection property encourages continue efforts particularly regard control construction')","(0.339622641509434, 'control construction protection landscape n also encourages international community continue supporting conservation works required technical expertise funding')","(0.3307692307692308, 'n takes note state party s sustained commitment conservation protection property encourages continue efforts particularly regard')","(0.4, 's sustained commitment conservation protection property encourages continue efforts particularly regard control construction protection')","(0.5, 'desired state conservation achieved n also')","(0.2857142857142857, 'particularly regard control construction protection landscape n also encourages international community continue')","(0.32608695652173914, 'control construction protection landscape n also encourages international community continue')"
"Jun 19, 2011 Changes to Names of Properties Inscribed on the World Heritage List  Chitwan National Park","(0.31506849315068497, 'becomes chitwan national park english parc national de chitwan')","(0.217741935483871, 'nbsp examined document whc com n nbsp approves proposed name change royal chitwan national park proposed')","(0.2647058823529411, 'committee n nbsp examined document')","(0.29000000000000004, 'proposed name change royal chitwan national park proposed nepalese authorities name property becomes')","(0.28125, 'change royal chitwan national park proposed nepalese authorities')","(0.2314814814814815, 'n nbsp examined document whc com n nbsp approves proposed name change royal chitwan national')","(0.33333333333333337, 'n nbsp examined document')","(0.29230769230769227, 'chitwan national park proposed nepalese authorities name property')","(0.28205128205128205, 'park proposed nepalese authorities name property becomes chitwan national park')","(0.28125, 'english parc national de chitwan')","(0.26, 'whc com n nbsp approves proposed name')","(0.2678571428571429, 'n nbsp approves proposed name change royal chitwan national park proposed nepalese authorities name')","(0.2558139534883721, 'chitwan national park proposed nepalese authorities name property becomes chitwan national park english parc national de')","(0.2567567567567568, 'committee n nbsp examined document whc com n nbsp approves')","(0.2833333333333333, 'becomes chitwan national park english parc national de')","(0.23333333333333328, 'document whc com n nbsp approves proposed name')","(0.25373134328358204, 'name property becomes chitwan national park english parc')","(0.29230769230769227, 'chitwan national park proposed nepalese authorities name property')","(0.30434782608695654, 'national park english parc national de chitwan')","(0.3013698630136986, 'chitwan national park proposed nepalese authorities name property becomes')","(0.3076923076923077, 'change royal chitwan national park proposed nepalese authorities name property')","(0.2727272727272727, 'authorities name property becomes chitwan national park')","(0.25, 'document whc com n nbsp approves proposed name change royal chitwan national park proposed nepalese')","(0.25217391304347825, 'document whc com n nbsp approves proposed name change royal chitwan national park proposed')","(0.2875, 'com n nbsp approves proposed name change royal chitwan national')","(0.3194444444444444, 'nepalese authorities name property becomes chitwan national park english')","(0.29333333333333333, 'com n nbsp approves proposed name change royal chitwan national')","(0.2666666666666667, 'proposed name change royal chitwan national park proposed nepalese authorities name property becomes chitwan national park english')","(0.25384615384615383, 'world heritage committee n nbsp examined document whc com n nbsp approves proposed name change royal')","(0.27722772277227725, 'document whc com n nbsp approves proposed name change royal chitwan national park proposed')","(0.3023255813953488, 'name property becomes chitwan national park')","(0.2680412371134021, 'world heritage committee n nbsp examined document whc com n nbsp approves')","(0.2692307692307693, 'proposed name change royal chitwan national park proposed nepalese authorities')"
"Jun 19, 2011 Ashur Qalat Sherqat Iraq C 1130","(0.3448275862068966, 'state party submit international assistance request development conservation management')","(0.2836879432624113, 'removal property list world heritage danger finalise retrospective statement outstanding universal value examination world heritage committee')","(0.35, 'conservation removal property list world')","(0.371900826446281, 'request development conservation management plan implementation priority conservation measures n reiterates request state')","(0.3918918918918919, 'protection property conservation interventions foreseen property n invites')","(0.29323308270676696, 'heritage centre february updated report state conservation property implementation above examination world heritage committee session')","(0.31999999999999995, 'measures n requests state')","(0.33870967741935487, 'request state party develop consultation world heritage centre')","(0.36046511627906974, 'protection property conservation interventions foreseen property n invites state party')","(0.39534883720930236, 'desired state conservation removal property')","(0.38095238095238093, 'property conservation interventions foreseen property n invites')","(0.33571428571428574, 'party addressing conservation property encourages continue work protection property particular implementation identified corrective measures')","(0.291970802919708, 'implementation priority conservation measures n reiterates request state party develop consultation world heritage centre advisory bodies')","(0.308641975308642, 'party develop consultation world heritage centre advisory bodies proposal desired')","(0.43023255813953487, 'development conservation management plan implementation priority conservation measures')","(0.3513513513513513, 'management plan implementation priority conservation measures n reiterates')","(0.4078947368421053, 'state party submit international assistance request development conservation')","(0.32894736842105265, 'state party submit international assistance request development conservation')","(0.40625, 'property encourages continue work protection property particular')","(0.3263157894736842, 'submit international assistance request development conservation management plan implementation')","(0.3908045977011494, 'conservation interventions foreseen property n invites state party submit international')","(0.40909090909090906, 'protection property conservation interventions foreseen property n')","(0.3282442748091603, 'updated technical information proposed jetty protection property conservation interventions foreseen property n invites state party')","(0.3262411347517731, 'operational guidelines detailed updated technical information proposed jetty protection property conservation interventions foreseen property')","(0.306930693069307, 'property encourages continue work protection property particular implementation identified corrective')","(0.3647058823529412, 'state conservation property implementation above examination world heritage committee')","(0.42391304347826086, 'continue work protection property particular implementation identified corrective measures n')","(0.3312101910828026, 'state party addressing conservation property encourages continue work protection property particular implementation identified corrective measures n requests')","(0.3513513513513513, 'state party addressing conservation property encourages continue work protection property particular implementation identified corrective measures n')","(0.3385826771653543, 'property encourages continue work protection property particular implementation identified corrective measures n requests state')","(0.47916666666666663, 'desired state conservation removal property list')","(0.303030303030303, 'priority conservation measures n reiterates request state party develop consultation world heritage')","(0.36046511627906974, 'protection property conservation interventions foreseen property n invites state party')"
"Jun 19, 2011 Cerrado Protected Areas Chapada dos Veadeiros and Emas National Parks Brazil N 1035","(0.3561643835616438, 'protection chapa dos veadeiros national park examination world heritage')","(0.2661290322580645, 'regime property entirety n takes note commitment state party re establish legal framework protection area inscribed')","(0.32499999999999996, 'protection area inscribed world heritage')","(0.3137254901960784, 're instatement legal protection chapa dos veadeiros national park examination world heritage committee')","(0.328125, 'february report state conservation property re instatement legal')","(0.29166666666666663, 'state conservation property re instatement legal protection chapa dos veadeiros national park examination world heritage')","(0.38095238095238093, 'areas longer effect n')","(0.36923076923076925, 'serious concern legal framework protecting cdvnp larger component')","(0.33333333333333337, 'protection chapa dos veadeiros national park examination world heritage committee')","(0.4054054054054054, 'report state conservation property re')","(0.35593220338983056, 'state conservation property re instatement legal protection')","(0.3482142857142857, 'whc com add n consider ing lack legal protection chapada dos veadeiros national park')","(0.3023255813953488, 'manner n also requests state party submit world heritage centre february report state conservation property re')","(0.31645569620253167, 'state conservation property re instatement legal protection chapa dos veadeiros')","(0.3076923076923077, 'state conservation property re instatement legal protection chapa')","(0.30000000000000004, 'lack legal protection chapada dos veadeiros national park')","(0.3731343283582089, 'framework protection area inscribed world heritage list timely')","(0.3548387096774194, 'instatement legal protection chapa dos veadeiros national park')","(0.4181818181818182, 'serious concern legal framework protecting cdvnp larger')","(0.3114754098360656, 'manner n also requests state party submit world heritage')","(0.30000000000000004, 'outstanding universal value property n expresses serious concern legal framework')","(0.4576271186440678, 'state conservation property re instatement legal protection')","(0.30000000000000004, 'state conservation property re instatement legal protection chapa dos veadeiros national park examination world heritage')","(0.29565217391304344, 'protection regime property entirety n takes note commitment state party re establish legal framework')","(0.38749999999999996, 'larger component cerrado protected areas longer effect n requests state')","(0.3802816901408451, 'protection chapa dos veadeiros national park examination world heritage')","(0.31999999999999995, 'legal protection regime property entirety n takes note commitment state')","(0.28888888888888886, 'examined document whc com add n consider ing lack legal protection chapada dos veadeiros national park cdvnp')","(0.34615384615384615, 'larger component cerrado protected areas longer effect n requests state party continue work reinstate legal protection')","(0.3168316831683168, 'work reinstate legal protection regime property entirety n takes note commitment state party re')","(0.44897959183673475, 'report state conservation property re instatement')","(0.2989690721649485, 'protected areas longer effect n requests state party continue work reinstate legal')","(0.3623188405797102, 'lack legal protection chapada dos veadeiros national park cdvnp poses')"
"Jun 19, 2011 Camino Real de Tierra Adentro Mexico C 1351","(0.31506849315068497, 'com n notes information provided state party encourages establish')","(0.261437908496732, 'notes information provided state party encourages establish management strategy necessary legislative framework effectively sustain outstanding universal')","(0.33333333333333337, 'component sites contribute outstanding universal')","(0.29824561403508776, 'management plan property including public use component based understanding component sites contribute outstanding')","(0.36986301369863017, 'report state conservation property implementation above examination world')","(0.2833333333333333, 'document whc com n notes information provided state party encourages establish management strategy necessary legislative')","(0.36363636363636365, 'bodies n also requests')","(0.3666666666666667, 'adopted session brasilia n notes information provided choice')","(0.3287671232876712, 'decision com adopted session brasilia n notes information provided choice')","(0.3571428571428571, 'updated report state conservation property')","(0.32835820895522383, 'report state conservation property implementation above examination')","(0.2857142857142857, 'defined sites contributes towards property s outstanding universal value n also notes information provided')","(0.31007751937984496, 'examined document whc com n recalling decision com adopted session brasilia n notes information provided choice')","(0.2808988764044944, 'notes information provided state party encourages establish management strategy necessary')","(0.3561643835616438, 'report state conservation property implementation above examination world')","(0.30379746835443033, 'conservation property implementation above examination world heritage committee')","(0.3731343283582089, 'value property n requests state party develop management')","(0.30000000000000004, 'contributes towards property s outstanding universal value n')","(0.3731343283582089, 'report state conservation property implementation above examination')","(0.352112676056338, 'completion three printed electronic copies review world heritage centre')","(0.32894736842105265, 'com n notes information provided state party encourages establish management')","(0.37681159420289856, 'conservation property implementation above examination world heritage')","(0.2844827586206896, 'provide upon completion three printed electronic copies review world heritage centre advisory bodies n also')","(0.28695652173913044, 'adopted session brasilia n notes information provided choice component sites considers yet defined sites')","(0.2875, 'whc com n recalling decision com adopted session brasilia n')","(0.4024390243902439, 'report state conservation property implementation above examination world heritage')","(0.3033707865168539, 'including public use component based understanding component sites contribute outstanding')","(0.3111111111111111, 'property s outstanding universal value n also notes information provided regarding buffer zones components item agenda session')","(0.3153846153846154, 'n recalling decision com adopted session brasilia n notes information provided choice component sites considers yet')","(0.3145161290322581, 'management plan property including public use component based understanding component sites contribute outstanding universal')","(0.42105263157894735, 'updated report state conservation property implementation')","(0.2989690721649485, 'copies review world heritage centre advisory bodies n also requests state party')","(0.31645569620253167, 'provided choice component sites considers yet defined sites contributes towards')"
