,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 11, 2001 International AssistanceGeneral topic","(0.37777777777777777, 'parties requesting international assistance requested provide budget breakdown utilization')","(0.26277372262773724, 'parties requesting international assistance requested provide budget breakdown utilization funds provided world heritage fund requests us')","(0.29268292682926833, 'utilization funds provided world heritage')","(0.288135593220339, 'states parties requesting international assistance requested provide budget breakdown utilization funds provided world')","(0.2597402597402597, 'international assistance requested provide budget breakdown utilization funds')","(0.23484848484848486, 'states parties requesting international assistance requested provide budget breakdown utilization funds provided world heritage fund')","(0.2857142857142857, 'world heritage fund requests')","(0.30379746835443033, 'reiterated states parties requesting international assistance requested provide')","(0.28421052631578947, 'xviii committee reiterated states parties requesting international assistance requested provide')","(0.2682926829268293, 'utilization funds provided world heritage')","(0.27142857142857146, 'requesting international assistance requested provide budget breakdown')","(0.25196850393700787, 'states parties requesting international assistance requested provide budget breakdown utilization funds provided world heritage')","(0.24827586206896557, 'xviii committee reiterated states parties requesting international assistance requested provide budget breakdown utilization funds provided world')","(0.26041666666666663, 'parties requesting international assistance requested provide budget breakdown utilization funds')","(0.3205128205128205, 'parties requesting international assistance requested provide budget breakdown')","(0.25316455696202533, 'reiterated states parties requesting international assistance requested provide')","(0.28205128205128205, 'parties requesting international assistance requested provide budget breakdown')","(0.33333333333333337, 'parties requesting international assistance requested provide budget breakdown')","(0.2647058823529411, 'states parties requesting international assistance requested provide')","(0.34883720930232553, 'international assistance requested provide budget breakdown utilization funds provided')","(0.34375, 'parties requesting international assistance requested provide budget breakdown utilization funds')","(0.3142857142857143, 'requesting international assistance requested provide budget breakdown')","(0.29496402877697847, 'xviii committee reiterated states parties requesting international assistance requested provide budget breakdown utilization funds provided')","(0.2615384615384615, 'xviii committee reiterated states parties requesting international assistance requested provide budget breakdown utilization funds')","(0.23958333333333337, 'parties requesting international assistance requested provide budget breakdown utilization funds')","(0.3157894736842105, 'requested provide budget breakdown utilization funds provided world heritage')","(0.28125, 'reiterated states parties requesting international assistance requested provide budget breakdown')","(0.2534246575342466, 'parties requesting international assistance requested provide budget breakdown utilization funds provided world heritage fund requests us detailed')","(0.23357664233576647, 'parties requesting international assistance requested provide budget breakdown utilization funds provided world heritage fund requests us')","(0.2615384615384615, 'xviii committee reiterated states parties requesting international assistance requested provide budget breakdown utilization funds')","(0.31666666666666665, 'states parties requesting international assistance requested')","(0.2321428571428571, 'states parties requesting international assistance requested provide budget breakdown utilization funds provided')","(0.2934782608695652, 'international assistance requested provide budget breakdown utilization funds provided world')"
"Dec 11, 2001 Jurmala Wooden Construction Dzintari District of Summer Cottages Latvia","(0.26027397260273977, 'wooden construction dzintari district summer cottages n id n')","(0.2661290322580645, 'dzintari district summer cottages n id n deg n state party latvia n committee inscribe property')","(0.31818181818181823, 'wooden construction dzintari district summer')","(0.2682926829268293, 'summer cottages n id n deg n state party latvia n committee inscribe')","(0.3285714285714286, 'property jurmala wooden construction dzintari district summer cottages')","(0.2592592592592593, 'construction dzintari district summer cottages n id n deg n state party latvia n committee')","(0.29166666666666663, 'party latvia n committee')","(0.28, 'n id n deg n state party latvia')","(0.24615384615384617, 'summer cottages n id n deg n state party latvia')","(0.28888888888888886, 'property jurmala wooden construction dzintari')","(0.29508196721311475, 'jurmala wooden construction dzintari district summer cottages')","(0.2857142857142857, 'property jurmala wooden construction dzintari district summer cottages n id n deg n state')","(0.3178294573643411, 'property jurmala wooden construction dzintari district summer cottages n id n deg n state party latvia')","(0.2567567567567568, 'wooden construction dzintari district summer cottages n id n deg')","(0.31666666666666665, 'wooden construction dzintari district summer cottages n id')","(0.31666666666666665, 'n state party latvia n committee inscribe property')","(0.28358208955223885, 'wooden construction dzintari district summer cottages n id')","(0.2571428571428571, 'property jurmala wooden construction dzintari district summer cottages')","(0.3137254901960784, 'latvia n committee inscribe property world heritage')","(0.24590163934426235, 'n deg n state party latvia n committee inscribe')","(0.24242424242424243, 'wooden construction dzintari district summer cottages n id n deg')","(0.32727272727272727, 'wooden construction dzintari district summer cottages n')","(0.2931034482758621, 'property jurmala wooden construction dzintari district summer cottages n id n deg n state party')","(0.26086956521739135, 'property jurmala wooden construction dzintari district summer cottages n id n deg n state')","(0.26249999999999996, 'dzintari district summer cottages n id n deg n state')","(0.25, 'n id n deg n state party latvia n')","(0.33333333333333337, 'wooden construction dzintari district summer cottages n id n deg')","(0.2592592592592593, 'property jurmala wooden construction dzintari district summer cottages n id n deg n state party latvia n')","(0.2615384615384615, 'dzintari district summer cottages n id n deg n state party latvia n committee inscribe property')","(0.306930693069307, 'construction dzintari district summer cottages n id n deg n state party latvia n')","(0.3076923076923077, 'jurmala wooden construction dzintari district summer')","(0.2680412371134021, 'construction dzintari district summer cottages n id n deg n state party')","(0.24242424242424243, 'dzintari district summer cottages n id n deg n state')"
"Dec 11, 2001 Karain Caves and Surroundings Turkey","(0.275, 'nomination deferred state party may prepare present comprehensive scientifically')","(0.2661290322580645, 'n id n deg n state party turkey n committee decided inscribe karain caves surroundings world')","(0.3555555555555555, 'consideration nomination deferred state party')","(0.29565217391304344, 'session decided consideration nomination deferred state party may prepare present comprehensive scientifically well')","(0.32835820895522383, 'fifth session decided consideration nomination deferred state party')","(0.26428571428571423, 'session decided consideration nomination deferred state party may prepare present comprehensive scientifically well documented justification')","(0.43999999999999995, 'party may prepare present')","(0.35593220338983056, 'heritage list natural criteria n concerning cultural values')","(0.3205128205128205, 'surroundings world heritage list natural criteria n concerning cultural values')","(0.32352941176470584, 'list natural criteria n concerning')","(0.30000000000000004, 'surroundings n id n deg n state')","(0.3129770992366412, 'nomination deferred state party may prepare present comprehensive scientifically well documented justification inscription adequate')","(0.31007751937984496, 'n state party turkey n committee decided inscribe karain caves surroundings world heritage list natural criteria')","(0.26436781609195403, 'decided consideration nomination deferred state party may prepare present comprehensive')","(0.3384615384615385, 'decided consideration nomination deferred state party may prepare')","(0.3188405797101449, 'bureau twenty fifth session decided consideration nomination deferred')","(0.33333333333333337, 'may prepare present comprehensive scientifically well documented justification')","(0.28205128205128205, 'may prepare present comprehensive scientifically well documented justification')","(0.360655737704918, 'session decided consideration nomination deferred state party')","(0.3125, 'nomination deferred state party may prepare present comprehensive scientifically')","(0.3058823529411765, 'committee noted bureau twenty fifth session decided consideration nomination deferred')","(0.3508771929824561, 'consideration nomination deferred state party may prepare')","(0.2857142857142857, 'session decided consideration nomination deferred state party may prepare present comprehensive scientifically well documented justification')","(0.26086956521739135, 'values committee noted bureau twenty fifth session decided consideration nomination deferred state party may')","(0.3203883495145631, 'present comprehensive scientifically well documented justification inscription adequate management plan')","(0.34782608695652173, 'heritage list natural criteria n concerning cultural values committee')","(0.2828282828282829, 'may prepare present comprehensive scientifically well documented justification inscription adequate')","(0.2911392405063291, 'fifth session decided consideration nomination deferred state party may prepare present comprehensive scientifically well documented justification inscription')","(0.2692307692307693, 'property karain caves surroundings n id n deg n state party turkey n committee decided inscribe')","(0.33333333333333337, 'session decided consideration nomination deferred state party may prepare present comprehensive scientifically well documented')","(0.339622641509434, 'decided consideration nomination deferred state party')","(0.28181818181818186, 'session decided consideration nomination deferred state party may prepare present comprehensive scientifically')","(0.2962962962962963, 'bureau twenty fifth session decided consideration nomination deferred state party')"
"Dec 11, 2001 Information on International Assistance  Towards a Programme Approach","(0.410958904109589, 'cities fund s international assistance served address challenge urban')","(0.282258064516129, 'forest sites democratic republic congo serve case studies enrich programme n cities since close cultural sites')","(0.41463414634146345, 'foundation projects tropical forest sites')","(0.3047619047619048, 'due particularity conservation earthen heritage threats n n xvii committee expressed appreciation clarity')","(0.4285714285714286, 'urban heritage conservation n earthen structures since cultural')","(0.27464788732394363, 'clarity presentation justifications provided indicating strong support overall programming approach committee however indicated need programme')","(0.36, 'enrich programme n cities')","(0.3472222222222222, 'indicated need programme respond priorities established committee create')","(0.3111111111111111, 'committee however indicated need programme respond priorities established committee create')","(0.4054054054054054, 'urban heritage conservation n earthen')","(0.3157894736842105, 'heritage conservation n earthen structures since cultural')","(0.3214285714285714, 'n cities since close cultural sites list historic centres entire cities fund s international')","(0.291970802919708, 'heritage threats n n xvii committee expressed appreciation clarity presentation justifications provided indicating strong support overall')","(0.25742574257425743, 'expressed appreciation clarity presentation justifications provided indicating strong support overall')","(0.31746031746031744, 'urban heritage conservation n earthen structures since cultural')","(0.28767123287671237, 'included category due particularity conservation earthen heritage threats')","(0.34328358208955223, 'managed could offer socio economic development opportunities n')","(0.31818181818181823, 's international assistance served address challenge urban heritage')","(0.3921568627450981, 'scale unesco un foundation projects tropical forest')","(0.3417721518987342, 's international assistance served address challenge urban heritage conservation')","(0.39743589743589747, 'cities fund s international assistance served address challenge urban heritage')","(0.34693877551020413, 'conservation earthen heritage threats n n xvii')","(0.28873239436619713, 'clarity presentation justifications provided indicating strong support overall programming approach committee however indicated need programme')","(0.27826086956521734, 'projects tropical forest sites democratic republic congo serve case studies enrich programme n cities')","(0.27586206896551724, 'support overall programming approach committee however indicated need programme respond')","(0.3970588235294118, 'conservation n earthen structures since cultural sites list included')","(0.32894736842105265, 'offer socio economic development opportunities n forests since close natural')","(0.28148148148148144, 'heritage list forests lessons learned large scale unesco un foundation projects tropical forest sites democratic republic congo')","(0.2692307692307693, 'heritage list forests lessons learned large scale unesco un foundation projects tropical forest sites democratic republic')","(0.303921568627451, 'managed could offer socio economic development opportunities n forests since close natural sites world')","(0.45833333333333337, 'urban heritage conservation n earthen structures')","(0.28205128205128205, 'clarity presentation justifications provided indicating strong support overall programming approach committee however')","(0.3466666666666667, 'projects tropical forest sites democratic republic congo serve case studies')"
"Dec 11, 2001 International World Heritage Education Workshop","(0.3835616438356164, 'oslash ros norway n international youth forum world heritage')","(0.282258064516129, 'people committee december on n n first world heritage youth forum latin america caribbean lima peru')","(0.4838709677419355, 'convention n n xiv occasion')","(0.3047619047619048, 'formulate recommendations anniversary world heritage convention n n xiv occasion workshop finnish version')","(0.3373493975903614, 'convention enhancement strengthening world heritage education project presentations')","(0.26573426573426573, 'activities anniversary world heritage convention enhancement strengthening world heritage education project presentations attached report annex')","(0.33333333333333337, 'to n n present')","(0.35185185185185186, 'anniversary world heritage convention n n xiv occasion')","(0.3366336633663366, 'highlighted proposed activities anniversary world heritage convention enhancement strengthening world')","(0.4814814814814815, 'heritage convention n n xiv')","(0.3787878787878788, 'world heritage convention enhancement strengthening world heritage')","(0.3214285714285714, 'main objectives to n n present recent world heritage education achievements results external world')","(0.30379746835443033, 'highlighted proposed activities anniversary world heritage convention enhancement strengthening world heritage education project presentations attached report')","(0.29729729729729726, 'heritage convention n n xiv occasion workshop finnish version world')","(0.33333333333333337, 'heritage convention n n xiv occasion workshop finnish')","(0.35, 'anniversary world heritage convention n n xiv occasion')","(0.32894736842105265, 'world heritage convention enhancement strengthening world heritage education')","(0.3088235294117647, 'sixteen participants students teachers advisors involved major world')","(0.375, 'orientation world heritage education project n formulate')","(0.3950617283950617, 'international youth forum world heritage education karlskrona sweden participants')","(0.36363636363636365, 'convention enhancement strengthening world heritage education project presentations attached report')","(0.3623188405797102, 'convention enhancement strengthening world heritage education project')","(0.3017241379310345, 'world heritage education events well preparing upcoming events early main objectives to n n present')","(0.29565217391304344, 'young hands launched n xiv one main results workshop presentation made four young people')","(0.30000000000000004, 'preparing upcoming events early main objectives to n n present')","(0.3804347826086957, 'convention enhancement strengthening world heritage education project presentations attached')","(0.41975308641975306, 'output lima declaration n world heritage marine environmental education programme')","(0.3417721518987342, 'xiv presentation young people highlighted proposed activities anniversary world heritage convention enhancement strengthening world heritage education project')","(0.3307692307692308, 'america caribbean lima peru whose main output lima declaration n world heritage marine environmental education programme')","(0.3284671532846716, 'activities anniversary world heritage convention enhancement strengthening world heritage education project presentations attached report')","(0.3571428571428571, 'european course restoration youth r oslash')","(0.27835051546391754, 'upcoming events early main objectives to n n present recent world heritage')","(0.3176470588235294, 'national commission unesco national board education finland workshop brought together')"
"Dec 11, 2001 JungfrauAletschBietschhorn Switzerland","(0.3647058823529412, 'aesthetics area attracted international clientele globally recognised one spectacular')","(0.29032258064516125, 'n id n deg n state party switzerland n criteria n ii iii n committee inscribed')","(0.38095238095238093, 'substrates ongoing ecological succession n')","(0.30188679245283023, 'great aletsch glacier largest longest western eurasia thus significant scientific interest context glacial')","(0.3538461538461538, 'criterion jungfrau aletsch bietschhorn region glaciated area alps')","(0.2834645669291339, 'jungfrau aletsch bietschhorn region played important role european literature art mountaineering alpine tourism aesthetics area')","(0.3548387096774194, 'varying rates retreat different')","(0.39682539682539686, 'history ongoing processes particularly related climate change n')","(0.36708860759493667, 'context glacial history ongoing processes particularly related climate change n')","(0.3023255813953488, 'scientific interest context glacial history')","(0.30508474576271183, 'aletsch bietschhorn region glaciated area alps incorporates')","(0.2786885245901639, 'region played important role european literature art mountaineering alpine tourism aesthetics area attracted international')","(0.2945736434108527, 'n criteria n ii iii n committee inscribed jungfrau aletsch bietschhorn world heritage list criteria ii')","(0.2934782608695652, 'attracted international clientele globally recognised one spectacular mountain regions visit')","(0.31506849315068497, 'art mountaineering alpine tourism aesthetics area attracted international')","(0.3529411764705882, 'glaciers turn providing new substrates ongoing ecological succession')","(0.31343283582089554, 'criteria ii iii n criterion jungfrau aletsch bietschhorn')","(0.30000000000000004, 'examples ecological succession exist including distinctive upper lower')","(0.36734693877551017, 'bietschhorn region provides wide range alpine sub')","(0.33720930232558144, 'attracted international clientele globally recognised one spectacular mountain regions')","(0.3369565217391305, 'attracted international clientele globally recognised one spectacular mountain regions visit')","(0.3392857142857143, 'succession n criterion iii impressive landscape jungfrau')","(0.2764227642276422, 'retreat different glaciers turn providing new substrates ongoing ecological succession n criterion iii impressive landscape')","(0.265625, 'role european literature art mountaineering alpine tourism aesthetics area attracted international clientele globally recognised')","(0.30000000000000004, 'glaciers turn providing new substrates ongoing ecological succession n criterion')","(0.36363636363636365, 'context glacial history ongoing processes particularly related climate change')","(0.28260869565217395, 'attracted international clientele globally recognised one spectacular mountain regions visit')","(0.29166666666666663, 'art mountaineering alpine tourism aesthetics area attracted international clientele globally recognised one spectacular mountain regions visit n')","(0.30281690140845074, 'art mountaineering alpine tourism aesthetics area attracted international clientele globally recognised one spectacular mountain regions visit')","(0.30327868852459017, 'region played important role european literature art mountaineering alpine tourism aesthetics area attracted international')","(0.375, 'region played important role european literature')","(0.25773195876288657, 'bietschhorn n id n deg n state party switzerland n criteria n')","(0.30487804878048785, 'region played important role european literature art mountaineering alpine tourism')"
"Dec 11, 2001 Iguaxc3xa7u National Park Brazil","(0.31506849315068497, 'closure road june seedlings native tree species planted rehabilitate')","(0.2727272727272727, 'activities soon launched government state paran aacute developed joint project surrounding populations focusing organic agriculture sustainable')","(0.36363636363636365, 'co operation world heritage sites')","(0.33333333333333337, 'closed june intervention brazilian federal police committee informed state party provided information letter')","(0.33333333333333337, 'conditions set twenty third session i e ensuring')","(0.27819548872180455, 'generation employment opportunities local communities municipalities bordering park committee decided remove site list world heritage')","(0.42307692307692313, 'met paris june recommended')","(0.3538461538461538, 'study permanent mechanism transborder co operation world heritage')","(0.306930693069307, 'generation employment opportunities local communities municipalities bordering park committee decided')","(0.3548387096774194, 'party met conditions set twenty')","(0.3529411764705882, 'surrounding populations focusing organic agriculture sustainable use')","(0.29824561403508776, 'closed june intervention brazilian federal police committee informed state party provided information letter dated')","(0.2828947368421053, 'rehabilitation efforts monitor outcome build co operative programmes enhance income generation employment opportunities local communities municipalities')","(0.308641975308642, 'benefit projects activities soon launched government state paran aacute developed')","(0.33333333333333337, 'permanent closure colon road remove site list world')","(0.30000000000000004, 'party met conditions set twenty third session i')","(0.49367088607594933, 'ministry national integration promote sustainable development initiatives among')","(0.31818181818181823, 'build co operative programmes enhance income generation employment')","(0.34328358208955223, 'programmes enhance income generation employment opportunities local')","(0.345679012345679, 'set infrastructure projects aim fostering ecotourism organic agriculture projects')","(0.3298969072164949, 'ministry national integration promote sustainable development initiatives among local populations')","(0.3620689655172413, 'could benefit projects activities soon launched government')","(0.3237410071942446, 'programmes enhance income generation employment opportunities local communities municipalities bordering park committee decided remove site')","(0.29565217391304344, 'set twenty third session i e ensuring permanent closure colon road remove site list')","(0.30000000000000004, 'e ensuring permanent closure colon road remove site list world')","(0.34375, 'colon road remove site list world heritage danger committee')","(0.38383838383838387, 'integration promote sustainable development initiatives among local populations inhabiting vicinity')","(0.3313253012048193, 'joint project surrounding populations focusing organic agriculture sustainable use activities including development craftmanship ecotourism private enterprises public')","(0.30000000000000004, 'twenty fifth session bureau met paris june recommended positive developments sustained committee could remove site list')","(0.3458646616541353, 'leadership ministry national integration promote sustainable development initiatives among local populations inhabiting vicinity igua')","(0.37777777777777777, 'transborder co operation world heritage sites')","(0.31958762886597936, 'party provided information letter dated december centre several steps taken one hand')","(0.33333333333333337, 'prepare status report submission twentyseventh session committee june based suggestions')"
"Dec 11, 2001 Mount Kenya National ParkNatural Forest Kenya","(0.2597402597402597, 'soon possible enable independent assessment state conservation world heritage')","(0.16000000000000003, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation world')","(0.2702702702702703, 'site soon possible enable independent')","(0.22999999999999998, 'state party invite mission site soon possible enable independent assessment state conservation world')","(0.20588235294117652, 'soon possible enable independent assessment state conservation world')","(0.22689075630252098, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation')","(0.31999999999999995, 'party invite mission site')","(0.25806451612903225, 'mission site soon possible enable independent assessment state')","(0.2533333333333333, 'party invite mission site soon possible enable independent assessment state')","(0.36363636363636365, 'assessment state conservation world heritage')","(0.25806451612903225, 'soon possible enable independent assessment state conservation')","(0.2589285714285714, 'state party invite mission site soon possible enable independent assessment state conservation world heritage')","(0.18604651162790697, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation world')","(0.2592592592592593, 'mission site soon possible enable independent assessment state conservation world')","(0.2666666666666667, 'requested state party invite mission site soon possible')","(0.25, 'party invite mission site soon possible enable independent')","(0.28358208955223885, 'party invite mission site soon possible enable independent')","(0.29032258064516125, 'mission site soon possible enable independent assessment state')","(0.30434782608695654, 'party invite mission site soon possible enable')","(0.23376623376623373, 'soon possible enable independent assessment state conservation world heritage')","(0.2716049382716049, 'mission site soon possible enable independent assessment state conservation world')","(0.29032258064516125, 'soon possible enable independent assessment state conservation')","(0.2184873949579832, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation')","(0.21739130434782605, 'state party invite mission site soon possible enable independent assessment state conservation world heritage')","(0.22499999999999998, 'viii committee requested state party invite mission site soon possible')","(0.33766233766233766, 'soon possible enable independent assessment state conservation world heritage')","(0.2592592592592593, 'mission site soon possible enable independent assessment state conservation world')","(0.19259259259259254, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation world heritage')","(0.2384615384615385, 'viii committee requested state party invite mission site soon possible enable independent assessment state conservation world')","(0.2660550458715596, 'state party invite mission site soon possible enable independent assessment state conservation world heritage')","(0.3928571428571429, 'independent assessment state conservation world heritage')","(0.21649484536082475, 'state party invite mission site soon possible enable independent assessment state conservation')","(0.24, 'party invite mission site soon possible enable independent assessment state')"
"Dec 11, 2001 Lake Turkana National Parks Extension of SibiloiCentral Island National Parks Kenya","(0.3287671232876712, 'island national parks n id n deg bis n')","(0.27419354838709675, 'id n deg bis n state party kenya n criteria n iv n committee approved extension')","(0.3414634146341463, 'extension sibiloi central island addition')","(0.34259259259259256, 'extension extension sibiloi central island addition south island national park maintaining existing criteria')","(0.328125, 'turkana national parks extension sibiloi central island national')","(0.2685185185185185, 'national parks n id n deg bis n state party kenya n criteria n iv')","(0.4347826086956522, 'parks integrated unit n')","(0.34375, 'turkana national parks extension sibiloi central island national')","(0.32307692307692304, 'three protected areas n n n n n date inscrib')","(0.32258064516129037, 'central island national parks n')","(0.28301886792452835, 'lake turkana national parks extension sibiloi central')","(0.2946428571428571, 'state party new name site would lake turkana national parks n serial inscription includes')","(0.31007751937984496, 'parks extension sibiloi central island national parks n id n deg bis n state party kenya')","(0.29729729729729726, 'sibiloi central island national parks n id n deg bis')","(0.31666666666666665, 'island national parks n id n deg bis')","(0.2833333333333333, 'n state party kenya n criteria n iv')","(0.28358208955223885, 'parks extension sibiloi central island national parks n')","(0.3125, 'three protected areas n n n n n')","(0.339622641509434, 'lake turkana national parks extension sibiloi central')","(0.3088235294117647, 'extension sibiloi central island addition south island national park')","(0.33783783783783783, 'n n n committee strongly encouraged kenyan authorities complete management')","(0.3666666666666667, 'approved extension extension sibiloi central island addition')","(0.27586206896551724, 'property lake turkana national parks extension sibiloi central island national parks n id n deg')","(0.30434782608695654, 'party kenya n criteria n iv n committee approved extension extension sibiloi central island')","(0.32499999999999996, 'three protected areas n n n n n date inscrib')","(0.3125, 'new name site would lake turkana national parks n')","(0.33333333333333337, 'n serial inscription includes three protected areas n n n')","(0.32592592592592595, 'n serial inscription includes three protected areas n n n n n date inscrib ed n n')","(0.32307692307692304, 'three protected areas n n n n n date inscrib ed n n n park n')","(0.3366336633663366, 'national parks extension sibiloi central island national parks n id n deg bis n')","(0.33333333333333337, 'approved extension extension sibiloi central island')","(0.27835051546391754, 'national parks extension sibiloi central island national parks n id n deg')","(0.3484848484848485, 'three protected areas n n n n n date inscrib')"
"Dec 11, 2001 Mining and World Heritage","(0.30666666666666664, 'world heritage published international council metals environment icme iucn')","(0.2142857142857143, 'published international council metals environment icme iucn world heritage centre distributed committee members committee furthermore noted')","(0.3111111111111111, 'international council metals environment icme')","(0.2844036697247706, 'world heritage published international council metals environment icme iucn world heritage centre distributed')","(0.288135593220339, 'working group world heritage mining proposed world heritage')","(0.2803030303030303, 'environment icme iucn world heritage centre distributed committee members committee furthermore noted proposal establishment working')","(0.29032258064516125, 'world heritage committee twenty')","(0.303030303030303, 'published international council metals environment icme iucn world')","(0.3026315789473685, 'working group world heritage mining proposed world heritage committee twenty')","(0.33333333333333337, 'council metals environment icme iucn')","(0.29032258064516125, 'workshop mining world heritage published international council')","(0.2627118644067796, 'proceedings workshop mining world heritage published international council metals environment icme iucn world heritage')","(0.2785714285714286, 'published international council metals environment icme iucn world heritage centre distributed committee members committee furthermore noted')","(0.2682926829268293, 'published international council metals environment icme iucn world heritage centre')","(0.25757575757575757, 'published international council metals environment icme iucn world')","(0.28985507246376807, 'furthermore noted proposal establishment working group world heritage')","(0.25373134328358204, 'published international council metals environment icme iucn world')","(0.28985507246376807, 'furthermore noted proposal establishment working group world heritage')","(0.32692307692307687, 'twenty fourth session presented twenty sixth session')","(0.36, 'published international council metals environment icme iucn world heritage')","(0.36585365853658536, 'published international council metals environment icme iucn world heritage centre')","(0.3076923076923077, 'twenty fourth session presented twenty sixth session')","(0.264, 'proceedings workshop mining world heritage published international council metals environment icme iucn world heritage centre')","(0.26956521739130435, 'proposal establishment working group world heritage mining proposed world heritage committee twenty fourth session')","(0.2325581395348837, 'workshop mining world heritage published international council metals environment icme')","(0.31999999999999995, 'published international council metals environment icme iucn world heritage')","(0.31707317073170727, 'published international council metals environment icme iucn world heritage centre')","(0.25899280575539574, 'viii committee noted proceedings workshop mining world heritage published international council metals environment icme iucn world heritage')","(0.24615384615384617, 'viii committee noted proceedings workshop mining world heritage published international council metals environment icme iucn world')","(0.3305084745762712, 'proceedings workshop mining world heritage published international council metals environment icme iucn world heritage')","(0.30188679245283023, 'world heritage published international council metals')","(0.22935779816513757, 'distributed committee members committee furthermore noted proposal establishment working group world heritage')","(0.2804878048780488, 'proposal establishment working group world heritage mining proposed world heritage')"
