,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jul 25, 2010 Tentative Lists submitted by States Parties as of 15 April 2010, in conformity with the Operational Guidelines","(0.2465753424657534, 'committee n examined document whc com n recalling decisions')","(0.24193548387096775, 'world heritage committee n examined document whc com n recalling decisions com com com paragraph adopted')","(0.24444444444444446, 'adopted respectively christchurch quebec city')","(0.26086956521739135, 'whc com n recalling decisions com com com paragraph adopted respectively christchurch quebec')","(0.2615384615384615, 'decisions com com com paragraph adopted respectively christchurch')","(0.2129629629629629, 'n examined document whc com n recalling decisions com com com paragraph adopted respectively christchurch')","(0.31818181818181823, 'n takes note tentative')","(0.32727272727272727, 'seville sessions n takes note tentative lists presented')","(0.25373134328358204, 'quebec city seville sessions n takes note tentative lists presented')","(0.2978723404255319, 'com paragraph adopted respectively christchurch')","(0.24, 'committee n examined document whc com n')","(0.2589285714285714, 'world heritage committee n examined document whc com n recalling decisions com com com')","(0.2558139534883721, 'world heritage committee n examined document whc com n recalling decisions com com com paragraph adopted')","(0.2432432432432432, 'whc com n recalling decisions com com com paragraph adopted')","(0.25, 'n recalling decisions com com com paragraph adopted')","(0.23611111111111116, 'paragraph adopted respectively christchurch quebec city seville sessions')","(0.25373134328358204, 'world heritage committee n examined document whc com')","(0.29032258064516125, 'respectively christchurch quebec city seville sessions n takes')","(0.3111111111111111, 'seville sessions n takes note tentative lists')","(0.24590163934426235, 'whc com n recalling decisions com com com paragraph')","(0.23376623376623373, 'n recalling decisions com com com paragraph adopted respectively christchurch')","(0.2857142857142857, 'com n recalling decisions com com com')","(0.2586206896551724, 'whc com n recalling decisions com com com paragraph adopted respectively christchurch quebec city seville')","(0.24347826086956526, 'n examined document whc com n recalling decisions com com com paragraph adopted respectively')","(0.275, 'quebec city seville sessions n takes note tentative lists presented')","(0.3125, 'whc com n recalling decisions com com com paragraph')","(0.2666666666666667, 'committee n examined document whc com n recalling decisions com')","(0.22962962962962963, 'world heritage committee n examined document whc com n recalling decisions com com com paragraph adopted respectively')","(0.2384615384615385, 'world heritage committee n examined document whc com n recalling decisions com com com paragraph adopted')","(0.2376237623762376, 'world heritage committee n examined document whc com n recalling decisions com com com')","(0.2727272727272727, 'takes note tentative lists presented annexes')","(0.22680412371134018, 'world heritage committee n examined document whc com n recalling decisions com')","(0.25757575757575757, 'whc com n recalling decisions com com com paragraph adopted')"
"Jul 25, 2010 Temple of Preah Vihear Cambodia C 1224rev","(0.32291666666666663, 'towards establishment international coordinating committee sustainable conservation temple preah')","(0.25735294117647056, 'party n nbsp welcomes steps taken state party towards establishment international coordinating committee sustainable conservation temple')","(0.38235294117647056, 'conservation temple preah vihear n')","(0.3173076923076923, 'committee sustainable conservation temple preah vihear n nbsp decides consider documents submitted state')","(0.3114754098360656, 'committee sustainable conservation temple preah vihear n nbsp')","(0.26618705035971224, 'establishment international coordinating committee sustainable conservation temple preah vihear n nbsp decides consider documents submitted')","(0.33333333333333337, 'n nbsp received document')","(0.32098765432098764, 'international coordinating committee sustainable conservation temple preah vihear')","(0.2954545454545454, 'international coordinating committee sustainable conservation temple preah vihear n nbsp')","(0.34090909090909094, 'sustainable conservation temple preah vihear')","(0.3137254901960784, 'sustainable conservation temple preah vihear n nbsp')","(0.28682170542635654, 'establishment international coordinating committee sustainable conservation temple preah vihear n nbsp decides consider documents')","(0.2713178294573644, 'nbsp received document whc com add n nbsp recalling decisions com com com adopted session christchurch')","(0.31081081081081086, 'takes note world heritage centre documents submitted state party n')","(0.30000000000000004, 'towards establishment international coordinating committee sustainable conservation temple')","(0.29166666666666663, 'steps taken state party towards establishment international coordinating')","(0.37037037037037035, 'international coordinating committee sustainable conservation temple preah vihear')","(0.2962962962962963, 'centre documents submitted state party n nbsp welcomes')","(0.29850746268656714, 'coordinating committee sustainable conservation temple preah vihear')","(0.3373493975903614, 'international coordinating committee sustainable conservation temple preah vihear n')","(0.33009708737864074, 'towards establishment international coordinating committee sustainable conservation temple preah vihear')","(0.29850746268656714, 'coordinating committee sustainable conservation temple preah vihear')","(0.26724137931034486, 'session christchurch session quebec city session seville respectively n nbsp takes note world heritage centre')","(0.26956521739130435, 'quebec city session seville respectively n nbsp takes note world heritage centre documents submitted')","(0.275, 'city session seville respectively n nbsp takes note world heritage')","(0.3373493975903614, 'international coordinating committee sustainable conservation temple preah vihear n')","(0.28409090909090906, 'international coordinating committee sustainable conservation temple preah vihear n nbsp')","(0.2666666666666667, 'world heritage committee n nbsp received document whc com add n nbsp recalling decisions com com com')","(0.2846153846153846, 'com add n nbsp recalling decisions com com com adopted session christchurch session quebec city session')","(0.2713178294573644, 'welcomes steps taken state party towards establishment international coordinating committee sustainable conservation temple preah')","(0.4347826086956522, 'sustainable conservation temple preah vihear n')","(0.28865979381443296, 'world heritage committee n nbsp received document whc com add n nbsp')","(0.28409090909090906, 'international coordinating committee sustainable conservation temple preah vihear n nbsp')"
"Jul 25, 2010 Terms of reference of the Evaluation of the Global Strategy and PACT as requested by Resolution 17GA 9","(0.3157894736842105, 'convention n contribution pact developing partnerships local regional levels')","(0.34090909090909094, 'centre private sector partners appreciate equitable character engagements n conditions use emblem convention private sector partners')","(0.46341463414634143, 'convention n contribution pact developing')","(0.3063063063063063, 'reference following evaluations n contents respective engagements world heritage centre private sector partners')","(0.4057971014492754, 'convention n contribution pact developing partnerships local regional')","(0.30000000000000004, 'provisions convention n contribution pact developing partnerships local regional levels order identify possibility establishing partnerships')","(0.33333333333333337, 'n adopts terms reference')","(0.4482758620689655, 'n conditions use emblem convention private sector partners')","(0.38749999999999996, 'character engagements n conditions use emblem convention private sector partners')","(0.41666666666666663, 'use emblem convention private sector')","(0.37037037037037035, 'emblem convention private sector partners order assess')","(0.3035714285714286, 'world heritage committee n examined document whc com n adopts terms reference evaluation global')","(0.304635761589404, 'objectives provisions convention n contribution pact developing partnerships local regional levels order identify possibility establishing partnerships')","(0.31868131868131866, 'objectives provisions convention n contribution pact developing partnerships local regional')","(0.33333333333333337, 'use emblem convention private sector partners order assess')","(0.3157894736842105, 'objectives provisions convention n contribution pact developing partnerships')","(0.368421052631579, 'objectives provisions convention n contribution pact developing partnerships')","(0.2941176470588235, 'respective engagements world heritage centre private sector partners')","(0.4901960784313726, 'use emblem convention private sector partners order')","(0.32894736842105265, 'convention n contribution pact developing partnerships local regional levels')","(0.3902439024390244, 'convention n contribution pact developing partnerships local regional levels order')","(0.4181818181818182, 'convention private sector partners order assess whether')","(0.3571428571428571, 'provisions convention n contribution pact developing partnerships local regional levels order identify possibility establishing partnerships')","(0.28688524590163933, 'paragraph adding and traceability completing terms reference following evaluations n contents respective engagements world')","(0.26315789473684215, 'whether correspond objectives provisions convention n contribution pact developing partnerships')","(0.368421052631579, 'convention n contribution pact developing partnerships local regional levels')","(0.3902439024390244, 'convention n contribution pact developing partnerships local regional levels order')","(0.31034482758620685, 'order assess whether correspond objectives provisions convention n contribution pact developing partnerships local regional levels order identify')","(0.27941176470588236, 'order assess whether correspond objectives provisions convention n contribution pact developing partnerships local regional levels order')","(0.36220472440944884, 'provisions convention n contribution pact developing partnerships local regional levels order identify possibility establishing')","(0.35416666666666663, 'engagements world heritage centre private sector')","(0.27450980392156865, 'provisions convention n contribution pact developing partnerships local regional levels order identify')","(0.28915662650602414, 'adding and traceability completing terms reference following evaluations n contents')"
"Jul 25, 2010 Taj Mahal, Agra Fort and Fatehpur Sikri India C 252 C 251 C 255","(0.28767123287671237, 'commitment made n requests state party submit world heritage')","(0.24285714285714288, 'provide urgently detailed information associated impact assessment studies undertaken proposed construction new bridge yamuna river vicinity')","(0.3055555555555556, 'construction new bridge yamuna river')","(0.2941176470588235, 'development integrated management plan taj mahal agra fort fatehpur sikri visitors facilitation centre')","(0.308641975308642, 'development proposals accordance paragraph operational guidelines commitment made')","(0.29166666666666663, 'party provide information world heritage centre concerning boundaries area three world heritage properties agra district')","(0.37142857142857144, 'party continue progress development')","(0.3484848484848485, 'heritage centre within framework retrospective inventory project n')","(0.31707317073170727, 'requested world heritage centre within framework retrospective inventory project n')","(0.31707317073170727, 'decision com adopted session christchurch')","(0.2857142857142857, 'state party continue progress development integrated management')","(0.2767857142857143, 'world heritage committee n examined document whc com add n recalling decision com adopted')","(0.28682170542635654, 'examined document whc com add n recalling decision com adopted session christchurch n regrets state party')","(0.26595744680851063, 'provide urgently detailed information associated impact assessment studies undertaken proposed')","(0.33333333333333337, 'com adopted session christchurch n regrets state party')","(0.32307692307692304, 'undertaken proposed construction new bridge yamuna river vicinity')","(0.3731343283582089, 'bridge yamuna river vicinity taj mahal development proposals')","(0.35, 'centre requests submit plans completed world heritage centre')","(0.339622641509434, 'retrospective inventory project n also requests state')","(0.33333333333333337, 'detailed information associated impact assessment studies undertaken proposed construction')","(0.3375, 'provide information world heritage centre concerning boundaries area three world')","(0.3877551020408163, 'inventory project n also requests state party')","(0.31404958677685946, 'proposals accordance paragraph operational guidelines commitment made n requests state party submit world heritage centre')","(0.26086956521739135, 'n examined document whc com add n recalling decision com adopted session christchurch n')","(0.275, 'centre concerning boundaries area three world heritage properties agra district')","(0.3913043478260869, 'world heritage centre concerning boundaries area three world heritage')","(0.381578947368421, 'continue progress development integrated management plan taj mahal agra fort')","(0.295774647887324, 'centre concerning boundaries area three world heritage properties agra district requested world heritage centre within framework retrospective')","(0.3076923076923077, 'heritage committee n encourages state party continue progress development integrated management plan taj mahal agra fort')","(0.30081300813008127, 'urgently detailed information associated impact assessment studies undertaken proposed construction new bridge yamuna river')","(0.37777777777777777, 'proposed construction new bridge yamuna river')","(0.2680412371134021, 'plans completed world heritage centre review advisory bodies n reiterates request state')","(0.3125, 'provide information world heritage centre concerning boundaries area three world')"
"Jul 25, 2010 The World Heritage Convention and the other UNESCO Conventions in the field of culture","(0.3411764705882353, 'also notes outcome international conference cultural biological diversity development')","(0.3655172413793103, 'exchanges participation committee sessions different conventions n nbsp also notes outcome international conference cultural biological diversity')","(0.5192307692307692, 'conference cultural biological diversity development')","(0.3157894736842105, 'different conventions n nbsp also notes outcome international conference cultural biological diversity development')","(0.375, 'convention safeguarding protection diversity cultural expressions n also')","(0.3257575757575758, 'mentioned document n invites world heritage centre strengthen links convention convention safeguarding protection diversity cultural')","(0.3548387096774194, 'parties convention become party')","(0.4137931034482759, 'committee sessions different conventions n nbsp also notes')","(0.36585365853658536, 'exchanges participation committee sessions different conventions n nbsp also notes')","(0.4736842105263158, 'states parties convention become party')","(0.375, 'strengthen links convention convention safeguarding protection diversity')","(0.3467741935483871, 'convention convention safeguarding protection diversity cultural expressions n also invites states parties convention become')","(0.33333333333333337, 'requesting enhanced collaboration secretariats conventions field culture respect specificities n encourages information exchanges participation committee sessions')","(0.3595505617977528, 'links convention convention safeguarding protection diversity cultural expressions n also')","(0.33333333333333337, 'different conventions n recalls decisions com suzhou ext')","(0.452054794520548, 'also notes outcome international conference cultural biological diversity')","(0.35365853658536583, 'links convention convention safeguarding protection diversity cultural expressions')","(0.3194444444444444, 'convention safeguarding protection diversity cultural expressions n also')","(0.42307692307692313, 'different conventions n recalls decisions com suzhou')","(0.3295454545454546, 'centre strengthen links convention convention safeguarding protection diversity cultural')","(0.3555555555555555, 'also notes outcome international conference cultural biological diversity development took')","(0.4328358208955224, 'convention safeguarding protection diversity cultural expressions n')","(0.3178807947019867, 'enhanced collaboration secretariats conventions field culture respect specificities n encourages information exchanges participation committee sessions')","(0.296875, 'cultural biological diversity development took place montreal canada june participation convention secretariats well secretariat')","(0.4, 'also notes outcome international conference cultural biological diversity development took')","(0.5375, 'convention safeguarding protection diversity cultural expressions n also invites')","(0.367816091954023, 'convention safeguarding protection diversity cultural expressions n also invites states')","(0.31506849315068497, 'mentioned document n invites world heritage centre strengthen links convention convention safeguarding protection diversity cultural expressions n')","(0.3472222222222222, 'mentioned document n invites world heritage centre strengthen links convention convention safeguarding protection diversity cultural expressions')","(0.4032258064516129, 'convention convention safeguarding protection diversity cultural expressions n also invites states parties convention become')","(0.4358974358974359, 'different conventions n nbsp also notes')","(0.28865979381443296, 'whc com n notes interest above mentioned document n invites world heritage')","(0.32183908045977017, 'convention safeguarding protection diversity cultural expressions n also invites states')"
"Jul 25, 2010 Stone Town of Zanzibar United Republic of Tanzania C 173rev","(0.3146067415730337, 'operational guidelines environmental impact assessment undertaken clearly planned project')","(0.265625, 'sea wall review process completed n welcomes progress made putting place protective legislation undertaking preparation heritage')","(0.3023255813953488, 'points examination world heritage committee')","(0.31958762886597936, 'paragraph operational guidelines halt work foreshore sea wall review process completed n welcomes')","(0.3220338983050848, 'world heritage centre review advisory bodies line paragraph')","(0.28358208955223885, 'putting place protective legislation undertaking preparation heritage management plan address ongoing challenges decay heritage fabric')","(0.4285714285714286, 'phase ii provides assessment')","(0.29824561403508776, 'invite soon possible december joint world heritage centre')","(0.29166666666666663, 'line paragraph operational guidelines environmental impact assessment undertaken clearly planned')","(0.30000000000000004, 'environmental impact assessment undertaken clearly')","(0.28985507246376807, 'guidelines environmental impact assessment undertaken clearly planned')","(0.2857142857142857, 'n recalling decision com adopted session quebec city n expresses great concern malindi port')","(0.28682170542635654, 'add n recalling decision com adopted session quebec city n expresses great concern malindi port project')","(0.2727272727272727, 'assessment potential impact project outstanding universal value property review advisory')","(0.3055555555555556, 'assessment potential impact project outstanding universal value property')","(0.2777777777777778, 'assessment potential impact project outstanding universal value property')","(0.32835820895522383, 'work foreshore sea wall review process completed n')","(0.34375, 'monitoring project port area previously requested world heritage')","(0.339622641509434, 'great concern malindi port project undertaken without')","(0.3466666666666667, 'assessment undertaken clearly planned project spite requests world heritage')","(0.31182795698924726, 'legislation undertaking preparation heritage management plan address ongoing challenges decay')","(0.375, 'undertaking preparation heritage management plan address ongoing')","(0.31343283582089554, 'putting place protective legislation undertaking preparation heritage management plan address ongoing challenges decay heritage fabric')","(0.2983870967741935, 'welcomes progress made putting place protective legislation undertaking preparation heritage management plan address ongoing')","(0.2941176470588235, 'preparation heritage management plan address ongoing challenges decay heritage fabric')","(0.33333333333333337, 'legislation undertaking preparation heritage management plan address ongoing challenges')","(0.33684210526315794, 'operational guidelines environmental impact assessment undertaken clearly planned project spite')","(0.28148148148148144, 'add n recalling decision com adopted session quebec city n expresses great concern malindi port project undertaken')","(0.2615384615384615, 'com adopted session quebec city n expresses great concern malindi port project undertaken without details provided')","(0.31999999999999995, 'legislation undertaking preparation heritage management plan address ongoing challenges decay heritage fabric traffic tourism')","(0.40476190476190477, 'assessment planned sea front project phase')","(0.3303571428571429, 'putting place protective legislation undertaking preparation heritage management plan address ongoing challenges')","(0.32258064516129037, 'place protective legislation undertaking preparation heritage management plan address ongoing')"
"Jul 25, 2010 Tasmanian Wilderness Australia CN 181","(0.3647058823529412, 'construction outstanding universal value existing property examination world heritage')","(0.2955974842767296, 'conservation property especially outcomes monitoring arrangements focusing specifically impact logging operations road construction outstanding universal value')","(0.34883720930232553, 'modification include formal reserves within')","(0.31858407079646023, 'adjoining forestry operations requests state party maintain rigorous assessment management systems ensure impacts')","(0.41025641025641024, 'report state conservation property especially outcomes monitoring arrangements')","(0.30578512396694213, 'adjoining forestry operations requests state party maintain rigorous assessment management systems ensure impacts arise n')","(0.4285714285714286, 'arise n also requests')","(0.34285714285714286, 'universal value existing property examination world heritage committee')","(0.3111111111111111, 'manage impact forestry operations road construction regeneration integrity twwha adjoining')","(0.3571428571428571, 'updated report state conservation property')","(0.3076923076923077, 'report state conservation property especially outcomes monitoring')","(0.291970802919708, 'state conservation property especially outcomes monitoring arrangements focusing specifically impact logging operations road construction')","(0.2945736434108527, 'n recalling decision com adopted session quebec city n recognizes efforts made state party address actions')","(0.3125, 'forestry operations road construction regeneration integrity twwha adjoining reserves previously')","(0.3589743589743589, 'report state conservation property especially outcomes monitoring arrangements')","(0.33783783783783783, 'manage impact forestry operations road construction regeneration integrity')","(0.33333333333333337, 'report state conservation property especially outcomes monitoring arrangements')","(0.32258064516129037, 'reserves previously requested committee n requests state party')","(0.3538461538461538, 'report state conservation property especially outcomes monitoring')","(0.3194444444444444, 'within property already covered tasmanian wilderness world heritage area')","(0.33333333333333337, 'request regarding potential additional areas considered discretion state party eventual')","(0.3918918918918919, 'conservation property especially outcomes monitoring arrangements focusing')","(0.28859060402684567, 'state conservation property especially outcomes monitoring arrangements focusing specifically impact logging operations road construction outstanding')","(0.29032258064516125, 'monitor asses manage impact forestry operations road construction regeneration integrity twwha adjoining reserves previously')","(0.3168316831683168, 'monitoring arrangements focusing specifically impact logging operations road construction outstanding')","(0.388235294117647, 'construction outstanding universal value existing property examination world heritage')","(0.36274509803921573, 'conservation property especially outcomes monitoring arrangements focusing specifically impact logging')","(0.28104575163398693, 'submit world heritage centre february updated report state conservation property especially outcomes monitoring arrangements focusing specifically impact')","(0.30065359477124187, 'monitoring arrangements focusing specifically impact logging operations road construction outstanding universal value existing property examination world')","(0.32773109243697474, 'adjoining forestry operations requests state party maintain rigorous assessment management systems ensure impacts arise')","(0.4339622641509434, 'updated report state conservation property especially')","(0.2761904761904762, 'adjoining forestry operations requests state party maintain rigorous assessment management systems ensure')","(0.3214285714285714, 'proposing minor modification include formal reserves within property already covered')"
"Jul 25, 2010 Three Parallel Rivers of Yunnan Protected Areas China N 1083","(0.3013698630136986, 'city n nbsp requests state party keep world heritage')","(0.2661290322580645, 'nbsp examined document whc com add n nbsp recalling decision com adopted session quebec city n')","(0.38095238095238093, 'conservation property including status dam')","(0.3157894736842105, 'notes great concern legal mining predates inscription property taking place within hongshan sub')","(0.31818181818181823, 'centre assessment prior consideration approval developments n nbsp')","(0.275, 'ensure completed environmental impact assessment dam nujiang lancang jinsha rivers water course within adjacent property')","(0.35, 'n nbsp also requests')","(0.31818181818181823, 'party submit february report state conservation property including')","(0.30952380952380953, 'furthermore state party submit february report state conservation property including')","(0.36363636363636365, 'report state conservation property including')","(0.2941176470588235, 'boundary modification property draft statement outstanding universal')","(0.2767857142857143, 'recalling decision com adopted session quebec city n nbsp requests state party keep world')","(0.28682170542635654, 'nbsp examined document whc com add n nbsp recalling decision com adopted session quebec city n')","(0.28735632183908044, 'explicit factor environmental impact assessments dam developments could affect property')","(0.35, 'assessment dam nujiang lancang jinsha rivers water course')","(0.31081081081081086, 'world heritage centre assessment prior consideration approval developments')","(0.3731343283582089, 'keep world heritage committee fully informed developments plans')","(0.303030303030303, 'centre assessment prior consideration approval developments n nbsp')","(0.4222222222222223, 'mining production property n nbsp notes state')","(0.30000000000000004, 'property additional areas subject mining licenses requests state party')","(0.29885057471264365, 'explicit factor environmental impact assessments dam developments could affect property')","(0.4067796610169492, 'conservation property including status dam related projects')","(0.3129770992366412, 'proposed boundary modification property draft statement outstanding universal value property examination world heritage committee n')","(0.29565217391304344, 'property n nbsp notes great concern legal mining predates inscription property taking place within')","(0.3125, 'property including status dam related projects removal mining threats property')","(0.34375, 'expansion mining production property n nbsp notes state party')","(0.3522727272727273, 'universal value property considered explicit factor environmental impact assessments dam')","(0.28148148148148144, 'take place within boundaries property permit expansion mining production property n nbsp notes state party s submission')","(0.30000000000000004, 'take place within boundaries property permit expansion mining production property n nbsp notes state party s')","(0.33333333333333337, 'centre assessment prior consideration approval developments n nbsp also requests state party ensure outstanding')","(0.47058823529411764, 'report state conservation property including status')","(0.28865979381443296, 'world heritage committee n nbsp examined document whc com add n nbsp')","(0.323943661971831, 'property permit expansion mining production property n nbsp notes state')"
"Jul 25, 2010 Talamanca RangeLa Amistad Reserves  La Amistad National Park Costa Rica  Panama N 205 Bis","(0.2894736842105263, 'identify least environmentally damaging options meet energy water management')","(0.2857142857142857, 'include update progress achieved undertaking transboundary dam strategic environmental assessment examination world heritage committee session view')","(0.5151515151515151, 's intention build road traversing')","(0.31355932203389836, 'party panama halt dam constructions detailed transboundary strategic environmental assessment process undertaken order')","(0.3880597014925373, 'dams currently construction changuinola bonyic rivers highly likely')","(0.31060606060606055, 'also requests state party panama halt dam constructions detailed transboundary strategic environmental assessment process undertaken')","(0.35, 'n nbsp also requests')","(0.3076923076923077, 'nbsp notes utmost concern dams currently construction changuinola')","(0.27722772277227725, 'undertaking transboundary dam strategic environmental assessment examination world heritage committee')","(0.4482758620689655, 'panama s intention build road')","(0.3220338983050848, 'including construction likely affect property s outstanding')","(0.31496062992125984, 'joint report state conservation property requests furthermore report include update progress achieved undertaking transboundary')","(0.2953020134228188, 's outstanding universal value conditions integrity transboundary strategic environmental assessment sea order identify least environmentally damaging')","(0.3789473684210526, 'universal value conditions integrity transboundary strategic environmental assessment sea order')","(0.36111111111111116, 'nbsp considers mitigation measures proposed maintain migratory corridors')","(0.41666666666666663, 'state party panama s intention build road traversing')","(0.3142857142857143, 'state conservation property requests furthermore report include update')","(0.31818181818181823, 'affect property s outstanding universal value conditions integrity')","(0.34693877551020413, 'panama s intention build road traversing property')","(0.3205128205128205, 'state party submit preliminary environmental assessments world heritage centre')","(0.3829787234042553, 'conditions integrity transboundary strategic environmental assessment sea order identify least')","(0.34693877551020413, 'notes concern state party panama s intention')","(0.3017241379310345, 'notes concern state party panama s intention build road traversing property north boquete province bocas')","(0.26956521739130435, 'n nbsp examined document whc com n nbsp recalling decision com adopted session seville')","(0.3125, 'notes concern state party panama s intention build road traversing')","(0.34065934065934067, 'undertaking transboundary dam strategic environmental assessment examination world heritage')","(0.36170212765957444, 'conditions integrity transboundary strategic environmental assessment sea order identify least')","(0.31055900621118016, 'property requests furthermore report include update progress achieved undertaking transboundary dam strategic environmental assessment examination world heritage')","(0.3076923076923077, 'notes concern state party panama s intention build road traversing property north boquete province bocas del')","(0.32499999999999996, 'seriously degrade integrity requests state party submit preliminary environmental assessments world heritage centre soon')","(0.4693877551020408, 'joint report state conservation property requests')","(0.3027522935779816, 's outstanding universal value conditions integrity transboundary strategic environmental assessment sea order')","(0.3263157894736842, 'panama halt dam constructions detailed transboundary strategic environmental assessment process')"
"Jul 25, 2010 Wadi AlHitan Egypt N 1186","(0.3125, 'inscription well recent additional fossil discoveries north property possibility')","(0.282258064516129, 'urges state party address needs ensure adequate long term finance property n nbsp requests state party')","(0.33333333333333337, 'recent additional fossil discoveries north')","(0.3070175438596491, 'account recommendations time inscription well recent additional fossil discoveries north property possibility link')","(0.33783783783783783, 'recommendations time inscription well recent additional fossil discoveries')","(0.31481481481481477, 'link property gebel qatrani area n nbsp takes note property unmet management needs including basic')","(0.3846153846153846, 'party address needs ensure')","(0.29729729729729726, 'recommendations time inscription well recent additional fossil discoveries')","(0.28409090909090906, 'boundary property taking account recommendations time inscription well recent additional')","(0.34042553191489366, 'taking account recommendations time inscription')","(0.28, 'com adopted session durban n nbsp commends')","(0.2857142857142857, 'north property possibility link property gebel qatrani area n nbsp takes note property unmet')","(0.28682170542635654, 'nbsp examined document whc com add n nbsp recalling decision com adopted session durban n nbsp')","(0.3176470588235294, 'party develop proposal changing boundary property taking account recommendations time')","(0.30000000000000004, 'taking account recommendations time inscription well recent additional')","(0.28378378378378377, 'recommendations time inscription well recent additional fossil discoveries')","(0.34782608695652173, 'relation monitoring development sustainable tourism n nbsp reiterates')","(0.29166666666666663, 'qatrani area n nbsp takes note property unmet')","(0.3220338983050848, 'taking account recommendations time inscription well recent')","(0.30000000000000004, 'inscription well recent additional fossil discoveries north property possibility')","(0.3258426966292135, 'recommendations time inscription well recent additional fossil discoveries north property')","(0.32692307692307687, 'takes note property unmet management needs including')","(0.296875, 'progress management property including relation monitoring development sustainable tourism n nbsp reiterates request state party')","(0.27826086956521734, 'document whc com add n nbsp recalling decision com adopted session durban n nbsp')","(0.31818181818181823, 'proposal changing boundary property taking account recommendations time inscription well')","(0.328125, 'property n nbsp requests state party submit world heritage')","(0.3493975903614458, 'relation monitoring development sustainable tourism n nbsp reiterates request state')","(0.2763157894736842, 'proposal changing boundary property taking account recommendations time inscription well recent additional fossil discoveries north property possibility')","(0.3142857142857143, 'proposal changing boundary property taking account recommendations time inscription well recent additional fossil discoveries north property')","(0.3448275862068966, 'including relation monitoring development sustainable tourism n nbsp reiterates request state party develop proposal')","(0.3653846153846154, 'taking account recommendations time inscription well')","(0.28865979381443296, 'world heritage committee n nbsp examined document whc com add n nbsp')","(0.3258426966292135, 'taking account recommendations time inscription well recent additional fossil discoveries')"
