,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 4, 1995 Inscription The Town of Luang Prabang Lao Peoples Democratic Republic","(0.27586206896551724, 'luang prabang represents exceptional extent successful fusion traditional architectural')","(0.27419354838709675, 'n lao people s democratic republic n c ii iv n committee decided inscribe site world')","(0.3111111111111111, 'structures european colonial rulers centuries')","(0.2845528455284553, 'prabang represents exceptional extent successful fusion traditional architectural urban structures european colonial rulers')","(0.28378378378378377, 'fusion traditional architectural urban structures european colonial rulers')","(0.25547445255474455, 'traditional architectural urban structures european colonial rulers centuries unique townscape remarkably well preserved illustrating key')","(0.33333333333333337, 'iv luang prabang represents')","(0.2702702702702703, 'fusion traditional architectural urban structures european colonial rulers')","(0.27472527472527475, 'fusion traditional architectural urban structures european colonial rulers centuries unique')","(0.30612244897959184, 'fusion traditional architectural urban structures')","(0.30000000000000004, 'heritage list basis criteria ii iv luang')","(0.2857142857142857, 'ii iv n committee decided inscribe site world heritage list basis criteria ii iv')","(0.2945736434108527, 'democratic republic n c ii iv n committee decided inscribe site world heritage list basis criteria')","(0.2857142857142857, 'fusion traditional architectural urban structures european colonial rulers centuries unique')","(0.2784810126582279, 'represents exceptional extent successful fusion traditional architectural urban')","(0.28767123287671237, 'structures european colonial rulers centuries unique townscape remarkably')","(0.26865671641791045, 'prabang n n lao people s democratic republic')","(0.3648648648648649, 'fusion traditional architectural urban structures european colonial rulers')","(0.31343283582089554, 'traditional architectural urban structures european colonial rulers')","(0.38095238095238093, 'fusion traditional architectural urban structures european colonial rulers centuries')","(0.3152173913043478, 'extent successful fusion traditional architectural urban structures european colonial rulers')","(0.32835820895522383, 'fusion traditional architectural urban structures european colonial')","(0.27586206896551724, 'n n lao people s democratic republic n c ii iv n committee decided inscribe')","(0.28695652173913044, 'site world heritage list basis criteria ii iv luang prabang represents exceptional extent successful')","(0.2857142857142857, 'fusion traditional architectural urban structures european colonial rulers centuries unique')","(0.3125, 'ii iv n committee decided inscribe site world heritage')","(0.28, 'ii iv n committee decided inscribe site world heritage list')","(0.274074074074074, 'n lao people s democratic republic n c ii iv n committee decided inscribe site world heritage')","(0.25384615384615383, 'n lao people s democratic republic n c ii iv n committee decided inscribe site world')","(0.3076923076923077, 'extent successful fusion traditional architectural urban structures european colonial rulers centuries unique townscape remarkably')","(0.36363636363636365, 'architectural urban structures european colonial rulers')","(0.2844827586206896, 'prabang represents exceptional extent successful fusion traditional architectural urban structures european colonial')","(0.2857142857142857, 'fusion traditional architectural urban structures european colonial rulers centuries unique')"
"Dec 4, 1995 Not Inscribed Wildlife Reserve of Conkouati Congo","(0.37209302325581395, 'nominated property site considered national importance possess distinguishing features')","(0.2152777777777778, 'committee inscribe nominated property site considered national importance possess distinguishing features universal value noted furthermore site')","(0.33333333333333337, 'committee inscribe nominated property site')","(0.28695652173913044, 'site considered national importance possess distinguishing features universal value noted furthermore site degraded')","(0.33766233766233766, 'nominated property site considered national importance possess distinguishing')","(0.2661290322580645, 'site considered national importance possess distinguishing features universal value noted furthermore site degraded past ten')","(0.2666666666666667, 'features universal value noted')","(0.3287671232876712, 'committee inscribe nominated property site considered national importance')","(0.3125, 'nominated property site considered national importance possess distinguishing features universal')","(0.31818181818181823, 'property site considered national importance')","(0.2698412698412699, 'inscribe nominated property site considered national importance')","(0.25, 'wildlife reserve conkouati n n c ongo n committee inscribe nominated property site considered')","(0.2790697674418605, 'wildlife reserve conkouati n n c ongo n committee inscribe nominated property site considered national importance')","(0.30208333333333337, 'nominated property site considered national importance possess distinguishing features universal')","(0.2857142857142857, 'site considered national importance possess distinguishing features universal')","(0.2727272727272727, 'nominated property site considered national importance possess distinguishing')","(0.26865671641791045, 'n c ongo n committee inscribe nominated property')","(0.273972602739726, 'national importance possess distinguishing features universal value noted')","(0.30645161290322576, 'nominated property site considered national importance possess')","(0.32530120481927716, 'site considered national importance possess distinguishing features universal value')","(0.32291666666666663, 'nominated property site considered national importance possess distinguishing features universal')","(0.3194444444444444, 'considered national importance possess distinguishing features universal')","(0.2586206896551724, 'wildlife reserve conkouati n n c ongo n committee inscribe nominated property site considered national')","(0.25409836065573765, 'ongo n committee inscribe nominated property site considered national importance possess distinguishing features universal')","(0.25, 'n c ongo n committee inscribe nominated property site considered')","(0.33333333333333337, 'committee inscribe nominated property site considered national importance possess')","(0.29333333333333333, 'conkouati n n c ongo n committee inscribe nominated property')","(0.24444444444444446, 'wildlife reserve conkouati n n c ongo n committee inscribe nominated property site considered national importance possess')","(0.25, 'committee inscribe nominated property site considered national importance possess distinguishing features universal value noted furthermore site')","(0.3023255813953488, 'inscribe nominated property site considered national importance possess distinguishing features universal value noted furthermore')","(0.3846153846153846, 'property site considered national importance possess')","(0.2680412371134021, 'n n c ongo n committee inscribe nominated property site considered national')","(0.28125, 'nominated property site considered national importance possess distinguishing features universal')"
"Dec 4, 1995 Other Business","(0.23287671232876717, 'world heritage committee item assure general assembly states parties')","(0.24060150375939848, 'provisional agenda twentieth session world heritage committee item assure general assembly states parties concordance outgoing bureau')","(0.28205128205128205, 'agenda twentieth session world heritage')","(0.2857142857142857, 'agenda twentieth session world heritage committee item assure general assembly states parties concordance')","(0.31343283582089554, 'decided include provisional agenda twentieth session world heritage')","(0.2727272727272727, 'agenda twentieth session world heritage committee item assure general assembly states parties concordance outgoing bureau')","(0.2592592592592593, 'upon request delegate italy')","(0.28358208955223885, 'decided include provisional agenda twentieth session world heritage')","(0.2650602409638554, 'italy committee decided include provisional agenda twentieth session world heritage')","(0.2682926829268293, 'parties concordance outgoing bureau newly')","(0.2622950819672131, 'provisional agenda twentieth session world heritage committee')","(0.2192982456140351, 'agenda twentieth session world heritage committee item assure general assembly states parties concordance outgoing')","(0.20155038759689925, 'world heritage committee item assure general assembly states parties concordance outgoing bureau newly elected committee n')","(0.23750000000000004, 'world heritage committee item assure general assembly states parties concordance')","(0.24615384615384617, 'assembly states parties concordance outgoing bureau newly elected')","(0.23880597014925375, 'decided include provisional agenda twentieth session world heritage')","(0.28358208955223885, 'parties concordance outgoing bureau newly elected committee n')","(0.30645161290322576, 'twentieth session world heritage committee item assure general')","(0.31481481481481477, 'agenda twentieth session world heritage committee item')","(0.2857142857142857, 'decided include provisional agenda twentieth session world heritage committee')","(0.2804878048780488, 'decided include provisional agenda twentieth session world heritage committee item')","(0.2931034482758621, 'decided include provisional agenda twentieth session world')","(0.21666666666666667, 'world heritage committee item assure general assembly states parties concordance outgoing bureau newly elected committee')","(0.22608695652173916, 'xx upon request delegate italy committee decided include provisional agenda twentieth session world heritage')","(0.2168674698795181, 'italy committee decided include provisional agenda twentieth session world heritage')","(0.3013698630136986, 'provisional agenda twentieth session world heritage committee item assure')","(0.2588235294117647, 'request delegate italy committee decided include provisional agenda twentieth session')","(0.2302158273381295, 'provisional agenda twentieth session world heritage committee item assure general assembly states parties concordance outgoing bureau newly')","(0.22307692307692306, 'xx upon request delegate italy committee decided include provisional agenda twentieth session world heritage committee item')","(0.2654867256637168, 'decided include provisional agenda twentieth session world heritage committee item assure general assembly states')","(0.3125, 'states parties concordance outgoing bureau newly')","(0.21649484536082475, 'agenda twentieth session world heritage committee item assure general assembly states parties')","(0.2716049382716049, 'provisional agenda twentieth session world heritage committee item assure general')"
"Dec 4, 1995 Inscription The Virgin Komi Forests Russian Federation","(0.3561643835616438, 'ii iii considering site among important natural sites boreal')","(0.2661290322580645, 'virgin komi forests n n russian federation n n ii iii n committee inscribed nominated property')","(0.33333333333333337, 'commended national authorities conservation efforts')","(0.32773109243697474, 'national authorities conservation efforts well greenpeace wwf swiss government assistance strengthening management area')","(0.35820895522388063, 'national authorities conservation efforts well greenpeace wwf swiss')","(0.2685185185185185, 'n n russian federation n n ii iii n committee inscribed nominated property basis criteria')","(0.33333333333333337, 'natural sites boreal forest')","(0.39682539682539686, 'protected national park zapovednik buffer zone requested centre')","(0.37349397590361444, 'pristine boreal forests important site scientific research including climate change')","(0.34782608695652173, 'national authorities conservation efforts well')","(0.3275862068965517, 'authorities conservation efforts well greenpeace wwf swiss')","(0.2767857142857143, 'federation n n ii iii n committee inscribed nominated property basis criteria ii iii')","(0.31007751937984496, 'n russian federation n n ii iii n committee inscribed nominated property basis criteria ii iii')","(0.2823529411764706, 'requested centre write national authorities encourage upgrade legal status additional')","(0.3417721518987342, 'furthermore commended national authorities conservation efforts well greenpeace')","(0.2911392405063291, 'furthermore commended national authorities conservation efforts well greenpeace')","(0.31645569620253167, 'furthermore commended national authorities conservation efforts well greenpeace')","(0.29166666666666663, 'forests n n russian federation n n ii')","(0.34042553191489366, 'ii iii considering site among important natural')","(0.381578947368421, 'pristine boreal forests important site scientific research including climate')","(0.3529411764705882, 'requested centre write national authorities encourage upgrade legal status additional')","(0.34693877551020413, 'forests n n russian federation n n')","(0.2844827586206896, 'ii iii considering site among important natural sites boreal forest region site pristine boreal forests')","(0.29565217391304344, 'virgin komi forests n n russian federation n n ii iii n committee inscribed')","(0.35, 'area million ha fully protected national park zapovednik buffer zone')","(0.34375, 'ii iii considering site among important natural sites boreal')","(0.33333333333333337, 'conservation efforts well greenpeace wwf swiss government assistance strengthening management')","(0.289308176100629, 'incorporated site furthermore commended national authorities conservation efforts well greenpeace wwf swiss government assistance strengthening management area')","(0.29230769230769227, 'n committee decided inscribe area million ha fully protected national park zapovednik buffer zone requested centre')","(0.306930693069307, 'federation n n ii iii n committee inscribed nominated property basis criteria ii iii')","(0.40384615384615385, 'authorities conservation efforts well greenpeace wwf')","(0.27835051546391754, 'property basis criteria ii iii considering site among important natural sites boreal')","(0.2934782608695652, 'area could incorporated site furthermore commended national authorities conservation efforts')"
"Dec 4, 1995 Progress Report on the Implementation of the xe2x80x9cGlobal Strategy and Thematic Studiesxe2x80x9d Cultural Heritage xe","(0.34246575342465757, 'documents inf inf n regional thematic study meeting asian')","(0.24193548387096775, 'thematic studies carried committee took note detailed reports contained information documents inf inf n regional thematic')","(0.3055555555555556, 'committee took note detailed reports')","(0.2761904761904762, 'xi secretariat presented regional thematic studies carried committee took note detailed reports contained')","(0.3088235294117647, 'xi secretariat presented regional thematic studies carried committee')","(0.21739130434782605, 'regional thematic study meeting asian rice culture terrace landscapes philippines march april asia pacific regional')","(0.30000000000000004, 'studies carried committee took')","(0.3220338983050848, 'contained information documents inf inf n regional thematic')","(0.2894736842105263, 'detailed reports contained information documents inf inf n regional thematic')","(0.32352941176470584, 'meeting asian rice culture terrace')","(0.3275862068965517, 'took note detailed reports contained information documents')","(0.2857142857142857, 'carried committee took note detailed reports contained information documents inf inf n regional thematic')","(0.2945736434108527, 'took note detailed reports contained information documents inf inf n regional thematic study meeting asian rice')","(0.2432432432432432, 'inf n regional thematic study meeting asian rice culture terrace')","(0.2666666666666667, 'documents inf inf n regional thematic study meeting')","(0.25, 'contained information documents inf inf n regional thematic')","(0.26865671641791045, 'documents inf inf n regional thematic study meeting')","(0.2857142857142857, 'presented regional thematic studies carried committee took note')","(0.2962962962962963, 'carried committee took note detailed reports contained')","(0.4098360655737705, 'inf n regional thematic study meeting asian rice culture')","(0.28787878787878785, 'documents inf inf n regional thematic study meeting asian rice')","(0.3620689655172413, 'committee took note detailed reports contained information')","(0.27586206896551724, 'note detailed reports contained information documents inf inf n regional thematic study meeting asian rice')","(0.24347826086956526, 'carried committee took note detailed reports contained information documents inf inf n regional thematic')","(0.26249999999999996, 'inf n regional thematic study meeting asian rice culture terrace')","(0.28205128205128205, 'asia pacific regional workshop associative cultural landscapes australia april')","(0.31999999999999995, 'documents inf inf n regional thematic study meeting asian rice')","(0.2518518518518519, 'thematic studies carried committee took note detailed reports contained information documents inf inf n regional thematic study')","(0.2846153846153846, 'took note detailed reports contained information documents inf inf n regional thematic study meeting asian rice')","(0.2649572649572649, 'xi secretariat presented regional thematic studies carried committee took note detailed reports contained information')","(0.32692307692307687, 'detailed reports contained information documents inf')","(0.23711340206185572, 'contained information documents inf inf n regional thematic study meeting asian rice')","(0.33333333333333337, 'regional thematic study meeting asian rice culture terrace landscapes philippines')"
"Dec 4, 1995 Report on the Decisions of the 10th General Assembly and of the 28th Session of the General Conference","(0.26027397260273977, 'ix committee heard brief explanation documents director world heritage')","(0, '')","(0.28888888888888886, 'explanation documents director world heritage')","(0.25263157894736843, 'ix committee heard brief explanation documents director world heritage centre took note without')","(0.265625, 'heard brief explanation documents director world heritage centre')","(0, '')","(0.28, 'heritage centre took note')","(0.296875, 'heard brief explanation documents director world heritage centre')","(0.2857142857142857, 'ix committee heard brief explanation documents director world heritage centre')","(0.28888888888888886, 'explanation documents director world heritage')","(0.24561403508771928, 'heard brief explanation documents director world heritage')","(0, '')","(0, '')","(0.18181818181818177, 'ix committee heard brief explanation documents director world heritage centre')","(0.203125, 'heard brief explanation documents director world heritage centre')","(0.203125, 'heard brief explanation documents director world heritage centre')","(0.20895522388059706, 'heard brief explanation documents director world heritage centre')","(0.24193548387096775, 'explanation documents director world heritage centre took note')","(0.2931034482758621, 'brief explanation documents director world heritage centre')","(0.30000000000000004, 'ix committee heard brief explanation documents director world heritage')","(0.24675324675324672, 'ix committee heard brief explanation documents director world heritage centre')","(0.2807017543859649, 'explanation documents director world heritage centre took')","(0, '')","(0, '')","(0.17500000000000004, 'ix committee heard brief explanation documents director world heritage centre')","(0.3285714285714286, 'explanation documents director world heritage centre took note without')","(0.22666666666666668, 'heard brief explanation documents director world heritage centre took note')","(0, '')","(0, '')","(0, '')","(0.2692307692307693, 'committee heard brief explanation documents director')","(0.17525773195876293, 'ix committee heard brief explanation documents director world heritage centre took note')","(0.20270270270270274, 'heard brief explanation documents director world heritage centre took note')"
"Dec 4, 1995 Progress Report on the Implementation of the xe2x80x9cGlobal Strategy and Thematic Studiesxe2x80x9d Natural Heritage","(0.3580246913580247, 'session foreseen international geological congress held beijing several delegates')","(0.2592592592592593, 'natural heritage committee furthermore took note world heritage session foreseen international geological congress held beijing several')","(0.4545454545454546, 'concerning fossil geological heritage within')","(0.3008849557522124, 'session foreseen international geological congress held beijing several delegates noted importance linking global')","(0.3098591549295775, 'session foreseen international geological congress held beijing several')","(0.24031007751937983, 'secretariat iucn concerning fossil geological heritage within overall global strategy natural heritage committee furthermore took')","(0.25806451612903225, 'committee furthermore took note')","(0.30000000000000004, 'world heritage session foreseen international geological congress held')","(0.32499999999999996, 'took note world heritage session foreseen international geological congress held')","(0.275, 'action taken secretariat iucn concerning')","(0.27692307692307694, 'world heritage session foreseen international geological congress')","(0.2764227642276422, 'strategy natural heritage committee furthermore took note world heritage session foreseen international geological congress')","(0.27338129496402874, 'session foreseen international geological congress held beijing several delegates noted importance linking global strategy natural cultural')","(0.24137931034482762, 'session foreseen international geological congress held beijing several delegates noted')","(0.2753623188405797, 'secretariat iucn concerning fossil geological heritage within overall')","(0.3571428571428571, 'world heritage session foreseen international geological congress held')","(0.34328358208955223, 'xi committee took note action taken secretariat iucn')","(0.296875, 'congress held beijing several delegates noted importance linking')","(0.34042553191489366, 'xi committee took note action taken secretariat')","(0.3580246913580247, 'international geological congress held beijing several delegates noted importance')","(0.3448275862068966, 'session foreseen international geological congress held beijing several delegates noted')","(0.328125, 'international geological congress held beijing several delegates')","(0.2698412698412699, 'note world heritage session foreseen international geological congress held beijing several delegates noted importance linking')","(0.27118644067796616, 'committee furthermore took note world heritage session foreseen international geological congress held beijing several')","(0.2823529411764706, 'secretariat iucn concerning fossil geological heritage within overall global strategy')","(0.42105263157894735, 'delegates noted importance linking global strategy natural cultural heritage')","(0.2954545454545454, 'committee furthermore took note world heritage session foreseen international geological')","(0.2518518518518519, 'xi committee took note action taken secretariat iucn concerning fossil geological heritage within overall global strategy natural')","(0.25384615384615383, 'xi committee took note action taken secretariat iucn concerning fossil geological heritage within overall global strategy')","(0.2796610169491526, 'note world heritage session foreseen international geological congress held beijing several delegates noted importance')","(0.32727272727272727, 'foreseen international geological congress held beijing')","(0.23584905660377353, 'session foreseen international geological congress held beijing several delegates noted importance linking')","(0.2727272727272727, 'took note action taken secretariat iucn concerning fossil geological heritage')"
"Dec 4, 1995 Inscription Waterton Glacier International Peace Park CanadaUnited States of America","(0.4383561643835616, 'waterton glacier international peace park n n canada united')","(0.282258064516129, 'park n n canada united states america n n ii iii n committee took note evaluation')","(0.3414634146341463, 'interface tri ocean hydrographical divide')","(0.27, 'iucn site meets criteria ii iii distinctive climate physiographic setting mountain prairie interface')","(0.2962962962962963, 'park n n canada united states america n')","(0.2777777777777778, 'waterton glacier international peace park n n canada united states america n n ii iii')","(0.33333333333333337, 'states america n n')","(0.42000000000000004, 'united states america n n ii iii n')","(0.3563218390804598, 'values cultural importance international peace park designation iucn recommended single')","(0.36363636363636365, 'cultural importance international peace park')","(0.36, 'took note evaluation presented iucn site meets')","(0.3125, 'waterton glacier international peace park n n canada united states america n n ii')","(0.31007751937984496, 'united states america n n ii iii n committee took note evaluation presented iucn site meets')","(0.28378378378378377, 'waterton glacier international peace park n n canada united states')","(0.31666666666666665, 'area n committee decided site listed criteria ii')","(0.2816901408450704, 'importance international peace park designation iucn recommended single')","(0.32835820895522383, 'note evaluation presented iucn site meets criteria ii')","(0.3035714285714286, 'iii requested world heritage centre write states parties')","(0.328125, 'importance international peace park designation iucn recommended')","(0.4098360655737705, 'international peace park n n canada united states america')","(0.348314606741573, 'importance international peace park designation iucn recommended single biosphere reserve')","(0.31034482758620685, 'states parties respect biosphere reserve proposal addition')","(0.27586206896551724, 'n canada united states america n n ii iii n committee took note evaluation presented')","(0.27826086956521734, 'states america n n ii iii n committee took note evaluation presented iucn site')","(0.2875, 'waterton glacier international peace park n n canada united states')","(0.3125, 'waterton glacier international peace park n n canada united')","(0.28205128205128205, 'peace park designation iucn recommended single biosphere reserve created three')","(0.28888888888888886, 'united states america n n ii iii n committee took note evaluation presented iucn site meets criteria')","(0.27692307692307694, 'park n n canada united states america n n ii iii n committee took note evaluation')","(0.3564356435643564, 'waterton glacier international peace park n n canada united states america n n ii')","(0.32558139534883723, 'waterton glacier international peace park n')","(0.27835051546391754, 'waterton glacier international peace park n n canada united states america n')","(0.3033707865168539, 'reserve proposal addition committee recommended site eventually expanded include adjacent')"
"Dec 4, 1995 Inscription The Rice Terraces of the Philippine Cordilleras Philippines","(0.28888888888888886, 'cultural landscapes illustrate traditional techniques remarkable harmony humankind natural')","(0.26315789473684215, 'evaluation icomos iucn rice terraces philippine cordilleras outstanding examples living cultural landscapes illustrate traditional techniques remarkable')","(0.33333333333333337, 'evaluation icomos iucn rice terraces')","(0.2941176470588235, 'iv based joint evaluation icomos iucn rice terraces philippine cordilleras outstanding examples living')","(0.32352941176470584, 'towards improving representative nature type property world heritage')","(0.2682926829268293, 'example cultural landscape thereby contributing towards improving representative nature type property world heritage list n')","(0.32258064516129037, 'humankind natural environment n')","(0.27941176470588236, 'harmony humankind natural environment n committee also congratulated')","(0.26436781609195403, 'evaluation icomos iucn rice terraces philippine cordilleras outstanding examples living')","(0.3414634146341463, 'humankind natural environment n committee')","(0.2786885245901639, 'natural environment n committee also congratulated philippine')","(0.3125, 'iii iv n committee decided inscribe property world heritage list criteria iii iv based')","(0.32558139534883723, 'n n philippines n c iii iv n committee decided inscribe property world heritage list criteria')","(0.2941176470588235, 'terraces philippine cordilleras outstanding examples living cultural landscapes illustrate traditional')","(0.29729729729729726, 'thereby contributing towards improving representative nature type property')","(0.2666666666666667, 'world heritage list criteria iii iv based joint')","(0.273972602739726, 'natural environment n committee also congratulated philippine authorities')","(0.27941176470588236, 'harmony humankind natural environment n committee also congratulated')","(0.3125, 'based joint evaluation icomos iucn rice terraces')","(0.3291139240506329, 'n committee also congratulated philippine authorities proposed example cultural')","(0.27450980392156865, 'cultural landscapes illustrate traditional techniques remarkable harmony humankind natural environment')","(0.339622641509434, 'joint evaluation icomos iucn rice terraces philippine')","(0.29729729729729726, 'committee also congratulated philippine authorities proposed example cultural landscape thereby contributing towards improving representative nature')","(0.27826086956521734, 'property world heritage list criteria iii iv based joint evaluation icomos iucn rice terraces')","(0.275, 'iv n committee decided inscribe property world heritage list criteria')","(0.3294117647058824, 'also congratulated philippine authorities proposed example cultural landscape thereby')","(0.30666666666666664, 'c iii iv n committee decided inscribe property world heritage')","(0.2875, 'examples living cultural landscapes illustrate traditional techniques remarkable harmony humankind natural environment n committee also congratulated philippine')","(0.2692307692307693, 'n n philippines n c iii iv n committee decided inscribe property world heritage list criteria')","(0.3382352941176471, 'illustrate traditional techniques remarkable harmony humankind natural environment n committee also congratulated philippine authorities')","(0.3137254901960784, 'improving representative nature type property world')","(0.27835051546391754, 'property world heritage list criteria iii iv based joint evaluation icomos iucn')","(0.303030303030303, 'inscribe property world heritage list criteria iii iv based joint')"
"Dec 4, 1995 Reports on the State of Conservation of specific properties Overview","(0.28767123287671237, 'state conservation reports thirteen natural one mixed cultural natural')","(0.22137404580152675, 'seven cultural properties inscribed list world heritage danger n furthermore committee examined state conservation reports thirteen')","(0.3902439024390244, 'conservation eight natural seven cultural')","(0.3398058252427184, 'reports state conservation eight natural seven cultural properties inscribed list world heritage danger')","(0.375, 'examined reports state conservation eight natural seven cultural')","(0.26050420168067223, 'vii committee examined reports state conservation eight natural seven cultural properties inscribed list world heritage')","(0.3214285714285714, 'reports thirteen natural one')","(0.32835820895522383, 'heritage danger n furthermore committee examined state conservation')","(0.29761904761904767, 'heritage danger n furthermore committee examined state conservation reports thirteen')","(0.40909090909090906, 'examined state conservation reports thirteen')","(0.30188679245283023, 'state conservation reports thirteen natural one mixed')","(0.27586206896551724, 'cultural properties inscribed list world heritage danger n furthermore committee examined state conservation reports')","(0.24031007751937983, 'state conservation eight natural seven cultural properties inscribed list world heritage danger n furthermore committee examined')","(0.30379746835443033, 'state conservation eight natural seven cultural properties inscribed list world')","(0.36764705882352944, 'state conservation eight natural seven cultural properties inscribed')","(0.28125, 'examined reports state conservation eight natural seven cultural')","(0.29850746268656714, 'state conservation reports thirteen natural one mixed cultural')","(0.32258064516129037, 'seven cultural properties inscribed list world heritage danger')","(0.37735849056603776, 'state conservation reports thirteen natural one mixed')","(0.30434782608695654, 'eight natural seven cultural properties inscribed list world heritage')","(0.3417721518987342, 'state conservation eight natural seven cultural properties inscribed list world')","(0.3571428571428571, 'conservation reports thirteen natural one mixed cultural')","(0.23076923076923073, 'reports state conservation eight natural seven cultural properties inscribed list world heritage danger n furthermore')","(0.26086956521739135, 'conservation reports thirteen natural one mixed cultural natural site nineteen cultural world heritage sites')","(0.25, 'eight natural seven cultural properties inscribed list world heritage danger')","(0.3846153846153846, 'reports thirteen natural one mixed cultural natural site nineteen')","(0.2666666666666667, 'state conservation reports thirteen natural one mixed cultural natural site')","(0.24444444444444446, 'list world heritage danger n furthermore committee examined state conservation reports thirteen natural one mixed cultural natural')","(0.2615384615384615, 'state conservation reports thirteen natural one mixed cultural natural site nineteen cultural world heritage sites n')","(0.3055555555555556, 'conservation reports thirteen natural one mixed cultural natural site nineteen cultural world heritage sites')","(0.46153846153846156, 'examined state conservation reports thirteen natural')","(0.24742268041237114, 'reports state conservation eight natural seven cultural properties inscribed list world heritage')","(0.30379746835443033, 'state conservation eight natural seven cultural properties inscribed list world')"
