,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 22, 2004 Decision XVI42 Membership of the Implementation Committee","(0.29268292682926833, 'serve president jordan serve vice president rapporteur respectively implementation')","(0.2517985611510791, 'year period january note selection netherlands serve president jordan serve vice president rapporteur respectively implementation committee')","(0.30952380952380953, 'note selection netherlands serve president')","(0.2777777777777778, 'note appreciation work done implementation committee year confirm positions australia belize ethiopia jordan')","(0.3013698630136986, 'implementation committee year confirm positions australia belize ethiopia')","(0.25984251968503935, 'note appreciation work done implementation committee year confirm positions australia belize ethiopia jordan russian federation')","(0.34782608695652173, 'parties decided dec xvi')","(0.3538461538461538, 'note appreciation work done implementation committee year confirm')","(0.2941176470588235, 'note appreciation work done implementation committee year confirm positions australia')","(0.32499999999999996, 'implementation committee one year effect')","(0.3508771929824561, 'work done implementation committee year confirm positions')","(0.2661290322580645, 'period january note selection netherlands serve president jordan serve vice president rapporteur respectively implementation')","(0.28682170542635654, 'work done implementation committee year confirm positions australia belize ethiopia jordan russian federation one year select')","(0.28915662650602414, 'work done implementation committee year confirm positions australia belize ethiopia')","(0.273972602739726, 'implementation committee year confirm positions australia belize ethiopia')","(0.26388888888888884, 'vice president rapporteur respectively implementation committee one year')","(0.34328358208955223, 'year confirm positions australia belize ethiopia jordan russian')","(0.2833333333333333, 'committee two year period january note selection netherlands')","(0.33999999999999997, 'belize ethiopia jordan russian federation one year')","(0.28985507246376807, 'guatemala nepal netherlands members committee two year period january')","(0.2921348314606742, 'selection netherlands serve president jordan serve vice president rapporteur respectively')","(0.3508771929824561, 'work done implementation committee year confirm positions')","(0.25384615384615383, 'selection netherlands serve president jordan serve vice president rapporteur respectively implementation committee one year effect')","(0.27826086956521734, 'sixteenth meeting parties decided dec xvi note appreciation work done implementation committee year confirm')","(0.2588235294117647, 'jordan serve vice president rapporteur respectively implementation committee one year')","(0.352112676056338, 'federation one year select cameroon georgia guatemala nepal netherlands')","(0.3258426966292135, 'selection netherlands serve president jordan serve vice president rapporteur respectively')","(0.2727272727272727, 'year period january note selection netherlands serve president jordan serve vice president rapporteur respectively implementation committee one')","(0.24615384615384617, 'netherlands members committee two year period january note selection netherlands serve president jordan serve vice president')","(0.3055555555555556, 'decided dec xvi note appreciation work done implementation committee year confirm positions australia belize')","(0.35416666666666663, 'president jordan serve vice president rapporteur')","(0.28712871287128716, 'note appreciation work done implementation committee year confirm positions australia belize ethiopia')","(0.3012048192771084, 'work done implementation committee year confirm positions australia belize ethiopia')"
"Nov 22, 2004 Decision XVI47 Seventeenth Meeting of the Parties to the Montreal Protocol","(0.26027397260273977, 'dec xvi convene seventeenth meeting parties montreal protocol dakar')","(0, '')","(0.2727272727272727, 'convene seventeenth meeting parties montreal')","(0.24752475247524752, 'sixteenth meeting parties decided dec xvi convene seventeenth meeting parties montreal protocol dakar')","(0.2295081967213115, 'dec xvi convene seventeenth meeting parties montreal protocol')","(0, '')","(0.34782608695652173, 'parties decided dec xvi')","(0.2542372881355932, 'parties decided dec xvi convene seventeenth meeting parties')","(0.23376623376623373, 'sixteenth meeting parties decided dec xvi convene seventeenth meeting parties')","(0.3142857142857143, 'dec xvi convene seventeenth meeting')","(0.2542372881355932, 'convene seventeenth meeting parties montreal protocol dakar')","(0, '')","(0, '')","(0.24675324675324672, 'parties decided dec xvi convene seventeenth meeting parties montreal protocol')","(0.18333333333333335, 'parties decided dec xvi convene seventeenth meeting parties')","(0.21666666666666667, 'parties decided dec xvi convene seventeenth meeting parties')","(0.26865671641791045, 'dec xvi convene seventeenth meeting parties montreal protocol')","(0.2622950819672131, 'sixteenth meeting parties decided dec xvi convene seventeenth')","(0.3220338983050848, 'convene seventeenth meeting parties montreal protocol dakar')","(0.22388059701492535, 'dec xvi convene seventeenth meeting parties montreal protocol dakar')","(0.23376623376623373, 'sixteenth meeting parties decided dec xvi convene seventeenth meeting parties')","(0.3220338983050848, 'convene seventeenth meeting parties montreal protocol dakar')","(0, '')","(0, '')","(0.25, 'sixteenth meeting parties decided dec xvi convene seventeenth meeting parties')","(0.23880597014925375, 'dec xvi convene seventeenth meeting parties montreal protocol dakar')","(0.23376623376623373, 'parties decided dec xvi convene seventeenth meeting parties montreal protocol')","(0, '')","(0, '')","(0, '')","(0.2941176470588235, 'seventeenth meeting parties montreal protocol dakar')","(0.25773195876288657, 'sixteenth meeting parties decided dec xvi convene seventeenth meeting parties montreal protocol')","(0.23376623376623373, 'parties decided dec xvi convene seventeenth meeting parties montreal protocol')"
"Nov 22, 2004 Decision XVI46 Extraordinary Meeting of the Parties","(0.3287671232876712, 'conjunction twenty fifth meeting open ended working group parties')","(0.28148148148148144, 'meeting parties understanding give rise financial implication extraordinary meeting parties shall held conjunction twenty fifth meeting')","(0.34090909090909094, 'consideration items agenda recalling article')","(0.3211009174311926, 'parties unable complete consideration items agenda recalling article paragraph protocol regard paragraph rule')","(0.33333333333333337, 'organizational matters adoption agenda organization work review critical')","(0.26315789473684215, 'below annex provisional agenda extraordinary meeting parties opening meeting organizational matters adoption agenda organization work')","(0.34782608695652173, 'parties decided dec xvi')","(0.36764705882352944, 'meeting parties unable complete consideration items agenda recalling')","(0.3222222222222222, 'recognizing sixteenth meeting parties unable complete consideration items agenda recalling')","(0.3571428571428571, 'nominations methyl bromide adoption report')","(0.3529411764705882, 'extraordinary meeting parties opening meeting organizational matters')","(0.2946428571428571, 'held conjunction twenty fifth meeting open ended working group parties montreal protocol provisional agenda')","(0.26865671641791045, 'adoption agenda organization work review critical use nominations methyl bromide adoption report extraordinary meeting parties closure')","(0.3176470588235294, 'protocol provisional agenda extraordinary meeting parties set below annex provisional')","(0.34285714285714286, 'unable complete consideration items agenda recalling article paragraph')","(0.32432432432432434, 'parties montreal protocol provisional agenda extraordinary meeting parties')","(0.28358208955223885, 'shall held conjunction twenty fifth meeting open ended')","(0.3918918918918919, 'parties montreal protocol provisional agenda extraordinary meeting parties')","(0.35416666666666663, 'held conjunction twenty fifth meeting open ended')","(0.3384615384615385, 'conjunction twenty fifth meeting open ended working group parties')","(0.3295454545454546, 'opening meeting organizational matters adoption agenda organization work review critical')","(0.359375, 'implication extraordinary meeting parties shall held conjunction')","(0.2941176470588235, 'procedure deem necessary extraordinary meeting parties understanding give rise financial implication extraordinary meeting parties shall')","(0.3125, 'extraordinary meeting parties understanding give rise financial implication extraordinary meeting parties shall held conjunction')","(0.2727272727272727, 'working group parties montreal protocol provisional agenda extraordinary meeting parties')","(0.3125, 'consideration items agenda recalling article paragraph protocol regard paragraph')","(0.30666666666666664, 'conjunction twenty fifth meeting open ended working group parties montreal')","(0.27450980392156865, 'procedure deem necessary extraordinary meeting parties understanding give rise financial implication extraordinary meeting parties shall held conjunction')","(0.25757575757575757, 'dec xvi recognizing sixteenth meeting parties unable complete consideration items agenda recalling article paragraph protocol regard')","(0.3025210084033614, 'understanding give rise financial implication extraordinary meeting parties shall held conjunction twenty fifth meeting')","(0.3846153846153846, 'unable complete consideration items agenda recalling')","(0.2941176470588235, 'parties montreal protocol provisional agenda extraordinary meeting parties set below annex provisional')","(0.3647058823529412, 'protocol provisional agenda extraordinary meeting parties set below annex provisional')"
"Nov 22, 2004 Decision XVI45 Declaration of 2007 as xe2x80x9cInternational Year of the Ozone Layerxe2x80x9d","(0.273972602739726, 'consumption ozone depleting substances since per cent considering entry')","(0.30000000000000004, 'success montreal protocol parties protocol demonstrated commitment decisive action reducing consumption ozone depleting substances since per')","(0.31818181818181823, 'consumption ozone depleting substances since')","(0.32352941176470584, 'action reducing consumption ozone depleting substances since per cent considering entry force montreal')","(0.3538461538461538, 'consumption ozone depleting substances since per cent considering')","(0.28148148148148144, 'layer recover full compliance provisions montreal protocol avoidance significant increases ultraviolet radiation reaching earth surface')","(0.34782608695652173, 'parties decided dec xvi')","(0.31081081081081086, 'commitment decisive action reducing consumption ozone depleting substances')","(0.34782608695652173, 'protocol parties protocol demonstrated commitment decisive action reducing consumption ozone')","(0.35416666666666663, 'demonstrated commitment decisive action reducing')","(0.30000000000000004, 'since per cent considering entry force montreal')","(0.2748091603053435, 'atmosphere expectation ozone layer recover full compliance provisions montreal protocol avoidance significant increases ultraviolet')","(0.2894736842105263, 'substances atmosphere expectation ozone layer recover full compliance provisions montreal protocol avoidance significant increases ultraviolet radiation')","(0.2857142857142857, 'full compliance provisions montreal protocol avoidance significant increases ultraviolet radiation')","(0.29729729729729726, 'commitment decisive action reducing consumption ozone depleting substances')","(0.33783783783783783, 'protocol parties protocol demonstrated commitment decisive action reducing')","(0.30000000000000004, 'recalling montreal protocol substances deplete ozone layer constitutes')","(0.6857142857142857, 'recalling montreal protocol substances deplete ozone layer constitutes')","(0.42622950819672134, 'ozone depleting substances atmosphere expectation ozone layer')","(0.28378378378378377, 'expectations human health reduced environmental risks life earth gratified')","(0.3246753246753247, 'consumption ozone depleting substances since per cent considering entry force')","(0.3492063492063492, 'commitment decisive action reducing consumption ozone depleting')","(0.303030303030303, 'protocol avoidance significant increases ultraviolet radiation reaching earth surface and thereby improved expectations human health')","(0.3089430894308943, 'protocol parties protocol demonstrated commitment decisive action reducing consumption ozone depleting substances since per')","(0.348314606741573, 'protocol avoidance significant increases ultraviolet radiation reaching earth surface and')","(0.32307692307692304, 'since per cent considering entry force montreal protocol resulted')","(0.32098765432098764, 'thereby improved expectations human health reduced environmental risks life earth')","(0.3055555555555556, 'protocol demonstrated commitment decisive action reducing consumption ozone depleting substances since per cent considering entry force montreal')","(0.3111111111111111, 'protocol demonstrated commitment decisive action reducing consumption ozone depleting substances since per cent considering entry force')","(0.3097345132743363, 'montreal protocol resulted in decline level ozone depleting substances atmosphere expectation ozone layer recover')","(0.38888888888888884, 'action reducing consumption ozone depleting substances')","(0.3008849557522124, 'protocol parties protocol demonstrated commitment decisive action reducing consumption ozone depleting substances')","(0.39583333333333337, 'protocol demonstrated commitment decisive action reducing consumption ozone depleting substances')"
"Nov 22, 2004 Decision XVI6 Accounting framework","(0.28, 'quantities methyl bromide produced imported exported parties terms critical')","(0.22480620155038755, 'quantities methyl bromide produced imported exported parties terms critical use exemptions aware information must submitted party')","(0.30434782608695654, 'work undertaken technology economic assessment')","(0.303921568627451, 'must submitted party nomination using accounting framework format adopt accounting framework set annex')","(0.29166666666666663, 'noting appreciation work undertaken technology economic assessment panel')","(0.2796610169491526, 'methyl bromide produced imported exported parties terms critical use exemptions aware information must submitted party')","(0.34782608695652173, 'parties decided dec xvi')","(0.4126984126984127, 'include accounting framework next version handbook critical use')","(0.36250000000000004, 'assessment panel include accounting framework next version handbook critical use')","(0.31818181818181823, 'nomination using accounting framework format')","(0.30645161290322576, 'critical use exemption requested submit information quantities')","(0.275, 'request technology economic assessment panel include accounting framework next version handbook critical use nominations')","(0.26356589147286824, 'nomination using accounting framework format adopt accounting framework set annex ii report sixteenth meeting parties request')","(0.28888888888888886, 'noting appreciation work undertaken technology economic assessment panel pursuant decision')","(0.27419354838709675, 'critical use exemptions aware information must submitted party')","(0.2615384615384615, 'party granted critical use exemption requested submit information')","(0.3731343283582089, 'framework next version handbook critical use nominations methyl')","(0.2857142857142857, 'technology economic assessment panel include accounting framework next')","(0.3921568627450981, 'decided dec xvi noting appreciation work undertaken')","(0.3116883116883117, 'information must submitted party nomination using accounting framework format')","(0.2875, 'dec xvi noting appreciation work undertaken technology economic assessment panel')","(0.3389830508474576, 'xvi noting appreciation work undertaken technology economic')","(0.2692307692307693, 'sixteenth meeting parties request technology economic assessment panel include accounting framework next version handbook critical')","(0.24347826086956526, 'framework mindful end party granted critical use exemption requested submit information quantities methyl bromide')","(0.26249999999999996, 'dec xvi noting appreciation work undertaken technology economic assessment panel')","(0.30666666666666664, 'nomination using accounting framework format adopt accounting framework set')","(0.3222222222222222, 'noting appreciation work undertaken technology economic assessment panel pursuant decision')","(0.2592592592592593, 'sixteenth meeting parties decided dec xvi noting appreciation work undertaken technology economic assessment panel pursuant decision ex')","(0.2727272727272727, 'sixteenth meeting parties decided dec xvi noting appreciation work undertaken technology economic assessment panel pursuant decision')","(0.2844827586206896, 'noting appreciation work undertaken technology economic assessment panel pursuant decision ex i paragraph developing')","(0.3191489361702128, 'granted critical use exemption requested submit')","(0.27835051546391754, 'noting appreciation work undertaken technology economic assessment panel pursuant decision ex i')","(0.32558139534883723, 'critical use exemption requested submit information quantities methyl bromide produced')"
"Nov 23, 1992 Decision IV1 Amendment adopted by the Second Meeting of the Parties London Amendment","(0.273972602739726, 'adopted second meeting parties urge parties yet ratified said')","(0.18548387096774188, 'fourth meeting parties decided dec iv invite attention parties montreal protocol entry force august amendment protocol')","(0.31707317073170727, 'attention parties montreal protocol entry')","(0.2727272727272727, 'montreal protocol entry force august amendment protocol adopted second meeting parties urge parties')","(0.29032258064516125, 'amendment protocol adopted second meeting parties urge parties')","(0.27586206896551724, 'invite attention parties montreal protocol entry force august amendment protocol adopted second meeting parties urge')","(0.41666666666666663, 'parties urge parties yet')","(0.3114754098360656, 'invite attention parties montreal protocol entry force august')","(0.29333333333333333, 'amendment protocol adopted second meeting parties urge parties yet ratified')","(0.32258064516129037, 'dec iv invite attention parties')","(0.3137254901960784, 'iv invite attention parties montreal protocol entry')","(0.2946428571428571, 'fourth meeting parties decided dec iv invite attention parties montreal protocol entry force august')","(0.24806201550387597, 'dec iv invite attention parties montreal protocol entry force august amendment protocol adopted second meeting parties')","(0.2692307692307693, 'parties montreal protocol entry force august amendment protocol adopted second')","(0.2833333333333333, 'adopted second meeting parties urge parties yet ratified')","(0.3548387096774194, 'amendment protocol adopted second meeting parties urge parties')","(0.31343283582089554, 'force august amendment protocol adopted second meeting parties')","(0.3870967741935484, 'amendment protocol adopted second meeting parties urge parties')","(0.3529411764705882, 'iv invite attention parties montreal protocol entry')","(0.2676056338028169, 'invite attention parties montreal protocol entry force august amendment')","(0.26249999999999996, 'invite attention parties montreal protocol entry force august amendment protocol')","(0.31481481481481477, 'attention parties montreal protocol entry force august')","(0.23275862068965514, 'montreal protocol entry force august amendment protocol adopted second meeting parties urge parties yet ratified')","(0.26086956521739135, 'montreal protocol entry force august amendment protocol adopted second meeting parties urge parties yet')","(0.2875, 'protocol entry force august amendment protocol adopted second meeting parties')","(0.296875, 'dec iv invite attention parties montreal protocol entry force')","(0.28, 'dec iv invite attention parties montreal protocol entry force august')","(0.28888888888888886, 'parties montreal protocol entry force august amendment protocol adopted second meeting parties urge parties yet ratified said')","(0.29230769230769227, 'fourth meeting parties decided dec iv invite attention parties montreal protocol entry force august amendment protocol')","(0.2621359223300971, 'force august amendment protocol adopted second meeting parties urge parties yet ratified said amendment')","(0.326530612244898, 'amendment protocol adopted second meeting parties')","(0.24742268041237114, 'decided dec iv invite attention parties montreal protocol entry force august amendment')","(0.3246753246753247, 'protocol entry force august amendment protocol adopted second meeting parties')"
"Nov 22, 2004 Decision XVI43 Membership of the Executive Committee of the Multilateral Fund","(0.273972602739726, 'selection brazil cuba niger syrian arab republic thailand zambia')","(0.26315789473684215, 'america members executive committee representing parties operating paragraph article protocol selection brazil cuba niger syrian arab')","(0.38235294117647056, 'selection brazil cuba niger syrian')","(0.28846153846153844, 'done executive committee assistance fund secretariat year endorse selection austria belgium canada czech')","(0.31343283582089554, 'representing parties operating paragraph one year effective january')","(0.25757575757575757, 'britain northern ireland united states america members executive committee representing parties operating paragraph article protocol')","(0.34782608695652173, 'parties decided dec xvi')","(0.3571428571428571, 'united states america members executive committee representing parties')","(0.32183908045977017, 'northern ireland united states america members executive committee representing parties')","(0.33333333333333337, 'january note selection mr paul')","(0.28358208955223885, 'committee representing parties operating paragraph article protocol')","(0.282258064516129, 'united states america members executive committee representing parties operating paragraph article protocol selection brazil')","(0.2945736434108527, 'dec xvi note appreciation work done executive committee assistance fund secretariat year endorse selection austria belgium')","(0.2702702702702703, 'note selection mr paul krajnik austria serve chair mr khaled')","(0.30000000000000004, 'article protocol selection brazil cuba niger syrian arab')","(0.33333333333333337, 'article protocol selection brazil cuba niger syrian arab')","(0.29850746268656714, 'work done executive committee assistance fund secretariat year')","(0.3035714285714286, 'article protocol selection brazil cuba niger syrian arab')","(0.33333333333333337, 'xvi note appreciation work done executive committee')","(0.2784810126582279, 'representing parties operating paragraph article protocol selection brazil cuba')","(0.3058823529411765, 'representing parties operating paragraph article protocol selection brazil cuba niger')","(0.35, 'committee assistance fund secretariat year endorse selection')","(0.28, 'members executive committee representing parties operating paragraph article protocol selection brazil cuba niger syrian arab')","(0.27826086956521734, 'mr khaled klaly syrian arab republic serve vice chair executive committee one year effect')","(0.26249999999999996, 'operating paragraph article protocol selection brazil cuba niger syrian arab')","(0.328125, 'effective january note selection mr paul krajnik austria serve')","(0.25609756097560976, 'representing parties operating paragraph one year effective january note selection')","(0.2666666666666667, 'sixteenth meeting parties decided dec xvi note appreciation work done executive committee assistance fund secretariat year endorse')","(0.2692307692307693, 'sixteenth meeting parties decided dec xvi note appreciation work done executive committee assistance fund secretariat year')","(0.2833333333333333, 'members executive committee representing parties operating paragraph article protocol selection brazil cuba niger syrian')","(0.3214285714285714, 'america members executive committee representing parties')","(0.2680412371134021, 'czech republic japan united kingdom great britain northern ireland united states america')","(0.295774647887324, 'selection brazil cuba niger syrian arab republic thailand zambia former')"
"Nov 23, 1992 Decision IV10 Trade names of controlled substances","(0.25274725274725274, 'controlled substances compiled technology economic assessment panel distributed secretariat')","(0.19354838709677424, 'fourth meeting parties decided dec iv note list trade names controlled substances compiled technology economic assessment')","(0.27083333333333337, 'technology economic assessment panel distributed')","(0.2743362831858407, 'note list trade names controlled substances compiled technology economic assessment panel distributed secretariat')","(0.2962962962962963, 'compiled technology economic assessment panel distributed secretariat governments')","(0.22413793103448276, 'decided dec iv note list trade names controlled substances compiled technology economic assessment panel distributed')","(0.36363636363636365, 'parties decided dec iv')","(0.28, 'parties decided dec iv note list trade names')","(0.2615384615384615, 'fourth meeting parties decided dec iv note list trade names')","(0.25, 'technology economic assessment panel distributed')","(0.3472222222222222, 'technology economic assessment panel distributed secretariat governments')","(0.2410714285714286, 'fourth meeting parties decided dec iv note list trade names controlled substances compiled technology')","(0.20155038759689925, 'fourth meeting parties decided dec iv note list trade names controlled substances compiled technology economic assessment')","(0.2650602409638554, 'note list trade names controlled substances compiled technology economic assessment')","(0.2592592592592593, 'compiled technology economic assessment panel distributed secretariat governments')","(0.28767123287671237, 'trade names controlled substances compiled technology economic assessment')","(0.25373134328358204, 'dec iv note list trade names controlled substances')","(0.3650793650793651, 'note list trade names controlled substances compiled technology')","(0.32499999999999996, 'decided dec iv note list trade names')","(0.24590163934426235, 'fourth meeting parties decided dec iv note list trade')","(0.27142857142857146, 'dec iv note list trade names controlled substances compiled technology')","(0.326530612244898, 'meeting parties decided dec iv note list')","(0.23275862068965514, 'fourth meeting parties decided dec iv note list trade names controlled substances compiled technology economic')","(0.25217391304347825, 'decided dec iv note list trade names controlled substances compiled technology economic assessment panel')","(0.30000000000000004, 'fourth meeting parties decided dec iv note list trade names')","(0.296875, 'fourth meeting parties decided dec iv note list trade')","(0.27184466019417475, 'controlled substances compiled technology economic assessment panel distributed secretariat governments')","(0.2148148148148148, 'fourth meeting parties decided dec iv note list trade names controlled substances compiled technology economic assessment panel')","(0.2272727272727273, 'dec iv note list trade names controlled substances compiled technology economic assessment panel distributed secretariat governments')","(0.24, 'note list trade names controlled substances compiled technology economic assessment panel distributed secretariat governments')","(0.29508196721311475, 'economic assessment panel distributed secretariat governments')","(0.27835051546391754, 'fourth meeting parties decided dec iv note list trade names controlled substances')","(0.28787878787878785, 'parties decided dec iv note list trade names controlled substances')"
"Nov 22, 2004 Decision XVI9 Flexibility in the use of alternatives for the phasing out of methyl bromide","(0.2784810126582279, 'considering willingness parties comply requirements montreal protocol phase out')","(0.2465753424657534, 'parties comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide come unforeseen difficulties')","(0.3137254901960784, 'conditions taking account agricultural technologies')","(0.3070175438596491, 'comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide come')","(0.34782608695652173, 'conditions aware parties operating paragraph article facing situation')","(0.2753623188405797, 'comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide come unforeseen difficulties')","(0.36111111111111116, 'parties comply requirements montreal')","(0.29850746268656714, 'parties operating paragraph article facing situation seek continued')","(0.29268292682926833, 'assistance order help build capacities find satisfactory solution use alternatives')","(0.31818181818181823, 'local agricultural conditions taking account')","(0.3114754098360656, 'specific conditions aware parties operating paragraph article')","(0.29323308270676696, 'considering willingness parties comply requirements montreal protocol phase out schedules considering development alternatives methyl')","(0.274074074074074, 'place specific conditions aware parties operating paragraph article facing situation seek continued technical support flexibility adapt')","(0.28888888888888886, 'capacities find satisfactory solution use alternatives request appropriate bodies evaluate')","(0.26865671641791045, 'place specific conditions aware parties operating paragraph article')","(0.31081081081081086, 'requirements montreal protocol phase out schedules considering development')","(0.3194444444444444, 'protocol phase out schedules considering development alternatives methyl')","(0.3783783783783784, 'requirements montreal protocol phase out schedules considering development')","(0.3157894736842105, 'come unforeseen difficulties certain crops melons flowers')","(0.31999999999999995, 'certain crops melons flowers strawberries owing specific local agricultural')","(0.32978723404255317, 'considering development alternatives methyl bromide come unforeseen difficulties certain crops')","(0.3114754098360656, 'facing situation seek continued technical support flexibility')","(0.26356589147286824, 'specific conditions aware parties operating paragraph article facing situation seek continued technical support flexibility adapt')","(0.2682926829268293, 'specific conditions aware parties operating paragraph article facing situation seek continued technical support flexibility')","(0.2823529411764706, 'protocol phase out schedules considering development alternatives methyl bromide come')","(0.30379746835443033, 'melons flowers strawberries owing specific local agricultural conditions taking')","(0.32978723404255317, 'requirements montreal protocol phase out schedules considering development alternatives methyl')","(0.3087248322147651, 'dec xvi considering willingness parties comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide')","(0.3013698630136986, 'parties comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide come unforeseen difficulties')","(0.29600000000000004, 'comply requirements montreal protocol phase out schedules considering development alternatives methyl bromide come unforeseen')","(0.3191489361702128, 'comply requirements montreal protocol phase out')","(0.2844036697247706, 'protocol phase out schedules considering development alternatives methyl bromide come unforeseen difficulties')","(0.3176470588235294, 'protocol phase out schedules considering development alternatives methyl bromide come')"
"Nov 22, 2004 Decision XVI8 Request for technical and financial support relating to methyl bromide alternatives","(0.28767123287671237, 'countries use little methyl bromide enable put place bans')","(0.2816901408450704, 'amendment calling total elimination methyl bromide considering number size requests critical use exemptions considering significant quantities')","(0.34042553191489366, 'conclusions regional workshop experiences using')","(0.3055555555555556, 'decided dec xvi considering copenhagen amendment calling total elimination methyl bromide considering number')","(0.32098765432098764, 'purposes considering conclusions regional workshop experiences using alternatives')","(0.28148148148148144, 'critical use exemptions considering significant quantities methyl bromide used pre shipment quarantine purposes considering conclusions')","(0.34782608695652173, 'parties decided dec xvi')","(0.33333333333333337, 'official united nations languages publish languages summary alternatives')","(0.34042553191489366, 'secretariat translate official united nations languages publish languages summary alternatives')","(0.3571428571428571, 'amendment calling total elimination methyl')","(0.31343283582089554, 'requests critical use exemptions considering significant quantities')","(0.3089430894308943, 'implement methyl bromide provisions montreal protocol request ozone secretariat translate official united nations languages')","(0.26315789473684215, 'exemptions considering significant quantities methyl bromide used pre shipment quarantine purposes considering conclusions regional workshop experiences')","(0.27586206896551724, 'significant quantities methyl bromide used pre shipment quarantine purposes considering')","(0.32098765432098764, 'purposes considering conclusions regional workshop experiences using alternatives')","(0.3188405797101449, 'montreal protocol request ozone secretariat translate official united')","(0.3055555555555556, 'bromide provisions montreal protocol request ozone secretariat translate')","(0.46376811594202894, 'montreal protocol request ozone secretariat translate official united')","(0.33870967741935487, 'bromide provisions montreal protocol request ozone secretariat')","(0.28395061728395066, 'secretariat translate official united nations languages publish languages summary')","(0.29885057471264365, 'fund enable identify environmentally safe strategies plans effectively implement methyl')","(0.3392857142857143, 'considering number size requests critical use exemptions')","(0.29007633587786263, 'pre shipment quarantine purposes considering conclusions regional workshop experiences using alternatives methyl bromide held dakar')","(0.29508196721311475, 'methyl bromide need technical financial assistance multilateral fund enable identify environmentally safe strategies plans')","(0.3132530120481928, 'protocol use little methyl bromide need technical financial assistance multilateral')","(0.34782608695652173, 'fact parties operating paragraph article montreal protocol use little')","(0.3529411764705882, 'methyl bromide used pre shipment quarantine purposes considering conclusions regional')","(0.2911392405063291, 'exemptions considering significant quantities methyl bromide used pre shipment quarantine purposes considering conclusions regional workshop experiences using')","(0.3088235294117647, 'protocol use little methyl bromide need technical financial assistance multilateral fund enable identify environmentally safe strategies')","(0.3015873015873016, 'identify environmentally safe strategies plans effectively implement methyl bromide provisions montreal protocol request ozone')","(0.339622641509434, 'implement methyl bromide provisions montreal protocol')","(0.27835051546391754, 'provided support countries use little methyl bromide enable put place bans imports')","(0.3563218390804598, 'montreal protocol request ozone secretariat translate official united nations languages')"
