,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Oct 28, 1983 Closure of the session","(0.30681818181818177, 'closed chairman congratulated secretariat work implementation expressed hope secretariat')","(0.22480620155038755, 'continue receive part unesco well world heritage fund necessary assistance pursuit work accomplished concluding announced session')","(0.2790697674418605, 'concluding announced session world heritage')","(0.306930693069307, 'work implementation expressed hope secretariat would continue receive part unesco well world heritage')","(0.31645569620253167, 'declaring meeting closed chairman congratulated secretariat work implementation')","(0.24626865671641796, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope secretariat would continue receive part')","(0.24390243902439024, 'secretariat work implementation expressed')","(0.3026315789473685, 'closed chairman congratulated secretariat work implementation expressed hope')","(0.2872340425531915, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope')","(0.2857142857142857, 'meeting closed chairman congratulated secretariat')","(0.3114754098360656, 'work implementation expressed hope secretariat would continue')","(0.2558139534883721, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope secretariat would continue receive')","(0.25531914893617025, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope secretariat would continue receive part unesco')","(0.2872340425531915, 'closed chairman congratulated secretariat work implementation expressed hope secretariat would')","(0.26582278481012656, 'declaring meeting closed chairman congratulated secretariat work implementation')","(0.28, 'necessary assistance pursuit work accomplished concluding announced session')","(0.25373134328358204, 'continue receive part unesco well world heritage fund')","(0.25806451612903225, 'announced session world heritage committee would held florence')","(0.296875, 'implementation expressed hope secretariat would continue receive')","(0.2702702702702703, 'work implementation expressed hope secretariat would continue receive part')","(0.3263157894736842, 'congratulated secretariat work implementation expressed hope secretariat would continue receive')","(0.296875, 'implementation expressed hope secretariat would continue receive')","(0.25, 'assistance pursuit work accomplished concluding announced session world heritage committee would held florence december generous')","(0.2479338842975206, 'chairman congratulated secretariat work implementation expressed hope secretariat would continue receive part unesco well')","(0.2588235294117647, 'pursuit work accomplished concluding announced session world heritage committee would')","(0.33766233766233766, 'accomplished concluding announced session world heritage committee would held')","(0.3052631578947368, 'congratulated secretariat work implementation expressed hope secretariat would continue receive')","(0.26027397260273977, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope secretariat would continue receive part unesco well')","(0.26241134751773054, 'declaring meeting closed chairman congratulated secretariat work implementation expressed hope secretariat would continue receive part unesco')","(0.29268292682926833, 'accomplished concluding announced session world heritage committee would held florence december generous invitation italian')","(0.31034482758620685, 'secretariat work implementation expressed hope secretariat')","(0.23711340206185572, 'hope secretariat would continue receive part unesco well world heritage fund necessary')","(0.2804878048780488, 'well world heritage fund necessary assistance pursuit work accomplished concluding')"
"Oct 28, 1983 Determination of the amount of the contributions to the World Heritage Fund in accordance with the provisions of Article","(0.25609756097560976, 'general assembly decided unanimously maintain financial period amount contribution')","(0.26865671641791045, 'proposal chairman general assembly decided unanimously maintain financial period amount contribution paid world heritage fund foreseen')","(0.3695652173913043, 'convention contribution states parties regular')","(0.31818181818181823, 'amount contribution paid world heritage fund foreseen article paragraph convention contribution states parties')","(0.3380281690140845, 'article paragraph convention contribution states parties regular budget')","(0.29600000000000004, 'amount contribution paid world heritage fund foreseen article paragraph convention contribution states parties regular budget')","(0.31034482758620685, 'states parties regular budget')","(0.4, 'fund foreseen article paragraph convention contribution states parties')","(0.3647058823529412, 'world heritage fund foreseen article paragraph convention contribution states parties')","(0.375, 'article paragraph convention contribution states')","(0.33333333333333337, 'paragraph convention contribution states parties regular budget')","(0.28099173553719003, 'maintain financial period amount contribution paid world heritage fund foreseen article paragraph convention contribution')","(0.276595744680851, 'decided unanimously maintain financial period amount contribution paid world heritage fund foreseen article paragraph convention contribution')","(0.22988505747126442, 'general assembly decided unanimously maintain financial period amount contribution paid')","(0.27142857142857146, 'world heritage fund foreseen article paragraph convention contribution')","(0.3285714285714286, 'fund foreseen article paragraph convention contribution states parties')","(0.3098591549295775, 'article paragraph convention contribution states parties regular budget')","(0.296875, 'contribution paid world heritage fund foreseen article paragraph')","(0.40625, 'article paragraph convention contribution states parties regular')","(0.3142857142857143, 'maintain financial period amount contribution paid world heritage fund')","(0.3076923076923077, 'period amount contribution paid world heritage fund foreseen article paragraph')","(0.3492063492063492, 'paragraph convention contribution states parties regular budget')","(0.2578125, 'maintain financial period amount contribution paid world heritage fund foreseen article paragraph convention contribution states')","(0.2627118644067796, 'amount contribution paid world heritage fund foreseen article paragraph convention contribution states parties regular')","(0.28735632183908044, 'proposal chairman general assembly decided unanimously maintain financial period amount')","(0.3142857142857143, 'maintain financial period amount contribution paid world heritage fund')","(0.2954545454545454, 'contribution paid world heritage fund foreseen article paragraph convention contribution')","(0.24647887323943662, 'proposal chairman general assembly decided unanimously maintain financial period amount contribution paid world heritage fund foreseen article')","(0.26865671641791045, 'proposal chairman general assembly decided unanimously maintain financial period amount contribution paid world heritage fund foreseen')","(0.2966101694915254, 'amount contribution paid world heritage fund foreseen article paragraph convention contribution states parties regular')","(0.33333333333333337, 'foreseen article paragraph convention contribution states')","(0.23529411764705888, 'amount contribution paid world heritage fund foreseen article paragraph convention contribution states')","(0.27586206896551724, 'proposal chairman general assembly decided unanimously maintain financial period amount')"
"Oct 28, 1983 Election of the Chairperson, ViceChairpersons and Rapporteur of the General Assembly","(0.2435897435897436, 'mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan')","(0.19402985074626866, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle')","(0.2978723404255319, 'representatives brazil bulgaria malawi pakistan')","(0.2735849056603774, 'tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille jardin france')","(0.26086956521739135, 'mr beschaouch tunisia chairman representatives brazil bulgaria malawi')","(0.24, 'acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille jardin')","(0.33333333333333337, 'pakistan vice chairmen mlle')","(0.3013698630136986, 'elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.2666666666666667, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.30952380952380953, 'assembly elected acclamation mr beschaouch')","(0.25757575757575757, 'elected acclamation mr beschaouch tunisia chairman representatives')","(0.2033898305084746, 'acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille')","(0.20895522388059706, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle')","(0.2471910112359551, 'elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi')","(0.273972602739726, 'elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.1917808219178082, 'elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.273972602739726, 'elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.273972602739726, 'elected acclamation mr beschaouch tunisia chairman representatives brazil')","(0.2727272727272727, 'elected acclamation mr beschaouch tunisia chairman representatives')","(0.2666666666666667, 'representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille')","(0.2808988764044944, 'elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi')","(0.29230769230769227, 'acclamation mr beschaouch tunisia chairman representatives brazil')","(0.22480620155038755, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen')","(0.18644067796610164, 'acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille')","(0.19277108433734935, 'mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice')","(0.2692307692307693, 'mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan')","(0.2584269662921348, 'elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi')","(0.22377622377622375, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille')","(0.19402985074626866, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle')","(0.2627118644067796, 'acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice chairmen mlle mireille')","(0.30000000000000004, 'assembly elected acclamation mr beschaouch tunisia')","(0.2075471698113207, 'general assembly elected acclamation mr beschaouch tunisia chairman representatives brazil bulgaria malawi')","(0.2530120481927711, 'mr beschaouch tunisia chairman representatives brazil bulgaria malawi pakistan vice')"
"Oct 28, 1999 Adoption of the Agenda of the General Assembly","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Oct 28, 1983 Other business","(0.3132530120481928, 'convention manifest fourth general assembly notably numerous candidatures submitted')","(0.27142857142857146, 'assistant director general culture offered congratulations states elected formulated wish interest states convention manifest fourth general')","(0.41860465116279066, 'convention manifest fourth general assembly')","(0.37168141592920356, 'culture offered congratulations states elected formulated wish interest states convention manifest fourth general')","(0.34246575342465757, 'convention manifest fourth general assembly notably numerous candidatures')","(0.28682170542635654, 'wish interest states convention manifest fourth general assembly notably numerous candidatures submitted election committee would')","(0.3023255813953488, 'participation states parties implementation')","(0.3484848484848485, 'formulated wish interest states convention manifest fourth general')","(0.33333333333333337, 'states elected formulated wish interest states convention manifest fourth general')","(0.45238095238095233, 'interest states convention manifest fourth')","(0.3620689655172413, 'states convention manifest fourth general assembly notably')","(0.31707317073170727, 'wish interest states convention manifest fourth general assembly notably numerous candidatures submitted election committee')","(0.27210884353741494, 'convention manifest fourth general assembly notably numerous candidatures submitted election committee would pursued effective participation states')","(0.2934782608695652, 'convention manifest fourth general assembly notably numerous candidatures submitted election')","(0.27142857142857146, 'offered congratulations states elected formulated wish interest states')","(0.28787878787878785, 'formulated wish interest states convention manifest fourth general')","(0.2857142857142857, 'committee would pursued effective participation states parties implementation')","(0.30000000000000004, 'general culture offered congratulations states elected formulated wish')","(0.3728813559322034, 'interest states convention manifest fourth general assembly')","(0.3012048192771084, 'convention manifest fourth general assembly notably numerous candidatures submitted')","(0.3152173913043478, 'convention manifest fourth general assembly notably numerous candidatures submitted election')","(0.3833333333333333, 'convention manifest fourth general assembly notably numerous')","(0.25757575757575757, 'assistant director general culture offered congratulations states elected formulated wish interest states convention manifest fourth')","(0.23809523809523814, 'convention manifest fourth general assembly notably numerous candidatures submitted election committee would pursued effective')","(0.26041666666666663, 'submitted election committee would pursued effective participation states parties implementation')","(0.3614457831325302, 'convention manifest fourth general assembly notably numerous candidatures submitted')","(0.3586956521739131, 'convention manifest fourth general assembly notably numerous candidatures submitted election')","(0.27922077922077926, 'offered congratulations states elected formulated wish interest states convention manifest fourth general assembly notably numerous candidatures submitted')","(0.26388888888888884, 'offered congratulations states elected formulated wish interest states convention manifest fourth general assembly notably numerous candidatures')","(0.3114754098360656, 'culture offered congratulations states elected formulated wish interest states convention manifest fourth general assembly')","(0.3157894736842105, 'culture offered congratulations states elected formulated')","(0.25, 'wish interest states convention manifest fourth general assembly notably numerous candidatures submitted')","(0.3033707865168539, 'interest states convention manifest fourth general assembly notably numerous candidatures')"
"Oct 28, 1999 Determination of an amount of the contributions to the World Heritage Fund in accordance with the provisions of Article ","(0.23287671232876717, 'fund period would maintained percent contributions made states parties')","(0.23880597014925375, 'fund period would maintained percent contributions made states parties regular programme unesco according article paragraph convention')","(0.375, 'contributions world heritage fund period')","(0.3275862068965517, 'maintained percent contributions made states parties regular programme unesco according article paragraph convention')","(0.34328358208955223, 'mandatory contributions world heritage fund period would maintained')","(0.282258064516129, 'decided amount mandatory contributions world heritage fund period would maintained percent contributions made states parties')","(0.375, 'parties regular programme unesco')","(0.3538461538461538, 'decided amount mandatory contributions world heritage fund period')","(0.31818181818181823, 'parties regular programme unesco according article paragraph convention decided previous')","(0.4, 'article paragraph convention decided previous')","(0.29824561403508776, 'period would maintained percent contributions made states')","(0.27419354838709675, 'maintained percent contributions made states parties regular programme unesco according article paragraph convention decided')","(0.26865671641791045, 'mandatory contributions world heritage fund period would maintained percent contributions made states parties regular programme unesco')","(0.2696629213483146, 'mandatory contributions world heritage fund period would maintained percent contributions')","(0.32432432432432434, 'agenda general assembly unanimously decided amount mandatory contributions')","(0.2816901408450704, 'parties regular programme unesco according article paragraph convention')","(0.28358208955223885, 'world heritage fund period would maintained percent contributions')","(0.303030303030303, 'would maintained percent contributions made states parties regular')","(0.3157894736842105, 'period would maintained percent contributions made states')","(0.2911392405063291, 'assembly unanimously decided amount mandatory contributions world heritage fund')","(0.3292682926829268, 'decided amount mandatory contributions world heritage fund period would maintained')","(0.3220338983050848, 'percent contributions made states parties regular programme')","(0.26315789473684215, 'maintained percent contributions made states parties regular programme unesco according article paragraph convention decided previous')","(0.24193548387096775, 'maintained percent contributions made states parties regular programme unesco according article paragraph convention decided')","(0.2471910112359551, 'mandatory contributions world heritage fund period would maintained percent contributions')","(0.2816901408450704, 'decided amount mandatory contributions world heritage fund period would')","(0.2921348314606742, 'mandatory contributions world heritage fund period would maintained percent contributions')","(0.2777777777777778, 'mandatory contributions world heritage fund period would maintained percent contributions made states parties regular programme unesco according')","(0.24087591240875916, 'assembly unanimously decided amount mandatory contributions world heritage fund period would maintained percent contributions made states')","(0.3162393162393162, 'contributions world heritage fund period would maintained percent contributions made states parties regular programme')","(0.3846153846153846, 'maintained percent contributions made states parties')","(0.2952380952380952, 'maintained percent contributions made states parties regular programme unesco according article paragraph')","(0.3146067415730337, 'mandatory contributions world heritage fund period would maintained percent contributions')"
"Oct 28, 1999 Closure of the session","(0.3026315789473685, 'states adopted resolution historical importance concerning ways means ensure')","(0.27464788732394363, 'importance concerning ways means ensure representative world heritage list implementation would determinant future convention requested states')","(0.375, 'convention requested states parties take')","(0.31092436974789917, 'president thanked secretariat tellers interpreters efficient work noted states adopted resolution historical importance')","(0.3125, 'future convention requested states parties take account national')","(0.291970802919708, 'adopted resolution historical importance concerning ways means ensure representative world heritage list implementation would determinant')","(0.33333333333333337, 'states parties take account')","(0.38888888888888884, 'list implementation would determinant future convention requested states')","(0.367816091954023, 'world heritage list implementation would determinant future convention requested states')","(0.4, 'would determinant future convention requested')","(0.3389830508474576, 'determinant future convention requested states parties take')","(0.31999999999999995, 'adopted resolution historical importance concerning ways means ensure representative world heritage list implementation would')","(0.2785714285714286, 'interpreters efficient work noted states adopted resolution historical importance concerning ways means ensure representative world heritage')","(0.3058823529411765, 'list implementation would determinant future convention requested states parties take')","(0.28985507246376807, 'importance concerning ways means ensure representative world heritage')","(0.2777777777777778, 'list implementation would determinant future convention requested states')","(0.3731343283582089, 'future convention requested states parties take account national')","(0.28985507246376807, 'states adopted resolution historical importance concerning ways means')","(0.3728813559322034, 'determinant future convention requested states parties take')","(0.32098765432098764, 'interpreters efficient work noted states adopted resolution historical importance')","(0.30487804878048785, 'would determinant future convention requested states parties take account national')","(0.4035087719298246, 'convention requested states parties take account national')","(0.3111111111111111, 'importance concerning ways means ensure representative world heritage list implementation would determinant future convention requested')","(0.2666666666666667, 'implementation would determinant future convention requested states parties take account national level commitments made')","(0.3146067415730337, 'importance concerning ways means ensure representative world heritage list implementation')","(0.3513513513513513, 'importance concerning ways means ensure representative world heritage list')","(0.27472527472527475, 'resolution historical importance concerning ways means ensure representative world heritage')","(0.30666666666666664, 'importance concerning ways means ensure representative world heritage list implementation would determinant future convention requested states parties')","(0.3098591549295775, 'importance concerning ways means ensure representative world heritage list implementation would determinant future convention requested states')","(0.3035714285714286, 'future convention requested states parties take account national level commitments made declared twelfth general')","(0.37037037037037035, 'determinant future convention requested states parties')","(0.2596153846153846, 'adopted resolution historical importance concerning ways means ensure representative world heritage list')","(0.33333333333333337, 'world heritage list implementation would determinant future convention requested states')"
"Oct 28, 1983 Examination of the Statement of Accounts of the World Heritage Fund","(0.3013698630136986, 'document well interim statement three year financial period drawn')","(0.24626865671641796, 'accounts fund submitted general assembly accordance financial regulations world heritage fund drew attention accounts financial period')","(0.3695652173913043, 'attention accounts financial period terminated')","(0.3097345132743363, 'assembly accordance financial regulations world heritage fund drew attention accounts financial period terminated')","(0.375, 'contributions general assembly took note accounts world heritage')","(0.2666666666666667, 'underway countries prompt payment contributions general assembly took note accounts world heritage fund financial period')","(0.33333333333333337, 'period ending december well')","(0.31081081081081086, 'submitted general assembly accordance financial regulations world heritage')","(0.31958762886597936, 'took note information provided representative comptroller concerning contributions received since')","(0.3513513513513513, 'financial period ending december well')","(0.32258064516129037, 'amount year contribution afghanistan balance algeria argentina')","(0.3035714285714286, 'interim statement accounts three year period drawn july assembly also took note information provided')","(0.2790697674418605, 'period ending december well interim statement accounts three year period drawn july assembly also took note')","(0.2857142857142857, 'ii assembly informed contributions received several states parties since july')","(0.3285714285714286, 'amount year contribution afghanistan balance algeria argentina balance')","(0.29885057471264365, 'information provided representative comptroller concerning contributions received since')","(0.31343283582089554, 'balance algeria argentina balance st payment cyprus iraq')","(0.3142857142857143, 'amount year contribution afghanistan balance algeria argentina balance')","(0.34426229508196726, 'steps underway countries prompt payment contributions general')","(0.31645569620253167, 'submitted general assembly accordance financial regulations world heritage fund')","(0.31645569620253167, 'contributions general assembly took note accounts world heritage fund financial')","(0.375, 'financial regulations world heritage fund drew attention')","(0.2578125, 'assembly accordance financial regulations world heritage fund drew attention accounts financial period terminated december given')","(0.26086956521739135, 'accounts financial period terminated december given annex document well interim statement three year financial')","(0.26249999999999996, 'document well interim statement three year financial period drawn july')","(0.34782608695652173, 'contributions general assembly took note accounts world heritage fund')","(0.3298969072164949, 'took note information provided representative comptroller concerning contributions received since')","(0.2666666666666667, 'amount year contribution afghanistan balance algeria argentina balance st payment cyprus iraq libya nepal niger oman pakistan')","(0.27692307692307694, 'attention accounts financial period terminated december given annex document well interim statement three year financial period')","(0.30508474576271183, 'informed contributions received several states parties since july follows country amount year contribution afghanistan')","(0.36, 'prompt payment contributions general assembly took')","(0.24742268041237114, 'interim statement accounts three year period drawn july assembly also took note')","(0.31707317073170727, 'financial regulations world heritage fund drew attention accounts financial period')"
"Oct 28, 1999 Examination of the Statement of Accounts of the World Heritage Fund","(0.28767123287671237, 'ending december item support i e us director centre')","(0.23664122137404575, 'assembly approved accounts took note accounts delegate thailand asked explication amount expenditure mentioned table entitled funds')","(0.2954545454545454, 'concerning statement accounts world heritage')","(0.3173076923076923, 'presented document whc conf concerning statement accounts world heritage fund financial period certified')","(0.33870967741935487, 'document whc conf concerning statement accounts world heritage')","(0.2727272727272727, 'tables included document general assembly approved accounts took note accounts delegate thailand asked explication amount')","(0.34615384615384615, 'salaries six staff members')","(0.28985507246376807, 'comptroller presented document whc conf concerning statement accounts')","(0.2682926829268293, 'accounts took note accounts delegate thailand asked explication amount expenditure')","(0.2962962962962963, 'i e us director centre')","(0.30188679245283023, 'whc conf concerning statement accounts world heritage')","(0.2678571428571429, 'support i e us director centre indicated amount concerned salaries six staff members centre')","(0.31007751937984496, 'i e us director centre indicated amount concerned salaries six staff members centre paid january budget')","(0.2702702702702703, 'i e us director centre indicated amount concerned salaries six')","(0.32307692307692304, 'statement accounts world heritage fund financial period certified')","(0.25, 'mentioned table entitled funds engaged expenditure biennial exercise')","(0.29850746268656714, 'amount concerned salaries six staff members centre paid')","(0.3492063492063492, 'fund year approved comptroller tables included document general')","(0.33333333333333337, 'us director centre indicated amount concerned salaries')","(0.3013698630136986, 'statement accounts world heritage fund financial period certified auditor')","(0.32183908045977017, 'amount expenditure mentioned table entitled funds engaged expenditure biennial exercise')","(0.3571428571428571, 'financial period certified auditor general well accounts')","(0.2586206896551724, 'ending december item support i e us director centre indicated amount concerned salaries six staff')","(0.26956521739130435, 'ending december item support i e us director centre indicated amount concerned salaries six')","(0.28395061728395066, 'conf concerning statement accounts world heritage fund financial period certified')","(0.4084507042253521, 'conf concerning statement accounts world heritage fund financial period')","(0.27586206896551724, 'amount expenditure mentioned table entitled funds engaged expenditure biennial exercise')","(0.2465753424657534, 'representative bureau comptroller presented document whc conf concerning statement accounts world heritage fund financial period certified auditor')","(0.2536231884057971, 'representative bureau comptroller presented document whc conf concerning statement accounts world heritage fund financial period certified')","(0.2892561983471075, 'representative bureau comptroller presented document whc conf concerning statement accounts world heritage fund financial')","(0.33333333333333337, 'statement accounts world heritage fund financial')","(0.28865979381443296, 'support i e us director centre indicated amount concerned salaries six staff')","(0.35365853658536583, 'accounts took note accounts delegate thailand asked explication amount expenditure')"
"Oct 29, 1984 Adoption of the Agenda","(0, '')","(0, '')","(0.23529411764705888, 'committee adopted agenda meeting n')","(0, '')","(0, '')","(0, '')","(0.25, 'committee adopted agenda meeting')","(0, '')","(0, '')","(0.23529411764705888, 'committee adopted agenda meeting n')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
