,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 30, 1998 Requests for International AssistanceEvaluation of reports of training activities and technical cooperation financed by ","(0.26027397260273977, 'activities technical co operation financed world heritage fund committee')","(0.25735294117647056, 'xii observer germany recalled committee requested secretariat evaluate reports training activities technical co operation financed world')","(0.36111111111111116, 'co operation financed world heritage')","(0.2702702702702703, 'xii observer germany recalled committee requested secretariat evaluate reports training activities technical co')","(0.29032258064516125, 'activities technical co operation financed world heritage fund')","(0.2727272727272727, 'training activities technical co operation financed world heritage fund committee therefore reiterated request evaluations presented')","(0.2432432432432432, 'reports training activities technical')","(0.3278688524590164, 'co operation financed world heritage fund committee therefore')","(0.30487804878048785, 'activities technical co operation financed world heritage fund committee therefore')","(0.32432432432432434, 'technical co operation financed world')","(0.27692307692307694, 'germany recalled committee requested secretariat evaluate reports')","(0.25806451612903225, 'recalled committee requested secretariat evaluate reports training activities technical co operation financed world heritage')","(0.25, 'committee requested secretariat evaluate reports training activities technical co operation financed world heritage fund committee therefore')","(0.23750000000000004, 'co operation financed world heritage fund committee therefore reiterated request')","(0.2702702702702703, 'germany recalled committee requested secretariat evaluate reports training')","(0.2816901408450704, 'secretariat evaluate reports training activities technical co operation')","(0.2567567567567568, 'germany recalled committee requested secretariat evaluate reports training')","(0.28378378378378377, 'germany recalled committee requested secretariat evaluate reports training')","(0.33333333333333337, 'training activities technical co operation financed world')","(0.30000000000000004, 'secretariat evaluate reports training activities technical co operation financed')","(0.30000000000000004, 'co operation financed world heritage fund committee therefore reiterated request')","(0.32307692307692304, 'reiterated request evaluations presented annual session committee')","(0.2727272727272727, 'training activities technical co operation financed world heritage fund committee therefore reiterated request evaluations presented')","(0.2213114754098361, 'training activities technical co operation financed world heritage fund committee therefore reiterated request evaluations')","(0.27586206896551724, 'xii observer germany recalled committee requested secretariat evaluate reports training')","(0.3055555555555556, 'activities technical co operation financed world heritage fund committee')","(0.2857142857142857, 'committee requested secretariat evaluate reports training activities technical co operation')","(0.29139072847682124, 'committee requested secretariat evaluate reports training activities technical co operation financed world heritage fund committee therefore reiterated')","(0.22857142857142854, 'committee requested secretariat evaluate reports training activities technical co operation financed world heritage fund committee therefore')","(0.3076923076923077, 'co operation financed world heritage fund committee therefore reiterated request evaluations presented annual session')","(0.3157894736842105, 'therefore reiterated request evaluations presented annual')","(0.25, 'xii observer germany recalled committee requested secretariat evaluate reports training activities technical')","(0.3033707865168539, 'heritage fund committee therefore reiterated request evaluations presented annual session')"
"Nov 30, 1998 SOC Burgos Cathedral Spain","(0.26027397260273977, 'n committee took note confirmation observer spain planning hill')","(0.20967741935483875, 'n committee took note confirmation observer spain planning hill fortress burgos suspended works would undertaken n')","(0.31707317073170727, 'confirmation observer spain planning hill')","(0.30000000000000004, 'took note confirmation observer spain planning hill fortress burgos suspended works would undertaken')","(0.35, 'took note confirmation observer spain planning hill fortress')","(0.19819819819819817, 'observer spain planning hill fortress burgos suspended works would undertaken n committee requested state party')","(0.3055555555555556, 'secretariat informed new development')","(0.2786885245901639, 'burgos suspended works would undertaken n committee requested')","(0.2533333333333333, 'hill fortress burgos suspended works would undertaken n committee requested')","(0.3513513513513513, 'took note confirmation observer spain')","(0.3137254901960784, 'took note confirmation observer spain planning hill')","(0.25, 'spain n committee took note confirmation observer spain planning hill fortress burgos suspended works')","(0.2558139534883721, 'n committee took note confirmation observer spain planning hill fortress burgos suspended works would undertaken n')","(0.22077922077922074, 'took note confirmation observer spain planning hill fortress burgos suspended')","(0.2666666666666667, 'took note confirmation observer spain planning hill fortress')","(0.23333333333333328, 'cathedral spain n committee took note confirmation observer')","(0.28358208955223885, 'n committee took note confirmation observer spain planning')","(0.2678571428571429, 'works would undertaken n committee requested state party')","(0.34693877551020413, 'spain n committee took note confirmation observer')","(0.3013698630136986, 'confirmation observer spain planning hill fortress burgos suspended works')","(0.26582278481012656, 'confirmation observer spain planning hill fortress burgos suspended works would')","(0.3214285714285714, 'committee took note confirmation observer spain planning')","(0.27586206896551724, 'took note confirmation observer spain planning hill fortress burgos suspended works would undertaken n committee')","(0.24347826086956526, 'spain n committee took note confirmation observer spain planning hill fortress burgos suspended works')","(0.25, 'spain planning hill fortress burgos suspended works would undertaken n')","(0.273972602739726, 'confirmation observer spain planning hill fortress burgos suspended works')","(0.24675324675324672, 'took note confirmation observer spain planning hill fortress burgos suspended')","(0.2222222222222222, 'hill fortress burgos suspended works would undertaken n committee requested state party keep secretariat informed new development')","(0.24615384615384617, 'vii burgos cathedral spain n committee took note confirmation observer spain planning hill fortress burgos suspended')","(0.2314814814814815, 'suspended works would undertaken n committee requested state party keep secretariat informed new development')","(0.3695652173913043, 'took note confirmation observer spain planning')","(0.27835051546391754, 'took note confirmation observer spain planning hill fortress burgos suspended works would')","(0.2857142857142857, 'took note confirmation observer spain planning hill fortress burgos suspended')"
"Nov 30, 1998 SOC Aksum Ethiopia","(0.3555555555555555, 'conservation component balances conservation constraints need continued growth development')","(0.2533333333333333, 'support consideration given ethiopian institutions unesco preparation comprehensive town plan aksum clear conservation component balances conservation')","(0.37777777777777777, 'drawing attention significance world heritage')","(0.33613445378151263, 'aksum clear conservation component balances conservation constraints need continued growth development city communities')","(0.3787878787878788, 'centre research conservation cultural heritage crcch aware planned')","(0.288135593220339, 'state conservation planned world heritage centre june postponed security reasons carried soon possible purpose drawing')","(0.3125, 'purpose drawing clear definition')","(0.35820895522388063, 'noted director centre research conservation cultural heritage crcch')","(0.3194444444444444, 'work proximity stele n mission state conservation planned world heritage')","(0.42500000000000004, 'mission state conservation planned world')","(0.36764705882352944, 'aksum clear conservation component balances conservation constraints')","(0.2945736434108527, 'institutions unesco preparation comprehensive town plan aksum clear conservation component balances conservation constraints need')","(0.28767123287671237, 'institutions unesco preparation comprehensive town plan aksum clear conservation component balances conservation constraints need continued growth')","(0.3666666666666667, 'balances conservation constraints need continued growth development city communities aksum')","(0.36986301369863017, 'aksum clear conservation component balances conservation constraints need')","(0.3076923076923077, 'conservation component balances conservation constraints need continued growth')","(0.33333333333333337, 'balances conservation constraints need continued growth development city')","(0.33333333333333337, 'conservation planned world heritage centre june postponed security')","(0.3571428571428571, 'aware planned construction shown plans proposed building')","(0.3111111111111111, 'conservation component balances conservation constraints need continued growth development')","(0.3414634146341463, 'conservation planned world heritage centre june postponed security reasons carried')","(0.4035087719298246, 'conservation planned world heritage centre june postponed')","(0.3093525179856115, 'institutions unesco preparation comprehensive town plan aksum clear conservation component balances conservation constraints need continued')","(0.26086956521739135, 'planned construction shown plans proposed building informed work begin n committee aware important role')","(0.2875, 'directly across main stele cleared trees ethiopian orthodox church plans')","(0.3975903614457831, 'commenced furthermore noted director centre research conservation cultural heritage')","(0.3292682926829268, 'conservation planned world heritage centre june postponed security reasons carried')","(0.28395061728395066, 'support consideration given ethiopian institutions unesco preparation comprehensive town plan aksum clear conservation component balances conservation constraints')","(0.2692307692307693, 'site underlining need preserve it would require postponement work proximity stele n mission state conservation planned')","(0.3492063492063492, 'comprehensive town plan aksum clear conservation component balances conservation constraints need continued growth development')","(0.47916666666666663, 'plan aksum clear conservation component balances')","(0.27835051546391754, 'state conservation planned world heritage centre june postponed security reasons carried soon')","(0.32608695652173914, 'preparation comprehensive town plan aksum clear conservation component balances conservation')"
"Nov 30, 1998 SOC Auschwitz Concentration Camp Poland","(0.3026315789473685, 'memorial council international council state museum auschwitz birkenau mayor')","(0.26530612244897955, 'presence president poland committee took note information provided secretariat progress made implementation declaration particularly expert meeting')","(0.3783783783783784, 'concentration camp poland n committee')","(0.3392857142857143, 'observer poland consultations taking place participants expert meeting government poland present progress report')","(0.33333333333333337, 'march declaration concerning principles implementation program oswiecimski initialed')","(0.30519480519480524, 'declaration concerning principles implementation program oswiecimski initialed polish government plenipotentiary government strategic plan oswiecim united')","(0.3571428571428571, 'held june spatial management')","(0.3529411764705882, 'states holocaust memorial council international council state museum')","(0.34883720930232553, 'strategic plan oswiecim united states holocaust memorial council international council')","(0.3846153846153846, 'vii auschwitz concentration camp poland')","(0.3035714285714286, 'took note information provided secretariat progress made')","(0.31007751937984496, 'furthermore information provided observer poland consultations taking place participants expert meeting government poland present')","(0.3129251700680272, 'presence president poland committee took note information provided secretariat progress made implementation declaration particularly expert meeting')","(0.2954545454545454, 'made implementation declaration particularly expert meeting held june spatial management')","(0.30000000000000004, 'observer poland consultations taking place participants expert meeting')","(0.3125, 'secretariat progress made implementation declaration particularly expert meeting')","(0.32835820895522383, 'expert meeting held june spatial management area around')","(0.296875, 'also confirmed support process continues consensual manner among')","(0.3653846153846154, 'around two concentration camps took note furthermore')","(0.36363636363636365, 'international council state museum auschwitz birkenau mayor oswiecim presence')","(0.3411764705882353, 'memorial council international council state museum auschwitz birkenau mayor oswiecim')","(0.368421052631579, 'two concentration camps took note furthermore information')","(0.3246753246753247, 'declaration concerning principles implementation program oswiecimski initialed polish government plenipotentiary government strategic plan oswiecim united')","(0.31304347826086953, 'poland present progress report requested polish authorities submit report april examination twenty third session')","(0.32352941176470584, 'march declaration concerning principles implementation program oswiecimski initialed polish government')","(0.3626373626373627, 'march declaration concerning principles implementation program oswiecimski initialed polish')","(0.34615384615384615, 'implementation program oswiecimski initialed polish government plenipotentiary government strategic plan')","(0.3173652694610778, 'march declaration concerning principles implementation program oswiecimski initialed polish government plenipotentiary government strategic plan oswiecim united states')","(0.3375, 'march declaration concerning principles implementation program oswiecimski initialed polish government plenipotentiary government strategic plan oswiecim united')","(0.3308270676691729, 'initialed polish government plenipotentiary government strategic plan oswiecim united states holocaust memorial council international')","(0.375, 'around two concentration camps took note')","(0.2833333333333333, 'implementation program oswiecimski initialed polish government plenipotentiary government strategic plan oswiecim united')","(0.32183908045977017, 'presence president poland committee took note information provided secretariat progress')"
"Nov 30, 1998 SOC Bahla Fort Oman","(0.33333333333333337, 'government oman actions taken preservation fort requested secretariat collaborate')","(0.2518518518518519, 'restoration works terms authenticity use materials advise future works particularly preparation management plan extended area including')","(0.34782608695652173, 'conservation plan completed including planning')","(0.3789473684210526, 'five year conservation plan entire oasis examination committee twenty third session n committee')","(0.3709677419354839, 'five year conservation plan entire oasis examination committee')","(0.29508196721311475, 'terms authenticity use materials advise future works particularly preparation management plan extended area including fort')","(0.31034482758620685, 'plan entire oasis examination')","(0.390625, 'authorities preparation five year conservation plan entire oasis')","(0.3647058823529412, 'collaborate national authorities preparation five year conservation plan entire oasis')","(0.4117647058823529, 'five year conservation plan entire')","(0.32307692307692304, 'actions taken preservation fort requested secretariat collaborate')","(0.3145161290322581, 'n committee commended government oman actions taken preservation fort requested secretariat collaborate national authorities')","(0.3410852713178295, 'conservation plan entire oasis examination committee twenty third session n committee decided retain bahla fort list')","(0.29591836734693877, 'actions taken preservation fort requested secretariat collaborate national authorities preparation')","(0.3870967741935484, 'five year conservation plan entire oasis examination committee')","(0.28985507246376807, 'conservation plan completed including planning archaeological works n')","(0.29850746268656714, 'five year conservation plan entire oasis examination committee')","(0.3114754098360656, 'awaiting reply proposal n committee commended government oman')","(0.40384615384615385, 'five year conservation plan entire oasis examination')","(0.3291139240506329, 'collaborate national authorities preparation five year conservation plan entire')","(0.3222222222222222, 'government oman actions taken preservation fort requested secretariat collaborate national')","(0.35593220338983056, 'conservation plan entire oasis examination committee twenty')","(0.30508474576271183, 'national authorities preparation five year conservation plan entire oasis examination committee twenty third session n')","(0.3017241379310345, 'national authorities preparation five year conservation plan entire oasis examination committee twenty third session')","(0.2875, 'preparation management plan extended area including fort oasis well hydro')","(0.37037037037037035, 'government oman actions taken preservation fort requested secretariat collaborate')","(0.33333333333333337, 'government oman actions taken preservation fort requested secretariat collaborate national')","(0.29139072847682124, 'actions taken preservation fort requested secretariat collaborate national authorities preparation five year conservation plan entire oasis examination')","(0.2666666666666667, 'restoration works terms authenticity use materials advise future works particularly preparation management plan extended area including')","(0.3275862068965517, 'national authorities preparation five year conservation plan entire oasis examination committee twenty third session')","(0.5, 'five year conservation plan entire oasis')","(0.2743362831858407, 'taken preservation fort requested secretariat collaborate national authorities preparation five year conservation')","(0.3176470588235294, 'collaborate national authorities preparation five year conservation plan entire oasis')"
"Nov 30, 1998 SOC Canaima National Park Venezuela","(0.308641975308642, 'recommendation made time inscription site december government venezuela cooperate')","(0.25806451612903225, 'tourism logging concessions n september permanent delegation venezuela unesco invited centre iucn field site visit soon')","(0.3846153846153846, 'centre mission venezuela including site')","(0.3027522935779816, 'president venezuela re affirmed commitment government protect world heritage site welcomed possibility unesco')","(0.3548387096774194, 'committee s recommendation made time inscription site december')","(0.28787878787878785, 's concerns recommendations president venezuela response president venezuela re affirmed commitment government protect world heritage')","(0.33333333333333337, 'lines across park twenty')","(0.3731343283582089, 'iucn terms reference mission derived recommendations committee made')","(0.32608695652173914, 'heritage list committee requested findings mission recommendation concerning whether canaima')","(0.38888888888888884, 'committee s recommendation made time')","(0.3538461538461538, 's concerns recommendations president venezuela response president')","(0.2946428571428571, 'whether canaima needs included list world heritage danger submitted twenty third session bureau n')","(0.3023255813953488, 'revolved around construction power line iucn pointed serious attention given plans open fragile ecosystem park imataca')","(0.28205128205128205, 'regard integrity canaima national park due considerable threats posed proposal')","(0.31666666666666665, 'park twenty second session bureau informed director general')","(0.2894736842105263, 'heritage list committee requested findings mission recommendation concerning')","(0.3026315789473685, 'concerns recommendations president venezuela response president venezuela re')","(0.3484848484848485, 'government protect world heritage site welcomed possibility unesco')","(0.37735849056603776, 'site taking consideration interests local people need')","(0.3285714285714286, 'mission site evaluate project determine boundaries world heritage site')","(0.34090909090909094, 'recommendation made time inscription site december government venezuela cooperate centre')","(0.38983050847457623, 'government protect world heritage site welcomed possibility')","(0.31060606060606055, 's concerns recommendations president venezuela response president venezuela re affirmed commitment government protect world heritage')","(0.31304347826086953, 'local people need focus nomination tepui portion approximately million ha park used basis establishing')","(0.28915662650602414, 'recommendation concerning whether canaima needs included list world heritage danger')","(0.513157894736842, 'recommendation concerning whether canaima needs included list world heritage')","(0.3522727272727273, 'recommendation made time inscription site december government venezuela cooperate centre')","(0.28888888888888886, 'revolved around construction power line iucn pointed serious attention given plans open fragile ecosystem park imataca rainforest')","(0.2777777777777778, 'concerns recommendations president venezuela response president venezuela re affirmed commitment government protect world heritage site welcomed')","(0.32456140350877194, 'committee s recommendation made time inscription site december government venezuela cooperate centre iucn initiate')","(0.37209302325581395, 'around construction power line iucn pointed')","(0.30927835051546393, 'proposal erect series power transmission lines across park twenty second session bureau')","(0.3033707865168539, 'postponed upon instructions resident representative undp venezuela meantime iucn received')"
"Nov 30, 1998 SOC Central Zone of Angra do Heroismo in the Azores Portugal","(0.3287671232876712, 'context overall conservation plan site encouraged state party continue')","(0.26086956521739135, 'marina project seriously threatened characteristic features waterfront world heritage site icomos undertook mission site october concluded')","(0.3589743589743589, 'continue dialogue icomos world heritage')","(0.3203883495145631, 'considered context overall conservation plan site encouraged state party continue dialogue icomos world')","(0.39344262295081966, 'context overall conservation plan site encouraged state party')","(0.27941176470588236, 'twentysecond ordinary session informed marina project seriously threatened characteristic features waterfront world heritage site icomos')","(0.3571428571428571, 'marina angra heroismo marina')","(0.3833333333333333, 'informed actions taken respect underwater heritage bay angra')","(0.32499999999999996, 'need marina opinion considered context overall conservation plan site encouraged')","(0.3421052631578947, 'context overall conservation plan site')","(0.3584905660377359, 'overall conservation plan site encouraged state party')","(0.3410852713178295, 'twentysecond ordinary session informed marina project seriously threatened characteristic features waterfront world heritage site')","(0.28682170542635654, 'alternative location sought marina n observer portugal stressed need marina angra heroismo marina would affect values')","(0.26881720430107525, 'session informed marina project seriously threatened characteristic features waterfront world')","(0.3666666666666667, 'taken respect underwater heritage bay angra de heroismo')","(0.2666666666666667, 'site encouraged state party continue dialogue icomos world')","(0.3529411764705882, 'requested committee kept informed periodically developments matter n')","(0.30000000000000004, 'continue dialogue icomos world heritage committee order find')","(0.37735849056603776, 'overall conservation plan site encouraged state party')","(0.3647058823529412, 'marina project seriously threatened characteristic features waterfront world heritage')","(0.36708860759493667, 'context overall conservation plan site encouraged state party continue dialogue')","(0.35185185185185186, 'conservation plan site encouraged state party continue')","(0.29268292682926833, 'expressed concerns preoccupation location impact marina world heritage values site recognizing economic need marina opinion')","(0.26956521739130435, 'portugal stressed need marina angra heroismo marina would affect values site also informed actions')","(0.2682926829268293, 'best solution requested committee kept informed periodically developments matter n')","(0.4025974025974026, 'expressed concerns preoccupation location impact marina world heritage values')","(0.30666666666666664, 'n observer portugal stressed need marina angra heroismo marina would')","(0.27464788732394363, 'expressed concerns preoccupation location impact marina world heritage values site recognizing economic need marina opinion considered context')","(0.2692307692307693, 'need marina angra heroismo marina would affect values site also informed actions taken respect underwater heritage')","(0.2945736434108527, 'twentysecond ordinary session informed marina project seriously threatened characteristic features waterfront world heritage site')","(0.4042553191489362, 'overall conservation plan site encouraged state')","(0.27835051546391754, 'portugal stressed need marina angra heroismo marina would affect values site also')","(0.3375, 'need marina opinion considered context overall conservation plan site encouraged')"
"Nov 30, 1998 SOC Cathedral of NotreDame, Former Abbey of Saint Remi and Palace of Tau, Reims France","(0.29761904761904767, 'commission established study preservation planning parvis invited icomos participate')","(0.2909090909090909, 'surrounding cathedral project construction media library mediateque vicinity secretariat informed received information nongovernmental organization demolition permit')","(0.3695652173913043, 'construction media library mediateque vicinity')","(0.3153153153153153, 'architecture informed protection zone would identified stipulated french legislation replace five hundred meter')","(0.3538461538461538, 'around national monuments said media library necessary revitalise')","(0.28205128205128205, 'buffer zone around monuments inscribed world heritage list established management plan monuments buffer zone prepared')","(0.3913043478260869, 'progress made respect n')","(0.34285714285714286, 'committee noted information provided icomos french delegate encouraged')","(0.33333333333333337, 'approved n committee noted information provided icomos french delegate encouraged')","(0.3783783783783784, 'management plan monuments buffer zone')","(0.32098765432098764, 'secretariat informed received information nongovernmental organization demolition')","(0.2977099236641222, 'french delegate confirmed information provided french authorities commission established study preservation planning parvis invited')","(0.3006134969325154, 'secretariat informed received information nongovernmental organization demolition permit existing buildings location media library delivered authorization building')","(0.27083333333333337, 'project construction media library mediateque vicinity secretariat informed received information')","(0.33333333333333337, 'project construction media library mediateque vicinity secretariat informed')","(0.3026315789473685, 'surrounding cathedral project construction media library mediateque vicinity')","(0.31343283582089554, 'reims opinion scale building media library large height')","(0.295774647887324, 'information provided icomos french delegate encouraged parties continue')","(0.4098360655737705, 'space surrounding architecture informed protection zone would')","(0.3142857142857143, 'around national monuments said media library necessary revitalise area')","(0.3168316831683168, 'received information nongovernmental organization demolition permit existing buildings location media')","(0.3538461538461538, 'architecture informed protection zone would identified stipulated')","(0.3120567375886525, 'nongovernmental organization demolition permit existing buildings location media library delivered authorization building media library would')","(0.30281690140845074, 'informed received information nongovernmental organization demolition permit existing buildings location media library delivered authorization')","(0.3152173913043478, 'report planning surrounding cathedral project construction media library mediateque vicinity')","(0.3571428571428571, 'architecture informed protection zone would identified stipulated french legislation')","(0.3152173913043478, 'architecture informed protection zone would identified stipulated french legislation replace')","(0.3190184049079755, 'delegate confirmed information provided french authorities commission established study preservation planning parvis invited icomos participate commission stressed')","(0.30519480519480524, 'delegate confirmed information provided french authorities commission established study preservation planning parvis invited icomos participate commission')","(0.3055555555555556, 'construction media library mediateque vicinity secretariat informed received information nongovernmental organization demolition permit existing')","(0.36363636363636365, 'cathedral project construction media library mediateque')","(0.27835051546391754, 'replace five hundred meter radius around national monuments said media library necessary')","(0.3373493975903614, 'protection zone would identified stipulated french legislation replace five hundred')"
"Nov 30, 1998 SOC Colonial City of Santo Domingo Dominican Republic","(0.3287671232876712, 'zone norms land use also pointed several buildings city')","(0.2808219178082192, 'preparedness preventive planning conservation measures particularly hurricane prone areas caribbean n committee requested authorities submit april')","(0.4473684210526315, 'conservation world heritage site santo')","(0.35344827586206895, 'planning conservation measures particularly hurricane prone areas caribbean n committee requested authorities submit')","(0.36, 'planning conservation measures particularly hurricane prone areas caribbean')","(0.32867132867132864, 'balance interventions physical environmental recuperation area tourism development socio cultural development local population housing services')","(0.34782608695652173, 'prone areas caribbean n')","(0.35, 'authorities take necessary measures consolidation safeguarding damaged buildings')","(0.32999999999999996, 'encouraged national authorities take necessary measures consolidation safeguarding damaged buildings')","(0.4, 'due lack maintenance preventive measures')","(0.31343283582089554, 'need balance interventions physical environmental recuperation area')","(0.3082191780821918, 'measures consolidation safeguarding damaged buildings expressed readiness assist undertaking emergency measures consolidation recuperation damaged')","(0.30069930069930073, 'due lack maintenance preventive measures stressed need risk preparedness preventive planning conservation measures particularly hurricane prone')","(0.28125, 'maintenance preventive measures stressed need risk preparedness preventive planning conservation')","(0.3733333333333333, 'planning conservation measures particularly hurricane prone areas caribbean')","(0.3492063492063492, 'undertaken august assess state conservation world heritage site')","(0.38235294117647056, 'area tourism development socio cultural development local population')","(0.328125, 'natural disasters lack maintenance n september hurricane georges')","(0.4117647058823529, 'city would establish extended protection zone norms')","(0.3820224719101124, 'interventions physical environmental recuperation area tourism development socio cultural')","(0.32352941176470584, 'consolidation safeguarding damaged buildings expressed readiness assist undertaking emergency measures')","(0.40816326530612246, 'extended protection zone norms land use also')","(0.3141025641025641, 'measures consolidation safeguarding damaged buildings expressed readiness assist undertaking emergency measures consolidation recuperation damaged buildings')","(0.35652173913043483, 'much adoption master plan city would establish extended protection zone norms land use also')","(0.3125, 'zone norms land use also pointed several buildings city collapsed')","(0.35443037974683544, 'damage dominican republic secretariat received reports office cultural heritage')","(0.34736842105263155, 'environmental recuperation area tourism development socio cultural development local population')","(0.3111111111111111, 'adoption master plan city would establish extended protection zone norms land use also pointed several buildings city')","(0.32307692307692304, 'adoption master plan city would establish extended protection zone norms land use also pointed several buildings')","(0.40625, 'environmental recuperation area tourism development socio cultural development local population housing services etc furthermore')","(0.48888888888888893, 'assess state conservation world heritage site')","(0.29565217391304344, 'balance interventions physical environmental recuperation area tourism development socio cultural development local')","(0.3285714285714286, 'extended protection zone norms land use also pointed several buildings')"
"Nov 30, 1998 SOC Butrinti Albania","(0.3214285714285714, 'committee confirmed places particular importance redefinition boundaries buffer zone')","(0.28387096774193543, 'coherent actions site n committee commended albanian authorities collaborating institutions progress made implementation recommendations assessment mission')","(0.3589743589743589, 'protection world heritage site butrinti')","(0.3275862068965517, 'improvement fences construction sanitary facilities repairs museum building storage facilities also advised albanian')","(0.36250000000000004, 'presentation preservation baptistery extremely well preserved mosaics government')","(0.2987804878048781, 'committee commended albanian authorities collaborating institutions progress made implementation recommendations assessment mission congratulated government albania')","(0.3793103448275862, 'planning schemes n government')","(0.34782608695652173, 'ordination implementation coherent actions site n committee commended')","(0.345679012345679, 'butrinti co ordination implementation coherent actions site n committee commended')","(0.3421052631578947, 'implementation coherent actions site n')","(0.31481481481481477, 'workshop n consultations underway european union world')","(0.2867647058823529, 'progress made implementation recommendations assessment mission congratulated government albania decision create office protection world')","(0.31612903225806455, 'coherent actions site n committee commended albanian authorities collaborating institutions progress made implementation recommendations assessment mission')","(0.32098765432098764, 'basis joint unesco icomos butrint foundation assessment mission october committee')","(0.36, 'improvement fences construction sanitary facilities repairs museum building')","(0.3116883116883117, 'concrete actions inventory publication stolen archaeological objects purchase')","(0.3296703296703297, 'implementation recommendations assessment mission congratulated government albania decision')","(0.3291139240506329, 'committee confirmed places particular importance redefinition boundaries buffer')","(0.4285714285714286, 'albania decision create office protection world heritage')","(0.3287671232876712, 'adequate authority human financial resources n committee confirmed places')","(0.34782608695652173, 'presentation preservation baptistery extremely well preserved mosaics government greece made')","(0.39622641509433965, 'create office protection world heritage site butrinti')","(0.31200000000000006, 'session decided inscribe butrinti list world heritage danger allocate us emergency assistance implementation remedial actions')","(0.3138686131386861, 'n secretariat reported arrangements made albanian authorities implementation concrete actions inventory publication stolen archaeological')","(0.30434782608695654, 'assistance implementation remedial actions n secretariat reported arrangements made albanian')","(0.4, 'albania decision create office protection world heritage site butrinti')","(0.368421052631579, 'implementation recommendations assessment mission twenty third session committee decided retain')","(0.30952380952380953, 'implementation recommendations assessment mission congratulated government albania decision create office protection world heritage site butrinti encouraged authorities')","(0.3032258064516129, 'coherent actions site n committee commended albanian authorities collaborating institutions progress made implementation recommendations assessment mission')","(0.375, 'progress made implementation recommendations assessment mission congratulated government albania decision create office protection world')","(0.4375, 'workshop n consultations underway european union')","(0.31034482758620685, 'authorities implementation concrete actions inventory publication stolen archaeological objects purchase water pumps')","(0.3571428571428571, 'create office protection world heritage site butrinti encouraged authorities provide')"
