,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 5, 1988 Not Inscribed Port Royal Jamaica","(0.3561643835616438, 'n jamaica n committee recognized importance property national heritage')","(0.2142857142857143, 'n jamaica n committee recognized importance property national heritage jamaica felt nomination meet criteria inscription world')","(0.29166666666666663, 'recognized importance property national heritage')","(0.30841121495327106, 'importance property national heritage jamaica felt nomination meet criteria inscription world heritage list')","(0.33333333333333337, 'recognized importance property national heritage jamaica felt nomination')","(0.28, 'n committee recognized importance property national heritage jamaica felt nomination meet criteria inscription world heritage')","(0.2666666666666667, 'royal n rev n')","(0.3125, 'property national heritage jamaica felt nomination meet criteria')","(0.2906976744186046, 'recognized importance property national heritage jamaica felt nomination meet criteria')","(0.3783783783783784, 'jamaica felt nomination meet criteria')","(0.29508196721311475, 'importance property national heritage jamaica felt nomination')","(0.2946428571428571, 'rev n jamaica n committee recognized importance property national heritage jamaica felt nomination meet')","(0.24031007751937983, 'port royal n rev n jamaica n committee recognized importance property national heritage jamaica felt nomination')","(0.2432432432432432, 'n rev n jamaica n committee recognized importance property national')","(0.2666666666666667, 'port royal n rev n jamaica n committee')","(0.25, 'port royal n rev n jamaica n committee')","(0.26865671641791045, 'port royal n rev n jamaica n committee')","(0.2647058823529411, 'n committee recognized importance property national heritage jamaica')","(0.33333333333333337, 'n committee recognized importance property national heritage')","(0.3157894736842105, 'property national heritage jamaica felt nomination meet criteria inscription')","(0.33720930232558144, 'recognized importance property national heritage jamaica felt nomination meet criteria')","(0.3770491803278688, 'importance property national heritage jamaica felt nomination')","(0.25, 'port royal n rev n jamaica n committee recognized importance property national heritage jamaica felt')","(0.33043478260869563, 'port royal n rev n jamaica n committee recognized importance property national heritage jamaica')","(0.275, 'port royal n rev n jamaica n committee recognized importance')","(0.3571428571428571, 'n jamaica n committee recognized importance property national heritage')","(0.2906976744186046, 'recognized importance property national heritage jamaica felt nomination meet criteria')","(0.2592592592592593, 'port royal n rev n jamaica n committee recognized importance property national heritage jamaica felt nomination meet')","(0.27692307692307694, 'port royal n rev n jamaica n committee recognized importance property national heritage jamaica felt nomination')","(0.2844827586206896, 'n committee recognized importance property national heritage jamaica felt nomination meet criteria inscription world')","(0.33333333333333337, 'n committee recognized importance property national')","(0.2680412371134021, 'port royal n rev n jamaica n committee recognized importance property national')","(0.29268292682926833, 'property national heritage jamaica felt nomination meet criteria inscription world')"
"Dec 5, 1988 Not Inscribed Seville Jamaica","(0.3013698630136986, 'rev n jamaica n committee recognized importance property national')","(0.22307692307692306, 'committee recognized importance property national heritage jamaica felt nomination meet criteria inscription world heritage list n')","(0.29166666666666663, 'recognized importance property national heritage')","(0.3097345132743363, 'recognized importance property national heritage jamaica felt nomination meet criteria inscription world heritage')","(0.328125, 'jamaica felt nomination meet criteria inscription world heritage')","(0.2983870967741935, 'jamaica n committee recognized importance property national heritage jamaica felt nomination meet criteria inscription world')","(0.2666666666666667, 'nbsp n rev n')","(0.3125, 'jamaica felt nomination meet criteria inscription world heritage')","(0.29268292682926833, 'national heritage jamaica felt nomination meet criteria inscription world heritage')","(0.3783783783783784, 'jamaica felt nomination meet criteria')","(0.29508196721311475, 'importance property national heritage jamaica felt nomination')","(0.2678571428571429, 'seville nbsp nbsp n rev n jamaica n committee recognized importance property national heritage')","(0.2790697674418605, 'seville nbsp nbsp n rev n jamaica n committee recognized importance property national heritage jamaica felt')","(0.2068965517241379, 'committee recognized importance property national heritage jamaica felt nomination meet')","(0.2727272727272727, 'importance property national heritage jamaica felt nomination meet')","(0.28358208955223885, 'national heritage jamaica felt nomination meet criteria inscription')","(0.2535211267605634, 'committee recognized importance property national heritage jamaica felt')","(0.2727272727272727, 'importance property national heritage jamaica felt nomination meet')","(0.33333333333333337, 'n committee recognized importance property national heritage')","(0.273972602739726, 'national heritage jamaica felt nomination meet criteria inscription world')","(0.29885057471264365, 'importance property national heritage jamaica felt nomination meet criteria inscription')","(0.3770491803278688, 'importance property national heritage jamaica felt nomination')","(0.25, 'recognized importance property national heritage jamaica felt nomination meet criteria inscription world heritage list n')","(0.27826086956521734, 'seville nbsp nbsp n rev n jamaica n committee recognized importance property national heritage')","(0.24137931034482762, 'committee recognized importance property national heritage jamaica felt nomination meet')","(0.3157894736842105, 'jamaica n committee recognized importance property national heritage jamaica')","(0.32183908045977017, 'importance property national heritage jamaica felt nomination meet criteria inscription')","(0.2518518518518519, 'seville nbsp nbsp n rev n jamaica n committee recognized importance property national heritage jamaica felt nomination')","(0.24615384615384617, 'rev n jamaica n committee recognized importance property national heritage jamaica felt nomination meet criteria inscription')","(0.288135593220339, 'recognized importance property national heritage jamaica felt nomination meet criteria inscription world heritage list')","(0.33333333333333337, 'n committee recognized importance property national')","(0.22115384615384615, 'recognized importance property national heritage jamaica felt nomination meet criteria inscription world')","(0.3448275862068966, 'importance property national heritage jamaica felt nomination meet criteria inscription')"
"Dec 5, 1988 Removal from the List of World Heritage in Danger Djoudj National Park Senegal","(0.31506849315068497, 'djoudj national park senegal n committee recalled agenda item')","(0.2362204724409449, 'djoudj national park senegal n committee recalled agenda item monitoring state conservation world heritage properties committee')","(0.375, 'conservation world heritage properties committee')","(0.3305084745762712, 'monitoring state conservation world heritage properties committee decided comply request senegalese authorities remove')","(0.3571428571428571, 'item monitoring state conservation world heritage properties committee')","(0.25757575757575757, 'monitoring state conservation world heritage properties committee decided comply request senegalese authorities remove property list')","(0.29166666666666663, 'park senegal n committee')","(0.3384615384615385, 'recalled agenda item monitoring state conservation world heritage')","(0.3116883116883117, 'n committee recalled agenda item monitoring state conservation world heritage')","(0.38636363636363635, 'monitoring state conservation world heritage')","(0.3076923076923077, 'monitoring state conservation world heritage properties committee')","(0.2833333333333333, 'recalled agenda item monitoring state conservation world heritage properties committee decided comply request senegalese')","(0.28682170542635654, 'djoudj national park senegal n committee recalled agenda item monitoring state conservation world heritage properties committee')","(0.2954545454545454, 'state conservation world heritage properties committee decided comply request senegalese')","(0.28985507246376807, 'state conservation world heritage properties committee decided comply')","(0.3076923076923077, 'recalled agenda item monitoring state conservation world heritage')","(0.28358208955223885, 'authorities remove property list world heritage danger n')","(0.28985507246376807, 'world heritage properties committee decided comply request senegalese')","(0.3392857142857143, 'agenda item monitoring state conservation world heritage')","(0.2692307692307693, 'item monitoring state conservation world heritage properties committee decided')","(0.2941176470588235, 'item monitoring state conservation world heritage properties committee decided comply')","(0.33333333333333337, 'committee recalled agenda item monitoring state conservation')","(0.28787878787878785, 'monitoring state conservation world heritage properties committee decided comply request senegalese authorities remove property list')","(0.25, 'recalled agenda item monitoring state conservation world heritage properties committee decided comply request senegalese')","(0.275, 'djoudj national park senegal n committee recalled agenda item monitoring')","(0.3157894736842105, 'recalled agenda item monitoring state conservation world heritage properties')","(0.28409090909090906, 'world heritage properties committee decided comply request senegalese authorities remove')","(0.24444444444444446, 'djoudj national park senegal n committee recalled agenda item monitoring state conservation world heritage properties committee decided')","(0.24615384615384617, 'djoudj national park senegal n committee recalled agenda item monitoring state conservation world heritage properties committee')","(0.31496062992125984, 'monitoring state conservation world heritage properties committee decided comply request senegalese authorities remove property')","(0.4, 'monitoring state conservation world heritage properties')","(0.23423423423423428, 'monitoring state conservation world heritage properties committee decided comply request senegalese authorities')","(0.2727272727272727, 'state conservation world heritage properties committee decided comply request senegalese')"
"Dec 5, 1988 Other Business Concerns About the Situation of Architectural Heritage, Both Urban and Rural, in Romania","(0.31506849315068497, 'convention matter raised recent session unesco s executive board')","(0.2661290322580645, 'stated organization ready help committee way possible committee noted romania state party convention matter raised recent')","(0.41025641025641024, 'convention matter raised recent session')","(0.32432432432432434, 'stefano president icomos expressing grave concern organization the situation architectural heritage urban rural')","(0.375, 'could give priority attention romanian properties world heritage')","(0.28776978417266186, 'informed body measures taking obtain clarifications form romanian authorities effects architectural heritage rural systematisation policies')","(0.3214285714285714, 'roberto di stefano president')","(0.4035087719298246, 'noted romania state party convention matter raised recent')","(0.3421052631578947, 'possible committee noted romania state party convention matter raised recent')","(0.5135135135135135, 'romania state party convention matter')","(0.3392857142857143, 'icomos could give priority attention romanian properties')","(0.29508196721311475, 'board director general informed body measures taking obtain clarifications form romanian authorities effects architectural')","(0.30597014925373134, 'telex message professor roberto di stefano president icomos expressing grave concern organization the situation architectural heritage')","(0.3058823529411765, 'wish concern communicated romanian authorities observer states party suggested global')","(0.3088235294117647, 'president icomos expressing grave concern organization the situation')","(0.3846153846153846, 'carrying icomos could give priority attention romanian properties')","(0.35820895522388063, 'state party convention matter raised recent session unesco')","(0.30000000000000004, 'urban rural romania describing measures taken icomos message')","(0.3921568627450981, 'state party convention matter raised recent session')","(0.27692307692307694, 'noted romania state party convention matter raised recent session')","(0.36986301369863017, 'convention matter raised recent session unesco s executive board director')","(0.40816326530612246, 'convention matter raised recent session unesco s')","(0.3015873015873016, 'professor roberto di stefano president icomos expressing grave concern organization the situation architectural heritage urban')","(0.33043478260869563, 'party convention matter raised recent session unesco s executive board director general informed body')","(0.2650602409638554, 'professor roberto di stefano president icomos expressing grave concern organization')","(0.38749999999999996, 'expressing grave concern organization the situation architectural heritage urban')","(0.36, 'convention matter raised recent session unesco s executive board director')","(0.28148148148148144, 'committee way possible committee noted romania state party convention matter raised recent session unesco s executive board')","(0.27692307692307694, 'stated organization ready help committee way possible committee noted romania state party convention matter raised recent')","(0.32478632478632474, 'organization the situation architectural heritage urban rural romania describing measures taken icomos message stated')","(0.35185185185185186, 'president icomos expressing grave concern organization')","(0.31958762886597936, 'party convention matter raised recent session unesco s executive board director general')","(0.3421052631578947, 'possible committee noted romania state party convention matter raised recent')"
"Dec 5, 1988 Report on Activities Untertaken Since the Eleventh Session","(0.3846153846153846, 'took note particular projects international assistance financed world heritage')","(0.2857142857142857, 'robertson vernhes recalled role secretariat world heritage committee concerning processing nominations world heritage list implementation decisions')","(0.39534883720930236, 'convention fund fully operational committee')","(0.30927835051546393, 'meant convention fund fully operational committee also drew attention fact although terms numbers')","(0.4057971014492754, 'convention better known stimulating contributions world heritage fund')","(0.3125, 'meant convention fund fully operational committee also drew attention fact although terms numbers world heritage')","(0.375, 'use states parties meant')","(0.36111111111111116, 'satisfied note allocations technical cooperation training world heritage')","(0.32258064516129037, 'committee especially satisfied note allocations technical cooperation training world heritage')","(0.48571428571428577, 'parties meant convention fund fully')","(0.3709677419354839, 'aimed making convention better known stimulating contributions')","(0.3223140495867769, 'secretariat since eleventh session described detail working documents session took note particular projects international')","(0.28682170542635654, 'meant convention fund fully operational committee also drew attention fact although terms numbers world heritage list')","(0.33783783783783783, 'meant convention fund fully operational committee also drew attention fact')","(0.3088235294117647, 'aimed making convention better known stimulating contributions world')","(0.3194444444444444, 'satisfied note allocations technical cooperation training world heritage')","(0.32835820895522383, 'meant convention fund fully operational committee also drew')","(0.33333333333333337, 'fund well promotional activities aimed making convention better')","(0.42592592592592593, 'meant convention fund fully operational committee also')","(0.3924050632911392, 'international assistance financed world heritage fund approved committee bureau')","(0.3493975903614458, 'took note particular projects international assistance financed world heritage fund')","(0.38235294117647056, 'concerning processing nominations world heritage list implementation')","(0.31896551724137934, 'allocations technical cooperation training world heritage fund put maximum use states parties meant convention fund')","(0.28695652173913044, 'fund approved committee bureau and or chairman since eleventh session committee presented annex ix')","(0.313953488372093, 'sc conf committee especially satisfied note allocations technical cooperation training')","(0.46875, 'fund fact used well balanced manner cultural natural heritage')","(0.3232323232323232, 'concerning processing nominations world heritage list implementation decisions committee concerning')","(0.3355704697986577, 'committee concerning projects financed world heritage fund well promotional activities aimed making convention better known stimulating contributions')","(0.3129251700680272, 'robertson vernhes recalled role secretariat world heritage committee concerning processing nominations world heritage list implementation decisions')","(0.31818181818181823, 'concerning processing nominations world heritage list implementation decisions committee concerning projects financed world heritage')","(0.4042553191489362, 'parties meant convention fund fully operational')","(0.2649572649572649, 'concerning processing nominations world heritage list implementation decisions committee concerning projects financed')","(0.3586956521739131, 'particular projects international assistance financed world heritage fund approved committee')"
"Dec 5, 1988 Nominations to the World Heritage List and to the List of World Heritage in Danger Overview","(0.33333333333333337, 'correlation programme igcp unesco international union geological sciences iugs')","(0.2967741935483871, 'group particularly study petrified forests involving intergovernmental geological correlation programme igcp unesco international union geological sciences')","(0.4545454545454546, 'international union geological sciences iugs')","(0.29729729729729726, 'decided inscribe properties world heritage list cultural properties natural mixed committee furthermore decided')","(0.3188405797101449, 'committee furthermore decided inscribe properties world heritage list')","(0.2622950819672131, 'unesco international union geological sciences iugs iucn results study available bureau could examine nomination petrified')","(0.3214285714285714, 'park n accordance suggestion')","(0.3548387096774194, 'another nominations deferred committee and or bureau committee')","(0.32352941176470584, 'intergovernmental geological correlation programme igcp unesco international union geological sciences')","(0.3571428571428571, 'taking account recommendations icomos iucn')","(0.30645161290322576, 'dated november hungarian permanent delegation unesco withdrawn')","(0.3392857142857143, 'another nominations deferred committee and or bureau committee also decided remove djoudj national park')","(0.28682170542635654, 'another nominations deferred committee and or bureau committee also decided remove djoudj national park senegal list')","(0.2674418604651163, 'accordance suggestion bureau twelfth session unesco convene working group particularly')","(0.3116883116883117, 'hungarian permanent delegation unesco withdrawn nomination hortobagy national')","(0.3835616438356164, 'correlation programme igcp unesco international union geological sciences')","(0.29850746268656714, 'oman n nbsp there properties inscribed world heritage')","(0.29508196721311475, 'natural properties n nbsp the secretariat introduced document')","(0.3584905660377359, 'nominations natural properties n nbsp the secretariat')","(0.410958904109589, 'international union geological sciences iugs iucn results study available')","(0.3733333333333333, 'igcp unesco international union geological sciences iugs iucn results study')","(0.375, 'correlation programme igcp unesco international union geological')","(0.29496402877697847, 'session unesco convene working group particularly study petrified forests involving intergovernmental geological correlation programme igcp')","(0.27826086956521734, 'list properties list world heritage danger n xiv i nominations natural properties n nbsp')","(0.30000000000000004, 'bahla fort oman n nbsp there properties inscribed world heritage')","(0.36250000000000004, 'recommendations icomos iucn committee decided inscribe properties world heritage')","(0.3373493975903614, 'correlation programme igcp unesco international union geological sciences iugs iucn')","(0.2875, 'group particularly study petrified forests involving intergovernmental geological correlation programme igcp unesco international union geological sciences iugs')","(0.27692307692307694, 'n xiv i nominations natural properties n nbsp the secretariat introduced document sc conf informed committee')","(0.30000000000000004, 'nomination hortobagy national park n accordance suggestion bureau twelfth session unesco convene working group')","(0.34615384615384615, 'taking account recommendations icomos iucn committee')","(0.28865979381443296, 'list properties list world heritage danger n xiv i nominations natural properties')","(0.32352941176470584, 'intergovernmental geological correlation programme igcp unesco international union geological sciences')"
"Dec 5, 1988 Promotional Activities","(0.37209302325581395, 'coordination implementation promotion convention france placing plaques world heritage')","(0.310126582278481, 'referred promotional activities undertaken planned countries setting national committee charge coordination implementation promotion convention france placing')","(0.46341463414634143, 'convention sites inscribed world heritage')","(0.33333333333333337, 'implementation promotion convention france placing plaques world heritage sites france mexico issuing series')","(0.359375, 'promotion convention france placing plaques world heritage sites')","(0.2698412698412699, 'sought arabic editions publications n finally committee recommended creation strengthening national bodies designed act relays')","(0.3529411764705882, 'report activities carried document')","(0.3972602739726028, 'activities undertaken planned countries setting national committee charge')","(0.3936170212765957, 'referred promotional activities undertaken planned countries setting national committee charge')","(0.3913043478260869, 'production leaflets convention sites inscribed')","(0.37142857142857144, 'operation convention variety publics mounting photographic exhibitions')","(0.319672131147541, 'nations development programme informed committee positive results press seminar organized salvador bahia brazil assistance')","(0.3223684210526315, 'objectives operation convention variety publics mounting photographic exhibitions n several members committee referred promotional activities undertaken')","(0.31868131868131866, 'objectives operation convention variety publics mounting photographic exhibitions n several')","(0.33333333333333337, 'objectives operation convention variety publics mounting photographic exhibitions')","(0.4117647058823529, 'brazil production leaflets convention sites inscribed world heritage')","(0.34328358208955223, 'promotion convention france placing plaques world heritage sites')","(0.31506849315068497, 'conf devoted mainly production dissemination general information material')","(0.3857142857142857, 'charge coordination implementation promotion convention france placing')","(0.33333333333333337, 'information material objectives operation convention variety publics mounting photographic')","(0.3586956521739131, 'coordination implementation promotion convention france placing plaques world heritage sites')","(0.4375, 'conf devoted mainly production dissemination general information')","(0.3076923076923077, 'committee recommended creation strengthening national bodies designed act relays secretariat s activities respect noted assistance')","(0.32608695652173914, 'devoted mainly production dissemination general information material objectives operation convention variety publics mounting photographic')","(0.3157894736842105, 'photographic exhibitions n several members committee referred promotional activities undertaken')","(0.41860465116279066, 'coordination implementation promotion convention france placing plaques world heritage')","(0.3763440860215054, 'representative united nations development programme informed committee positive results press')","(0.3112582781456954, 'planned countries setting national committee charge coordination implementation promotion convention france placing plaques world heritage sites france')","(0.29861111111111116, 'planned countries setting national committee charge coordination implementation promotion convention france placing plaques world heritage sites')","(0.33599999999999997, 'document sc conf devoted mainly production dissemination general information material objectives operation convention variety')","(0.37735849056603776, 'n representative united nations development programme')","(0.2680412371134021, 'france placing plaques world heritage sites france mexico issuing series postage stamps')","(0.34042553191489366, 'conf devoted mainly production dissemination general information material objectives operation')"
"Dec 5, 1988 SOC Djoudj National Park Senegal","(0.275, 'assistance provided fund conservation status property greatly improved committee')","(0.27419354838709675, 'djoudj national park senegal n committee glad learn due part assistance provided fund conservation status property')","(0.33333333333333337, 'conservation status property greatly improved')","(0.3055555555555556, 'part assistance provided fund conservation status property greatly improved committee decided comply request')","(0.3142857142857143, 'assistance provided fund conservation status property greatly improved')","(0.26771653543307083, 'fund conservation status property greatly improved committee decided comply request senegalese authorities remove property list')","(0.31034482758620685, 'part assistance provided fund')","(0.33333333333333337, 'djoudj national park senegal n committee glad learn')","(0.2954545454545454, 'assistance provided fund conservation status property greatly improved committee decided')","(0.33333333333333337, 'provided fund conservation status property')","(0.27118644067796616, 'provided fund conservation status property greatly improved')","(0.2589285714285714, 'djoudj national park senegal n committee glad learn due part assistance provided fund conservation')","(0.2945736434108527, 'djoudj national park senegal n committee glad learn due part assistance provided fund conservation status property')","(0.2650602409638554, 'fund conservation status property greatly improved committee decided comply request')","(0.3142857142857143, 'assistance provided fund conservation status property greatly improved')","(0.2571428571428571, 'assistance provided fund conservation status property greatly improved')","(0.28358208955223885, 'park senegal n committee glad learn due part')","(0.3098591549295775, 'committee decided comply request senegalese authorities remove property')","(0.35593220338983056, 'provided fund conservation status property greatly improved')","(0.3114754098360656, 'djoudj national park senegal n committee glad learn due')","(0.2727272727272727, 'djoudj national park senegal n committee glad learn due part')","(0.2931034482758621, 'part assistance provided fund conservation status property')","(0.25190839694656486, 'part assistance provided fund conservation status property greatly improved committee decided comply request senegalese authorities')","(0.24347826086956526, 'senegal n committee glad learn due part assistance provided fund conservation status property greatly')","(0.24096385542168675, 'fund conservation status property greatly improved committee decided comply request')","(0.31506849315068497, 'comply request senegalese authorities remove property list world heritage')","(0.27710843373493976, 'fund conservation status property greatly improved committee decided comply request')","(0.24444444444444446, 'n committee glad learn due part assistance provided fund conservation status property greatly improved committee decided comply')","(0.24060150375939848, 'fund conservation status property greatly improved committee decided comply request senegalese authorities remove property list world')","(0.29508196721311475, 'fund conservation status property greatly improved committee decided comply request senegalese authorities remove property')","(0.48, 'provided fund conservation status property greatly')","(0.22680412371134018, 'senegal n committee glad learn due part assistance provided fund conservation status')","(0.2954545454545454, 'assistance provided fund conservation status property greatly improved committee decided')"
"Dec 5, 1988 Request to Study Modalities of a Proposal with Respect to Major Monuments Belonging to the Holy See in Rome","(0.28767123287671237, 'monuments basilicas saint john lateran santa maria maggiore santa')","(0.25806451612903225, 'saint john lateran santa maria maggiore santa maria de trastevere san paolo fuori le mura etc')","(0.3076923076923077, 'heritage list historical centre vatican')","(0.32352941176470584, 'rome inscription world heritage list historical centre vatican city apparently cover several monuments')","(0.35820895522388063, 'attention committee particular case rome inscription world heritage')","(0.31481481481481477, 'major monuments basilicas saint john lateran santa maria maggiore santa maria de trastevere san paolo')","(0.3846153846153846, 'santa maria maggiore santa')","(0.29850746268656714, 'attention committee particular case rome inscription world heritage')","(0.30379746835443033, 'member drew attention committee particular case rome inscription world heritage')","(0.33333333333333337, 'monuments property holy see extra')","(0.2909090909090909, 'italy study modalities proposal respect major monuments')","(0.2678571428571429, 'trastevere san paolo fuori le mura etc request observer holy see committee agreed declaration')","(0.28682170542635654, 'italy study modalities proposal respect major monuments basilicas saint john lateran santa maria maggiore santa maria')","(0.2763157894736842, 'italy study modalities proposal respect major monuments basilicas saint john')","(0.33333333333333337, 'saint john lateran santa maria maggiore santa maria')","(0.296875, 'modalities proposal respect major monuments basilicas saint john')","(0.31343283582089554, 'member drew attention committee particular case rome inscription')","(0.3157894736842105, 'monuments property holy see extra territorial rights them')","(0.3207547169811321, 'several monuments property holy see extra territorial')","(0.29508196721311475, 'santa maria de trastevere san paolo fuori le mura')","(0.3132530120481928, 'attention committee particular case rome inscription world heritage list historical')","(0.3157894736842105, 'drew attention committee particular case rome inscription')","(0.24812030075187974, 'apparently cover several monuments property holy see extra territorial rights them clarifications provided secretariat representative')","(0.28695652173913044, 'etc request observer holy see committee agreed declaration subject would annexed present report annex')","(0.2875, 'santa maria de trastevere san paolo fuori le mura etc')","(0.3472222222222222, 'attention committee particular case rome inscription world heritage list')","(0.308641975308642, 'monuments property holy see extra territorial rights them clarifications provided')","(0.2666666666666667, 'italy observer holy see committee requested holy see italy study modalities proposal respect major monuments basilicas saint')","(0.2692307692307693, 'maria maggiore santa maria de trastevere san paolo fuori le mura etc request observer holy see')","(0.28125, 'rights them clarifications provided secretariat representative icomos representative italy observer holy see committee requested')","(0.35416666666666663, 'apparently cover several monuments property holy')","(0.25773195876288657, 'member drew attention committee particular case rome inscription world heritage list historical')","(0.29729729729729726, 'icomos representative italy observer holy see committee requested holy see')"
"Dec 5, 1988 SOC Ngorongoro Conservation Area Tanzania","(0.34090909090909094, 'conservation status property greatly improved tanzanian authorities requested maintained')","(0.24822695035460995, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian authorities requested')","(0.3421052631578947, 'conservation area tanzania n committee')","(0.33628318584070793, 'glad informed conservation status property greatly improved tanzanian authorities requested maintained list world')","(0.3650793650793651, 'ngorongoro conservation area tanzania n committee glad informed')","(0.296875, 'tanzania n committee glad informed conservation status property greatly improved tanzanian authorities requested maintained list')","(0.3529411764705882, 'poaching committee agreed maintain')","(0.29508196721311475, 'committee agreed maintain property list world heritage danger')","(0.2962962962962963, 'maintained list world heritage danger particularly view continued threat poaching')","(0.3571428571428571, 'glad informed conservation status property')","(0.328125, 'informed conservation status property greatly improved tanzanian')","(0.30081300813008127, 'tanzania n committee glad informed conservation status property greatly improved tanzanian authorities requested maintained')","(0.28671328671328666, 'conservation status property greatly improved tanzanian authorities requested maintained list world heritage danger particularly view continued')","(0.31868131868131866, 'glad informed conservation status property greatly improved tanzanian authorities requested')","(0.4126984126984127, 'ngorongoro conservation area tanzania n committee glad informed')","(0.2727272727272727, 'conservation status property greatly improved tanzanian authorities requested')","(0.30434782608695654, 'glad informed conservation status property greatly improved tanzanian')","(0.3287671232876712, 'property greatly improved tanzanian authorities requested maintained list')","(0.35185185185185186, 'ngorongoro conservation area tanzania n committee glad')","(0.31818181818181823, 'conservation status property greatly improved tanzanian authorities requested maintained')","(0.33333333333333337, 'conservation status property greatly improved tanzanian authorities requested maintained list')","(0.3731343283582089, 'conservation status property greatly improved tanzanian authorities')","(0.26717557251908397, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian authorities')","(0.26890756302521013, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian')","(0.27472527472527475, 'glad informed conservation status property greatly improved tanzanian authorities requested')","(0.323943661971831, 'committee agreed maintain property list world heritage danger expressed')","(0.30107526881720426, 'conservation status property greatly improved tanzanian authorities requested maintained list')","(0.2894736842105263, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian authorities requested maintained')","(0.2907801418439716, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian authorities requested')","(0.3025210084033614, 'ngorongoro conservation area tanzania n committee glad informed conservation status property greatly improved tanzanian')","(0.48, 'glad informed conservation status property greatly')","(0.23529411764705888, 'status property greatly improved tanzanian authorities requested maintained list world heritage danger')","(0.3132530120481928, 'ngorongoro conservation area tanzania n committee glad informed conservation status')"
