,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jul 10, 2016 The Grand Canal China C 1443","(0.32098765432098764, 'canal recently established maintenance improvement policy water quality different')","(0.3356643356643356, 'priority cones vision protecting them necessary negative impact new buildings continue identification work concerning historical archaeological')","(0.36363636363636365, 'work concerning historical archaeological signification')","(0.3727272727272727, 'staff concerned conservation valorisation promotion property requests state party submit world heritage centre')","(0.3866666666666667, 'concerned conservation valorisation promotion property requests state party')","(0.30534351145038163, 'buffer zones sectors property affected request minor boundary modification examination present session confirm regulatory standards')","(0.32258064516129037, 'grand canal tourism development')","(0.3380281690140845, 'water quality different sectors property conservation policy programmes')","(0.33333333333333337, 'state party to continue reflection work protection surroundings grand canal')","(0.3695652173913043, 'examination present session confirm regulatory')","(0.37681159420289856, 'staff concerned conservation valorisation promotion property requests')","(0.3087248322147651, 'development coordination programmes training programmes activities aimed strengthening capacities staff concerned conservation valorisation promotion')","(0.33333333333333337, 'signification constitutive elements property inform committee effective functioning results different components property particular monitoring system grand')","(0.3033707865168539, 'taken consideration municipal development plans develop concept corridor example defining')","(0.41333333333333333, 'concerned conservation valorisation promotion property requests state party')","(0.3287671232876712, 'heritage centre updated report state conservation property implementation')","(0.3835616438356164, 'zones effectively taken consideration municipal development plans develop')","(0.2894736842105263, 'inform committee effective functioning results different components property')","(0.4107142857142857, 'priority cones vision protecting them necessary negative')","(0.3176470588235294, 'state conservation property implementation above examination world heritage committee')","(0.31818181818181823, 'concerned conservation valorisation promotion property requests state party submit world')","(0.38888888888888884, 'cones vision protecting them necessary negative impact')","(0.32799999999999996, 'staff concerned conservation valorisation promotion property requests state party submit world heritage centre updated report')","(0.3284671532846716, 'training programmes activities aimed strengthening capacities staff concerned conservation valorisation promotion property requests state')","(0.31868131868131866, 'property conservation policy programmes traditional villages urban zones historic character')","(0.3972602739726028, 'to continue reflection work protection surroundings grand canal guarantee')","(0.4157303370786517, 'taken consideration municipal development plans develop concept corridor example defining')","(0.36241610738255037, 'force constructions apply buffer zones effectively taken consideration municipal development plans develop concept corridor example defining priority')","(0.3642857142857143, 'force constructions apply buffer zones effectively taken consideration municipal development plans develop concept corridor example defining')","(0.33606557377049184, 'taken consideration municipal development plans develop concept corridor example defining priority cones vision protecting')","(0.42105263157894735, 'updated report state conservation property implementation')","(0.2989690721649485, 'com recalling decision adopted committee session doha notes efforts made state party')","(0.36458333333333337, 'reflection work protection surroundings grand canal guarantee sustainable maintenance attributes')"
"Jul 12, 1999 Decision of the Third Extraordinary Session of the World Heritage Committee concerning Kakadu National Park, Australia","(0.3013698630136986, 'isp with addition additional members assess co operation the')","(0.2661290322580645, 'raised isp report committee asks icsu continue work isp with addition additional members assess co operation')","(0.3157894736842105, 'co operation the supervising scientist')","(0.29807692307692313, 'assessment submitted world heritage centre april examination twenty fourth session bureau world heritage')","(0.3538461538461538, 'co operation the supervising scientist iucn supervising scientist')","(0.2272727272727273, 'supervising scientist iucn supervising scientist s response isp report report isp s assessment submitted world')","(0.4782608695652174, 'report isp s assessment')","(0.31746031746031744, 'addition additional members assess co operation the supervising')","(0.26388888888888884, 'isp with addition additional members assess co operation the supervising')","(0.33333333333333337, 'isp with addition additional members')","(0.30508474576271183, 'supervising scientist iucn supervising scientist s response')","(0.2678571428571429, 'issues raised isp report committee asks icsu continue work isp with addition additional members')","(0.2945736434108527, 'members assess co operation the supervising scientist iucn supervising scientist s response isp report report isp')","(0.2567567567567568, 's response isp report report isp s assessment submitted world')","(0.2666666666666667, 'report committee asks icsu continue work isp with')","(0.2622950819672131, 'april examination twenty fourth session bureau world heritage')","(0.28358208955223885, 'report committee asks icsu continue work isp with')","(0.2698412698412699, 'resolve remaining scientific issues raised isp report committee')","(0.3090909090909091, 'examination twenty fourth session bureau world heritage')","(0.273972602739726, 'addition additional members assess co operation the supervising scientist')","(0.26315789473684215, 's assessment submitted world heritage centre april examination twenty fourth')","(0.34615384615384615, 'with addition additional members assess co operation')","(0.27586206896551724, 'additional members assess co operation the supervising scientist iucn supervising scientist s response isp report')","(0.27826086956521734, 'report isp s assessment submitted world heritage centre april examination twenty fourth session bureau')","(0.275, 'report committee asks icsu continue work isp with addition additional')","(0.26865671641791045, 'co operation the supervising scientist iucn supervising scientist s')","(0.2533333333333333, 'continue work isp with addition additional members assess co operation')","(0.2518518518518519, 'resolve remaining scientific issues raised isp report committee asks icsu continue work isp with addition additional members')","(0.25384615384615383, 'resolve remaining scientific issues raised isp report committee asks icsu continue work isp with addition additional')","(0.29702970297029707, 'co operation the supervising scientist iucn supervising scientist s response isp report report isp')","(0.3555555555555555, 'assess co operation the supervising scientist')","(0.25773195876288657, 'icsu continue work isp with addition additional members assess co operation the')","(0.2692307692307693, 'addition additional members assess co operation the supervising scientist iucn')"
"Jul 12, 1999 Introduction to the Extraordinary Session","(0.31506849315068497, 'documents relevance deliberations whc conf entitled quot report state')","(0.24193548387096775, 'finalization document end may whc conf inf included record deliberations twenty third session bureau world heritage')","(0.32558139534883723, 'conservation kakadu national park australia')","(0.3302752293577982, 'quot report state conservation kakadu national park australia quot provided summary information deliberations')","(0.34426229508196726, 'quot report state conservation kakadu national park australia')","(0.2720588235294118, 'conservation kakadu national park australia quot provided summary information deliberations concerning kakadu date finalization document')","(0.25, 'committee two main documents')","(0.31666666666666665, 'conf entitled quot report state conservation kakadu national')","(0.32608695652173914, 'quot provided summary information deliberations concerning kakadu date finalization document')","(0.3939393939393939, 'finalization document end may whc')","(0.34545454545454546, 'chairperson drew attention committee two main documents')","(0.26771653543307083, 'conservation kakadu national park australia quot provided summary information deliberations concerning kakadu date finalization')","(0.34883720930232553, 'deliberations concerning kakadu date finalization document end may whc conf inf included record deliberations twenty third')","(0.27710843373493976, 'chairperson drew attention committee two main documents relevance deliberations whc')","(0.33333333333333337, 'state conservation kakadu national park australia quot provided')","(0.3013698630136986, 'park australia quot provided summary information deliberations concerning')","(0.28358208955223885, 'record deliberations twenty third session bureau world heritage')","(0.273972602739726, 'park australia quot provided summary information deliberations concerning')","(0.3207547169811321, 'drew attention committee two main documents relevance')","(0.3013698630136986, 'record deliberations twenty third session bureau world heritage committee')","(0.32530120481927716, 'state conservation kakadu national park australia quot provided summary information')","(0.3709677419354839, 'attention committee two main documents relevance deliberations')","(0.2834645669291339, 'quot report state conservation kakadu national park australia quot provided summary information deliberations concerning kakadu')","(0.27826086956521734, 'provided summary information deliberations concerning kakadu date finalization document end may whc conf inf')","(0.26249999999999996, 'end may whc conf inf included record deliberations twenty third')","(0.30000000000000004, 'deliberations concerning kakadu date finalization document end may whc')","(0.3012048192771084, 'chairperson drew attention committee two main documents relevance deliberations whc')","(0.2689655172413793, 'quot report state conservation kakadu national park australia quot provided summary information deliberations concerning kakadu date finalization')","(0.2384615384615385, 'deliberations concerning kakadu date finalization document end may whc conf inf included record deliberations twenty third')","(0.3228346456692913, 'conservation kakadu national park australia quot provided summary information deliberations concerning kakadu date finalization')","(0.4347826086956522, 'report state conservation kakadu national park')","(0.2525252525252525, 'provided summary information deliberations concerning kakadu date finalization document end may whc')","(0.28260869565217395, 'quot provided summary information deliberations concerning kakadu date finalization document')"
"Jul 12, 2019 Activities for the promotion and strengthening of relationships and synergies with other relevant conventio","(0.136986301369863, 'b c e c f g c c h')","(0.16935483870967738, 'b c e c f g c c h j h k l c u v')","(0.16129032258064513, 'c e c f g')","(0.20731707317073167, 'v c h g c c h u j c h n w')","(0.16666666666666663, 'e c f g c c h j')","(0.16666666666666663, 'c c h j h k l c u v c h g c c')","(0, '')","(0.19999999999999996, 'e c f g c c h j')","(0.19999999999999996, 'b c e c f g c c h j')","(0.18518518518518523, 'b c e c f')","(0.16000000000000003, 'c e c f g c c')","(0.1696428571428571, 'b c e c f g c c h j h k l c')","(0.16279069767441856, 'b c e c f g c c h j h k l c u v')","(0.14864864864864868, 'b c e c f g c c h j')","(0.15000000000000002, 'b c e c f g c c')","(0.16666666666666663, 'b c e c f g c c')","(0.16417910447761197, 'h k l c u v c h')","(0.1875, 'l c u v c h g c')","(0.17500000000000004, 'b c e c f g c')","(0.16393442622950816, 'b c e c f g c c h')","(0.1515151515151515, 'b c e c f g c c h j')","(0.1428571428571429, 'c e c f g c c')","(0.1637931034482759, 'l c u v c h g c c h u j c h n')","(0.13913043478260867, 'c c h j h k l c u v c h g c')","(0.15000000000000002, 'b c e c f g c c h j')","(0.171875, 'b c e c f g c c h')","(0.1333333333333333, 'b c e c f g c c h j')","(0.14814814814814814, 'l c u v c h g c c h u j c h n w x')","(0.1461538461538462, 'b c e c f g c c h j h k l c u v')","(0.15841584158415845, 'b c e c f g c c h j h k l c')","(0.16666666666666663, 'g c c h u j')","(0.12371134020618557, 'b c e c f g c c h j h k')","(0.16666666666666663, 'c c h j h k l c u v')"
"Jul 10, 2016 Tiwanaku Spiritual and Political Centre of the Tiwanaku Culture Bolivia, Plurinational State of C 567rev","(0.3013698630136986, 'plan draft integral conservation plan february review world heritage')","(0.28025477707006374, 'archaeological anthropological administrative research centre tiwanaku ciaaat acknowledges progress made ciaaat updating management plan development integral')","(0.39473684210526316, 'conservation plan tiwanaku urges state')","(0.3608247422680413, 'integral conservation plan february review world heritage centre advisory bodies also urges state')","(0.40625, 'integral conservation plan february review world heritage centre')","(0.2983870967741935, 'updating management plan development integral conservation plan tiwanaku urges state party finalize process within framework')","(0.3870967741935484, 'copies draft revised management')","(0.3538461538461538, 'revised management plan draft integral conservation plan february')","(0.30927835051546393, 'state party strengthen management structure property reinforcing multidisciplinary technical team')","(0.41463414634146345, 'draft integral conservation plan february')","(0.32835820895522383, 'report state conservation property implementation above examination')","(0.3035714285714286, 'integral conservation plan february review world heritage centre advisory bodies also urges state party')","(0.28682170542635654, 'document whc com add recalling decision com adopted session doha notes satisfaction efforts made state party')","(0.28205128205128205, 'value conditions authenticity integrity also requests state party submit world')","(0.3950617283950617, 'project conservation tiwanaku akapana pyramid participation stakeholders requests')","(0.30379746835443033, 'ensure protection outstanding universal value conditions authenticity integrity')","(0.39473684210526316, 'regulatory measures ensure protection outstanding universal value conditions')","(0.31645569620253167, 'ensure protection outstanding universal value conditions authenticity integrity')","(0.37735849056603776, 'integral conservation plan tiwanaku urges state party')","(0.3287671232876712, 'integral conservation plan february review world heritage centre advisory')","(0.34615384615384615, 'conservation plan tiwanaku urges state party finalize process within framework')","(0.3846153846153846, 'measures ensure protection outstanding universal value conditions')","(0.2978723404255319, 'take corresponding required regulatory measures ensure protection outstanding universal value conditions authenticity integrity also requests')","(0.28695652173913044, 'progress made ciaaat updating management plan development integral conservation plan tiwanaku urges state party')","(0.3305084745762712, 'structure property reinforcing multidisciplinary technical team archaeological anthropological administrative research')","(0.4024390243902439, 'report state conservation property implementation above examination world heritage')","(0.3294117647058824, 'ciaaat updating management plan development integral conservation plan tiwanaku urges')","(0.27564102564102566, 'property take corresponding required regulatory measures ensure protection outstanding universal value conditions authenticity integrity also requests state')","(0.30000000000000004, 'property take corresponding required regulatory measures ensure protection outstanding universal value conditions authenticity integrity also requests')","(0.3188405797101449, 'satisfaction efforts made state party strengthen management structure property reinforcing multidisciplinary technical team archaeological')","(0.4347826086956522, 'plan draft integral conservation plan february')","(0.25773195876288657, 'integral conservation plan february review world heritage centre advisory bodies also urges')","(0.33333333333333337, 'ensure protection outstanding universal value conditions authenticity integrity also requests')"
"Jul 12, 2019 Additional procedures or institutional mechanisms to assist the Conference of the Parties in regularly revi","(0.15068493150684936, 'k j n p n q r r h')","(0.15322580645161288, 'k j n p n q r r h k j g u v w x')","(0.16129032258064513, 'n p n q r')","(0.18292682926829273, 'g h k j n p n q r r h k j')","(0.14814814814814814, 'n p n q r r h k')","(0.17592592592592593, 'j n p n q r r h k j g u v w x')","(0.19999999999999996, 'p n q r')","(0.18000000000000005, 'n q r r h k j g')","(0.18461538461538463, 'n p n q r r h k j g')","(0.18518518518518523, 'n p n q r')","(0.16000000000000003, 'g h k j n p n')","(0.1517857142857143, 'j n p n q r r h k j g u v w')","(0.1472868217054264, 'h c g h j g g h k j n p n q r r')","(0.1351351351351351, 'k j n p n q r r h k')","(0.15000000000000002, 'k j n p n q r r')","(0.1333333333333333, 'k j n p n q r r')","(0.14925373134328357, 'k j n p n q r r')","(0.1875, 'k j n p n q r r')","(0.19999999999999996, 'k j n p n q r')","(0.16393442622950816, 'n p n q r r h k j')","(0.16666666666666663, 'n p n q r r h k j g')","(0.16326530612244894, 'n p n q r r h')","(0.15517241379310343, 'h c g h j g g h k j n p n q r')","(0.13043478260869568, 'j n p n q r r h k j g u v w')","(0.13749999999999996, 'r r h k j g u v w x')","(0.1875, 'k j n p n q r r h')","(0.17333333333333334, 'n p n q r r h k j g')","(0.15555555555555556, 'h c g h j g g h k j n p n q r r h')","(0.15384615384615385, 'j g g h k j n p n q r r h k j g')","(0.15841584158415845, 'g h k j n p n q r r h k j g')","(0.16666666666666663, 'k j n p n q')","(0.14432989690721654, 'j n p n q r r h k j g u')","(0.1515151515151515, 'g h k j n p n q r r')"
"Jul 12, 2019 Activities for the promotion and strengthening of relationships with other relevant conventions and relevan","(0.136986301369863, 'c q r g n x h l q')","(0.16129032258064513, 'g x b c g b c q r g n x h l q q')","(0.16129032258064513, 'c c e f g')","(0.19512195121951215, 'g x b c g b c q r g n x h')","(0.16666666666666663, 'c c e f g h g j')","(0.15740740740740744, 'k k g g x b c g b c q r g n x')","(0.19999999999999996, 'p j q r')","(0.18000000000000005, 'x n v r k k k g')","(0.18461538461538463, 'k p j q r q k x x n')","(0.18518518518518523, 'x n v r k')","(0.16000000000000003, 'c c e f g h g')","(0.1428571428571429, 'c g b c q r g n x h l q q q')","(0.1472868217054264, 'g x b c g b c q r g n x h l q q')","(0.14864864864864868, 'b c g b c q r g n x')","(0.15000000000000002, 'c c e f g h g j')","(0.16666666666666663, 'g x b c g b c q')","(0.14925373134328357, 'r q k x x n v r')","(0.16666666666666663, 'r q k x x n v r')","(0.17500000000000004, 'x x n v r k k')","(0.14754098360655743, 'x n v r k k k g g')","(0.16666666666666663, 'c q r g n x h l q q')","(0.1428571428571429, 'c c e f g h g')","(0.15517241379310343, 'c q r g n x h l q q q c g x j')","(0.14782608695652177, 'c g b c q r g n x h l q q q')","(0.15000000000000002, 'b c g b c q r g n x')","(0.171875, 'c q r g n x h l q')","(0.1466666666666666, 'k x x n v r k k k g')","(0.14074074074074072, 'c c e f g h g j k p j q r q k x x')","(0.1461538461538462, 'g b c q r g n x h l q q q c g x')","(0.16831683168316836, 'c q r g n x h l q q q c g x')","(0.16666666666666663, 'x x n v r k')","(0.134020618556701, 'p j q r q k x x n v r k')","(0.16666666666666663, 'c q r g n x h l q q')"
"Jul 12, 2019 Annexes containing arbitration and conciliation procedures","(0.136986301369863, 'b l g c n p q r q')","(0.15322580645161288, 'b c e l g f b l g c n p q r q u')","(0.19354838709677424, 'c e l g f')","(0.18292682926829273, 'b c e l g f b l g c n p q')","(0.16666666666666663, 'b c e l g f b l')","(0.16666666666666663, 'b c e l g f b l g c n p q r q')","(0.19999999999999996, 'p q r q')","(0.18000000000000005, 'e l g f b l g c')","(0.18461538461538463, 'b c e l g f b l g c')","(0.14814814814814814, 'b c e l g')","(0.18000000000000005, 'c n p q r q u')","(0.1428571428571429, 'b c e l g f b l g c n p q r')","(0.13953488372093026, 'b c e l g f b l g c n p q r q u')","(0.16216216216216217, 'b l g c n p q r q u')","(0.15000000000000002, 'g c n p q r q u')","(0.16666666666666663, 'e l g f b l g c')","(0.13432835820895528, 'e l g f b l g c')","(0.20833333333333337, 'b l g c n p q r')","(0.19999999999999996, 'l g c n p q r')","(0.16393442622950816, 'b c e l g f b l g')","(0.16666666666666663, 'e l g f b l g c n p')","(0.18367346938775508, 'c n p q r q u')","(0.1637931034482759, 'b c e l g f b l g c n p q r q')","(0.14782608695652177, 'b c e l g f b l g c n p q r')","(0.15000000000000002, 'b c e l g f b l g c')","(0.171875, 'b c e l g f b l g')","(0.1466666666666666, 'b c e l g f b l g c')","(0.16296296296296298, 'b c e l g f b l g c n p q r q u v')","(0.15384615384615385, 'b c e l g f b l g c n p q r q u')","(0.15841584158415845, 'b c e l g f b l g c n p q r')","(0.19444444444444442, 'g c n p q r')","(0.14432989690721654, 'b c e l g f b l g c n p')","(0.16666666666666663, 'b c e l g f b l g c')"
"Jul 12, 2019 Consideration of procedures and institutional mechanisms for the resolution of questions on implementation ","(0.136986301369863, 'g e l g g e e g g')","(0.18548387096774188, 'g b c c c e j k g e j g g e l g')","(0.19354838709677424, 'e l g g e')","(0.19512195121951215, 'g e e g g b c c c c e u g')","(0.18518518518518523, 'c c e u g e g f')","(0.17592592592592593, 'f g b c c c e u g g f g h f g')","(0.19999999999999996, 'p h e z')","(0.18000000000000005, 'h f g b c c c e')","(0.18461538461538463, 'c c c e j k g e j g')","(0.18518518518518523, 'c c c e u')","(0.16000000000000003, 'c c e f g h h')","(0.1607142857142857, 'e l g g e e g g b c c c c e')","(0.1705426356589147, 'g b c c c c e u g e g f g h f g')","(0.16216216216216217, 'c c c c e u g e g f')","(0.16666666666666663, 'c c c e j k g e')","(0.18333333333333335, 'c c c c e u g e')","(0.13432835820895528, 'g e e g g b c c')","(0.20833333333333337, 'x q r p h e z e')","(0.19999999999999996, 'q r p h e z e')","(0.19672131147540983, 'g e l g g e e g g')","(0.19696969696969702, 'e e g g v w f e u f')","(0.16326530612244894, 'c c c c e u g')","(0.1724137931034483, 'c c e f g h h f g b c c c e j')","(0.15652173913043477, 'b c c c e j k g e j g g e l')","(0.17500000000000004, 'c c c c e u g e g f')","(0.203125, 'c c c c e u g e g')","(0.16000000000000003, 'c c c e j k g e j g')","(0.1703703703703704, 'g e e g g b c c c c e u g e g f g')","(0.16153846153846152, 'c e j k g e j g g e l g g e e g')","(0.17821782178217827, 'c c c c e u g e g f g h f g')","(0.19444444444444442, 'g e e g g b')","(0.14432989690721654, 'c e u g e g f g h f g b')","(0.18181818181818177, 'l g g e e g g b c c')"
"Jul 12, 2019 Consideration of rule 47 of the rules of procedure","(0.136986301369863, 'b c e f b e f g h')","(0.15322580645161288, 'b c e f b e f g h j k l l j k n')","(0.19354838709677424, 'c e f b e')","(0.1585365853658537, 'b c e f b e f g h j k l l')","(0.14814814814814814, 'b c e f b e f g')","(0.15740740740740744, 'b c e f b e f g h j k l l j k')","(0.19999999999999996, 'p q r u')","(0.16000000000000003, 'b c e f b e f g')","(0.16923076923076918, 'b c e f b e f g h j')","(0.18518518518518523, 'n p q r u')","(0.18000000000000005, 'j k n p q r u')","(0.1428571428571429, 'b c e f b e f g h j k l l j')","(0.13953488372093026, 'b c e f b e f g h j k l l j k n')","(0.16216216216216217, 'b c e f b e f g h j')","(0.15000000000000002, 'b c e f b e f g')","(0.15000000000000002, 'b c e f b e f g')","(0.14925373134328357, 'k n p q r u v w')","(0.16666666666666663, 'b c e f b e f g')","(0.17500000000000004, 'b c e f b e f')","(0.16393442622950816, 'b c e f b e f g h')","(0.16666666666666663, 'e f b e f g h j k l')","(0.1428571428571429, 'c e f b e f g')","(0.13793103448275867, 'b c e f b e f g h j k l l j k')","(0.13913043478260867, 'b c e f b e f g h j k l l j')","(0.15000000000000002, 'l j k n p q r u v w')","(0.15625, 'l j k n p q r u v')","(0.16000000000000003, 'k n p q r u v w u z')","(0.14074074074074072, 'b c e f b e f g h j k l l j k n p')","(0.1461538461538462, 'h j k l l j k n p q r u v w u z')","(0.14851485148514854, 'b c e f b e f g h j k l l j')","(0.16666666666666663, 'b c e f b e')","(0.14432989690721654, 'b c e f b e f g h j k l')","(0.1515151515151515, 'b c e f b e f g h j')"
