,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Feb 23, 1998 Emergency Fund","(0.3292682926829268, 'convention welcoming steps already taken requesting information concerning aspects')","(0.3012820512820513, 'monitoring implementation compliance obligations set basel convention welcoming steps already taken requesting information concerning aspects implementation')","(0.4193548387096774, 'conv ention vie w recom')","(0.3207547169811321, 'report presented consultative sub group legal technical experts issues related establishing emergency fund')","(0.3666666666666667, 'basel convention conference recalling decision iii taking te')","(0.3055555555555556, 'basel convention conference recalling decision iii taking te repo rt presented cons ultative sub gr')","(0.3529411764705882, 'taking te repo rt')","(0.4029850746268657, 'compliance obligations set basel convention welcoming steps already')","(0.39743589743589747, 'way p romote full implementation provisions basel convention including whether')","(0.4444444444444444, 'b asel conv ention vie')","(0.38, 'set basel convention welcoming steps already taken')","(0.3306451612903226, 'set basel convention welcoming steps already taken requesting information concerning aspects implementation basel convention')","(0.3141025641025641, 'monitoring implementation compliance obligations set basel convention welcoming steps already taken requesting information concerning aspects implementation')","(0.3918918918918919, 'basel convention conference recalling decision iii taking te repo rt')","(0.32499999999999996, 'implementation provisions basel convention including whether mechanism procedure')","(0.35, 'complian ce b asel conv ention vie w')","(0.35820895522388063, 'basel convention requests consultative sub group continue step')","(0.3035714285714286, 'monitoring implementation complian ce b asel conv ention')","(0.38, 'set basel convention welcoming steps already taken')","(0.3295454545454546, 'information concerning aspects implementation basel convention requests consultative sub')","(0.3402061855670103, 'convention welcoming steps already taken requesting information concerning aspects implementation')","(0.40816326530612246, 'conv ention vie w recom mending soon')","(0.32413793103448274, 'implementation compliance obligations set basel convention welcoming steps already taken requesting information concerning aspects implementation')","(0.30434782608695654, 'rt presented cons ultative sub gr oup le gal echnical e xperts second session')","(0.2978723404255319, 'information concerning aspects implementation basel convention requests consultative sub group')","(0.36363636363636365, 'information concerning aspects implementation basel convention requests consultative sub')","(0.3733333333333333, 'conv ention vie w recom mending soon p racticable best')","(0.29333333333333333, 'set basel convention welcoming steps already taken requesting information concerning aspects implementation basel convention requests consultative sub')","(0.32592592592592595, 'information concerning aspects implementation basel convention requests consultative sub group continue step by step approach examining')","(0.3366336633663366, 'conv ention vie w recom mending soon p racticable best way p romote full')","(0.41860465116279066, 'requests consultative sub group keep issues')","(0.2912621359223301, 'provisions basel convention including whether mechanism procedure would required and extent appropriate')","(0.32258064516129037, 'monitoring implementation compliance obligations set basel convention welcoming steps already')"
"Feb 23, 1998 Establishment Of An Information Management System On Wastes imsw Of The Basel Convention","(0.3295454545454546, 'convention conference takes note progress reported establishment development information')","(0.2661290322580645, 'promote access imsw ternet including information nd docu mentation n information received r elation articles well')","(0.4473684210526315, 'convention develop promote access imsw')","(0.3207547169811321, 'iv establishment information management system wastes imsw basel convention conference takes note progress')","(0.36986301369863017, 'documentation reports basel convention meetings newsletters publication s')","(0.29600000000000004, 'imsw basel convention conference takes note progress reported establishment development information management system w astes')","(0.34615384615384615, 'publication s etc requests')","(0.4035087719298246, 'system wastes imsw basel convention conference takes note')","(0.3978494623655914, 'nations bodies particular united nations environment programme developing operating databases')","(0.4736842105263158, 'imsw basel convention welcomes support')","(0.3728813559322034, 'reports basel convention meetings newsletters publication s')","(0.3025210084033614, 'imsw basel convention conference takes note progress reported establishment development information management system w')","(0.30201342281879195, 'closely united nations bodies particular united nations environment programme developing operating databases information management systems relevance')","(0.38749999999999996, 'basel convention welcomes support government japan establishment imsw also urges')","(0.32258064516129037, 'including information nd docu mentation n information received')","(0.33333333333333337, 'system wastes imsw basel convention conference takes note')","(0.34328358208955223, 'astes imsw basel convention welcomes support government japan')","(0.29032258064516125, 'also urges secretariat basel convention develop promote access')","(0.4, 'imsw basel convention welcomes support government japan')","(0.30666666666666664, 'information management system wastes imsw basel convention conference takes')","(0.3717948717948718, 'mentation n information received r elation articles well documentation reports')","(0.4084507042253521, 'documentation reports basel convention meetings newsletters publication')","(0.28800000000000003, 'imsw basel convention conference takes note progress reported establishment development information management system w astes')","(0.31304347826086953, 'promote access imsw ternet including information nd docu mentation n information received r elation')","(0.2828282828282829, 'convention conference takes note progress reported establishment development information management')","(0.3522727272727273, 'convention conference takes note progress reported establishment development information')","(0.36363636363636365, 'convention conference takes note progress reported establishment development information management')","(0.3202614379084967, 'iv establishment information management system wastes imsw basel convention conference takes note progress reported establishment development information')","(0.3153846153846154, 'information management system w astes imsw basel convention welcomes support government japan establishment imsw also urges')","(0.35593220338983056, 'n information received r elation articles well documentation reports basel convention meetings newsletters publication')","(0.3877551020408163, 'development information management system w astes')","(0.2989690721649485, 'nd docu mentation n information received r elation articles well documentation reports')","(0.306930693069307, 'particular united nations environment programme developing operating databases information management')"
"Feb 23, 1998 Guidance Elements For Bilateral, Multilateral And Regional Agreements Or Arrangements","(0.273972602739726, 'basel convention calendar years invites parties yet done report')","(0.282258064516129, 'elabora ting text draft guidance elements pre senting ne xt meeting open en ded ad hoc')","(0.41463414634146345, 'convention calendar years invites parties')","(0.32799999999999996, 'guidance elements considering bilateral multilateral regional agreements arran gements iv transmission information conference')","(0.32432432432432434, 'information conference takes te report prepared secretariat implementation')","(0.29850746268656714, 'guidance elements considering bilateral multilateral regional agreements arran gements iv transmission information conference takes te')","(0.4347826086956522, 'revised dra ft elements')","(0.3943661971830986, 'parties provide information secretariat basel convention calendar years')","(0.36904761904761907, 'efforts made parties provide information secretariat basel convention calendar years')","(0.4418604651162791, 'secretariat basel convention calendar years')","(0.36, 'hoc c ommittee revised dra ft elements')","(0.30645161290322576, 'agreements arran gements iv transmission information conference takes te report prepared secretariat implementation articles')","(0.29370629370629375, 'reporting pa rties activities requests secretariat continue efforts promoting harmonizing reporting system organizations initiate action matter')","(0.3783783783783784, 'basel convention calendar years invites parties yet done report articles')","(0.3116883116883117, 'secretariat implementation articles acknowledges efforts made parties provide')","(0.323943661971831, 'parties provide information secretariat basel convention calendar years')","(0.32835820895522383, 'elabora ting text draft guidance elements pre senting')","(0.32352941176470584, 'according provisions article parties requested transmit end calendar')","(0.36363636363636365, 'gements iv transmission information conference takes te')","(0.3472222222222222, 'information p revious calendar year requests parties provide information')","(0.33333333333333337, 'pre senting ne xt meeting open en ded ad hoc')","(0.3770491803278688, 'made parties provide information secretariat basel convention')","(0.3017241379310345, 'elements pre senting ne xt meeting open en ded ad hoc c ommittee revised dra')","(0.29565217391304344, 'article parties requested transmit end calendar year report information p revious calendar year requests')","(0.30000000000000004, 'two groups cooperate closely subject view elabora ting text draft')","(0.32530120481927716, 'information conference takes te report prepared secretariat implementation articles')","(0.3125, 'information secretariat basel convention calendar years invites parties yet done')","(0.3125, 'fifth meeting conference parties encourages parties states non parties refer draft guidance elements considering bilateral multilateral regional')","(0.3153846153846154, 'elabora ting text draft guidance elements pre senting ne xt meeting open en ded ad hoc')","(0.3168316831683168, 'view elabora ting text draft guidance elements pre senting ne xt meeting open en')","(0.4285714285714286, 'agreeme nts arrang ements conference takes')","(0.2989690721649485, 'open en ded ad hoc c ommittee revised dra ft elements adoption')","(0.3793103448275862, 'parties provide information secretariat basel convention calendar years invites parties')"
"Feb 23, 1998 Report Of The Contracting Parties And Signatories On The Implementation Of Decision Ii12","(0.28915662650602414, 'position paper hazard characterization classification wastes within framework basel')","(0.2983870967741935, 'applica tion form place ment r emoval f wastes n list list b developed technical working')","(0.39473684210526316, 'convention contained document unep chw')","(0.3220338983050848, 'parties requests secretariat consolidate report including information received implementation decision prev ious years')","(0.34375, 'basel convention implementation decision ii requests parties yet')","(0.30000000000000004, 'adjusting list list b agrees approve draft position paper hazard characterization classification wastes within framework')","(0.375, 'prev ious years requests')","(0.44594594594594594, 'classification wastes within framework basel convention contained document')","(0.42168674698795183, 'classification wastes within framework basel convention contained document unep chw')","(0.39534883720930236, 'within framework basel convention contained')","(0.34375, 'secretariat basel convention implementation decision ii requests')","(0.3602941176470589, 'presentation comprehensive report next meeting conference parties requests secretariat consolidate report including information received')","(0.31007751937984496, 'unep chw approves list list b wastes submitted technical working group approves applica tion form place')","(0.45945945945945943, 'basel convention contained document unep chw approves list list b')","(0.33333333333333337, 'adjustment conference notes appreciation efforts technical working group')","(0.3380281690140845, 'te report prepared secretariat basel convention implementation decision')","(0.3731343283582089, 'within framework basel convention contained document unep chw')","(0.31999999999999995, 'contracting parties signatories implementation decision ii conference takes')","(0.4, 'basel convention implementation decision ii requests parties')","(0.33783783783783783, 'information received implementation decision prev ious years requests open')","(0.3529411764705882, 'basel convention implementation decision ii requests parties yet reported secretariat')","(0.4137931034482759, 'convention implementation decision ii requests parties yet')","(0.3112582781456954, 'presentation comprehensive report next meeting conference parties requests secretariat consolidate report including information received implementation')","(0.2913385826771654, 'parties requests secretariat consolidate report including information received implementation decision prev ious years requests')","(0.2875, 'wastes th e applicab le proced ure review adjustment conference')","(0.34883720930232553, 'presentation comprehensive report next meeting conference parties requests secretariat')","(0.33673469387755106, 'presentation comprehensive report next meeting conference parties requests secretariat consolidate')","(0.31081081081081086, 'conference takes te report prepared secretariat basel convention implementation decision ii requests parties yet reported secretariat implementation')","(0.30000000000000004, 'report including information received implementation decision prev ious years requests open ended hoc c ommittee present')","(0.3583333333333333, 'convention implementation decision ii requests parties yet reported secretariat implementation decision ii soon possible')","(0.375, 'implementation decision prev ious years requests')","(0.30927835051546393, 'basel convention contained document unep chw approves list list b wastes submitted')","(0.3163265306122449, 'hazard characterization classification wastes within framework basel convention contained document')"
"Feb 23, 1998 Transmission Of Information","(0.273972602739726, 'basel convention calendar years invites parties yet done report')","(0.2751677852348994, 'secretariat implementation articles acknowledges efforts made parties provide information secretariat basel convention calendar years invites parties')","(0.41463414634146345, 'convention calendar years invites parties')","(0.3252032520325203, 'report prepared secretariat implementation articles acknowledges efforts made parties provide information secretariat basel')","(0.32432432432432434, 'information conference takes te report prepared secretariat implementation')","(0.2796610169491526, 'provide information secretariat basel convention calendar years invites parties yet done report articles calendar year')","(0.3928571428571429, 'pa rties activities requests')","(0.3943661971830986, 'parties provide information secretariat basel convention calendar years')","(0.36904761904761907, 'efforts made parties provide information secretariat basel convention calendar years')","(0.4418604651162791, 'secretariat basel convention calendar years')","(0.3088235294117647, 'promoting harmonizing reporting system organizations initiate action')","(0.2946428571428571, 'transmit end calendar year report information p revious calendar year requests parties provide information')","(0.29370629370629375, 'reporting pa rties activities requests secretariat continue efforts promoting harmonizing reporting system organizations initiate action matter')","(0.3783783783783784, 'basel convention calendar years invites parties yet done report articles')","(0.3116883116883117, 'secretariat implementation articles acknowledges efforts made parties provide')","(0.323943661971831, 'parties provide information secretariat basel convention calendar years')","(0.32835820895522383, 'basel convention calendar years invites parties yet done')","(0.32352941176470584, 'according provisions article parties requested transmit end calendar')","(0.3492063492063492, 'provide information secretariat basel convention calendar years')","(0.3472222222222222, 'information p revious calendar year requests parties provide information')","(0.3222222222222222, 'iv transmission information conference takes te report prepared secretariat implementation')","(0.3770491803278688, 'made parties provide information secretariat basel convention')","(0.2727272727272727, 'report prepared secretariat implementation articles acknowledges efforts made parties provide information secretariat basel convention calendar')","(0.29565217391304344, 'article parties requested transmit end calendar year report information p revious calendar year requests')","(0.27083333333333337, 'information conference takes te report prepared secretariat implementation articles acknowledges')","(0.32530120481927716, 'information conference takes te report prepared secretariat implementation articles')","(0.3125, 'information secretariat basel convention calendar years invites parties yet done')","(0.29729729729729726, 'ble secretariat revise time reporting pa rties activities requests secretariat continue efforts promoting harmonizing reporting system organizations')","(0.27692307692307694, 'calendar year end calendar year requests parties comment upon propose improvements existing format questionnaire order ena')","(0.30400000000000005, 'conference takes te report prepared secretariat implementation articles acknowledges efforts made parties provide information')","(0.36, 'made parties provide information secretariat basel')","(0.2989690721649485, 'provide information secretariat calendar year end calendar year requests parties comment upon')","(0.3793103448275862, 'parties provide information secretariat basel convention calendar years invites parties')"
"Feb 25, 2014 Guidance on alternatives to perfluorooctane sulfonic acid, its salts, perfluorooctane sulfonyl fluoride and","(0.33333333333333337, 'contained technical paper alternatives perfluorooctane sulfonic acid salts perfluorooctane')","(0.2751677852348994, 'salts perfluorooctane sulfonyl fluoride related chemicals tenth meeting taking account outcomes assessment alternatives committee accordance decision')","(0.28, 'information contained technical paper alternatives')","(0.2857142857142857, 'decision poprc information contained technical paper alternatives perfluorooctane sulfonic acid salts perfluorooctane sulfonyl')","(0.3421052631578947, 'accordance decision poprc information contained technical paper alternatives')","(0.2571428571428571, 'salts perfluorooctane sulfonyl fluoride related chemicals tenth meeting taking account outcomes assessment alternatives committee accordance')","(0.3125, 'parties observers decides review')","(0.32499999999999996, 'alternatives committee accordance decision poprc information contained technical')","(0.2934782608695652, 'perfluorooctane sulfonic acid salts perfluorooctane sulfonyl fluoride related chemicals open')","(0.30000000000000004, 'information contained technical paper alternatives')","(0.5538461538461539, 'sulfonyl fluoride related chemicals persistent organic pollutants')","(0.28671328671328666, 'account outcomes assessment alternatives committee accordance decision poprc information contained technical paper alternatives perfluorooctane')","(0.31875, 'alternatives committee accordance decision poprc information contained technical paper alternatives perfluorooctane sulfonic acid salts perfluorooctane sulfonyl')","(0.28260869565217395, 'poprc information contained technical paper alternatives perfluorooctane sulfonic acid salts')","(0.3026315789473685, 'accordance decision poprc information contained technical paper alternatives')","(0.2676056338028169, 'salts perfluorooctane sulfonyl fluoride related chemicals amended ninth')","(0.3421052631578947, 'accordance decision poprc information contained technical paper alternatives')","(0.28378378378378377, 'contained technical paper alternatives perfluorooctane sulfonic acid salts')","(0.3650793650793651, 'accordance decision poprc information contained technical paper')","(0.313953488372093, 'alternatives committee accordance decision poprc information contained technical paper')","(0.3366336633663366, 'accordance decision poprc information contained technical paper alternatives perfluorooctane sulfonic')","(0.3194444444444444, 'poprc information contained technical paper alternatives perfluorooctane')","(0.29370629370629375, 'perfluorooctane sulfonic acid salts perfluorooctane sulfonyl fluoride related chemicals persistent organic pollutants review committee endorses')","(0.30069930069930073, 'account outcomes assessment alternatives committee accordance decision poprc information contained technical paper alternatives perfluorooctane')","(0.27472527472527475, 'sulfonyl fluoride related chemicals persistent organic pollutants review committee endorses')","(0.32608695652173914, 'accordance decision poprc information contained technical paper alternatives perfluorooctane')","(0.306930693069307, 'accordance decision poprc information contained technical paper alternatives perfluorooctane sulfonic')","(0.2638036809815951, 'persistent organic pollutants review committee endorses revised guidance alternatives perfluorooctane sulfonic acid salts perfluorooctane sulfonyl fluoride related')","(0.2684563758389261, 'salts perfluorooctane sulfonyl fluoride related chemicals tenth meeting taking account outcomes assessment alternatives committee accordance decision')","(0.2992700729927007, 'fluoride related chemicals persistent organic pollutants review committee endorses revised guidance alternatives perfluorooctane sulfonic')","(0.31481481481481477, 'paper alternatives perfluorooctane sulfonic acid salts')","(0.26956521739130435, 'persistent organic pollutants review committee endorses revised guidance alternatives perfluorooctane sulfonic acid')","(0.3058823529411765, 'perfluorooctane sulfonyl fluoride related chemicals open applications unep pops poprc')"
"Feb 23, 1998 Instruction Manual","(0.3295454545454546, 'convention conference takes note progress reported establishment development information')","(0.29032258064516125, 'manual united nations lan guages dissemina te widely invites parties use instruction manual forms contained therein')","(0.4473684210526315, 'convention develop promote access imsw')","(0.3207547169811321, 'iv establishment information management system wastes imsw basel convention conference takes note progress')","(0.36986301369863017, 'documentation reports basel convention meetings newsletters publication s')","(0.4, 'revised instruction anual control system transbou ndary mo vements hazardous wastes wastes welcomes technical assistance')","(0.3571428571428571, 'nations lan guages dissemina')","(0.4035087719298246, 'system wastes imsw basel convention conference takes note')","(0.3978494623655914, 'nations bodies particular united nations environment programme developing operating databases')","(0.4736842105263158, 'imsw basel convention welcomes support')","(0.3793103448275862, 'basel convention publish instruction manual united nations')","(0.3025210084033614, 'imsw basel convention conference takes note progress reported establishment development information management system w')","(0.31007751937984496, 'instruction anual ac compa nying notifica tion ovemen docum ent requests secretariat basel convention publish instruction')","(0.6891891891891893, 'anual control system transbou ndary mo vements hazardous wastes wastes')","(0.32258064516129037, 'including information nd docu mentation n information received')","(0.33333333333333337, 'system wastes imsw basel convention conference takes note')","(0.34328358208955223, 'astes imsw basel convention welcomes support government japan')","(0.29032258064516125, 'also urges secretariat basel convention develop promote access')","(0.4, 'imsw basel convention welcomes support government japan')","(0.3157894736842105, 'use instruction manual forms contained therein report secretariat experience')","(0.3717948717948718, 'mentation n information received r elation articles well documentation reports')","(0.4084507042253521, 'documentation reports basel convention meetings newsletters publication')","(0.28800000000000003, 'imsw basel convention conference takes note progress reported establishment development information management system w astes')","(0.31304347826086953, 'promote access imsw ternet including information nd docu mentation n information received r elation')","(0.2875, 'manual conference takes te revised instruction anual control system transbou')","(0.3623188405797102, 'basel convention publish instruction manual united nations lan guages')","(0.36363636363636365, 'convention conference takes note progress reported establishment development information management')","(0.3202614379084967, 'iv establishment information management system wastes imsw basel convention conference takes note progress reported establishment development information')","(0.3153846153846154, 'information management system w astes imsw basel convention welcomes support government japan establishment imsw also urges')","(0.35593220338983056, 'n information received r elation articles well documentation reports basel convention meetings newsletters publication')","(0.3877551020408163, 'development information management system w astes')","(0.5463917525773196, 'revised instruction anual control system transbou ndary mo vements hazardous wastes wastes')","(0.306930693069307, 'particular united nations environment programme developing operating databases information management')"
"Feb 23, 1998 Tribute To The Host Country And Dates And Venue For The Next Meeting Of The Conference Of The Parties","(0.308641975308642, 'conference extends thanks gratitude government malaysia state sarawak organizatio')","(0.2661290322580645, 'ce pa rties take place decem ber basel switzerland extends gratitude g overnme nt switzerlan inviting')","(0.3076923076923077, 'conference parties basel also celebrate')","(0.3111111111111111, 'overnme nt switzerlan inviting c ontracting p arties hold fifth meeting conference parties')","(0.29729729729729726, 'conference parties conference extends thanks gratitude government malaysia')","(0.28688524590163933, 'next meeting conference parties conference extends thanks gratitude government malaysia state sarawak organizatio n fourth')","(0.368421052631579, 'pa rties take place')","(0.31999999999999995, 'fifth meeting f conferen ce pa rties take')","(0.2954545454545454, 'conference parties conference extends thanks gratitude government malaysia state sarawak')","(0.30952380952380953, 'next meeting conference parties conference')","(0.29824561403508776, 'next meeting conference parties conference extends thanks')","(0.3214285714285714, 'meeting f conferen ce pa rties take place decem ber basel switzerland extends gratitude')","(0.28682170542635654, 'fourth eeting c onference parties k uching hosp itality extended delegates decides fifth meeting f conferen')","(0.2954545454545454, 'conference parties conference extends thanks gratitude government malaysia state sarawak')","(0.2833333333333333, 'c onference parties k uching hosp itality extended')","(0.2666666666666667, 'parties k uching hosp itality extended delegates decides')","(0.32432432432432434, 'conference parties conference extends thanks gratitude government malaysia')","(0.33783783783783783, 'conference parties conference extends thanks gratitude government malaysia')","(0.34042553191489366, 'sarawak organizatio n fourth eeting c onference')","(0.30000000000000004, 'conference parties conference extends thanks gratitude government malaysia state')","(0.31818181818181823, 'f conferen ce pa rties take place decem ber basel')","(0.3076923076923077, 'conference parties conference extends thanks gratitude government')","(0.3017241379310345, 'parties k uching hosp itality extended delegates decides fifth meeting f conferen ce pa rties')","(0.28695652173913044, 'delegates decides fifth meeting f conferen ce pa rties take place decem ber basel')","(0.32499999999999996, 'parties k uching hosp itality extended delegates decides fifth meeting')","(0.32499999999999996, 'conference parties conference extends thanks gratitude government malaysia state')","(0.3295454545454546, 'conference parties conference extends thanks gratitude government malaysia state sarawak')","(0.274074074074074, 'fourth eeting c onference parties k uching hosp itality extended delegates decides fifth meeting f conferen ce')","(0.29230769230769227, 'parties k uching hosp itality extended delegates decides fifth meeting f conferen ce pa rties take')","(0.33043478260869563, 'next meeting conference parties conference extends thanks gratitude government malaysia state sarawak organizatio n')","(0.34615384615384615, 'meeting conference parties conference extends thanks')","(0.2680412371134021, 'inviting c ontracting p arties hold fifth meeting conference parties basel also')","(0.33333333333333337, 'fifth meeting f conferen ce pa rties take place decem')"
"Feb 23, 1998 Impleme Ntation Of Decision Iii1","(0.36986301369863017, 'annex vii reaffirming importa nce br oad ratificatio n')","(0.2983870967741935, 'ado pted ecision iii soon p ossible enab le ear ly entry force f endm ent')","(0.34042553191489366, 'contained decision iii recognizing difficulties')","(0.30612244897959184, 'force endmen contained decision iii recognizing difficulties modifying annex vii prior entry force')","(0.3142857142857143, 'decision iii welcomes ratification several countries amendment adopted')","(0.2962962962962963, 'adopted decision iii strongly ap peals parties ra tify amend ment ado pted ecision iii')","(0.47619047619047616, 'parties ra tify amend')","(0.35185185185185186, 'rity noting deep concern arab countries making changes')","(0.31818181818181823, 'matter prio rity noting deep concern arab countries making changes')","(0.33333333333333337, 'amendment contained decision iii yet')","(0.31999999999999995, 'iv impleme ntation de cision iii conference')","(0.3035714285714286, 'several countries amendment adopted decision iii strongly ap peals parties ra tify amend ment')","(0.32558139534883723, 'also noting decision iv con ference whic h urges pa rties ratify ame ndment matter prio')","(0.31081081081081086, 'un changed u ntil amend ment conta ined dec ision')","(0.35, 'amend ment conta ined dec ision iii ente')","(0.30000000000000004, 'amend ment conta ined dec ision iii ente')","(0.29850746268656714, 'amendment adopted decision iii strongly ap peals parties')","(0.28787878787878785, 'conference takes te progress made parties effectively implementing')","(0.35, 'ment conta ined dec ision iii ente')","(0.3114754098360656, 'le ear ly entry force f endm ent iv')","(0.303030303030303, 'ra tify amend ment ado pted ecision iii soon p')","(0.3392857142857143, 'amendm ent noting proposals formulated parties inclusion')","(0.31034482758620685, 'force therefore also noting decision iv con ference whic h urges pa rties ratify ame')","(0.29565217391304344, 'adopted decision iii strongly ap peals parties ra tify amend ment ado pted ecision')","(0.30000000000000004, 'ent noting proposals formulated parties inclusion annex vii decides leave')","(0.296875, 'ntation de cision iii conference takes te progress made')","(0.30666666666666664, 'ntation de cision iii conference takes te progress made parties')","(0.3037037037037037, 'also noting decision iv con ference whic h urges pa rties ratify ame ndment matter prio rity')","(0.3076923076923077, 'yet come force therefore also noting decision iv con ference whic h urges pa rties ratify')","(0.3168316831683168, 'force therefore also noting decision iv con ference whic h urges pa rties ratify')","(0.36585365853658536, 'amendment contained decision iii yet come')","(0.3055555555555556, 'effectively implementing decision iii welcomes ratification several countries amendment adopted decision iii')","(0.303030303030303, 'soon p ossible enab le ear ly entry force f')"
"Feb 23, 1998 Hazardous Waste Minimization","(0.36986301369863017, 'convention cooperate united nations environm ent progr amme ind')","(0.3012820512820513, 'monitoring implementation compliance obligations set basel convention welcoming steps already taken requesting information concerning aspects implementation')","(0.4838709677419355, 'co nvention inter alia decision')","(0.3203883495145631, 'present consideration adoption fifth meeting conference p arties iv emergency fund conference recalling')","(0.42592592592592593, 'co nvention inter alia decision iii well relevant')","(0.3945578231292517, 'operation regional subregional centres training technology transfer regarding management hazardous wastes wastes minimization generation encourages')","(0.47619047619047616, 'p arties iv emergency')","(0.4029850746268657, 'compliance obligations set basel convention welcoming steps already')","(0.39743589743589747, 'way p romote full implementation provisions basel convention including whether')","(0.48275862068965514, 'pment basel co nvention inter')","(0.38, 'set basel convention welcoming steps already taken')","(0.3303571428571429, 'liability compensation develo pment basel co nvention inter alia decision iii well relevant international')","(0.32258064516129037, 'operation regional subregional centres training technology transfer regarding management hazardous wastes wastes minimization generation encourages parties')","(0.653061224489796, 'protocol liability compensation damage resulting transboundary movements hazardous wastes disposal')","(0.359375, 'present consideration adoption fifth meeting conference p arties')","(0.37681159420289856, 'implications draft protocol liability compensation develo pment basel')","(0.3731343283582089, 'nisation e conom ic cooperation development matter req')","(0.3913043478260869, 'implications draft protocol liability compensation develo pment basel')","(0.38888888888888884, 'basel convention cooperate united nations environm ent')","(0.352112676056338, 'international conventions extends mandate ad hoc working group requests')","(0.36, 'co nvention inter alia decision iii well relevant international conventions')","(0.40816326530612246, 'conv ention vie w recom mending soon')","(0.352112676056338, 'basel convention welcoming steps already taken requesting information concerning aspects implementation basel convention requests consultative')","(0.31304347826086953, 'pment basel co nvention inter alia decision iii well relevant international conventions extends mandate')","(0.375, 'ds techn ologies industrial pro cesses produc design facilitate nd')","(0.36363636363636365, 'information concerning aspects implementation basel convention requests consultative sub')","(0.4666666666666667, 'conom ic cooperation development matter req uests secretar iat report')","(0.37777777777777777, 'cleaner prod uction approache s requests secretariat basel convention cooperate united nations environm ent progr amme ind')","(0.34615384615384615, 'ind ustry en vironmen centre orga nisation e conom ic cooperation development matter req uests secretar')","(0.40594059405940597, 'orga nisation e conom ic cooperation development matter req uests secretar iat report n')","(0.4390243902439024, 'e conom ic cooperation development matter')","(0.5982142857142857, 'develop draft protocol liability compensation damage resulting transboundary movements hazardous wastes disposal')","(0.33673469387755106, 'protocol liability compensation damage resulting transboundary movements hazardous wastes disposal')"
