,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 18, 2015 Adoption of the Agenda of the 20th session of the General Assembly","(0.17808219178082196, 'examined document whc ga adopts agenda included above mentioned')","(0, '')","(0.1842105263157895, 'adopts agenda included above mentioned')","(0, '')","(0.14814814814814814, 'examined document whc ga adopts agenda included above')","(0, '')","(0.29032258064516125, 'agenda included above mentioned')","(0.23636363636363633, 'general assembly examined document whc ga adopts agenda')","(0.19444444444444442, 'examined document whc ga adopts agenda included above mentioned document')","(0.30000000000000004, 'agenda included above mentioned document')","(0.19999999999999996, 'assembly examined document whc ga adopts agenda')","(0, '')","(0, '')","(0.18918918918918914, 'examined document whc ga adopts agenda included above mentioned document')","(0.19999999999999996, 'general assembly examined document whc ga adopts agenda')","(0.19999999999999996, 'whc ga adopts agenda included above mentioned document')","(0.20895522388059706, 'examined document whc ga adopts agenda included above')","(0.23636363636363633, 'general assembly examined document whc ga adopts agenda')","(0.25531914893617025, 'examined document whc ga adopts agenda included')","(0.21875, 'general assembly examined document whc ga adopts agenda included')","(0.19444444444444442, 'examined document whc ga adopts agenda included above mentioned document')","(0.20408163265306123, 'document whc ga adopts agenda included above')","(0, '')","(0, '')","(0.22499999999999998, 'examined document whc ga adopts agenda included above mentioned document')","(0.171875, 'examined document whc ga adopts agenda included above mentioned')","(0.17333333333333334, 'general assembly examined document whc ga adopts agenda included above')","(0, '')","(0, '')","(0, '')","(0.23404255319148937, 'adopts agenda included above mentioned document')","(0.18556701030927836, 'general assembly examined document whc ga adopts agenda included above mentioned document')","(0.2222222222222222, 'examined document whc ga adopts agenda included above mentioned document')"
"Nov 18, 2015 Adoption of the Timetable of the 20th session of the General Assembly","(0.2191780821917808, 'examined document whc ga adopts timetable session included above')","(0, '')","(0.21875, 'document whc ga adopts timetable')","(0, '')","(0.1724137931034483, 'general assembly examined document whc ga adopts timetable')","(0, '')","(0.2647058823529411, 'general assembly examined document')","(0.24137931034482762, 'general assembly examined document whc ga adopts timetable')","(0.22972972972972971, 'examined document whc ga adopts timetable session included above mentioned')","(0.2777777777777778, 'ga adopts timetable session included')","(0.18000000000000005, 'whc ga adopts timetable session included above')","(0, '')","(0, '')","(0.16216216216216217, 'examined document whc ga adopts timetable session included above mentioned')","(0.16666666666666663, 'general assembly examined document whc ga adopts timetable')","(0.21666666666666667, 'whc ga adopts timetable session included above mentioned')","(0.25373134328358204, 'examined document whc ga adopts timetable session included')","(0.2321428571428571, 'whc ga adopts timetable session included above mentioned')","(0.26086956521739135, 'whc ga adopts timetable session included above')","(0.18181818181818177, 'general assembly examined document whc ga adopts timetable session')","(0.18918918918918914, 'examined document whc ga adopts timetable session included above mentioned')","(0.1923076923076923, 'ga adopts timetable session included above mentioned')","(0, '')","(0, '')","(0.25, 'examined document whc ga adopts timetable session included above mentioned')","(0.171875, 'examined document whc ga adopts timetable session included above')","(0.2533333333333333, 'examined document whc ga adopts timetable session included above mentioned')","(0, '')","(0, '')","(0, '')","(0.22499999999999998, 'document whc ga adopts timetable session')","(0.1649484536082474, 'general assembly examined document whc ga adopts timetable session included above mentioned')","(0.22972972972972971, 'examined document whc ga adopts timetable session included above mentioned')"
"Nov 17, 2018 Transit and contained use of living modified organisms Article 6","(0.3402061855670103, 'introduction regarded intentional introduction environment conditions specified article paragraph')","(0.3467741935483871, 'cbd distr general cbd cp mop dec november original english conference parties convention biological diversity serving')","(0.6595744680851063, 'parties convention biological diversity serving')","(0.3168316831683168, 'biosafety clearing house decisions contained use reminds parties that article paragraph protocol sets')","(0.37662337662337664, 'intentional introduction environment conditions specified article paragraph b')","(0.2978723404255319, 'final decisions regarding importation release living modified organisms encourages parties governments relevant organizations cooperate share')","(0.3548387096774194, 'parties serving meeting parties')","(0.3466666666666667, 'original english conference parties convention biological diversity serving')","(0.3125, 'paragraph protocol sets definition contained use namely any operation undertaken')","(0.36, 'conference parties convention biological diversity')","(0.31506849315068497, 'organisms encourages parties governments relevant organizations cooperate')","(0.32307692307692304, 'obligation article paragraph encourages governments publish biosafety clearing house final decisions regarding importation release')","(0.3354037267080745, 'modified organisms encourages parties governments relevant organizations cooperate share experiences promote capacity development support implementation specific')","(0.33333333333333337, 'conference parties convention biological diversity serving meeting parties cartagena protocol')","(0.3472222222222222, 'also reminds parties obligation article paragraph encourages governments')","(0.5833333333333333, 'cartagena protocol biosafety ninth meeting sharm el sheikh')","(0.34090909090909094, 'trial experimental introduction regarded intentional introduction environment conditions')","(0.3620689655172413, 'cartagena protocol biosafety ninth meeting sharm el sheikh')","(0.38235294117647056, 'on external environment intentional introduction environment include')","(0.32558139534883723, 'intentional introduction environment conditions specified article paragraph b protocol')","(0.3666666666666667, 'intentional introduction environment conditions specified article paragraph b protocol met')","(0.36923076923076925, 'convention biological diversity serving meeting parties cartagena')","(0.33333333333333337, 'final decisions regarding importation release living modified organisms encourages parties governments relevant organizations cooperate share')","(0.3157894736842105, 'impact on external environment intentional introduction environment include introduction experimental commercial purposes field trial')","(0.3846153846153846, 'original english conference parties convention biological diversity serving meeting parties')","(0.36904761904761907, 'convention biological diversity serving meeting parties cartagena protocol biosafety')","(0.38235294117647056, 'intentional introduction environment include introduction experimental commercial purposes field trial')","(0.31645569620253167, 'organisms controlled specific measures effectively limit contact with impact on external environment intentional introduction environment include introduction')","(0.3310344827586207, 'field trial confined field trial experimental introduction regarded intentional introduction environment conditions specified article paragraph b')","(0.3722627737226277, 'organizations cooperate share experiences promote capacity development support implementation specific measures contained use effectively')","(0.3770491803278688, 'assessment compliance committee information submitted parties')","(0.29565217391304344, 'importation release living modified organisms encourages parties governments relevant organizations cooperate share')","(0.3411764705882353, 'protocol met also reminds parties obligation article paragraph encourages governments')"
"Nov 17, 2018 Tools to evaluate the effectiveness of policy instruments for the implementation of the Strategic Plan for ","(0.38749999999999996, 'convention including context preparing national reports requests parties invites')","(0.35185185185185186, 'paragraphs emphasizes need sound evaluations effectiveness policy instruments measures supporting implementation convention strategic plan biodiversity associated')","(0.6888888888888889, 'parties convention biological diversity tools')","(0.3538461538461538, 'implement convention including context preparing national reports requests parties invites governments international organizations')","(0.3975903614457831, 'convention designing undertaking evaluations effectiveness measures taken implement')","(0.3049645390070922, 'develop consideration subsidiary body implementation third meeting tool kit assist parties governments international organizations indigenous')","(0.3666666666666667, 'kit assist parties governments')","(0.375, 'effectiveness measures taken implement convention including case studies')","(0.33018867924528306, 'indigenous peoples local communities business sector stakeholders implementation evaluations effectiveness')","(0.37735849056603776, 'implementation convention strategic plan biodiversity')","(0.3846153846153846, 'implement convention including context preparing national reports')","(0.36879432624113473, 'implement convention including context preparing national reports requests parties invites governments international organizations indigenous')","(0.3375, 'adopted conference parties convention biological diversity tools evaluate effectiveness policy instruments implementation strategic plan biodiversity conference')","(0.3298969072164949, 'instruments implementation strategic plan biodiversity conference parties recalling decision xiii')","(0.35365853658536583, 'implementation convention strategic plan biodiversity associated capacity building')","(0.5416666666666667, 'item decision adopted conference parties convention biological diversity')","(0.4691358024691358, 'different reporting processes biodiversity sustainable development encourages use')","(0.2962962962962963, 'different reporting processes biodiversity sustainable development encourages use')","(0.36923076923076925, 'implement convention including context preparing national reports')","(0.3655913978494624, 'international organizations indigenous peoples local communities business sector stakeholders')","(0.3695652173913043, 'convention including context preparing national reports requests parties invites governments')","(0.4029850746268657, 'convention strategic plan biodiversity associated capacity building')","(0.3382352941176471, 'strategic plan biodiversity conference parties recalling decision xiii paragraphs emphasizes need sound evaluations effectiveness policy')","(0.32894736842105265, 'international organizations indigenous peoples local communities business sector stakeholders implementation evaluations effectiveness measures building')","(0.3894736842105263, 'november original english conference parties convention biological diversity fourteenth meeting')","(0.375, 'convention including context preparing national reports requests parties invites')","(0.38383838383838387, 'context preparing national reports requests parties invites governments international organizations')","(0.323170731707317, 'convention designing undertaking evaluations effectiveness measures taken implement convention including context preparing national reports requests parties invites')","(0.3144654088050315, 'effectiveness measures taken implement convention including context preparing national reports requests parties invites governments international organizations')","(0.35460992907801414, 'used across different reporting processes biodiversity sustainable development encourages use parties governments international organizations')","(0.3877551020408163, 'taken implement convention including case studies')","(0.31481481481481477, 'methodologies used evaluations effectiveness measures taken implement convention including case studies well')","(0.3595505617977528, 'used evaluations effectiveness measures taken implement convention including case studies')"
"Nov 18, 2015 Closure of the session","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Nov 18, 2015 Election of the Chairperson, ViceChairpersons and Rapporteur of the General Assembly","(0.23287671232876717, 'elects e mr moraes cabral portugal chairperson general assembly')","(0.25, 'general assembly elects e mr moraes cabral portugal chairperson general assembly elects dantas da costa brazil')","(0.2432432432432432, 'mr moraes cabral portugal chairperson')","(0.2647058823529411, 'cabral portugal chairperson general assembly elects dantas da costa brazil rapporteur general assembly')","(0.2222222222222222, 'costa brazil rapporteur general assembly elects china palestine')","(0.2222222222222222, 'e mr moraes cabral portugal chairperson general assembly elects dantas da costa brazil rapporteur general')","(0.29032258064516125, 'costa brazil rapporteur general')","(0.2647058823529411, 'rapporteur general assembly elects china palestine vice chairpersons')","(0.2592592592592593, 'costa brazil rapporteur general assembly elects china palestine vice chairpersons')","(0.29268292682926833, 'china palestine vice chairpersons general')","(0.24, 'assembly elects e mr moraes cabral portugal')","(0.2589285714285714, 'general assembly elects dantas da costa brazil rapporteur general assembly elects china palestine vice')","(0.2325581395348837, 'general assembly elects e mr moraes cabral portugal chairperson general assembly elects dantas da costa brazil')","(0.2222222222222222, 'costa brazil rapporteur general assembly elects china palestine vice chairpersons')","(0.23333333333333328, 'elects e mr moraes cabral portugal chairperson general')","(0.25, 'rapporteur general assembly elects china palestine vice chairpersons')","(0.25, 'rapporteur general assembly elects china palestine vice chairpersons')","(0.2941176470588235, 'rapporteur general assembly elects china palestine vice chairpersons')","(0.26315789473684215, 'general assembly elects china palestine vice chairpersons')","(0.26086956521739135, 'chairperson general assembly elects dantas da costa brazil rapporteur')","(0.24675324675324672, 'chairperson general assembly elects dantas da costa brazil rapporteur general')","(0.26530612244897955, 'assembly elects e mr moraes cabral portugal')","(0.2068965517241379, 'general assembly elects e mr moraes cabral portugal chairperson general assembly elects dantas da costa')","(0.25217391304347825, 'general assembly elects dantas da costa brazil rapporteur general assembly elects china palestine vice')","(0.275, 'general assembly elects e mr moraes cabral portugal chairperson general')","(0.25, 'general assembly elects e mr moraes cabral portugal chairperson')","(0.23456790123456794, 'costa brazil rapporteur general assembly elects china palestine vice chairpersons')","(0.2148148148148148, 'general assembly elects e mr moraes cabral portugal chairperson general assembly elects dantas da costa brazil rapporteur')","(0.25384615384615383, 'general assembly elects e mr moraes cabral portugal chairperson general assembly elects dantas da costa brazil')","(0.27522935779816515, 'cabral portugal chairperson general assembly elects dantas da costa brazil rapporteur general assembly elects')","(0.27450980392156865, 'cabral portugal chairperson general assembly elects')","(0.28865979381443296, 'e mr moraes cabral portugal chairperson general assembly elects dantas da costa')","(0.24691358024691357, 'costa brazil rapporteur general assembly elects china palestine vice chairpersons')"
"Nov 18, 2015 Examination of the statement of accounts of the World Heritage Fund, including the status of the States Parties contribu","(0.273972602739726, 'heritage fund financial period ended december takes note financial')","(0.2338709677419355, 'whc ga whc ga inf particular examined accounts world heritage fund financial period ended december approves')","(0.275, 'december takes note financial statements')","(0.2828282828282829, 'december approves accounts world heritage fund financial period ended december takes note financial')","(0.28125, 'financial statements relating world heritage fund period january')","(0.22689075630252098, 'december approves accounts world heritage fund financial period ended december takes note financial statements relating')","(0.33333333333333337, 'period ended december takes')","(0.2666666666666667, 'examined accounts world heritage fund financial period ended')","(0.2666666666666667, 'inf particular examined accounts world heritage fund financial period ended')","(0.31818181818181823, 'financial statements relating world heritage')","(0.26, 'ga whc ga inf particular examined accounts')","(0.2589285714285714, 'general assembly examined documents whc ga whc ga inf particular examined accounts world heritage')","(0.22480620155038755, 'whc ga whc ga inf particular examined accounts world heritage fund financial period ended december approves')","(0.22972972972972971, 'general assembly examined documents whc ga whc ga inf particular')","(0.21666666666666667, 'examined documents whc ga whc ga inf particular')","(0.25, 'whc ga inf particular examined accounts world heritage')","(0.25373134328358204, 'heritage fund financial period ended december takes note')","(0.2833333333333333, 'accounts world heritage fund financial period ended december')","(0.2941176470588235, 'heritage fund financial period ended december takes')","(0.28985507246376807, 'fund financial period ended december approves accounts world heritage')","(0.29333333333333333, 'world heritage fund financial period ended december approves accounts world')","(0.28846153846153844, 'financial period ended december takes note financial')","(0.23275862068965514, 'world heritage fund financial period ended december takes note financial statements relating world heritage fund')","(0.24347826086956526, 'financial period ended december takes note financial statements relating world heritage fund period january')","(0.26249999999999996, 'takes note financial statements relating world heritage fund period january')","(0.30000000000000004, 'ended december takes note financial statements relating world heritage')","(0.23076923076923073, 'financial period ended december takes note financial statements relating world')","(0.24444444444444446, 'whc ga whc ga inf particular examined accounts world heritage fund financial period ended december approves accounts')","(0.2384615384615385, 'whc ga whc ga inf particular examined accounts world heritage fund financial period ended december approves')","(0.27722772277227725, 'documents whc ga whc ga inf particular examined accounts world heritage fund financial period')","(0.2790697674418605, 'relating world heritage fund period january')","(0.22680412371134018, 'financial period ended december takes note financial statements relating world heritage fund')","(0.2692307692307693, 'examined accounts world heritage fund financial period ended december approves')"
"Nov 18, 2015 AD HOC WORKING GROUP ON WORKING METHODS OF THE EVALUATION AND DECISIONMAKING PROCESS OF NOMINATION FOLLOWUP TO DECISION ","(0.32558139534883723, 'conveys appreciation icomos introducing new evaluation procedures especially enhancing')","(0.26315789473684215, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states parties requested')","(0.3695652173913043, 'consultation dialogue states parties requested')","(0.31034482758620685, 'especially enhancing consultation dialogue states parties requested decision com welcomes responsiveness icomos iucn')","(0.3780487804878049, 'strengthen dialogue consultation nominating states parties respecting independence')","(0.2706766917293233, 'heritage committee established session doha convened turkey discuss make recommendations paragraph well sustainability world heritage')","(0.33333333333333337, 'parties requested decision com')","(0.33333333333333337, 'examined issues related working methods evaluation decision making')","(0.3132530120481928, 'united republic tanzania well representatives advisory bodies world heritage centre')","(0.38888888888888884, 'session doha convened turkey discuss')","(0.3380281690140845, 'introducing new evaluation procedures especially enhancing consultation')","(0.30597014925373134, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states')","(0.32894736842105265, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states parties requested')","(0.2947368421052632, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially')","(0.31707317073170727, 'strengthen dialogue consultation nominating states parties respecting independence')","(0.28378378378378377, 'decision making process nomination conveys appreciation icomos introducing')","(0.3013698630136986, 'discuss make recommendations paragraph well sustainability world heritage')","(0.3194444444444444, 'welcomes revisions operational guidelines reflect recommendations ad hoc')","(0.34545454545454546, 'reflections recommendations ad hoc working group regard')","(0.3098591549295775, 'one extra regional group representative member world heritage committee')","(0.33720930232558144, 'welcomes revisions operational guidelines reflect recommendations ad hoc working group')","(0.4, 'nomination conveys appreciation icomos introducing new evaluation')","(0.34507042253521125, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states parties')","(0.29104477611940294, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states')","(0.30107526881720426, 'new evaluation procedures especially enhancing consultation dialogue states parties requested')","(0.32558139534883723, 'conveys appreciation icomos introducing new evaluation procedures especially enhancing')","(0.3402061855670103, 'consultation nominating states parties respecting independence advisory bodies welcomes revisions')","(0.29374999999999996, 'procedures especially enhancing consultation dialogue states parties requested decision com welcomes responsiveness icomos iucn strengthen dialogue consultation')","(0.27692307692307694, 'ad hoc working group examined issues related working methods evaluation decision making process nomination recalling also')","(0.35074626865671643, 'appreciation icomos introducing new evaluation procedures especially enhancing consultation dialogue states parties requested decision')","(0.368421052631579, 'especially enhancing consultation dialogue states parties')","(0.2680412371134021, 'group composed of principle two members regional group one extra regional group')","(0.33684210526315794, 'process nomination conveys appreciation icomos introducing new evaluation procedures especially')"
"Nov 18, 2015 Opening of the General Assembly by the representative of the DirectorGeneral","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Nov 18, 2015 Other business","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
