,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 8, 2010 Decision XXII5 Essentialuse exemption for chlorofluorocarbon 113 for aerospace applications in the Russian Federation","(0.3033707865168539, 'recommendation technology economic assessment panel chemicals technical options committee')","(0.29032258064516125, 'consumption metric tonnes cfc russian federation chlorofluorocarbon applications aerospace industry request russian federation continue explore possibility')","(0.3529411764705882, 'recommendation technology economic assessment panel')","(0.2936507936507936, 'line timetable technical transformation developed collaboration chemicals technical options committee noting however chemicals')","(0.379746835443038, 'noting evaluation recommendation technology economic assessment panel chemicals')","(0.2702702702702703, 'alternatives authorize essential use exemption production consumption metric tonnes cfc russian federation chlorofluorocarbon applications aerospace')","(0.3055555555555556, 'alternatives authorize essential use')","(0.3513513513513513, 'committee noting however chemicals technical options committee recommended')","(0.3222222222222222, 'efforts introduction alternative solvents adoption newly designed equipment complete phase')","(0.3695652173913043, 'exemption production consumption metric tonnes')","(0.3220338983050848, 'production consumption metric tonnes cfc russian federation')","(0.3161764705882353, 'committee recommended greater efforts introduce appropriate alternatives authorize essential use exemption production consumption metric')","(0.3172413793103448, 'technical options committee respect essential use nomination chlorofluorocarbon cfc aerospace applications russian federation noting also russian')","(0.3125, 'essential use nomination chlorofluorocarbon cfc aerospace applications russian federation noting')","(0.3294117647058824, 'russian federation chlorofluorocarbon applications aerospace industry request russian')","(0.28985507246376807, 'exemption production consumption metric tonnes cfc russian federation')","(0.3157894736842105, 'federation continue efforts introduction alternative solvents adoption newly')","(0.29032258064516125, 'importing cfc aerospace industry needs available global stocks')","(0.41666666666666663, 'essential use exemption production consumption metric tonnes')","(0.33333333333333337, 'efforts introduction alternative solvents adoption newly designed equipment complete')","(0.30927835051546393, 'noting evaluation recommendation technology economic assessment panel chemicals technical options')","(0.38983050847457623, 'production consumption metric tonnes cfc russian federation')","(0.30714285714285716, 'noting evaluation recommendation technology economic assessment panel chemicals technical options committee respect essential use nomination')","(0.31851851851851853, 'chlorofluorocarbon cfc aerospace applications russian federation noting also russian federation continued explore possibility importing')","(0.26041666666666663, 'essential use nomination chlorofluorocarbon cfc aerospace applications russian federation noting')","(0.3666666666666667, 'consumption metric tonnes cfc russian federation chlorofluorocarbon applications aerospace')","(0.3465346534653465, 'exemption production consumption metric tonnes cfc russian federation chlorofluorocarbon applications')","(0.28742514970059885, 'transformation developed collaboration chemicals technical options committee noting however chemicals technical options committee recommended greater efforts introduce')","(0.29374999999999996, 'introduce appropriate alternatives authorize essential use exemption production consumption metric tonnes cfc russian federation chlorofluorocarbon applications')","(0.3308823529411765, 'line timetable technical transformation developed collaboration chemicals technical options committee noting however chemicals technical')","(0.3382352941176471, 'timetable technical transformation developed collaboration chemicals')","(0.29565217391304344, 'use exemption production consumption metric tonnes cfc russian federation chlorofluorocarbon applications aerospace')","(0.3263157894736842, 'federation continue efforts introduction alternative solvents adoption newly designed equipment')"
"Nov 9, 1989 Adoption of the Agenda of the General Assembly","(0, '')","(0, '')","(0.2857142857142857, 'agenda session unanimously adopted without')","(0, '')","(0, '')","(0, '')","(0.19999999999999996, 'session unanimously adopted without')","(0, '')","(0, '')","(0.2142857142857143, 'agenda session unanimously adopted without')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Nov 9, 1989 Closure of the session","(0.273972602739726, 'committee declared seventh general assembly states parties world heritage')","(0.2302158273381295, 'chairman said pleased meeting allowed drawing main principles improved geographical distribution members committee declared seventh general')","(0.31999999999999995, 'main principles improved geographical distribution')","(0.27350427350427353, 'geographical distribution members committee declared seventh general assembly states parties world heritage committee')","(0.2727272727272727, 'improved geographical distribution members committee declared seventh general')","(0.2803030303030303, 'main principles improved geographical distribution members committee declared seventh general assembly states parties world heritage')","(0.34375, 'parties world heritage committee')","(0.2727272727272727, 'main principles improved geographical distribution members committee declared')","(0.26881720430107525, 'allowed drawing main principles improved geographical distribution members committee declared')","(0.2666666666666667, 'drawing main principles improved geographical')","(0.2647058823529411, 'geographical distribution members committee declared seventh general')","(0.23015873015873012, 'meeting allowed drawing main principles improved geographical distribution members committee declared seventh general assembly')","(0.2517985611510791, 'allowed drawing main principles improved geographical distribution members committee declared seventh general assembly states parties world')","(0.23655913978494625, 'main principles improved geographical distribution members committee declared seventh general')","(0.28378378378378377, 'allowed drawing main principles improved geographical distribution members')","(0.22077922077922074, 'main principles improved geographical distribution members committee declared')","(0.23376623376623373, 'improved geographical distribution members committee declared seventh general')","(0.2987012987012987, 'main principles improved geographical distribution members committee declared')","(0.25, 'principles improved geographical distribution members committee declared')","(0.2804878048780488, 'pleased meeting allowed drawing main principles improved geographical distribution')","(0.2941176470588235, 'distribution members committee declared seventh general assembly states parties world')","(0.28787878787878785, 'allowed drawing main principles improved geographical distribution')","(0.24060150375939848, 'meeting allowed drawing main principles improved geographical distribution members committee declared seventh general assembly states')","(0.2520325203252033, 'main principles improved geographical distribution members committee declared seventh general assembly states parties world')","(0.26881720430107525, 'allowed drawing main principles improved geographical distribution members committee declared')","(0.28767123287671237, 'committee declared seventh general assembly states parties world heritage')","(0.25806451612903225, 'main principles improved geographical distribution members committee declared seventh general')","(0.2432432432432432, 'allowed drawing main principles improved geographical distribution members committee declared seventh general assembly states parties world heritage')","(0.25899280575539574, 'allowed drawing main principles improved geographical distribution members committee declared seventh general assembly states parties world')","(0.25396825396825395, 'meeting allowed drawing main principles improved geographical distribution members committee declared seventh general assembly')","(0.3125, 'declared seventh general assembly states parties')","(0.2429906542056075, 'geographical distribution members committee declared seventh general assembly states parties world heritage')","(0.30107526881720426, 'improved geographical distribution members committee declared seventh general assembly states')"
"Nov 9, 1989 Election of the Chairperson, ViceChairpersons and Rapporteur of the General Assembly","(0.273972602739726, 'elected acclamation excellency mr e g whitlam australia chairman')","(0.2290076335877863, 'whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal tunisia vice chairmans mr')","(0.25806451612903225, 'acclamation excellency mr e g')","(0.2621359223300971, 'assembly also unanimously elected representatives italy mexico senegal tunisia vice chairmans mr keoule')","(0.26388888888888884, 'chairman general assembly also unanimously elected representatives italy')","(0.22499999999999998, 'acclamation excellency mr e g whitlam australia chairman general assembly also unanimously elected representatives italy')","(0.2692307692307693, 'chairmans mr keoule boundy')","(0.33870967741935487, 'representatives italy mexico senegal tunisia vice chairmans mr')","(0.29268292682926833, 'unanimously elected representatives italy mexico senegal tunisia vice chairmans mr')","(0.3023255813953488, 'whitlam australia chairman general assembly')","(0.26, 'elected acclamation excellency mr e g whitlam')","(0.2142857142857143, 'e g whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.20155038759689925, 'excellency mr e g whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.22988505747126442, 'chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.2666666666666667, 'excellency mr e g whitlam australia chairman general')","(0.26388888888888884, 'chairman general assembly also unanimously elected representatives italy')","(0.23880597014925375, 'elected acclamation excellency mr e g whitlam australia')","(0.26388888888888884, 'chairman general assembly also unanimously elected representatives italy')","(0.2692307692307693, 'general assembly elected acclamation excellency mr e')","(0.26582278481012656, 'chairman general assembly also unanimously elected representatives italy mexico')","(0.26436781609195403, 'chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.2542372881355932, 'representatives italy mexico senegal tunisia vice chairmans')","(0.18803418803418803, 'e g whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal tunisia')","(0.23478260869565215, 'general assembly elected acclamation excellency mr e g whitlam australia chairman general assembly also')","(0.26436781609195403, 'chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.240506329113924, 'unanimously elected representatives italy mexico senegal tunisia vice chairmans')","(0.28, 'elected acclamation excellency mr e g whitlam australia chairman general')","(0.21739130434782605, 'whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal tunisia vice chairmans mr keoule')","(0.20769230769230773, 'excellency mr e g whitlam australia chairman general assembly also unanimously elected representatives italy mexico senegal')","(0.24545454545454548, 'assembly also unanimously elected representatives italy mexico senegal tunisia vice chairmans mr keoule boundy')","(0.31818181818181823, 'assembly elected acclamation excellency mr e')","(0.24742268041237114, 'elected representatives italy mexico senegal tunisia vice chairmans mr keoule boundy mali')","(0.26315789473684215, 'representatives italy mexico senegal tunisia vice chairmans mr keoule boundy')"
"Nov 8, 2010 Decision XXII7 Global laboratory and analytical use exemption","(0.2962962962962963, 'collection related policy framework development allow parties operating paragraph')","(0.2720588235294118, 'considers justified ask parties revisit issue twenty third meeting parties request parties continue investigate domestically possibility')","(0.34042553191489366, 'collection related policy framework development')","(0.29824561403508776, 'respect laboratory analytical uses parties operating paragraph article protocol noting parties operating paragraph')","(0.3421052631578947, 'continue difficulty adopting alternatives laboratory analytical uses already')","(0.28985507246376807, 'information collection related policy framework development allow parties operating paragraph article december deviate existing laboratory')","(0.3571428571428571, 'parties revisit issue twenty')","(0.3661971830985915, 'collection related policy framework development allow parties operating')","(0.36363636363636365, 'time information collection related policy framework development allow parties operating')","(0.40476190476190477, 'time information collection related policy')","(0.3214285714285714, 'second meeting parties parties therefore unable evaluate')","(0.2913385826771654, 'information collection related policy framework development allow parties operating paragraph article december deviate existing')","(0.276595744680851, 'collection related policy framework development allow parties operating paragraph article december deviate existing laboratory analytical use')","(0.31034482758620685, 'parties considering technology economic assessment panel provide requested decision xxi')","(0.32098765432098764, 'paragraph article continue difficulty adopting alternatives laboratory analytical')","(0.3015873015873016, 'parties revisit issue twenty second meeting parties considering')","(0.34285714285714286, 'time information collection related policy framework development allow')","(0.30487804878048785, 'continue investigate domestically possibility replacing ozone depleting substances')","(0.37037037037037035, 'twenty second meeting parties parties therefore unable')","(0.34090909090909094, 'domestically possibility replacing ozone depleting substances laboratory analytical uses')","(0.33333333333333337, 'continue difficulty adopting alternatives laboratory analytical uses already banned global')","(0.375, 'banned global exemption need time information collection')","(0.28985507246376807, 'paragraph article protocol noting parties operating paragraph article continue difficulty adopting alternatives laboratory analytical uses')","(0.26771653543307083, 'information collection related policy framework development allow parties operating paragraph article december deviate existing')","(0.3548387096774194, 'protocol noting parties operating paragraph article continue difficulty adopting alternatives')","(0.31645569620253167, 'second meeting parties considering technology economic assessment panel provide')","(0.36363636363636365, 'time information collection related policy framework development allow parties operating')","(0.2894736842105263, 'protocol noting parties operating paragraph article continue difficulty adopting alternatives laboratory analytical uses already banned global exemption')","(0.2816901408450704, 'protocol noting parties operating paragraph article continue difficulty adopting alternatives laboratory analytical uses already banned global')","(0.33884297520661155, 'exemption need time information collection related policy framework development allow parties operating paragraph article')","(0.38095238095238093, 'time twenty second meeting parties parties')","(0.2912621359223301, 'exemption need time information collection related policy framework development allow parties operating')","(0.31182795698924726, 'protocol noting parties operating paragraph article continue difficulty adopting alternatives')"
"Nov 8, 2010 Decision XXII9 Hydrochlorofluorocarbons preblended in polyols","(0.2804878048780488, 'incremental costs parties operating paragraph article montreal protocol transition')","(0.26119402985074625, 'parties recognizing fruitful discussions parties issue thirtieth meeting open ended working group note appreciation cooperative manner')","(0.31999999999999995, 'attention parties recognizing fruitful discussions')","(0.3157894736842105, 'agreeing framework eligible incremental costs parties operating paragraph article montreal protocol transition use')","(0.33766233766233766, 'note appreciation cooperative manner members executive committee multilateral')","(0.2733333333333333, 'taking account importance phase out hydrochlorofluorocarbons polyurethane foams sector compliance adjusted phase out schedule hydrochlorofluorocarbons')","(0.3548387096774194, 'parties issue thirtieth meeting')","(0.360655737704918, 'open ended working group note appreciation cooperative manner')","(0.3291139240506329, 'thirtieth meeting open ended working group note appreciation cooperative manner')","(0.31818181818181823, 'note appreciation cooperative manner members')","(0.33333333333333337, 'polyols attention parties recognizing fruitful discussions parties')","(0.2846715328467153, 'hydrochlorofluorocarbons preblended polyols attention parties recognizing fruitful discussions parties issue thirtieth meeting open ended')","(0.2516556291390728, 'hydrochlorofluorocarbons preblended polyols attention parties recognizing fruitful discussions parties issue thirtieth meeting open ended working group')","(0.29702970297029707, 'paragraph article montreal protocol transition use hydrochlorofluorocarbons preblended polyols affirm')","(0.323943661971831, 'incremental costs parties operating paragraph article montreal protocol')","(0.2906976744186046, 'paragraph article montreal protocol transition use hydrochlorofluorocarbons preblended')","(0.33333333333333337, 'framework eligible incremental costs parties operating paragraph article')","(0.3975903614457831, 'montreal protocol transition use hydrochlorofluorocarbons preblended polyols affirm')","(0.3448275862068966, 'working group note appreciation cooperative manner members')","(0.29268292682926833, 'incremental costs parties operating paragraph article montreal protocol transition')","(0.31868131868131866, 'working group note appreciation cooperative manner members executive committee multilateral')","(0.35, 'group note appreciation cooperative manner members executive')","(0.2875, 'montreal protocol transition use hydrochlorofluorocarbons preblended polyols affirm issue use hydrochlorofluorocarbons preblended polyols addressed satisfaction')","(0.2789115646258503, 'montreal protocol transition use hydrochlorofluorocarbons preblended polyols affirm issue use hydrochlorofluorocarbons preblended polyols addressed')","(0.2962962962962963, 'hydrochlorofluorocarbons preblended polyols attention parties recognizing fruitful discussions parties issue')","(0.36250000000000004, 'cooperative manner members executive committee multilateral fund addressed issue')","(0.2934782608695652, 'note appreciation cooperative manner members executive committee multilateral fund addressed')","(0.27564102564102566, 'hydrochlorofluorocarbons preblended polyols attention parties recognizing fruitful discussions parties issue thirtieth meeting open ended working group note')","(0.26490066225165565, 'hydrochlorofluorocarbons preblended polyols attention parties recognizing fruitful discussions parties issue thirtieth meeting open ended working group')","(0.2991452991452992, 'open ended working group note appreciation cooperative manner members executive committee multilateral fund addressed')","(0.36, 'group note appreciation cooperative manner members')","(0.28846153846153844, 'group note appreciation cooperative manner members executive committee multilateral fund addressed issue')","(0.31182795698924726, 'out hydrochlorofluorocarbons polyurethane foams sector compliance adjusted phase out schedule')"
"Nov 8, 2012 CC91 Submission by Oman","(0.3972602739726028, 'noting oman submitted national report since national report year')","(0.3405797101449275, 'invite party attend national inventories national reporting training workshop organized cooperation basel convention regional centre south')","(0.4375, 'convention chw cc recalling also')","(0.3421052631578947, 'agreement oman prepare voluntary compliance action plan assistance secretariat eleventh meeting conference parties')","(0.3846153846153846, 'basel convention national report welcomes willingness oman update')","(0.3211678832116789, 'basel convention national report welcomes willingness oman update matter priority information transmitted secretariat competent authority')","(0.43333333333333335, 'focal point welcomes agreement')","(0.43333333333333335, 'submitted national report since national report year without')","(0.375, 'noting oman submitted national report since national report year without')","(0.43243243243243246, 'paragraph convention chw cc recalling')","(0.36923076923076925, 'article paragraph convention expresses concern situation declares')","(0.29850746268656714, 'article paragraph convention expresses concern situation declares commitment assist oman addressing difficulties experiences complying')","(0.3076923076923077, 'expresses concern situation declares commitment assist oman addressing difficulties experiences complying reporting obligations article paragraph convention')","(0.3827160493827161, 'basel convention national report welcomes willingness oman update matter priority')","(0.3125, 'implement comply obligations article paragraph convention chw cc')","(0.34782608695652173, 'workshop organized cooperation basel convention regional centre south')","(0.36, 'paragraph convention expresses concern situation declares commitment assist')","(0.32307692307692304, 'committee support efforts enhance public awareness national level')","(0.41538461538461535, 'article paragraph convention expresses concern situation declares')","(0.3571428571428571, 'submitted national report since national report year without prejudice')","(0.3414634146341463, 'convention regional centre south east asia indonesia april welcoming participation')","(0.40384615384615385, 'convention regional centre south east asia indonesia')","(0.35862068965517246, 'expresses concern situation declares commitment assist oman addressing difficulties experiences complying reporting obligations article paragraph')","(0.29850746268656714, 'oman addressing difficulties experiences complying reporting obligations article paragraph convention welcomes willingness oman submit')","(0.28421052631578947, 'expresses concern situation declares commitment assist oman addressing difficulties experiences')","(0.3294117647058824, 'obligations article paragraph convention welcomes willingness oman submit secretariat')","(0.35365853658536583, 'convention regional centre south east asia indonesia april welcoming participation')","(0.3290322580645161, 'questionnaire transmission information in accordance articles basel convention national report welcomes willingness oman update matter priority information')","(0.3012820512820513, 'expresses concern situation declares commitment assist oman addressing difficulties experiences complying reporting obligations article paragraph convention')","(0.33333333333333337, 'convention chw cc recalling also decision welcoming efforts secretariat communicate oman invite party attend')","(0.42000000000000004, 'agreement oman prepare voluntary compliance action')","(0.2946428571428571, 'article paragraph convention expresses concern situation declares commitment assist oman addressing difficulties')","(0.33333333333333337, 'point welcomes agreement oman prepare voluntary compliance action plan assistance')"
"Nov 8, 2012 CC97 Submission regarding Libya","(0.35064935064935066, 'continued lack transmission national reports requests secretariat send letter')","(0.2795031055900621, 'submissions reiterates commitment assist libya addressing difficulties experiences complying reporting obligations paragraph article convention expresses concern')","(0.4375, 'convention chw cc recalling also')","(0.2990654205607477, 'expresses concern continued lack transmission national reports requests secretariat send letter focal point')","(0.34782608695652173, 'point view establishing communication party invites libya communicate')","(0.291970802919708, 'paragraph article convention without prejudice future decisions committee related specific submissions reiterates commitment assist libya')","(0.32258064516129037, 'party invites libya communicate')","(0.3717948717948718, 'complying reporting obligations paragraph article convention expresses concern')","(0.3495145631067961, 'difficulties experiences complying reporting obligations paragraph article convention expresses concern')","(0.4, 'paragraph article convention chw cc')","(0.390625, 'article convention expresses concern continued lack transmission')","(0.30645161290322576, 'paragraph article convention expresses concern continued lack transmission national reports requests secretariat send letter')","(0.3229813664596274, 'submissions reiterates commitment assist libya addressing difficulties experiences complying reporting obligations paragraph article convention expresses concern')","(0.3111111111111111, 'article convention expresses concern continued lack transmission national reports requests')","(0.323943661971831, 'expresses concern continued lack transmission national reports requests')","(0.34782608695652173, 'report pursuant paragraph article convention without prejudice future')","(0.3287671232876712, 'article convention expresses concern continued lack transmission national')","(0.2857142857142857, 'continued lack transmission national reports requests secretariat send')","(0.39344262295081966, 'paragraph article convention expresses concern continued lack')","(0.345679012345679, 'submitted national report pursuant paragraph article convention without prejudice')","(0.368421052631579, 'convention without prejudice future decisions committee related specific submissions reiterates')","(0.41538461538461535, 'convention expresses concern continued lack transmission national')","(0.3026315789473685, 'specific submissions reiterates commitment assist libya addressing difficulties experiences complying reporting obligations paragraph article convention')","(0.30281690140845074, 'addressing difficulties experiences complying reporting obligations paragraph article convention expresses concern continued lack transmission')","(0.30681818181818177, 'libya concerning possible difficulties faced party comply reporting obligation paragraph')","(0.33333333333333337, 'article convention expresses concern continued lack transmission national reports')","(0.30612244897959184, 'committee secretariat eleventh meeting conference parties difficulties facing regards transmission')","(0.28846153846153844, 'complying reporting obligations paragraph article convention expresses concern continued lack transmission national reports requests secretariat send letter')","(0.2818791946308725, 'complying reporting obligations paragraph article convention expresses concern continued lack transmission national reports requests secretariat send')","(0.36752136752136755, 'convention chw cc recalling also decision welcoming efforts secretariat establish communication libya noting response')","(0.3620689655172413, 'regretting libya answered invitation committee communicate')","(0.2743362831858407, 'paragraph article convention without prejudice future decisions committee related specific submissions reiterates')","(0.3085106382978723, 'prejudice future decisions committee related specific submissions reiterates commitment assist')"
"Nov 8, 2010 Decision XXII4 Essentialuse nominations for controlled substances for 2011","(0.32530120481927716, 'consideration health safety patients regard amounts recommended welcoming continued')","(0.2857142857142857, 'satisfactory alternatives chlorofluorocarbon based metered dose inhalers available therapeutic formulations treating asthma chronic obstructive pulmonary disease')","(0.34693877551020413, 'consultation technology economic assessment panel')","(0.32432432432432434, 'committee gave due consideration health safety patients regard amounts recommended welcoming continued progress')","(0.3833333333333333, 'gave due consideration health safety patients regard amounts')","(0.3284671532846716, 'analysis recommendations essential use exemptions controlled substances manufacture metered dose inhalers used asthma chronic obstructive')","(0.4285714285714286, 'parties listed annex present')","(0.32835820895522383, 'relevant decisions set handbook essential use nominations encourage')","(0.30000000000000004, 'parties supply medical technical options committee information enable assessment essential')","(0.3783783783783784, 'noting panel s conclusion technically')","(0.33333333333333337, 'production consumption necessary satisfy essential uses chlorofluorocarbons')","(0.3111111111111111, 'notwithstanding insufficient information referred preceding paragraph medical technical options committee gave due consideration health')","(0.3121019108280255, 'essential use nominations encourage parties essential use exemptions consider sourcing required pharmaceutical grade chlorofluorocarbons initially stockpiles')","(0.32978723404255317, 'panel s conclusion technically satisfactory alternatives chlorofluorocarbon based metered dose')","(0.3380281690140845, 'essential use exemptions controlled substances manufacture metered dose')","(0.2875, 'given dominican republic secretariat consultation technology economic assessment')","(0.3421052631578947, 'grade chlorofluorocarbons potentially available export parties essential use')","(0.3661971830985915, 'essential use exemptions controlled substances manufacture metered dose')","(0.34615384615384615, 'decisions owing lack certain information noting also')","(0.3417721518987342, 'information enable assessment essential use nominations accordance criteria set')","(0.3369565217391305, 'consideration health safety patients regard amounts recommended welcoming continued progress')","(0.3538461538461538, 'committee information enable assessment essential use nominations')","(0.32307692307692304, 'dominican republic secretariat consultation technology economic assessment panel emergency essential use metric tonnes cfc diluter')","(0.28985507246376807, 'producers existing stockpiles approve authorization given dominican republic secretariat consultation technology economic assessment panel')","(0.32978723404255317, 'panel s conclusion technically satisfactory alternatives chlorofluorocarbon based metered dose')","(0.34065934065934067, 'analysis recommendations essential use exemptions controlled substances manufacture metered')","(0.32183908045977017, 'consultation technology economic assessment panel emergency essential use metric tonnes')","(0.29166666666666663, 'satisfactory alternatives chlorofluorocarbon based metered dose inhalers available therapeutic formulations treating asthma chronic obstructive pulmonary disease taking')","(0.29931972789115646, 'article reducing reliance chlorofluorocarbon based metered dose inhalers alternatives developed receive regulatory approval marketed sale welcoming')","(0.3414634146341463, 'authorizations chlorofluorocarbons metered dose inhalers in metric tonnes party argentina bangladesh china pakistan russian')","(0.4222222222222223, 'gave due consideration health safety patients')","(0.28828828828828834, 'levels production consumption necessary satisfy essential uses chlorofluorocarbons metered dose inhalers asthma')","(0.32978723404255317, 'panel s conclusion technically satisfactory alternatives chlorofluorocarbon based metered dose')"
"Nov 8, 2012 CC92 Submission regarding Bhutan","(0.410958904109589, 'conference parties part national report and december part national')","(0.3098591549295775, 'provide support invite bhutan national inventories national reporting training workshop organized cooperation basel convention regional centre')","(0.4375, 'convention chw cc recalling also')","(0.3727272727272727, 'organized cooperation basel convention regional centre south east asia indonesia april welcoming participation')","(0.34375, 'convention invites bhutan submit secretariat national report end')","(0.3197278911564626, 'submission concerning bhutan expresses appreciation bhutan commitment ensure implementation obligations basel convention approves funding following')","(0.33333333333333337, 'part national report and')","(0.4, 'organized cooperation basel convention regional centre south east')","(0.3614457831325302, 'training workshop organized cooperation basel convention regional centre south east')","(0.43243243243243246, 'paragraph convention chw cc recalling')","(0.375, 'obligations basel convention approves funding following elements')","(0.31999999999999995, 'obligations basel convention approves funding following elements compliance action plan decides resources implementation fund')","(0.2790697674418605, 'part national report and december part national report welcomes submission bhutan elements draft voluntary compliance action')","(0.37349397590361444, 'basel convention approves funding following elements compliance action plan decides')","(0.3291139240506329, 'secretariat continue communications bhutan report committee appropriate decides')","(0.3421052631578947, 'consequently accordance obligations article convention invites bhutan submit')","(0.3661971830985915, 'purpose covering costs associated with training development inventories')","(0.29850746268656714, 'national report welcomes submission bhutan elements draft voluntary')","(0.421875, 'obligations basel convention approves funding following elements')","(0.35443037974683544, 'following elements compliance action plan decides resources implementation fund')","(0.3561643835616438, 'conference parties part national report and december part national report')","(0.41666666666666663, 'convention invites bhutan submit secretariat national report')","(0.3197278911564626, 'submission concerning bhutan expresses appreciation bhutan commitment ensure implementation obligations basel convention approves funding following')","(0.27826086956521734, 'specific submissions welcomes submission bhutan part national report year notes bhutan yet submit national')","(0.3203883495145631, 'submission concerning bhutan expresses appreciation bhutan commitment ensure implementation obligations')","(0.3626373626373627, 'submission concerning bhutan expresses appreciation bhutan commitment ensure implementation')","(0.3608247422680413, 'implementation obligations basel convention approves funding following elements compliance action')","(0.297752808988764, 'with training development inventories establishment methodology inventory including systems databases development inventory consequently accordance obligations article convention')","(0.3026315789473685, 'bhutan expresses appreciation bhutan commitment ensure implementation obligations basel convention approves funding following elements compliance action')","(0.35507246376811596, 'appreciation cooperation bhutan committee ninth meeting assisted committee considering submission concerning bhutan expresses appreciation')","(0.36734693877551017, 'following elements compliance action plan decides')","(0.27835051546391754, 'elements compliance action plan decides resources implementation fund usd may used purpose')","(0.3373493975903614, 'training workshop organized cooperation basel convention regional centre south east')"
