,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 29, 1999 Decision XI8 Membership of the Implementation Committee","(0.26027397260273977, 'confirm positions mali poland saudi arabia united kingdom one')","(0.2338709677419355, 'work done implementation committee confirm positions mali poland saudi arabia united kingdom one year select argentina')","(0.2978723404255319, 'done implementation committee confirm positions')","(0.30208333333333337, 'done implementation committee confirm positions mali poland saudi arabia united kingdom one year')","(0.29850746268656714, 'implementation committee confirm positions mali poland saudi arabia')","(0.24561403508771928, 'note appreciation work done implementation committee confirm positions mali poland saudi arabia united kingdom one')","(0.36363636363636365, 'parties decided dec xi')","(0.368421052631579, 'united kingdom one year select argentina bangladesh czech')","(0.3414634146341463, 'note appreciation work done implementation committee confirm positions mali poland')","(0.30000000000000004, 'xi note appreciation work done')","(0.3076923076923077, 'appreciation work done implementation committee confirm positions')","(0.2589285714285714, 'decided dec xi note appreciation work done implementation committee confirm positions mali poland saudi')","(0.2713178294573644, 'dec xi note appreciation work done implementation committee confirm positions mali poland saudi arabia united kingdom')","(0.2682926829268293, 'note appreciation work done implementation committee confirm positions mali poland')","(0.26865671641791045, 'implementation committee confirm positions mali poland saudi arabia')","(0.26865671641791045, 'implementation committee confirm positions mali poland saudi arabia')","(0.26865671641791045, 'saudi arabia united kingdom one year select argentina')","(0.2542372881355932, 'one year select argentina bangladesh czech republic ecuador')","(0.31666666666666665, 'implementation committee confirm positions mali poland saudi')","(0.2727272727272727, 'united kingdom one year select argentina bangladesh czech republic')","(0.3116883116883117, 'work done implementation committee confirm positions mali poland saudi arabia')","(0.3384615384615385, 'appreciation work done implementation committee confirm positions')","(0.2586206896551724, 'done implementation committee confirm positions mali poland saudi arabia united kingdom one year select argentina')","(0.26956521739130435, 'eleventh meeting parties decided dec xi note appreciation work done implementation committee confirm positions')","(0.275, 'republic ecuador egypt united states america members committee two year')","(0.31081081081081086, 'implementation committee confirm positions mali poland saudi arabia united')","(0.2666666666666667, 'eleventh meeting parties decided dec xi note appreciation work done')","(0.2666666666666667, 'confirm positions mali poland saudi arabia united kingdom one year select argentina bangladesh czech republic ecuador egypt')","(0.2615384615384615, 'eleventh meeting parties decided dec xi note appreciation work done implementation committee confirm positions mali poland')","(0.27184466019417475, 'decided dec xi note appreciation work done implementation committee confirm positions mali poland saudi')","(0.33333333333333337, 'committee confirm positions mali poland saudi')","(0.28865979381443296, 'note appreciation work done implementation committee confirm positions mali poland saudi arabia')","(0.3246753246753247, 'work done implementation committee confirm positions mali poland saudi arabia')"
"Nov 29, 1999 Decision XI9 Membership of the Executive Committee of the Multilateral Fund","(0.26027397260273977, 'parties decided dec xi note appreciation work done executive')","(0.2753623188405797, 'united states america members executive committee representing parties operating paragraph article protocol selection bahamas brazil china')","(0.2857142857142857, 'appreciation work done executive committee')","(0.3063063063063063, 'done executive committee assistance fund secretariat year endorse selection australia germany japan netherlands')","(0.3088235294117647, 'assistance fund secretariat year endorse selection australia germany')","(0.27419354838709675, 'assistance fund secretariat year endorse selection australia germany japan netherlands slovakia sweden united states america')","(0.36363636363636365, 'parties decided dec xi')","(0.3571428571428571, 'united states america members executive committee representing parties')","(0.313953488372093, 'slovakia sweden united states america members executive committee representing parties')","(0.30000000000000004, 'xi note appreciation work done')","(0.28358208955223885, 'committee representing parties operating paragraph article protocol')","(0.272, 'united states america members executive committee representing parties operating paragraph article protocol selection bahamas')","(0.3115942028985508, 'united states america members executive committee representing parties operating paragraph article protocol selection bahamas brazil china')","(0.28915662650602414, 'endorse selection australia germany japan netherlands slovakia sweden united states')","(0.303030303030303, 'article protocol selection bahamas brazil china dominican republic')","(0.31818181818181823, 'article protocol selection bahamas brazil china dominican republic')","(0.3142857142857143, 'secretariat year endorse selection australia germany japan netherlands')","(0.303030303030303, 'article protocol selection bahamas brazil china dominican republic')","(0.31999999999999995, 'xi note appreciation work done executive committee')","(0.27380952380952384, 'america members executive committee representing parties operating paragraph article')","(0.30681818181818177, 'executive committee assistance fund secretariat year endorse selection australia germany')","(0.35, 'committee assistance fund secretariat year endorse selection')","(0.2786885245901639, 'note appreciation work done executive committee assistance fund secretariat year endorse selection australia germany japan')","(0.31304347826086953, 'one year effective january note selection india act chair executive committee one year effective')","(0.26249999999999996, 'eleventh meeting parties decided dec xi note appreciation work done')","(0.31034482758620685, 'executive committee representing parties operating paragraph article protocol selection')","(0.2666666666666667, 'eleventh meeting parties decided dec xi note appreciation work done')","(0.2666666666666667, 'eleventh meeting parties decided dec xi note appreciation work done executive committee assistance fund secretariat year endorse')","(0.27692307692307694, 'eleventh meeting parties decided dec xi note appreciation work done executive committee assistance fund secretariat year')","(0.2773109243697479, 'selection bahamas brazil china dominican republic india tunisia uganda members representing parties operating paragraph')","(0.33333333333333337, 'paragraph article protocol selection bahamas brazil')","(0.27835051546391754, 'year endorse selection australia germany japan netherlands slovakia sweden united states america')","(0.3132530120481928, 'endorse selection australia germany japan netherlands slovakia sweden united states')"
"Nov 29, 1999 Extension Palaces and Parks of Potsdam and Berlin Germany","(0.31506849315068497, 'berlin extension n id n deg ter n state')","(0.282258064516129, 'n deg ter n state party germany n criteria c ii iv n committee approved extension')","(0.32258064516129037, 'extension n id n deg')","(0.2682926829268293, 'property palaces parks potsdam berlin extension n id n deg ter n state')","(0.2592592592592593, 'berlin extension n id n deg ter n')","(0.2407407407407407, 'potsdam berlin extension n id n deg ter n state party germany n criteria c')","(0.33333333333333337, 'parks potsdam berlin extension')","(0.30000000000000004, 'n id n deg ter n state party')","(0.29230769230769227, 'state party germany n criteria c ii iv n committee')","(0.2790697674418605, 'committee approved extension world heritage')","(0.28, 'potsdam berlin extension n id n deg')","(0.3035714285714286, 'potsdam berlin extension n id n deg ter n state party germany n criteria')","(0.2790697674418605, 'berlin extension n id n deg ter n state party germany n criteria c ii iv')","(0.28378378378378377, 'berlin extension n id n deg ter n state party')","(0.2833333333333333, 'berlin extension n id n deg ter n')","(0.31666666666666665, 'parks potsdam berlin extension n id n deg')","(0.26865671641791045, 'berlin extension n id n deg ter n')","(0.3125, 'n deg ter n state party germany n')","(0.33333333333333337, 'iv n committee approved extension world heritage')","(0.2786885245901639, 'berlin extension n id n deg ter n state')","(0.303030303030303, 'berlin extension n id n deg ter n state party')","(0.326530612244898, 'berlin extension n id n deg ter')","(0.3275862068965517, 'potsdam berlin extension n id n deg ter n state party germany n criteria c')","(0.30434782608695654, 'property palaces parks potsdam berlin extension n id n deg ter n state party')","(0.3125, 'property palaces parks potsdam berlin extension n id n deg')","(0.3125, 'berlin extension n id n deg ter n state')","(0.30666666666666664, 'parks potsdam berlin extension n id n deg ter n')","(0.2962962962962963, 'property palaces parks potsdam berlin extension n id n deg ter n state party germany n criteria')","(0.30000000000000004, 'property palaces parks potsdam berlin extension n id n deg ter n state party germany n')","(0.3168316831683168, 'potsdam berlin extension n id n deg ter n state party germany n criteria')","(0.28260869565217395, 'approved extension world heritage site palaces')","(0.27835051546391754, 'potsdam berlin extension n id n deg ter n state party germany')","(0.303030303030303, 'parks potsdam berlin extension n id n deg ter n')"
"Nov 29, 1999 Extension Butrint Albania","(0.28767123287671237, 'n id n deg bis n state party albania')","(0.2661290322580645, 'property butrint n id n deg bis n state party albania n criteria c iii n')","(0.3157894736842105, 'extension could disastrous impact site')","(0.29268292682926833, 'property butrint n id n deg bis n state party albania n criteria')","(0.28985507246376807, 'albanian government preparation implementation management plan site n')","(0.25, 'enlargement n delegate italy offered interest government support albanian government preparation implementation management plan site')","(0.33333333333333337, 'zone proposed enlargement n')","(0.30645161290322576, 'extend property existing criterion iii condition excluded area')","(0.2857142857142857, 'extend property existing criterion iii condition excluded area would included')","(0.32432432432432434, 'criterion iii condition excluded area')","(0.2786885245901639, 'italy offered interest government support albanian government')","(0.2946428571428571, 'property butrint n id n deg bis n state party albania n criteria c')","(0.2945736434108527, 'state party albania n criteria c iii n icomos expressed concern tourism developments small area coast')","(0.2875, 'icomos expressed concern tourism developments small area coast excluded proposed')","(0.32098765432098764, 'government support albanian government preparation implementation management plan')","(0.30000000000000004, 'state party albania n criteria c iii n')","(0.31343283582089554, 'icomos expressed concern tourism developments small area coast')","(0.30508474576271183, 'zone proposed enlargement n delegate italy offered interest')","(0.35, 'government preparation implementation management plan site n')","(0.3157894736842105, 'extension could disastrous impact site icomos therefore strongly recommended')","(0.28205128205128205, 'zone proposed enlargement n delegate italy offered interest government support')","(0.3666666666666667, 'government preparation implementation management plan site n')","(0.3017241379310345, 'property butrint n id n deg bis n state party albania n criteria c iii')","(0.29565217391304344, 'n committee decided extend property existing criterion iii condition excluded area would included zone')","(0.3375, 'recommended area included protected area n committee decided extend property')","(0.3023255813953488, 'government support albanian government preparation implementation management plan site')","(0.34090909090909094, 'government support albanian government preparation implementation management plan site n')","(0.28888888888888886, 'state party albania n criteria c iii n icomos expressed concern tourism developments small area coast excluded')","(0.30000000000000004, 'existing criterion iii condition excluded area would included zone proposed enlargement n delegate italy offered interest')","(0.3302752293577982, 'n icomos expressed concern tourism developments small area coast excluded proposed extension could disastrous')","(0.3620689655172413, 'government preparation implementation management plan site')","(0.28865979381443296, 'criteria c iii n icomos expressed concern tourism developments small area coast')","(0.33766233766233766, 'extend property existing criterion iii condition excluded area would included')"
"Nov 29, 1999 Desembarco del Granma National Park Cuba","(0.31506849315068497, 'del granma national park n id n n state')","(0.27419354838709675, 'national park n id n n state party cuba n criteria n iii n uplifted marine')","(0.3571428571428571, 'features ongoing geological processes area')","(0.3292682926829268, 'granma national park n id n n state party cuba n criteria n')","(0.31034482758620685, 'cuba efforts conserve site committee suggested state party')","(0.27826086956521734, 'them well pristine impressive coastal cliffs bordering western atlantic canadian maritimes southern south america n')","(0.3793103448275862, 'plan integral element overall')","(0.36, 'national park n id n n state party')","(0.3384615384615385, 'del granma national park n id n n state party')","(0.3529411764705882, 'maritimes southern south america n')","(0.3035714285714286, 'ecosystems evolved them well pristine impressive coastal')","(0.3035714285714286, 'cuba n criteria n iii n uplifted marine terraces desembarco del granma national park')","(0.2713178294573644, 'national park n id n n state party cuba n criteria n iii n uplifted marine')","(0.2567567567567568, 'del granma national park n id n n state party')","(0.30000000000000004, 'cuba n criteria n iii n uplifted marine')","(0.32558139534883723, 'significant example geomorphologic physiographic features ongoing geological processes')","(0.32835820895522383, 'del granma national park associated ongoing development karst')","(0.31343283582089554, 'world heritage fund technical assistance produce tourism management')","(0.30000000000000004, 'granma national park n id n n')","(0.3285714285714286, 'western atlantic canadian maritimes southern south america n committee')","(0.28787878787878785, 'property desembarco del granma national park n id n n')","(0.30612244897959184, 'n iii n uplifted marine terraces desembarco')","(0.2844827586206896, 'property desembarco del granma national park n id n n state party cuba n criteria')","(0.29565217391304344, 'property desembarco del granma national park n id n n state party cuba n')","(0.32530120481927716, 'features ongoing geological processes area includes spectacular stair step terraces')","(0.328125, 'n id n n state party cuba n criteria')","(0.3258426966292135, 'national park associated ongoing development karst topography features represent globally')","(0.28888888888888886, 'national park n id n n state party cuba n criteria n iii n uplifted marine terraces')","(0.27692307692307694, 'n n state party cuba n criteria n iii n uplifted marine terraces desembarco del granma')","(0.33333333333333337, 'desembarco del granma national park associated ongoing development karst topography features represent globally significant')","(0.33333333333333337, 'granma national park n id n')","(0.28865979381443296, 'property desembarco del granma national park n id n n state party')","(0.3023255813953488, 'impressive coastal cliffs bordering western atlantic canadian maritimes southern south')"
"Nov 29, 1999 Greater Blue Mountains Area Australia","(0.3291139240506329, 'nomination recommend inscription according cultural values state party informed')","(0.2567567567567568, 'third extraordinary session bureau noted government australia provided centre complementary information concerning mixed cultural natural nomination')","(0.32727272727272727, 'commenced preparation additional detailed complementary')","(0.2990654205607477, 'nomination recommend inscription according cultural values state party informed centre intention submit new')","(0.31666666666666665, 'intention submit new information january enable bureau fully')","(0.28695652173913044, 'centre intention submit new information january enable bureau fully consider nomination twenty fourth session paris')","(0.34782608695652173, 'paris june july prepare')","(0.33333333333333337, 'state party informed centre intention submit new information')","(0.31999999999999995, 'state party informed centre intention submit new information january enable')","(0.3555555555555555, 'information concerning mixed cultural natural')","(0.3035714285714286, 'informed centre intention submit new information january')","(0.288135593220339, 'natural nomination greater blue mountains area australia october state party commenced preparation additional detailed')","(0.2790697674418605, 'informed centre intention submit new information january enable bureau fully consider nomination twenty fourth session paris')","(0.30208333333333337, 'commenced preparation additional detailed complementary material addressing issues raised bureau')","(0.368421052631579, 'state party commenced preparation additional detailed complementary material')","(0.295774647887324, 'australia october state party commenced preparation additional detailed')","(0.39473684210526316, 'state party commenced preparation additional detailed complementary material')","(0.3098591549295775, 'australia october state party commenced preparation additional detailed')","(0.33333333333333337, 'centre intention submit new information january enable')","(0.3411764705882353, 'recommended deferral natural part nomination recommend inscription according cultural')","(0.32499999999999996, 'intention submit new information january enable bureau fully consider nomination')","(0.34285714285714286, 'complementary information concerning mixed cultural natural nomination')","(0.2755905511811023, 'nomination recommend inscription according cultural values state party informed centre intention submit new information january')","(0.26956521739130435, 'centre intention submit new information january enable bureau fully consider nomination twenty fourth session')","(0.3085106382978723, 'australia october state party commenced preparation additional detailed complementary material')","(0.43529411764705883, 'centre complementary information concerning mixed cultural natural nomination greater')","(0.33333333333333337, 'commenced preparation additional detailed complementary material addressing issues raised bureau')","(0.2692307692307693, 'third extraordinary session bureau noted government australia provided centre complementary information concerning mixed cultural natural nomination greater')","(0.2695035460992907, 'noted government australia provided centre complementary information concerning mixed cultural natural nomination greater blue mountains area')","(0.328125, 'session bureau noted government australia provided centre complementary information concerning mixed cultural natural nomination')","(0.34782608695652173, 'bureau fully consider nomination twenty fourth')","(0.2844036697247706, 'party commenced preparation additional detailed complementary material addressing issues raised bureau twenty')","(0.3191489361702128, 'state party commenced preparation additional detailed complementary material addressing issues')"
"Nov 29, 1999 Droogmakerij de Beemster Beemster Polder Netherlands","(0.34736842105263155, 'nominations netherlands observer netherlands informed committee recently parliament netherlands')","(0.282258064516129, 'c ii iv n committee inscribed site world heritage list basis criteria ii iv n criterion')","(0.32258064516129037, 'criteria ii iv n criterion')","(0.31666666666666665, 'document integration cultural heritage archaeology built heritage cultural landscapes national provincial local planning')","(0.33333333333333337, 'n criterion iv creation beemster polder marks major')","(0.28057553956834536, 'forward interrelationship humankind water crucial period social economic expansion n referring particular character nominations netherlands')","(0.30434782608695654, 'polder marks major step')","(0.3207547169811321, 'europe beyond n criterion iv creation beemster polder')","(0.33783783783783783, 'reclamation projects europe beyond n criterion iv creation beemster polder')","(0.3125, 'n criterion iv creation beemster')","(0.303030303030303, 'committee recently parliament netherlands accepted policy document')","(0.33333333333333337, 'observer netherlands informed committee recently parliament netherlands accepted policy document integration cultural heritage archaeology')","(0.2945736434108527, 'party netherlands n criteria c ii iv n committee inscribed site world heritage list basis criteria')","(0.29268292682926833, 'beemster polder marks major step forward interrelationship humankind water crucial')","(0.33333333333333337, 'economic expansion n referring particular character nominations netherlands')","(0.33333333333333337, 'heritage list basis criteria ii iv n criterion')","(0.31343283582089554, 'reclamation projects europe beyond n criterion iv creation')","(0.3098591549295775, 'national provincial local planning policies world heritage preservation')","(0.3695652173913043, 'beyond n criterion iv creation beemster polder')","(0.32530120481927716, 'masterpiece creative planning ideals antiquity renaissance applied design reclaimed')","(0.31868131868131866, 'cultural landscapes national provincial local planning policies world heritage preservation')","(0.3650793650793651, 'economic expansion n referring particular character nominations')","(0.31034482758620685, 'heritage cultural landscapes national provincial local planning policies world heritage preservation explicitly incorporated document netherlands')","(0.32307692307692304, 'national provincial local planning policies world heritage preservation explicitly incorporated document netherlands would pleased')","(0.2921348314606742, 'period social economic expansion n referring particular character nominations netherlands')","(0.37209302325581395, 'recently parliament netherlands accepted policy document integration cultural heritage')","(0.29333333333333333, 'site world heritage list basis criteria ii iv n criterion')","(0.3099415204678363, 'particular character nominations netherlands observer netherlands informed committee recently parliament netherlands accepted policy document integration cultural heritage')","(0.2901234567901234, 'particular character nominations netherlands observer netherlands informed committee recently parliament netherlands accepted policy document integration cultural')","(0.33333333333333337, 'observer netherlands informed committee recently parliament netherlands accepted policy document integration cultural heritage archaeology')","(0.35185185185185186, 'accepted policy document integration cultural heritage')","(0.30927835051546393, 'projects europe beyond n criterion iv creation beemster polder marks major step')","(0.31868131868131866, 'heritage preservation explicitly incorporated document netherlands would pleased share kind')"
"Nov 29, 1999 Extension Ferrara, City of the Renaissance and its Po Delta extension of Ferrara, city of the Renaissance Italy","(0.3287671232876712, 'extension ferrara city renaissance n id n deg bis')","(0.32258064516129037, 'basis c riteria iii v addition already existing criteria ii iv vi n criterion iii este')","(0.4117647058823529, 'extension world heritage site city')","(0.29268292682926833, 'extension ferrara city renaissance n id n deg bis n state party italy')","(0.33333333333333337, 'iv vi n criterion iii este ducal residences')","(0.2592592592592593, 'extension ferrara city renaissance n id n deg bis n state party italy n criteria')","(0.3157894736842105, 'basis c riteria iii')","(0.34545454545454546, 'extent n requested state party committee decided change')","(0.3098591549295775, 'form remarkable extent n requested state party committee decided change')","(0.3870967741935484, 'po delta extension ferrara city')","(0.28, 'site world heritage list basis c riteria')","(0.2946428571428571, 'renaissance n id n deg bis n state party italy n criteria c ii')","(0.3023255813953488, 'po delta extension ferrara city renaissance n id n deg bis n state party italy n')","(0.2567567567567568, 'extension ferrara city renaissance n id n deg bis n')","(0.31666666666666665, 'already existing criteria ii iv vi n criterion')","(0.31666666666666665, 'criteria ii iv vi n criterion iii este')","(0.28358208955223885, 'riteria iii v addition already existing criteria ii')","(0.31666666666666665, 'property ferrara city renaissance po delta extension ferrara')","(0.375, 'ii iv vi n criterion iii este')","(0.3114754098360656, 'extension ferrara city renaissance n id n deg bis')","(0.33333333333333337, 'po delta extension ferrara city renaissance n id n deg')","(0.326530612244898, 'extension ferrara city renaissance n id n')","(0.2844827586206896, 'italy n criteria c ii iii iv vi n committee approved extension world heritage site')","(0.30434782608695654, 'property ferrara city renaissance po delta extension ferrara city renaissance n id n deg')","(0.30000000000000004, 'iv vi n committee approved extension world heritage site city')","(0.35820895522388063, 'n criterion po delta outstanding planned cultural landscape retains')","(0.33333333333333337, 'po delta extension ferrara city renaissance n id n deg')","(0.3037037037037037, 'site world heritage list basis c riteria iii v addition already existing criteria ii iv vi n')","(0.3153846153846154, 'property ferrara city renaissance po delta extension ferrara city renaissance n id n deg bis n')","(0.28712871287128716, 'renaissance po delta extension ferrara city renaissance n id n deg bis n state')","(0.3055555555555556, 'iv vi n criterion iii este')","(0.27835051546391754, 'extension ferrara city renaissance n id n deg bis n state party')","(0.31818181818181823, 'criteria ii iv vi n criterion iii este ducal residences')"
"Nov 29, 1999 Extension The Villages with fortified churches in Transylvania extension of Biertan and its Fortified Church Romania","(0.273972602739726, 'transylvania extension biertan fortified church n id n deg')","(0.25806451612903225, 'property villages fortified churches transylvania extension biertan fortified church n id n deg bis n state')","(0.3513513513513513, 'extension world heritage site biertan')","(0.2804878048780488, 'biertan fortified church n id n deg bis n state party romania n')","(0.2777777777777778, 'c iv n committee approved extension world heritage')","(0.2685185185185185, 'biertan fortified church n id n deg bis n state party romania n criteria c')","(0.2666666666666667, 'n committee approved extension')","(0.30000000000000004, 'deg bis n state party romania n criteria')","(0.2790697674418605, 'property villages fortified churches transylvania extension biertan fortified church n')","(0.2978723404255319, 'transylvania extension biertan fortified church')","(0.28, 'party romania n criteria c iv n')","(0.2857142857142857, 'n criteria c iv n committee approved extension world heritage site biertan fortified church')","(0.2945736434108527, 'transylvania extension biertan fortified church n id n deg bis n state party romania n criteria')","(0.28378378378378377, 'party romania n criteria c iv n committee approved extension')","(0.30000000000000004, 'biertan fortified church n id n deg bis')","(0.2833333333333333, 'n state party romania n criteria c iv')","(0.26865671641791045, 'transylvania extension biertan fortified church n id n')","(0.27083333333333337, 'id n deg bis n state party romania')","(0.33333333333333337, 'iv n committee approved extension world heritage')","(0.2622950819672131, 'deg bis n state party romania n criteria c')","(0.25757575757575757, 'transylvania extension biertan fortified church n id n deg bis')","(0.3214285714285714, 'committee approved extension world heritage site biertan')","(0.2931034482758621, 'biertan fortified church n id n deg bis n state party romania n criteria c')","(0.26956521739130435, 'property villages fortified churches transylvania extension biertan fortified church n id n deg bis')","(0.3125, 'c iv n committee approved extension world heritage site biertan')","(0.328125, 'c iv n committee approved extension world heritage site')","(0.28, 'id n deg bis n state party romania n criteria')","(0.28888888888888886, 'property villages fortified churches transylvania extension biertan fortified church n id n deg bis n state party')","(0.2846153846153846, 'property villages fortified churches transylvania extension biertan fortified church n id n deg bis n state')","(0.27722772277227725, 'biertan fortified church n id n deg bis n state party romania n criteria')","(0.2777777777777778, 'biertan fortified church n id n')","(0.2680412371134021, 'state party romania n criteria c iv n committee approved extension world')","(0.3023255813953488, 'property villages fortified churches transylvania extension biertan fortified church n')"
"Nov 29, 1999 Discovery Coast Atlantic Forest Reserves Brazil","(0.3417721518987342, 'pattern evolution great interest science importance conservation fact scattered')","(0.282258064516129, 'forest reserves n id n deg n state party brazil n criteria n ii iv n')","(0.3913043478260869, 'site displays biological richness evolutionary')","(0.3457943925233645, 'separate protected areas containing best largest remaining examples atlantic forest northeast region brazil')","(0.3731343283582089, 'science importance conservation fact scattered remnants vast forest')","(0.2777777777777778, 'pattern evolution great interest science importance conservation fact scattered remnants vast forest remain make irreplaceable')","(0.36363636363636365, 'ii iv also recommended')","(0.3285714285714286, 'great interest science importance conservation fact scattered remnants')","(0.31818181818181823, 'pattern evolution great interest science importance conservation fact scattered remnants')","(0.3695652173913043, 'science importance conservation fact scattered')","(0.328125, 'pattern evolution great interest science importance conservation')","(0.3214285714285714, 'pattern evolution great interest science importance conservation fact scattered remnants vast forest remain make')","(0.32558139534883723, 'property discovery coast atlantic forest reserves n id n deg n state party brazil n criteria')","(0.29729729729729726, 'region brazil contains high numbers rare endemic species site displays')","(0.35820895522388063, 'science importance conservation fact scattered remnants vast forest')","(0.30000000000000004, 'party encouraged complete plan action atlantic forest region')","(0.33333333333333337, 'committee evaluation property undertaken based revised nomination submitted')","(0.3076923076923077, 'brazilian discovery coast includes eight separate protected areas')","(0.35, 'iucn informed committee evaluation property undertaken based')","(0.3417721518987342, 'pattern evolution great interest science importance conservation fact scattered')","(0.31645569620253167, 'science importance conservation fact scattered remnants vast forest remain make')","(0.3846153846153846, 'committee evaluation property undertaken based revised nomination')","(0.3017241379310345, 'atlantic forest reserves n id n deg n state party brazil n criteria n ii')","(0.28695652173913044, 'property discovery coast atlantic forest reserves n id n deg n state party brazil')","(0.35, 'coast includes eight separate protected areas containing best largest remaining')","(0.3125, 'remain make irreplaceable part world s forest heritage n')","(0.30681818181818177, 'pattern evolution great interest science importance conservation fact scattered remnants')","(0.3111111111111111, 'party brazil n criteria n ii iv n iucn informed committee evaluation property undertaken based revised nomination')","(0.29230769230769227, 'coast includes eight separate protected areas containing best largest remaining examples atlantic forest northeast region brazil')","(0.3421052631578947, 'informed committee evaluation property undertaken based revised nomination submitted state party april n brazilian')","(0.4181818181818182, 'science importance conservation fact scattered remnants')","(0.28431372549019607, 'biological richness evolutionary history remaining areas atlantic forest northeast brazil site reveals')","(0.3295454545454546, 'pattern evolution great interest science importance conservation fact scattered remnants')"
