,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 28, 2004 Withdrawal of Nomination","(0, '')","(0, '')","(0.2666666666666667, 'nominations withdrawn request concerned state')","(0, '')","(0, '')","(0, '')","(0.2564102564102564, 'nominations withdrawn request concerned')","(0, '')","(0, '')","(0.2682926829268293, 'withdrawn request concerned state parties')","(0.19354838709677424, 'nominations withdrawn request concerned state parties decision')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0.25806451612903225, 'nominations withdrawn request concerned state parties decision')","(0, '')","(0, '')","(0.32258064516129037, 'nominations withdrawn request concerned state parties decision')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0.31999999999999995, 'withdrawn request concerned state parties decision')","(0, '')","(0, '')"
"Jun 28, 2004 Wood Buffalo National Park","(0.26027397260273977, 'achieved conservation property requests state party keep world heritage')","(0.25373134328358204, 'world heritage committee noting report provided state party acknowledging progress achieved conservation property requests state party')","(0.33333333333333337, 'conservation property requests state party')","(0.3557692307692307, 'progress achieved conservation property requests state party keep world heritage centre informed federal')","(0.33870967741935487, 'achieved conservation property requests state party keep world')","(0.23770491803278693, 'state party acknowledging progress achieved conservation property requests state party keep world heritage centre informed')","(0.3076923076923077, 'keep world heritage centre')","(0.29508196721311475, 'heritage centre informed federal court decision appeal winter')","(0.30000000000000004, 'report provided state party acknowledging progress achieved conservation property requests')","(0.3157894736842105, 'heritage centre informed federal court')","(0.2857142857142857, 'achieved conservation property requests state party keep')","(0.2678571428571429, 'party keep world heritage centre informed federal court decision appeal winter road proposal implications')","(0.23880597014925375, 'world heritage committee noting report provided state party acknowledging progress achieved conservation property requests state party')","(0.24, 'heritage centre informed federal court decision appeal winter road proposal')","(0.3709677419354839, 'achieved conservation property requests state party keep world')","(0.31081081081081086, 'acknowledging progress achieved conservation property requests state party')","(0.31343283582089554, 'achieved conservation property requests state party keep world')","(0.2777777777777778, 'report provided state party acknowledging progress achieved conservation')","(0.4107142857142857, 'achieved conservation property requests state party keep')","(0.295774647887324, 'achieved conservation property requests state party keep world heritage')","(0.2948717948717948, 'achieved conservation property requests state party keep world heritage centre')","(0.3584905660377359, 'conservation property requests state party keep world')","(0.26050420168067223, 'progress achieved conservation property requests state party keep world heritage centre informed federal court decision')","(0.23478260869565215, 'property requests state party keep world heritage centre informed federal court decision appeal winter')","(0.2584269662921348, 'committee noting report provided state party acknowledging progress achieved conservation')","(0.3661971830985915, 'achieved conservation property requests state party keep world heritage')","(0.2823529411764706, 'acknowledging progress achieved conservation property requests state party keep world')","(0.28260869565217395, 'report provided state party acknowledging progress achieved conservation property requests state party keep world heritage centre informed')","(0.27692307692307694, 'property requests state party keep world heritage centre informed federal court decision appeal winter road proposal')","(0.2909090909090909, 'progress achieved conservation property requests state party keep world heritage centre informed federal court')","(0.4509803921568627, 'achieved conservation property requests state party')","(0.2680412371134021, 'party keep world heritage centre informed federal court decision appeal winter road')","(0.2564102564102564, 'achieved conservation property requests state party keep world heritage centre')"
"Jun 28, 2004 W National Park of Niger Niger","(0.3561643835616438, 'm river within w nnational park start exploitation phosphate')","(0.282258064516129, 'ahead plans construct dam m river within w nnational park start exploitation phosphate mine within property')","(0.3783783783783784, 'conserve nthis property and necessary')","(0.33673469387755106, 'assessment carried decisions made dam and nmining projects february examination session the nworld')","(0.3220338983050848, 'conserve nthis property and necessary seek assistance world')","(0.26086956521739135, 'continue ncooperating iucn world heritage centre economique et nmon ouest africaine uemoa ramsar regional programme')","(0.38888888888888884, 'party niger to ngo')","(0.368421052631579, 'within w nnational park start exploitation phosphate mine')","(0.29591836734693877, 'within property nwithout undertaking independent evaluation environmental social nimpacts projects')","(0.33333333333333337, 'ecopas order conserve nthis property')","(0.31034482758620685, 'start exploitation phosphate mine within property nwithout')","(0.2946428571428571, 'niger to ngo ahead plans construct dam m river within w nnational park start')","(0.28682170542635654, 'state party continue ncooperating iucn world heritage centre economique et nmon ouest africaine uemoa ramsar regional')","(0.31081081081081086, 'ramsar regional programme n prot en afrique sah ecopas order')","(0.3375, 'independent evaluation environmental social nimpacts projects reiterates earlier')","(0.2857142857142857, 'start exploitation phosphate mine within property nwithout undertaking')","(0.32432432432432434, 'phosphate mine within property nwithout undertaking independent evaluation')","(0.3076923076923077, 'committee notes appreciation assurance provided state party niger')","(0.375, 'order conserve nthis property and necessary seek')","(0.32530120481927716, 'environmental social nimpacts projects reiterates earlier decision encourages state')","(0.30666666666666664, 'any nenvironmental impact assessment carried decisions made dam and nmining')","(0.375, 'mine within property nwithout undertaking independent evaluation')","(0.2844827586206896, 'afrique sah ecopas order conserve nthis property and necessary seek assistance world heritage fund nfor')","(0.296875, 'park start exploitation phosphate mine within property nwithout undertaking independent evaluation environmental social nimpacts')","(0.29000000000000004, 'independent evaluation environmental social nimpacts projects reiterates earlier decision encourages')","(0.3529411764705882, 'conserve nthis property and necessary seek assistance world heritage')","(0.326530612244898, 'within property nwithout undertaking independent evaluation environmental social nimpacts projects')","(0.30379746835443033, 'nnational park start exploitation phosphate mine within property nwithout undertaking independent evaluation environmental social nimpacts projects reiterates')","(0.3129251700680272, 'nnational park start exploitation phosphate mine within property nwithout undertaking independent evaluation environmental social nimpacts projects')","(0.35238095238095235, 'continue ncooperating iucn world heritage centre economique et nmon ouest africaine uemoa ramsar regional')","(0.375, 'ecopas order conserve nthis property and')","(0.28865979381443296, 'economique et nmon ouest africaine uemoa ramsar regional programme n prot en')","(0.31645569620253167, 'nfor coordination meetings studies requests state party provide report outcomes')"
"Jun 28, 2015 Abbey Church of SaintSavin sur Gartempe, France","(0.26027397260273977, 'committee n n examined documents whc com add whc')","(0.2338709677419355, 'n examined documents whc com add whc com inf add n approves proposed minor modification boundary')","(0.28125, 'committee n n examined documents')","(0.24390243902439024, 'n n examined documents whc com add whc com inf add n approves')","(0.2962962962962963, 'committee n n examined documents whc com add')","(0.2407407407407407, 'world heritage committee n n examined documents whc com add whc com inf add n')","(0.28, 'n approves proposed minor')","(0.2666666666666667, 'n approves proposed minor modification boundary abbey church')","(0.25, 'n approves proposed minor modification boundary abbey church saint savin')","(0.32499999999999996, 'minor modification boundary abbey church')","(0.26, 'world heritage committee n n examined documents')","(0.2589285714285714, 'world heritage committee n n examined documents whc com add whc com inf add')","(0.31007751937984496, 'n examined documents whc com add whc com inf add n approves proposed minor modification boundary')","(0.2702702702702703, 'committee n n examined documents whc com add whc com')","(0.23333333333333328, 'committee n n examined documents whc com add')","(0.25, 'com add whc com inf add n approves')","(0.25373134328358204, 'proposed minor modification boundary abbey church saint savin')","(0.2295081967213115, 'proposed minor modification boundary abbey church saint savin')","(0.28846153846153844, 'minor modification boundary abbey church saint savin')","(0.2622950819672131, 'n examined documents whc com add whc com inf')","(0.28787878787878785, 'committee n n examined documents whc com add whc com')","(0.26530612244897955, 'committee n n examined documents whc com')","(0.2586206896551724, 'world heritage committee n n examined documents whc com add whc com inf add n')","(0.25217391304347825, 'add whc com inf add n approves proposed minor modification boundary abbey church saint')","(0.26249999999999996, 'whc com inf add n approves proposed minor modification boundary')","(0.234375, 'committee n n examined documents whc com add whc')","(0.2666666666666667, 'committee n n examined documents whc com add whc com')","(0.24444444444444446, 'world heritage committee n n examined documents whc com add whc com inf add n approves proposed')","(0.24615384615384617, 'world heritage committee n n examined documents whc com add whc com inf add n approves')","(0.24752475247524752, 'world heritage committee n n examined documents whc com add whc com inf add')","(0.3137254901960784, 'approves proposed minor modification boundary abbey')","(0.27835051546391754, 'world heritage committee n n examined documents whc com add whc com')","(0.28378378378378377, 'proposed minor modification boundary abbey church saint savin sur gartempe')"
"Jun 28, 2004 Vicenza, Ville de Palladio","(0.28767123287671237, 'mission property co operation state party assess evaluate potential')","(0.27419354838709675, 'valdastico sud carried out n strongly urges state party submit details building projects may impact property')","(0.34285714285714286, 'construction n requests state party')","(0.3418803418803419, 'party prepare management conservation plan including measures foreseen minimize impact development integrity property')","(0.36923076923076925, 'commencing construction n requests state party prepare management')","(0.3157894736842105, 'impact property consideration committee commencing construction n requests state party prepare management conservation plan including')","(0.3666666666666667, 'state party prepare management')","(0.32835820895522383, 'state party prepare management conservation plan including measures')","(0.32432432432432434, 'centre advisory bodies undertake mission property co operation state party')","(0.3939393939393939, 'property co operation state party')","(0.3538461538461538, 'impact property consideration committee commencing construction n')","(0.29268292682926833, 'impact property consideration committee commencing construction n requests state party prepare management conservation plan')","(0.2713178294573644, 'n requests world heritage centre advisory bodies undertake mission property co operation state party assess evaluate')","(0.26582278481012656, 'co operation state party assess evaluate potential impact outstanding universal')","(0.3835616438356164, 'prepare management conservation plan including measures foreseen minimize')","(0.31343283582089554, 'state party prepare management conservation plan including measures')","(0.29850746268656714, 'commencing construction n requests state party prepare management')","(0.32352941176470584, 'submit detailed technical report planned completed projects vicinity')","(0.37037037037037035, 'commencing construction n requests state party prepare')","(0.32894736842105265, 'information provided state party particular final studies highway valdastico')","(0.30952380952380953, 'provide full information world heritage centre construction plans highway valdastico')","(0.3728813559322034, 'provide full information world heritage centre construction')","(0.3153846153846154, 'committee commencing construction n requests state party prepare management conservation plan including measures foreseen minimize')","(0.26956521739130435, 'particular final studies highway valdastico sud carried out n strongly urges state party submit')","(0.2875, 'outstanding universal value property n urges state party submit detailed')","(0.3846153846153846, 'consideration committee commencing construction n requests state party prepare')","(0.32530120481927716, 'commencing construction n requests state party prepare management conservation plan')","(0.3125, 'prepare management conservation plan including measures foreseen minimize impact development integrity property n requests world heritage centre')","(0.2867647058823529, 'projects may impact property consideration committee commencing construction n requests state party prepare management conservation plan')","(0.31858407079646023, 'measures foreseen minimize impact development integrity property n requests world heritage centre advisory bodies')","(0.4545454545454546, 'prepare management conservation plan including measures')","(0.28865979381443296, 'mission property co operation state party assess evaluate potential impact outstanding universal')","(0.36904761904761907, 'provide full information world heritage centre construction plans highway valdastico')"
"Jun 28, 2004 Volcanoes of Kamchatka Russian Federation","(0.31645569620253167, 'level support nfrom international donors contribution commercial tour operators')","(0.2992700729927007, 'provided united nations development nprogramme global environment facility undp gef project the nmaintenance biological diversity russian')","(0.5777777777777777, 'project the nmaintenance biological diversity')","(0.3421052631578947, 'nand implement comprehensive recommendations mission commends state party efforts increase staffing resourcing for')","(0.3939393939393939, 'donors contribution commercial tour operators to nmeet obligations')","(0.30147058823529416, 'kamchatka npeninsula balanced integrated conservation outstanding nnatural values give urgent attention range issues including npoaching')","(0.3913043478260869, 'party address number of')","(0.3382352941176471, 'nfrom international donors contribution commercial tour operators to')","(0.3614457831325302, 'provided united nations development nprogramme global environment facility undp gef')","(0.38, 'nfrom international donors contribution commercial')","(0.3076923076923077, 'provided united nations development nprogramme global environment')","(0.2846153846153846, 'reserves requests state party ensure development kamchatka npeninsula balanced integrated conservation outstanding nnatural values')","(0.2790697674418605, 'property notes detailed results unesco iucn mission property carried nout may requests state party carefully review')","(0.3571428571428571, 'donors contribution commercial tour operators to nmeet obligations maintain property')","(0.34246575342465757, 'nand implement comprehensive recommendations mission commends state party')","(0.4354838709677419, 'undp gef project the nmaintenance biological diversity russian')","(0.3188405797101449, 'reserves requests state party ensure development kamchatka npeninsula')","(0.31343283582089554, 'conservation property nand acknowledges efforts state party address')","(0.3793103448275862, 'party report state conservation property nand acknowledges')","(0.3513513513513513, 'nfrom international donors contribution commercial tour operators to nmeet')","(0.3375, 'report state conservation property nand acknowledges efforts state party address')","(0.38983050847457623, 'contribution commercial tour operators to nmeet obligations')","(0.29104477611940294, 'support nfrom international donors contribution commercial tour operators to nmeet obligations maintain property outstanding universal')","(0.29565217391304344, 'protected areas within property notes detailed results unesco iucn mission property carried nout may')","(0.3975903614457831, 'environment facility undp gef project the nmaintenance biological diversity russian')","(0.33783783783783783, 'nfrom international donors contribution commercial tour operators to nmeet')","(0.3975903614457831, 'provided united nations development nprogramme global environment facility undp gef')","(0.28888888888888886, 'property notes detailed results unesco iucn mission property carried nout may requests state party carefully review key')","(0.3153846153846154, 'federation enhance the nmanagement key protected areas within property notes detailed results unesco iucn mission property')","(0.38983050847457623, 'committee welcomes support provided united nations development nprogramme global environment facility undp gef project')","(0.5111111111111111, 'party report state conservation property nand')","(0.28865979381443296, 'results unesco iucn mission property carried nout may requests state party carefully')","(0.3052631578947368, 'comprehensive recommendations mission commends state party efforts increase staffing resourcing')"
"Jun 28, 2015 Admission of Observers","(0.33333333333333337, 'observers representatives international governmental organizations igos international non governmental')","(0.2981366459627329, 'n authorizes participation session observers representatives international governmental organizations igos international non governmental organizations ingos non')","(0.3529411764705882, 'convention requested observer participation session')","(0.31000000000000005, 'n n taking consideration rule observers rules procedure committee n authorizes participation session')","(0.3733333333333333, 'convention requested observer participation session listed section document')","(0.2847682119205298, 'international governmental organizations igos international non governmental organizations ingos non governmental organizations ngos permanent observer')","(0.2777777777777778, 'organizations ingos non governmental')","(0.35365853658536583, 'institutions activities fields covered convention requested observer participation')","(0.33333333333333337, 'unesco non profit making institutions activities fields covered convention requested')","(0.3793103448275862, 'n n taking consideration rule')","(0.36363636363636365, 'fields covered convention requested observer participation session')","(0.35915492957746475, 'consideration rule observers rules procedure committee n authorizes participation session observers representatives international governmental')","(0.32558139534883723, 'fields covered convention requested observer participation session listed section document whc com rev n confirms participation')","(0.3063063063063063, 'participation session observers representatives international governmental organizations igos international non')","(0.3076923076923077, 'governmental organizations ingos non governmental organizations ngos permanent')","(0.29885057471264365, 'n authorizes participation session observers representatives international governmental')","(0.3555555555555555, 'international governmental organizations igos international non governmental organizations')","(0.31746031746031744, 'general unesco accordance rule rules procedure committee listed')","(0.3787878787878788, 'covered convention requested observer participation session listed')","(0.35416666666666663, 'international governmental organizations igos international non governmental organizations ingos')","(0.33999999999999997, 'organizations igos international non governmental organizations ingos non governmental organizations')","(0.40909090909090906, 'convention requested observer participation session listed section')","(0.3112582781456954, 'international governmental organizations igos international non governmental organizations ingos non governmental organizations ngos permanent observer')","(0.3125, 'profit making institutions activities fields covered convention requested observer participation session listed section document')","(0.28828828828828834, 'participation session observers representatives international governmental organizations igos international non')","(0.3291139240506329, 'convention requested observer participation session listed section document whc')","(0.348314606741573, 'consideration rule observers rules procedure committee n authorizes participation session')","(0.32592592592592595, 'fields covered convention requested observer participation session listed section document whc com rev n confirms participation session')","(0.2919254658385093, 'n authorizes participation session observers representatives international governmental organizations igos international non governmental organizations ingos non')","(0.3482142857142857, 'convention requested observer participation session listed section document whc com rev n confirms participation')","(0.39534883720930236, 'n taking consideration rule observers rules')","(0.3306451612903226, 'n authorizes participation session observers representatives international governmental organizations igos international non')","(0.3125, 'profit making institutions activities fields covered convention requested observer participation')"
"Jun 28, 2004 Tubbataha Reef Marine Park Philippines","(0.3835616438356164, 'n n n urges also international community provide technical')","(0.282258064516129, 'law enforcement n lack awareness future threats site include shipping oil exploration potential growth tourism n')","(0.375, 'conservation actions taken date conserve')","(0.37037037037037035, 'measures secure conservation tubbataha reef measures include n n strengthening financial sustainability site')","(0.4, 'up action conservation measures identified report submitted state')","(0.27941176470588236, 'site management range actions including establishment endowment fund n institutionalizing park management better application legislation')","(0.34782608695652173, 'party host sub regional')","(0.33333333333333337, 'report received june well conservation actions taken date')","(0.32098765432098764, 'report progress achieved follow up action conservation measures identified report')","(0.42105263157894735, 'follow up action conservation measures')","(0.35185185185185186, 'support conservation property n encourages state party')","(0.3125, 'conservation actions taken date conserve property n notes major threats facing tubbataha reef related')","(0.28682170542635654, 'state party n n n urges also international community provide technical financial support conservation property n')","(0.3246753246753247, 'forum consultation iucn world heritage centre relevant partners address issue')","(0.3833333333333333, 'june well conservation actions taken date conserve property')","(0.323943661971831, 'management property n national international illegal fishing activities')","(0.34328358208955223, 'state conservation report submitted state party n n')","(0.36923076923076925, 'party request international assistance implement forum n requests')","(0.4285714285714286, 'taken date conserve property n notes major')","(0.4, 'international assistance implement forum n requests state party submit')","(0.375, 'up action conservation measures identified report submitted state party february')","(0.4363636363636364, 'conservation property n encourages state party consider')","(0.3165467625899281, 'actions including establishment endowment fund n institutionalizing park management better application legislation relevant protected areas')","(0.34782608695652173, 'illegal fisheries east asian seas including sulu sea reports result session committee encourages state')","(0.32558139534883723, 'application legislation relevant protected areas n ensuring proper enforcement illegal')","(0.359375, 'taken date conserve property n notes major threats facing')","(0.3733333333333333, 'integrity property n recommends state party host sub regional regional')","(0.31851851851851853, 'n national international illegal fishing activities turn strong connection poverty well insufficient law enforcement n lack awareness')","(0.3153846153846154, 'state conservation report received june well conservation actions taken date conserve property n notes major threats')","(0.3504273504273504, 'financial support conservation property n encourages state party consider extending property include adjoining jezzie')","(0.5365853658536586, 'june well conservation actions taken date')","(0.30927835051546393, 'state conservation report submitted state party n n n urges also international')","(0.31707317073170727, 'support conservation property n encourages state party consider extending property')"
"Jun 28, 2015 Ancient City of Aleppo Syrian Arab Republic C 21","(0.3287671232876712, 'bonn n decides retain ancient city aleppo syrian arab')","(0.25806451612903225, 'com com com com adopted unesco saint petersburg phnom penh doha sessions respectively n taking account')","(0.3142857142857143, 'account decision com world heritage')","(0.25, 'world heritage properties syrian arab republic adopted session bonn n decides retain ancient')","(0.2777777777777778, 'committee n n examined document whc com n')","(0.2685185185185185, 'com com com com adopted unesco saint petersburg phnom penh doha sessions respectively n taking')","(0.29166666666666663, 'n decides retain ancient')","(0.28, 'committee n n examined document whc com n')","(0.3076923076923077, 'com n recalling decisions com com com com adopted unesco')","(0.32432432432432434, 'phnom penh doha sessions respectively')","(0.30000000000000004, 'com com com com adopted unesco saint')","(0.2857142857142857, 'account decision com world heritage properties syrian arab republic adopted session bonn n decides')","(0.2713178294573644, 'n examined document whc com n recalling decisions com com com com adopted unesco saint petersburg')","(0.2567567567567568, 'adopted session bonn n decides retain ancient city aleppo syrian')","(0.30000000000000004, 'ancient city aleppo syrian arab republic list world')","(0.2833333333333333, 'com com com com adopted unesco saint petersburg')","(0.28358208955223885, 'arab republic adopted session bonn n decides retain')","(0.27419354838709675, 'world heritage properties syrian arab republic adopted session')","(0.3125, 'penh doha sessions respectively n taking account')","(0.24590163934426235, 'bonn n decides retain ancient city aleppo syrian arab')","(0.2567567567567568, 'taking account decision com world heritage properties syrian arab republic')","(0.30612244897959184, 'com com com com adopted unesco saint')","(0.2844827586206896, 'com adopted unesco saint petersburg phnom penh doha sessions respectively n taking account decision com')","(0.26086956521739135, 'n n examined document whc com n recalling decisions com com com com adopted')","(0.2875, 'com com com com adopted unesco saint petersburg phnom penh')","(0.328125, 'ancient city aleppo syrian arab republic list world heritage')","(0.30666666666666664, 'adopted session bonn n decides retain ancient city aleppo syrian')","(0.3111111111111111, 'com com com com adopted unesco saint petersburg phnom penh doha sessions respectively n taking account decision')","(0.2846153846153846, 'phnom penh doha sessions respectively n taking account decision com world heritage properties syrian arab republic')","(0.26732673267326734, 'document whc com n recalling decisions com com com com adopted unesco saint petersburg')","(0.26190476190476186, 'adopted unesco saint petersburg phnom penh')","(0.28865979381443296, 'com com com com adopted unesco saint petersburg phnom penh doha sessions')","(0.2727272727272727, 'com n recalling decisions com com com com adopted unesco')"
"Jun 28, 2004 xc5xa0kocjan Caves","(0.39473684210526316, 'detailed spatial plan national importance securing freshwater supply slovene')","(0.2518518518518519, 'associated property requests state party submit soon possible latest february detailed information status proposed establishment series')","(0.35, 'potential serious impact integrity karst')","(0.2947368421052632, 'series wind generators vrem scaron plateau potential serious impact integrity karst system area')","(0.31506849315068497, 'detailed information status proposed establishment series wind generators')","(0.2666666666666667, 'state party expand information providing copy environmental impact assessment eia prepared project review world heritage')","(0.31818181818181823, 'karst system area well')","(0.352112676056338, 'party expand information providing copy environmental impact assessment')","(0.313953488372093, 'requests state party expand information providing copy environmental impact assessment')","(0.3513513513513513, 'vrem scaron plateau potential serious')","(0.27419354838709675, 'status proposed establishment series wind generators including')","(0.2857142857142857, 'centre iucn notes concern proposed development series wind generators vrem scaron plateau potential serious')","(0.27464788732394363, 'state party report submitted conformity paragraph operational guidelines welcomes information provided proposed detailed spatial plan national')","(0.2784810126582279, 'party submit soon possible latest february detailed information status proposed')","(0.29166666666666663, 'state party report submitted conformity paragraph operational guidelines')","(0.323943661971831, 'party expand information providing copy environmental impact assessment')","(0.3731343283582089, 'centre iucn notes concern proposed development series wind')","(0.30487804878048785, 'conformity paragraph operational guidelines welcomes information provided proposed')","(0.32727272727272727, 'heritage centre iucn notes concern proposed development')","(0.33333333333333337, 'potential serious impact integrity karst system area well cultural')","(0.3595505617977528, 'latest february detailed information status proposed establishment series wind generators')","(0.3666666666666667, 'information provided proposed detailed spatial plan national')","(0.2836879432624113, 'report submitted conformity paragraph operational guidelines welcomes information provided proposed detailed spatial plan national importance')","(0.2846153846153846, 'report submitted conformity paragraph operational guidelines welcomes information provided proposed detailed spatial plan national')","(0.2875, 'impact assessment eia prepared project review world heritage centre iucn')","(0.3375, 'welcomes information provided proposed detailed spatial plan national importance')","(0.36046511627906974, 'information providing copy environmental impact assessment eia prepared project review')","(0.3407407407407408, 'eia prepared project review world heritage centre iucn notes concern proposed development series wind generators vrem scaron')","(0.30000000000000004, 'eia prepared project review world heritage centre iucn notes concern proposed development series wind generators vrem')","(0.3457943925233645, 'centre iucn notes concern proposed development series wind generators vrem scaron plateau potential serious')","(0.33333333333333337, 'state party expand information providing copy')","(0.26168224299065423, 'welcomes information provided proposed detailed spatial plan national importance securing freshwater supply')","(0.3146067415730337, 'welcomes information provided proposed detailed spatial plan national importance securing')"
