,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 7, 1992 Inscription on the List of World Heritage in Danger Srebarna Biosphere Reserve Bulgaria","(0.3013698630136986, 'regarding state conservation site described chapter viii page n')","(0.265625, 'bulgaria letter october decided include site list world heritage danger committee s observations recommendations regarding state')","(0.375, 'conservation site described chapter viii')","(0.3173076923076923, 'committee s observations recommendations regarding state conservation site described chapter viii page n')","(0.36250000000000004, 'observations recommendations regarding state conservation site described chapter')","(0.2338709677419355, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described')","(0.2962962962962963, 'heritage danger committee s')","(0.3375, 'observations recommendations regarding state conservation site described chapter')","(0.32608695652173914, 'committee s observations recommendations regarding state conservation site described chapter')","(0.37209302325581395, 'regarding state conservation site described')","(0.3194444444444444, 'observations recommendations regarding state conservation site described')","(0.24778761061946908, 'letter october decided include site list world heritage danger committee s observations recommendations regarding')","(0.21212121212121215, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described chapter')","(0.30000000000000004, 'observations recommendations regarding state conservation site described chapter viii page')","(0.33783783783783783, 'committee s observations recommendations regarding state conservation site')","(0.3055555555555556, 'heritage danger committee s observations recommendations regarding state')","(0.275, 'observations recommendations regarding state conservation site described chapter')","(0.27692307692307694, 'n committee requested authorities bulgaria letter october decided')","(0.3194444444444444, 'observations recommendations regarding state conservation site described')","(0.2823529411764706, 'observations recommendations regarding state conservation site described chapter viii')","(0.33333333333333337, 'observations recommendations regarding state conservation site described chapter viii page')","(0.37681159420289856, 'committee s observations recommendations regarding state conservation')","(0.2338709677419355, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described')","(0.23529411764705888, 'world heritage danger committee s observations recommendations regarding state conservation site described chapter viii')","(0.24444444444444446, 'observations recommendations regarding state conservation site described chapter viii page')","(0.296875, 'bulgaria letter october decided include site list world heritage')","(0.32608695652173914, 'committee s observations recommendations regarding state conservation site described chapter')","(0.25547445255474455, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described chapter viii')","(0.2272727272727273, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described chapter')","(0.2773109243697479, 'world heritage danger committee s observations recommendations regarding state conservation site described chapter viii')","(0.43137254901960786, 'regarding state conservation site described chapter')","(0.2549019607843137, 'committee s observations recommendations regarding state conservation site described chapter viii page')","(0.3369565217391305, 'committee s observations recommendations regarding state conservation site described chapter')"
"Dec 7, 1992 Inscription on the List of World Heritage in Danger Plitvice Lakes National Park Croatia, Republic of","(0.31506849315068497, 'plitvice lakes nbsp national park croatia republic of n')","(0.25757575757575757, 'include site list world heritage danger committee s observations recommendations regarding state conservation site described chapter')","(0.375, 'conservation site described chapter viii')","(0.3486238532110092, 'danger committee s observations recommendations regarding state conservation site described chapter viii page')","(0.36250000000000004, 'observations recommendations regarding state conservation site described chapter')","(0.2622950819672131, 'decided include site list world heritage danger committee s observations recommendations regarding state conservation site')","(0.2962962962962963, 'heritage danger committee s')","(0.3375, 'observations recommendations regarding state conservation site described chapter')","(0.32608695652173914, 'committee s observations recommendations regarding state conservation site described chapter')","(0.37209302325581395, 'regarding state conservation site described')","(0.3194444444444444, 'observations recommendations regarding state conservation site described')","(0.25, 'danger committee s observations recommendations regarding state conservation site described chapter viii page n')","(0.24806201550387597, 'plitvice lakes nbsp national park croatia republic of n committee requested authorities croatia letter april decided')","(0.30000000000000004, 'observations recommendations regarding state conservation site described chapter viii page')","(0.33783783783783783, 'committee s observations recommendations regarding state conservation site')","(0.3055555555555556, 'heritage danger committee s observations recommendations regarding state')","(0.275, 'observations recommendations regarding state conservation site described chapter')","(0.26388888888888884, 'heritage danger committee s observations recommendations regarding state')","(0.3194444444444444, 'observations recommendations regarding state conservation site described')","(0.2823529411764706, 'observations recommendations regarding state conservation site described chapter viii')","(0.33333333333333337, 'observations recommendations regarding state conservation site described chapter viii page')","(0.37681159420289856, 'committee s observations recommendations regarding state conservation')","(0.25, 'plitvice lakes nbsp national park croatia republic of n committee requested authorities croatia letter april')","(0.28695652173913044, 'national park croatia republic of n committee requested authorities croatia letter april decided include')","(0.275, 'croatia letter april decided include site list world heritage danger')","(0.328125, 'croatia letter april decided include site list world heritage')","(0.32608695652173914, 'committee s observations recommendations regarding state conservation site described chapter')","(0.2592592592592593, 'park croatia republic of n committee requested authorities croatia letter april decided include site list world heritage')","(0.25384615384615383, 'plitvice lakes nbsp national park croatia republic of n committee requested authorities croatia letter april decided')","(0.3063063063063063, 'danger committee s observations recommendations regarding state conservation site described chapter viii page n')","(0.43137254901960786, 'regarding state conservation site described chapter')","(0.23711340206185572, 'plitvice lakes nbsp national park croatia republic of n committee requested authorities')","(0.3369565217391305, 'committee s observations recommendations regarding state conservation site described chapter')"
"Dec 7, 1992 Inscription Pythagoreion and Heraion of Samos Greece","(0.26027397260273977, 'pythagoreion heraion samos n n greece n c ii')","(0, '')","(0.25806451612903225, 'heraion samos n n greece')","(0, '')","(0.2592592592592593, 'pythagoreion heraion samos n n greece n c')","(0, '')","(0.4, 'n n greece n')","(0.28, 'pythagoreion heraion samos n n greece n c')","(0.3076923076923077, 'pythagoreion heraion samos n n greece n c ii iii')","(0.2666666666666667, 'pythagoreion heraion samos n n')","(0.28, 'pythagoreion heraion samos n n greece n')","(0, '')","(0, '')","(0.2432432432432432, 'pythagoreion heraion samos n n greece n c ii iii')","(0.25, 'pythagoreion heraion samos n n greece n c')","(0.21666666666666667, 'pythagoreion heraion samos n n greece n c')","(0.28358208955223885, 'pythagoreion heraion samos n n greece n c')","(0.1875, 'pythagoreion heraion samos n n greece n c')","(0.275, 'samos n n greece n c ii')","(0.2295081967213115, 'pythagoreion heraion samos n n greece n c ii')","(0.303030303030303, 'pythagoreion heraion samos n n greece n c ii iii')","(0.24489795918367352, 'pythagoreion heraion samos n n greece n')","(0, '')","(0, '')","(0.26249999999999996, 'pythagoreion heraion samos n n greece n c ii iii')","(0.21875, 'pythagoreion heraion samos n n greece n c ii')","(0.28, 'pythagoreion heraion samos n n greece n c ii iii')","(0, '')","(0, '')","(0, '')","(0.2777777777777778, 'greece n c ii iii n')","(0, '')","(0.28787878787878785, 'pythagoreion heraion samos n n greece n c ii iii')"
"Dec 7, 1992 Inscription The White Monuments of Vladimir and Suzdal Russian Federation","(0.26027397260273977, 'n nbsp n russian federation n c ii iv')","(0, '')","(0.29032258064516125, 'federation n c ii iv')","(0.23170731707317072, 'white monuments vladimir suzdal n nbsp n russian federation n c ii iv')","(0.31481481481481477, 'n russian federation n c ii iv n')","(0, '')","(0.14814814814814814, 'monuments vladimir suzdal n')","(0.30000000000000004, 'n russian federation n c ii iv n')","(0.2615384615384615, 'n nbsp n russian federation n c ii iv n')","(0.2962962962962963, 'russian federation n c ii')","(0.26, 'suzdal n nbsp n russian federation n')","(0.25, 'white monuments vladimir suzdal n nbsp n russian federation n c ii iv n')","(0, '')","(0.2567567567567568, 'white monuments vladimir suzdal n nbsp n russian federation n')","(0.2833333333333333, 'vladimir suzdal n nbsp n russian federation n')","(0.25, 'n nbsp n russian federation n c ii')","(0.31343283582089554, 'white monuments vladimir suzdal n nbsp n russian')","(0.27083333333333337, 'n nbsp n russian federation n c ii')","(0.275, 'n nbsp n russian federation n c')","(0.2295081967213115, 'n nbsp n russian federation n c ii iv')","(0.25757575757575757, 'n nbsp n russian federation n c ii iv n')","(0.326530612244898, 'nbsp n russian federation n c ii')","(0, '')","(0.23478260869565215, 'white monuments vladimir suzdal n nbsp n russian federation n c ii iv n')","(0.25, 'n nbsp n russian federation n c ii iv n')","(0.234375, 'n nbsp n russian federation n c ii iv')","(0.2533333333333333, 'vladimir suzdal n nbsp n russian federation n c ii')","(0, '')","(0, '')","(0.2277227722772277, 'white monuments vladimir suzdal n nbsp n russian federation n c ii iv n')","(0.33333333333333337, 'n russian federation n c ii')","(0.21649484536082475, 'white monuments vladimir suzdal n nbsp n russian federation n c ii')","(0.2727272727272727, 'n nbsp n russian federation n c ii iv n')"
"Dec 7, 1992 Inscription Rio Abiseo National Park Peru","(0.3013698630136986, 'rio abiseo national park n n peru n c')","(0.2661290322580645, 'c iii n committee already inscribed site world heritage list basis natural heritage criteria committee decided')","(0.275, 'heritage criteria committee decided site')","(0.2989690721649485, 'already inscribed site world heritage list basis natural heritage criteria committee decided site')","(0.2962962962962963, 'c iii n committee already inscribed site world')","(0.2592592592592593, 'rio abiseo national park n n peru n c iii n committee already inscribed site')","(0.33333333333333337, 'park n n peru')","(0.3015873015873016, 'heritage list basis natural heritage criteria committee decided')","(0.32307692307692304, 'rio abiseo national park n n peru n c iii')","(0.2962962962962963, 'national park n n peru')","(0.30000000000000004, 'abiseo national park n n peru n')","(0.2946428571428571, 'iii n committee already inscribed site world heritage list basis natural heritage criteria committee')","(0.28682170542635654, 'n n peru n c iii n committee already inscribed site world heritage list basis natural')","(0.2432432432432432, 'peru n c iii n committee already inscribed site world')","(0.2666666666666667, 'rio abiseo national park n n peru n')","(0.25, 'rio abiseo national park n n peru n')","(0.26865671641791045, 'site world heritage list basis natural heritage criteria')","(0.265625, 'basis natural heritage criteria committee decided site qualified')","(0.275, 'rio abiseo national park n n peru')","(0.3278688524590164, 'national park n n peru n c iii n')","(0.31818181818181823, 'rio abiseo national park n n peru n c iii')","(0.2857142857142857, 'abiseo national park n n peru n')","(0.2844827586206896, 'rio abiseo national park n n peru n c iii n committee already inscribed site')","(0.26956521739130435, 'rio abiseo national park n n peru n c iii n committee already inscribed')","(0.26249999999999996, 'peru n c iii n committee already inscribed site world')","(0.36923076923076925, 'already inscribed site world heritage list basis natural heritage')","(0.28, 'c iii n committee already inscribed site world heritage list')","(0.28148148148148144, 'rio abiseo national park n n peru n c iii n committee already inscribed site world heritage')","(0.25384615384615383, 'n n peru n c iii n committee already inscribed site world heritage list basis natural')","(0.27722772277227725, 'park n n peru n c iii n committee already inscribed site world heritage')","(0.3055555555555556, 'abiseo national park n n peru')","(0.23711340206185572, 'rio abiseo national park n n peru n c iii n committee')","(0.25757575757575757, 'rio abiseo national park n n peru n c iii')"
"Dec 7, 1992 Not Inscribed Berezinsky Biosphere Reserve Belarus","(0.3013698630136986, 'reserve n n belarus n committee noted natural site')","(0.24193548387096775, 'noted natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage list')","(0.28205128205128205, 'internationally recognized one unesco s')","(0.2912621359223301, 'natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world')","(0.28125, 'biosphere reserves meet criteria inscription world heritage list')","(0.2222222222222222, 'natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage list')","(0.31999999999999995, 'belarus n committee noted')","(0.3114754098360656, 'n committee noted natural site internationally recognized one')","(0.2857142857142857, 'noted natural site internationally recognized one unesco s biosphere reserves')","(0.33333333333333337, 'internationally recognized one unesco s')","(0.23728813559322037, 'biosphere reserves meet criteria inscription world heritage')","(0.2767857142857143, 'natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage')","(0.28682170542635654, 'noted natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage list')","(0.2432432432432432, 'reserve n n belarus n committee noted natural site internationally')","(0.25396825396825395, 'site internationally recognized one unesco s biosphere reserves')","(0.23809523809523814, 'site internationally recognized one unesco s biosphere reserves')","(0.29850746268656714, 'recognized one unesco s biosphere reserves meet criteria')","(0.25, 'recognized one unesco s biosphere reserves meet criteria')","(0.3035714285714286, 'noted natural site internationally recognized one unesco')","(0.2941176470588235, 'site internationally recognized one unesco s biosphere reserves meet')","(0.33766233766233766, 'noted natural site internationally recognized one unesco s biosphere reserves')","(0.30508474576271183, 'committee noted natural site internationally recognized one')","(0.2649572649572649, 'natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage list')","(0.25217391304347825, 'n n belarus n committee noted natural site internationally recognized one unesco s biosphere')","(0.26249999999999996, 'site internationally recognized one unesco s biosphere reserves meet criteria')","(0.328125, 'reserve n n belarus n committee noted natural site')","(0.2533333333333333, 'recognized one unesco s biosphere reserves meet criteria inscription world')","(0.2592592592592593, 'noted natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage list n')","(0.2615384615384615, 'n belarus n committee noted natural site internationally recognized one unesco s biosphere reserves meet criteria')","(0.25, 'natural site internationally recognized one unesco s biosphere reserves meet criteria inscription world heritage')","(0.34693877551020413, 'reserves meet criteria inscription world heritage')","(0.24742268041237114, 'n committee noted natural site internationally recognized one unesco s biosphere reserves')","(0.2597402597402597, 'noted natural site internationally recognized one unesco s biosphere reserves')"
"Dec 7, 1992 Inscriptions on the List of World Heritage in Danger","(0.3287671232876712, 'ivoire guinea n sangay national park ecuador n manas')","(0.2661290322580645, 'cambodia n mt nimba nature reserve cote d ivoire guinea n sangay national park ecuador n')","(0.46153846153846156, 'convention include following sites list')","(0.29591836734693877, 'iucn see chapter viii page decided accordance article paragraph convention include following sites')","(0.33333333333333337, 'committee basis state conservation reports provided iucn see')","(0.2685185185185185, 'convention include following sites list world heritage danger nbsp n angkor cambodia n mt nimba')","(0.35, 'park ecuador n manas')","(0.3571428571428571, 'page decided accordance article paragraph convention include following')","(0.3373493975903614, 'chapter viii page decided accordance article paragraph convention include following')","(0.3902439024390244, 'basis state conservation reports provided')","(0.3090909090909091, 'paragraph convention include following sites list world')","(0.2946428571428571, 'conservation reports provided iucn see chapter viii page decided accordance article paragraph convention include')","(0.28682170542635654, 'cambodia n mt nimba nature reserve cote d ivoire guinea n sangay national park ecuador n')","(0.28378378378378377, 'state conservation reports provided iucn see chapter viii page decided')","(0.3666666666666667, 'state conservation reports provided iucn see chapter viii')","(0.36764705882352944, 'accordance article paragraph convention include following sites list')","(0.31343283582089554, 'paragraph convention include following sites list world heritage')","(0.2833333333333333, 'committee basis state conservation reports provided iucn see')","(0.3653846153846154, 'state conservation reports provided iucn see chapter')","(0.3114754098360656, 'cambodia n mt nimba nature reserve cote d ivoire')","(0.31818181818181823, 'ivoire guinea n sangay national park ecuador n manas wildlife')","(0.33333333333333337, 'conservation reports provided iucn see chapter viii')","(0.2586206896551724, 'heritage danger nbsp n angkor cambodia n mt nimba nature reserve cote d ivoire guinea')","(0.26086956521739135, 'states parties concerned committee basis state conservation reports provided iucn see chapter viii page')","(0.2875, 'paragraph convention include following sites list world heritage danger nbsp')","(0.296875, 'include following sites list world heritage danger nbsp n')","(0.28, 'state conservation reports provided iucn see chapter viii page decided')","(0.28148148148148144, 'parties concerned committee basis state conservation reports provided iucn see chapter viii page decided accordance article paragraph')","(0.30000000000000004, 'parties concerned committee basis state conservation reports provided iucn see chapter viii page decided accordance article')","(0.306930693069307, 'convention include following sites list world heritage danger nbsp n angkor cambodia n mt')","(0.4347826086956522, 'basis state conservation reports provided iucn')","(0.27835051546391754, 'nature reserve cote d ivoire guinea n sangay national park ecuador n')","(0.303030303030303, 'cote d ivoire guinea n sangay national park ecuador n')"
"Dec 7, 1992 Not Inscribed Cidade Velha Cap Vert","(0.2465753424657534, 'nbsp n n cap vert n committee noted protection')","(0.25, 'n cap vert n committee noted protection management plan cultural property meet criteria inscription world heritage')","(0.32258064516129037, 'nbsp n n cap vert')","(0.29292929292929293, 'vert n committee noted protection management plan cultural property meet criteria inscription world')","(0.3142857142857143, 'protection management plan cultural property meet criteria inscription')","(0.2870370370370371, 'cidade velha nbsp n n cap vert n committee noted protection management plan cultural property')","(0.2962962962962963, 'plan cultural property meet')","(0.30000000000000004, 'nbsp n n cap vert n committee noted')","(0.2615384615384615, 'nbsp n n cap vert n committee noted protection management')","(0.2857142857142857, 'committee noted protection management plan')","(0.2833333333333333, 'committee noted protection management plan cultural property')","(0.2678571428571429, 'n n cap vert n committee noted protection management plan cultural property meet criteria')","(0.2945736434108527, 'n cap vert n committee noted protection management plan cultural property meet criteria inscription world heritage')","(0.2567567567567568, 'n cap vert n committee noted protection management plan cultural')","(0.25, 'nbsp n n cap vert n committee noted')","(0.2666666666666667, 'cidade velha nbsp n n cap vert n')","(0.35820895522388063, 'vert n committee noted protection management plan cultural')","(0.2698412698412699, 'plan cultural property meet criteria inscription world heritage')","(0.40816326530612246, 'vert n committee noted protection management plan')","(0.27941176470588236, 'plan cultural property meet criteria inscription world heritage list')","(0.2823529411764706, 'protection management plan cultural property meet criteria inscription world heritage')","(0.4, 'committee noted protection management plan cultural property')","(0.26724137931034486, 'vert n committee noted protection management plan cultural property meet criteria inscription world heritage list')","(0.28695652173913044, 'n n cap vert n committee noted protection management plan cultural property meet criteria')","(0.2941176470588235, 'protection management plan cultural property meet criteria inscription world heritage')","(0.3918918918918919, 'committee noted protection management plan cultural property meet criteria')","(0.39534883720930236, 'committee noted protection management plan cultural property meet criteria inscription')","(0.32592592592592595, 'cidade velha nbsp n n cap vert n committee noted protection management plan cultural property meet criteria')","(0.2846153846153846, 'cidade velha nbsp n n cap vert n committee noted protection management plan cultural property meet')","(0.36111111111111116, 'vert n committee noted protection management plan cultural property meet criteria inscription world heritage')","(0.326530612244898, 'property meet criteria inscription world heritage')","(0.27835051546391754, 'n n cap vert n committee noted protection management plan cultural property')","(0.313953488372093, 'committee noted protection management plan cultural property meet criteria inscription')"
"Dec 7, 1992 Inscription Wulingyuan Scenic and Historic Interest Area China, Peoples Republic of","(0.3287671232876712, 'class third class conservation sections site world heritage list')","(0.29032258064516125, 'n iii n committee inscribed core zone first class second class third class conservation sections site')","(0.3902439024390244, 'conservation sections site world heritage')","(0.3363636363636363, 'buffer zone conservation objectives maximise natural characteristics site committee noted pressure due tourism')","(0.4067796610169492, 'class third class conservation sections site world heritage')","(0.2698412698412699, 'buffer zone conservation objectives maximise natural characteristics site committee noted pressure due tourism likely increase')","(0.2941176470588235, 'interest area n n')","(0.3380281690140845, 'authorities manage buffer zone conservation objectives maximise natural')","(0.31034482758620685, 'efforts chinese authorities manage buffer zone conservation objectives maximise natural')","(0.3421052631578947, 'third class conservation sections site')","(0.3448275862068966, 'species conservation status report order study possibility')","(0.3035714285714286, 'n iii n committee inscribed core zone first class second class third class conservation')","(0.28682170542635654, 'n iii n committee inscribed core zone first class second class third class conservation sections site')","(0.2784810126582279, 'class conservation sections site world heritage list encouraged efforts chinese')","(0.3972602739726028, 'buffer zone conservation objectives maximise natural characteristics site')","(0.2727272727272727, 'authorities prepare species conservation status report order study')","(0.29850746268656714, 'inscribed core zone first class second class third')","(0.2833333333333333, 'possibility proposing site may also qualify natural heritage')","(0.37735849056603776, 'third class conservation sections site world heritage')","(0.313953488372093, 'conservation objectives maximise natural characteristics site committee noted pressure')","(0.3222222222222222, 'conservation objectives maximise natural characteristics site committee noted pressure due')","(0.368421052631579, 'conservation sections site world heritage list encouraged')","(0.26724137931034486, 'n iii n committee inscribed core zone first class second class third class conservation sections')","(0.27826086956521734, 'interest area n n china people s republic n n iii n committee inscribed')","(0.32258064516129037, 'protect integrity site committee recommended chinese authorities prepare species conservation')","(0.3493975903614458, 'buffer zone conservation objectives maximise natural characteristics site committee')","(0.34782608695652173, 'management vigilant protect integrity site committee recommended chinese authorities prepare')","(0.28148148148148144, 'inscribed core zone first class second class third class conservation sections site world heritage list encouraged efforts')","(0.29230769230769227, 'inscribed core zone first class second class third class conservation sections site world heritage list encouraged')","(0.30000000000000004, 'second class third class conservation sections site world heritage list encouraged efforts chinese authorities')","(0.4375, 'prepare species conservation status report order')","(0.28037383177570097, 'protect integrity site committee recommended chinese authorities prepare species conservation status report')","(0.30107526881720426, 'protect integrity site committee recommended chinese authorities prepare species conservation')"
"Dec 7, 1992 Inscription Pueblo de Taos United States of America","(0.31506849315068497, 'note regard additional agreement u s taos pueblo latter')","(0.28260869565217395, 'protection cultural traditions natural resources practices pueblo s leadership considers sacred necessary continuity community n committee')","(0.3513513513513513, 'protection taos pueblo world heritage')","(0.3168316831683168, 'agreement u s government taos pueblo tribal council interpretation united states trust responsibility')","(0.34328358208955223, 'protection cultural traditions natural resources practices pueblo s')","(0.2685185185185185, 'community n committee also took note regard additional agreement u s taos pueblo latter s')","(0.5, 'note agreement u s')","(0.38, 'n united states america n c iv n')","(0.36923076923076925, 'taos n n united states america n c iv n')","(0.29729729729729726, 'continuity community n committee also')","(0.2941176470588235, 'trust responsibility protection preservation pueblo conducted manner')","(0.2803030303030303, 'trust responsibility protection preservation pueblo conducted manner acknowledges full knowledge participation prior approval pueblo')","(0.31007751937984496, 'continuity community n committee also took note regard additional agreement u s taos pueblo latter s')","(0.29729729729729726, 'also took note regard additional agreement u s taos pueblo')","(0.3285714285714286, 'respect for protection cultural traditions natural resources practices')","(0.2727272727272727, 'carrying trust responsibility protection preservation pueblo conducted manner')","(0.34328358208955223, 'trust responsibility protection taos pueblo world heritage site')","(0.31818181818181823, 'government taos pueblo tribal council interpretation united states')","(0.375, 'states trust responsibility protection taos pueblo world')","(0.3116883116883117, 'respect for protection cultural traditions natural resources practices pueblo')","(0.31645569620253167, 'respect for protection cultural traditions natural resources practices pueblo s')","(0.3833333333333333, 'respect for protection cultural traditions natural resources')","(0.30597014925373134, 'trust responsibility protection preservation pueblo conducted manner acknowledges full knowledge participation prior approval pueblo s')","(0.28695652173913044, 'u s taos pueblo latter s status self governed community action undertaken united states')","(0.28735632183908044, 'pueblo tribal council interpretation united states trust responsibility protection taos')","(0.37662337662337664, 'necessary assure respect for protection cultural traditions natural resources')","(0.34615384615384615, 'responsibility protection preservation pueblo conducted manner acknowledges full knowledge participation')","(0.35, 'pueblo tribal council interpretation united states trust responsibility protection taos pueblo world heritage site include appropriate legal')","(0.32089552238805974, 'pueblo tribal council interpretation united states trust responsibility protection taos pueblo world heritage site include appropriate')","(0.3366336633663366, 'c iv n committee took note agreement u s government taos pueblo tribal council')","(0.4444444444444444, 'agreement u s taos pueblo latter')","(0.28, 'respect for protection cultural traditions natural resources practices pueblo s leadership considers')","(0.3291139240506329, 'respect for protection cultural traditions natural resources practices pueblo s')"
