,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 2, 1996 SOC noted by Committee Aksum Ethiopia","(0.3013698630136986, 'conservation planning particularly view master plan prepared n bureau')","(0.2857142857142857, 'continue efforts ensure scientific documentation site made available site manager reiterated compilation documentation prerequisite preparation management')","(0.3695652173913043, 'conservation planning particularly view master')","(0.4017857142857143, 'asked centre research conservation cultural heritage crcch continue efforts ensure scientific documentation site')","(0.37681159420289856, 'centre research conservation cultural heritage crcch continue efforts')","(0.28985507246376807, 'site made available site manager reiterated compilation documentation prerequisite preparation management conservation plans unesco always')","(0.37037037037037035, 'site level basis management')","(0.34328358208955223, 'site level basis management conservation planning particularly view')","(0.3142857142857143, 'reiterated compilation documentation prerequisite preparation management conservation plans unesco always')","(0.39534883720930236, 'management conservation plans unesco always')","(0.3125, 'compilation documentation prerequisite preparation management conservation plans')","(0.28776978417266186, 'compilation documentation prerequisite preparation management conservation plans unesco always ready provide necessary assistance obtaining')","(0.30519480519480524, 'secretariat site management strengthened providing collecting scientific documentation site level basis management conservation planning particularly view')","(0.3142857142857143, 'reiterated compilation documentation prerequisite preparation management conservation plans unesco always')","(0.4117647058823529, 'basis management conservation planning particularly view master plan')","(0.2906976744186046, 'secretariat site management strengthened providing collecting scientific documentation')","(0.34246575342465757, 'providing collecting scientific documentation site level basis management')","(0.303030303030303, 'took note report provided secretariat site management strengthened')","(0.3392857142857143, 'already taken ensure preservation enhancement site asked')","(0.35365853658536583, 'preservation enhancement site asked centre research conservation cultural heritage')","(0.32291666666666663, 'documentation site made available site manager reiterated compilation documentation prerequisite')","(0.375, 'compilation documentation prerequisite preparation management conservation plans')","(0.33333333333333337, 'strengthened providing collecting scientific documentation site level basis management conservation planning particularly view master plan')","(0.28787878787878785, 'site manager reiterated compilation documentation prerequisite preparation management conservation plans unesco always ready provide')","(0.2947368421052632, 'providing collecting scientific documentation site level basis management conservation planning')","(0.41463414634146345, 'preservation enhancement site asked centre research conservation cultural heritage')","(0.34375, 'documentation prerequisite preparation management conservation plans unesco always ready provide')","(0.2911392405063291, 'documentation site made available site manager reiterated compilation documentation prerequisite preparation management conservation plans unesco always ready')","(0.29220779220779225, 'secretariat site management strengthened providing collecting scientific documentation site level basis management conservation planning particularly view')","(0.3525179856115108, 'compilation documentation prerequisite preparation management conservation plans unesco always ready provide necessary assistance obtaining')","(0.5102040816326531, 'management conservation plans unesco always ready')","(0.2727272727272727, 'strengthened providing collecting scientific documentation site level basis management conservation planning particularly')","(0.34285714285714286, 'reiterated compilation documentation prerequisite preparation management conservation plans unesco always')"
"Dec 2, 1996 SOC noted by Committee City of Potosi Bolivia","(0.2875, 'corporation included preservation form topography natural environment cerro rico')","(0.2847222222222222, 'response request committee nineteenth session bureau twentieth session bolivian mining corporation included preservation form topography natural')","(0.3023255813953488, 'nineteenth session bureau twentieth session')","(0.27450980392156865, 'natural environment cerro rico one objectives future exploitation cerro rico mountain bureau commended')","(0.3466666666666667, 'corporation included preservation form topography natural environment cerro')","(0.265625, 'mining corporation included preservation form topography natural environment cerro rico one objectives future exploitation cerro')","(0.2941176470588235, 'satisfaction that response request')","(0.30434782608695654, 'committee nineteenth session bureau twentieth session bolivian mining')","(0.29761904761904767, 'corporation included preservation form topography natural environment cerro rico one')","(0.2954545454545454, 'session bolivian mining corporation included')","(0.29032258064516125, 'committee nineteenth session bureau twentieth session bolivian')","(0.25409836065573765, 'noted satisfaction that response request committee nineteenth session bureau twentieth session bolivian mining corporation')","(0.27007299270072993, 'bolivian mining corporation included preservation form topography natural environment cerro rico one objectives future exploitation cerro')","(0.26436781609195403, 'exploitation cerro rico mountain bureau commended bolivian authorities action requested')","(0.31506849315068497, 'bolivian mining corporation included preservation form topography natural')","(0.2857142857142857, 'exploitation cerro rico mountain bureau commended bolivian authorities')","(0.32835820895522383, 'action requested keep committee informed developments respect n')","(0.28378378378378377, 'bolivian authorities action requested keep committee informed developments')","(0.359375, 'mining corporation included preservation form topography natural')","(0.31081081081081086, 'preservation form topography natural environment cerro rico one objectives')","(0.30952380952380953, 'session noted satisfaction that response request committee nineteenth session bureau')","(0.33333333333333337, 'environment cerro rico one objectives future exploitation')","(0.2595419847328244, 'future exploitation cerro rico mountain bureau commended bolivian authorities action requested keep committee informed developments')","(0.31304347826086953, 'natural environment cerro rico one objectives future exploitation cerro rico mountain bureau commended bolivian')","(0.25287356321839083, 'exploitation cerro rico mountain bureau commended bolivian authorities action requested')","(0.42352941176470593, 'bolivian mining corporation included preservation form topography natural environment')","(0.3571428571428571, 'corporation included preservation form topography natural environment cerro rico one')","(0.29605263157894735, 'session noted satisfaction that response request committee nineteenth session bureau twentieth session bolivian mining corporation included preservation')","(0.2556390977443609, 'session bureau twentieth session bolivian mining corporation included preservation form topography natural environment cerro rico one')","(0.34426229508196726, 'mining corporation included preservation form topography natural environment cerro rico one objectives future exploitation')","(0.3508771929824561, 'corporation included preservation form topography natural')","(0.24742268041237114, 'vii city potosi bolivia n bureau twentieth extraordinary session noted satisfaction that')","(0.28735632183908044, 'session bureau twentieth session bolivian mining corporation included preservation form')"
"Dec 2, 1996 SOC noted by Committee Archaeological sites of Bat, AIKhutun and AIAyn Oman","(0.275, 'conservation archaeological site bat bureau thanked omani authorities preserving')","(0.296875, 'fence enclosures several repairs preventive measures taken n noted secretariat report state conservation archaeological site bat')","(0.4883720930232558, 'conservation archaeological site bat bureau')","(0.3362068965517241, 'secretariat report state conservation archaeological site bat bureau thanked omani authorities preserving structures')","(0.359375, 'report state conservation archaeological site bat bureau thanked')","(0.2870370370370371, 'bat ai khutun ai ayn oman n occasion mission sent oman september unesco experts noted')","(0.40740740740740744, 'place walls n reinforcement')","(0.33999999999999997, 'sites bat ai khutun ai ayn oman n')","(0.29268292682926833, 'noted secretariat report state conservation archaeological site bat bureau thanked')","(0.32608695652173914, 'implement quickly possible additional measures')","(0.31999999999999995, 'methods position stones still place walls n')","(0.2892561983471075, 'bat bureau thanked omani authorities preserving structures site encouraged implement quickly possible additional measures')","(0.3178294573643411, 'threatens protection site n discreet marking in situ appropriate methods position stones still place walls n')","(0.2702702702702703, 'sites bat ai khutun ai ayn oman n occasion mission')","(0.390625, 'report state conservation archaeological site bat bureau thanked')","(0.3731343283582089, 'noted secretariat report state conservation archaeological site bat')","(0.34328358208955223, 'threatens protection site n discreet marking in situ')","(0.30434782608695654, 'conservation archaeological site bat bureau thanked omani authorities')","(0.35185185185185186, 'neighbouring wadi threatens protection site n discreet')","(0.3194444444444444, 'possible additional measures already foreseen n repair fenced enclosures')","(0.3076923076923077, 'conservation archaeological site bat bureau thanked omani authorities preserving structures')","(0.3877551020408163, 'threatens protection site n discreet marking in')","(0.3023255813953488, 'bat bureau thanked omani authorities preserving structures site encouraged implement quickly possible additional measures already')","(0.29565217391304344, 'repairs preventive measures taken n noted secretariat report state conservation archaeological site bat bureau')","(0.2875, 'several structures site bat protected wire fence enclosures several repairs')","(0.2816901408450704, 'preventive measures taken n noted secretariat report state conservation')","(0.3733333333333333, 'threatens protection site n discreet marking in situ appropriate methods')","(0.28148148148148144, 'repair fenced enclosures n diversion course neighbouring wadi threatens protection site n discreet marking in situ appropriate')","(0.2846153846153846, 'discreet marking in situ appropriate methods position stones still place walls n reinforcement security guards avoid')","(0.3267326732673267, 'ai ayn oman n occasion mission sent oman september unesco experts noted several structures')","(0.44897959183673475, 'report state conservation archaeological site bat')","(0.2680412371134021, 'ai ayn oman n occasion mission sent oman september unesco experts noted')","(0.3194444444444444, 'threatens protection site n discreet marking in situ appropriate methods')"
"Dec 2, 1996 SOC noted by Committee Huascaran National Park Peru","(0.2530120481927711, 'informed inventory clarifications provided road developments may threaten integrity')","(0.27419354838709675, 'state party n bureau reiterated request world heritage committee that cultural resources inventory site carried out')","(0.3111111111111111, 'clarifications provided road developments may')","(0.28125, 'bureau twentieth extraordinary session recalled committee nineteenth session recommended peruvian authorities cultural resources')","(0.31506849315068497, 'authorities cultural resources inventory site carried asked clarification')","(0.2479338842975206, 'out icomos kept informed inventory clarifications provided road developments may threaten integrity site bureau requested')","(0.36, 'party n bureau reiterated')","(0.3484848484848485, 'carried out icomos kept informed inventory clarifications provided')","(0.308641975308642, 'inventory site carried out icomos kept informed inventory clarifications provided')","(0.3125, 'vii huascaran national park peru')","(0.32307692307692304, 'kept informed inventory clarifications provided road developments')","(0.3035714285714286, 'state party n bureau reiterated request world heritage committee that cultural resources inventory site')","(0.2987012987012987, 'extraordinary session recalled committee nineteenth session recommended peruvian authorities cultural resources inventory site carried asked clarification')","(0.31818181818181823, 'informed inventory clarifications provided road developments may threaten integrity site')","(0.32432432432432434, 'recommended peruvian authorities cultural resources inventory site carried')","(0.28985507246376807, 'clarifications provided road developments may threaten integrity site')","(0.3972602739726028, 'informed inventory clarifications provided road developments may threaten')","(0.29230769230769227, 'may threaten integrity site bureau requested information provided')","(0.328125, 'inventory clarifications provided road developments may threaten')","(0.3294117647058824, 'nineteenth session recommended peruvian authorities cultural resources inventory site')","(0.2962962962962963, 'inventory site carried out icomos kept informed inventory clarifications provided')","(0.34375, 'inventory clarifications provided road developments may threaten')","(0.2571428571428571, 'session recalled committee nineteenth session recommended peruvian authorities cultural resources inventory site carried asked clarification')","(0.2777777777777778, 'session recalled committee nineteenth session recommended peruvian authorities cultural resources inventory site carried asked')","(0.28915662650602414, 'resources inventory site carried asked clarification road developments may threaten')","(0.3764705882352941, 'nineteenth session recommended peruvian authorities cultural resources inventory site')","(0.43023255813953487, 'clarifications provided road developments may threaten integrity site bureau requested')","(0.28888888888888886, 'inventory site carried out icomos kept informed inventory clarifications provided road developments may threaten integrity site bureau')","(0.28787878787878785, 'authorities cultural resources inventory site carried asked clarification road developments may threaten integrity site bureau noted')","(0.38888888888888884, 'informed inventory clarifications provided road developments may threaten integrity site bureau requested information provided')","(0.3555555555555555, 'bureau requested information provided april n')","(0.2542372881355932, 'bureau twentieth extraordinary session recalled committee nineteenth session recommended peruvian authorities cultural')","(0.2906976744186046, 'clarifications provided road developments may threaten integrity site bureau requested')"
"Dec 2, 1996 SOC noted by Committee Butrinti Albania","(0.28915662650602414, 'commended albanian authorities efforts butrinti recommended director world heritage')","(0.2517985611510791, 'undertaken tourism development world heritage site butrinti albania made request technical cooperation monitoring activities which meantime')","(0.35, 'non payment contributions world heritage')","(0.3529411764705882, 'non payment contributions world heritage fund n bureau commended albanian authorities efforts butrinti')","(0.3661971830985915, 'made request technical cooperation monitoring activities which meantime')","(0.2727272727272727, 'butrinti recommended director world heritage centre explore albanian authorities way solving current difficulties monitoring mission')","(0.30000000000000004, 'albania made request technical')","(0.33333333333333337, 'monitoring activities which meantime approved chairperson committee assistance')","(0.31000000000000005, 'technical cooperation monitoring activities which meantime approved chairperson committee assistance')","(0.35, 'non payment contributions world heritage')","(0.28787878787878785, 'request technical cooperation monitoring activities which meantime')","(0.28358208955223885, 'request technical cooperation monitoring activities which meantime approved chairperson committee assistance however could implemented')","(0.2836879432624113, 'twentieth extraordinary session bureau secretariat reported major studies undertaken tourism development world heritage site butrinti albania')","(0.30000000000000004, 'technical cooperation monitoring activities which meantime approved chairperson committee assistance')","(0.3013698630136986, 'twentieth extraordinary session bureau secretariat reported major studies')","(0.28767123287671237, 'butrinti albania made request technical cooperation monitoring activities')","(0.29850746268656714, 'major studies undertaken tourism development world heritage site')","(0.3088235294117647, 'butrinti recommended director world heritage centre explore albanian')","(0.32835820895522383, 'activities which meantime approved chairperson committee assistance')","(0.30952380952380953, 'twentieth extraordinary session bureau secretariat reported major studies undertaken')","(0.3222222222222222, 'commended albanian authorities efforts butrinti recommended director world heritage centre')","(0.33333333333333337, 'cooperation monitoring activities which meantime approved chairperson')","(0.32608695652173914, 'request technical cooperation monitoring activities which meantime approved chairperson committee assistance however could implemented due')","(0.26119402985074625, 'request technical cooperation monitoring activities which meantime approved chairperson committee assistance however could implemented')","(0.27, 'technical cooperation monitoring activities which meantime approved chairperson committee assistance')","(0.3375, 'butrinti recommended director world heritage centre explore albanian authorities')","(0.35, 'undertaken tourism development world heritage site butrinti albania made request')","(0.30612244897959184, 'made request technical cooperation monitoring activities which meantime approved chairperson committee assistance however could implemented due non')","(0.2836879432624113, 'twentieth extraordinary session bureau secretariat reported major studies undertaken tourism development world heritage site butrinti albania')","(0.31343283582089554, 'request technical cooperation monitoring activities which meantime approved chairperson committee assistance however could implemented')","(0.37777777777777777, 'non payment contributions world heritage fund')","(0.28865979381443296, 'non payment contributions world heritage fund n bureau commended albanian authorities efforts')","(0.30434782608695654, 'twentieth extraordinary session bureau secretariat reported major studies undertaken tourism')"
"Dec 2, 1996 SOC noted by Committee Arabian Oryx Sanctuary Oman","(0.31506849315068497, 'plant commended proposal international workshop held oman review draft')","(0.26618705035971224, 'reitera ted clarification requested definition final boundaries site april requested clarification situation respect reported oryx poaching')","(0.35, 'provide definition final boundaries site')","(0.33333333333333337, 'informed state conservation site progress planning boundary definition project reitera ted clarification requested')","(0.3835616438356164, 'concern poaching construction activities n bureau twentieth extraordinary')","(0.3089430894308943, 'plant commended proposal international workshop held oman review draft management plan including definition boundaries site')","(0.3571428571428571, 'oman review draft management')","(0.32307692307692304, 'concern poaching thirteen oryx construction reverse osmosis plant')","(0.345679012345679, 'plant commended proposal international workshop held oman review draft management')","(0.41463414634146345, 'informed state conservation site progress')","(0.3157894736842105, 'thirteen oryx construction reverse osmosis plant resulted')","(0.3203125, 'requested clarification situation respect reported oryx poaching reverse osmosis plant commended proposal international workshop')","(0.3172413793103448, 'planning boundary definition project reitera ted clarification requested definition final boundaries site april requested clarification situation')","(0.308641975308642, 'state conservation site progress planning boundary definition project reitera ted')","(0.3188405797101449, 'thirteen oryx construction reverse osmosis plant resulted significant')","(0.28, 'authorities encouraging provide definition final boundaries site expressing')","(0.3382352941176471, 'schedule activities iucn noted several recent developments sanctuary')","(0.3076923076923077, 'context pressures proposals iucn cooperate expert workshop review')","(0.3548387096774194, 'planning boundary definition project reitera ted clarification')","(0.31645569620253167, 'definition boundaries site involving representatives iucn world heritage centre')","(0.3580246913580247, 'plant commended proposal international workshop held oman review draft management')","(0.4, 'definition project reitera ted clarification requested definition')","(0.30534351145038163, 'omani authorities encouraging provide definition final boundaries site expressing concern poaching construction activities n bureau')","(0.2857142857142857, 'boundary definition project reitera ted clarification requested definition final boundaries site april requested clarification')","(0.2875, 'site raised concern reply received omani authorities since last session')","(0.3417721518987342, 'definition boundaries site involving representatives iucn world heritage centre')","(0.33333333333333337, 'concern poaching construction activities n bureau twentieth extraordinary session recalled')","(0.3517241379310345, 'ongoing planning activities site schedule activities iucn noted several recent developments sanctuary concern poaching thirteen oryx construction')","(0.29655172413793107, 'planning boundary definition project reitera ted clarification requested definition final boundaries site april requested clarification situation')","(0.33613445378151263, 'activities iucn noted several recent developments sanctuary concern poaching thirteen oryx construction reverse osmosis')","(0.45999999999999996, 'informed state conservation site progress planning')","(0.29824561403508776, 'delays experienced management authority completing management plan defining boundaries context pressures proposals')","(0.33333333333333337, 'definition project reitera ted clarification requested definition final boundaries site')"
"Dec 2, 1996 SOC noted by Committee Australian Natural Sites","(0.3013698630136986, 'congress held montreal canada october tabled n delegate australia')","(0.25806451612903225, 'mining kakadu national park opening nature reserves great barrier reef fishing development iucn stated due lack')","(0.33333333333333337, 'information situation world heritage sites')","(0.3392857142857143, 'problems resolutions concerning australian world heritage sites passed world conservation congress held montreal')","(0.375, 'provided additional information situation world heritage sites australia')","(0.27007299270072993, 'australian authorities report regularly world heritage areas provided information federal agencies restructured australian world heritage')","(0.3571428571428571, 'park opening nature reserves')","(0.34426229508196726, 'resolutions two sites passed world conservation congress held')","(0.35443037974683544, 'party protection enhancement world heritage took note information provided iucn')","(0.32558139534883723, 'heritage areas provided information federal')","(0.3090909090909091, 'passed world conservation congress held montreal canada')","(0.2857142857142857, 'regretted reports available australian authorities report regularly world heritage areas provided information federal agencies')","(0.2695035460992907, 'number steps actions mitigate decribed threats world heritage areas underlined australia essential problems resolutions concerning australian')","(0.2808988764044944, 'problems resolutions concerning australian world heritage sites passed world conservation')","(0.30645161290322576, 'world conservation congress held montreal canada october since')","(0.3116883116883117, 'australia essential problems resolutions concerning australian world heritage')","(0.34328358208955223, 'reserves great barrier reef fishing development iucn stated')","(0.39344262295081966, 'montreal canada october tabled n delegate australia regretted')","(0.368421052631579, 'leading state party protection enhancement world heritage')","(0.34285714285714286, 'note information provided iucn potential threats number world heritage')","(0.3295454545454546, 'areas provided information federal agencies restructured australian world heritage would')","(0.35593220338983056, 'protection enhancement world heritage took note information')","(0.2834645669291339, 'problems resolutions concerning australian world heritage sites passed world conservation congress held montreal canada october')","(0.27419354838709675, 'information situation world heritage sites australia bureau twentieth extraordinary session recalled australia leading state')","(0.3033707865168539, 'problems resolutions concerning australian world heritage sites passed world conservation')","(0.4078947368421053, 'problems resolutions concerning australian world heritage sites passed world')","(0.31645569620253167, 'party protection enhancement world heritage took note information provided iucn')","(0.2816901408450704, 'problems resolutions concerning australian world heritage sites passed world conservation congress held montreal canada october since proposed')","(0.2773722627737226, 'bureau twentieth extraordinary session recalled australia leading state party protection enhancement world heritage took note information')","(0.31999999999999995, 'iucn provided additional information situation world heritage sites australia bureau twentieth extraordinary session recalled')","(0.41666666666666663, 'passed world conservation congress held montreal')","(0.2685185185185185, 'areas provided information federal agencies restructured australian world heritage would strengthened result')","(0.3291139240506329, 'party protection enhancement world heritage took note information provided iucn')"
"Dec 2, 1996 SOC noted by Committee ShirakamiSanchi and Yakushima Japan","(0.26249999999999996, 'session recalled time inscription shirakami sanchi yakushima committee requested')","(0.217741935483871, 'iucn informed bureau invited japanese authorities able conduct review due budgetary constraints bureau noted mission re')","(0.30000000000000004, 'conduct review due budgetary constraints')","(0.2796610169491526, 'bureau twentieth extraordinary session recalled time inscription shirakami sanchi yakushima committee requested follow')","(0.3142857142857143, 'session recalled time inscription shirakami sanchi yakushima committee')","(0.21705426356589153, 'bureau twentieth extraordinary session recalled time inscription shirakami sanchi yakushima committee requested follow up mission')","(0.33333333333333337, 'japan n bureau twentieth')","(0.29729729729729726, 'twentieth extraordinary session recalled time inscription shirakami sanchi')","(0.2530120481927711, 'n bureau twentieth extraordinary session recalled time inscription shirakami sanchi')","(0.26315789473684215, 'due budgetary constraints bureau noted')","(0.26315789473684215, 'authorities able conduct review due budgetary constraints')","(0.2410714285714286, 'follow up mission review progress iucn informed bureau invited japanese authorities able conduct review')","(0.2246376811594203, 'twentieth extraordinary session recalled time inscription shirakami sanchi yakushima committee requested follow up mission review progress')","(0.29729729729729726, 'able conduct review due budgetary constraints bureau noted mission re')","(0.2833333333333333, 'budgetary constraints bureau noted mission re scheduled n')","(0.2727272727272727, 'japanese authorities able conduct review due budgetary constraints')","(0.23880597014925375, 'up mission review progress iucn informed bureau invited')","(0.25757575757575757, 'japanese authorities able conduct review due budgetary constraints')","(0.3191489361702128, 'up mission review progress iucn informed bureau')","(0.2535211267605634, 'shirakami sanchi yakushima committee requested follow up mission review')","(0.28735632183908044, 'session recalled time inscription shirakami sanchi yakushima committee requested follow')","(0.31034482758620685, 'progress iucn informed bureau invited japanese authorities')","(0.2558139534883721, 'bureau twentieth extraordinary session recalled time inscription shirakami sanchi yakushima committee requested follow up mission')","(0.25217391304347825, 'informed bureau invited japanese authorities able conduct review due budgetary constraints bureau noted mission')","(0.25, 'review due budgetary constraints bureau noted mission re scheduled n')","(0.265625, 'up mission review progress iucn informed bureau invited japanese')","(0.24468085106382975, 'twentieth extraordinary session recalled time inscription shirakami sanchi yakushima committee')","(0.23703703703703705, 'up mission review progress iucn informed bureau invited japanese authorities able conduct review due budgetary constraints bureau')","(0.22307692307692306, 'up mission review progress iucn informed bureau invited japanese authorities able conduct review due budgetary constraints')","(0.2524271844660194, 'follow up mission review progress iucn informed bureau invited japanese authorities able conduct review')","(0.3111111111111111, 'review due budgetary constraints bureau noted')","(0.25773195876288657, 'follow up mission review progress iucn informed bureau invited japanese authorities able')","(0.28205128205128205, 'review progress iucn informed bureau invited japanese authorities able conduct')"
"Dec 2, 1996 SOC noted by Committee Lower Valley of the Awash Ethiopia","(0.31506849315068497, 'museum n eventual extension zone inscribed world heri tage')","(0.27419354838709675, 'tage list n n bureau took note secretariat s report encouraged centre research conservation cultural heritage')","(0.35, 'construction museum n eventual extension')","(0.3153153153153153, 'research conservation cultural heritage crcch implement above mentioned proposals keep world heritage committee')","(0.3380281690140845, 'research conservation cultural heritage crcch implement above mentioned')","(0.2936507936507936, 'report encouraged centre research conservation cultural heritage crcch implement above mentioned proposals keep world heritage')","(0.3125, 'heri tage list n')","(0.33333333333333337, 's report encouraged centre research conservation cultural heritage')","(0.32530120481927716, 'note secretariat s report encouraged centre research conservation cultural heritage')","(0.3448275862068966, 'crcch n construction museum n')","(0.29032258064516125, 'centre research conservation cultural heritage crcch implement')","(0.2946428571428571, 'provide better protection order enhance si te several measures recommended including the n n')","(0.2945736434108527, 'museum n eventual extension zone inscribed world heri tage list n n bureau took note secretariat')","(0.37209302325581395, 'research conservation cultural heritage crcch implement above mentioned proposals keep')","(0.352112676056338, 'research conservation cultural heritage crcch implement above mentioned')","(0.30000000000000004, 'fossils provide better protection order enhance si te')","(0.32835820895522383, 'guide crcch n construction museum n eventual extension')","(0.35185185185185186, 'better protection order enhance si te several measures')","(0.4, 'fossils provide better protection order enhance si')","(0.3513513513513513, 'note secretariat s report encouraged centre research conservation cultural')","(0.303030303030303, 'tage list n n bureau took note secretariat s report')","(0.40816326530612246, 'provide better protection order enhance si te')","(0.31034482758620685, 'provide better protection order enhance si te several measures recommended including the n n designation')","(0.30434782608695654, 'n n designation guide crcch n construction museum n eventual extension zone inscribed world')","(0.275, 'fossils provide better protection order enhance si te several measures')","(0.359375, 'museum n eventual extension zone inscribed world heri tage')","(0.31999999999999995, 'eventual extension zone inscribed world heri tage list n n')","(0.2962962962962963, 'the n n designation guide crcch n construction museum n eventual extension zone inscribed world heri tage')","(0.2846153846153846, 'the n n designation guide crcch n construction museum n eventual extension zone inscribed world heri')","(0.306930693069307, 'provide better protection order enhance si te several measures recommended including the n n')","(0.4423076923076923, 'centre research conservation cultural heritage crcch')","(0.2989690721649485, 'provide better protection order enhance si te several measures recommended including the')","(0.3421052631578947, 'better protection order enhance si te several measures recommended including')"
"Dec 2, 1996 SOC noted by Committee Ha Long Bay Vietnam","(0.34246575342465757, 'n bureau took note japan international cooperation agency jica')","(0.282258064516129, 'might damage directly indirectly cultural natural heritage situated territory states parties convention n bureau took note')","(0.4516129032258065, 'convention n bureau took note')","(0.3214285714285714, 'gather relevant information n bureau requested centre contact japanese vietnamese authorities obtain information')","(0.3846153846153846, 'parties convention not undertake deliberate measures might damage')","(0.328125, 'article convention commits states parties convention not undertake deliberate measures might damage directly indirectly cultural')","(0.3142857142857143, 'clarify contents background request')","(0.4, 'pro ect committee recalled article convention commits states')","(0.36, 'still studying pro ect committee recalled article convention commits states')","(0.4411764705882353, 'states parties convention n bureau')","(0.375, 'article convention commits states parties convention not')","(0.31896551724137934, 'study conducted order clarify contents background request vietnamese government gather relevant information n bureau')","(0.30434782608695654, 'committee recalled article convention commits states parties convention not undertake deliberate measures might damage directly indirectly')","(0.3294117647058824, 'parties convention not undertake deliberate measures might damage directly indirectly')","(0.3194444444444444, 'japan international cooperation agency jica planning draft environmental')","(0.33333333333333337, 'territory states parties convention n bureau took note')","(0.34328358208955223, 'threats integrity site due proposed development new port')","(0.31666666666666665, 'new port proposal issue license establishment large floating')","(0.4418604651162791, 'parties convention n bureau took note japan')","(0.3132530120481928, 'japan international cooperation agency jica planning draft environmental management')","(0.35365853658536583, 'took note japan international cooperation agency jica planning draft environmental')","(0.40816326530612246, 'convention n bureau took note japan international')","(0.3017241379310345, 'agencies considering supporting project amount us million noted japan still studying pro ect committee recalled')","(0.29565217391304344, 'project amount us million noted japan still studying pro ect committee recalled article convention')","(0.3058823529411765, 'parties convention not undertake deliberate measures might damage directly indirectly')","(0.46153846153846156, 'deliberate measures might damage directly indirectly cultural natural heritage')","(0.3548387096774194, 'japan international cooperation agency jica planning draft environmental management programme')","(0.30612244897959184, 'committee recalled article convention commits states parties convention not undertake deliberate measures might damage directly indirectly cultural')","(0.3161764705882353, 'project formulation study conducted order clarify contents background request vietnamese government gather relevant information n bureau')","(0.3873873873873874, 'took note japan international cooperation agency jica planning draft environmental management programme ha long')","(0.3913043478260869, 'gather relevant information n bureau requested')","(0.30927835051546393, 'project amount us million noted japan still studying pro ect committee recalled')","(0.36046511627906974, 'article convention commits states parties convention not undertake deliberate measures')"
