,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 27, 1989 Iguazu National Park Argentina  Iguazu National Park Brazil","(0.2804878048780488, 'satisfaction two states parties recently undertaken measures coordinate management')","(0.26315789473684215, 'measures coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative encourage states parties')","(0.2954545454545454, 'continue indicated separately world heritage')","(0.30188679245283023, 'suggestion iucn representative encourage states parties acceptance list waterfalls one name world heritage')","(0.352112676056338, 'suggestion iucn representative encourage states parties acceptance list')","(0.32089552238805974, 'bureau noted satisfaction two states parties recently undertaken measures coordinate management protection contiguous parks containing')","(0.33333333333333337, 'two states parties recently')","(0.33333333333333337, 'changed position matter two sites continue indicated separately')","(0.3263157894736842, 'contiguous parks containing famous waterfalls response suggestion iucn representative encourage')","(0.3421052631578947, 'government changed position matter two')","(0.28358208955223885, 'management protection contiguous parks containing famous waterfalls')","(0.3037037037037037, 'coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative encourage states')","(0.2695035460992907, 'bureau noted satisfaction two states parties recently undertaken measures coordinate management protection contiguous parks containing famous')","(0.34375, 'measures coordinate management protection contiguous parks containing famous waterfalls response')","(0.368421052631579, 'management protection contiguous parks containing famous waterfalls response')","(0.32894736842105265, 'management protection contiguous parks containing famous waterfalls response')","(0.3026315789473685, 'measures coordinate management protection contiguous parks containing famous')","(0.31999999999999995, 'waterfalls response suggestion iucn representative encourage states parties')","(0.37681159420289856, 'undertaken measures coordinate management protection contiguous parks')","(0.3414634146341463, 'satisfaction two states parties recently undertaken measures coordinate management')","(0.32558139534883723, 'suggestion iucn representative encourage states parties acceptance list waterfalls one')","(0.3538461538461538, 'contiguous parks containing famous waterfalls response suggestion')","(0.2857142857142857, 'recently undertaken measures coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative')","(0.28148148148148144, 'coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative encourage states')","(0.26315789473684215, 'contiguous parks containing famous waterfalls response suggestion iucn representative encourage')","(0.32183908045977017, 'measures coordinate management protection contiguous parks containing famous waterfalls')","(0.32608695652173914, 'management protection contiguous parks containing famous waterfalls response suggestion iucn')","(0.2883435582822086, 'measures coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative encourage states parties acceptance')","(0.29931972789115646, 'states parties recently undertaken measures coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn')","(0.3037037037037037, 'coordinate management protection contiguous parks containing famous waterfalls response suggestion iucn representative encourage states')","(0.38636363636363635, 'government changed position matter two sites')","(0.3017241379310345, 'recently undertaken measures coordinate management protection contiguous parks containing famous waterfalls response')","(0.3157894736842105, 'contiguous parks containing famous waterfalls response suggestion iucn representative encourage')"
"Jun 27, 1989 Manas Game Sanctuary India","(0.2650602409638554, 'authorities express concern situation encourage taking appropriate measures restore')","(0.27210884353741494, 'encroachment still resolved bureau requested secretariat contact indian authorities express concern situation encourage taking appropriate measures')","(0.34782608695652173, 'concern situation encourage taking appropriate')","(0.3025210084033614, 'bureau requested secretariat contact indian authorities express concern situation encourage taking appropriate measures')","(0.29729729729729726, 'requested secretariat contact indian authorities express concern situation')","(0.2536231884057971, 'encroachment still resolved bureau requested secretariat contact indian authorities express concern situation encourage taking appropriate')","(0.27586206896551724, 'lives indian authorities sent')","(0.3623188405797102, 'contact indian authorities express concern situation encourage taking')","(0.3296703296703297, 'requested secretariat contact indian authorities express concern situation encourage taking')","(0.3191489361702128, 'authorities express concern situation encourage')","(0.29824561403508776, 'sent police halt destruction problem illegal encroachment')","(0.2698412698412699, 'encroachment still resolved bureau requested secretariat contact indian authorities express concern situation encourage taking')","(0.274074074074074, 'indian authorities sent police halt destruction problem illegal encroachment still resolved bureau requested secretariat contact indian')","(0.23376623376623373, 'several lives indian authorities sent police halt destruction problem illegal')","(0.3466666666666667, 'authorities express concern situation encourage taking appropriate measures')","(0.28985507246376807, 'contact indian authorities express concern situation encourage taking')","(0.2702702702702703, 'requested secretariat contact indian authorities express concern situation')","(0.2666666666666667, 'authorities express concern situation encourage taking appropriate measures')","(0.33333333333333337, 'express concern situation encourage taking appropriate measures')","(0.2987012987012987, 'halt destruction problem illegal encroachment still resolved bureau requested')","(0.27586206896551724, 'problem illegal encroachment still resolved bureau requested secretariat contact indian')","(0.31746031746031744, 'concern situation encourage taking appropriate measures restore')","(0.265625, 'sent police halt destruction problem illegal encroachment still resolved bureau requested secretariat contact indian authorities')","(0.2834645669291339, 'bureau requested secretariat contact indian authorities express concern situation encourage taking appropriate measures restore')","(0.26436781609195403, 'problem illegal encroachment still resolved bureau requested secretariat contact indian')","(0.308641975308642, 'contact indian authorities express concern situation encourage taking appropriate')","(0.28888888888888886, 'contact indian authorities express concern situation encourage taking appropriate measures')","(0.2666666666666667, 'bureau noted site recently invaded several hundreds local people caused great damage park loss several lives indian')","(0.2615384615384615, 'people caused great damage park loss several lives indian authorities sent police halt destruction problem illegal')","(0.31896551724137934, 'sent police halt destruction problem illegal encroachment still resolved bureau requested secretariat contact indian')","(0.40740740740740744, 'authorities express concern situation encourage taking')","(0.23711340206185572, 'park loss several lives indian authorities sent police halt destruction problem illegal')","(0.30379746835443033, 'sent police halt destruction problem illegal encroachment still resolved bureau')"
"Jun 27, 1989 Mana Pools, Sani and Chewore Reserves Zimbabwe","(0.2597402597402597, 'however proposed oil exploration programme particularly light negative report')","(0.2571428571428571, 'national commission unesco bureau therefore requested secretariat convey concern highest government authorities zimbabwe well director mobil')","(0.32499999999999996, 'concern however proposed oil exploration')","(0.2777777777777778, 'bureau expressed great concern however proposed oil exploration programme particularly light negative report')","(0.295774647887324, 'secretariat convey concern highest government authorities zimbabwe well')","(0.24626865671641796, 'zimbabwe national commission unesco bureau therefore requested secretariat convey concern highest government authorities zimbabwe well')","(0.32352941176470584, 'populations bureau expressed great')","(0.27941176470588236, 'elephant populations bureau expressed great concern however proposed')","(0.28409090909090906, 'efforts protect remaining rhinoceros elephant populations bureau expressed great concern')","(0.38095238095238093, 'zimbabwe national commission unesco bureau')","(0.31343283582089554, 'requested secretariat convey concern highest government authorities')","(0.264, 'concern however proposed oil exploration programme particularly light negative report submitted secretariat zimbabwe national')","(0.2517482517482518, 'remaining rhinoceros elephant populations bureau expressed great concern however proposed oil exploration programme particularly light negative')","(0.2727272727272727, 'national commission unesco bureau therefore requested secretariat convey concern highest')","(0.3529411764705882, 'elephant populations bureau expressed great concern however proposed')","(0.24675324675324672, 'therefore requested secretariat convey concern highest government authorities')","(0.32499999999999996, 'zimbabwean authorities efforts protect remaining rhinoceros elephant populations')","(0.28378378378378377, 'efforts protect remaining rhinoceros elephant populations bureau expressed')","(0.32352941176470584, 'zimbabwean authorities efforts protect remaining rhinoceros elephant')","(0.3292682926829268, 'oil exploration programme particularly light negative report submitted secretariat')","(0.29670329670329665, 'oil exploration programme particularly light negative report submitted secretariat zimbabwe')","(0.37681159420289856, 'authorities efforts protect remaining rhinoceros elephant populations')","(0.2977099236641222, 'efforts protect remaining rhinoceros elephant populations bureau expressed great concern however proposed oil exploration programme')","(0.26717557251908397, 'particularly light negative report submitted secretariat zimbabwe national commission unesco bureau therefore requested secretariat')","(0.27380952380952384, 'elephant populations bureau expressed great concern however proposed oil exploration')","(0.2857142857142857, 'however proposed oil exploration programme particularly light negative report')","(0.27835051546391754, 'zimbabwean authorities efforts protect remaining rhinoceros elephant populations bureau expressed')","(0.27083333333333337, 'national commission unesco bureau therefore requested secretariat convey concern highest government authorities zimbabwe well director mobil oil')","(0.2777777777777778, 'zimbabwean authorities efforts protect remaining rhinoceros elephant populations bureau expressed great concern however proposed oil exploration')","(0.30400000000000005, 'concern however proposed oil exploration programme particularly light negative report submitted secretariat zimbabwe national')","(0.34090909090909094, 'expressed great concern however proposed oil')","(0.2952380952380952, 'rhinoceros elephant populations bureau expressed great concern however proposed oil exploration programme')","(0.3522727272727273, 'efforts protect remaining rhinoceros elephant populations bureau expressed great concern')"
"Jun 27, 1989 Ngorongoro Conservation Area Tanzania","(0.26027397260273977, 'world heritage fund situation site greatly improved bureau re')","(0.22580645161290325, 'site greatly improved bureau re considered matter agenda item concerning nominations exclusion list world heritage danger')","(0.3414634146341463, 'nominations exclusion list world heritage')","(0.2727272727272727, 'bureau re considered matter agenda item concerning nominations exclusion list world heritage danger')","(0.296875, 'item concerning nominations exclusion list world heritage danger')","(0.22807017543859653, 'site greatly improved bureau re considered matter agenda item concerning nominations exclusion list world heritage')","(0.30434782608695654, 'danger see paragraph xi')","(0.3125, 'item concerning nominations exclusion list world heritage danger')","(0.3076923076923077, 'matter agenda item concerning nominations exclusion list world heritage danger')","(0.36363636363636365, 'agenda item concerning nominations exclusion')","(0.27118644067796616, 'concerning nominations exclusion list world heritage danger')","(0.2410714285714286, 'bureau glad learn that thanks part support provided world heritage fund situation site greatly')","(0.21705426356589153, 'thanks part support provided world heritage fund situation site greatly improved bureau re considered matter agenda')","(0.2692307692307693, 'item concerning nominations exclusion list world heritage danger see paragraph')","(0.28125, 'item concerning nominations exclusion list world heritage danger')","(0.27419354838709675, 'matter agenda item concerning nominations exclusion list world')","(0.25373134328358204, 'world heritage fund situation site greatly improved bureau')","(0.28125, 'item concerning nominations exclusion list world heritage danger')","(0.34545454545454546, 'agenda item concerning nominations exclusion list world')","(0.29508196721311475, 'learn that thanks part support provided world heritage fund')","(0.2692307692307693, 'item concerning nominations exclusion list world heritage danger see paragraph')","(0.32258064516129037, 'considered matter agenda item concerning nominations exclusion')","(0.2586206896551724, 'support provided world heritage fund situation site greatly improved bureau re considered matter agenda item')","(0.30434782608695654, 'bureau re considered matter agenda item concerning nominations exclusion list world heritage danger see')","(0.30000000000000004, 'fund situation site greatly improved bureau re considered matter agenda')","(0.4225352112676056, 'matter agenda item concerning nominations exclusion list world heritage')","(0.24691358024691357, 'improved bureau re considered matter agenda item concerning nominations exclusion')","(0.24444444444444446, 'world heritage fund situation site greatly improved bureau re considered matter agenda item concerning nominations exclusion list')","(0.24615384615384617, 'thanks part support provided world heritage fund situation site greatly improved bureau re considered matter agenda')","(0.2407407407407407, 'heritage fund situation site greatly improved bureau re considered matter agenda item concerning nominations')","(0.36734693877551017, 'agenda item concerning nominations exclusion list')","(0.23711340206185572, 'that thanks part support provided world heritage fund situation site greatly improved')","(0.28, 'support provided world heritage fund situation site greatly improved bureau')"
"Jun 27, 1989 Mount Nimba Cxc3xb4te dIvoire  Guinea","(0.26027397260273977, 'undp project evaluating impact iron ore extraction natural values')","(0.24087591240875916, 'management plan would improve protective measures encourage socio economic development transition zone bureau nevertheless wished express')","(0.3191489361702128, 'encourage socio economic development transition')","(0.27522935779816515, 'management plan would improve protective measures encourage socio economic development transition zone bureau')","(0.3098591549295775, 'economic development transition zone bureau nevertheless wished express')","(0.2857142857142857, 'impact iron ore extraction natural values site elaborating integrated management plan would improve protective measures')","(0.3157894736842105, 'site elaborating integrated management')","(0.29166666666666663, 'elaborating integrated management plan would improve protective measures')","(0.2954545454545454, 'elaborating integrated management plan would improve protective measures encourage socio')","(0.3023255813953488, 'economic development transition zone bureau')","(0.29032258064516125, 'socio economic development transition zone bureau nevertheless')","(0.25, 'two year unesco undp project evaluating impact iron ore extraction natural values site elaborating')","(0.2713178294573644, 'mission site november resulted elaboration two year unesco undp project evaluating impact iron ore extraction natural')","(0.2567567567567568, 'elaboration two year unesco undp project evaluating impact iron ore')","(0.303030303030303, 'bureau noted preparatory assistance mission site november resulted')","(0.29166666666666663, 'encourage socio economic development transition zone bureau nevertheless')","(0.3055555555555556, 'protective measures encourage socio economic development transition zone')","(0.31818181818181823, 'bureau noted preparatory assistance mission site november resulted')","(0.34615384615384615, 'evaluating impact iron ore extraction natural values')","(0.28378378378378377, 'management plan would improve protective measures encourage socio economic')","(0.3012048192771084, 'extraction natural values site elaborating integrated management plan would improve')","(0.3448275862068966, 'would improve protective measures encourage socio economic')","(0.27692307692307694, 'site elaborating integrated management plan would improve protective measures encourage socio economic development transition zone')","(0.29268292682926833, 'improve protective measures encourage socio economic development transition zone bureau nevertheless wished express concern')","(0.25, 'elaboration two year unesco undp project evaluating impact iron ore')","(0.3076923076923077, 'undp project evaluating impact iron ore extraction natural values')","(0.31034482758620685, 'encourage socio economic development transition zone bureau nevertheless wished express')","(0.26206896551724135, 'management plan would improve protective measures encourage socio economic development transition zone bureau nevertheless wished express concern')","(0.26277372262773724, 'values site elaborating integrated management plan would improve protective measures encourage socio economic development transition zone')","(0.3278688524590164, 'management plan would improve protective measures encourage socio economic development transition zone bureau nevertheless')","(0.33333333333333337, 'november resulted elaboration two year unesco')","(0.22999999999999998, 'development transition zone bureau nevertheless wished express concern damage site suggested concern')","(0.30434782608695654, 'protective measures encourage socio economic development transition zone bureau nevertheless')"
"Jun 27, 1989 Nominations to the List of World Heritage in Danger","(0.2592592592592593, 'concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums')","(0.2222222222222222, 'mali wished preparatory assistance mission could organized view helping authorities concerned work appropriate nomination file timbuktu')","(0.3157894736842105, 'danger nomination file could presented')","(0.2755102040816326, 'cemeteries mausoleums list world heritage danger nomination file could presented one next sessions')","(0.30000000000000004, 'concerned work appropriate nomination file timbuktu mosques cemeteries')","(0.265625, 'helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list world heritage danger')","(0.303030303030303, 'bureau considered that government')","(0.3214285714285714, 'danger nomination file could presented one next sessions')","(0.295774647887324, 'world heritage danger nomination file could presented one next sessions')","(0.3513513513513513, 'heritage danger nomination file could')","(0.33333333333333337, 'authorities concerned work appropriate nomination file timbuktu')","(0.26315789473684215, 'work appropriate nomination file timbuktu mosques cemeteries mausoleums list world heritage danger nomination file')","(0.24460431654676262, 'helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list world heritage danger nomination')","(0.2702702702702703, 'danger nomination file could presented one next sessions bureau n')","(0.2941176470588235, 'bureau considered that government mali wished preparatory assistance')","(0.23611111111111116, 'organized view helping authorities concerned work appropriate nomination')","(0.29850746268656714, 'danger nomination file could presented one next sessions')","(0.3015873015873016, 'mali wished preparatory assistance mission could organized view')","(0.31746031746031744, 'authorities concerned work appropriate nomination file timbuktu')","(0.2962962962962963, 'concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums')","(0.32558139534883723, 'concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list')","(0.3389830508474576, 'cemeteries mausoleums list world heritage danger nomination')","(0.28125, 'helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list world heritage danger')","(0.26086956521739135, 'file timbuktu mosques cemeteries mausoleums list world heritage danger nomination file could presented one')","(0.275, 'danger nomination file could presented one next sessions bureau n')","(0.28395061728395066, 'concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums')","(0.2906976744186046, 'concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list')","(0.24822695035460995, 'mission could organized view helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list world')","(0.2615384615384615, 'mosques cemeteries mausoleums list world heritage danger nomination file could presented one next sessions bureau n')","(0.2644628099173554, 'helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries mausoleums list world heritage')","(0.31481481481481477, 'authorities concerned work appropriate nomination file')","(0.22935779816513757, 'preparatory assistance mission could organized view helping authorities concerned work appropriate nomination')","(0.28888888888888886, 'helping authorities concerned work appropriate nomination file timbuktu mosques cemeteries')"
"Jun 27, 1989 Requests for International Assistance","(0.2962962962962963, 'icomos secretariat provide information relevance cultural values inscription site')","(0.2447552447552448, 'subsequently session committee n bureau also considered desiderability revising criteria certain properties previously included order determine')","(0.34090909090909094, 'recommendations request since site inscribed')","(0.3211009174311926, 'gorge ngorongoro conservation area united republic tanzania n bureau however deferred recommendations request')","(0.39344262295081966, 'gorge ngorongoro conservation area united republic tanzania n')","(0.25373134328358204, 'equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic tanzania n bureau')","(0.29032258064516125, 'bureau reviewed another request')","(0.33333333333333337, 'site olduvai gorge ngorongoro conservation area united republic')","(0.3263157894736842, 'archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic')","(0.31707317073170727, 'gorge ngorongoro conservation area united')","(0.32727272727272727, 'ngorongoro conservation area united republic tanzania n')","(0.2706766917293233, 'request tanzania purchase equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united')","(0.2847222222222222, 'bureau also considered desiderability revising criteria certain properties previously included order determine whether cultural natural criteria')","(0.25806451612903225, 'though suggested icomos secretariat provide information relevance cultural values inscription')","(0.3278688524590164, 'gorge ngorongoro conservation area united republic tanzania n')","(0.3012048192771084, 'tanzania purchase equipment protecting archaeological palaeontological site olduvai')","(0.28358208955223885, 'gorge ngorongoro conservation area united republic tanzania n')","(0.3098591549295775, 'criteria bureau though suggested icomos secretariat provide information')","(0.3548387096774194, 'revising criteria certain properties previously included order')","(0.32352941176470584, 'conservation area united republic tanzania n bureau however deferred')","(0.30681818181818177, 'subsequently session committee n bureau also considered desiderability revising criteria')","(0.3389830508474576, 'recommendations request since site inscribed world heritage')","(0.28358208955223885, 'equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic tanzania n bureau')","(0.2755905511811023, 'equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic tanzania n')","(0.3232323232323232, 'another request tanzania purchase equipment protecting archaeological palaeontological site olduvai')","(0.41891891891891897, 'previously included order determine whether cultural natural criteria also')","(0.31000000000000005, 'equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area')","(0.2727272727272727, 'archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic tanzania n bureau however deferred recommendations request')","(0.27083333333333337, 'bureau also considered desiderability revising criteria certain properties previously included order determine whether cultural natural criteria')","(0.30827067669172936, 'request tanzania purchase equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united')","(0.42000000000000004, 'gorge ngorongoro conservation area united republic')","(0.25, 'equipment protecting archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic')","(0.3052631578947368, 'archaeological palaeontological site olduvai gorge ngorongoro conservation area united republic')"
"Jun 27, 1989 State of conservation of other natural properties","(0.3287671232876712, 'platano honduras manu national park peru ichkeul national park')","(0.2016129032258065, 'iucn representative also gave reports conservation status rio platano honduras manu national park peru ichkeul national')","(0.30000000000000004, 'conservation status rio platano honduras')","(0.35106382978723405, 'gave reports conservation status rio platano honduras manu national park peru ichkeul national')","(0.3548387096774194, 'reports conservation status rio platano honduras manu national')","(0.2222222222222222, 'honduras manu national park peru ichkeul national park tunisia sagarmatha nepal wood buffalo national park')","(0.3448275862068966, 'park tunisia sagarmatha nepal')","(0.3278688524590164, 'iucn representative also gave reports conservation status rio')","(0.2857142857142857, 'platano honduras manu national park peru ichkeul national park tunisia')","(0.36111111111111116, 'gave reports conservation status rio')","(0.3207547169811321, 'gave reports conservation status rio platano honduras')","(0.3035714285714286, 'gave reports conservation status rio platano honduras manu national park peru ichkeul national park')","(0.2713178294573644, 'platano honduras manu national park peru ichkeul national park tunisia sagarmatha nepal wood buffalo national park')","(0.2567567567567568, 'also gave reports conservation status rio platano honduras manu national')","(0.33870967741935487, 'reports conservation status rio platano honduras manu national')","(0.2666666666666667, 'status rio platano honduras manu national park peru')","(0.35820895522388063, 'reports conservation status rio platano honduras manu national')","(0.2586206896551724, 'also gave reports conservation status rio platano honduras')","(0.339622641509434, 'gave reports conservation status rio platano honduras')","(0.2941176470588235, 'ichkeul national park tunisia sagarmatha nepal wood buffalo national')","(0.2753623188405797, 'park peru ichkeul national park tunisia sagarmatha nepal wood buffalo')","(0.33333333333333337, 'conservation status rio platano honduras manu national')","(0.25, 'gave reports conservation status rio platano honduras manu national park peru ichkeul national park tunisia')","(0.26956521739130435, 'status rio platano honduras manu national park peru ichkeul national park tunisia sagarmatha nepal')","(0.25, 'reports conservation status rio platano honduras manu national park peru')","(0.26865671641791045, 'reports conservation status rio platano honduras manu national park')","(0.2533333333333333, 'status rio platano honduras manu national park peru ichkeul national')","(0.2518518518518519, 'reports conservation status rio platano honduras manu national park peru ichkeul national park tunisia sagarmatha nepal wood')","(0.2615384615384615, 'reports conservation status rio platano honduras manu national park peru ichkeul national park tunisia sagarmatha nepal')","(0.25742574257425743, 'gave reports conservation status rio platano honduras manu national park peru ichkeul national park')","(0.4772727272727273, 'gave reports conservation status rio platano')","(0.25773195876288657, 'gave reports conservation status rio platano honduras manu national park peru ichkeul')","(0.25, 'also gave reports conservation status rio platano honduras manu national')"
"Jun 27, 1989 NiokoloKoba National Park Senegal","(0.26190476190476186, 'contradictory conclusions made bureau expressed preference alternative route outside')","(0.24193548387096775, 'natural values niokolo shy koba inscribed world heritage list expressing bureau s strong preference alternative route')","(0.276595744680851, 'contradictory conclusions made bureau expressed')","(0.27884615384615385, 'would serve link isolated villages bureau requested secretariat prepare letter highest authority senegal')","(0.31034482758620685, 'project construct major highway across park would financed')","(0.2706766917293233, 'financed number development banks several impact studies contradictory conclusions made bureau expressed preference alternative route')","(0.34615384615384615, 'bureau s strong preference')","(0.33333333333333337, 'values niokolo koba would serve link isolated villages')","(0.28767123287671237, 'preserving natural values niokolo koba would serve link isolated villages')","(0.3555555555555555, 'studies contradictory conclusions made bureau')","(0.31999999999999995, 'niokolo koba would serve link isolated villages')","(0.2589285714285714, 'protect natural values niokolo shy koba inscribed world heritage list expressing bureau s strong')","(0.28682170542635654, 'natural values niokolo shy koba inscribed world heritage list expressing bureau s strong preference alternative route')","(0.2637362637362637, 'impact studies contradictory conclusions made bureau expressed preference alternative route')","(0.3013698630136986, 'number development banks several impact studies contradictory conclusions')","(0.2666666666666667, 'values niokolo koba would serve link isolated villages')","(0.34328358208955223, 'party s obligation protect natural values niokolo shy')","(0.3157894736842105, 'contradictory conclusions made bureau expressed preference alternative route')","(0.4042553191489362, 'state party s obligation protect natural values')","(0.3098591549295775, 'alternative route outside park north addition preserving natural values')","(0.29333333333333333, 'obligation protect natural values niokolo shy koba inscribed world heritage')","(0.34693877551020413, 's obligation protect natural values niokolo shy')","(0.26724137931034486, 'senegal recalling state party s obligation protect natural values niokolo shy koba inscribed world heritage')","(0.29565217391304344, 'letter highest authority senegal recalling state party s obligation protect natural values niokolo shy')","(0.2921348314606742, 'contradictory conclusions made bureau expressed preference alternative route outside park')","(0.30952380952380953, 'contradictory conclusions made bureau expressed preference alternative route outside')","(0.3522727272727273, 'would financed number development banks several impact studies contradictory conclusions')","(0.2789115646258503, 'would financed number development banks several impact studies contradictory conclusions made bureau expressed preference alternative route outside')","(0.2846153846153846, 'authority senegal recalling state party s obligation protect natural values niokolo shy koba inscribed world heritage')","(0.2845528455284553, 'studies contradictory conclusions made bureau expressed preference alternative route outside park north addition preserving')","(0.35, 'state party s obligation protect natural')","(0.2680412371134021, 'party s obligation protect natural values niokolo shy koba inscribed world heritage')","(0.27586206896551724, 'banks several impact studies contradictory conclusions made bureau expressed preference')"
"Jun 27, 1989 Sangay National Park Ecuador","(0.27710843373493976, 'cooperation support elaboration revised management plan addressing many conflicting')","(0.26206896551724135, 'ecuadorian authorities express concern proposed excision encourage draw request technical cooperation support elaboration revised management plan')","(0.34090909090909094, 'cooperation could submitted time examination')","(0.31858407079646023, 'proposal excise large section land settlement bureau requested secretariat contact ecuadorian authorities express')","(0.323943661971831, 'cooperation support elaboration revised management plan addressing many')","(0.3257575757575758, 'excision encourage draw request technical cooperation support elaboration revised management plan addressing many conflicting issues')","(0.3793103448275862, 'large section land settlement')","(0.295774647887324, 'ecuadorian authorities express concern proposed excision encourage draw')","(0.28888888888888886, 'cooperation support elaboration revised management plan addressing many conflicting issues')","(0.33333333333333337, 'addressing many conflicting issues park')","(0.3125, 'technical cooperation could submitted time examination committee')","(0.3023255813953488, 'contact ecuadorian authorities express concern proposed excision encourage draw request technical cooperation support elaboration')","(0.28260869565217395, 'large section land settlement bureau requested secretariat contact ecuadorian authorities express concern proposed excision encourage draw')","(0.2696629213483146, 'request technical cooperation support elaboration revised management plan addressing many')","(0.3026315789473685, 'secretariat contact ecuadorian authorities express concern proposed excision')","(0.29166666666666663, 'encourage draw request technical cooperation support elaboration revised')","(0.26865671641791045, 'proposal excise large section land settlement bureau requested')","(0.2676056338028169, 'ecuadorian authorities express concern proposed excision encourage draw')","(0.36923076923076925, 'technical cooperation support elaboration revised management plan')","(0.313953488372093, 'secretariat contact ecuadorian authorities express concern proposed excision encourage')","(0.3111111111111111, 'cooperation support elaboration revised management plan addressing many conflicting issues')","(0.4242424242424242, 'cooperation support elaboration revised management plan addressing')","(0.32539682539682535, 'request technical cooperation support elaboration revised management plan addressing many conflicting issues park bureau hoped')","(0.2704918032786885, 'express concern proposed excision encourage draw request technical cooperation support elaboration revised management plan')","(0.2674418604651163, 'express concern proposed excision encourage draw request technical cooperation support')","(0.3205128205128205, 'hoped request technical cooperation could submitted time examination committee')","(0.33333333333333337, 'cooperation support elaboration revised management plan addressing many conflicting issues')","(0.2808219178082192, 'proposed excision encourage draw request technical cooperation support elaboration revised management plan addressing many conflicting issues park')","(0.2836879432624113, 'proposed excision encourage draw request technical cooperation support elaboration revised management plan addressing many conflicting issues')","(0.33333333333333337, 'request technical cooperation support elaboration revised management plan addressing many conflicting issues park bureau')","(0.40740740740740744, 'draw request technical cooperation support elaboration')","(0.2666666666666667, 'proposal excise large section land settlement bureau requested secretariat contact ecuadorian authorities')","(0.34444444444444444, 'cooperation support elaboration revised management plan addressing many conflicting issues')"
