,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 1, 1997 SOC Old City of Dubrovnik Croatia","(0.3294117647058824, 'examination state conservation dubrovnik requested croatian authorities submit report')","(0.2517482517482518, 'decided defer examination state conservation dubrovnik requested croatian authorities submit report state conservation april examination twenty')","(0.3555555555555555, 'conservation city croatian authorities inform')","(0.3203883495145631, 'state conservation city croatian authorities inform bureau committee findings n committee decided defer')","(0.4, 'review state conservation city croatian authorities inform bureau')","(0.29104477611940294, 'committee considerable progress made reconstruction restoration dubrovnik expert committee meet january review state conservation city')","(0.29032258064516125, 'dubrovnik expert committee meet')","(0.33333333333333337, 'authorities submit report state conservation april examination twenty')","(0.31818181818181823, 'requested croatian authorities submit report state conservation april examination twenty')","(0.3695652173913043, 'defer examination state conservation dubrovnik')","(0.3098591549295775, 'examination state conservation dubrovnik requested croatian authorities')","(0.2890625, 'defer examination state conservation dubrovnik requested croatian authorities submit report state conservation april examination')","(0.2797202797202797, 'decided defer examination state conservation dubrovnik requested croatian authorities submit report state conservation april examination twenty')","(0.2857142857142857, 'made reconstruction restoration dubrovnik expert committee meet january review state')","(0.4, 'review state conservation city croatian authorities inform bureau')","(0.30000000000000004, 'considerable progress made reconstruction restoration dubrovnik expert committee')","(0.3380281690140845, 'made reconstruction restoration dubrovnik expert committee meet january')","(0.2816901408450704, 'made reconstruction restoration dubrovnik expert committee meet january')","(0.39655172413793105, 'review state conservation city croatian authorities inform')","(0.3013698630136986, 'conservation city croatian authorities inform bureau committee findings n')","(0.3493975903614458, 'conservation city croatian authorities inform bureau committee findings n committee')","(0.38983050847457623, 'conservation april examination twenty second session bureau')","(0.2666666666666667, 'defer examination state conservation dubrovnik requested croatian authorities submit report state conservation april examination twenty')","(0.2936507936507936, 'conservation dubrovnik requested croatian authorities submit report state conservation april examination twenty second session')","(0.2637362637362637, 'examination state conservation dubrovnik requested croatian authorities submit report state')","(0.34883720930232553, 'conservation dubrovnik requested croatian authorities submit report state conservation')","(0.2934782608695652, 'conservation dubrovnik requested croatian authorities submit report state conservation april')","(0.26315789473684215, 'informed committee considerable progress made reconstruction restoration dubrovnik expert committee meet january review state conservation city croatian')","(0.2727272727272727, 'informed committee considerable progress made reconstruction restoration dubrovnik expert committee meet january review state conservation city')","(0.328125, 'defer examination state conservation dubrovnik requested croatian authorities submit report state conservation april examination')","(0.4509803921568627, 'review state conservation city croatian authorities')","(0.23853211009174313, 'dubrovnik croatia n delegate croatia informed committee considerable progress made reconstruction restoration')","(0.3132530120481928, 'conservation city croatian authorities inform bureau committee findings n committee')"
"Dec 1, 1997 SOC Plitvice Lakes National Park Croatia","(0.31506849315068497, 'vii plitvice lakes national park croatia n n committee')","(0.2661290322580645, 'park croatia n n committee recalled last session merida decided retain site list world heritage danger')","(0.31818181818181823, 'committee invited croatia nominate extension')","(0.327433628318584, 'dated september croatian permanent delegate unesco n committee commended croatian authorities undertaken measures')","(0.3188405797101449, 'nominate extension using standard nomination procedures set paragraph')","(0.2695035460992907, 'expedite reconstruction sewage system accordance paragraph operational guidelines committee invited croatia nominate extension using standard')","(0.375, 'lakes longer remain list')","(0.36, 'lakes national park croatia n n committee recalled')","(0.3384615384615385, 'vii plitvice lakes national park croatia n n committee recalled')","(0.35, 'using standard nomination procedures set')","(0.34328358208955223, 'standard nomination procedures set paragraph operational guidelines')","(0.3007518796992481, 'heritage danger committee requested park management expedite reconstruction sewage system accordance paragraph operational guidelines')","(0.3112582781456954, 'paragraph operational guidelines committee invited croatia nominate extension using standard nomination procedures set paragraph operational guidelines')","(0.32432432432432434, 'lakes national park croatia n n committee recalled last session')","(0.33333333333333337, 'management expedite reconstruction sewage system accordance paragraph operational')","(0.33766233766233766, 'paragraph operational guidelines committee invited croatia nominate extension')","(0.29850746268656714, 'june commended park authorities increased total area park')","(0.2931034482758621, 'increased total area park include entire underground basin')","(0.31746031746031744, 'requested park management expedite reconstruction sewage system')","(0.32352941176470584, 'increased total area park include entire underground basin supplying')","(0.308641975308642, 'committee commended croatian authorities undertaken measures repair damage park s')","(0.3666666666666667, 'nomination procedures set paragraph operational guidelines n')","(0.3161764705882353, 'system accordance paragraph operational guidelines committee invited croatia nominate extension using standard nomination procedures set')","(0.28695652173913044, 'lakes streams park admitted managed visitors using educational guided tours construction new sewage system')","(0.30000000000000004, 'last session merida decided retain site list world heritage danger')","(0.3291139240506329, 'committee commended croatian authorities undertaken measures repair damage park')","(0.28735632183908044, 'september croatian permanent delegate unesco n committee commended croatian authorities')","(0.28888888888888886, 'system commence soon director s view plitvice lakes longer remain list world heritage danger endorsed via letter')","(0.2846153846153846, 'park croatia n n committee recalled last session merida decided retain site list world heritage danger')","(0.303030303030303, 'system accordance paragraph operational guidelines committee invited croatia nominate extension using standard nomination procedures')","(0.37209302325581395, 'guided tours construction new sewage system')","(0.2592592592592593, 'operational guidelines committee invited croatia nominate extension using standard nomination procedures set')","(0.30666666666666664, 'first ordinary session held june commended park authorities increased total')"
"Dec 1, 1997 SOC Sangay National Park Ecuador","(0.31645569620253167, 'colonisation call environmental impact assessment eia road construction project')","(0.2518518518518519, 'ecuador n last session merida committee reiterated concerns regarding road construction poaching colonisation call environmental impact')","(0.38095238095238093, 'colonisation small scale mining activities')","(0.36111111111111116, 'informed colonisation small scale mining activities stopped new management plan nearing finalisation several')","(0.3382352941176471, 'construction road currently paralyzed impact studies still completed')","(0.30000000000000004, 'informed colonisation small scale mining activities stopped new management plan nearing finalisation several conservation projects')","(0.38235294117647056, 'collaboration iucn agreement state')","(0.33783783783783783, 'reiterated concerns regarding road construction poaching colonisation call')","(0.29729729729729726, 'project bureau twenty first session june informed colonisation small scale')","(0.41025641025641024, 'site stated construction road currently')","(0.30645161290322576, 'poaching colonisation call environmental impact assessment eia')","(0.3303571428571429, 'several conservation projects funded wwf begun n committee decided retain sangay national park list')","(0.28888888888888886, 'ecuador n last session merida committee reiterated concerns regarding road construction poaching colonisation call environmental impact')","(0.2777777777777778, 'regarding road construction poaching colonisation call environmental impact assessment eia')","(0.328125, 'site stated construction road currently paralyzed impact studies')","(0.29333333333333333, 'regarding road construction poaching colonisation call environmental impact')","(0.34328358208955223, 'several conservation projects funded wwf begun n committee')","(0.3125, 'centre collaboration iucn agreement state party possible support')","(0.40816326530612246, 'eia road construction project bureau twenty first')","(0.3114754098360656, 'sangay national park list world heritage danger urged centre')","(0.32258064516129037, 'construction poaching colonisation call environmental impact assessment eia road construction')","(0.4, 'conservation projects funded wwf begun n committee')","(0.2846153846153846, 'regarding road construction poaching colonisation call environmental impact assessment eia road construction project bureau twenty')","(0.31200000000000006, 'committee reiterated concerns regarding road construction poaching colonisation call environmental impact assessment eia road')","(0.28421052631578947, 'reiterated concerns regarding road construction poaching colonisation call environmental impact')","(0.34090909090909094, 'reiterated concerns regarding road construction poaching colonisation call environmental')","(0.3655913978494624, 'construction poaching colonisation call environmental impact assessment eia road construction')","(0.31506849315068497, 'ecuador n last session merida committee reiterated concerns regarding road construction poaching colonisation call environmental impact assessment')","(0.30597014925373134, 'colonisation call environmental impact assessment eia road construction project bureau twenty first session june informed colonisation')","(0.3620689655172413, 'poaching colonisation call environmental impact assessment eia road construction project bureau twenty first session')","(0.44680851063829785, 'assessment eia road construction project bureau')","(0.2680412371134021, 'funded wwf begun n committee decided retain sangay national park list world')","(0.34246575342465757, 'national park ecuador n last session merida committee reiterated concerns')"
"Dec 1, 1997 SOC Rockhewn Churches of Lalibela Ethiopia","(0.375, 'attention local population international opinion emphasized temporary character shelters')","(0.28873239436619713, 'ethiopian authorities requested european union inform world heritage centre international competition foreseen erection five shelters lalibela')","(0.3695652173913043, 'conservation plan would accordance traditional')","(0.3513513513513513, 'supported conservation plan would accordance traditional techniques n committee n thanked ethiopian authorities')","(0.40625, 'n endorsed conservation programme prepared unesco whc consultant')","(0.3114754098360656, 'whc consultant n underlined importance integrated preservation long term management plan site endangered new environmental')","(0.33333333333333337, 'plan also foreseen director')","(0.3661971830985915, 'shelters shall constructed supported conservation plan would accordance')","(0.32978723404255317, 'shelters shall constructed supported conservation plan would accordance traditional techniques')","(0.3783783783783784, 'initiatives conservation field psic n')","(0.34328358208955223, 'supported conservation plan would accordance traditional techniques')","(0.3407407407407408, 'emphasized importance given preservation informed committee european commission prepared release important funds construction temporary')","(0.2847222222222222, 'draw plan action approved conservation programme requested ethiopian authorities european union programme support initiatives conservation field')","(0.31000000000000005, 'population international opinion emphasized temporary character shelters shall constructed supported')","(0.3614457831325302, 'site object international safeguarding campaign recalling principal characteristics')","(0.3246753246753247, 'contributions european commission shall initiate hydro geological geophysical')","(0.34328358208955223, 'furthermore site object increased tourism development long term')","(0.3384615384615385, 'long term protection monuments within context ecosystem integrate')","(0.42553191489361697, 'to ensure long term protection monuments within')","(0.3555555555555555, 'international safeguarding campaign recalling principal characteristics rock hewn churches')","(0.39, 'population international opinion emphasized temporary character shelters shall constructed supported')","(0.4, 'conservation programme prepared unesco whc consultant n')","(0.31007751937984496, 'interest committee regard conservation enhancement whole site deserves also full attention local population international opinion')","(0.29230769230769227, 'site object international safeguarding campaign recalling principal characteristics rock hewn churches lalibela considered overall')","(0.303030303030303, 'contributions european commission shall initiate hydro geological geophysical geological structural')","(0.390625, 'consultant icomos view preserving world heritage value site n')","(0.35526315789473684, 'object increased tourism development long term management plan also foreseen')","(0.2962962962962963, 'heritage centre organise mission lalibela end january review situation ethiopian authorities european union order to ensure long')","(0.29333333333333333, 'preservation informed committee european commission prepared release important funds construction temporary shelters protect five churches degradation')","(0.35820895522388063, 'full attention local population international opinion emphasized temporary character shelters shall constructed supported conservation')","(0.44680851063829785, 'site n endorsed conservation programme prepared')","(0.2727272727272727, 'unesco s appreciation contributions european commission shall initiate hydro geological geophysical geological')","(0.33684210526315794, 'importance given preservation informed committee european commission prepared release important')"
"Dec 1, 1997 SOC Sun Temple of Konarak India","(0.348314606741573, 'unesco mobilize additional international cooperation ascertain present condition property')","(0.2953020134228188, 'requested government india keep secretariat informed meantime enable unesco mobilize additional international cooperation ascertain present condition')","(0.3125, 'cooperation ascertain present condition property')","(0.31707317073170727, 'additional international cooperation ascertain present condition property undertake corrective measures required n observer')","(0.32530120481927716, 'additional international cooperation ascertain present condition property undertake')","(0.291970802919708, 'additional international cooperation ascertain present condition property undertake corrective measures required n observer india thanked')","(0.3548387096774194, 'support efforts made government')","(0.31343283582089554, 'present condition property undertake corrective measures required n')","(0.303030303030303, 'unesco mobilize additional international cooperation ascertain present condition property undertake')","(0.35, 'undertake corrective measures required n')","(0.36111111111111116, 'international cooperation ascertain present condition property undertake')","(0.3023255813953488, 'additional international cooperation ascertain present condition property undertake corrective measures required n observer india')","(0.3012820512820513, 'secretariat informed meantime enable unesco mobilize additional international cooperation ascertain present condition property undertake corrective measures')","(0.29268292682926833, 'present condition property undertake corrective measures required n observer india')","(0.31343283582089554, 'present condition property undertake corrective measures required n')","(0.3012048192771084, 'additional international cooperation ascertain present condition property undertake')","(0.3373493975903614, 'additional international cooperation ascertain present condition property undertake')","(0.3076923076923077, 'committee took note report secretariat requested government india')","(0.375, 'international cooperation ascertain present condition property undertake')","(0.3448275862068966, 'cooperation ascertain present condition property undertake corrective measures required')","(0.36363636363636365, 'unesco mobilize additional international cooperation ascertain present condition property undertake')","(0.3835616438356164, 'mobilize additional international cooperation ascertain present condition')","(0.35766423357664234, 'additional international cooperation ascertain present condition property undertake corrective measures required n observer india thanked')","(0.27941176470588236, 'secretariat informed meantime enable unesco mobilize additional international cooperation ascertain present condition property undertake')","(0.2912621359223301, 'additional international cooperation ascertain present condition property undertake corrective measures')","(0.37662337662337664, 'government india report findings structural studies undertaken world heritage')","(0.348314606741573, 'cooperation ascertain present condition property undertake corrective measures required n')","(0.32727272727272727, 'secretariat informed meantime enable unesco mobilize additional international cooperation ascertain present condition property undertake corrective measures required')","(0.28846153846153844, 'secretariat informed meantime enable unesco mobilize additional international cooperation ascertain present condition property undertake corrective measures')","(0.33333333333333337, 'additional international cooperation ascertain present condition property undertake corrective measures required n observer india')","(0.3846153846153846, 'grant twenty second session bureau june')","(0.2894736842105263, 'additional international cooperation ascertain present condition property undertake corrective measures required n')","(0.3398058252427184, 'additional international cooperation ascertain present condition property undertake corrective measures')"
"Dec 1, 1997 SOC Srebarna Nature Reserve Bulgaria","(0.28915662650602414, 'committee recalled nineteenth session berlin requested bulgarian authorities submit')","(0.25, 'bulgaria n committee recalled nineteenth session berlin requested bulgarian authorities submit threat mitigation status report committee')","(0.30434782608695654, 'consideration committee next session committee')","(0.30188679245283023, 'measures consideration committee next session committee decided retain srebarna list world heritage danger')","(0.3571428571428571, 'consideration committee next session committee decided retain srebarna')","(0.2966101694915254, 'threat mitigation status report committee requested state party submit september status report measures taken mitigate')","(0.31034482758620685, 'party submit september status')","(0.34375, 'submit threat mitigation status report committee requested state')","(0.31034482758620685, 'review report recommend measures consideration committee next session committee decided')","(0.34042553191489366, 'recommend measures consideration committee next')","(0.3076923076923077, 'recommend measures consideration committee next session committee')","(0.26890756302521013, 'committee requested iucn review report recommend measures consideration committee next session committee decided retain')","(0.25384615384615383, 'review report recommend measures consideration committee next session committee decided retain srebarna list world heritage danger')","(0.2359550561797753, 'recommend measures consideration committee next session committee decided retain srebarna')","(0.31506849315068497, 'recommend measures consideration committee next session committee decided')","(0.28985507246376807, 'review report recommend measures consideration committee next session')","(0.29850746268656714, 'report committee requested state party submit september status')","(0.2833333333333333, 'committee decided retain srebarna list world heritage danger')","(0.33333333333333337, 'measures consideration committee next session committee decided')","(0.2727272727272727, 'next session committee decided retain srebarna list world heritage')","(0.32098765432098764, 'consideration committee next session committee decided retain srebarna list world')","(0.3384615384615385, 'recommend measures consideration committee next session committee')","(0.24444444444444446, 'committee recalled nineteenth session berlin requested bulgarian authorities submit threat mitigation status report committee requested')","(0.26086956521739135, 'review report recommend measures consideration committee next session committee decided retain srebarna list world')","(0.26249999999999996, 'next session committee decided retain srebarna list world heritage danger')","(0.31818181818181823, 'next session committee decided retain srebarna list world heritage')","(0.29761904761904767, 'requested iucn review report recommend measures consideration committee next session')","(0.24137931034482762, 'nineteenth session berlin requested bulgarian authorities submit threat mitigation status report committee requested state party submit september')","(0.24615384615384617, 'taken mitigate threats site n committee requested iucn review report recommend measures consideration committee next session')","(0.31932773109243695, 'committee requested iucn review report recommend measures consideration committee next session committee decided retain')","(0.34545454545454546, 'recommend measures consideration committee next session')","(0.22857142857142854, 'session berlin requested bulgarian authorities submit threat mitigation status report committee requested')","(0.2808988764044944, 'recommend measures consideration committee next session committee decided retain srebarna')"
"Dec 1, 1997 SOC Mount Nimba Strict Nature Reserve GuineaCxc3xb4te dIvoire","(0.3287671232876712, 'merida unesco s office international standards legal affairs office')","(0.27819548872180455, 's office international standards legal affairs office considering proposal setting international foundation mount nimba bureau twenty')","(0.3589743589743589, 'could set national legislation suitable')","(0.3047619047619048, 'following example foundation established banc d arguin mauritania switzerland however bureau noted mining')","(0.31343283582089554, 'contact relevant mining companies know details interest willingness')","(0.2589285714285714, 'first session june informed foundation cannot created unesco could set national legislation suitable state party')","(0.3448275862068966, 'party centre contact relevant')","(0.33870967741935487, 'requested state party centre contact relevant mining companies')","(0.30952380952380953, 'retained list world heritage danger committee furthermore noted technical assistance')","(0.32558139534883723, 'international foundation mount nimba bureau')","(0.3090909090909091, 'example foundation established banc d arguin mauritania')","(0.3482142857142857, 'te d ivoire n committee recalled time last session merida unesco s office international')","(0.3023255813953488, 'ocirc te d ivoire n committee recalled time last session merida unesco s office international standards')","(0.28395061728395066, 'proposal setting international foundation mount nimba bureau twenty first session')","(0.31343283582089554, 'example foundation established banc d arguin mauritania switzerland')","(0.273972602739726, 'international standards legal affairs office considering proposal setting')","(0.31343283582089554, 'could set national legislation suitable state party following')","(0.31481481481481477, 'mount nimba list world heritage danger requested state')","(0.3653846153846154, 'unesco could set national legislation suitable state')","(0.42028985507246375, 'international foundation mount nimba bureau twenty first session june')","(0.345679012345679, 'proposal setting international foundation mount nimba bureau twenty first session')","(0.34545454545454546, 'set national legislation suitable state party following')","(0.26724137931034486, 'guinea c ocirc te d ivoire n committee recalled time last session merida unesco s')","(0.28695652173913044, 'provided site n committee decided retain mount nimba list world heritage danger requested state')","(0.275, 'nature reserve guinea c ocirc te d ivoire n committee')","(0.328125, 'n committee decided retain mount nimba list world heritage')","(0.2962962962962963, 'contribute fund yet ready launch initiative minister environment guinea requested')","(0.28148148148148144, 'nature reserve guinea c ocirc te d ivoire n committee recalled time last session merida unesco s')","(0.29230769230769227, 'nature reserve guinea c ocirc te d ivoire n committee recalled time last session merida unesco')","(0.3168316831683168, 'guinea c ocirc te d ivoire n committee recalled time last session merida unesco')","(0.33333333333333337, 'could set national legislation suitable state')","(0.27835051546391754, 'provided site n committee decided retain mount nimba list world heritage danger')","(0.31081081081081086, 'bureau twenty first session june informed foundation cannot created unesco')"
"Dec 1, 1997 SOC Rio Platano Biosphere Reserve Honduras","(0.28767123287671237, 'conservation rio platano committee retained site list world heritage')","(0.29032258064516125, 'vii rio platano biosphere reserve honduras n committee last session merida included site list world heritage')","(0.39534883720930236, 'conservation rio platano committee retained')","(0.3302752293577982, 'programme strengthening conservation rio platano committee retained site list world heritage danger requested')","(0.375, 'programme strengthening conservation rio platano committee retained site')","(0.2755905511811023, 'action plan endorsed minister environment honduras sub secretary environment honduras via letter september provided description')","(0.34375, 'heritage danger requested centre')","(0.3142857142857143, 'large scale programme strengthening conservation rio platano committee')","(0.2857142857142857, 'large scale programme strengthening conservation rio platano committee retained site')","(0.37209302325581395, 'minister environment honduras sub secretary')","(0.32258064516129037, 'strengthening conservation rio platano committee retained site')","(0.2767857142857143, 'n committee last session merida included site list world heritage danger requested state party')","(0.2558139534883721, 'reserve honduras n committee last session merida included site list world heritage danger requested state party')","(0.27380952380952384, 'endorsed minister environment honduras sub secretary environment honduras via letter')","(0.3472222222222222, 'programme strengthening conservation rio platano committee retained site')","(0.3285714285714286, 'large scale programme strengthening conservation rio platano committee')","(0.32835820895522383, 'point corrective action plan endorsed minister environment honduras')","(0.30188679245283023, 'site list world heritage danger requested state party')","(0.38888888888888884, 'implement eleven point corrective action plan endorsed')","(0.3382352941176471, 'conservation rio platano committee retained site list world heritage')","(0.3466666666666667, 'conservation rio platano committee retained site list world heritage danger')","(0.34426229508196726, 'corrective action plan endorsed minister environment honduras')","(0.2846153846153846, 'programme strengthening conservation rio platano committee retained site list world heritage danger requested centre collaboration')","(0.26086956521739135, 'vii rio platano biosphere reserve honduras n committee last session merida included site list')","(0.2875, 'plan site visit early review state conservation rio platano n')","(0.38235294117647056, 'conservation rio platano committee retained site list world heritage')","(0.3950617283950617, 'point corrective action plan endorsed minister environment honduras sub secretary')","(0.2962962962962963, 'last session merida included site list world heritage danger requested state party implement eleven point corrective action')","(0.32307692307692304, 'danger requested state party implement eleven point corrective action plan endorsed minister environment honduras sub secretary')","(0.31858407079646023, 'eleven point corrective action plan endorsed minister environment honduras sub secretary environment honduras via')","(0.4651162790697675, 'early review state conservation rio platano')","(0.27835051546391754, 'requested centre collaboration iucn plan site visit early review state conservation rio')","(0.32098765432098764, 'point corrective action plan endorsed minister environment honduras sub secretary')"
"Dec 1, 1997 SOC Royal Palaces of Abomey Benin","(0.36986301369863017, 'site living culture international meeting present past future royal')","(0.28148148148148144, 'taking account report s recommendations conclusions above mentioned meeting other co ordinate international technical financial support')","(0.5227272727272727, 'n iv consideration anthropological dimension')","(0.33333333333333337, 'committee draft conservation enhancement plan whole site taking account report s recommendations conclusions')","(0.375, 'november elaboration conservation plan n committee invited benin')","(0.28688524590163933, 'site taking account report s recommendations conclusions above mentioned meeting other co ordinate international technical')","(0.36363636363636365, 'palaces abomey benin n')","(0.3623188405797102, 'recommendations conclusions above mentioned meeting other co ordinate')","(0.32530120481927716, 'efforts present twenty second session committee draft conservation enhancement plan')","(0.33333333333333337, 'session committee draft conservation enhancement')","(0.33870967741935487, 'together international governmental organizations n vi request')","(0.31200000000000006, 'abomey held abomey september bringing together international governmental organizations n vi request international assistance')","(0.2867647058823529, 'recommendations conclusions above mentioned meeting other co ordinate international technical financial support site could still benefit')","(0.2954545454545454, 'abomey september bringing together international governmental organizations n vi request')","(0.3472222222222222, 'vi request international assistance presented benin november elaboration')","(0.42666666666666664, 'representatives royal families n iv consideration anthropological dimension')","(0.2987012987012987, 'abomey september bringing together international governmental organizations n')","(0.33333333333333337, 'vi request international assistance presented benin november elaboration')","(0.3728813559322034, 's recommendations conclusions above mentioned meeting other')","(0.3827160493827161, 'international assistance presented benin november elaboration conservation plan n')","(0.3717948717948718, 'co ordinate international technical financial support site could still benefit')","(0.368421052631579, 'documentation n ii elaboration maintenance plan buildings')","(0.3555555555555555, 'international governmental organizations n vi request international assistance presented benin november elaboration conservation plan n')","(0.2833333333333333, 'report s recommendations conclusions above mentioned meeting other co ordinate international technical financial support')","(0.30000000000000004, 'vi request international assistance presented benin november elaboration conservation plan')","(0.37349397590361444, 'recommendations conclusions above mentioned meeting other co ordinate international')","(0.3548387096774194, 'recommendations conclusions above mentioned meeting other co ordinate international technical')","(0.28888888888888886, 'benin n taken note amount work accomplished site n collection analysis documentation n ii elaboration maintenance plan')","(0.2715231788079471, 'bringing together international governmental organizations n vi request international assistance presented benin november elaboration conservation plan')","(0.3308270676691729, 'international governmental organizations n vi request international assistance presented benin november elaboration conservation plan')","(0.43137254901960786, 'committee draft conservation enhancement plan whole')","(0.2941176470588235, 'report s recommendations conclusions above mentioned meeting other co ordinate international technical')","(0.30000000000000004, 'draft conservation enhancement plan whole site taking account report s')"
"Dec 1, 1997 SOC Tyre Lebanon","(0.273972602739726, 'vii tyre lebanon n noting directorate general antiquities already')","(0.2569444444444444, 'city tyre committee reminded lebanese authorities secretariat already stated willingness contribute technically preparation similar master plans')","(0.41025641025641024, 'plan covering archaeological zones tyre')","(0.3471074380165289, 'carried series conservation activities concerned regard existing threats committee commended lebanese authorities quality')","(0.3857142857142857, 'contribute technically preparation similar master plans world heritage')","(0.2846715328467153, 'carried series conservation activities concerned regard existing threats committee commended lebanese authorities quality protection work')","(0.28125, 'preparation master plan covering')","(0.35526315789473684, 'general antiquities already carried series conservation activities concerned')","(0.34736842105263155, 'noting directorate general antiquities already carried series conservation activities concerned')","(0.32352941176470584, 'paid rapid preparation master plan')","(0.3088235294117647, 'successfully recommended particular attention paid rapid preparation')","(0.2954545454545454, 'carried series conservation activities concerned regard existing threats committee commended lebanese authorities quality protection')","(0.2896551724137931, 'already carried series conservation activities concerned regard existing threats committee commended lebanese authorities quality protection work')","(0.27956989247311825, 'series conservation activities concerned regard existing threats committee commended lebanese')","(0.33783783783783783, 'series conservation activities concerned regard existing threats committee')","(0.328125, 'rapid preparation master plan covering archaeological zones tyre')","(0.31645569620253167, 'authorities quality protection work carried successfully recommended particular')","(0.31645569620253167, 'authorities quality protection work carried successfully recommended particular')","(0.3548387096774194, 'commended lebanese authorities quality protection work carried')","(0.323943661971831, 'lebanon n noting directorate general antiquities already carried series')","(0.30952380952380953, 'lebanon n noting directorate general antiquities already carried series conservation')","(0.3731343283582089, 'conservation activities concerned regard existing threats committee')","(0.303030303030303, 'plan covering archaeological zones tyre surroundings including city tyre committee reminded lebanese authorities secretariat already')","(0.2644628099173554, 'quality protection work carried successfully recommended particular attention paid rapid preparation master plan covering')","(0.34782608695652173, 'protection work carried successfully recommended particular attention paid rapid preparation')","(0.381578947368421, 'contribute technically preparation similar master plans world heritage sites')","(0.3085106382978723, 'authorities quality protection work carried successfully recommended particular attention paid')","(0.32515337423312884, 'activities concerned regard existing threats committee commended lebanese authorities quality protection work carried successfully recommended particular attention')","(0.28378378378378377, 'noting directorate general antiquities already carried series conservation activities concerned regard existing threats committee commended lebanese')","(0.3282442748091603, 'commended lebanese authorities quality protection work carried successfully recommended particular attention paid rapid preparation')","(0.4363636363636364, 'carried series conservation activities concerned regard')","(0.2621359223300971, 'particular attention paid rapid preparation master plan covering archaeological zones tyre surroundings')","(0.33333333333333337, 'threats committee commended lebanese authorities quality protection work carried successfully')"
