,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jul 25, 2010 ChampanerPavagadh Archaeological Park India C 1101","(0.28915662650602414, 'state conservation property implementation decision taken session examination world')","(0.25, 'party submit world heritage centre february updated report state conservation property implementation decision taken session examination')","(0.33333333333333337, 'conservation property implementation decision taken')","(0.29591836734693877, 'state party submit state conservation report adopted management plan requested sessions n requests')","(0.3484848484848485, 'submit state conservation report adopted management plan requested')","(0.2831858407079646, 'state conservation report adopted management plan requested sessions n requests state party submit world heritage')","(0.30000000000000004, 'report adopted management plan')","(0.33333333333333337, 'state party submit state conservation report adopted management')","(0.32608695652173914, 'state conservation property implementation decision taken session examination world heritage')","(0.4, 'submit state conservation report adopted')","(0.328125, 'report state conservation property implementation decision taken')","(0.3125, 'state conservation report adopted management plan requested sessions n requests state party submit world')","(0.28682170542635654, 'examined document whc com add n recalling decision com adopted session seville n regrets state party')","(0.2987012987012987, 'submit state conservation report adopted management plan requested sessions n')","(0.3287671232876712, 'property implementation decision taken session examination world heritage')","(0.3013698630136986, 'centre february updated report state conservation property implementation')","(0.3246753246753247, 'state conservation property implementation decision taken session examination')","(0.29166666666666663, 'updated report state conservation property implementation decision taken')","(0.390625, 'report state conservation property implementation decision taken')","(0.34246575342465757, 'conservation report adopted management plan requested sessions n requests')","(0.3417721518987342, 'conservation report adopted management plan requested sessions n requests state')","(0.43661971830985913, 'conservation property implementation decision taken session examination')","(0.2857142857142857, 'centre february updated report state conservation property implementation decision taken session examination world heritage committee')","(0.26956521739130435, 'n examined document whc com add n recalling decision com adopted session seville n')","(0.2875, 'whc com add n recalling decision com adopted session seville')","(0.296875, 'committee n examined document whc com add n recalling')","(0.32608695652173914, 'state conservation property implementation decision taken session examination world heritage')","(0.27464788732394363, 'party submit world heritage centre february updated report state conservation property implementation decision taken session examination world')","(0.2941176470588235, 'party submit world heritage centre february updated report state conservation property implementation decision taken session examination')","(0.2796610169491526, 'submit world heritage centre february updated report state conservation property implementation decision taken session')","(0.43137254901960786, 'submit state conservation report adopted management')","(0.27835051546391754, 'state conservation report adopted management plan requested sessions n requests state party')","(0.28260869565217395, 'state conservation property implementation decision taken session examination world heritage')"
"Jul 25, 2010 Cultural Properties  Augustowski Canal xe2x80x93 a work of man and nature BelarusPoland","(0.26027397260273977, 'canal work man nature belarus poland withdrawn request states')","(0, '')","(0.29729729729729726, 'nomination augustowski canal work man')","(0, '')","(0.2542372881355932, 'nomination augustowski canal work man nature belarus poland')","(0, '')","(0.2857142857142857, 'canal work man nature')","(0.288135593220339, 'nomination augustowski canal work man nature belarus poland')","(0.19480519480519476, 'nomination augustowski canal work man nature belarus poland withdrawn request')","(0.2571428571428571, 'man nature belarus poland withdrawn')","(0.24, 'augustowski canal work man nature belarus poland')","(0, '')","(0, '')","(0.18181818181818177, 'nomination augustowski canal work man nature belarus poland withdrawn request')","(0.19999999999999996, 'nomination augustowski canal work man nature belarus poland')","(0.18333333333333335, 'canal work man nature belarus poland withdrawn request')","(0.23880597014925375, 'canal work man nature belarus poland withdrawn request')","(0.2033898305084746, 'nomination augustowski canal work man nature belarus poland')","(0.25, 'nomination augustowski canal work man nature belarus')","(0.26086956521739135, 'nomination augustowski canal work man nature belarus poland withdrawn')","(0.2857142857142857, 'nomination augustowski canal work man nature belarus poland withdrawn request')","(0.23076923076923073, 'nomination augustowski canal work man nature belarus')","(0, '')","(0, '')","(0.17500000000000004, 'nomination augustowski canal work man nature belarus poland withdrawn request')","(0.234375, 'canal work man nature belarus poland withdrawn request states')","(0.23376623376623373, 'nomination augustowski canal work man nature belarus poland withdrawn request')","(0, '')","(0, '')","(0, '')","(0.28260869565217395, 'nature belarus poland withdrawn request states')","(0, '')","(0.24675324675324672, 'nomination augustowski canal work man nature belarus poland withdrawn request')"
"Jul 25, 2010 Chan Chan Archaeological Zone Peru C 366","(0.2954545454545454, 'state conservation property implementation measures examination world heritage committee')","(0.26241134751773054, 'management plan currently implemented adapt current conditions including updated provisions public use comprehensive risk management property')","(0.38235294117647056, 'chan chan archaeological zone peru')","(0.33628318584070793, 'updated report state conservation property implementation measures examination world heritage committee session n')","(0.4126984126984127, 'desired state conservation removal property list world heritage')","(0.2941176470588235, 'heritage centre february updated report state conservation property implementation measures examination world heritage committee session')","(0.36363636363636365, 'party undertake review management')","(0.39344262295081966, 'party legislative framework place invite joint world heritage')","(0.3421052631578947, 'requests state party legislative framework place invite joint world heritage')","(0.39534883720930236, 'desired state conservation removal property')","(0.3142857142857143, 'report state conservation property implementation measures examination')","(0.30708661417322836, 'property assess progress implementation corrective measures define collaboration state party desired state conservation removal')","(0.32558139534883723, 'desired state conservation removal property list world heritage danger n nbsp also requests state party submit')","(0.3085106382978723, 'nbsp acknowledges information provided state party implementation corrective measures property')","(0.38095238095238093, 'desired state conservation removal property list world heritage')","(0.3013698630136986, 'centre february updated report state conservation property implementation')","(0.34615384615384615, 'state conservation property implementation measures examination world heritage')","(0.3205128205128205, 'monitoring mission property assess progress implementation corrective measures')","(0.36363636363636365, 'measures guarantee full protection property yet adopted')","(0.3793103448275862, 'information provided state party implementation corrective measures property encourages')","(0.3033707865168539, 'conditions including updated provisions public use comprehensive risk management property')","(0.38888888888888884, 'conservation property implementation measures examination world heritage')","(0.30952380952380953, 'updated report state conservation property implementation measures examination world heritage committee session n nbsp decides')","(0.31304347826086953, 'full protection property yet adopted put force requested urges state party finalize process soon')","(0.30000000000000004, 'com n nbsp recalling decision com adopted session seville n')","(0.36363636363636365, 'state conservation property implementation measures examination world heritage committee')","(0.375, 'state conservation property implementation measures examination world heritage committee session')","(0.29166666666666663, 'world heritage centre february updated report state conservation property implementation measures examination world heritage committee session n')","(0.323943661971831, 'world heritage centre february updated report state conservation property implementation measures examination world heritage committee session')","(0.3504273504273504, 'conservation property implementation measures examination world heritage committee session n nbsp decides retain chan')","(0.47916666666666663, 'desired state conservation removal property list')","(0.27835051546391754, 'full protection property yet adopted put force requested urges state party finalize')","(0.375, 'guarantee full protection property yet adopted put force requested urges')"
"Jul 25, 2010 Clarifications of property boundaries and areas by States Parties in response to the Retrospective Inventory","(0.3013698630136986, 'netherlands antilles ir d f woudagemaal d f wouda')","(0.29452054794520544, 'georgia bagrati cathedral gelati monastery n greece paleochristian byzantine monuments thessaloniki pythagoreion heraion samos archaeological site')","(0.3846153846153846, 'heraion samos archaeological site aigai')","(0.31313131313131315, 'adopted session seville n congratulates states parties europe region states parties algeria lebanon')","(0.3125, 'excellent work accomplished clarification delimitation world heritage properties')","(0.2907801418439716, 'georgia bagrati cathedral gelati monastery n greece paleochristian byzantine monuments thessaloniki pythagoreion heraion samos archaeological')","(0.3928571428571429, 'parties europe region states')","(0.3943661971830986, 'yet answered questions raised framework retrospective inventory provide')","(0.38372093023255816, 'states parties yet answered questions raised framework retrospective inventory provide')","(0.3055555555555556, 'n takes note clarifications property')","(0.30666666666666664, 'retrospective inventory provide requested clarifications documentation soon')","(0.2992125984251969, 'greece paleochristian byzantine monuments thessaloniki pythagoreion heraion samos archaeological site aigai modern name vergina')","(0.3178294573643411, 'n recalling decision com adopted session seville n congratulates states parties europe region states parties algeria')","(0.31182795698924726, 'monastery n greece paleochristian byzantine monuments thessaloniki pythagoreion heraion samos')","(0.31666666666666665, 'mura n lebanon tyre n malta city valletta')","(0.30000000000000004, 'excellent work accomplished clarification delimitation world heritage properties')","(0.3294117647058824, 'framework retrospective inventory provide requested clarifications documentation soon')","(0.328125, 'boundaries areas provided following states parties european arab')","(0.339622641509434, 'n takes note clarifications property boundaries areas')","(0.3278688524590164, 'city harbour netherlands antilles ir d f woudagemaal d')","(0.2962962962962963, 'congratulates states parties europe region states parties algeria lebanon tunisia')","(0.359375, 'note clarifications property boundaries areas provided following')","(0.27586206896551724, 'whc com n recalling decision com adopted session seville n congratulates states parties europe region')","(0.29565217391304344, 'historic centre rome properties holy see city enjoying extraterritorial rights san paolo fuori le')","(0.3125, 'retrospective inventory presented annex document whc com n algeria al')","(0.3058823529411765, 'lebanon tunisia excellent work accomplished clarification delimitation world heritage')","(0.30681818181818177, 'clarifications property boundaries areas provided following states parties european arab')","(0.31851851851851853, 'european arab regions response retrospective inventory presented annex document whc com n algeria al qal a beni')","(0.30000000000000004, 'european arab regions response retrospective inventory presented annex document whc com n algeria al qal a')","(0.3275862068965517, 'takes note clarifications property boundaries areas provided following states parties european arab regions response')","(0.40816326530612246, 'congratulates states parties europe region states')","(0.28865979381443296, 'whc com n recalling decision com adopted session seville n congratulates states')","(0.3295454545454546, 'clarifications property boundaries areas provided following states parties european arab')"
"Jul 25, 2010 Belize Barrier Reef System Belize N 764","(0.3561643835616438, 'cessation new land transactions n nbsp urges state party')","(0.282258064516129, 'new land transactions halted requests state party clarify legal basis cessation new land transactions n nbsp')","(0.3571428571428571, 'recommendations world heritage centre iucn')","(0.3584905660377359, 'proposal desired state conservation removal property list world heritage danger examination world heritage')","(0.36363636363636365, 'consultation world heritage centre advisory bodies draft statement')","(0.2834645669291339, 'lease lands development within property impact integrity real estate development activities well recommendations world heritage')","(0.38888888888888884, 'party s report new')","(0.375, 'finalize legal framework co management n nbsp reiterates')","(0.32432432432432434, 'area property notes decision go forward oil exploration would incompatible')","(0.39534883720930236, 'desired state conservation removal property')","(0.3214285714285714, 'concern oil concessions reportedly granted within marine')","(0.30000000000000004, 'february report state conservation property progress implementation corrective measures particular measures taken permanently stop')","(0.3178294573643411, 'n recalling decision com adopted session seville n nbsp expresses serious concern oil concessions reportedly granted')","(0.3246753246753247, 'oil concessions reportedly granted within marine area property notes decision')","(0.34615384615384615, 'february report state conservation property progress implementation corrective')","(0.36363636363636365, 'value develop proposal desired state conservation removal property')","(0.35820895522388063, 'framework co management n nbsp reiterates request state')","(0.3709677419354839, 'measures particular measures taken permanently stop sale lease')","(0.34545454545454546, 'state conservation removal property list world heritage')","(0.34065934065934067, 'state conservation property progress implementation corrective measures particular measures')","(0.30927835051546393, 'state conservation property progress implementation corrective measures particular measures taken')","(0.3620689655172413, 'concessions reportedly granted within marine area property')","(0.31896551724137934, 'serious concern oil concessions reportedly granted within marine area property notes decision go forward oil')","(0.34782608695652173, 'urges state party enact legislation prohibit oil exploration within belize barrier reef system basis')","(0.30000000000000004, 'whc com n recalling decision com adopted session seville n')","(0.3802816901408451, 'noted status oil concessions within property examination world heritage')","(0.3563218390804598, 'impact integrity real estate development activities well recommendations world heritage')","(0.2962962962962963, 'property n nbsp notes state party s report new land transactions halted requests state party clarify legal')","(0.302158273381295, 'implementation corrective measures particular measures taken permanently stop sale lease lands development within property impact integrity')","(0.3305084745762712, 'recommendations world heritage centre iucn monitoring mission noted status oil concessions within property examination')","(0.47916666666666663, 'desired state conservation removal property list')","(0.28865979381443296, 'n nbsp notes state party s report new land transactions halted requests')","(0.36250000000000004, 'removal property list world heritage danger examination world heritage committee')"
"Jul 25, 2010 City of Cuzco Peru C 273","(0.2941176470588235, 'authenticity property n information management system compliance existing legislative')","(0.27586206896551724, 'assess potential impacts projects outstanding universal value integrity authenticity property n information management system compliance existing')","(0.33333333333333337, 'state conservation property efficacy adequacy')","(0.3398058252427184, 'assess state conservation property efficacy adequacy management system inscribed property n urges state')","(0.36986301369863017, 'report state conservation property implementation above examination world')","(0.2928571428571428, 'impacts projects outstanding universal value integrity authenticity property n information management system compliance existing legislative')","(0.38095238095238093, 'rains area n requests')","(0.33333333333333337, 'compliance existing legislative frameworks mainly implications derived organic')","(0.32291666666666663, 'management system compliance existing legislative frameworks mainly implications derived organic')","(0.4285714285714286, 'mission assess state conservation property')","(0.33333333333333337, 'frameworks mainly implications derived organic municipal law')","(0.2767857142857143, 'world heritage committee n examined document whc com add n recalling decision com adopted')","(0.2945736434108527, 'peru tragic loss life damages caused february torrential rains area n requests state party submit world')","(0.3146067415730337, 'assess state conservation property efficacy adequacy management system inscribed property')","(0.3561643835616438, 'report state conservation property implementation above examination world')","(0.3098591549295775, 'monitoring mission assess state conservation property efficacy adequacy')","(0.3013698630136986, 'report state conservation property implementation above examination world')","(0.3098591549295775, 'assess potential impacts projects outstanding universal value integrity')","(0.3731343283582089, 'report state conservation property implementation above examination')","(0.32098765432098764, 'n information management system compliance existing legislative frameworks mainly')","(0.34523809523809523, 'conservation property efficacy adequacy management system inscribed property n urges')","(0.37681159420289856, 'conservation property implementation above examination world heritage')","(0.3098591549295775, 'authenticity property n information management system compliance existing legislative frameworks mainly implications derived organic municipal')","(0.3046875, 'impacts projects outstanding universal value integrity authenticity property n information management system compliance existing')","(0.3125, 'projected costs n requests state party submit world heritage centre')","(0.4024390243902439, 'report state conservation property implementation above examination world heritage')","(0.33333333333333337, 'conservation property efficacy adequacy management system inscribed property n urges')","(0.2816901408450704, 'heritage centre icomos reactive monitoring mission assess state conservation property efficacy adequacy management system inscribed property n')","(0.29230769230769227, 'add n recalling decision com adopted session durban n expresses condolences government peru tragic loss life')","(0.33333333333333337, 'authenticity property n information management system compliance existing legislative frameworks mainly implications derived organic')","(0.4423076923076923, 'assess state conservation property efficacy adequacy')","(0.27835051546391754, 'com adopted session durban n expresses condolences government peru tragic loss life')","(0.30434782608695654, 'report state conservation property implementation above examination world heritage committee')"
"Jul 25, 2010 Brasilia Brazil C 445","(0.3013698630136986, 'continue efforts cooperation world heritage centre advisory bodies n')","(0.26027397260273977, 'heritage committee n also requests accordance paragraph operational guidelines submit detailed information technical studies planned interventions')","(0.3571428571428571, 'cooperation world heritage centre advisory')","(0.327433628318584, 'interventions consideration review world heritage centre advisory bodies prior approval implementation n requests')","(0.4027777777777778, 'interventions consideration review world heritage centre advisory bodies')","(0.28800000000000003, 'interventions consideration review world heritage centre advisory bodies prior approval implementation n requests state party')","(0.32258064516129037, 'prior approval implementation n')","(0.4032258064516129, 'state party continue efforts cooperation world heritage centre')","(0.36585365853658536, 'projects encourages state party continue efforts cooperation world heritage centre')","(0.3571428571428571, 'updated report state conservation property')","(0.32835820895522383, 'report state conservation property implementation above examination')","(0.2983870967741935, 'heritage committee n also requests accordance paragraph operational guidelines submit detailed information technical studies')","(0.2945736434108527, 'examined document whc com n recalling decision com adopted session seville n acknowledges information provided state')","(0.33333333333333337, 'planned interventions special attention land use transportation systems new urban')","(0.3561643835616438, 'report state conservation property implementation above examination world')","(0.30379746835443033, 'conservation property implementation above examination world heritage committee')","(0.3013698630136986, 'report state conservation property implementation above examination world')","(0.33333333333333337, 'property proposed projects encourages state party continue efforts')","(0.42592592592592593, 'state party actions taken protection property proposed')","(0.33333333333333337, 'taken protection property proposed projects encourages state party continue')","(0.3448275862068966, 'interventions consideration review world heritage centre advisory bodies prior approval')","(0.4126984126984127, 'planned interventions special attention land use transportation')","(0.30000000000000004, 'interventions special attention land use transportation systems new urban interventions consideration review world heritage centre')","(0.2913385826771654, 'technical studies planned interventions special attention land use transportation systems new urban interventions consideration')","(0.31000000000000005, 'paragraph operational guidelines submit detailed information technical studies planned interventions')","(0.4024390243902439, 'report state conservation property implementation above examination world heritage')","(0.3448275862068966, 'interventions consideration review world heritage centre advisory bodies prior approval')","(0.30246913580246915, 'requests accordance paragraph operational guidelines submit detailed information technical studies planned interventions special attention land use transportation')","(0.2773722627737226, 'acknowledges information provided state party actions taken protection property proposed projects encourages state party continue efforts')","(0.32499999999999996, 'systems new urban interventions consideration review world heritage centre advisory bodies prior approval implementation')","(0.42105263157894735, 'updated report state conservation property implementation')","(0.2680412371134021, 'continue efforts cooperation world heritage centre advisory bodies n requests state party')","(0.3595505617977528, 'technical studies planned interventions special attention land use transportation systems')"
"Jul 25, 2010 City of Vicenza and the Palladian Villas of the Veneto Italy C 712bis","(0.3013698630136986, 'n nbsp takes note information provided state party actions')","(0.2676056338028169, 'heritage centre significant changes plans submitted reviewed highway final approval process particular context contribution periodic reporting')","(0.35416666666666663, 'construction project outstanding universal value')","(0.27835051546391754, 'state party actions taken counter impacts ongoing a valdastico south highway construction project')","(0.31506849315068497, 'valdastico south highway construction project outstanding universal value')","(0.2520325203252033, 'inform world heritage centre significant changes plans submitted reviewed highway final approval process particular context')","(0.33333333333333337, 'n nbsp examined document')","(0.3833333333333333, 'state party inform world heritage centre significant changes')","(0.32432432432432434, 'nbsp requests state party inform world heritage centre significant changes')","(0.33333333333333337, 'process particular context contribution periodic')","(0.33870967741935487, 'south highway construction project outstanding universal value')","(0.2767857142857143, 'n nbsp takes note information provided state party actions taken counter impacts ongoing a')","(0.28682170542635654, 'nbsp examined document whc com add n nbsp recalling decision com adopted session seville n nbsp')","(0.28378378378378377, 'committee n nbsp examined document whc com add n nbsp')","(0.29850746268656714, 'highway construction project outstanding universal value property n')","(0.3287671232876712, 'final approval process particular context contribution periodic reporting')","(0.32835820895522383, 'highway construction project outstanding universal value property n')","(0.326530612244898, 'centre icomos mission n nbsp requests state party')","(0.3846153846153846, 'highway construction project outstanding universal value property')","(0.3278688524590164, 'universal value property n nbsp notes measures taken state')","(0.28767123287671237, 'takes note information provided state party actions taken counter impacts')","(0.423728813559322, 'construction project outstanding universal value property n')","(0.2844827586206896, 'project outstanding universal value property n nbsp notes measures taken state party amend design highway')","(0.29565217391304344, 'project outstanding universal value property n nbsp notes measures taken state party amend design')","(0.30000000000000004, 'project outstanding universal value property n nbsp notes measures taken')","(0.328125, 'mission n nbsp requests state party inform world heritage')","(0.30666666666666664, 'committee n nbsp examined document whc com add n nbsp')","(0.274074074074074, 'world heritage committee n nbsp examined document whc com add n nbsp recalling decision com adopted session')","(0.27692307692307694, 'com add n nbsp recalling decision com adopted session seville n nbsp takes note information provided')","(0.28712871287128716, 'n nbsp takes note information provided state party actions taken counter impacts ongoing a')","(0.37209302325581395, 'takes note information provided state party')","(0.28865979381443296, 'world heritage committee n nbsp examined document whc com add n nbsp')","(0.3055555555555556, 'project outstanding universal value property n nbsp notes measures taken')"
"Jul 25, 2010 Coro and its Port Bolivarian Republic of Venezuela C 658","(0.3026315789473685, 'conservation property examination world heritage committee session n decides')","(0.3165467625899281, 'mission property assess progress made implementation corrective measures aimed achieving desired state conservation collaborate state party')","(0.3571428571428571, 'state conservation collaborate state party')","(0.3728813559322034, 'desired state conservation collaborate state party finalizing property s retrospective statement outstanding universal')","(0.37142857142857144, 'desired state conservation collaborate state party finalizing property')","(0.282258064516129, 'management tool relevant authorities subsequently submit new management plan related measures world heritage centre advisory')","(0.36363636363636365, 'takes note letter sent')","(0.36363636363636365, 'aimed achieving desired state conservation collaborate state party')","(0.31818181818181823, 'february updated report state conservation property examination world heritage committee')","(0.3902439024390244, 'required state conservation report second')","(0.3793103448275862, 'structure full coherence national constitution organic law')","(0.3125, 'state conservation report second consecutive year spite requests made world heritage committee n nbsp')","(0.28873239436619713, 'made implementation corrective measures aimed achieving desired state conservation collaborate state party finalizing property s retrospective')","(0.2872340425531915, 'made implementation corrective measures aimed achieving desired state conservation collaborate')","(0.3661971830985915, 'report state conservation property examination world heritage committee')","(0.28787878787878785, 'party submit required state conservation report second consecutive')","(0.30434782608695654, 'state party finalizing property s retrospective statement outstanding')","(0.3055555555555556, 'mission property assess progress made implementation corrective measures')","(0.39655172413793105, 'required state conservation report second consecutive year')","(0.36923076923076925, 'submit new management plan related measures world heritage centre')","(0.3373493975903614, 'conservation property examination world heritage committee session n decides retain')","(0.40909090909090906, 'conservation property examination world heritage committee session')","(0.2977099236641222, 'heritage centre icomos reactive monitoring mission property assess progress made implementation corrective measures aimed achieving')","(0.27826086956521734, 'nbsp regrets state party submit required state conservation report second consecutive year spite requests')","(0.3125, 'committee n nbsp takes note letter sent world heritage centre')","(0.359375, 'committee n nbsp takes note letter sent world heritage')","(0.3493975903614458, 'conservation property examination world heritage committee session n decides retain')","(0.28888888888888886, 'world heritage committee n nbsp takes note letter sent world heritage centre july informing decision set new')","(0.2692307692307693, 'year spite requests made world heritage committee n nbsp takes note letter sent world heritage centre')","(0.3113207547169812, 'report state conservation property examination world heritage committee session n decides retain coro port')","(0.45999999999999996, 'desired state conservation collaborate state party')","(0.28865979381443296, 'new management plan related measures world heritage centre advisory bodies n also')","(0.29268292682926833, 'tool relevant authorities subsequently submit new management plan related measures')"
"Jul 25, 2010 Cathedral, Alcxc3xa1zar and Archivo de Indias in Seville Spain C 383 rev","(0.3013698630136986, 'adverse impact transitional area historic city n regrets state')","(0.2983870967741935, 'value property n also requests state party submit world heritage centre june report state conservation property')","(0.32432432432432434, 'construction works project takes note')","(0.35106382978723405, 'party halt construction works project takes note state party started preliminary works project')","(0.3793103448275862, 'report state conservation property steps taken order avoid')","(0.26086956521739135, 'heritage centre june report state conservation property steps taken order avoid possible adverse impact outstanding')","(0.33333333333333337, 'property n also requests')","(0.33783783783783783, 'acknowledges information provided state party conclusions expert committee')","(0.2857142857142857, 'seville n acknowledges information provided state party conclusions expert committee')","(0.3846153846153846, 'june report state conservation property')","(0.3220338983050848, 'n acknowledges information provided state party conclusions')","(0.2857142857142857, 'heritage centre june report state conservation property steps taken order avoid possible adverse impact')","(0.2945736434108527, 'examined document whc com n recalling decision com adopted session seville n acknowledges information provided state')","(0.28378378378378377, 'halt construction works project takes note state party started preliminary')","(0.33333333333333337, 'halt construction works project takes note state party')","(0.2833333333333333, 'centre june report state conservation property steps taken')","(0.31343283582089554, 'works project n requests state party reconsider current')","(0.3548387096774194, 'conservation property steps taken order avoid possible adverse')","(0.3846153846153846, 'report state conservation property steps taken order')","(0.30434782608695654, 'conservation property steps taken order avoid possible adverse impact')","(0.2962962962962963, 'conservation property steps taken order avoid possible adverse impact outstanding')","(0.35185185185185186, 'conservation property steps taken order avoid possible')","(0.2931034482758621, 'whc com n recalling decision com adopted session seville n acknowledges information provided state party')","(0.29565217391304344, 'value property n also requests state party submit world heritage centre june report state')","(0.30000000000000004, 'whc com n recalling decision com adopted session seville n')","(0.296875, 'whc com n recalling decision com adopted session seville')","(0.308641975308642, 'conservation property steps taken order avoid possible adverse impact outstanding')","(0.28888888888888886, 'works project takes note state party started preliminary works project n requests state party reconsider current project')","(0.29230769230769227, 'works project takes note state party started preliminary works project n requests state party reconsider current')","(0.31818181818181823, 'report state conservation property steps taken order avoid possible adverse impact outstanding universal value')","(0.48888888888888893, 'june report state conservation property steps')","(0.27835051546391754, 'property tower potential adverse impact transitional area historic city n regrets state')","(0.3205128205128205, 'decision com adopted session seville n acknowledges information provided state')"
