,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 19, 2011 Provisional Agenda of the 18th session of the General Assembly","(0.3589743589743589, 'contributions world heritage fund accordance provisions article world heritage')","(0.25, 'assembly n agenda session general assembly timetable elections world heritage committee n agenda session general assembly')","(0.4222222222222223, 'convention including anniversary convention n')","(0.3232323232323232, 'heritage centre internal oversight service ios n activities world heritage related category centres')","(0.3484848484848485, 'agenda session general assembly timetable elections world heritage')","(0.3015873015873016, 'heritage convention n strategy representative balanced credible world heritage list evaluation global strategy pact initiative')","(0.34615384615384615, 'plan world heritage centre')","(0.375, 'parties contributions n amount contributions world heritage fund')","(0.33333333333333337, 'status states parties contributions n amount contributions world heritage fund')","(0.4444444444444444, 'world heritage convention n strategy')","(0.33870967741935487, 'n submits consideration general assembly following provisional')","(0.29565217391304344, 'heritage convention n strategy representative balanced credible world heritage list evaluation global strategy pact')","(0.28682170542635654, 'strategy pact initiative n plan world heritage centre internal oversight service ios n activities world heritage')","(0.2823529411764706, 'n submits consideration general assembly following provisional agenda session amended')","(0.30434782608695654, 'n submits consideration general assembly following provisional agenda')","(0.40625, 'centres n future world heritage convention including anniversary')","(0.29850746268656714, 'plan world heritage centre internal oversight service ios')","(0.303030303030303, 'accordance provisions article world heritage convention n strategy')","(0.3833333333333333, 'world heritage convention n strategy representative balanced')","(0.359375, 'evaluation global strategy pact initiative n plan world heritage')","(0.3493975903614458, 'heritage convention n strategy representative balanced credible world heritage list')","(0.3833333333333333, 'convention n strategy representative balanced credible world')","(0.2698412698412699, 'heritage convention n strategy representative balanced credible world heritage list evaluation global strategy pact initiative')","(0.28695652173913044, 'n agenda session general assembly timetable elections world heritage committee n agenda session general')","(0.2875, 'session amended n n session n general assembly director general')","(0.39743589743589747, 'heritage convention n strategy representative balanced credible world heritage')","(0.3146067415730337, 'contributions world heritage fund accordance provisions article world heritage convention')","(0.2962962962962963, 'heritage list evaluation global strategy pact initiative n plan world heritage centre internal oversight service ios n')","(0.28057553956834536, 'contributions world heritage fund accordance provisions article world heritage convention n strategy representative balanced credible world')","(0.30833333333333335, 'parties contributions n amount contributions world heritage fund accordance provisions article world heritage convention')","(0.36363636363636365, 'com n submits consideration general assembly')","(0.27835051546391754, 'n world heritage committee n rapporteur session general assembly states parties unesco')","(0.32530120481927716, 'article world heritage convention n strategy representative balanced credible world')"
"Jun 19, 2011 Recommendations of the International Expert Meeting on World Heritage and Buffer Zones","(0.35064935064935066, 'account recommendations laquo international expert meeting buffer zones raquo')","(0.26315789473684215, 'encourages states parties refine put place relevant legal tools management plans concerning conservation properties management buffer')","(0.35416666666666663, 'considerations within discussions world heritage')","(0.29670329670329665, 'report meeting publication n also encourages states parties refine put place relevant legal')","(0.3548387096774194, 'development n notes threats originating outside world heritage')","(0.2846153846153846, 'heritage papers considerations within discussions world heritage sustainable development n notes threats originating outside world')","(0.33333333333333337, 'parties refine put place')","(0.31746031746031744, 'switzerland provided detailed report meeting publication n also')","(0.3111111111111111, 'relevant legal tools management plans concerning conservation properties management buffer')","(0.37254901960784315, 'management plans concerning conservation properties')","(0.3220338983050848, 'sustainable development n notes threats originating outside')","(0.30645161290322576, 'heritage papers considerations within discussions world heritage sustainable development n notes threats originating outside')","(0.28057553956834536, 'heritage papers considerations within discussions world heritage sustainable development n notes threats originating outside world heritage')","(0.28915662650602414, 'account recommendations laquo international expert meeting buffer zones raquo davos')","(0.3380281690140845, 'account recommendations laquo international expert meeting buffer zones')","(0.28767123287671237, 'respectively provisions buffer zones established operational guidelines n')","(0.4328358208955224, 'discussions world heritage sustainable development n notes threats')","(0.31818181818181823, 'discussions world heritage sustainable development n notes threats')","(0.3623188405797102, 'management plans concerning conservation properties management buffer')","(0.3380281690140845, 'laquo international expert meeting buffer zones raquo davos switzerland')","(0.3493975903614458, 'account recommendations laquo international expert meeting buffer zones raquo davos')","(0.33333333333333337, 'sessions respectively provisions buffer zones established operational')","(0.2704918032786885, 'states parties refine put place relevant legal tools management plans concerning conservation properties management buffer')","(0.27826086956521734, 'zones raquo davos switzerland provided detailed report meeting publication n also encourages states parties')","(0.2857142857142857, 'brasilia sessions respectively provisions buffer zones established operational guidelines n')","(0.44285714285714284, 'zones including publication world heritage buffer zones world heritage')","(0.28915662650602414, 'heritage sustainable development n notes threats originating outside world heritage')","(0.27083333333333337, 'heritage buffer zones world heritage papers considerations within discussions world heritage sustainable development n notes threats originating')","(0.2692307692307693, 'examined document whc com n recalling decisions com com com com adopted vilnius quebec city seville')","(0.33613445378151263, 'within discussions world heritage sustainable development n notes threats originating outside world heritage properties')","(0.4137931034482759, 'plans concerning conservation properties management buffer')","(0.25773195876288657, 'report meeting publication n also encourages states parties refine put place relevant')","(0.34090909090909094, 'respectively provisions buffer zones established operational guidelines n notes progress')"
"Jun 19, 2011 Purnululu National Park Australia N 1094","(0.3033707865168539, 'concerns considering potential stricter regulations tourism access culturally significant')","(0.26573426573426573, 'indigenous cultural values native title case ongoing address traditional landowners concerns considering potential stricter regulations tourism')","(0.37254901960784315, 'consideration likely impacts activities outstanding')","(0.32432432432432434, 'impact assessment including consideration likely impacts activities outstanding universal value property n also')","(0.35365853658536583, 'assessment including consideration likely impacts activities outstanding universal')","(0.302158273381295, 'ensure mining operations adjacent property subject highest standards environmental impact assessment including consideration likely impacts')","(0.34375, 'party develop interim management')","(0.3384615384615385, 'reduce population feral cattle collaborating ngos explore enhance')","(0.3058823529411765, 'continuing actively reduce population feral cattle collaborating ngos explore enhance')","(0.3939393939393939, 'give due consideration property s')","(0.3142857142857143, 'landowners concerns considering potential stricter regulations tourism')","(0.3303571428571429, 'interim management plan order give due consideration property s indigenous cultural values native title')","(0.2727272727272727, 'highest standards environmental impact assessment including consideration likely impacts activities outstanding universal value property n also')","(0.2702702702702703, 'quebec city n commends state party progress made addressing land')","(0.3246753246753247, 'concerns considering potential stricter regulations tourism access culturally')","(0.31343283582089554, 'integrating pastoral lands buffer zone thereby enlarging increasing')","(0.35820895522388063, 'buffer zone n encourages state party develop interim')","(0.303030303030303, 'enlarging increasing protection property notes steps taken support')","(0.39622641509433965, 'give due consideration property s indigenous cultural')","(0.31343283582089554, 'universal value relation criterion vii requests state party address')","(0.33684210526315794, 'concerns considering potential stricter regulations tourism access culturally significant sites')","(0.42105263157894735, 'protection property notes steps taken support traditional')","(0.296875, 'zone thereby enlarging increasing protection property notes steps taken support traditional aboriginal communities within buffer')","(0.30434782608695654, 'relation criterion vii requests state party address issues continuing application prescribed fires reduce hot')","(0.31034482758620685, 'protection property notes steps taken support traditional aboriginal communities within')","(0.3820224719101124, 'concerns considering potential stricter regulations tourism access culturally significant')","(0.33333333333333337, 'n encourages state party develop interim management plan order give')","(0.2857142857142857, 'title case ongoing address traditional landowners concerns considering potential stricter regulations tourism access culturally significant sites n')","(0.30000000000000004, 'vii requests state party address issues continuing application prescribed fires reduce hot fires end dry season')","(0.3587786259541985, 'ensure mining operations adjacent property subject highest standards environmental impact assessment including consideration likely')","(0.41025641025641024, 'order give due consideration property s')","(0.2952380952380952, 'increasing protection property notes steps taken support traditional aboriginal communities within buffer')","(0.367816091954023, 'protection property notes steps taken support traditional aboriginal communities within')"
"Jun 19, 2011 Progress report on the World Heritage related Category 2 centres","(0.31506849315068497, 'committee n also takes note satisfaction reports world heritage')","(0.2773722627737226, 'exploring funding possibilities order organize activities category centres n encourages state parties convention continue funding support')","(0.37209302325581395, 'convention continue funding support towards')","(0.32291666666666663, 'presented general assembly states parties committee n also takes note satisfaction reports world')","(0.39743589743589747, 'consideration proposals establishment category research centres world heritage')","(0.28985507246376807, 'training institutions iccrom iucn n encourages consideration proposals establishment category research centres world heritage particularly')","(0.3571428571428571, 'brasilia n thanks government')","(0.3548387096774194, 'n encourages state parties convention continue funding support')","(0.32432432432432434, 'centre upload consolidated web page category centres activities n requests')","(0.3902439024390244, 'state parties convention continue funding')","(0.368421052631579, 'state parties convention continue funding support towards')","(0.3214285714285714, 'note report meeting presented general assembly states parties committee n also takes note satisfaction')","(0.2992700729927007, 'examination session n requests world heritage centre continues exploring funding possibilities order organize activities category centres')","(0.27472527472527475, 'n encourages consideration proposals establishment category research centres world heritage')","(0.35526315789473684, 'n encourages consideration proposals establishment category research centres')","(0.29032258064516125, 'n encourages state parties convention continue funding support')","(0.32835820895522383, 'category centres examination session n requests world heritage')","(0.33333333333333337, 'consideration proposals establishment category research centres world heritage')","(0.368421052631579, 'state parties convention continue funding support towards')","(0.37362637362637363, 'consideration proposals establishment category research centres world heritage particularly')","(0.33333333333333337, 'centres play implementation world heritage strategy capacity building partnership existing')","(0.34782608695652173, 'consideration proposals establishment category research centres world')","(0.2844827586206896, 'relevant unesco chairs higher education research institutions n takes note report meeting presented general assembly')","(0.28787878787878785, 'building partnership existing training institutions iccrom iucn n encourages consideration proposals establishment category research')","(0.2875, 'whc com n recalling decision com adopted session brasilia n')","(0.3421052631578947, 'research centres world heritage particularly promote balanced world heritage')","(0.3737373737373737, 'consideration proposals establishment category research centres world heritage particularly promote')","(0.30817610062893086, 'partnership existing training institutions iccrom iucn n encourages consideration proposals establishment category research centres world heritage particularly')","(0.27692307692307694, 'examined document whc com n recalling decision com adopted session brasilia n thanks government bahrain hosted')","(0.32539682539682535, 'iucn n encourages consideration proposals establishment category research centres world heritage particularly promote balanced')","(0.36363636363636365, 'iucn n encourages consideration proposals establishment')","(0.31958762886597936, 'recalling decision com adopted session brasilia n thanks government bahrain hosted first')","(0.30000000000000004, 'particularly promote balanced world heritage list accordance unesco s guidelines')"
"Jun 19, 2011 Progress Report on Periodic Reporting in the Europe and North America region","(0.34615384615384615, 'calls upon states parties international community support financially periodic')","(0.273972602739726, 'financial contributions preparation second cycle periodic reporting exercise calls upon states parties international community support financially')","(0.31707317073170727, 'coordination world heritage centre launch')","(0.33018867924528306, 'north america presented session world heritage committee report periodic reporting exercise europe session')","(0.3188405797101449, 'calls upon states parties international community support financially')","(0.2857142857142857, 'well intention state parties north america organize preparatory periodic reporting meetings and or teleconferences site')","(0.375, 'exercise n also requests')","(0.4035087719298246, 'europe sub regions confirmed well intention state parties')","(0.34615384615384615, 'europe mediterranean europe sub regions confirmed well intention state parties')","(0.35416666666666663, 'financial contributions preparation second cycle')","(0.31343283582089554, 'financial contributions preparation second cycle periodic reporting')","(0.32258064516129037, 'contributions preparation second cycle periodic reporting exercise calls upon states parties international community support')","(0.3023255813953488, 'respectively n takes note follow up activities first cycle periodic reporting exercise region europe north america')","(0.27368421052631575, 'netherlands monaco financial contributions preparation second cycle periodic reporting exercise')","(0.3194444444444444, 'interest authorities azerbaijan germany greece host preparatory meetings')","(0.28358208955223885, 'north america preparations second cycle periodic reporting exercise')","(0.3157894736842105, 'financial contributions preparation second cycle periodic reporting exercise')","(0.3384615384615385, 'central eastern south eastern europe western europe mediterranean')","(0.390625, 'monaco financial contributions preparation second cycle periodic')","(0.3928571428571429, 'international community support financially periodic reporting exercise europe north')","(0.32258064516129037, 'states parties international community support financially periodic reporting exercise europe')","(0.46153846153846156, 'sub regions first year mediterranean central eastern')","(0.33884297520661155, 'periodic reporting exercise region europe north america results sub regional meetings nordic western mediterranean europe')","(0.32173913043478264, 'up meeting mediterranean europe acre estonian authorities hosted follow up meeting nordic baltic europe')","(0.4, 'america western nordic baltic europe sub regions first year mediterranean')","(0.3414634146341463, 'financial contributions preparation second cycle periodic reporting exercise calls')","(0.32894736842105265, 'second cycle periodic reporting exercise europe north america region session')","(0.291970802919708, 'scope work done including capacity building activities evaluation statements outstanding universal value n invites states parties prepare')","(0.3076923076923077, 'prepare coordination world heritage centre launch second cycle periodic reporting exercise europe north america region session')","(0.32258064516129037, 'contributions preparation second cycle periodic reporting exercise calls upon states parties international community support')","(0.43181818181818177, 'nordic western mediterranean europe n thanks')","(0.3402061855670103, 'europe sub regions first year mediterranean central eastern south eastern europe second')","(0.42105263157894735, 'host preparatory meeting mediterranean europe sub region florence takes note')"
"Jun 19, 2011 Protection of the Palestinian cultural and natural heritage","(0.3132530120481928, 'conservation main sites listed inventory palestinian heritage potential outstanding')","(0.303448275862069, 'heritage potential outstanding universal value n requests world heritage centre continue assisting palestinian institutions concerned reinforcing')","(0.4, 'conservation main sites listed inventory')","(0.3421052631578947, 'mission assess state conservation main sites listed inventory palestinian heritage potential outstanding universal')","(0.3846153846153846, 'assess state conservation main sites listed inventory palestinian')","(0.3116883116883117, 'centre continue assisting palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural natural heritage')","(0.3448275862068966, 'world heritage centre present')","(0.360655737704918, 'undertake mission assess state conservation main sites listed')","(0.33333333333333337, 'centre icomos undertake mission assess state conservation main sites listed')","(0.368421052631579, 'mission assess state conservation main')","(0.3275862068965517, 'state conservation main sites listed inventory palestinian')","(0.32539682539682535, 'commends efforts professionals involved preserving palestinian cultural natural heritage despite prevailing conditions n urges')","(0.3190184049079755, 'heritage centre continue assisting palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural natural heritage')","(0.29729729729729726, 'palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural')","(0.4307692307692308, 'assess state conservation main sites listed inventory palestinian')","(0.308641975308642, 'capacity protection preservation management palestinian cultural natural heritage')","(0.32558139534883723, 'concerned reinforcing capacity protection preservation management palestinian cultural')","(0.32352941176470584, 'information provided world heritage centre regrets mission requested')","(0.3666666666666667, 'prevailing conditions n urges parties concerned safeguarding')","(0.31081081081081086, 'information provided world heritage centre regrets mission requested world')","(0.34408602150537637, 'conservation main sites listed inventory palestinian heritage potential outstanding universal')","(0.4155844155844156, 'concerned reinforcing capacity protection preservation management palestinian')","(0.3355263157894737, 'requests world heritage centre continue assisting palestinian institutions concerned reinforcing capacity protection preservation management palestinian')","(0.30434782608695654, 'palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural natural heritage n decides')","(0.3106796116504854, 'concerned reinforcing capacity protection preservation management palestinian cultural natural heritage')","(0.4698795180722891, 'capacity protection preservation management palestinian cultural natural heritage n')","(0.3626373626373627, 'capacity protection preservation management palestinian cultural natural heritage n decides')","(0.32727272727272727, 'heritage centre continue assisting palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural natural heritage n')","(0.3190184049079755, 'heritage centre continue assisting palestinian institutions concerned reinforcing capacity protection preservation management palestinian cultural natural heritage')","(0.35245901639344257, 'reinforcing capacity protection preservation management palestinian cultural natural heritage n decides allocate usd world')","(0.4418604651162791, 'assess state conservation main sites listed')","(0.28865979381443296, 'n takes note information provided world heritage centre regrets mission requested world')","(0.37362637362637363, 'capacity protection preservation management palestinian cultural natural heritage n decides')"
"Jun 19, 2011 Reports of the Advisory Bodies","(0.34246575342465757, 'convention n present joint summary table world heritage centre')","(0.25806451612903225, 'nbsp examined document whc com n nbsp takes note reports advisory bodies iccrom icomos iucn activities')","(0.4285714285714286, 'convention n nbsp requests advisory')","(0.3106796116504854, 'implementation convention n nbsp requests advisory bodies next sessions order take informed transparent')","(0.4363636363636364, 'convention n present joint summary table world heritage')","(0.25757575757575757, 'transparent decisions n harmonize reports indicating human financial resources committed advisory bodies different activities charge')","(0.33333333333333337, 'n nbsp examined document')","(0.36363636363636365, 'identified implementation convention n present joint summary table')","(0.31645569620253167, 'comment progress made gaps identified implementation convention n present joint')","(0.4390243902439024, 'implementation convention n nbsp requests')","(0.34545454545454546, 'implementation convention n present joint summary table')","(0.3125, 'of n include general joint comment progress made gaps identified implementation convention n present')","(0.33333333333333337, 'implementation convention n nbsp requests advisory bodies next sessions order take informed transparent decisions n harmonize')","(0.32432432432432434, 'charge of n include general joint comment progress made gaps')","(0.30645161290322576, 'implementation convention n nbsp requests advisory bodies next')","(0.303030303030303, 'efforts towards implementation convention n nbsp requests advisory')","(0.35820895522388063, 'convention n present joint summary table world heritage')","(0.29166666666666663, 'document whc com n nbsp takes note reports')","(0.4363636363636364, 'implementation convention n present joint summary table')","(0.33333333333333337, 'n harmonize reports indicating human financial resources committed advisory')","(0.31081081081081086, 'convention n present joint summary table world heritage centre commitments')","(0.3877551020408163, 'convention n present joint summary table world')","(0.2649572649572649, 'gratitude efforts towards implementation convention n nbsp requests advisory bodies next sessions order take informed')","(0.26086956521739135, 'general joint comment progress made gaps identified implementation convention n present joint summary table')","(0.275, 'document whc com n nbsp takes note reports advisory bodies')","(0.359375, 'convention n present joint summary table world heritage centre')","(0.2857142857142857, 'iccrom icomos iucn activities expresses gratitude efforts towards implementation convention')","(0.3111111111111111, 'resources committed advisory bodies different activities charge of n include general joint comment progress made gaps identified')","(0.25384615384615383, 'resources committed advisory bodies different activities charge of n include general joint comment progress made gaps')","(0.2920353982300885, 'implementation convention n nbsp requests advisory bodies next sessions order take informed transparent decisions')","(0.36734693877551017, 'implementation convention n present joint summary')","(0.28865979381443296, 'different activities charge of n include general joint comment progress made gaps')","(0.28409090909090906, 'transparent decisions n harmonize reports indicating human financial resources committed')"
"Jun 19, 2011 Recommendations of the Science and Technology Expert Working Group in the context of World Heritage nominations","(0.3013698630136986, 'convention progress made study water heritage management n nbsp')","(0.29104477611940294, 'notes completion thematic study heritage sites astronomy archaeoastronomy context unesco world heritage convention progress made study')","(0.41666666666666663, 'convention progress made study water')","(0.32291666666666663, 'world heritage convention progress made study water heritage management n nbsp encourages states')","(0.3448275862068966, 'convention progress made study water heritage management n')","(0.2790697674418605, 'science technology expert working group context world heritage nominations london well recommendations developed within framework')","(0.37037037037037035, 'water heritage management n')","(0.3835616438356164, 'nbsp notes information provided recommendations science technology expert')","(0.3529411764705882, 'group context world heritage nominations london well recommendations developed within')","(0.4358974358974359, 'heritage convention progress made study')","(0.33333333333333337, 'heritage convention progress made study water heritage')","(0.31746031746031744, 'world heritage nominations london well recommendations developed within framework thematic initiative astronomy world heritage')","(0.3023255813953488, 'centre advisory bodies integrate relevant issues future expert meeting criterion vi n nbsp encourages states parties')","(0.28409090909090906, 'notes completion thematic study heritage sites astronomy archaeoastronomy context unesco')","(0.33333333333333337, 'meeting criterion vi n nbsp encourages states parties')","(0.3666666666666667, 'context unesco world heritage convention progress made study')","(0.368421052631579, 'framework thematic initiative astronomy world heritage preparing nominations')","(0.30645161290322576, 'centre advisory bodies integrate relevant issues future expert')","(0.4509803921568627, 'world heritage convention progress made study water')","(0.379746835443038, 'states parties donors identify additional resources completion thematic studies')","(0.32530120481927716, 'discussions revisions operational guidelines n nbsp notes completion thematic study')","(0.3928571428571429, 'convention progress made study water heritage management')","(0.2867647058823529, 'london well recommendations developed within framework thematic initiative astronomy world heritage preparing nominations world heritage')","(0.26956521739130435, 'bodies integrate relevant issues future expert meeting criterion vi n nbsp encourages states parties')","(0.25, 'operational guidelines n nbsp notes completion thematic study heritage sites')","(0.41025641025641024, 'recommendations science technology expert working group context world heritage')","(0.37777777777777777, 'recommendations science technology expert working group context world heritage nominations')","(0.30666666666666664, 'group context world heritage nominations london well recommendations developed within framework thematic initiative astronomy world heritage preparing')","(0.2992700729927007, 'respectively n nbsp notes information provided recommendations science technology expert working group context world heritage nominations')","(0.31092436974789917, 'account recommendations provided science technology expert working group context world heritage nominations london well')","(0.3555555555555555, 'world heritage convention progress made study')","(0.27835051546391754, 'issues future expert meeting criterion vi n nbsp encourages states parties donors')","(0.29885057471264365, 'astronomy archaeoastronomy context unesco world heritage convention progress made study')"
"Jun 19, 2011 Progress Report on the first cycle of the Periodic Reporting and launching of the second cycle of the Periodic Reporting","(0.31506849315068497, 'framework second cycle periodic reporting n requests world heritage')","(0.3088235294117647, 'category centres advisory bodies concerned partners explore opportunities tool provide communication coordination n also requests states')","(0.33333333333333337, 'communication coordination n also requests')","(0.3137254901960784, 'tool provide communication coordination n also requests states parties latin american caribbean region')","(0.3492063492063492, 'communication coordination n also requests states parties latin')","(0.29166666666666663, 'achieved also requests world heritage centre advisory bodies continue providing assistance states parties latin american')","(0.3870967741935484, 'states parties category centres')","(0.4, 'caribbean region framework second cycle periodic reporting n')","(0.36, 'latin american caribbean region framework second cycle periodic reporting n')","(0.375, 'latin american caribbean region advisory')","(0.31999999999999995, 'session quebec city session brasilia n takes')","(0.29268292682926833, 'parties category centres advisory bodies concerned partners explore opportunities tool provide communication coordination n')","(0.3023255813953488, 'launch second cycle periodic reporting latin american caribbean region requests states parties actively participate process n')","(0.27380952380952384, 'process n commends states parties region achievements submission draft retrospective')","(0.32307692307692304, 'reporting latin american caribbean region requests states parties')","(0.31666666666666665, 'n takes note progress achieved follow up first')","(0.32835820895522383, 'framework second cycle periodic reporting n requests world')","(0.36764705882352944, 'continue provide assistance implementation process n commends states')","(0.3728813559322034, 'provide assistance implementation process n commends states')","(0.36986301369863017, 'satisfaction results already achieved also requests world heritage centre')","(0.3411764705882353, 'follow up implementation periodic reporting exercise encourages world heritage centre')","(0.368421052631579, 'communication coordination n also requests states parties')","(0.3017241379310345, 'brasilia n takes note progress achieved follow up first cycle periodic reporting latin america caribbean')","(0.2941176470588235, 'advisory bodies concerned partners explore opportunities tool provide communication coordination n also requests states')","(0.30000000000000004, 'ext com com com com com adopted respectively session suzhou')","(0.34615384615384615, 'follow up implementation periodic reporting exercise encourages world heritage')","(0.42168674698795183, 'bodies continue providing assistance states parties latin american caribbean region')","(0.3555555555555555, 'session brasilia n takes note progress achieved follow up first cycle periodic reporting latin america caribbean region')","(0.3153846153846154, 'ext com com com com com adopted respectively session suzhou extraordinary session unesco session durban session')","(0.33333333333333337, 'world heritage centre advisory bodies continue providing assistance states parties latin american caribbean region')","(0.3392857142857143, 'up implementation periodic reporting exercise encourages')","(0.3090909090909091, 'assistance implementation process n commends states parties region achievements submission draft retrospective')","(0.30000000000000004, 'implementation periodic reporting exercise encourages world heritage centre states parties')"
"Jun 19, 2011 Reflection concerning the upstream process","(0.35443037974683544, 'upon states parties international community provide technical financial support')","(0.2945736434108527, 'parties whose heritage already well represented world heritage list consider linking nominations nomination presented state party')","(0.34693877551020413, 'consideration world heritage committee nomination')","(0.32539682539682535, 'headquarters n taking consideration findings recommendations evaluation global strategy representative balanced credible world')","(0.375, 'selection proposed pilot projects advisory bodies world heritage')","(0.28358208955223885, 'nominations nomination presented state party whose heritage un represented under represented foreseen paragraph operational guidelines')","(0.3913043478260869, 'purpose n also requests')","(0.34246575342465757, 'undertaken improve processes practices prior consideration world heritage')","(0.313953488372093, 'well represented world heritage list consider linking nominations nomination presented')","(0.41025641025641024, 'within larger context national capacity')","(0.31666666666666665, 'submitted concerned states parties necessary financial means')","(0.2946428571428571, 'bodies work states parties concerned place work upstream process within larger context national capacity')","(0.30000000000000004, 'processes practices prior consideration world heritage committee nomination the upstream processes expresses appreciation states parties collaboration')","(0.3023255813953488, 'parties collaboration selection proposed pilot projects advisory bodies world heritage')","(0.33783783783783783, 'un represented under represented foreseen paragraph operational guidelines')","(0.3287671232876712, 'heritage centre report progress implementing pilot projects consideration')","(0.31343283582089554, 'n takes note pilot projects chosen implement experimental')","(0.34246575342465757, 'priority given preparatory assistance requests submitted concerned states')","(0.3620689655172413, 'concerned implementation pilot projects n decides priority')","(0.37037037037037035, 'parties international community provide technical financial support assist states')","(0.3894736842105263, 'recommendations evaluation global strategy representative balanced credible world heritage list')","(0.3538461538461538, 'practices prior consideration world heritage committee nomination')","(0.3214285714285714, 'headquarters n taking consideration findings recommendations evaluation global strategy representative balanced credible world heritage list')","(0.32173913043478264, 'adopted session seville com adopted session brasilia resolution ga adopted general assembly states parties')","(0.3146067415730337, 'parties international community provide technical financial support assist states parties')","(0.375, 'development national capacity building strategies foreseen within world heritage')","(0.32692307692307687, 'consideration findings recommendations evaluation global strategy representative balanced credible world')","(0.30625, 'processes practices prior consideration world heritage committee nomination the upstream processes expresses appreciation states parties collaboration selection')","(0.29230769230769227, 'n recalling decision com adopted session quebec city decision com adopted session seville com adopted session')","(0.3282442748091603, 'consideration findings recommendations evaluation global strategy representative balanced credible world heritage list final report')","(0.3666666666666667, 'headquarters n taking consideration findings recommendations')","(0.28037383177570097, 'expresses appreciation states parties collaboration selection proposed pilot projects advisory bodies world')","(0.34736842105263155, 'processes expresses appreciation states parties collaboration selection proposed pilot projects')"
