,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Oct 18, 2010 Retirement of decisions","(0.36250000000000004, 'governments relevant international organizations least six months prior eleventh')","(0.4354838709677419, 'cbd distr general unep cbd cop dec x october original english conference parties convention biological diversity')","(0.6888888888888889, 'parties convention biological diversity tenth')","(0.33599999999999997, 'elements decisions taken seventh meeting communicate proposals parties governments relevant international organizations least')","(0.3529411764705882, 'convention biological diversity tenth meeting x retirement decisions')","(0.303030303030303, 'conference parties convention biological diversity tenth meeting x retirement decisions conference parties decides maintain interval')","(0.36111111111111116, 'interval review regarding retirement')","(0.360655737704918, 'retired decisions fifth meeting conference parties decision v')","(0.3493975903614458, 'nagoya japan october item decision adopted conference parties convention biological')","(0.36, 'conference parties convention biological diversity')","(0.33333333333333337, 'proposals conference parties eleventh meeting regarding retirement')","(0.3035714285714286, 'least six months prior eleventh meeting decides retire decisions elements decisions adopted fifth sixth')","(0.3309352517985612, 'conference parties convention biological diversity tenth meeting x retirement decisions conference parties decides maintain interval review')","(0.3157894736842105, 'proposals conference parties eleventh meeting regarding retirement decisions elements decisions')","(0.295774647887324, 'governments relevant international organizations least six months prior')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.3026315789473685, 'proposals conference parties eleventh meeting regarding retirement decisions')","(0.31746031746031744, 'months prior eleventh meeting decides retire decisions elements')","(0.34426229508196726, 'annex decisions elements decisions adopted conference parties')","(0.3733333333333333, 'international organizations least six months prior eleventh meeting decides')","(0.375, 'governments relevant international organizations least six months prior eleventh meeting')","(0.3620689655172413, 'convention biological diversity tenth meeting nagoya japan')","(0.32835820895522383, 'make proposals conference parties eleventh meeting regarding retirement decisions elements decisions taken seventh meeting communicate')","(0.28695652173913044, 'fifth sixth meetings listed annex present decision requests executive secretary continue practice maintaining full')","(0.4044943820224719, 'october original english conference parties convention biological diversity tenth meeting')","(0.3291139240506329, 'convention biological diversity tenth meeting x retirement decisions conference')","(0.4137931034482759, 'convention biological diversity tenth meeting x retirement decisions conference parties')","(0.3472222222222222, 'october item decision adopted conference parties convention biological diversity tenth meeting x retirement decisions conference parties decides')","(0.3308823529411765, 'october item decision adopted conference parties convention biological diversity tenth meeting x retirement decisions conference parties')","(0.33333333333333337, 'conference parties convention biological diversity tenth meeting x retirement decisions conference parties decides maintain')","(0.3620689655172413, 'governments relevant international organizations least six')","(0.28865979381443296, 'fifth sixth meeting could retired decisions fifth meeting conference parties decision v')","(0.348314606741573, 'proposals parties governments relevant international organizations least six months prior')"
"Oct 18, 2010 Tribute to the Government and people of Japan","(0.3614457831325302, 'appreciating excellent arrangements made meeting especial courtesy warm hospitality')","(0.4354838709677419, 'cbd distr general unep cbd cop dec x october original english conference parties convention biological diversity')","(0.7380952380952381, 'convention biological diversity met nagoya')","(0.2962962962962963, 'made meeting especial courtesy warm hospitality extended participants government japan aichi prefecture city')","(0.31818181818181823, 'parties convention biological diversity tenth meeting nagoya japan')","(0.33333333333333337, 'parties convention biological diversity met nagoya october gracious invitation government japan deeply appreciating excellent arrangements')","(0.3214285714285714, 'meeting x tribute government')","(0.3472222222222222, 'item decision adopted conference parties convention biological diversity')","(0.33720930232558144, 'japan we participants tenth meeting conference parties convention biological diversity')","(0.36, 'conference parties convention biological diversity')","(0.3125, 'adopted conference parties convention biological diversity tenth')","(0.28125, 'generosity spirit contribution success meeting order minimize environmental impacts secretariat s processes contribute secretary')","(0.28682170542635654, 'adopted conference parties convention biological diversity tenth meeting x tribute government people japan we participants tenth')","(0.308641975308642, 'parties convention biological diversity tenth meeting nagoya japan october agenda')","(0.35820895522388063, 'parties convention biological diversity met nagoya october gracious')","(0.5584415584415585, 'participants tenth meeting conference parties convention biological diversity')","(0.31343283582089554, 'parties convention biological diversity tenth meeting x tribute')","(0.3076923076923077, 'document printed limited numbers delegates kindly requested bring')","(0.3620689655172413, 'parties convention biological diversity met nagoya october')","(0.2911392405063291, 'meeting order minimize environmental impacts secretariat s processes contribute')","(0.3033707865168539, 'parties convention biological diversity met nagoya october gracious invitation government')","(0.3728813559322034, 'convention biological diversity met nagoya october gracious')","(0.29508196721311475, 'adopted conference parties convention biological diversity tenth meeting x tribute government people japan we participants')","(0.28695652173913044, 'japan aichi prefecture city nagoya people express sincere gratitude government people japan generosity spirit')","(0.43181818181818177, 'participants tenth meeting conference parties convention biological diversity met nagoya')","(0.3246753246753247, 'meeting conference parties convention biological diversity met nagoya october')","(0.3820224719101124, 'contribution success meeting order minimize environmental impacts secretariat s processes')","(0.32592592592592595, 'october agenda item decision adopted conference parties convention biological diversity tenth meeting x tribute government people japan')","(0.3037037037037037, 'arrangements made meeting especial courtesy warm hospitality extended participants government japan aichi prefecture city nagoya people')","(0.33599999999999997, 'parties convention biological diversity met nagoya october gracious invitation government japan deeply appreciating excellent')","(0.3555555555555555, 'government people japan we participants tenth')","(0.27835051546391754, 'parties convention biological diversity tenth meeting nagoya japan october agenda item decision')","(0.30952380952380953, 'japan deeply appreciating excellent arrangements made meeting especial courtesy warm')"
"Oct 18, 2010 United Nations Decade on Biodiversity 20112020","(0.3563218390804598, 'convention strategic plan biodiversity order minimize environmental impacts secretariat')","(0.4354838709677419, 'cbd distr general unep cbd cop dec x october original english conference parties convention biological diversity')","(0.6888888888888889, 'parties convention biological diversity tenth')","(0.319672131147541, 'implementation strategic plan related activities parties stakeholders view including information regular reports secretary')","(0.3866666666666667, 'achieved celebration international year biodiversity invites united nations')","(0.3214285714285714, 'related conventions organizations processes reaffirming importance raising public awareness biodiversity related issues stressing need build')","(0.32352941176470584, 'take stock progress implementation')","(0.4307692307692308, 'united nations general assembly consider declaring united nations')","(0.4065934065934066, 'reports secretary general united nations general assembly implementation convention invites')","(0.3829787234042553, 'biodiversity related conventions encourage full')","(0.3846153846153846, 'objectives convention biodiversity related conventions organizations processes')","(0.35, 'secretariats biodiversity related conventions encourage full participation parties relevant organizations stakeholders united nations decade')","(0.3402777777777778, 'united nations general assembly consider declaring united nations decade biodiversity requests executive secretary cooperation relevant partners')","(0.3557692307692307, 'related conventions organizations processes reaffirming importance raising public awareness biodiversity')","(0.34246575342465757, 'development goals emphasizing need achieve full implementation objectives')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.33333333333333337, 'importance biodiversity achievement millennium development goals emphasizing need')","(0.32352941176470584, 'information regular reports secretary general united nations general')","(0.40625, 'implementation convention strategic plan biodiversity take stock')","(0.36250000000000004, 'international year biodiversity invites united nations general assembly consider')","(0.40217391304347827, 'achieved celebration international year biodiversity invites united nations general assembly')","(0.43103448275862066, 'convention strategic plan biodiversity take stock progress')","(0.31818181818181823, 'objectives convention biodiversity related conventions organizations processes reaffirming importance raising public awareness biodiversity related issues')","(0.3165467625899281, 'implementation convention invites environment management group facilitate cooperation information exchange among members support convention')","(0.4044943820224719, 'october original english conference parties convention biological diversity tenth meeting')","(0.39560439560439564, 'conventions encourage full participation parties relevant organizations stakeholders united')","(0.4382022471910112, 'convention strategic plan biodiversity order minimize environmental impacts secretariat s')","(0.3836477987421384, 'group facilitate cooperation information exchange among members support convention strategic plan biodiversity order minimize environmental impacts secretariat')","(0.32258064516129037, 'reports secretary general united nations general assembly implementation convention invites environment management group facilitate cooperation information')","(0.3481481481481481, 'secretary general united nations general assembly implementation convention invites environment management group facilitate cooperation')","(0.36170212765957444, 'among members support convention strategic plan')","(0.3063063063063063, 'support implementation convention strategic plan biodiversity take stock progress implementation strategic plan')","(0.3152173913043478, 'group facilitate cooperation information exchange among members support convention strategic')"
"Oct 20, 2003 Initiation of work on the scope of Annex II","(0.28767123287671237, 'initiation work scope annex ii open ended working group')","(0.2661290322580645, 'scope annex ii open ended working group noting comments received secretariat question scope annex ii noting')","(0.30434782608695654, 'include revision updating technical guidelines')","(0.2920353982300885, 'progressing work agrees include revision updating technical guidelines wastes collected households work programme')","(0.3472222222222222, 'programme period invites parties signatories provide technical financial')","(0.23484848484848486, 'include revision updating technical guidelines wastes collected households work programme period invites parties signatories provide')","(0.3529411764705882, 'secretariat work programme element')","(0.30666666666666664, 'invites parties signatories provide technical financial support secretariat')","(0.2954545454545454, 'households work programme period invites parties signatories provide technical financial')","(0.2857142857142857, 'group noting comments received secretariat')","(0.30000000000000004, 'scope annex ii open ended working group')","(0.2946428571428571, 'work scope annex ii open ended working group noting comments received secretariat question scope')","(0.24806201550387597, 'oewg ii initiation work scope annex ii open ended working group noting comments received secretariat question')","(0.2941176470588235, 'wastes collected households work programme period invites parties signatories provide')","(0.3285714285714286, 'agrees include revision updating technical guidelines wastes collected')","(0.25, 'initiation work scope annex ii open ended working')","(0.25373134328358204, 'oewg ii initiation work scope annex ii open')","(0.295774647887324, 'revision updating technical guidelines wastes collected households work')","(0.368421052631579, 'noting comments received secretariat question scope annex')","(0.29508196721311475, 'initiation work scope annex ii open ended working group')","(0.28888888888888886, 'invites parties signatories provide technical financial support secretariat work programme')","(0.31746031746031744, 'include revision updating technical guidelines wastes collected')","(0.31034482758620685, 'work scope annex ii open ended working group noting comments received secretariat question scope annex')","(0.28695652173913044, 'oewg ii initiation work scope annex ii open ended working group noting comments received')","(0.28260869565217395, 'programme period invites parties signatories provide technical financial support secretariat')","(0.28125, 'oewg ii initiation work scope annex ii open ended')","(0.33333333333333337, 'oewg ii initiation work scope annex ii open ended working')","(0.2962962962962963, 'scope annex ii open ended working group noting comments received secretariat question scope annex ii noting also')","(0.30000000000000004, 'scope annex ii open ended working group noting comments received secretariat question scope annex ii noting')","(0.2844036697247706, 'question scope annex ii noting also differences approaches suggested progressing work agrees include revision')","(0.3207547169811321, 'agrees include revision updating technical guidelines')","(0.2680412371134021, 'oewg ii initiation work scope annex ii open ended working group noting')","(0.28787878787878785, 'oewg ii initiation work scope annex ii open ended working')"
"Oct 20, 2003 Annex IX to the Basel Convention","(0.3012048192771084, 'concerning national classification control procedures import wastes contained annex')","(0.2773722627737226, 'working group recalling decision oewg i noting information submitted parties concerning national classification control procedures import')","(0.4193548387096774, 'convention www basel int update')","(0.3063063063063063, 'oewg i noting information submitted parties concerning national classification control procedures import wastes')","(0.3492063492063492, 'oewg i noting information submitted parties concerning national')","(0.3129770992366412, 'provided parties concerning national classification control procedures import wastes contained annex ix invites parties signatories')","(0.32258064516129037, 'basis also requests secretariat')","(0.36708860759493667, 'noting information submitted parties concerning national classification control')","(0.34042553191489366, 'provided parties concerning national classification control procedures import wastes contained')","(0.4666666666666667, 'ix basel convention open ended')","(0.4, 'ix basel convention open ended working group')","(0.3660714285714286, 'ix basel convention open ended working group recalling decision oewg i noting information submitted')","(0.3381294964028777, 'submitted parties concerning national classification control procedures import wastes contained annex ix welcoming replies provided parties')","(0.4054054054054054, 'basel convention www basel int update continuous basis also requests')","(0.30379746835443033, 'signatories provided information fill relevant questionnaire return secretariat')","(0.35, 'oewg ii annex ix basel convention open ended')","(0.34328358208955223, 'basel convention www basel int update continuous basis')","(0.2857142857142857, 'continuous basis also requests secretariat prepare consolidated report')","(0.40909090909090906, 'ix basel convention open ended working group')","(0.32530120481927716, 'concerning national classification control procedures import wastes contained annex')","(0.3191489361702128, 'provided parties concerning national classification control procedures import wastes contained')","(0.37254901960784315, 'received post information web site basel convention')","(0.31896551724137934, 'ix basel convention open ended working group recalling decision oewg i noting information submitted parties')","(0.32173913043478264, 'post information web site basel convention www basel int update continuous basis also requests')","(0.2872340425531915, 'provided parties concerning national classification control procedures import wastes contained')","(0.3571428571428571, 'provided parties concerning national classification control procedures import wastes')","(0.31999999999999995, 'basel convention open ended working group recalling decision oewg i')","(0.28378378378378377, 'procedures import wastes contained annex ix invites parties signatories provided information fill relevant questionnaire return secretariat possible')","(0.27692307692307694, 'prepare compilation replies received post information web site basel convention www basel int update continuous basis')","(0.3305785123966942, 'concerning national classification control procedures import wastes contained annex ix welcoming replies provided parties')","(0.3666666666666667, 'prepare consolidated report consideration conference parties')","(0.2894736842105263, 'provided information fill relevant questionnaire return secretariat possible december requests secretariat prepare')","(0.3484848484848485, 'post information web site basel convention www basel int update')"
"Oct 18, 2010 Scientific and technical cooperation and the clearinghouse mechanism","(0.37209302325581395, 'cooperation knowledge sharing information exchange establish fully operational network')","(0.4354838709677419, 'cbd distr general unep cbd cop dec x october original english conference parties convention biological diversity')","(0.6888888888888889, 'parties convention biological diversity tenth')","(0.33644859813084116, 'information conservation purposes report back progress next meeting conference parties improve convention s')","(0.4029850746268657, 'convention adopts mission goals objectives clearing house mechanism')","(0.3015873015873016, 'parties convention biological diversity tenth meeting nagoya japan october item decision adopted conference parties convention')","(0.3928571428571429, 'parties improve convention s')","(0.4285714285714286, 'united nations languages effective information exchange services fully')","(0.4, 'quality cbd website available united nations languages effective information exchange')","(0.41666666666666663, 'parties improve convention s website')","(0.35593220338983056, 'information conservation purposes report back progress next')","(0.31851851851851853, 'information services appropriate means order promote facilitate scientific technical cooperation knowledge sharing information exchange')","(0.3395061728395061, 'significantly implementation convention biological diversity strategic plan biodiversity effective information services appropriate means order promote facilitate')","(0.3157894736842105, 'strategic plan biodiversity explore collaboration parties governments relevant partners members')","(0.35820895522388063, 'information conservation purposes report back progress next meeting')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.3733333333333333, 'mechanism network partners cbd secretariat contributed development national')","(0.3623188405797102, 'concrete practical information well best practices ongoing activities')","(0.40909090909090906, 'implementation convention adopts mission goals objectives clearing')","(0.35064935064935066, 'information well best practices ongoing activities support facilitate promote')","(0.3548387096774194, 'available national information exchanged clearing house mechanism network parties collaborate')","(0.40816326530612246, 'convention s website make website readable united')","(0.3448275862068966, 'national clearing house mechanisms provide effective information services facilitate implementation national biodiversity strategies action plans')","(0.32121212121212117, 'committees participation relevant organizations stakeholders evaluate effectiveness information services contributing implementation national biodiversity strategies')","(0.4044943820224719, 'october original english conference parties convention biological diversity tenth meeting')","(0.3555555555555555, 'convention biological diversity strategic plan biodiversity effective information services')","(0.3820224719101124, 'convention biological diversity tenth meeting x scientific technical cooperation clearing')","(0.326530612244898, 'supporting role clearing house mechanism implementation convention adopts mission goals objectives clearing house mechanism period annexed decision')","(0.3146853146853147, 'programme clearing house mechanism line adopted strategic plan biodiversity explore collaboration parties governments relevant partners members')","(0.3471074380165289, 'suggestions included list priority activities promote networking parties partners linking central national clearing house')","(0.45999999999999996, 'partners members conservation commons ways promote')","(0.3129770992366412, 'significantly implementation convention biological diversity strategic plan biodiversity effective information services appropriate')","(0.3214285714285714, 'annex ii progress report executive secretary well suggestions development encourages')"
"Oct 21, 1979 Nomination submitted by Yugoslavia of the Kotor natural and historical region to the World Heritage List and the List of","(0.25609756097560976, 'committee agreed special procedure emergency inscription properties world heritage')","(0.21641791044776115, 'emergency inscription properties world heritage list n bureau decided technical cooperation request examined committee taken decisions')","(0.2857142857142857, 'inscription properties world heritage list')","(0.2777777777777778, 'emergency inscription properties world heritage list n bureau decided technical cooperation request examined')","(0.3055555555555556, 'decided technical cooperation request examined committee taken decisions')","(0.2338709677419355, 'emergency inscription properties world heritage list n bureau decided technical cooperation request examined committee taken')","(0.30000000000000004, 'properties world heritage list')","(0.27692307692307694, 'n bureau decided technical cooperation request examined committee')","(0.28409090909090906, 'lists provided committee agreed special procedure emergency inscription properties world')","(0.31818181818181823, 'examined committee taken decisions mentioned')","(0.3125, 'technical cooperation request examined committee taken decisions')","(0.2566371681415929, 'bureau decided recommend site entered two lists provided committee agreed special procedure emergency inscription')","(0.2790697674418605, 'entered two lists provided committee agreed special procedure emergency inscription properties world heritage list n bureau')","(0.24691358024691357, 'n bureau decided technical cooperation request examined committee taken decisions')","(0.3194444444444444, 'decided technical cooperation request examined committee taken decisions')","(0.24285714285714288, 'special procedure emergency inscription properties world heritage list')","(0.26865671641791045, 'emergency inscription properties world heritage list n bureau')","(0.27692307692307694, 'n bureau decided technical cooperation request examined committee')","(0.3548387096774194, 'decided technical cooperation request examined committee taken')","(0.2804878048780488, 'committee agreed special procedure emergency inscription properties world heritage')","(0.32183908045977017, 'committee agreed special procedure emergency inscription properties world heritage list')","(0.390625, 'cooperation request examined committee taken decisions mentioned')","(0.26890756302521013, 'site entered two lists provided committee agreed special procedure emergency inscription properties world heritage list')","(0.26086956521739135, 'lists provided committee agreed special procedure emergency inscription properties world heritage list n bureau')","(0.28735632183908044, 'committee agreed special procedure emergency inscription properties world heritage list')","(0.37681159420289856, 'emergency inscription properties world heritage list n bureau decided')","(0.26436781609195403, 'committee agreed special procedure emergency inscription properties world heritage list')","(0.27083333333333337, 'emergency inscription properties world heritage list n bureau decided technical cooperation request examined committee taken decisions mentioned')","(0.28358208955223885, 'committee agreed special procedure emergency inscription properties world heritage list n bureau decided technical cooperation request')","(0.2627118644067796, 'emergency inscription properties world heritage list n bureau decided technical cooperation request examined committee')","(0.3571428571428571, 'decided technical cooperation request examined committee')","(0.2525252525252525, 'emergency inscription properties world heritage list n bureau decided technical cooperation request')","(0.2784810126582279, 'heritage list n bureau decided technical cooperation request examined committee')"
"Oct 18, 2010 Sciencepolicy interface on biodiversity, ecosystem services and human wellbeing and consideration of the ou","(0.3176470588235294, 'services established noting international year biodiversity encourages united nations')","(0.4354838709677419, 'cbd distr general unep cbd cop dec x october original english conference parties convention biological diversity')","(0.6888888888888889, 'parties convention biological diversity tenth')","(0.33333333333333337, 'human well consideration outcome intergovernmental meetings conference parties recalling decisions viii ix particular')","(0.3802816901408451, 'page convention thereby strengthen subsidiary body scientific technical')","(0.30327868852459017, 'parties convention biological diversity tenth meeting nagoya japan october agenda item decision adopted conference parties')","(0.3414634146341463, 'particular reaffirming regular assessment')","(0.3733333333333333, 'measures taken accordance provisions convention reaffirming need strengthen')","(0.33333333333333337, 'body scientific technical technological advice set article convention elaborated consolidated')","(0.5172413793103448, 'dec x page convention thereby')","(0.3846153846153846, 'provisions convention reaffirming need strengthen role subsidiary')","(0.3142857142857143, 'june conclusion intergovernmental science policy platform biodiversity ecosystem services established noting international year biodiversity')","(0.31756756756756754, 'encourages united nations general assembly sixty fifth session consider establishment intergovernmental science policy platform earliest opportunity')","(0.3402061855670103, 'well consideration outcome intergovernmental meetings conference parties recalling decisions viii')","(0.3157894736842105, 'requests executive secretary collaboration bureau subsidiary body scientific')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.36363636363636365, 'work convention particular subsidiary body scientific technical technological')","(0.328125, 'parties and appropriate subsidiary bodies timely advice relating')","(0.4067796610169492, 'advice set article convention elaborated consolidated modus')","(0.345679012345679, 'noting international year biodiversity encourages united nations general assembly')","(0.3978494623655914, 'services established noting international year biodiversity encourages united nations general')","(0.3970588235294118, 'convention elaborated consolidated modus operandi provide conference')","(0.30534351145038163, 'adopted conference parties convention biological diversity tenth meeting x science policy interface biodiversity ecosystem services')","(0.3046875, 'provisions convention reaffirming need strengthen role subsidiary body scientific technical technological advice regard welcomes')","(0.4130434782608695, 'implementation convention inter alia providing assessments status biological diversity types')","(0.375, 'convention reaffirming need strengthen role subsidiary body scientific technical')","(0.35106382978723405, 'convention reaffirming need strengthen role subsidiary body scientific technical technological')","(0.34042553191489366, 'october agenda item decision adopted conference parties convention biological diversity tenth meeting x science policy interface biodiversity')","(0.30000000000000004, 'october agenda item decision adopted conference parties convention biological diversity tenth meeting x science policy interface')","(0.368, 'convention inter alia providing assessments status biological diversity types measures taken accordance provisions convention')","(0.3728813559322034, 'services human well consideration outcome intergovernmental')","(0.28688524590163933, 'seeking complementarity avoiding duplication work convention particular subsidiary body scientific technical technological')","(0.33333333333333337, 'multi stakeholder meeting intergovernmental science policy platform biodiversity ecosystem services')"
"Oct 21, 1979 Request from Nepal for technical cooperation for Sagarmatha National Park","(0.31506849315068497, 'co operation sagarmatha national park nepal however request received')","(0.1937984496124031, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request received deadline')","(0.28205128205128205, 'received request technical co operation')","(0.2912621359223301, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however')","(0.3278688524590164, 'request technical co operation sagarmatha national park nepal')","(0.21666666666666667, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request received')","(0.3076923076923077, 'park nepal however request')","(0.30434782608695654, 'received deadline fully processed bureau consequently decided examine')","(0.2987012987012987, 'co operation sagarmatha national park nepal however request received deadline')","(0.29268292682926833, 'request technical co operation sagarmatha')","(0.26415094339622647, 'technical co operation sagarmatha national park nepal')","(0.2142857142857143, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request')","(0.20155038759689925, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request received deadline')","(0.22619047619047616, 'bureau noted secretariat received request technical co operation sagarmatha national')","(0.295774647887324, 'secretariat received request technical co operation sagarmatha national')","(0.234375, 'bureau noted secretariat received request technical co operation')","(0.28358208955223885, 'request technical co operation sagarmatha national park nepal')","(0.30000000000000004, 'park nepal however request received deadline fully processed')","(0.339622641509434, 'technical co operation sagarmatha national park nepal')","(0.3285714285714286, 'sagarmatha national park nepal however request received deadline fully')","(0.36363636363636365, 'co operation sagarmatha national park nepal however request received deadline')","(0.30508474576271183, 'received request technical co operation sagarmatha national')","(0.2416666666666667, 'received request technical co operation sagarmatha national park nepal however request received deadline fully processed')","(0.24347826086956526, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request')","(0.2588235294117647, 'however request received deadline fully processed bureau consequently decided examine')","(0.26086956521739135, 'request technical co operation sagarmatha national park nepal however')","(0.24675324675324672, 'co operation sagarmatha national park nepal however request received deadline')","(0.2158273381294964, 'request technical co operation sagarmatha national park nepal however request received deadline fully processed bureau consequently decided')","(0.23076923076923073, 'bureau noted secretariat received request technical co operation sagarmatha national park nepal however request received deadline')","(0.2654867256637168, 'co operation sagarmatha national park nepal however request received deadline fully processed bureau consequently')","(0.33999999999999997, 'request technical co operation sagarmatha national')","(0.20618556701030932, 'received request technical co operation sagarmatha national park nepal however request received')","(0.2857142857142857, 'bureau noted secretariat received request technical co operation sagarmatha national')"
"Oct 20, 2003 Analysis of issues related to Annex VII","(0.28767123287671237, 'comments made second session open ended working group made')","(0.25806451612903225, 'points contained annex iii report second session open ended working group would reopen discussion raise new')","(0.32432432432432434, 'second view finalizing analysis third')","(0.306930693069307, 'comments information taking account appropriate points contained annex iii report second session open')","(0.3013698630136986, 'specific comments information taking account appropriate points contained')","(0.24778761061946908, 'issues requests secretariat prepare paper consolidates comments made second session open ended working group made')","(0.3214285714285714, 'parties seventh session unep')","(0.30000000000000004, 'phases ii analysis final decision conference parties seventh')","(0.2987012987012987, 'group presenting phases ii analysis final decision conference parties seventh')","(0.32432432432432434, 'ii analysis final decision conference')","(0.31999999999999995, 'second session open ended working group made')","(0.3035714285714286, 'contained annex iii report second session open ended working group would reopen discussion raise')","(0.3023255813953488, 'points contained annex iii report second session open ended working group would reopen discussion raise new')","(0.2666666666666667, 'paper presenting current analysis issues contained annex note item prepared')","(0.2833333333333333, 'report second session open ended working group would')","(0.29850746268656714, 'secretariat prepare paper consolidates comments made second session')","(0.29850746268656714, 'report second session open ended working group would')","(0.29230769230769227, 'working group made subsequently paper presenting current analysis')","(0.34693877551020413, 'view finalizing analysis third session open ended')","(0.29166666666666663, 'information taking account appropriate points contained annex iii report')","(0.28767123287671237, 'annex note item prepared secretariat working group second view finalizing')","(0.30612244897959184, 'comments made second session open ended working')","(0.2931034482758621, 'vii open ended working group noting main findings phase ii analysis issues related annex vii')","(0.26956521739130435, 'january technical specific comments information taking account appropriate points contained annex iii report second')","(0.30000000000000004, 'group noting main findings phase ii analysis issues related annex')","(0.265625, 'comments made second session open ended working group made')","(0.2666666666666667, 'oewg ii analysis issues related annex vii open ended working')","(0.274074074074074, 'information taking account appropriate points contained annex iii report second session open ended working group would reopen')","(0.29230769230769227, 'points contained annex iii report second session open ended working group would reopen discussion raise new')","(0.28971962616822433, 'comments information taking account appropriate points contained annex iii report second session open ended')","(0.33333333333333337, 'annex vii considering first draft analysis')","(0.2680412371134021, 'third session open ended working group presenting phases ii analysis final decision')","(0.29166666666666663, 'paper consolidates comments made second session open ended working group')"
