,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Sep 3, 2018 Consultation with the Committee Administering the Mechanism for Promoting Implementation and Compliance of t","(0.2191780821917808, 'oewg inf unep chw oewg inf unep chw oewg')","(0, '')","(0.19354838709677424, 'chw oewg inf unep chw')","(0, '')","(0.2222222222222222, 'unep chw oewg inf unep chw oewg inf')","(0, '')","(0, '')","(0.26, 'unep chw oewg inf unep chw oewg inf')","(0.2153846153846154, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.2222222222222222, 'inf unep chw oewg inf')","(0.21999999999999997, 'chw oewg inf unep chw oewg inf')","(0, '')","(0, '')","(0.20270270270270274, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.21666666666666667, 'unep chw oewg inf unep chw oewg inf')","(0.23333333333333328, 'unep chw oewg inf unep chw oewg inf')","(0.23880597014925375, 'oewg inf unep chw oewg inf unep chw')","(0.22916666666666663, 'unep chw oewg inf unep chw oewg inf')","(0.275, 'inf unep chw oewg inf unep chw')","(0.2622950819672131, 'unep chw oewg inf unep chw oewg inf unep')","(0.2272727272727273, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.24489795918367352, 'unep chw oewg inf unep chw oewg')","(0, '')","(0, '')","(0.21250000000000002, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.234375, 'oewg inf unep chw oewg inf unep chw oewg')","(0.22666666666666668, 'unep chw oewg inf unep chw oewg inf unep chw')","(0, '')","(0, '')","(0, '')","(0.25, 'unep chw oewg inf unep chw')","(0, '')","(0.25757575757575757, 'unep chw oewg inf unep chw oewg inf unep chw')"
"Sep 3, 2018 Developing guidelines for environmentally sound management","(0.2465753424657534, 'oewg unep chw oewg inf unep chw oewg inf')","(0.2338709677419355, 'inf chw oewg inf rev unep chw oewg inf rev unep chw oewg inf rev unep')","(0.19354838709677424, 'chw oewg inf unep chw')","(0.23170731707317072, 'unep chw oewg inf unep chw oewg inf chw oewg inf rev unep')","(0.2222222222222222, 'chw oewg inf unep chw oewg inf unep')","(0.2222222222222222, 'oewg inf unep chw oewg inf unep chw oewg inf unep chw oewg inf chw')","(0.17647058823529416, 'oewg inf rev unep')","(0.24, 'chw oewg inf rev unep chw oewg inf')","(0.24615384615384617, 'rev unep chw oewg inf rev unep chw oewg inf')","(0.2592592592592593, 'inf chw oewg inf rev')","(0.21999999999999997, 'chw oewg inf unep chw oewg inf')","(0.25, 'oewg unep chw oewg inf unep chw oewg inf unep chw oewg inf unep')","(0.2325581395348837, 'inf unep chw oewg inf unep chw oewg inf unep chw oewg inf chw oewg inf')","(0.21621621621621623, 'rev unep chw oewg inf rev unep chw oewg inf')","(0.21666666666666667, 'chw oewg inf chw oewg inf rev unep')","(0.23333333333333328, 'chw oewg inf unep chw oewg inf unep')","(0.26865671641791045, 'rev unep chw oewg inf rev unep chw')","(0.25, 'oewg inf rev unep chw oewg inf rev')","(0.275, 'inf unep chw oewg inf unep chw')","(0.2622950819672131, 'inf unep chw oewg inf unep chw oewg inf')","(0.24242424242424243, 'inf chw oewg inf rev unep chw oewg inf rev')","(0.24489795918367352, 'unep chw oewg inf unep chw oewg')","(0.25, 'chw oewg inf unep chw oewg inf unep chw oewg inf chw oewg inf rev')","(0.23478260869565215, 'chw oewg inf unep chw oewg inf unep chw oewg inf chw oewg inf')","(0.25, 'inf chw oewg inf rev unep chw oewg inf rev')","(0.234375, 'rev unep chw oewg inf rev unep chw oewg')","(0.2666666666666667, 'rev unep chw oewg inf rev unep chw oewg inf')","(0.24444444444444446, 'oewg unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw oewg inf')","(0.24615384615384617, 'inf unep chw oewg inf unep chw oewg inf chw oewg inf rev unep chw oewg')","(0.26732673267326734, 'inf unep chw oewg inf chw oewg inf rev unep chw oewg inf rev')","(0.25, 'unep chw oewg inf unep chw')","(0.20618556701030932, 'oewg inf rev unep chw oewg inf rev unep chw oewg inf')","(0.2727272727272727, 'chw oewg inf rev unep chw oewg inf rev unep')"
"Sep 3, 2007 Review of work on the guidance papers on H10 and H11 pursuant to decision VIII21","(0.30666666666666664, 'position take lead finalization work guidance papers contribute financially')","(0.2738853503184714, 'values hazard characteristic requests secretariat prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties')","(0.34090909090909094, 'finalization work guidance papers contribute')","(0.31404958677685946, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth meeting')","(0.3125, 'compilation comments received pursuant invitation paragraph transmit compilation')","(0.2928571428571428, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth meeting consideration unep')","(0.3076923076923077, 'parties position take lead')","(0.3833333333333333, 'states america framework developing de minimis values hazard')","(0.381578947368421, 'proposal united states america framework developing de minimis values hazard')","(0.41666666666666663, 'ninth meeting consideration unep chw')","(0.29850746268656714, 'transmit compilation conference parties ninth meeting consideration')","(0.28148148148148144, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth meeting consideration')","(0.30827067669172936, 'invites parties position take lead finalization work guidance papers contribute financially process also invites parties stakeholders')","(0.28735632183908044, 'also invites parties stakeholders february provide comments secretariat guidance papers')","(0.3076923076923077, 'received pursuant invitation paragraph transmit compilation conference parties')","(0.28787878787878785, 'and particular proposal united states america framework developing')","(0.28985507246376807, 'framework developing de minimis values hazard characteristic requests')","(0.28787878787878785, 'and particular proposal united states america framework developing')","(0.33333333333333337, 'pursuant invitation paragraph transmit compilation conference parties')","(0.2954545454545454, 'invitation paragraph transmit compilation conference parties ninth meeting consideration')","(0.3292682926829268, 'comments secretariat guidance papers and particular proposal united states america')","(0.3571428571428571, 'classification hazard characterization wastes invites parties position')","(0.30714285714285716, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth meeting consideration unep')","(0.2962962962962963, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth meeting consideration')","(0.2696629213483146, 'parties stakeholders february provide comments secretariat guidance papers and particular')","(0.31868131868131866, 'compilation comments received pursuant invitation paragraph transmit compilation conference')","(0.29292929292929293, 'compilation comments received pursuant invitation paragraph transmit compilation conference parties')","(0.2911392405063291, 'framework developing de minimis values hazard characteristic requests secretariat prepare compilation comments received pursuant invitation paragraph transmit')","(0.2785714285714286, 'papers contribute financially process also invites parties stakeholders february provide comments secretariat guidance papers and particular')","(0.30081300813008127, 'united states america framework developing de minimis values hazard characteristic requests secretariat prepare compilation')","(0.41463414634146345, 'ninth meeting consideration unep chw oewg')","(0.2566371681415929, 'prepare compilation comments received pursuant invitation paragraph transmit compilation conference parties ninth')","(0.3157894736842105, 'proposal united states america framework developing de minimis values hazard')"
"Sep 3, 2018 Electronic approaches to the notification and movement documents","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Sep 3, 2018 National reporting","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Sep 3, 2018 Providing further legal clarity","(0.2191780821917808, 'oewg inf unep chw oewg inf unep chw oewg')","(0, '')","(0.19354838709677424, 'chw oewg inf unep chw')","(0.2195121951219512, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep')","(0.2222222222222222, 'unep chw oewg inf unep chw oewg inf')","(0.20370370370370372, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw oewg')","(0, '')","(0.26, 'unep chw oewg inf unep chw oewg inf')","(0.23076923076923073, 'oewg inf unep chw oewg inf unep chw oewg inf')","(0.2222222222222222, 'inf unep chw oewg inf')","(0.21999999999999997, 'chw oewg inf unep chw oewg inf')","(0.2410714285714286, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw')","(0, '')","(0.20270270270270274, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.21666666666666667, 'unep chw oewg inf unep chw oewg inf')","(0.23333333333333328, 'unep chw oewg inf unep chw oewg inf')","(0.23880597014925375, 'oewg inf unep chw oewg inf unep chw')","(0.22916666666666663, 'unep chw oewg inf unep chw oewg inf')","(0.275, 'inf unep chw oewg inf unep chw')","(0.2622950819672131, 'unep chw oewg inf unep chw oewg inf unep')","(0.24242424242424243, 'oewg inf unep chw oewg inf unep chw oewg inf')","(0.24489795918367352, 'unep chw oewg inf unep chw oewg')","(0.24137931034482762, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw oewg')","(0.22608695652173916, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw')","(0.21250000000000002, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.234375, 'oewg inf unep chw oewg inf unep chw oewg')","(0.24, 'oewg inf unep chw oewg inf unep chw oewg inf')","(0, '')","(0, '')","(0.2376237623762376, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf unep chw')","(0.25, 'unep chw oewg inf unep chw')","(0.19587628865979378, 'unep chw oewg inf unep chw oewg inf unep chw oewg inf')","(0.25757575757575757, 'unep chw oewg inf unep chw oewg inf unep chw')"
"Sep 3, 2018 Amendment to Annex IX to the Basel Convention","(0.3561643835616438, 'convenio para su examen por la conferencia de las')","(0.2983870967741935, 'toma nota de la propuesta de enmienda al anexo ix del convenio de basilea sobre el')","(0.3870967741935484, 'convenio de basilea el grupo')","(0.2804878048780488, 'del convenio para su examen por la conferencia de las partes en su')","(0.33333333333333337, 'convenio de basilea el grupo de trabajo de')","(0.31481481481481477, 'del convenio para su examen por la conferencia de las partes en su reunin unep')","(0.4347826086956522, 'partes en su recomienda')","(0.33999999999999997, 'del anexo ix del convenio de basilea el')","(0.3076923076923077, 'ii del convenio para su examen por la conferencia de')","(0.4444444444444444, 'ii del convenio para su')","(0.4, 'del convenio para su examen por la')","(0.3303571428571429, 'anexo ix del convenio de basilea el grupo de trabajo de composicin abierta toma')","(0.3023255813953488, 'ix del convenio relativa desechos slidos de material plstico y de ser as de qu forma')","(0.3513513513513513, 'de basilea sobre el control de los movimientos transfronterizos de')","(0.31666666666666665, 'ii del convenio para su examen por la')","(0.31666666666666665, 'del anexo ix del convenio de basilea el')","(0.34328358208955223, 'ii del convenio para su examen por la')","(0.29166666666666663, 'de material plstico y de ser as de')","(0.4, 'del convenio para su examen por la')","(0.29508196721311475, 'conferencia de las partes en su recomienda que la')","(0.33333333333333337, 'de material plstico y de ser as de qu forma')","(0.34693877551020413, 'conferencia de las partes en su reunin')","(0.31896551724137934, 'anexo ix del convenio relativa desechos slidos de material plstico y de ser as de')","(0.30434782608695654, 'propuesta de enmienda del anexo ii del convenio para su examen por la conferencia')","(0.3125, 'del convenio de basilea sobre el control de los movimientos')","(0.375, 'convenio para su examen por la conferencia de las')","(0.36, 'convenio para su examen por la conferencia de las partes')","(0.31851851851851853, 'la intencin del gobierno de noruega de presentar una propuesta de enmienda del anexo ii del convenio')","(0.3153846153846154, 'la intencin del gobierno de noruega de presentar una propuesta de enmienda del anexo ii del')","(0.3366336633663366, 'de enmienda al anexo ix del convenio de basilea sobre el control de los')","(0.33333333333333337, 'su examen por la conferencia de')","(0.31958762886597936, 'propuesta de enmienda del anexo ii del convenio para su examen por')","(0.28787878787878785, 'oewg enmienda del anexo ix del convenio de basilea el')"
"Sep 3, 2018 Technical guidelines on the environmentally sound management of wastes consisting of, containing or contamin","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Sep 3, 2018 Technical guidelines on transboundary movements of electrical and electronic waste and used electrical and e","(0.2191780821917808, 'oewg inf unep chw oewg inf unep chw oewg')","(0, '')","(0.19354838709677424, 'chw oewg inf unep chw')","(0, '')","(0.2222222222222222, 'unep chw oewg inf unep chw oewg inf')","(0, '')","(0, '')","(0.26, 'unep chw oewg inf unep chw oewg inf')","(0.2153846153846154, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.2222222222222222, 'inf unep chw oewg inf')","(0.21999999999999997, 'chw oewg inf unep chw oewg inf')","(0, '')","(0, '')","(0.20270270270270274, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.21666666666666667, 'unep chw oewg inf unep chw oewg inf')","(0.23333333333333328, 'unep chw oewg inf unep chw oewg inf')","(0.23880597014925375, 'oewg inf unep chw oewg inf unep chw')","(0.22916666666666663, 'unep chw oewg inf unep chw oewg inf')","(0.275, 'inf unep chw oewg inf unep chw')","(0.2622950819672131, 'unep chw oewg inf unep chw oewg inf unep')","(0.2272727272727273, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.24489795918367352, 'unep chw oewg inf unep chw oewg')","(0, '')","(0, '')","(0.21250000000000002, 'unep chw oewg inf unep chw oewg inf unep chw')","(0.234375, 'oewg inf unep chw oewg inf unep chw oewg')","(0.22666666666666668, 'unep chw oewg inf unep chw oewg inf unep chw')","(0, '')","(0, '')","(0, '')","(0.25, 'unep chw oewg inf unep chw')","(0, '')","(0.25757575757575757, 'unep chw oewg inf unep chw oewg inf unep chw')"
"Sep 3, 2007 Work programme of the Openended Working Group","(0.26249999999999996, 'conference parties requests secretariat prepare draft decisions relevant matters')","(0.2689655172413793, 'conference parties requests secretariat prepare draft decisions relevant matters transmit conference parties ninth meeting consideration possible')","(0.30434782608695654, 'conference parties ninth meeting consideration')","(0.3222222222222222, 'programme open ended working group comments parties others four months prior ninth meeting')","(0.31343283582089554, 'ninth meeting conference parties requests secretariat prepare draft')","(0.2846153846153846, 'meeting conference parties requests secretariat prepare draft decisions relevant matters transmit conference parties ninth meeting')","(0.3846153846153846, 'parties others four months')","(0.30000000000000004, 'requests secretariat prepare draft decisions relevant matters transmit')","(0.2804878048780488, 'prepare draft decisions relevant matters transmit conference parties ninth meeting')","(0.3414634146341463, 'ninth meeting conference parties requests')","(0.30000000000000004, 'working group comments parties others four months')","(0.2946428571428571, 'circulate draft work programme open ended working group comments parties others four months prior')","(0.2790697674418605, 'oewg vi work programme open ended working group open ended working group requests secretariat prepare draft')","(0.27472527472527475, 'decisions relevant matters transmit conference parties ninth meeting consideration possible')","(0.2857142857142857, 'requests secretariat prepare draft decisions relevant matters transmit')","(0.2666666666666667, 'comments parties others four months prior ninth meeting')","(0.29850746268656714, 'work programme open ended working group comments parties')","(0.3055555555555556, 'conference parties requests secretariat prepare draft decisions relevant')","(0.33333333333333337, 'taking account discussions sixth meeting open ended')","(0.29729729729729726, 'months prior ninth meeting conference parties requests secretariat prepare')","(0.32499999999999996, 'months prior ninth meeting conference parties requests secretariat prepare draft')","(0.31746031746031744, 'conference parties requests secretariat prepare draft decisions')","(0.26724137931034486, 'programme open ended working group comments parties others four months prior ninth meeting conference parties')","(0.26956521739130435, 'draft work programme open ended working group taking account discussions sixth meeting open ended')","(0.26249999999999996, 'open ended working group open ended working group requests secretariat')","(0.3246753246753247, 'ninth meeting conference parties requests secretariat prepare draft decisions')","(0.29268292682926833, 'prepare draft decisions relevant matters transmit conference parties ninth meeting')","(0.2518518518518519, 'circulate draft work programme open ended working group comments parties others four months prior ninth meeting conference')","(0.26206896551724135, 'conference parties requests secretariat prepare draft decisions relevant matters transmit conference parties ninth meeting consideration possible')","(0.3015873015873016, 'requests secretariat prepare draft decisions relevant matters transmit conference parties ninth meeting consideration possible')","(0.32692307692307687, 'secretariat prepare draft decisions relevant matters')","(0.2680412371134021, 'circulate draft work programme open ended working group comments parties others four')","(0.2808988764044944, 'conference parties requests secretariat prepare draft decisions relevant matters transmit')"
