,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Apr 8, 2002 Meidan Emam, Esfahan Islamic Republic of Iran","(0.31506849315068497, 'carried icomos expert international urban planner funded unesco france')","(0.26573426573426573, 'nbsp meantime bureau requested government iran provide report status ongoing discussions municipality central government authorities correcting')","(0.4193548387096774, 'convention n xii nbsp nbsp')","(0.36274509803921573, 'high level conservation public monuments composing historic centre esfahan including meidan emam world')","(0.38235294117647056, 'report state conservation world heritage property presented document')","(0.30000000000000004, 'means minimizing negative impact illegal construction concerned authorities stakeholders rsquo meeting also financed unesco france')","(0.31999999999999995, 'nbsp nbsp bureau examined')","(0.38, 'financed unesco france convention n xii nbsp nbsp')","(0.3384615384615385, 'meeting also financed unesco france convention n xii nbsp nbsp')","(0.41025641025641024, 'unesco france convention organized july')","(0.33999999999999997, 'france convention n xii nbsp nbsp nbsp')","(0.3125, 'height limitations new constructions nbsp taking note joint mission carried icomos expert international urban')","(0.28682170542635654, 'conservation public monuments composing historic centre esfahan including meidan emam world heritage area nbsp n xii')","(0.32432432432432434, 'france convention n xii nbsp nbsp nbsp meantime bureau requested')","(0.36363636363636365, 'high level conservation public monuments composing historic centre')","(0.33333333333333337, 'financed unesco france convention n xii nbsp nbsp')","(0.3880597014925373, 'france convention n xii nbsp nbsp nbsp meantime')","(0.3384615384615385, 'conservation protective zone esfahan historic city rdquo replaced')","(0.4655172413793104, 'within ldquo conservation protective zone esfahan historic')","(0.39473684210526316, 'expert international urban planner funded unesco france convention organized')","(0.37037037037037035, 'carried icomos expert international urban planner funded unesco france convention')","(0.4285714285714286, 'conservation protective zone esfahan historic city rdquo')","(0.2706766917293233, 'government iran provide report status ongoing discussions municipality central government authorities correcting situation may enable')","(0.26956521739130435, 'conf findings world heritage centre mission undertaken january invitation government iran nbsp bureau noted')","(0.27368421052631575, 'status ongoing discussions municipality central government authorities correcting situation may')","(0.33333333333333337, 'within ldquo conservation protective zone esfahan historic city rdquo')","(0.367816091954023, 'conservation protective zone esfahan historic city rdquo replaced historic caravanserai')","(0.2962962962962963, 'presented document whc conf findings world heritage centre mission undertaken january invitation government iran nbsp bureau noted')","(0.3076923076923077, 'stakeholders rsquo meeting also financed unesco france convention n xii nbsp nbsp nbsp meantime bureau requested')","(0.3412698412698413, 'government iran provide report status ongoing discussions municipality central government authorities correcting situation may')","(0.4285714285714286, 'report state conservation world heritage property')","(0.28865979381443296, 'rsquo meeting also financed unesco france convention n xii nbsp nbsp nbsp')","(0.31034482758620685, 'conservation protective zone esfahan historic city rdquo replaced historic caravanserai')"
"Apr 9, 2003 Collaboration with the Global Environment Facility","(0.136986301369863, 'b c e c b b f b g')","(0.15322580645161288, 'b c e c b b f b g h j k h j k l')","(0.16129032258064513, 'c e c b b')","(0.1707317073170732, 'b c e c b b f b g h j k h')","(0.12962962962962965, 'b c e c b b f b')","(0.17592592592592593, 'b c e c b b f b g h j k h j k')","(0, '')","(0.16000000000000003, 'e c b b f b g h')","(0.16923076923076918, 'b c e c b b f b g h')","(0.18518518518518523, 'b c e c b')","(0.14, 'b c e c b b f')","(0.125, 'b c e c b b f b g h j k h j')","(0.13953488372093026, 'b c e c b b f b g h j k h j k l')","(0.16216216216216217, 'b c e c b b f b g h')","(0.15000000000000002, 'b c e c b b f b')","(0.16666666666666663, 'e c b b f b g h')","(0.13432835820895528, 'b c e c b b f b')","(0.16666666666666663, 'b c e c b b f b')","(0.17500000000000004, 'b c e c b b f')","(0.14754098360655743, 'b c e c b b f b g')","(0.13636363636363635, 'b c e c b b f b g h')","(0.1428571428571429, 'c e c b b f b')","(0.1293103448275862, 'b c e c b b f b g h j k h j k')","(0.12173913043478257, 'b c e c b b f b g h j k h j')","(0.13749999999999996, 'b c e c b b f b g h')","(0.15625, 'b c e c b b f b g')","(0.1466666666666666, 'b c e c b b f b g h')","(0.1333333333333333, 'b c e c b b f b g h j k h j k l n')","(0.13076923076923075, 'b c e c b b f b g h j k h j k l')","(0.13861386138613863, 'b c e c b b f b g h j k h j')","(0.16666666666666663, 'b c e c b b')","(0.134020618556701, 'b c e c b b f b g h j k')","(0.1515151515151515, 'b c e c b b f b g h')"
"Apr 9, 2003 Consideration of additional procedures or institutional mechanisms to assist the Conference of the Parties i","(0.136986301369863, 'e f g h c c c j b')","(0.16935483870967738, 'g h c c c j b k k l b k k n b b')","(0.16129032258064513, 'c e f g h')","(0.1707317073170732, 'c c c j b k k l b k k n b')","(0.14814814814814814, 'b c e f g h c c')","(0.15740740740740744, 'b c e f g h c c c j b k k l b')","(0, '')","(0.18000000000000005, 'e f g h c c c j')","(0.18461538461538463, 'b c e f g h c c c j')","(0.18518518518518523, 'b n c e f')","(0.16000000000000003, 'c e f g h c c')","(0.1428571428571429, 'b c e f g h c c c j b k k l')","(0.13953488372093026, 'k n b b b f x w b b b b b n c e')","(0.14864864864864868, 'b b b b b n c e f n')","(0.18333333333333335, 'b n c e f n g h')","(0.16666666666666663, 'b n c e f n g h')","(0.14925373134328357, 'b n c e f n g h')","(0.1875, 'b n c e f n g h')","(0.19999999999999996, 'b n c e f n g')","(0.180327868852459, 'b b b n c e f n g')","(0.16666666666666663, 'b b b n c e f n g h')","(0.16326530612244894, 'b b n c e f n')","(0.15517241379310343, 'b c e f g h c c c j b k k l b')","(0.13913043478260867, 'b c e f g h c c c j b k k l')","(0.13749999999999996, 'b c e f g h c c c j')","(0.15625, 'e f g h c c c j b')","(0.1466666666666666, 'b b b n c e f n g h')","(0.14814814814814814, 'b c e f g h c c c j b k k l b k k')","(0.1384615384615384, 'b c e f g h c c c j b k k l b k')","(0.15841584158415845, 'f x w b b b b b n c e f n g')","(0.19444444444444442, 'n c e f n g')","(0.12371134020618557, 'k l b k k n b b b f x w')","(0.16666666666666663, 'c c c j b k k l b k')"
"Apr 9, 2003 Consideration of rule 47 of the rules of procedure","(0.136986301369863, 'b c e e c l p n q')","(0, '')","(0.16129032258064513, 'c e e c l')","(0, '')","(0.16666666666666663, 'b c e e c l p n')","(0, '')","(0, '')","(0.18000000000000005, 'b c e e c l p n')","(0, '')","(0.2222222222222222, 'b c e e c')","(0.19999999999999996, 'c e e c l p n')","(0, '')","(0, '')","(0, '')","(0.1333333333333333, 'b c e e c l p n')","(0.16666666666666663, 'b c e e c l p n')","(0.16417910447761197, 'b c e e c l p n')","(0.1875, 'b c e e c l p n')","(0.19999999999999996, 'b c e e c l p')","(0.1311475409836066, 'b c e e c l p n q')","(0, '')","(0.18367346938775508, 'c e e c l p n')","(0, '')","(0, '')","(0, '')","(0.171875, 'b c e e c l p n q')","(0, '')","(0, '')","(0, '')","(0, '')","(0.19444444444444442, 'e e c l p n')","(0, '')","(0, '')"
"Apr 8, 2002 Lumbini, the Birthplace of the Lord Buddha Nepal","(0.3902439024390244, 's commitment follow international conservation norms recommendation world heritage')","(0.29447852760736193, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile archaeological site')","(0.4181818181818182, 'presentation fragile archaeological site simultaneously')","(0.32999999999999996, 'report state conservation world heritage property presented document whc conf updated information on')","(0.4177215189873418, 'follow international conservation norms recommendation world heritage committee')","(0.33544303797468356, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile archaeological')","(0.3666666666666667, 'nbsp assured bureau government')","(0.379746835443038, 'follow international conservation norms recommendation world heritage committee')","(0.3695652173913043, 's commitment follow international conservation norms recommendation world heritage committee')","(0.4, 'noting state conservation property still')","(0.4, 'highest level conservation presentation unique property nbsp')","(0.36241610738255037, 'heritage committee ensure appropriate conservation management presentation fragile archaeological site simultaneously centre international pilgrimage')","(0.33742331288343563, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile archaeological site')","(0.3267326732673267, 'considering recommendations committee bureau advisory bodies unesco international experts elaborating')","(0.3709677419354839, 'highest level conservation presentation unique property nbsp n')","(0.32530120481927716, 'ensure appropriate conservation management presentation fragile archaeological site')","(0.32835820895522383, 'conservation presentation unique property nbsp n xii nbsp')","(0.31034482758620685, 'presentation fragile archaeological site simultaneously centre international pilgrimage')","(0.40740740740740744, 'level conservation presentation unique property nbsp n')","(0.3770491803278688, 'international pilgrimage n xii nbsp nbsp nbsp bureau noting')","(0.3804347826086957, 's commitment follow international conservation norms recommendation world heritage committee')","(0.4181818181818182, 'conservation presentation maya devi temple nbsp assured')","(0.3291139240506329, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile archaeological')","(0.29104477611940294, 'appropriate conservation management presentation fragile archaeological site simultaneously centre international pilgrimage n xii nbsp')","(0.33333333333333337, 'ensure appropriate conservation management presentation fragile archaeological site simultaneously centre')","(0.426829268292683, 's commitment follow international conservation norms recommendation world heritage')","(0.3465346534653465, 'conservation norms recommendation world heritage committee ensure appropriate conservation management')","(0.296969696969697, 'government rsquo s commitment follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation')","(0.3006134969325154, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile archaeological site')","(0.35664335664335667, 'follow international conservation norms recommendation world heritage committee ensure appropriate conservation management presentation fragile')","(0.46808510638297873, 'bureau noting state conservation property still')","(0.2989690721649485, 'conservation presentation maya devi temple nbsp assured bureau government rsquo s commitment')","(0.3125, 'revised proposals conservation presentation maya devi temple nbsp assured bureau')"
"Apr 9, 2003 Credentials of representatives of Parties attending the sixth session of the Conference of the Parties to th","(0.136986301369863, 'n k p q r c k r u')","(0.16129032258064513, 'l e f f n k p q r c k r u v w w')","(0.16129032258064513, 'k b f l e')","(0.1707317073170732, 'k b f l e f f n k p q r c')","(0.14814814814814814, 'n k p q r c k r')","(0.17592592592592593, 'f n k p q r c k r u v w w x g')","(0.19999999999999996, 'p q r c')","(0.16000000000000003, 'h j k k b f l e')","(0.16923076923076918, 'k k b f l e f f n k')","(0.18518518518518523, 'r c k r u')","(0.16000000000000003, 'l e f f n k p')","(0.1607142857142857, 'l e f f n k p q r c k r u v')","(0.1472868217054264, 'k k b f l e f f n k p q r c k r')","(0.16216216216216217, 'r c k r u v w w x g')","(0.16666666666666663, 'r c k r u v w w')","(0.1333333333333333, 'b c e f f g h j')","(0.14925373134328357, 'r c k r u v w w')","(0.16666666666666663, 'k k b f l e f f')","(0.17500000000000004, 'f f n k p q r')","(0.19672131147540983, 'n k p q r c k r u')","(0.16666666666666663, 'n k p q r c k r u v')","(0.1428571428571429, 'l e f f n k p')","(0.15517241379310343, 'b c e f f g h j k k b f l e f')","(0.14782608695652177, 'l e f f n k p q r c k r u v')","(0.15000000000000002, 'f f n k p q r c k r')","(0.171875, 'n k p q r c k r u')","(0.16000000000000003, 'r c k r u v w w x g')","(0.15555555555555556, 'l e f f n k p q r c k r u v w w x')","(0.15384615384615385, 'k k b f l e f f n k p q r c k r')","(0.16831683168316836, 'f n k p q r c k r u v w w x')","(0.19444444444444442, 'r c k r u v')","(0.14432989690721654, 'f n k p q r c k r u v w')","(0.18181818181818177, 'l e f f n k p q r c')"
"Apr 8, 2002 Sun Temple of Konarak India","(0.43529411764705883, 'management property submit international assistance request elaborate plan mitigation')","(0.2709677419354839, 'plan measures taken favour conservation development konarak bureau encouraged authorities responsible conservation management property submit international')","(0.3695652173913043, 'conservation world heritage property presented')","(0.3431372549019608, 'report state conservation world heritage property presented document whc conf nbsp reiterated previous')","(0.38235294117647056, 'report state conservation world heritage property presented document')","(0.3355263157894737, 'taken favour conservation development konarak bureau encouraged authorities responsible conservation management property submit international assistance')","(0.31999999999999995, 'nbsp nbsp bureau examined')","(0.3214285714285714, 'responsible conservation management property submit international assistance request')","(0.28971962616822433, 'encouraged authorities responsible conservation management property submit international assistance request')","(0.35, 'examined report state conservation world')","(0.3421052631578947, 'responsible conservation management property submit international assistance')","(0.29861111111111116, 'development konarak bureau encouraged authorities responsible conservation management property submit international assistance request elaborate')","(0.30379746835443033, 'encouraged authorities responsible conservation management property submit international assistance request elaborate plan mitigation potential threats caused')","(0.29000000000000004, 'taken favour conservation development konarak bureau encouraged authorities responsible conservation')","(0.36, 'submit international assistance request elaborate plan mitigation potential')","(0.32307692307692304, 'bureau examined report state conservation world heritage property')","(0.3380281690140845, 'elaborate plan mitigation potential threats caused illegal encroachment')","(0.33783783783783783, 'management property submit international assistance request elaborate plan')","(0.3492063492063492, 'taken favour conservation development konarak bureau encouraged')","(0.3157894736842105, 'mitigation potential threats caused illegal encroachment ad hoc construction')","(0.33644859813084116, 'conservation development konarak bureau encouraged authorities responsible conservation management property')","(0.34375, 'comprehensive management plan measures taken favour conservation')","(0.29801324503311255, 'encouraged authorities responsible conservation management property submit international assistance request elaborate plan mitigation potential threats')","(0.3282442748091603, 'conservation management property submit international assistance request elaborate plan mitigation potential threats caused illegal')","(0.303030303030303, 'responsible conservation management property submit international assistance request elaborate plan')","(0.31313131313131315, 'encouraged authorities responsible conservation management property submit international assistance')","(0.4, 'taken favour conservation development konarak bureau encouraged authorities responsible conservation')","(0.32530120481927716, 'plan measures taken favour conservation development konarak bureau encouraged authorities responsible conservation management property submit international assistance')","(0.31612903225806455, 'made developing comprehensive management plan measures taken favour conservation development konarak bureau encouraged authorities responsible conservation')","(0.3529411764705882, 'management plan measures taken favour conservation development konarak bureau encouraged authorities responsible conservation management')","(0.4629629629629629, 'measures taken favour conservation development konarak')","(0.2589285714285714, 'management plan measures taken favour conservation development konarak bureau encouraged authorities responsible')","(0.29292929292929293, 'responsible conservation management property submit international assistance request elaborate plan')"
"Apr 8, 2002 Spixc5xa1skxc3xbd Hrad and its Associated Cultural Monuments Slovakia","(0.3176470588235294, 'conservation spissky hrad associated cultural monuments negligible furthermore report')","(0.26119402985074625, 'cultural monuments negligible furthermore report pointed quarrying company elaborating new extraction re cultivation plan co operation')","(0.34883720930232553, 'co operation national administration nature')","(0.32352941176470584, 'new extraction re cultivation plan co operation national administration nature preservation order meet')","(0.3972602739726028, 'effects quarrying conservation spissky hrad associated cultural monuments')","(0.25531914893617025, 'effects quarrying conservation spissky hrad associated cultural monuments negligible furthermore report pointed quarrying company elaborating')","(0.33333333333333337, 'plan impact assessment october')","(0.31343283582089554, 'party stated effects quarrying conservation spissky hrad associated')","(0.30487804878048785, 'provided state party stated effects quarrying conservation spissky hrad associated')","(0.33333333333333337, 'administration nature preservation order meet')","(0.3384615384615385, 'quarrying conservation spissky hrad associated cultural monuments')","(0.2844827586206896, 'operation national administration nature preservation order meet criteria nature landscape preservation n xii bureau')","(0.2713178294573644, 'slovakian authorities provide detailed report situation nbsp report include copy new extraction re cultivation plan impact')","(0.27083333333333337, 'effects quarrying conservation spissky hrad associated cultural monuments negligible furthermore')","(0.3287671232876712, 'effects quarrying conservation spissky hrad associated cultural monuments')","(0.29850746268656714, 'party stated effects quarrying conservation spissky hrad associated')","(0.34328358208955223, 'report situation nbsp report include copy new extraction')","(0.28358208955223885, 'co operation national administration nature preservation order meet')","(0.3492063492063492, 'national administration nature preservation order meet criteria')","(0.33783783783783783, 'extraction re cultivation plan co operation national administration nature')","(0.3373493975903614, 'co operation national administration nature preservation order meet criteria nature')","(0.3870967741935484, 'preservation order meet criteria nature landscape preservation')","(0.2755905511811023, 'quarrying company elaborating new extraction re cultivation plan co operation national administration nature preservation order')","(0.26956521739130435, 'furthermore report pointed quarrying company elaborating new extraction re cultivation plan co operation national')","(0.25555555555555554, 'cultural monuments negligible furthermore report pointed quarrying company elaborating new')","(0.35, 'national administration nature preservation order meet criteria nature landscape')","(0.32258064516129037, 'national administration nature preservation order meet criteria nature landscape preservation')","(0.2676056338028169, 'report pointed quarrying company elaborating new extraction re cultivation plan co operation national administration nature preservation order')","(0.2857142857142857, 'xii information provided state party stated effects quarrying conservation spissky hrad associated cultural monuments negligible furthermore')","(0.3739837398373984, 'cultivation plan co operation national administration nature preservation order meet criteria nature landscape preservation')","(0.37209302325581395, 'bureau took note information provided state')","(0.2680412371134021, 'nature preservation order meet criteria nature landscape preservation n xii bureau took')","(0.3055555555555556, 'landscape preservation n xii bureau took note information provided state')"
"Apr 9, 2003 Date and venue of the seventh session of the Conference of the Parties","(0.1643835616438356, 'k l h l n p g h b')","(0.14516129032258063, 'h l n p g h b h q l j j b h r h')","(0.16129032258064513, 'v w x b r')","(0.19512195121951215, 'b c k l h l n p g h b h q')","(0.14814814814814814, 'b c k l h l n p')","(0.17592592592592593, 'b c k l h l n p g h b h q l j')","(0.19999999999999996, 'p g h b')","(0.16000000000000003, 'b c k l h l n p')","(0.16923076923076918, 'k l h l n p g h b h')","(0.14814814814814814, 'b h b c e')","(0.18000000000000005, 'l h l n p g h')","(0.1428571428571429, 'b c k l h l n p g h b h q l')","(0.13953488372093026, 'j b h b k v w x b r b h b c e f')","(0.16216216216216217, 'b h r h u v w x b p')","(0.1333333333333333, 'h l n p g h b h')","(0.16666666666666663, 'b r b h b c e f')","(0.14925373134328357, 'b c k l h l n p')","(0.1875, 'k l h l n p g h')","(0.15000000000000002, 'b c k l h l n')","(0.16393442622950816, 'b r b h b c e f f')","(0.1515151515151515, 'k l h l n p g h b h')","(0.1428571428571429, 'b c k l h l n')","(0.14655172413793105, 'b c k l h l n p g h b h q l j')","(0.15652173913043477, 'b c k l h l n p g h b h q l')","(0.13749999999999996, 'h l n p g h b h q l')","(0.171875, 'b c k l h l n p g')","(0.1466666666666666, 'b h r h u v w x b p')","(0.14074074074074072, 'h l n p g h b h q l j j b h r h u')","(0.1384615384615384, 'h l n p g h b h q l j j b h r h')","(0.14851485148514854, 'b h b k v w x b r b h b c e')","(0.13888888888888884, 'l h l n p g')","(0.134020618556701, 'b c k l h l n p g h b h')","(0.1515151515151515, 'b c k l h l n p g h')"
"Apr 9, 2003 Declaration of Heads of State and Government on the implementation of the United Nations Convention to Comba","(0.15068493150684936, 'k h l n n l h h h')","(0.16129032258064513, 'b c e f g h h h j h k h l n n l')","(0.16129032258064513, 'c e f g h')","(0.18292682926829273, 'b c e f g h h h j h k h l')","(0.14814814814814814, 'b c e f g h h h')","(0.17592592592592593, 'n n l p q f k r r u v w x e v')","(0.1333333333333333, 'p q f k')","(0.18000000000000005, 'k h l n n l h h')","(0.18461538461538463, 'k h l n n l h h h k')","(0.14814814814814814, 'b c e f g')","(0.16000000000000003, 'h k h l n n l')","(0.1607142857142857, 'n n l p q f k r r u v w x e')","(0.1472868217054264, 'l n n l h h h k h n n l p q f k')","(0.16216216216216217, 'l n n l h h h k h n')","(0.15000000000000002, 'n l p q f k r r')","(0.15000000000000002, 'n l p q f k r r')","(0.14925373134328357, 'k h l n n l h h')","(0.1875, 'n l p q f k r r')","(0.17500000000000004, 'h k h l n n l')","(0.16393442622950816, 'h n n l p q f k r')","(0.16666666666666663, 'n l h h h k h n n l')","(0.1428571428571429, 'h k h n n l p')","(0.1637931034482759, 'l n n l h h h k h n n l p q f')","(0.14782608695652177, 'l n n l h h h k h n n l p q')","(0.16249999999999998, 'h n n l p q f k r r')","(0.15625, 'j h k h l n n l h')","(0.17333333333333334, 'h n n l p q f k r r')","(0.16296296296296298, 'l n n l h h h k h n n l p q f k r')","(0.16923076923076918, 'h n n l p q f k r r u v w x e v')","(0.16831683168316836, 'n n l p q f k r r u v w x e')","(0.16666666666666663, 'h n n l p q')","(0.15463917525773196, 'l n n l h h h k h n n l')","(0.16666666666666663, 'h n n l p q f k r r')"
