,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Dec 6, 1999 Implementation Of Decision Iii1 amendment To The Basel Convention","(0.30379746835443033, 'convention conference takes note progress made parties effectively implementing')","(0.24460431654676262, 'takes note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties amendment contained')","(0.3902439024390244, 'convention conference takes note progress')","(0.3055555555555556, 'iii amendment basel convention conference takes note progress made parties effectively implementing decision')","(0.40909090909090906, 'convention conference takes note progress made parties effectively')","(0.256, 'v implementation decision iii amendment basel convention conference takes note progress made parties effectively implementing')","(0.375, 'appeals parties ratify amendment')","(0.3731343283582089, 'v implementation decision iii amendment basel convention conference')","(0.3205128205128205, 'v implementation decision iii amendment basel convention conference takes note')","(0.4651162790697675, 'amendment basel convention conference takes')","(0.3157894736842105, 'amendment basel convention conference takes note progress')","(0.282258064516129, 'ratification acceptance several parties amendment contained decision iii strongly appeals parties ratify amendment contained')","(0.3262411347517731, 'amendment basel convention conference takes note progress made parties effectively implementing decision iii welcomes ratification acceptance')","(0.35365853658536583, 'amendment basel convention conference takes note progress made parties effectively')","(0.3015873015873016, 'amendment contained decision iii soon possible facilitate early')","(0.2786885245901639, 'decision iii amendment basel convention conference takes note')","(0.29850746268656714, 'amendment contained decision iii strongly appeals parties ratify')","(0.30645161290322576, 'amendment basel convention conference takes note progress made')","(0.4035087719298246, 'amendment basel convention conference takes note progress')","(0.29166666666666663, 'parties ratify amendment contained decision iii soon possible facilitate')","(0.375, 'convention conference takes note progress made parties effectively implementing decision')","(0.38888888888888884, 'convention conference takes note progress made parties')","(0.2857142857142857, 'note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties amendment contained')","(0.26016260162601623, 'note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties amendment')","(0.28409090909090906, 'convention conference takes note progress made parties effectively implementing decision')","(0.36708860759493667, 'convention conference takes note progress made parties effectively implementing')","(0.36363636363636365, 'convention conference takes note progress made parties effectively implementing decision')","(0.2808219178082192, 'iii welcomes ratification acceptance several parties amendment contained decision iii strongly appeals parties ratify amendment contained decision')","(0.2692307692307693, 'decision iii strongly appeals parties ratify amendment contained decision iii soon possible facilitate early entry force')","(0.344, 'convention conference takes note progress made parties effectively implementing decision iii welcomes ratification acceptance')","(0.3877551020408163, 'amendment contained decision iii strongly appeals')","(0.25773195876288657, 'v implementation decision iii amendment basel convention conference takes note progress made')","(0.3058823529411765, 'iii welcomes ratification acceptance several parties amendment contained decision iii')"
"Dec 6, 2004 Adoption of the Agenda and Timetable","(0.26027397260273977, 'com inf rev n adopts agenda included first above')","(0.25, 'examined documents whc ext com rev whc ext com inf rev n adopts agenda included first')","(0.23529411764705888, 'committee n examined documents whc')","(0.25609756097560976, 'whc ext com rev whc ext com inf rev n adopts agenda included')","(0.2592592592592593, 'whc ext com inf rev n adopts agenda')","(0.2407407407407407, 'world heritage committee n examined documents whc ext com rev whc ext com inf rev')","(0.30000000000000004, 'included first above mentioned')","(0.26, 'committee n examined documents whc ext com rev')","(0.27692307692307694, 'whc ext com inf rev n adopts agenda included first')","(0.28205128205128205, 'heritage committee n examined documents')","(0.28, 'com inf rev n adopts agenda included')","(0.2589285714285714, 'n examined documents whc ext com rev whc ext com inf rev n adopts')","(0.2558139534883721, 'examined documents whc ext com rev whc ext com inf rev n adopts agenda included first')","(0.2702702702702703, 'whc ext com inf rev n adopts agenda included first')","(0.2833333333333333, 'whc ext com inf rev n adopts agenda')","(0.2833333333333333, 'com inf rev n adopts agenda included first')","(0.25373134328358204, 'whc ext com inf rev n adopts agenda')","(0.25, 'whc ext com rev whc ext com inf')","(0.275, 'ext com inf rev n adopts agenda')","(0.2622950819672131, 'com inf rev n adopts agenda included first above')","(0.2727272727272727, 'whc ext com inf rev n adopts agenda included first')","(0.326530612244898, 'com inf rev n adopts agenda included')","(0.27586206896551724, 'whc ext com rev whc ext com inf rev n adopts agenda included first above')","(0.26086956521739135, 'whc ext com rev whc ext com inf rev n adopts agenda included first')","(0.26249999999999996, 'whc ext com inf rev n adopts agenda included first')","(0.28125, 'whc ext com inf rev n adopts agenda included')","(0.29333333333333333, 'com inf rev n adopts agenda included first above mentioned')","(0.2592592592592593, 'world heritage committee n examined documents whc ext com rev whc ext com inf rev n adopts')","(0.2692307692307693, 'world heritage committee n examined documents whc ext com rev whc ext com inf rev n')","(0.25742574257425743, 'world heritage committee n examined documents whc ext com rev whc ext com inf')","(0.2777777777777778, 'documents whc ext com rev whc')","(0.25773195876288657, 'world heritage committee n examined documents whc ext com rev whc ext')","(0.25757575757575757, 'com rev whc ext com inf rev n adopts agenda')"
"Dec 6, 1999 Tribute To The Host Country","(0.30666666666666664, 'organization fifth meeting conference parties people basel warm hospitality')","(0.2605633802816901, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel warm hospitality accorded')","(0.3921568627450981, 'convention extends gratitude government switzerland')","(0.2931034482758621, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel')","(0.3421052631578947, 'basel convention extends gratitude government switzerland organization fifth')","(0.32330827067669177, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel warm hospitality')","(0.31999999999999995, 'parties people basel warm')","(0.3205128205128205, 'extends gratitude government switzerland organization fifth meeting conference')","(0.30107526881720426, 'extends gratitude government switzerland organization fifth meeting conference parties people')","(0.4285714285714286, 'signing basel convention extends gratitude')","(0.32307692307692304, 'signing basel convention extends gratitude government switzerland')","(0.2727272727272727, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel warm')","(0.2551724137931034, 'december tenth anniversary signing basel convention extends gratitude government switzerland organization fifth meeting conference parties people')","(0.368421052631579, 'basel convention extends gratitude government switzerland organization fifth meeting conference')","(0.2857142857142857, 'anniversary signing basel convention extends gratitude government switzerland')","(0.2987012987012987, 'anniversary signing basel convention extends gratitude government switzerland')","(0.3116883116883117, 'anniversary signing basel convention extends gratitude government switzerland')","(0.2597402597402597, 'anniversary signing basel convention extends gratitude government switzerland')","(0.4, 'signing basel convention extends gratitude government switzerland')","(0.2777777777777778, 'anniversary signing basel convention extends gratitude government switzerland organization')","(0.34883720930232553, 'government switzerland organization fifth meeting conference parties people basel warm')","(0.37142857142857144, 'convention extends gratitude government switzerland organization fifth')","(0.26315789473684215, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel warm hospitality')","(0.25984251968503935, 'gratitude government switzerland organization fifth meeting conference parties people basel warm hospitality accorded delegates')","(0.27368421052631575, 'basel convention extends gratitude government switzerland organization fifth meeting conference')","(0.3214285714285714, 'basel convention extends gratitude government switzerland organization fifth meeting')","(0.33684210526315794, 'basel convention extends gratitude government switzerland organization fifth meeting conference')","(0.28378378378378377, 'country conference met basel december tenth anniversary signing basel convention extends gratitude government switzerland organization fifth meeting')","(0.30000000000000004, 'country conference met basel december tenth anniversary signing basel convention extends gratitude government switzerland organization fifth')","(0.2892561983471075, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people basel warm')","(0.36363636363636365, 'meeting conference parties people basel warm')","(0.2727272727272727, 'basel convention extends gratitude government switzerland organization fifth meeting conference parties people')","(0.28421052631578947, 'basel convention extends gratitude government switzerland organization fifth meeting conference')"
"Dec 6, 1999 Relationship Of The Protocol With The Basel Convention","(0.31506849315068497, 'cooperation trust fund conference recalling decisions i ii iii')","(0.3125, 'v relationship protocol basel convention conference taking note article protocol liability compensation damage resulting transboundary movements')","(0.42105263157894735, 'decision v adoption protocol liability')","(0.3162393162393162, 'technical cooperation trust fund basel convention assist contracting parties developing countries countries economies')","(0.379746835443038, 'recommendation conference parties sixth meeting requests secretariat undertaken')","(0.375, 'taking note article protocol liability compensation damage resulting transboundary movements hazardous wastes disposal desiring consider')","(0.3666666666666667, 'parties sixth meeting requests')","(0.4126984126984127, 'v relationship protocol basel convention conference taking note')","(0.37209302325581395, 'adoption protocol liability compensation recalling decisions i iv concerning technical')","(0.43243243243243246, 'trust fund basel convention referring')","(0.3728813559322034, 'fund basel convention assist contracting parties developing')","(0.3445378151260504, 'technical cooperation trust fund basel convention referring decision v adoption protocol liability compensation decides')","(0.3087248322147651, 'article protocol liability compensation damage resulting transboundary movements hazardous wastes disposal desiring consider whether powers exercised')","(0.653061224489796, 'liability compensation damage resulting transboundary movements hazardous wastes disposal desiring')","(0.32352941176470584, 'liability compensation recalling decisions i iv concerning technical')","(0.4307692307692308, 'adoption protocol liability compensation recalling decisions i iv')","(0.4347826086956522, 'fund basel convention assist contracting parties developing countries')","(0.37142857142857144, 'adoption protocol liability compensation decides interim basis enlarge')","(0.38181818181818183, 'basel convention referring decision v adoption protocol')","(0.348314606741573, 'convention assist contracting parties developing countries countries economies transition')","(0.368421052631579, 'convention assist contracting parties developing countries countries economies transition cases')","(0.4, 'concerning technical cooperation trust fund basel convention')","(0.34751773049645385, 'protocol liability compensation damage resulting transboundary movements hazardous wastes disposal desiring consider whether powers exercised')","(0.3203125, 'technical cooperation trust fund basel convention assist contracting parties developing countries countries economies transition')","(0.36250000000000004, 'i iv concerning technical cooperation trust fund basel convention referring')","(0.4375, 'convention conference taking note article protocol liability compensation damage')","(0.36, 'contracting parties developing countries countries economies transition cases emergency compensation')","(0.33333333333333337, 'scope technical cooperation trust fund basel convention assist contracting parties developing countries countries economies transition cases emergency')","(0.3615384615384616, 'i iv concerning technical cooperation trust fund basel convention referring decision v adoption protocol liability compensation')","(0.37209302325581395, 'fund basel convention assist contracting parties developing countries countries economies transition cases emergency compensation')","(0.40909090909090906, 'scope technical cooperation trust fund basel')","(0.5775862068965517, 'protocol liability compensation damage resulting transboundary movements hazardous wastes disposal desiring consider')","(0.34090909090909094, 'protocol basel convention conference taking note article protocol liability compensation')"
"Dec 6, 1999 V28 Dismantling of ships","(0.4642857142857143, 'convention appropriate body international maritime organization subject full partial')","(0.273972602739726, 'group collaborate secretariat basel convention appropriate body international maritime organization subject full partial dismantling ships prepare')","(0.42105263157894735, 'convention relating issue full partial')","(0.3015873015873016, 'appropriate body international maritime organization subject full partial dismantling ships prepare guidelines environmentally')","(0.368421052631579, 'convention appropriate body international maritime organization subject full')","(0.3142857142857143, 'maritime organization subject full partial dismantling ships prepare guidelines environmentally sound management dismantling ships technical')","(0.40625, 'ships conference notes agreement')","(0.34246575342465757, 'body international maritime organization subject full partial dismantling')","(0.34375, 'convention appropriate body international maritime organization subject full partial dismantling')","(0.4358974358974359, 'legal aspects basel convention relating')","(0.3653846153846154, 'aspects basel convention relating issue full partial')","(0.34375, 'secretariat basel convention appropriate body international maritime organization subject full partial dismantling ships prepare')","(0.28682170542635654, 'technical experts basel convention joint meeting course action regard dismantling ships gives mandate to technical working')","(0.3866666666666667, 'basel convention joint meeting course action regard dismantling ships gives')","(0.2987012987012987, 'group collaborate secretariat basel convention appropriate body international')","(0.33766233766233766, 'group collaborate secretariat basel convention appropriate body international')","(0.345679012345679, 'secretariat basel convention appropriate body international maritime organization')","(0.2753623188405797, 'technical working group consultative subgroup legal technical experts')","(0.42307692307692313, 'experts basel convention joint meeting course action')","(0.31645569620253167, 'body international maritime organization subject full partial dismantling ships')","(0.40625, 'convention appropriate body international maritime organization subject full partial dismantling')","(0.42105263157894735, 'convention joint meeting course action regard dismantling')","(0.2727272727272727, 'appropriate body international maritime organization subject full partial dismantling ships prepare guidelines environmentally sound management')","(0.2803030303030303, 'appropriate body international maritime organization subject full partial dismantling ships prepare guidelines environmentally sound')","(0.3263157894736842, 'technical working group collaborate secretariat basel convention appropriate body international')","(0.34782608695652173, 'basel convention joint meeting course action regard dismantling ships')","(0.375, 'convention appropriate body international maritime organization subject full partial dismantling')","(0.3087248322147651, 'mandate to technical working group collaborate secretariat basel convention appropriate body international maritime organization subject full partial')","(0.3191489361702128, 'mandate to technical working group collaborate secretariat basel convention appropriate body international maritime organization subject full')","(0.3557692307692307, 'convention joint meeting course action regard dismantling ships gives mandate to technical working group')","(0.3695652173913043, 'joint meeting course action regard dismantling')","(0.2894736842105263, 'secretariat basel convention appropriate body international maritime organization subject full partial dismantling')","(0.31034482758620685, 'body international maritime organization subject full partial dismantling ships prepare')"
"Dec 6, 1999 Information Management And Dissemination  Development Of The Information System On Hazardous Wastes And Thei","(0.3793103448275862, 'convention information system internet including information received relation articles')","(0.3112582781456954, 'including information received relation articles well documentation reports basel convention meetings basel convention newsletters promotional material')","(0.45945945945945943, 'convention view recommending best way')","(0.33333333333333337, 'note development information system hazardous wastes management basel convention page takes note development')","(0.3827160493827161, 'convention newsletters promotional material also requests secretariat development')","(0.31404958677685946, 'basel convention conference requests legal working group prepare draft decision adoption conference parties sixth meeting')","(0.3793103448275862, 'parts united nations relevant')","(0.41333333333333333, 'united nations relevant organizations particular united nations environment')","(0.4117647058823529, 'best way promote full implementation provisions convention mechanism transparent cost')","(0.5, 'management basel convention page takes')","(0.3870967741935484, 'reports basel convention meetings basel convention newsletters')","(0.36690647482014394, 'nations relevant organizations particular united nations environment programme developing databases operating databases information systems')","(0.33108108108108103, 'management basel convention requests secretariat promote access basel convention information system internet including information received relation')","(0.379746835443038, 'basel convention conference requests legal working group prepare draft decision')","(0.3614457831325302, 'management dissemination development information system hazardous wastes management')","(0.4, 'parties implement provisions basel convention pay particular attention')","(0.4328358208955224, 'management basel convention page takes note development three')","(0.33333333333333337, 'binding oriented direction helping parties implement provisions basel')","(0.4126984126984127, 'management basel convention requests secretariat promote access')","(0.34090909090909094, 'information system explore possibility making questionnaires articles available internet')","(0.3913043478260869, 'convention information system internet including information received relation articles well')","(0.46031746031746035, 'convention requests secretariat promote access basel convention')","(0.32167832167832167, 'v information management dissemination development information system hazardous wastes management conference takes note development information')","(0.3153846153846154, 'decision adoption conference parties sixth meeting establishing mechanism promoting implementation compliance based draft elements')","(0.29032258064516125, 'programme developing databases operating databases information systems direct relevance basel')","(0.3950617283950617, 'convention including european topic centre wastes affiliated european environment')","(0.44047619047619047, 'convention page takes note development three level questionnaire intended facilitate')","(0.36363636363636365, 'note development information system hazardous wastes management basel convention page takes note development three level questionnaire intended')","(0.3581081081081081, 'management basel convention requests secretariat promote access basel convention information system internet including information received relation')","(0.3666666666666667, 'management basel convention page takes note development three level questionnaire intended facilitate compliance parties')","(0.39534883720930236, 'management basel convention page takes note')","(0.33333333333333337, 'promote full implementation provisions convention mechanism transparent cost effective preventive nature simple')","(0.34090909090909094, 'databases information systems direct relevance basel convention including european topic')"
"Dec 6, 1999 Hazardous Waste Minimization","(0.3370786516853933, 'nations environment programme united nations industrial development organization national')","(0.29931972789115646, 'national cleaner production centres regional centres basel convention invites parties cooperate minimization generation hazardous wastes particular')","(0.41025641025641024, 'convention address issue one priorities')","(0.3416666666666667, 'development organization national cleaner production centres regional centres basel convention invites parties cooperate')","(0.4444444444444444, 'convention address issue one priorities welcomes work initiated')","(0.3623188405797102, 'cleaner production centres regional centres basel convention invites parties cooperate minimization generation hazardous wastes particular')","(0.3939393939393939, 'preferably formal agreement would')","(0.4025974025974026, 'programme united nations industrial development organization national cleaner')","(0.3917525773195877, 'nations environment programme united nations industrial development organization national cleaner')","(0.41463414634146345, 'regional centres basel convention invites')","(0.35820895522388063, 'industry economics united nations environment programme secretariat')","(0.33333333333333337, 'united nations environment programme secretariat basel convention promotion collaboration respective programmes united nations environment')","(0.34838709677419355, 'united nations environment programme secretariat basel convention promotion collaboration respective programmes united nations environment programme united')","(0.5, 'basel convention invites parties cooperate minimization generation hazardous wastes particular')","(0.33766233766233766, 'invites parties cooperate minimization generation hazardous wastes particular')","(0.3647058823529412, 'environment programme secretariat basel convention promotion collaboration respective')","(0.42500000000000004, 'nations environment programme united nations industrial development organization')","(0.3076923076923077, 'technologies industrial processes product design facilitate cooperate transfer')","(0.38983050847457623, 'regional centres basel convention invites parties cooperate')","(0.37037037037037035, 'invites parties cooperate minimization generation hazardous wastes particular use')","(0.37234042553191493, 'basel convention invites parties cooperate minimization generation hazardous wastes particular')","(0.45070422535211263, 'convention promotion collaboration respective programmes united nations')","(0.33333333333333337, 'convention invites parties cooperate minimization generation hazardous wastes particular use cleaner production methods environmental management')","(0.3308823529411765, 'programme secretariat basel convention promotion collaboration respective programmes united nations environment programme united nations')","(0.3163265306122449, 'programmes united nations environment programme united nations industrial development organization')","(0.3647058823529412, 'convention preferably formal agreement would outline modalities collaboration specify')","(0.43999999999999995, 'convention promotion collaboration respective programmes united nations environment programme united')","(0.3619631901840491, 'united nations environment programme secretariat basel convention promotion collaboration respective programmes united nations environment programme united nations')","(0.3612903225806452, 'united nations environment programme secretariat basel convention promotion collaboration respective programmes united nations environment programme united')","(0.4027777777777778, 'convention promotion collaboration respective programmes united nations environment programme united nations industrial development organization')","(0.3571428571428571, 'agreement would outline modalities collaboration specify')","(0.3873873873873874, 'regional centres basel convention invites parties cooperate minimization generation hazardous wastes particular')","(0.37234042553191493, 'processes product design facilitate cooperate transfer methods technologies parties encourages')"
"Dec 6, 1999 Report Of The Parties And Signatories On The Implementation Of Decision Ii12","(0.30379746835443033, 'convention conference takes note progress made parties effectively implementing')","(0.276595744680851, 'convention conference takes note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties')","(0.4418604651162791, 'basel convention submit consolidated report')","(0.3278688524590164, 'implementation basel convention requests secretariat work consolidation report requests working group implementation basel')","(0.40909090909090906, 'convention conference takes note progress made parties effectively')","(0.31200000000000006, 'note consolidated report prepared secretariat basel convention implementation decision ii encourages parties well non parties')","(0.40909090909090906, 'parties next meeting v')","(0.3731343283582089, 'v implementation decision iii amendment basel convention conference')","(0.3522727272727273, 'report requests working group implementation basel convention submit consolidated report')","(0.4651162790697675, 'amendment basel convention conference takes')","(0.36363636363636365, 'secretariat basel convention implementation decision ii encourages')","(0.2857142857142857, 'signatories implementation decision ii conference takes note consolidated report prepared secretariat basel convention implementation')","(0.33333333333333337, 'convention conference takes note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties')","(0.35443037974683544, 'basel convention implementation decision ii encourages parties well non parties')","(0.3116883116883117, 'implementation basel convention submit consolidated report conference parties')","(0.375, 'working group implementation basel convention submit consolidated report')","(0.32835820895522383, 'basel convention implementation decision ii encourages parties well')","(0.3116883116883117, 'implementation basel convention submit consolidated report conference parties')","(0.4035087719298246, 'amendment basel convention conference takes note progress')","(0.31707317073170727, 'implementation basel convention submit consolidated report conference parties next')","(0.3924050632911392, 'basel convention implementation decision ii encourages parties well non parties')","(0.3943661971830986, 'implementation basel convention requests secretariat work consolidation')","(0.30534351145038163, 'prepared secretariat basel convention implementation decision ii encourages parties well non parties report implementation decision')","(0.31496062992125984, 'light importance decision implementation basel convention requests secretariat work consolidation report requests working group')","(0.28409090909090906, 'convention conference takes note progress made parties effectively implementing decision')","(0.36708860759493667, 'convention conference takes note progress made parties effectively implementing')","(0.36363636363636365, 'convention conference takes note progress made parties effectively implementing decision')","(0.3115942028985508, 'takes note consolidated report prepared secretariat basel convention implementation decision ii encourages parties well non parties report')","(0.2907801418439716, 'convention conference takes note progress made parties effectively implementing decision iii welcomes ratification acceptance several parties')","(0.368421052631579, 'convention implementation decision ii encourages parties well non parties report implementation decision ii report')","(0.3877551020408163, 'amendment contained decision iii strongly appeals')","(0.2990654205607477, 'signatories implementation decision ii conference takes note consolidated report prepared secretariat basel')","(0.33333333333333337, 'report article light importance decision implementation basel convention requests secretariat')"
"Dec 6, 2004 First cycle of Periodic Reporting","(0.33333333333333337, 'training priorities international cooperation priorities n streamline committee s')","(0.2983870967741935, 'n aware need to n n study reflect first cycle periodic reporting n develop strategic direction')","(0.3555555555555555, 'cooperation priorities n streamline committee')","(0.34615384615384615, 'streamline committee s consideration matters raised periodic reporting relating inscribed properties n n')","(0.3866666666666667, 'international cooperation priorities n streamline committee s consideration')","(0.2748091603053435, 'strategic direction forms format periodic reports training priorities international cooperation priorities n streamline committee s')","(0.3125, 'com n aware need')","(0.34375, 'priorities n streamline committee s consideration matters raised')","(0.3222222222222222, 'international cooperation priorities n streamline committee s consideration matters raised')","(0.4, 'committee s consideration matters raised')","(0.3620689655172413, 'strategic direction forms format periodic reports training')","(0.31496062992125984, 'format periodic reports training priorities international cooperation priorities n streamline committee s consideration matters')","(0.2945736434108527, 'n aware need to n n study reflect first cycle periodic reporting n develop strategic direction')","(0.2777777777777778, 'international cooperation priorities n streamline committee s consideration matters raised')","(0.31999999999999995, 'international cooperation priorities n streamline committee s consideration')","(0.30379746835443033, 'training priorities international cooperation priorities n streamline committee')","(0.3466666666666667, 'international cooperation priorities n streamline committee s consideration')","(0.29166666666666663, 'need to n n study reflect first cycle')","(0.3770491803278688, 'international cooperation priorities n streamline committee s')","(0.3855421686746988, 'international cooperation priorities n streamline committee s consideration matters')","(0.3263157894736842, 'training priorities international cooperation priorities n streamline committee s consideration')","(0.39344262295081966, 'cooperation priorities n streamline committee s consideration')","(0.32089552238805974, 'format periodic reports training priorities international cooperation priorities n streamline committee s consideration matters raised')","(0.32173913043478264, 'consideration matters raised periodic reporting relating inscribed properties n n n decides suspend one')","(0.2875, 'properties n n n decides suspend one year commencement next')","(0.3493975903614458, 'international cooperation priorities n streamline committee s consideration matters')","(0.34444444444444444, 'international cooperation priorities n streamline committee s consideration matters raised')","(0.289308176100629, 'training priorities international cooperation priorities n streamline committee s consideration matters raised periodic reporting relating inscribed properties')","(0.29230769230769227, 'periodic reporting relating inscribed properties n n n decides suspend one year commencement next cycle periodic')","(0.3410852713178295, 'training priorities international cooperation priorities n streamline committee s consideration matters raised periodic reporting')","(0.3921568627450981, 'streamline committee s consideration matters raised')","(0.28181818181818186, 'training priorities international cooperation priorities n streamline committee s consideration matters raised')","(0.3285714285714286, 'periodic reporting relating inscribed properties n n n decides suspend')"
"Dec 6, 1999 Implementation Of Decision Iv3 transmission Of Information","(0.36986301369863017, 'convention years takes note country fact sheets prepared secretariat')","(0.32885906040268453, 'presentations data provided parties years requests secretariat continue efforts harmonizing data collection international bodies requests secretariat')","(0.4285714285714286, 'convention years takes note country')","(0.33644859813084116, 'make information available regular basis parties non parties requests secretariat continue efforts ensuring')","(0.37037037037037035, 'convention series sbc no part ii page acknowledges')","(0.34042553191489366, 'conference parties sixth meeting v information management dissemination development information system hazardous wastes management conference')","(0.3928571428571429, 'parties non parties requests')","(0.3770491803278688, 'parties accordance articles basel convention years takes note')","(0.35365853658536583, 'information reported parties accordance articles basel convention years takes note')","(0.4358974358974359, 'publication basel convention series sbc')","(0.43999999999999995, 'basel convention series sbc no part ii')","(0.32352941176470584, 'management dissemination development information system hazardous wastes management conference takes note development information system')","(0.31999999999999995, 'purpose requests parties position collaborate assist developing country parties setting procedures arrangements facilitate collection data preparation')","(0.4, 'facilitate collection data preparation inventories hazardous wastes urges parties yet')","(0.34246575342465757, 'management conference takes note development information system hazardous')","(0.33333333333333337, 'publication basel convention series sbc no part ii')","(0.37662337662337664, 'meeting v information management dissemination development information system')","(0.31343283582089554, 'year recalls information provided parties secretariat calendar year')","(0.4, 'articles basel convention years takes note country')","(0.34736842105263155, 'international bodies requests secretariat explore possibilities developing indicators hazardous')","(0.38613861386138615, 'data collection international bodies requests secretariat explore possibilities developing indicators')","(0.3970588235294118, 'presentation data reported parties secretariat contained publication')","(0.31851851851851853, 'prepared secretariat year welcomes graphic presentation data reported parties secretariat contained publication basel convention series')","(0.3049645390070922, 'harmonizing data collection international bodies requests secretariat explore possibilities developing indicators hazardous wastes facilitate')","(0.2989690721649485, 'developing country parties setting procedures arrangements facilitate collection data preparation')","(0.3258426966292135, 'transmission information conference takes note compilation documents prepared secretariat')","(0.3516483516483516, 'management conference takes note development information system hazardous wastes management')","(0.3151515151515152, 'efforts harmonizing data collection international bodies requests secretariat explore possibilities developing indicators hazardous wastes facilitate decision making')","(0.30069930069930073, 'procedures place national level purpose requests parties position collaborate assist developing country parties setting procedures arrangements')","(0.3464566929133859, 'meeting v information management dissemination development information system hazardous wastes management conference takes note')","(0.3928571428571429, 'management conference takes note development information')","(0.33944954128440363, 'procedures arrangements facilitate collection data preparation inventories hazardous wastes urges parties yet')","(0.3586956521739131, 'presentation data reported parties secretariat contained publication basel convention series')"
