,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 29, 2003 Royal Hill of Ambohimanga Madagascar","(0.3132530120481928, 'conservation property invites madagascar undertake urgent restoration work preserve')","(0.25161290322580643, 'natural catastrophes congratulates malgache authorities efforts protect property damage informed secretariat state conservation property invites madagascar')","(0.32558139534883723, 'committee noting concern several properties')","(0.31896551724137934, 'informed secretariat state conservation property invites madagascar undertake urgent restoration work preserve world')","(0.328125, 'committee noting concern several properties islands indian ocean')","(0.28888888888888886, 'noting concern several properties islands indian ocean severely damaged natural catastrophes congratulates malgache authorities efforts')","(0.3142857142857143, 'invites madagascar undertake urgent')","(0.33333333333333337, 'undertake urgent restoration work preserve world heritage value')","(0.30487804878048785, 'invites madagascar undertake urgent restoration work preserve world heritage value')","(0.35416666666666663, 'informed secretariat state conservation property')","(0.32352941176470584, 'secretariat state conservation property invites madagascar undertake')","(0.29600000000000004, 'protect property damage informed secretariat state conservation property invites madagascar undertake urgent restoration work')","(0.28387096774193543, 'natural catastrophes congratulates malgache authorities efforts protect property damage informed secretariat state conservation property invites madagascar')","(0.25773195876288657, 'severely damaged natural catastrophes congratulates malgache authorities efforts protect property')","(0.33333333333333337, 'secretariat state conservation property invites madagascar undertake urgent')","(0.28378378378378377, 'damage informed secretariat state conservation property invites madagascar')","(0.30000000000000004, 'authorities efforts protect property damage informed secretariat state')","(0.34375, 'concern several properties islands indian ocean severely damaged')","(0.35185185185185186, 'noting concern several properties islands indian ocean')","(0.3373493975903614, 'conservation property invites madagascar undertake urgent restoration work preserve')","(0.3258426966292135, 'conservation property invites madagascar undertake urgent restoration work preserve world')","(0.42028985507246375, 'conservation property invites madagascar undertake urgent restoration')","(0.29007633587786263, 'world heritage committee noting concern several properties islands indian ocean severely damaged natural catastrophes congratulates')","(0.28800000000000003, 'protect property damage informed secretariat state conservation property invites madagascar undertake urgent restoration work')","(0.2962962962962963, 'committee noting concern several properties islands indian ocean severely damaged')","(0.368421052631579, 'invites madagascar undertake urgent restoration work preserve world heritage')","(0.3258426966292135, 'conservation property invites madagascar undertake urgent restoration work preserve world')","(0.2857142857142857, 'authorities efforts protect property damage informed secretariat state conservation property invites madagascar undertake urgent restoration work preserve')","(0.2551724137931034, 'authorities efforts protect property damage informed secretariat state conservation property invites madagascar undertake urgent restoration work')","(0.29600000000000004, 'informed secretariat state conservation property invites madagascar undertake urgent restoration work preserve world heritage')","(0.4464285714285714, 'informed secretariat state conservation property invites')","(0.2870370370370371, 'protect property damage informed secretariat state conservation property invites madagascar undertake urgent')","(0.3516483516483516, 'protect property damage informed secretariat state conservation property invites madagascar')"
"Jun 29, 2003 Royal Palaces of Abomey Benin","(0.3287671232876712, 'danger decides retain royal palaces abomey list world heritage')","(0.27819548872180455, 'mission property view preparing report february examination world heritage committee session state conservation property enable world')","(0.39534883720930236, 'conservation property enable world heritage')","(0.3173076923076923, 'committee session state conservation property enable world heritage committee decide whether remove list')","(0.3731343283582089, 'session state conservation property enable world heritage committee')","(0.2727272727272727, 'thanking government japan financial contribution restoration king behanzin s palace requests world heritage centre icomos')","(0.34615384615384615, 'behanzin s palace requests')","(0.31343283582089554, 'view preparing report february examination world heritage committee')","(0.3214285714285714, 'mission property view preparing report february examination world heritage committee')","(0.3870967741935484, 'icomos co operation state party')","(0.3157894736842105, 'session state conservation property enable world heritage')","(0.2857142857142857, 'financial contribution restoration king behanzin s palace requests world heritage centre icomos co operation')","(0.2558139534883721, 'restoration king behanzin s palace requests world heritage centre icomos co operation state party undertake evaluation')","(0.2716049382716049, 'financial contribution restoration king behanzin s palace requests world heritage')","(0.31343283582089554, 'heritage committee session state conservation property enable world')","(0.31343283582089554, 'heritage committee session state conservation property enable world')","(0.34328358208955223, 'centre icomos co operation state party undertake evaluation')","(0.3088235294117647, 'conservation property enable world heritage committee decide whether')","(0.4035087719298246, 'financial contribution restoration king behanzin s palace')","(0.32307692307692304, 'restoration king behanzin s palace requests world heritage centre')","(0.3375, 'conservation property enable world heritage committee decide whether remove list')","(0.375, 'contribution restoration king behanzin s palace requests')","(0.272, 'party undertake evaluation mission property view preparing report february examination world heritage committee session state')","(0.29565217391304344, 'heritage centre icomos co operation state party undertake evaluation mission property view preparing report')","(0.26249999999999996, 'restoration king behanzin s palace requests world heritage centre icomos')","(0.3513513513513513, 'mission property view preparing report february examination world heritage')","(0.32499999999999996, 'conservation property enable world heritage committee decide whether remove list')","(0.28873239436619713, 'report february examination world heritage committee session state conservation property enable world heritage committee decide whether remove')","(0.27692307692307694, 'restoration king behanzin s palace requests world heritage centre icomos co operation state party undertake evaluation')","(0.32407407407407407, 'financial contribution restoration king behanzin s palace requests world heritage centre icomos co operation')","(0.46153846153846156, 'committee session state conservation property enable')","(0.2376237623762376, 'party undertake evaluation mission property view preparing report february examination world heritage')","(0.30952380952380953, 'mission property view preparing report february examination world heritage committee')"
"Jun 29, 2003 Saint Catherine Area Egypt","(0.28767123287671237, 'committee decides inscribe saint catherine area egypt world heritage')","(0.2442748091603053, 'basis natural criteria encourges state party resubmit nomination cultural landscape notes original inscription saint catherine area')","(0.2954545454545454, 'nomination cultural landscape notes original')","(0.3207547169811321, 'resubmit nomination cultural landscape notes original inscription saint catherine area world heritage list')","(0.3548387096774194, 'notes original inscription saint catherine area world heritage')","(0.2661290322580645, 'resubmit nomination cultural landscape notes original inscription saint catherine area world heritage list cultural criteria')","(0.3076923076923077, 'saint catherine area egypt')","(0.33333333333333337, 'criteria encourges state party resubmit nomination cultural landscape')","(0.3132530120481928, 'basis natural criteria encourges state party resubmit nomination cultural landscape')","(0.30000000000000004, 'state party resubmit nomination cultural')","(0.2615384615384615, 'resubmit nomination cultural landscape notes original inscription')","(0.2767857142857143, 'world heritage committee decides inscribe saint catherine area egypt world heritage list basis natural')","(0.23664122137404575, 'basis natural criteria encourges state party resubmit nomination cultural landscape notes original inscription saint catherine area')","(0.2906976744186046, 'resubmit nomination cultural landscape notes original inscription saint catherine area')","(0.27419354838709675, 'notes original inscription saint catherine area world heritage')","(0.26086956521739135, 'criteria encourges state party resubmit nomination cultural landscape')","(0.26865671641791045, 'notes original inscription saint catherine area world heritage')","(0.27419354838709675, 'notes original inscription saint catherine area world heritage')","(0.3114754098360656, 'cultural landscape notes original inscription saint catherine')","(0.3287671232876712, 'basis natural criteria encourges state party resubmit nomination cultural')","(0.3157894736842105, 'notes original inscription saint catherine area world heritage list cultural')","(0.29032258064516125, 'nomination cultural landscape notes original inscription saint')","(0.2698412698412699, 'basis natural criteria encourges state party resubmit nomination cultural landscape notes original inscription saint catherine')","(0.23478260869565215, 'world heritage list basis natural criteria encourges state party resubmit nomination cultural landscape notes')","(0.26249999999999996, 'catherine area world heritage list cultural criteria iii iv vi')","(0.3571428571428571, 'inscription saint catherine area world heritage list cultural criteria')","(0.2666666666666667, 'committee decides inscribe saint catherine area egypt world heritage list')","(0.2279411764705882, 'state party resubmit nomination cultural landscape notes original inscription saint catherine area world heritage list cultural criteria')","(0.2384615384615385, 'cultural landscape notes original inscription saint catherine area world heritage list cultural criteria iii iv vi')","(0.2647058823529411, 'landscape notes original inscription saint catherine area world heritage list cultural criteria iii iv')","(0.33999999999999997, 'party resubmit nomination cultural landscape notes')","(0.24742268041237114, 'catherine area egypt world heritage list basis natural criteria encourges state party')","(0.2906976744186046, 'resubmit nomination cultural landscape notes original inscription saint catherine area')"
"Jun 29, 2003 Rwenzori Mountain National Park Uganda","(0.31034482758620685, 'seek financial technical support external sources especially development implementation')","(0.27544910179640714, 'mission recommendations describing benchmarks timeframes monitoring progress implementation mission recommendations examination world heritage committee session enable')","(0.38888888888888884, 'co operation property staff security')","(0.344, 'commitment conservation property commends uganda wildlife authority improvements management property efforts protect property')","(0.36363636363636365, 'increased commitment conservation property commends uganda wildlife authority')","(0.3496503496503497, 'commitment conservation property commends uganda wildlife authority improvements management property efforts protect property times instability')","(0.3913043478260869, 'state party may request')","(0.3214285714285714, 'progress implementation mission recommendations examination world heritage committee')","(0.3207547169811321, 'timeframes monitoring progress implementation mission recommendations examination world heritage committee')","(0.3513513513513513, 'party establish co operation property')","(0.35820895522388063, 'commitment conservation property commends uganda wildlife authority')","(0.3111111111111111, 'progress implementation mission recommendations examination world heritage committee session enable consider removing rwenzori mountain')","(0.30147058823529416, 'mission recommendations examination world heritage committee session enable consider removing rwenzori mountain national park list world')","(0.30927835051546393, 'conservation property commends uganda wildlife authority improvements management property efforts')","(0.37662337662337664, 'increased commitment conservation property commends uganda wildlife authority')","(0.2987012987012987, 'increased commitment conservation property commends uganda wildlife authority')","(0.31343283582089554, 'property s conditions improved substantially since inscribed list')","(0.328125, 'modest financial assistance world heritage fund recommends state')","(0.3731343283582089, 'commitment conservation property commends uganda wildlife authority')","(0.34426229508196726, 'co operation property staff security forces map landmine free')","(0.31182795698924726, 'mission recommendations examination world heritage committee session enable consider removing')","(0.3623188405797102, 'conservation property commends uganda wildlife authority improvements')","(0.29166666666666663, 'progress implementation mission recommendations examination world heritage committee session enable consider removing rwenzori mountain national')","(0.2978723404255319, 'benchmarks timeframes monitoring progress implementation mission recommendations examination world heritage committee session enable consider')","(0.306930693069307, 'increased commitment conservation property commends uganda wildlife authority improvements management')","(0.34375, 'timeframes monitoring progress implementation mission recommendations examination world heritage')","(0.3402061855670103, 'conservation property commends uganda wildlife authority improvements management property efforts')","(0.2875, 'report world heritage centre february addressing unesco iucn mission recommendations describing benchmarks timeframes monitoring progress implementation mission')","(0.3202614379084967, 'increased commitment conservation property commends uganda wildlife authority improvements management property efforts protect property times instability')","(0.33587786259541985, 'commitment conservation property commends uganda wildlife authority improvements management property efforts protect property times')","(0.4655172413793104, 'increased commitment conservation property commends uganda')","(0.31896551724137934, 'commitment conservation property commends uganda wildlife authority improvements management property efforts protect')","(0.32098765432098764, 'protect property times instability invites state party consider according greater')"
"Jun 29, 2003 Saryarka  Steppe and Lakes of Northern Kazakhstan","(0.3132530120481928, 'committee defers consideration nomination saryarka steppe lakes northern kazakhstan')","(0.248, 'sarykopa wildlife reserve nature reserve protected status linking tersek sypsyn outliers extended main naurzum nature reserve')","(0.30434782608695654, 'consideration nomination saryarka steppe lakes')","(0.33613445378151263, 'defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme')","(0.36111111111111116, 'committee defers consideration nomination saryarka steppe lakes northern')","(0.2777777777777778, 'defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme demonstrating commitment')","(0.2962962962962963, 'main naurzum nature reserve')","(0.3157894736842105, 'implementation programme demonstrating commitment state party to maintaining')","(0.31182795698924726, 'kazakhstan detailed action plan implementation programme demonstrating commitment state party')","(0.39473684210526316, 'nura river containing deposits mercury')","(0.31343283582089554, 'action plan implementation programme demonstrating commitment state')","(0.2857142857142857, 'defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme demonstrating')","(0.27083333333333337, 'world heritage committee defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme')","(0.27586206896551724, 'consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan')","(0.3194444444444444, 'committee defers consideration nomination saryarka steppe lakes northern')","(0.26388888888888884, 'world heritage committee defers consideration nomination saryarka steppe')","(0.33333333333333337, 'committee defers consideration nomination saryarka steppe lakes northern')","(0.28125, 'reserve protected status linking tersek sypsyn outliers extended')","(0.3492063492063492, 'committee defers consideration nomination saryarka steppe lakes')","(0.2705882352941177, 'lakes northern kazakhstan detailed action plan implementation programme demonstrating')","(0.3563218390804598, 'consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan')","(0.35185185185185186, 'flows nura river containing deposits mercury pollution')","(0.26388888888888884, 'defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme demonstrating commitment')","(0.2706766917293233, 'defers consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme demonstrating')","(0.3146067415730337, 'protecting intervening corridors unmodified steppe requests iucn undertake thematic study')","(0.30379746835443033, 'river containing deposits mercury pollution upgrading sarykopa wildlife reserve')","(0.30681818181818177, 'action plan implementation programme demonstrating commitment state party to maintaining')","(0.26618705035971224, 'deposits mercury pollution upgrading sarykopa wildlife reserve nature reserve protected status linking tersek sypsyn outliers extended main')","(0.261744966442953, 'consideration nomination saryarka steppe lakes northern kazakhstan detailed action plan implementation programme demonstrating commitment state party')","(0.3015873015873016, 'northern kazakhstan detailed action plan implementation programme demonstrating commitment state party to maintaining existing')","(0.3389830508474576, 'heritage committee defers consideration nomination saryarka')","(0.2761904761904762, 'action plan implementation programme demonstrating commitment state party to maintaining existing natural')","(0.3246753246753247, 'reserve protected status linking tersek sypsyn outliers extended main naurzum')"
"Jun 29, 2003 Sacri Monti of Piedmont and Lombardy Italy","(0.3013698630136986, 'monte di san francesco d orta san giulio novara')","(0.29801324503311255, 'turin piedmont total total encourages authorities italy switzerland consider possible transboundary collaboration extension property include properties')","(0.33333333333333337, 'extension property include properties type')","(0.3090909090909091, 'italy represent successful integration architecture fine art landscape great beauty spiritual reasons critical')","(0.33333333333333337, 'iv criterion ii implantation architecture sacred art natural')","(0.34259259259259256, 'sacro monte di san francesco d orta san giulio novara piedmont sacro monte del rosario')","(0.33333333333333337, 'inscribes sacri monti piedmont')","(0.35, 'criteria ii iv criterion ii implantation architecture sacred')","(0.33333333333333337, 'basis cultural criteria ii iv criterion ii implantation architecture sacred')","(0.33333333333333337, 'sacro monte di s maria')","(0.33999999999999997, 'sacro monte di san francesco d orta')","(0.3035714285714286, 'monte del rosario di varese varese lombardy sacro monte della beata vergine oropa biella')","(0.3023255813953488, 'monte di san francesco d orta san giulio novara piedmont sacro monte del rosario di varese')","(0.3267326732673267, 'italy switzerland consider possible transboundary collaboration extension property include properties')","(0.30434782608695654, 'sacri monti mountains northern italy represent successful integration')","(0.30000000000000004, 'areas name province region area ha buffer ha')","(0.32835820895522383, 'catholic church property consists nine separate areas name')","(0.33783783783783783, 'northern italy profound influence subsequent developments elsewhere europe')","(0.3508771929824561, 'criterion ii implantation architecture sacred art natural')","(0.32352941176470584, 'art landscape great beauty spiritual reasons critical period history')","(0.3058823529411765, 'successful integration architecture fine art landscape great beauty spiritual reasons')","(0.3650793650793651, 'implantation architecture sacred art natural landscape didactic')","(0.2931034482758621, 'property consists nine separate areas name province region area ha buffer ha sacro monte nuova')","(0.28695652173913044, 'sacro monte della beata vergine del soccorso ossuccio como lombardy sacro monte della ss')","(0.3375, 'property consists nine separate areas name province region area ha')","(0.34285714285714286, 'iv criterion ii implantation architecture sacred art natural landscape')","(0.34523809523809523, 'profound influence subsequent developments elsewhere europe criterion iv sacri monti')","(0.29931972789115646, 'achieved exceptional expression sacri monti mountains northern italy profound influence subsequent developments elsewhere europe criterion iv sacri')","(0.30000000000000004, 'monte di san francesco d orta san giulio novara piedmont sacro monte del rosario di varese')","(0.29600000000000004, 'developments elsewhere europe criterion iv sacri monti mountains northern italy represent successful integration architecture')","(0.35185185185185186, 'represent successful integration architecture fine art')","(0.31092436974789917, 'total encourages authorities italy switzerland consider possible transboundary collaboration extension property include')","(0.31645569620253167, 'iv criterion ii implantation architecture sacred art natural landscape didactic')"
"Jun 29, 2003 Serial Nominations Italy and Poland","(0.3013698630136986, 'two serial nominations encourages states parties work world heritage')","(0.265625, 'two serial nominations encourages states parties work world heritage centre assisting states parties develop planning mechanisms')","(0.2727272727272727, 'committee congratulates states parties italy')","(0.30000000000000004, 'two serial nominations encourages states parties work world heritage centre assisting states parties')","(0.30000000000000004, 'wooden churches southern little poland poland world heritage')","(0.25396825396825395, 'italy poland successful establishment planning mechanisms two serial nominations encourages states parties work world heritage')","(0.33333333333333337, 'parties work world heritage')","(0.3125, 'nominations encourages states parties work world heritage centre')","(0.28915662650602414, 'properties requests two states parties report back committee session implementation')","(0.34090909090909094, 'mechanisms two serial nominations encourages')","(0.33333333333333337, 'back committee session implementation management mechanisms potential')","(0.2678571428571429, 'two serial nominations encourages states parties work world heritage centre assisting states parties develop')","(0.26515151515151514, 'states parties italy poland successful establishment planning mechanisms two serial nominations encourages states parties work world')","(0.24731182795698925, 'successful establishment planning mechanisms two serial nominations encourages states parties')","(0.27941176470588236, 'planning mechanisms two serial nominations encourages states parties')","(0.2567567567567568, 'parties report back committee session implementation management mechanisms')","(0.27941176470588236, 'heritage centre assisting states parties develop planning mechanisms')","(0.30000000000000004, 'similar serial properties requests two states parties report')","(0.31666666666666665, 'planning mechanisms two serial nominations encourages states')","(0.30666666666666664, 'southern little poland poland world heritage committee congratulates states')","(0.30666666666666664, 'two serial nominations encourages states parties work world heritage centre')","(0.3623188405797102, 'back committee session implementation management mechanisms potential')","(0.2748091603053435, 'mechanisms similar serial properties requests two states parties report back committee session implementation management mechanisms')","(0.24347826086956526, 'two serial nominations encourages states parties work world heritage centre assisting states parties develop')","(0.26249999999999996, 'two serial nominations encourages states parties work world heritage centre')","(0.33783783783783783, 'nominations encourages states parties work world heritage centre assisting')","(0.29885057471264365, 'assisting states parties develop planning mechanisms similar serial properties requests')","(0.25, 'world heritage committee congratulates states parties italy poland successful establishment planning mechanisms two serial nominations encourages states')","(0.24137931034482762, 'world heritage committee congratulates states parties italy poland successful establishment planning mechanisms two serial nominations encourages')","(0.275, 'mechanisms similar serial properties requests two states parties report back committee session implementation management')","(0.3529411764705882, 'mechanisms two serial nominations encourages states')","(0.2680412371134021, 'parties develop planning mechanisms similar serial properties requests two states parties report')","(0.2962962962962963, 'parties develop planning mechanisms similar serial properties requests two states')"
"Jun 29, 2003 Seokguram Grotto and Bulguksa Temple Republic of Korea","(0.34246575342465757, 'committee takes note information provided state party world heritage')","(0.23015873015873012, 'world heritage committee takes note information provided state party world heritage centre state conservation seokguram grotto')","(0.326530612244898, 'grotto ensure conservation authenticity integrity')","(0.34259259259259256, 'world heritage centre state conservation seokguram grotto bulguksa temple congratulates state party decision')","(0.3561643835616438, 'seokguram grotto ensure conservation authenticity integrity heritage area')","(0.25, 'build new structure within vicinity world heritage property seokguram grotto ensure conservation authenticity integrity heritage')","(0.37037037037037035, 'party world heritage centre')","(0.3220338983050848, 'note information provided state party world heritage centre')","(0.28, 'committee takes note information provided state party world heritage centre')","(0.38636363636363635, 'heritage centre state conservation seokguram')","(0.3015873015873016, 'grotto ensure conservation authenticity integrity heritage area')","(0.2992125984251969, 'heritage property seokguram grotto ensure conservation authenticity integrity heritage area particular pristine natural setting')","(0.2558139534883721, 'world heritage committee takes note information provided state party world heritage centre state conservation seokguram grotto')","(0.32558139534883723, 'state conservation seokguram grotto bulguksa temple congratulates state party decision')","(0.34246575342465757, 'seokguram grotto ensure conservation authenticity integrity heritage area')","(0.37662337662337664, 'heritage property seokguram grotto ensure conservation authenticity integrity')","(0.2894736842105263, 'ensure conservation authenticity integrity heritage area particular pristine')","(0.3278688524590164, 'provided state party world heritage centre state conservation')","(0.33333333333333337, 'grotto ensure conservation authenticity integrity heritage area')","(0.3055555555555556, 'congratulates state party decision withdraw proposal build new structure')","(0.32608695652173914, 'ensure conservation authenticity integrity heritage area particular pristine natural setting')","(0.37681159420289856, 'conservation authenticity integrity heritage area particular pristine')","(0.23308270676691734, 'within vicinity world heritage property seokguram grotto ensure conservation authenticity integrity heritage area particular pristine')","(0.25806451612903225, 'within vicinity world heritage property seokguram grotto ensure conservation authenticity integrity heritage area particular')","(0.29670329670329665, 'heritage property seokguram grotto ensure conservation authenticity integrity heritage area')","(0.38235294117647056, 'committee takes note information provided state party world heritage')","(0.2717391304347826, 'ensure conservation authenticity integrity heritage area particular pristine natural setting')","(0.23943661971830987, 'party decision withdraw proposal build new structure within vicinity world heritage property seokguram grotto ensure conservation authenticity')","(0.2605633802816901, 'vicinity world heritage property seokguram grotto ensure conservation authenticity integrity heritage area particular pristine natural setting')","(0.2983870967741935, 'within vicinity world heritage property seokguram grotto ensure conservation authenticity integrity heritage area particular')","(0.4509803921568627, 'heritage centre state conservation seokguram grotto')","(0.2692307692307693, 'state conservation seokguram grotto bulguksa temple congratulates state party decision withdraw proposal')","(0.2948717948717948, 'provided state party world heritage centre state conservation seokguram grotto')"
"Jun 29, 2003 Sagarmatha National Park Nepal","(0.3205128205128205, 'kingdom s department international development dfid establishing tourism rural')","(0.25373134328358204, 'request nepal civil aviation authority ministry culture tourism civil aviation moctca remove excavator construction materials property')","(0.31707317073170727, 'compensation park authorities enable full')","(0.32456140350877194, 's department international development dfid establishing tourism rural poverty alleviation programme trpap address')","(0.33333333333333337, 'moctca remove excavator construction materials property provide adequate')","(0.3023255813953488, 'civil aviation moctca remove excavator construction materials property provide adequate compensation park authorities enable full')","(0.3870967741935484, 'aspects park tourism management')","(0.3866666666666667, 'communities invites state party continue implementation priority management')","(0.3666666666666667, 'benefits local communities invites state party continue implementation priority management')","(0.375, 'remove excavator construction materials property')","(0.33870967741935487, 'programme undp snv netherlands development organisation united')","(0.2857142857142857, 'letter confirming decision ensure project proceed future request nepal civil aviation authority ministry culture')","(0.3049645390070922, 'united nations development programme undp snv netherlands development organisation united kingdom s department international development dfid')","(0.34523809523809523, 'enhance co operation local stakeholders management property decision adopted without')","(0.3157894736842105, 'department international development dfid establishing tourism rural poverty')","(0.32307692307692304, 'management provide benefits local communities invites state party')","(0.34246575342465757, 'provide adequate compensation park authorities enable full rehabilitation')","(0.31746031746031744, 'syangboche airstrip project requests state party provide letter')","(0.3620689655172413, 'provide adequate compensation park authorities enable full')","(0.34090909090909094, 'department international development dfid establishing tourism rural poverty alleviation')","(0.34883720930232553, 'kingdom s department international development dfid establishing tourism rural poverty')","(0.360655737704918, 'compensation park authorities enable full rehabilitation area')","(0.3046875, 'park tourism management provide benefits local communities invites state party continue implementation priority management needs')","(0.2834645669291339, 'remove excavator construction materials property provide adequate compensation park authorities enable full rehabilitation area')","(0.3052631578947368, 'excavator construction materials property provide adequate compensation park authorities enable')","(0.33333333333333337, 'confirming decision ensure project proceed future request nepal civil')","(0.3695652173913043, 'organisation united kingdom s department international development dfid establishing tourism')","(0.29801324503311255, 'undp snv netherlands development organisation united kingdom s department international development dfid establishing tourism rural poverty alleviation')","(0.3153846153846154, 'project requests state party provide letter confirming decision ensure project proceed future request nepal civil aviation')","(0.3515625, 'organisation united kingdom s department international development dfid establishing tourism rural poverty alleviation programme')","(0.3921568627450981, 'kingdom s department international development dfid')","(0.28037383177570097, 'remove excavator construction materials property provide adequate compensation park authorities enable full')","(0.3052631578947368, 'excavator construction materials property provide adequate compensation park authorities enable')"
"Jun 29, 2003 Spixc5xa1skxc3xbd Hrad and its Associated Cultural Monuments Slovakia","(0.28767123287671237, 'overall conservation property requests state party keep world heritage')","(0.2647058823529411, 'heritage centre traffic conservation issues property february order world heritage committee examine state conservation property session')","(0.33333333333333337, 'conservation property requests state party')","(0.3298969072164949, 'party report overall conservation property requests state party keep world heritage centre icomos')","(0.3857142857142857, 'committee examine state conservation property session decision adopted')","(0.28682170542635654, 'traffic conservation issues property february order world heritage committee examine state conservation property session decision')","(0.3076923076923077, 'keep world heritage centre')","(0.3285714285714286, 'appreciation state party report overall conservation property requests')","(0.3076923076923077, 'committee expressing appreciation state party report overall conservation property requests')","(0.4, 'committee examine state conservation property')","(0.3157894736842105, 'report overall conservation property requests state party')","(0.3035714285714286, 'world heritage centre icomos informed future projects may impact property provide report world heritage')","(0.2558139534883721, 'overall conservation property requests state party keep world heritage centre icomos informed future projects may impact')","(0.2857142857142857, 'traffic conservation issues property february order world heritage committee examine')","(0.33333333333333337, 'traffic conservation issues property february order world heritage')","(0.27941176470588236, 'world heritage committee examine state conservation property session')","(0.31506849315068497, 'committee expressing appreciation state party report overall conservation')","(0.2857142857142857, 'party report overall conservation property requests state party')","(0.41666666666666663, 'examine state conservation property session decision adopted')","(0.3026315789473685, 'traffic conservation issues property february order world heritage committee')","(0.2987012987012987, 'overall conservation property requests state party keep world heritage centre')","(0.3584905660377359, 'conservation property requests state party keep world')","(0.2764227642276422, 'world heritage committee expressing appreciation state party report overall conservation property requests state party keep')","(0.24347826086956526, 'expressing appreciation state party report overall conservation property requests state party keep world heritage')","(0.2857142857142857, 'committee expressing appreciation state party report overall conservation property requests')","(0.3857142857142857, 'overall conservation property requests state party keep world heritage')","(0.2666666666666667, 'future projects may impact property provide report world heritage centre')","(0.24137931034482762, 'heritage centre traffic conservation issues property february order world heritage committee examine state conservation property session decision')","(0.24615384615384617, 'appreciation state party report overall conservation property requests state party keep world heritage centre icomos informed')","(0.3027522935779816, 'icomos informed future projects may impact property provide report world heritage centre traffic conservation')","(0.47058823529411764, 'party report overall conservation property requests')","(0.24742268041237114, 'state party keep world heritage centre icomos informed future projects may impact')","(0.30487804878048785, 'property provide report world heritage centre traffic conservation issues property')"
