,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Oct 7, 1980 Adoption of the Agenda of the General Assembly","(0.1917808219178082, 'agenda session adopted without amendment work assembly completed one')","(0, '')","(0.22499999999999998, 'agenda session adopted without amendment')","(0, '')","(0.25, 'agenda session adopted without amendment work assembly completed')","(0, '')","(0.2727272727272727, 'session adopted without amendment')","(0.28125, 'agenda session adopted without amendment work assembly completed')","(0, '')","(0.26315789473684215, 'session adopted without amendment work')","(0.24561403508771928, 'session adopted without amendment work assembly completed')","(0, '')","(0, '')","(0, '')","(0.1875, 'agenda session adopted without amendment work assembly completed')","(0.171875, 'agenda session adopted without amendment work assembly completed')","(0.20895522388059706, 'agenda session adopted without amendment work assembly completed')","(0.203125, 'agenda session adopted without amendment work assembly completed')","(0.31481481481481477, 'agenda session adopted without amendment work assembly')","(0.20588235294117652, 'agenda session adopted without amendment work assembly completed one')","(0, '')","(0.29824561403508776, 'session adopted without amendment work assembly completed')","(0, '')","(0, '')","(0, '')","(0.23529411764705888, 'agenda session adopted without amendment work assembly completed one')","(0, '')","(0, '')","(0, '')","(0, '')","(0.24444444444444446, 'agenda session adopted without amendment work')","(0, '')","(0, '')"
"Oct 7, 1980 Closure of the session","(0.30666666666666664, 'convention one examples activities every country contribution make heritage')","(0.2535211267605634, 'announcing closure meeting chairman stated implementation convention one examples activities every country contribution make heritage heritage')","(0.42500000000000004, 'convention one examples activities every')","(0.3113207547169812, 'activities every country contribution make heritage heritage nations together formed the patrimony mankind')","(0.36363636363636365, 'convention one examples activities every country contribution make')","(0.28688524590163933, 'convention one examples activities every country contribution make heritage heritage nations together formed the patrimony')","(0.33333333333333337, 'nations together formed the')","(0.3870967741935484, 'formed the patrimony mankind convention embodied ideals unesco')","(0.3417721518987342, 'nations together formed the patrimony mankind convention embodied ideals unesco')","(0.41463414634146345, 'the patrimony mankind convention embodied')","(0.35, 'mankind convention embodied ideals unesco constitution based')","(0.27419354838709675, 'announcing closure meeting chairman stated implementation convention one examples activities every country contribution make')","(0.29850746268656714, 'stated implementation convention one examples activities every country contribution make heritage heritage nations together formed the')","(0.2727272727272727, 'stated implementation convention one examples activities every country contribution make')","(0.303030303030303, 'every country contribution make heritage heritage nations together')","(0.31506849315068497, 'meeting chairman stated implementation convention one examples activities')","(0.27142857142857146, 'stated implementation convention one examples activities every country')","(0.2727272727272727, 'every country contribution make heritage heritage nations together')","(0.3833333333333333, 'mankind convention embodied ideals unesco constitution based')","(0.3287671232876712, 'contribution make heritage heritage nations together formed the patrimony')","(0.29761904761904767, 'convention one examples activities every country contribution make heritage heritage')","(0.4098360655737705, 'convention one examples activities every country contribution')","(0.3308270676691729, 'announcing closure meeting chairman stated implementation convention one examples activities every country contribution make heritage')","(0.2520325203252033, 'chairman stated implementation convention one examples activities every country contribution make heritage heritage nations')","(0.23863636363636365, 'patrimony mankind convention embodied ideals unesco constitution based chairman declared')","(0.43999999999999995, 'convention one examples activities every country contribution make heritage')","(0.30952380952380953, 'convention one examples activities every country contribution make heritage heritage')","(0.3194444444444444, 'stated implementation convention one examples activities every country contribution make heritage heritage nations together formed the patrimony')","(0.28873239436619713, 'announcing closure meeting chairman stated implementation convention one examples activities every country contribution make heritage heritage')","(0.34959349593495936, 'chairman stated implementation convention one examples activities every country contribution make heritage heritage nations')","(0.3571428571428571, 'stated implementation convention one examples activities')","(0.26415094339622647, 'chairman stated implementation convention one examples activities every country contribution make heritage')","(0.3522727272727273, 'patrimony mankind convention embodied ideals unesco constitution based chairman declared')"
"Oct 6, 2014 Tribute to the Government and people of the Republic of Korea","(0.2894736842105263, 'convention biological diversity xii tribute government people republic korea')","(0.44354838709677424, 'cbd distr general unep cbd cop dec xii october original english conference parties convention biological diversity')","(0.7209302325581395, 'parties convention biological diversity xii')","(0.30434782608695654, 'government people republic korea we participants twelfth meeting conference parties convention biological diversity')","(0.34285714285714286, 'convention biological diversity xii tribute government people republic')","(0.31496062992125984, 'parties convention biological diversity xii tribute government people republic korea we participants twelfth meeting conference')","(0.3125, 'diversity xii tribute government')","(0.3513513513513513, 'meeting conference parties convention biological diversity met pyeongchang')","(0.34090909090909094, 'korea we participants twelfth meeting conference parties convention biological diversity')","(0.36, 'conference parties convention biological diversity')","(0.32835820895522383, 'parties convention biological diversity twelfth meeting pyeongchang')","(0.2790697674418605, 'parties convention biological diversity met pyeongchang october gracious invitation government republic korea deeply appreciative')","(0.2953020134228188, 'october gracious invitation government republic korea deeply appreciative special courtesy warm hospitality extended participants government republic')","(0.30000000000000004, 'parties convention biological diversity twelfth meeting pyeongchang republic korea october')","(0.3287671232876712, 'conference parties convention biological diversity xii tribute government')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.32432432432432434, 'meeting conference parties convention biological diversity met pyeongchang')","(0.29508196721311475, 'korea october agenda item decision adopted conference parties')","(0.3548387096774194, 'meeting conference parties convention biological diversity met')","(0.30487804878048785, 'parties convention biological diversity twelfth meeting pyeongchang republic korea')","(0.33333333333333337, 'invitation government republic korea deeply appreciative special courtesy warm hospitality')","(0.375, 'convention biological diversity met pyeongchang october gracious')","(0.2941176470588235, 'twelfth meeting conference parties convention biological diversity met pyeongchang october gracious invitation government republic korea')","(0.2790697674418605, 'parties convention biological diversity met pyeongchang october gracious invitation government republic korea deeply appreciative')","(0.43157894736842106, 'participants twelfth meeting conference parties convention biological diversity met pyeongchang')","(0.3291139240506329, 'decision adopted conference parties convention biological diversity xii tribute')","(0.3924050632911392, 'convention biological diversity xii tribute government people republic korea we')","(0.3405797101449275, 'korea october agenda item decision adopted conference parties convention biological diversity xii tribute government people republic korea')","(0.303030303030303, 'korea october agenda item decision adopted conference parties convention biological diversity xii tribute government people republic')","(0.32558139534883723, 'parties convention biological diversity met pyeongchang october gracious invitation government republic korea deeply appreciative')","(0.33333333333333337, 'government people republic korea we participants')","(0.28, 'parties convention biological diversity xii tribute government people republic korea we participants')","(0.30487804878048785, 'pyeongchang republic korea october agenda item decision adopted conference parties')"
"Oct 7, 1980 Determination of the amount of the contributions to the World Heritage Fund in accordance with the provisions of Article","(0.2465753424657534, 'period amount contribution paid world heritage fund foreseen article')","(0.23880597014925375, 'general assembly unanimously decided proposal chairman maintain financial period amount contribution paid world heritage fund foreseen')","(0.3846153846153846, 'convention per cent contribution states')","(0.3076923076923077, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution')","(0.3870967741935484, 'convention per cent contribution states parties regular budget')","(0.2941176470588235, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states parties')","(0.31034482758620685, 'paragraph convention per cent')","(0.359375, 'fund foreseen article paragraph convention per cent contribution')","(0.3291139240506329, 'world heritage fund foreseen article paragraph convention per cent contribution')","(0.5135135135135135, 'article paragraph convention per cent')","(0.42105263157894735, 'article paragraph convention per cent contribution states')","(0.2767857142857143, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states')","(0.2713178294573644, 'period amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states parties')","(0.22784810126582278, 'contribution paid world heritage fund foreseen article paragraph convention per')","(0.29230769230769227, 'article paragraph convention per cent contribution states parties')","(0.32307692307692304, 'maintain financial period amount contribution paid world heritage')","(0.31343283582089554, 'article paragraph convention per cent contribution states parties')","(0.296875, 'contribution paid world heritage fund foreseen article paragraph')","(0.45614035087719296, 'paragraph convention per cent contribution states parties')","(0.3142857142857143, 'maintain financial period amount contribution paid world heritage fund')","(0.3076923076923077, 'period amount contribution paid world heritage fund foreseen article paragraph')","(0.4, 'convention per cent contribution states parties regular')","(0.23529411764705888, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states parties')","(0.23478260869565215, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states')","(0.2530120481927711, 'proposal chairman maintain financial period amount contribution paid world heritage')","(0.3142857142857143, 'maintain financial period amount contribution paid world heritage fund')","(0.26582278481012656, 'maintain financial period amount contribution paid world heritage fund foreseen')","(0.274074074074074, 'period amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states parties regular')","(0.24626865671641796, 'general assembly unanimously decided proposal chairman maintain financial period amount contribution paid world heritage fund foreseen')","(0.29729729729729726, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent contribution states')","(0.36170212765957444, 'convention per cent contribution states parties')","(0.23711340206185572, 'amount contribution paid world heritage fund foreseen article paragraph convention per cent')","(0.32530120481927716, 'proposal chairman maintain financial period amount contribution paid world heritage')"
"Oct 6, 2014 Improving the efficiency of structures and processes of the Convention Subsidiary Body on Implementation","(0.3977272727272727, 'convention subsidiary body implementation conference parties recalling article paragraph')","(0.44354838709677424, 'cbd distr general unep cbd cop dec xii october original english conference parties convention biological diversity')","(0.7209302325581395, 'parties convention biological diversity xii')","(0.3384615384615385, 'implementation conference parties recalling article paragraph convention elaborates measures conference parties expected undertake')","(0.39743589743589747, 'implementation consideration subsidiary body implementation first meeting line')","(0.3076923076923077, 'body implementation addresses matters referred conference parties serving meeting parties protocol decisions matters taken parties')","(0.38888888888888884, 'parties progress achievement targets')","(0.3943661971830986, 'body implementation serves protocol convention decisions protocol shall')","(0.3902439024390244, 'nagoya protocol provides subsidiary body established convention may serve protocol')","(0.4444444444444444, 'body established convention may upon')","(0.4655172413793104, 'protocol convention decisions protocol shall taken parties')","(0.31690140845070425, 'efficiency structures processes convention subsidiary body implementation conference parties recalling article paragraph convention elaborates')","(0.3548387096774194, 'implementation convention protocols also recognizing importance full effective participation parties especially developing country parties particular least')","(0.3398058252427184, 'develop recommendations strengthen mechanisms support implementation convention strategic plans adopted')","(0.3589743589743589, 'implementation consideration subsidiary body implementation first meeting line')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.38749999999999996, 'implementation convention pursuant article paragraph review relevant information')","(0.41538461538461535, 'parties protocol decisions matters taken parties protocol however')","(0.44067796610169496, 'established convention may upon decision conference parties')","(0.33333333333333337, 'implementation convention well strategic plans relevant decisions adopted conference')","(0.35106382978723405, 'convention including provision support implementation convention well strategic plans relevant')","(0.4477611940298507, 'convention protocols including areas resource mobilization guidance')","(0.3453237410071942, 'protocols also recognizing importance full effective participation parties especially developing country parties particular least developed')","(0.3285714285714286, 'information progress implementation convention including provision support implementation convention well strategic plans relevant decisions')","(0.4065934065934066, 'october original english conference parties convention biological diversity twelfth meeting')","(0.4, 'convention including provision support implementation convention well strategic plans')","(0.42727272727272725, 'convention appropriate identify develop recommendations overcome obstacles encountered implementing convention')","(0.35542168674698793, 'nagoya protocol recognizing benefits integrated approaches review support implementation convention protocols also recognizing importance full effective participation')","(0.3459119496855346, 'decisions adopted conference parties progress achievement targets established convention assist conference parties preparing decisions enhancing implementation')","(0.3841059602649006, 'enhancing implementation convention appropriate identify develop recommendations overcome obstacles encountered implementing convention strategic plans')","(0.4, 'implementation consideration subsidiary body implementation first')","(0.31999999999999995, 'respective protocols reviewing respective implementation subsidiary body implementation addresses matters referred conference')","(0.388235294117647, 'protocol provides subsidiary body established convention may upon decision conference')"
"Oct 6, 2014 Integrating biodiversity into the post2015 United Nations development agenda and the sustainable development","(0.3417721518987342, 'taking account outcomes united nations conference sustainable development final')","(0.44354838709677424, 'cbd distr general unep cbd cop dec xii october original english conference parties convention biological diversity')","(0.7209302325581395, 'parties convention biological diversity xii')","(0.3252032520325203, 'sustainable development goals support conservation sustainable use biodiversity tackle underlying drivers biodiversity loss')","(0.375, 'convention biological diversity xii integrating biodiversity post united')","(0.32592592592592595, 'development agenda provide report work consideration subsidiary body implementation first meeting conference parties thirteenth meeting')","(0.4285714285714286, 'dec xii page relevant')","(0.421875, 'united nations general assembly negotiations towards post united')","(0.36046511627906974, 'development financing united nations general assembly negotiations towards post united')","(0.42553191489361697, 'mainstream objectives convention strategic plan')","(0.3382352941176471, 'objectives convention strategic plan biodiversity aichi biodiversity')","(0.303030303030303, 'nations development agenda sustainable development goals support conservation sustainable use biodiversity tackle underlying drivers')","(0.3093525179856115, 'united nations development agenda sustainable development goals related targets indicators also continuing assist parties efforts integrate')","(0.37234042553191493, 'objectives convention strategic plan biodiversity aichi biodiversity targets associated vision')","(0.3466666666666667, 'support conservation sustainable use biodiversity tackle underlying drivers')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.4925373134328358, 'final reports open working group sustainable development goals')","(0.33333333333333337, 'nations development agenda sustainable development goals conference parties')","(0.3529411764705882, 'objectives convention strategic plan biodiversity aichi biodiversity')","(0.3417721518987342, 'united nations development agenda sustainable development goals related targets')","(0.34782608695652173, 'convention biological diversity xii integrating biodiversity post united nations development')","(0.375, 'conference parties thirteenth meeting continue collaboration key')","(0.33333333333333337, 'report work consideration subsidiary body implementation first meeting conference parties thirteenth meeting continue collaboration key')","(0.31343283582089554, 'appropriate integration biodiversity ecosystem functions services post united nations development agenda sustainable development goals')","(0.4065934065934066, 'october original english conference parties convention biological diversity twelfth meeting')","(0.3647058823529412, 'integration biodiversity ecosystem functions services post united nations development')","(0.3932584269662921, 'post united nations development agenda sustainable development goals support conservation')","(0.34693877551020413, 'development financing united nations general assembly negotiations towards post united nations development agenda provide report work consideration')","(0.33986928104575165, 'nations conference sustainable development final reports open working group sustainable development goals intergovernmental committee experts sustainable')","(0.4032258064516129, 'ecosystem functions services post united nations development agenda sustainable development goals related targets indicators')","(0.40740740740740744, 'development goals support conservation sustainable use')","(0.29508196721311475, 'sustainable development goals intergovernmental committee experts sustainable development financing united nations general')","(0.3163265306122449, 'planet welcomes integration biodiversity ecosystem aspects sustainable development goals developed')"
"Oct 7, 1980 Election of the Chairperson, ViceChairpersons and Rapporteur of the General Assembly","(0.2465753424657534, 'elected acclamation h e mr g abad grijalva ecuador')","(0.22580645161290325, 'h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka yugoslavia vice')","(0.23076923076923073, 'representatives monaco saudi arabia sri')","(0.2282608695652174, 'mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka yugoslavia')","(0.2962962962962963, 'elected acclamation h e mr g abad grijalva')","(0.2407407407407407, 'acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka')","(0.2727272727272727, 'vice chairmen m benyam')","(0.24, 'general assembly elected acclamation h e mr g')","(0.2222222222222222, 'representatives monaco saudi arabia sri lanka yugoslavia vice chairmen m')","(0.2962962962962963, 'acclamation h e mr g')","(0.24, 'elected acclamation h e mr g abad')","(0.2589285714285714, 'general assembly elected acclamation h e mr g abad grijalva ecuador chairman representatives monaco')","(0.24806201550387597, 'general assembly elected acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia')","(0.22972972972972971, 'elected acclamation h e mr g abad grijalva ecuador chairman')","(0.2666666666666667, 'elected acclamation h e mr g abad grijalva')","(0.23333333333333328, 'general assembly elected acclamation h e mr g')","(0.22388059701492535, 'elected acclamation h e mr g abad grijalva')","(0.24242424242424243, 'abad grijalva ecuador chairman representatives monaco saudi arabia')","(0.29508196721311475, 'grijalva ecuador chairman representatives monaco saudi arabia')","(0.24285714285714288, 'abad grijalva ecuador chairman representatives monaco saudi arabia sri')","(0.23684210526315785, 'abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka')","(0.25, 'representatives monaco saudi arabia sri lanka yugoslavia')","(0.23275862068965514, 'acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka')","(0.26956521739130435, 'acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri')","(0.275, 'general assembly elected acclamation h e mr g abad grijalva')","(0.22857142857142854, 'representatives monaco saudi arabia sri lanka yugoslavia vice chairmen')","(0.2666666666666667, 'elected acclamation h e mr g abad grijalva ecuador chairman')","(0.23703703703703705, 'general assembly elected acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri')","(0.24615384615384617, 'general assembly elected acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia')","(0.2376237623762376, 'acclamation h e mr g abad grijalva ecuador chairman representatives monaco saudi arabia sri')","(0.3055555555555556, 'elected acclamation h e mr g')","(0.24742268041237114, 'representatives monaco saudi arabia sri lanka yugoslavia vice chairmen m benyam bekele')","(0.23684210526315785, 'abad grijalva ecuador chairman representatives monaco saudi arabia sri lanka')"
"Oct 7, 1980 Other business","(0.3448275862068966, 'convention committee playing increasing awareness people importance preserving cultural')","(0.2797202797202797, 'communication offered congratulations states elected world heritage committee went refer essential role convention committee playing increasing')","(0.4, 'convention fruitful collaboration developed specialists')","(0.3214285714285714, 'conservation preservation cultural heritage national level within secretariat itself mr makagiansar paid tribute')","(0.38961038961038963, 'conservation preservation cultural heritage national level within secretariat')","(0.2846153846153846, 'role convention committee playing increasing awareness people importance preserving cultural natural monuments sites value mankind')","(0.31034482758620685, 'world heritage committee went')","(0.3846153846153846, 'went refer essential role convention committee playing increasing')","(0.33333333333333337, 'heritage committee went refer essential role convention committee playing increasing')","(0.39534883720930236, 'essential role convention committee playing')","(0.390625, 'essential role convention committee playing increasing awareness')","(0.31851851851851853, 'whole another important result work undertaken convention fruitful collaboration developed specialists nature conservation preservation')","(0.2857142857142857, 'important result work undertaken convention fruitful collaboration developed specialists nature conservation preservation cultural heritage national level')","(0.32692307692307687, 'work undertaken convention fruitful collaboration developed specialists nature conservation preservation')","(0.35064935064935066, 'specialists nature conservation preservation cultural heritage national level')","(0.35526315789473684, 'important result work undertaken convention fruitful collaboration developed')","(0.3846153846153846, 'work undertaken convention fruitful collaboration developed specialists nature')","(0.30000000000000004, 'cultural natural monuments sites value mankind whole another')","(0.3835616438356164, 'undertaken convention fruitful collaboration developed specialists nature')","(0.33333333333333337, 'convention committee playing increasing awareness people importance preserving cultural')","(0.367816091954023, 'conservation preservation cultural heritage national level within secretariat itself mr')","(0.41538461538461535, 'conservation preservation cultural heritage national level within')","(0.3402777777777778, 'result work undertaken convention fruitful collaboration developed specialists nature conservation preservation cultural heritage national level')","(0.3037037037037037, 'whole another important result work undertaken convention fruitful collaboration developed specialists nature conservation preservation')","(0.28712871287128716, 'collaboration developed specialists nature conservation preservation cultural heritage national level')","(0.38095238095238093, 'specialists nature conservation preservation cultural heritage national level within')","(0.39622641509433965, 'convention fruitful collaboration developed specialists nature conservation preservation cultural heritage')","(0.3395061728395061, 'convention fruitful collaboration developed specialists nature conservation preservation cultural heritage national level within secretariat itself mr makagiansar')","(0.30666666666666664, 'convention fruitful collaboration developed specialists nature conservation preservation cultural heritage national level within secretariat itself mr')","(0.3928571428571429, 'convention fruitful collaboration developed specialists nature conservation preservation cultural heritage national level within secretariat')","(0.38983050847457623, 'nature conservation preservation cultural heritage national')","(0.2692307692307693, 'conservation preservation cultural heritage national level within secretariat itself mr makagiansar paid')","(0.30107526881720426, 'general culture communication offered congratulations states elected world heritage committee')"
"Oct 6, 2014 Liability and redress in the context of paragraph 2 of Article 14 of the Convention","(0.3417721518987342, 'convention biological diversity xii liability redress context paragraph article')","(0.44354838709677424, 'cbd distr general unep cbd cop dec xii october original english conference parties convention biological diversity')","(0.7209302325581395, 'parties convention biological diversity xii')","(0.33333333333333337, 'paragraph article convention recalling report group legal technical experts liability redress context paragraph')","(0.359375, 'convention biological diversity notes progress made since eighth')","(0.31756756756756754, 'article convention biological diversity synthesis report technical information relating damage biological diversity approaches valuation restoration')","(0.3846153846153846, 'parties taking note nagoya')","(0.4285714285714286, 'report united nations conference environment development rio de')","(0.4084507042253521, 'cop add report united nations conference environment development rio de')","(0.40476190476190477, 'response action compensation damage caused')","(0.368421052631579, 'article convention recalling report group legal technical')","(0.3188405797101449, 'paragraph article convention biological diversity conclusions annexed report particular conclusions importance developing guidance related')","(0.30817610062893086, 'diversity including information new developments adoption implementation response measures damage environment general biological diversity particular including')","(0.31999999999999995, 'article convention biological diversity conclusions annexed report particular conclusions importance')","(0.3194444444444444, 'conference parties convention biological diversity xii liability redress')","(0.5526315789473684, 'environment principle referred article convention biological diversity notes')","(0.3731343283582089, 'report united nations conference environment development rio de')","(0.32894736842105265, 'lumpur supplementary protocol liability redress cartagena protocol biosafety')","(0.375, 'article convention conference parties taking note nagoya')","(0.3258426966292135, 'information new developments adoption implementation response measures damage environment')","(0.32530120481927716, 'convention biological diversity notes progress made since eighth meeting conference')","(0.3857142857142857, 'convention biological diversity synthesis report technical information')","(0.33333333333333337, 'protocol liability redress united nations environment programme s guidelines development domestic legislation liability response action')","(0.31304347826086953, 'cbd cop inf valuation biodiversity options application tools ecological valuation contained annex decision viii')","(0.45833333333333337, 'measures concerning liability redress damage biological diversity relevant provisions approaches')","(0.3855421686746988, 'inf valuation biodiversity options application tools ecological valuation contained')","(0.4019607843137255, 'developments adoption implementation response measures damage environment general biological diversity')","(0.32748538011695905, 'diversity including information new developments adoption implementation response measures damage environment general biological diversity particular including restoration')","(0.3153846153846154, 'decision viii unep cbd cop add report united nations conference environment development rio de janeiro june')","(0.36690647482014394, 'information new developments adoption implementation response measures damage environment general biological diversity particular including')","(0.37735849056603776, 'environment noting provisions approaches nagoya kuala')","(0.31304347826086953, 'article convention biological diversity synthesis report technical information relating damage biological diversity')","(0.3417721518987342, 'protocol liability redress cartagena protocol biosafety also taking note united')"
"Oct 6, 2014 Improving the efficiency of structures and processes under the Convention other matters","(0.3580246913580247, 'convention matters conference parties notes process improve operations subsidiary')","(0.44354838709677424, 'cbd distr general unep cbd cop dec xii october original english conference parties convention biological diversity')","(0.7209302325581395, 'parties convention biological diversity xii')","(0.3471074380165289, 'parties implement commitments convention protocols encourages parties integrate biosafety access benefit sharing national')","(0.38961038961038963, 'body implementation consideration prior thirteenth meeting conference parties')","(0.3211678832116789, 'parties convention biological diversity xii improving efficiency structures processes convention matters conference parties notes process')","(0.3928571428571429, 'parties make use experiences')","(0.4125, 'united nations environment programme consider strengthening involvement regional')","(0.3737373737373737, 'executive director united nations environment programme consider strengthening involvement regional')","(0.40816326530612246, 'implementation convention reduce reporting burden')","(0.4032258064516129, 'protocol convention well indigenous local communities relevant')","(0.35114503816793896, 'protocol convention well indigenous local communities relevant stakeholders share experiences lessons learned integration biosafety')","(0.33999999999999997, 'entities united nations development programme identify necessary facilities delegates including national focal points developing countries participate')","(0.32499999999999996, 'issues covered convention protocols well improvement may needed online reporting')","(0.3580246913580247, 'implement commitments convention protocols encourages parties integrate biosafety')","(0.5466666666666666, 'october original english conference parties convention biological diversity')","(0.3731343283582089, 'issues covered convention protocols well improvement may needed')","(0.3571428571428571, 'parties protocols submit report subsidiary body implementation invites')","(0.4464285714285714, 'covered convention protocols well improvement may needed')","(0.35, 'sixth national report facilitate streamlined reporting issues covered convention')","(0.3626373626373627, 'convention protocols encourages parties integrate biosafety access benefit sharing national')","(0.4516129032258065, 'convention protocols well biodiversity related conventions rio')","(0.32608695652173914, 'protocol convention well indigenous local communities relevant stakeholders share experiences lessons learned integration biosafety access')","(0.33870967741935487, 'proposals sixth national report requests executive secretary explore options including costs involved potential partnerships')","(0.4065934065934066, 'october original english conference parties convention biological diversity twelfth meeting')","(0.3580246913580247, 'convention matters conference parties notes process improve operations subsidiary')","(0.44047619047619047, 'convention protocols well improvement may needed online reporting tool consideration')","(0.35443037974683544, 'potential coherent reporting framework biodiversity related conventions improve access relevant data implementation convention reduce reporting burden parties')","(0.3533333333333334, 'potential coherent reporting framework biodiversity related conventions improve access relevant data implementation convention reduce reporting burden')","(0.359375, 'convention matters conference parties notes process improve operations subsidiary body scientific technical technological advice')","(0.4098360655737705, 'implementation consideration view enabling conference parties')","(0.3302752293577982, 'protocol convention well indigenous local communities relevant stakeholders share experiences lessons learned')","(0.3977272727272727, 'nagoya protocol convention well indigenous local communities relevant stakeholders share')"
