,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 22, 2009 Archaeological Site of Cyrene Libyan Arab Jamahiriya C 190","(0.31707317073170727, 'state conservation property implementation decision com examination world heritage')","(0.24817518248175185, 'submit world heritage centre february report state conservation property implementation decision com examination world heritage committee')","(0.36, 'recommendations map indicating boundaries property')","(0.31858407079646023, 'property implementation recommendations map indicating boundaries property n strongly urges state party implement')","(0.323943661971831, 'february report state conservation property implementation decision com')","(0.28695652173913044, 'map indicating boundaries property n strongly urges state party implement measures recommended joint world heritage')","(0.33333333333333337, 'urges state party implement')","(0.34246575342465757, 'property implementation decision com examination world heritage committee')","(0.34782608695652173, 'state conservation property implementation decision com examination world heritage committee')","(0.36363636363636365, 'submitted report state conservation property')","(0.32835820895522383, 'state conservation property implementation decision com examination')","(0.30081300813008127, 'report state conservation property implementation recommendations map indicating boundaries property n strongly urges state')","(0.30000000000000004, 'property implementation recommendations map indicating boundaries property n strongly urges state party implement measures recommended joint')","(0.3157894736842105, 'state conservation property implementation recommendations map indicating boundaries property n')","(0.33333333333333337, 'state conservation property implementation recommendations map indicating boundaries')","(0.32432432432432434, 'heritage centre february report state conservation property implementation')","(0.31506849315068497, 'state conservation property implementation decision com examination world')","(0.29824561403508776, 'n regrets state party submitted report state conservation')","(0.34782608695652173, 'report state conservation property implementation recommendations map')","(0.31707317073170727, 'state conservation property implementation decision com examination world heritage')","(0.3052631578947368, 'state conservation property implementation recommendations map indicating boundaries property n')","(0.3880597014925373, 'state conservation property implementation decision com examination')","(0.2945736434108527, 'report state conservation property implementation recommendations map indicating boundaries property n strongly urges state party')","(0.28695652173913044, 'joint world heritage centre icomos mission january earlier decisions n requests state party submit')","(0.26249999999999996, 'whc com add n recalling decision com adoped session christchurch')","(0.41463414634146345, 'state conservation property implementation decision com examination world heritage')","(0.3263157894736842, 'state conservation property implementation recommendations map indicating boundaries property n')","(0.26712328767123283, 'property implementation recommendations map indicating boundaries property n strongly urges state party implement measures recommended joint world')","(0.26865671641791045, 'n regrets state party submitted report state conservation property implementation recommendations map indicating boundaries property n')","(0.33333333333333337, 'report state conservation property implementation recommendations map indicating boundaries property n strongly urges state')","(0.4137931034482759, 'february report state conservation property implementation')","(0.30097087378640774, 'property implementation recommendations map indicating boundaries property n strongly urges state party')","(0.34065934065934067, 'property implementation recommendations map indicating boundaries property n strongly urges')"
"Jun 22, 2009 Ashur Qalat Sherqat Iraq C 1130","(0.33783783783783783, 'property n calls upon international community provide necessary assistance')","(0.295774647887324, 'excavations protective measures seepage n preparation implementation conservation management plan n protection consolidation fragile mud brick')","(0.375, 'conditions allow it invite joint')","(0.3839285714285714, 'implementation conservation management plan n protection consolidation fragile mud brick structures n reiterates')","(0.4358974358974359, 'implementation conservation management plan n protection consolidation fragile')","(0.31481481481481477, 'com adopted session quebec city n notes efforts state party set management structure site n')","(0.42307692307692313, 'state party set management')","(0.34615384615384615, 'implementation conservation management plan n protection consolidation fragile')","(0.3369565217391305, 'n preparation implementation conservation management plan n protection consolidation fragile')","(0.39534883720930236, 'desired state conservation removal property')","(0.3389830508474576, 'relocation cancellation dam project n emergency excavations')","(0.2946428571428571, 'world heritage committee session well provide detailed map boundaries property n calls upon international')","(0.30281690140845074, 'excavations protective measures seepage n preparation implementation conservation management plan n protection consolidation fragile mud brick')","(0.28378378378378377, 'party protection property n also requests state party conditions allow')","(0.3589743589743589, 'implementation conservation management plan n protection consolidation fragile')","(0.36764705882352944, 'universal value proposal desired state conservation removal property')","(0.34328358208955223, 'n emergency excavations protective measures seepage n preparation')","(0.33870967741935487, 'emergency measures protect eastern part property rising waters')","(0.43137254901960786, 'assess state conservation property n requests state')","(0.36904761904761907, 'international community provide necessary assistance state party protection property')","(0.36046511627906974, 'calls upon international community provide necessary assistance state party protection')","(0.42647058823529416, 'excavations protective measures seepage n preparation implementation')","(0.33599999999999997, 'previously identified n relocation cancellation dam project n emergency excavations protective measures seepage n preparation')","(0.3257575757575758, 'excavations protective measures seepage n preparation implementation conservation management plan n protection consolidation fragile')","(0.29885057471264365, 'relocation cancellation dam project n emergency excavations protective measures seepage')","(0.3417721518987342, 'relocation cancellation dam project n emergency excavations protective measures')","(0.35051546391752575, 'excavations protective measures seepage n preparation implementation conservation management plan')","(0.31851851851851853, 'icomos reactive monitoring mission ashur assess state conservation property n requests state party submit world heritage centre')","(0.29850746268656714, 'dam project n emergency excavations protective measures seepage n preparation implementation conservation management plan n protection')","(0.34883720930232553, 'relocation cancellation dam project n emergency excavations protective measures seepage n preparation implementation conservation')","(0.5333333333333333, 'assess state conservation property n requests')","(0.2946428571428571, 'project n emergency excavations protective measures seepage n preparation implementation conservation management')","(0.36250000000000004, 'removal property list world heritage danger examination world heritage committee')"
"Jun 22, 2009 Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh Belarus C 1196","(0.3287671232876712, 'overall state conservation property n requests state party submit')","(0.27007299270072993, 'submit world heritage centre february report state conservation property including above mentioned clarifications well technical analysis')","(0.38636363636363635, 'conservation approaches review overall state')","(0.3495145631067961, 'n intended degree conservation restoration reconstruction work adopted approach project n also requests')","(0.41428571428571426, 'n intended degree conservation restoration reconstruction work adopted')","(0.29850746268656714, 'heritage centre february report state conservation property including above mentioned clarifications well technical analysis stability')","(0.30434782608695654, 'project n also requests')","(0.34246575342465757, 'state conservation property including above mentioned clarifications well')","(0.3033707865168539, 'work progress consider conservation approaches review overall state conservation property')","(0.4054054054054054, 'overall state conservation property n')","(0.3275862068965517, 'restoration reconstruction work adopted approach project n')","(0.3125, 'report state conservation property including above mentioned clarifications well technical analysis stability structures complex')","(0.3023255813953488, 'n recalling decision com adopted session durban n regrets significant amount dismantling well intention rebuild eastern')","(0.3586956521739131, 'state conservation property including above mentioned clarifications well technical analysis')","(0.3733333333333333, 'consider conservation approaches review overall state conservation property')","(0.30434782608695654, 'heritage centre february report state conservation property including')","(0.3835616438356164, 'state conservation property including above mentioned clarifications well')","(0.2931034482758621, 'overall state conservation property n requests state party')","(0.42307692307692313, 'overall state conservation property n requests state')","(0.31818181818181823, 'conservation property n requests state party submit world heritage')","(0.32608695652173914, 'state conservation property including above mentioned clarifications well technical analysis')","(0.3939393939393939, 'consider conservation approaches review overall state conservation')","(0.3237410071942446, 'property including above mentioned clarifications well technical analysis stability structures complex examination world heritage committee')","(0.28125, 'proprietary materials technologies used conservation work n intended degree conservation restoration reconstruction work adopted')","(0.3125, 'whc com n recalling decision com adopted session durban n')","(0.3939393939393939, 'conservation property n requests state party submit world heritage')","(0.36, 'conservation property n requests state party submit world heritage centre')","(0.274074074074074, 'world heritage committee n examined document whc com n recalling decision com adopted session durban n regrets')","(0.32307692307692304, 'consider conservation approaches review overall state conservation property n requests state party submit world heritage centre')","(0.3545454545454545, 'conservation restoration reconstruction work adopted approach project n also requests state party invite joint')","(0.5, 'overall state conservation property n requests')","(0.27835051546391754, 'amount dismantling well intention rebuild eastern gallery n requests state party urgently')","(0.32183908045977017, 'n intended degree conservation restoration reconstruction work adopted approach project')"
"Jun 22, 2009 Auschwitz Birkenau German Nazi Concentration and Extermination Camp 19401945 Poland C31","(0.3111111111111111, 'conservation strategy negotiations concerning register additional areas register monuments')","(0.2847222222222222, 'n notes progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.3137254901960784, 'monuments enhance protection authenticity integrity')","(0.3577235772357723, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection')","(0.36708860759493667, 'progress made conservation strategy negotiations concerning register additional')","(0.3287671232876712, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity integrity')","(0.30434782608695654, 'property n welcomes new')","(0.32894736842105265, 'register additional areas register monuments enhance protection authenticity')","(0.3258426966292135, 'continue stakeholder local community consultations towards finalization management plan n')","(0.3589743589743589, 'finalization management plan n requests')","(0.3382352941176471, 'negotiations concerning register additional areas register monuments')","(0.3088235294117647, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.29861111111111116, 'n notes progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.3012048192771084, 'local community consultations towards finalization management plan n requests state')","(0.3924050632911392, 'progress made conservation strategy negotiations concerning register additional')","(0.30487804878048785, 'continue stakeholder local community consultations towards finalization management')","(0.30666666666666664, 'areas register monuments enhance protection authenticity integrity property')","(0.352112676056338, 'monuments enhance protection authenticity integrity property n welcomes')","(0.36764705882352944, 'progress made conservation strategy negotiations concerning register')","(0.34883720930232553, 'register additional areas register monuments enhance protection authenticity integrity')","(0.326530612244898, 'conservation strategy negotiations concerning register additional areas register monuments enhance')","(0.4193548387096774, 'monuments enhance protection authenticity integrity property n')","(0.31506849315068497, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity integrity')","(0.30147058823529416, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.32999999999999996, 'negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.367816091954023, 'negotiations concerning register additional areas register monuments enhance protection')","(0.3373493975903614, 'monuments enhance protection authenticity integrity property n welcomes new variant')","(0.28205128205128205, 'conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity integrity property n welcomes new')","(0.3092105263157895, 'conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity integrity property n welcomes')","(0.32352941176470584, 'progress made conservation strategy negotiations concerning register additional areas register monuments enhance protection authenticity')","(0.4444444444444444, 'notes progress made conservation strategy negotiations')","(0.3025210084033614, 'strategy negotiations concerning register additional areas register monuments enhance protection authenticity integrity')","(0.31707317073170727, 'protection authenticity integrity property n welcomes new variant expressway takes')"
"Jun 22, 2009 Bahla Fort Oman C 433","(0.28767123287671237, 'n also requests state party invite joint world heritage')","(0.282258064516129, 'work revised proposal agreed n also requests state party invite joint world heritage centre icomos iccrom')","(0.36, 'conservation property particular activities qasaba')","(0.31818181818181823, 'overall state conservation property particular activities qasaba area souq effects outstanding universal value')","(0.323943661971831, 'assess overall state conservation property particular activities qasaba')","(0.32456140350877194, 'requests state party submit world heritage centre february adopted management plan three printed electronic copies')","(0.40909090909090906, 'proposal agreed n also')","(0.37681159420289856, 'administrative frameworks implementation n notes state party provided')","(0.3434343434343434, 'copies detailed progress report implementation legal framework administrative structure examination')","(0.3695652173913043, 'overall state conservation property particular')","(0.296875, 'assess overall state conservation property particular activities')","(0.3157894736842105, 'printed electronic copies detailed progress report implementation legal framework administrative structure examination world heritage')","(0.3023255813953488, 'n recalling decision com adopted session quebec city n regrets state party yet finalise adopt management')","(0.32558139534883723, 'state conservation property particular activities qasaba area souq effects outstanding')","(0.31666666666666665, 'adopted session quebec city n regrets state party')","(0.28787878787878785, 'heritage centre icomos iccrom reactive monitoring mission property')","(0.29850746268656714, 'state conservation property particular activities qasaba area souq')","(0.35820895522388063, 'project proposal restoration souq concerns expressed icomos overall')","(0.34375, 'overall state conservation property particular activities qasaba')","(0.32608695652173914, 'implementation legal framework administrative structure examination world heritage committee')","(0.30612244897959184, 'progress report implementation legal framework administrative structure examination world heritage')","(0.360655737704918, 'monitoring mission property assess overall state conservation')","(0.2977099236641222, 'heritage centre icomos iccrom reactive monitoring mission property assess overall state conservation property particular activities')","(0.27826086956521734, 'n examined document whc com n recalling decision com adopted session quebec city n')","(0.3125, 'party commence work revised proposal agreed n also requests state')","(0.3157894736842105, 'restoration souq concerns expressed icomos overall approach project requests')","(0.31313131313131315, 'copies detailed progress report implementation legal framework administrative structure examination')","(0.2702702702702703, 'reactive monitoring mission property assess overall state conservation property particular activities qasaba area souq effects outstanding universal')","(0.28985507246376807, 'reactive monitoring mission property assess overall state conservation property particular activities qasaba area souq effects outstanding')","(0.30000000000000004, 'iccrom reactive monitoring mission property assess overall state conservation property particular activities qasaba area')","(0.4528301886792453, 'assess overall state conservation property particular')","(0.2680412371134021, 'city n regrets state party yet finalise adopt management plan taking account')","(0.30208333333333337, 'printed electronic copies detailed progress report implementation legal framework administrative')"
"Jun 22, 2009 Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrassy Avenue Hungary C 400 and 400 bis","(0.34246575342465757, 'zone drafting national world heritage bill n requests state')","(0.25806451612903225, 'world heritage committee n examined document whc com n recalling decision com adopted session quebec city')","(0.29729729729729726, 'zone drafting national world heritage')","(0.31304347826086953, 'management plan establishment management body reassessment buffer zone assessment relationship property buffer zone')","(0.2962962962962963, 'decision com adopted session quebec city n notes')","(0.2867647058823529, 'various strategic measures planned particular revision management plan establishment management body reassessment buffer zone assessment')","(0.3548387096774194, 'report issues above examination')","(0.32835820895522383, 'fund rehabilitation urges state party continue vigilance preventing')","(0.3373493975903614, 'permits promote fund rehabilitation urges state party continue vigilance preventing')","(0.3111111111111111, 'management plan establishment management body')","(0.3076923076923077, 'establishment management body reassessment buffer zone assessment')","(0.3035714285714286, 'recalling decision com adopted session quebec city n notes specific measures undertaken re examine')","(0.3142857142857143, 'vigilance preventing losses inappropriate development buffer zone property n welcomes various strategic measures planned particular revision')","(0.2941176470588235, 'vigilance preventing losses inappropriate development buffer zone property n welcomes')","(0.27941176470588236, 'assessment relationship property buffer zone drafting national world')","(0.28358208955223885, 'fund rehabilitation urges state party continue vigilance preventing')","(0.33783783783783783, 'vigilance preventing losses inappropriate development buffer zone property')","(0.29729729729729726, 'vigilance preventing losses inappropriate development buffer zone property')","(0.3529411764705882, 'development buffer zone property n welcomes various')","(0.3142857142857143, 'zone property n welcomes various strategic measures planned particular')","(0.31818181818181823, 'zone drafting national world heritage bill n requests state party')","(0.3508771929824561, 're examine demolition permits promote fund rehabilitation')","(0.2834645669291339, 'party continue vigilance preventing losses inappropriate development buffer zone property n welcomes various strategic measures')","(0.27826086956521734, 'n examined document whc com n recalling decision com adopted session quebec city n')","(0.275, 'whc com n recalling decision com adopted session quebec city')","(0.33766233766233766, 'assessment relationship property buffer zone drafting national world heritage')","(0.4024390243902439, 'losses inappropriate development buffer zone property n welcomes various strategic')","(0.28057553956834536, 'permits promote fund rehabilitation urges state party continue vigilance preventing losses inappropriate development buffer zone property n')","(0.30714285714285716, 'vigilance preventing losses inappropriate development buffer zone property n welcomes various strategic measures planned particular revision')","(0.33884297520661155, 'preventing losses inappropriate development buffer zone property n welcomes various strategic measures planned particular')","(0.34883720930232553, 'development buffer zone property n welcomes')","(0.25773195876288657, 'whc com n recalling decision com adopted session quebec city n notes')","(0.30000000000000004, 'particular revision management plan establishment management body reassessment buffer zone')"
"Jun 22, 2009 ChampanerPavagadh Archaeological Park India C 1101","(0.31506849315068497, 'copies n also urges state party submit world heritage')","(0.25806451612903225, 'com adopted session christchurch n regrets state party yet finalise adopt management plan developed full involvement')","(0.4, 'conservation property n urges state')","(0.2978723404255319, 'value ensure integrated conservation property n urges state party submit world heritage centre')","(0.3728813559322034, 'integrated conservation property n urges state party submit')","(0.32432432432432434, 'urges state party submit world heritage centre february adopted management plan three printed electronic copies')","(0.3448275862068966, 'yet finalise adopt management')","(0.3013698630136986, 'progress report implementation management plan examination world heritage')","(0.31868131868131866, 'february detailed progress report implementation management plan examination world heritage')","(0.42500000000000004, 'integrated conservation property n urges')","(0.32692307692307687, 'integrated conservation property n urges state party')","(0.2767857142857143, 'world heritage committee n examined document whc com add n recalling decision com adopted')","(0.28682170542635654, 'examined document whc com add n recalling decision com adopted session christchurch n regrets state party')","(0.2717391304347826, 'heritage centre february detailed progress report implementation management plan examination')","(0.33333333333333337, 'com adopted session christchurch n regrets state party')","(0.2833333333333333, 'value ensure integrated conservation property n urges state')","(0.28358208955223885, 'n regrets state party yet finalise adopt management')","(0.28358208955223885, 'authority built around statement outstanding universal value ensure')","(0.4423076923076923, 'integrated conservation property n urges state party')","(0.29508196721311475, 'property n urges state party submit world heritage centre')","(0.2790697674418605, 'around statement outstanding universal value ensure integrated conservation property n')","(0.3877551020408163, 'conservation property n urges state party submit')","(0.27586206896551724, 'world heritage committee n examined document whc com add n recalling decision com adopted session')","(0.26086956521739135, 'n examined document whc com add n recalling decision com adopted session christchurch n')","(0.26249999999999996, 'whc com add n recalling decision com adopted session christchurch')","(0.359375, 'copies n also urges state party submit world heritage')","(0.29761904761904767, 'yet finalise adopt management plan developed full involvement established management')","(0.2962962962962963, 'around statement outstanding universal value ensure integrated conservation property n urges state party submit world heritage centre')","(0.2846153846153846, 'property n urges state party submit world heritage centre february adopted management plan three printed electronic')","(0.2815533980582524, 'conservation property n urges state party submit world heritage centre february adopted management plan')","(0.5106382978723405, 'ensure integrated conservation property n urges')","(0.25773195876288657, 'printed electronic copies n also urges state party submit world heritage centre')","(0.2637362637362637, 'authority built around statement outstanding universal value ensure integrated conservation')"
"Jun 22, 2009 Butrint Albania C 570 bis","(0.28767123287671237, 'conservation plans putting place adequate resources n expresses concern')","(0.26415094339622647, 'particular parallel finalisation management plan establishment planning system controlling development around property acknowledges outstanding universal value')","(0.34090909090909094, 'recommendations world heritage centre icomos')","(0.3653846153846154, 'management conservation plans putting place adequate resources n expresses concern adequate measures yet')","(0.3246753246753247, 'progress made concerning issues implementation recommendations world heritage')","(0.32835820895522383, 'adopted session christchurch n acknowledge considerable progress made development management conservation plans putting place adequate')","(0.33333333333333337, 'state party fully implement')","(0.3188405797101449, 'progress made development management conservation plans putting place')","(0.2947368421052632, 'state party fully implement mission recommendations particular parallel finalisation management')","(0.34883720930232553, 'management conservation plans putting place')","(0.2941176470588235, 'planning system controlling development around property acknowledges')","(0.28205128205128205, 'progress made development management conservation plans putting place adequate resources n expresses concern adequate')","(0.2790697674418605, 'n expresses concern adequate measures yet taken control illegal construction ksamili village n urges state party')","(0.2941176470588235, 'mission recommendations particular parallel finalisation management plan establishment planning system')","(0.3783783783783784, 'development management conservation plans putting place adequate resources')","(0.3076923076923077, 'particular parallel finalisation management plan establishment planning system')","(0.3421052631578947, 'christchurch n acknowledge considerable progress made development management')","(0.2857142857142857, 'conservation plans putting place adequate resources n expresses')","(0.34375, 'development management conservation plans putting place adequate')","(0.4084507042253521, 'conservation plans putting place adequate resources n expresses concern')","(0.32499999999999996, 'conservation plans putting place adequate resources n expresses concern adequate')","(0.36363636363636365, 'implementation recommendations world heritage centre icomos iccrom')","(0.28104575163398693, 'particular parallel finalisation management plan establishment planning system controlling development around property acknowledges outstanding universal')","(0.29370629370629375, 'particular parallel finalisation management plan establishment planning system controlling development around property acknowledges outstanding')","(0.34065934065934067, 'progress made concerning issues implementation recommendations world heritage centre icomos')","(0.36904761904761907, 'progress made concerning issues implementation recommendations world heritage centre')","(0.36170212765957444, 'acknowledge considerable progress made development management conservation plans putting place')","(0.3291925465838509, 'particular parallel finalisation management plan establishment planning system controlling development around property acknowledges outstanding universal value n')","(0.30817610062893086, 'particular parallel finalisation management plan establishment planning system controlling development around property acknowledges outstanding universal value')","(0.36752136752136755, 'n acknowledge considerable progress made development management conservation plans putting place adequate resources n')","(0.5, 'management conservation plans putting place adequate')","(0.27118644067796616, 'particular parallel finalisation management plan establishment planning system controlling development around property')","(0.36363636363636365, 'progress made development management conservation plans putting place adequate resources')"
"Jun 22, 2009 Bagrati Cathedral and Gelati Monastery Georgia C 710","(0.3589743589743589, 'order initiate international donors conference designed address major problems')","(0.2706766917293233, 'clearly indicating buffer zones n requests state party provide detailed complete information concerning monitoring state conservation')","(0.32692307692307687, 'reconstruction project bagrati cathedral examination')","(0.3232323232323232, 'state conservation property well reconstruction project progress report works carried out n invites')","(0.37662337662337664, 'concerning monitoring state conservation property well reconstruction project')","(0.30000000000000004, 'urgently prepare approve submit world heritage centre advisory bodies management plan bagrati cathedral gelati monastery')","(0.368421052631579, 'works carried out n')","(0.34615384615384615, 'detailed documentation concerning new reconstruction project bagrati cathedral')","(0.3111111111111111, 'state party provide detailed complete information concerning monitoring state conservation')","(0.39534883720930236, 'monitoring state conservation property well')","(0.328125, 'state conservation property well reconstruction project progress')","(0.2936507936507936, 'prepare relevant documentation order initiate international donors conference designed address major problems identified world')","(0.31333333333333335, 'progress report including complete detailed documentation concerning new reconstruction project bagrati cathedral examination world heritage committee')","(0.3125, 'detailed documentation concerning new reconstruction project bagrati cathedral examination world')","(0.33333333333333337, 'relevant documentation order initiate international donors conference designed')","(0.2857142857142857, 'reconstruction project bagrati cathedral examination world heritage committee')","(0.2948717948717948, 'relevant documentation order initiate international donors conference designed')","(0.31506849315068497, 'centre february progress report including complete detailed documentation')","(0.375, 'state conservation property well reconstruction project progress')","(0.36250000000000004, 'international donors conference designed address major problems identified world')","(0.3595505617977528, 'order initiate international donors conference designed address major problems identified')","(0.3880597014925373, 'reconstruction project bagrati cathedral examination world heritage')","(0.3017241379310345, 'n examined document whc com n recalling decision com adopted session quebec city n reiterates')","(0.29007633587786263, 'progress report including complete detailed documentation concerning new reconstruction project bagrati cathedral examination world')","(0.3125, 'n recalling decision com adopted session quebec city n reiterates')","(0.4512195121951219, 'concerning new reconstruction project bagrati cathedral examination world heritage')","(0.3058823529411765, 'state conservation property well reconstruction project progress report works carried')","(0.31543624161073824, 'provide detailed complete information concerning monitoring state conservation property well reconstruction project progress report works carried out')","(0.2866666666666666, 'progress report including complete detailed documentation concerning new reconstruction project bagrati cathedral examination world heritage committee')","(0.3252032520325203, 'information concerning monitoring state conservation property well reconstruction project progress report works carried out')","(0.40740740740740744, 'concerning monitoring state conservation property well')","(0.2844036697247706, 'prepare relevant documentation order initiate international donors conference designed address major problems')","(0.2934782608695652, 'concerning new reconstruction project bagrati cathedral examination world heritage committee')"
"Jun 22, 2009 Bam and its Cultural Landscape Islamic Republic of Iran C 1208","(0.4358974358974359, 'conservation thanks international community support n recognizes efforts state')","(0.25806451612903225, 'world heritage committee n examined document whc com n recalling decision com adopted session quebec city')","(0.34693877551020413, 'state conservation thanks international community')","(0.33944954128440363, 'desired state conservation thanks international community support n recognizes efforts state party continuing')","(0.375, 'conservation thanks international community support n recognizes efforts')","(0.28682170542635654, 'nomination file based property boundaries approved decision com report progress made implementing corrective measures examination')","(0.4, 'plan n also requests')","(0.3484848484848485, 'recognizes efforts state party continuing work corrective measures')","(0.3222222222222222, 'report progress made implementing corrective measures examination world heritage committee')","(0.32608695652173914, 'progress made implementing corrective measures')","(0.3220338983050848, 'state conservation thanks international community support n')","(0.29565217391304344, 'city n warmly congratulates state party commitment efforts reaching desired state conservation thanks international')","(0.29104477611940294, 'desired state conservation thanks international community support n recognizes efforts state party continuing work corrective measures')","(0.2790697674418605, 'desired state conservation thanks international community support n recognizes efforts')","(0.3731343283582089, 'desired state conservation thanks international community support n')","(0.31666666666666665, 'centre february up dated nomination file based property')","(0.31343283582089554, 'danger session n decides retain bam cultural landscape')","(0.296875, 'international community support n recognizes efforts state party')","(0.36923076923076925, 'desired state conservation thanks international community support')","(0.4, 'international community support n recognizes efforts state party continuing')","(0.38095238095238093, 'conservation thanks international community support n recognizes efforts state party')","(0.34375, 'continuing work corrective measures adopted session christchurch')","(0.26724137931034486, 'whc com n recalling decision com adopted session quebec city n warmly congratulates state party')","(0.27826086956521734, 'n examined document whc com n recalling decision com adopted session quebec city n')","(0.275, 'whc com n recalling decision com adopted session quebec city')","(0.35, 'report progress made implementing corrective measures examination world heritage')","(0.28, 'committee n examined document whc com n recalling decision com')","(0.2681159420289855, 'up dated nomination file based property boundaries approved decision com report progress made implementing corrective measures examination')","(0.25384615384615383, 'n recalling decision com adopted session quebec city n warmly congratulates state party commitment efforts reaching')","(0.3097345132743363, 'corrective measures examination world heritage committee view removal property list world heritage danger session')","(0.3928571428571429, 'reaching desired state conservation thanks international')","(0.27835051546391754, 'status legal adoption comprehensive management plan n also requests state party submit')","(0.31506849315068497, 'adoption comprehensive management plan n also requests state party submit')"
