,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Nov 27, 2000 The Historic Centre of Shakhrisyabz Uzbekistan","(0.273972602739726, 'centre shakhrisyabz n id n deg n state party')","(0.27419354838709675, 'n id n deg n state party uzbekistan n criteria c iii iv n committee decided')","(0.32258064516129037, 'criteria iii iv n criterion')","(0.27884615384615385, 'period great cultural political significance medieval central asia n criterion iv buildings shakhrisyabz')","(0.2727272727272727, 'criterion iii shakhrisyabz contains many fine monuments particular')","(0.25, 'property historic centre shakhrisyabz n id n deg n state party uzbekistan n criteria c')","(0.3214285714285714, 'contains many fine monuments')","(0.28358208955223885, 'outstanding examples style profound influence architecture region n')","(0.2777777777777778, 'monuments particular timurid period great cultural political significance medieval central')","(0.3076923076923077, 'contains many fine monuments particular')","(0.28, 'shakhrisyabz n id n deg n state')","(0.3035714285714286, 'iii iv n committee decided inscribed property world heritage list basis criteria iii iv')","(0.28682170542635654, 'n criteria c iii iv n committee decided inscribed property world heritage list basis criteria iii')","(0.24691358024691357, 'criterion iii shakhrisyabz contains many fine monuments particular timurid period')","(0.2833333333333333, 'n deg n state party uzbekistan n criteria')","(0.273972602739726, 'monuments particular timurid period great cultural political significance')","(0.31343283582089554, 'great cultural political significance medieval central asia n')","(0.3114754098360656, 'great cultural political significance medieval central asia n')","(0.32608695652173914, 'medieval central asia n criterion iv buildings')","(0.273972602739726, 'shakhrisyabz contains many fine monuments particular timurid period great')","(0.2682926829268293, 'political significance medieval central asia n criterion iv buildings shakhrisyabz')","(0.35, 'monuments particular timurid period great cultural political')","(0.27586206896551724, 'property historic centre shakhrisyabz n id n deg n state party uzbekistan n criteria c')","(0.25217391304347825, 'property historic centre shakhrisyabz n id n deg n state party uzbekistan n criteria')","(0.2777777777777778, 'monuments particular timurid period great cultural political significance medieval central')","(0.3414634146341463, 'monuments particular timurid period great cultural political significance medieval')","(0.308641975308642, 'criterion iii shakhrisyabz contains many fine monuments particular timurid period')","(0.274074074074074, 'n state party uzbekistan n criteria c iii iv n committee decided inscribed property world heritage list')","(0.27692307692307694, 'n criteria c iii iv n committee decided inscribed property world heritage list basis criteria iii')","(0.34545454545454546, 'monuments particular timurid period great cultural political significance medieval central asia n criterion iv')","(0.28260869565217395, 'fine monuments particular timurid period great')","(0.28865979381443296, 'iii iv n criterion iii shakhrisyabz contains many fine monuments particular timurid')","(0.31707317073170727, 'political significance medieval central asia n criterion iv buildings shakhrisyabz')"
"Nov 27, 2000 The Historical Centre of the City of Arequipa Peru","(0.273972602739726, 'id n deg n state party peru n criteria')","(0.2661290322580645, 'property historical centre city arequipa n id n deg n state party peru n criteria c')","(0.33333333333333337, 'expression entire region n criterion')","(0.30508474576271183, 'masterpiece creative integration european native characteristics crucial cultural expression entire region n criterion')","(0.2962962962962963, 'deg n state party peru n criteria c')","(0.27007299270072993, 'criterion iv historic centre arequipa outstanding example colonial settlement challenged natural conditions indigenous influences process')","(0.2857142857142857, 'party peru n criteria')","(0.33333333333333337, 'criteria iv n criterion ornamented architecture historic centre')","(0.29292929292929293, 'settlement challenged natural conditions indigenous influences process conquest evangelization well')","(0.2962962962962963, 'n state party peru n')","(0.29166666666666663, 'natural conditions indigenous influences process conquest evangelization')","(0.2857142857142857, 'n state party peru n criteria c iv n committee decided inscribe site world')","(0.28846153846153844, 'arequipa outstanding example colonial settlement challenged natural conditions indigenous influences process conquest evangelization well spectacular nature')","(0.28125, 'example colonial settlement challenged natural conditions indigenous influences process conquest')","(0.33333333333333337, 'arequipa represents masterpiece creative integration european native characteristics')","(0.2857142857142857, 'arequipa represents masterpiece creative integration european native characteristics')","(0.2987012987012987, 'indigenous influences process conquest evangelization well spectacular nature')","(0.2857142857142857, 'criteria iv n criterion ornamented architecture historic centre')","(0.3555555555555555, 'list basis criteria iv n criterion ornamented')","(0.3176470588235294, 'integration european native characteristics crucial cultural expression entire region')","(0.30208333333333337, 'natural conditions indigenous influences process conquest evangelization well spectacular nature')","(0.326530612244898, 'region n criterion iv historic centre arequipa')","(0.2931034482758621, 'property historical centre city arequipa n id n deg n state party peru n criteria')","(0.2907801418439716, 'ornamented architecture historic centre arequipa represents masterpiece creative integration european native characteristics crucial cultural')","(0.2875, 'property historical centre city arequipa n id n deg n')","(0.3411764705882353, 'integration european native characteristics crucial cultural expression entire region')","(0.3168316831683168, 'ornamented architecture historic centre arequipa represents masterpiece creative integration european')","(0.30487804878048785, 'n criterion ornamented architecture historic centre arequipa represents masterpiece creative integration european native characteristics crucial cultural expression')","(0.29166666666666663, 'historic centre arequipa represents masterpiece creative integration european native characteristics crucial cultural expression entire region n')","(0.33834586466165417, 'centre arequipa represents masterpiece creative integration european native characteristics crucial cultural expression entire region')","(0.44067796610169496, 'represents masterpiece creative integration european native')","(0.2680412371134021, 'property historical centre city arequipa n id n deg n state party')","(0.29333333333333333, 'region n criterion iv historic centre arequipa outstanding example colonial')"
"Nov 27, 2000 The Historic Town of St George and Related Fortifications, Bermuda United Kingdom","(0.28767123287671237, 'fortifications bermuda n id n deg n state party')","(0.2967741935483871, 'evaluated properties according procedures set operational guidelines recommended criteria deriving evaluations committee decided inscribe property cultural')","(0.36585365853658536, 're nomination property cultural criterion')","(0.29807692307692313, 'committee discussed application cultural criterion vi site n delegate thailand noted criterion requested')","(0.35185185185185186, 'century oldest english town new world n icomos')","(0.2685185185185185, 'st george related fortifications bermuda n id n deg n state party united kingdom n')","(0.3142857142857143, 'properties according procedures set')","(0.34545454545454546, 're nomination property cultural criterion vi later date')","(0.3384615384615385, 'n state party united kingdom n criteria c iv n')","(0.34883720930232553, 'possibility re nomination property cultural')","(0.33999999999999997, 'iv n criterion iv historic town st')","(0.3303571428571429, 'criteria c iv n committee decided inscribe site world heritage list basis criterion iv')","(0.32061068702290074, 'fortifications committee discussed application cultural criterion vi site n delegate thailand noted criterion requested state party')","(0.2702702702702703, 'new world n icomos recommended property inscribed basis criteria iv')","(0.2911392405063291, 'part serial nomination caribbean fortifications committee discussed application')","(0.30000000000000004, 'criterion iv n criterion iv historic town st')","(0.34328358208955223, 're nomination property cultural criterion vi later date')","(0.34615384615384615, 'cultural criterion vi site n delegate thailand noted')","(0.36, 're nomination property cultural criterion vi later')","(0.3295454545454546, 'part serial nomination caribbean fortifications committee discussed application cultural')","(0.31313131313131315, 'according procedures set operational guidelines recommended criteria deriving evaluations committee')","(0.3783783783783784, 'serial nomination caribbean fortifications committee discussed application')","(0.303448275862069, 'operational guidelines recommended criteria deriving evaluations committee decided inscribe property cultural criterion iv indicating possibility')","(0.28358208955223885, 'according procedures set operational guidelines recommended criteria deriving evaluations committee decided inscribe property cultural')","(0.30000000000000004, 'criterion iv n criterion iv historic town st george related')","(0.3835616438356164, 'indicating possibility re nomination property cultural criterion vi later')","(0.30666666666666664, 'inscribe site world heritage list basis criterion iv n criterion')","(0.30434782608695654, 'icomos responded advisory bodies evaluated properties according procedures set operational guidelines recommended criteria deriving evaluations committee decided')","(0.2846153846153846, 'n icomos recommended property inscribed basis criteria iv vi n delegate mexico expressed surprise seeing property')","(0.3114754098360656, 'committee decided inscribe property cultural criterion iv indicating possibility re nomination property cultural criterion')","(0.33333333333333337, 'george related fortifications bermuda n id')","(0.28865979381443296, 'cultural criterion vi site n delegate thailand noted criterion requested state party')","(0.3157894736842105, 'set operational guidelines recommended criteria deriving evaluations committee decided inscribe')"
"Nov 27, 2000 The Holy Trinity Column in Olomouc Czech Republic","(0.2911392405063291, 'column constituted unique material demonstration religious faith central europe')","(0.282258064516129, 'olomouc n id n deg rev n state party czech republic n criteria c iv n')","(0.34375, 'n criterion olomouc holy trinity')","(0.2831858407079646, 'represents outstanding expression n delegate greece expressed reservations regarding application criterion site n')","(0.33333333333333337, 'column constituted unique material demonstration religious faith central')","(0.2992125984251969, 'demonstration religious faith central europe baroque period olomouc example represents outstanding expression n delegate greece')","(0.33333333333333337, 'period olomouc example represents')","(0.3194444444444444, 'column constituted unique material demonstration religious faith central')","(0.3411764705882353, 'holy trinity column constituted unique material demonstration religious faith central')","(0.33333333333333337, 'unique material demonstration religious faith')","(0.30000000000000004, 'artistic expression n criterion iv holy trinity')","(0.3125, 'n criteria c iv n committee decided inscribe property world heritage list basis criteria')","(0.33333333333333337, 'criteria iv n criterion olomouc holy trinity column one exceptional examples apogee central european baroque artistic')","(0.2705882352941177, 'holy trinity column constituted unique material demonstration religious faith central')","(0.3088235294117647, 'greece expressed reservations regarding application criterion site n')","(0.30000000000000004, 'baroque artistic expression n criterion iv holy trinity')","(0.28358208955223885, 'trinity column one exceptional examples apogee central european')","(0.31343283582089554, 'period olomouc example represents outstanding expression n delegate')","(0.3191489361702128, 'artistic expression n criterion iv holy trinity')","(0.3157894736842105, 'one exceptional examples apogee central european baroque artistic expression')","(0.2875, 'trinity column one exceptional examples apogee central european baroque artistic')","(0.339622641509434, 'criterion olomouc holy trinity column one exceptional')","(0.31343283582089554, 'period olomouc example represents outstanding expression n delegate greece expressed reservations regarding application criterion site')","(0.26956521739130435, 'basis criteria iv n criterion olomouc holy trinity column one exceptional examples apogee central')","(0.2875, 'deg rev n state party czech republic n criteria c')","(0.3285714285714286, 'committee decided inscribe property world heritage list basis criteria')","(0.3157894736842105, 'outstanding expression n delegate greece expressed reservations regarding application criterion')","(0.28148148148148144, 'property holy trinity column olomouc n id n deg rev n state party czech republic n criteria')","(0.29230769230769227, 'criteria c iv n committee decided inscribe property world heritage list basis criteria iv n criterion')","(0.32456140350877194, 'baroque artistic expression n criterion iv holy trinity column constituted unique material demonstration religious')","(0.36734693877551017, 'examples apogee central european baroque artistic')","(0.27835051546391754, 'baroque artistic expression n criterion iv holy trinity column constituted unique material')","(0.31818181818181823, 'property holy trinity column olomouc n id n deg rev')"
"Nov 27, 2000 The Kyongju Historic Areas Republic of Korea","(0.29761904761904767, 'contain number sites monuments exceptional significance development buddhist secular')","(0.2661290322580645, 'ii iii n committee decided inscribe property world heritage list basis criteria ii iii n criterion')","(0.3589743589743589, 'monuments around kyongju including holy')","(0.31707317073170727, 'areas n id n deg n state party republic korea n criteria c')","(0.35185185185185186, 'korea n criterion iii korean peninsula ruled nearly')","(0.2622950819672131, 'n criterion ii kyongju historic areas contain number sites monuments exceptional significance development buddhist secular')","(0.3793103448275862, 'party agreeing remove railway')","(0.31343283582089554, 'bear outstanding testimony cultural achievements n delegate morocco')","(0.2962962962962963, 'ii kyongju historic areas contain number sites monuments exceptional significance')","(0.33333333333333337, 'namsan bear outstanding testimony cultural')","(0.3157894736842105, 'historic areas contain number sites monuments exceptional')","(0.2946428571428571, 'state party republic korea n criteria c ii iii n committee decided inscribe property')","(0.33333333333333337, 'korea n criteria c ii iii n committee decided inscribe property world heritage list basis criteria')","(0.28888888888888886, 'sites monuments exceptional significance development buddhist secular architecture korea n')","(0.31666666666666665, 'ii iii n criterion ii kyongju historic areas')","(0.33333333333333337, 'heritage list basis criteria ii iii n criterion')","(0.381578947368421, 'contain number sites monuments exceptional significance development buddhist')","(0.303030303030303, 'testimony cultural achievements n delegate morocco commended state')","(0.3214285714285714, 'cultural achievements n delegate morocco commended state')","(0.3278688524590164, 'n deg n state party republic korea n criteria')","(0.28888888888888886, 'sites monuments exceptional significance development buddhist secular architecture korea n')","(0.34693877551020413, 'korea n criterion iii korean peninsula ruled')","(0.2844827586206896, 'property kyongju historic areas n id n deg n state party republic korea n criteria')","(0.26956521739130435, 'inscribe property world heritage list basis criteria ii iii n criterion ii kyongju historic')","(0.3125, 'property world heritage list basis criteria ii iii n criterion')","(0.328125, 'ii iii n committee decided inscribe property world heritage')","(0.36363636363636365, 'exceptional significance development buddhist secular architecture korea n criterion iii')","(0.3049645390070922, 'ii kyongju historic areas contain number sites monuments exceptional significance development buddhist secular architecture korea n criterion')","(0.30000000000000004, 'korea n criteria c ii iii n committee decided inscribe property world heritage list basis criteria')","(0.31404958677685946, 'monuments exceptional significance development buddhist secular architecture korea n criterion iii korean peninsula ruled')","(0.34042553191489366, 'achievements n delegate morocco commended state')","(0.27835051546391754, 'c ii iii n committee decided inscribe property world heritage list basis')","(0.3076923076923077, 'historic areas contain number sites monuments exceptional significance development buddhist')"
"Nov 27, 2000 The Monasteries of Haghpat and Sanahin Armenia","(0.28767123287671237, 'n deg bis n state party armenia n criteria')","(0.25806451612903225, 'property monasteries haghpat sanahin n id n deg bis n state party armenia n criteria c')","(0.2894736842105263, 'approve extension inscribed property n')","(0.2804878048780488, 'property monasteries haghpat sanahin n id n deg bis n state party armenia')","(0.2962962962962963, 'property monasteries haghpat sanahin n id n deg')","(0.2777777777777778, 'sanahin n id n deg bis n state party armenia n criteria c ii iv')","(0.33333333333333337, 'party armenia n criteria')","(0.30000000000000004, 'bis n state party armenia n criteria c')","(0.29230769230769227, 'state party armenia n criteria c ii iv n committee')","(0.2727272727272727, 'decided approve extension inscribed property')","(0.28, 'armenia n criteria c ii iv n')","(0.2857142857142857, 'sanahin n id n deg bis n state party armenia n criteria c ii')","(0.2790697674418605, 'armenia n criteria c ii iv n committee decided approve extension inscribed property n nbsp n')","(0.2432432432432432, 'n deg bis n state party armenia n criteria c')","(0.2833333333333333, 'armenia n criteria c ii iv n committee')","(0.2833333333333333, 'state party armenia n criteria c ii iv')","(0.29850746268656714, 'decided approve extension inscribed property n nbsp n')","(0.29166666666666663, 'n deg bis n state party armenia n')","(0.30000000000000004, 'iv n committee decided approve extension inscribed')","(0.2622950819672131, 'n deg bis n state party armenia n criteria')","(0.2727272727272727, 'armenia n criteria c ii iv n committee decided approve')","(0.2857142857142857, 'party armenia n criteria c ii iv')","(0.2931034482758621, 'property monasteries haghpat sanahin n id n deg bis n state party armenia n criteria')","(0.25217391304347825, 'property monasteries haghpat sanahin n id n deg bis n state party armenia n')","(0.275, 'criteria c ii iv n committee decided approve extension inscribed')","(0.28125, 'armenia n criteria c ii iv n committee decided')","(0.29333333333333333, 'armenia n criteria c ii iv n committee decided approve')","(0.274074074074074, 'property monasteries haghpat sanahin n id n deg bis n state party armenia n criteria c ii')","(0.27692307692307694, 'property monasteries haghpat sanahin n id n deg bis n state party armenia n criteria c')","(0.29702970297029707, 'sanahin n id n deg bis n state party armenia n criteria c ii')","(0.32558139534883723, 'approve extension inscribed property n nbsp')","(0.27835051546391754, 'property monasteries haghpat sanahin n id n deg bis n state party')","(0.28787878787878785, 'property monasteries haghpat sanahin n id n deg bis n')"
"Nov 27, 2000 The Kochang, Hwasun, and Kanghwa Dolmen Sites Republic of Korea","(0.2948717948717948, 'supporting nomination delegate australia commended impeccable state site hoped')","(0.282258064516129, 'kanghwa dolmen sites n id n deg n state party republic korea n criteria c iii')","(0.3076923076923077, 'prehistoric technological social phenomenon resulted')","(0.30487804878048785, 'n deg n state party republic korea n criteria c iii n committee')","(0.28125, 'ritual monuments constructed large stones the megalithic culture')","(0.2595419847328244, 'technological social phenomenon resulted appearance millennia bce funerary ritual monuments constructed large stones the megalithic')","(0.2962962962962963, 'hwasun kanghwa dolmen sites')","(0.31999999999999995, 'sites n id n deg n state party')","(0.29268292682926833, 'kangwha n supporting nomination delegate australia commended impeccable state site')","(0.32558139534883723, 'funerary ritual monuments constructed large')","(0.3013698630136986, 'prehistoric technological social phenomenon resulted appearance millennia')","(0.3125, 'c iii n committee decided inscribe property world heritage list basis criterion iii n')","(0.3023255813953488, 'state party republic korea n criteria c iii n committee decided inscribe property world heritage list')","(0.26249999999999996, 'ritual monuments constructed large stones the megalithic culture nowhere vividly')","(0.29166666666666663, 'supporting nomination delegate australia commended impeccable state site')","(0.31666666666666665, 'heritage list basis criterion iii n criterion iii')","(0.26865671641791045, 'property koch ang hwasun kanghwa dolmen sites n')","(0.2786885245901639, 'nowhere vividly illustrated dolmen cemeteries koch ang hwasun')","(0.3214285714285714, 'ritual monuments constructed large stones the megalithic')","(0.3114754098360656, 'deg n state party republic korea n criteria c')","(0.3012048192771084, 'supporting nomination delegate australia commended impeccable state site hoped time')","(0.3207547169811321, 'inscribe property world heritage list basis criterion')","(0.31034482758620685, 'property koch ang hwasun kanghwa dolmen sites n id n deg n state party republic')","(0.2777777777777778, 'iii global prehistoric technological social phenomenon resulted appearance millennia bce funerary ritual monuments constructed')","(0.30000000000000004, 'id n deg n state party republic korea n criteria')","(0.34375, 'c iii n committee decided inscribe property world heritage')","(0.31999999999999995, 'c iii n committee decided inscribe property world heritage list')","(0.32592592592592595, 'property koch ang hwasun kanghwa dolmen sites n id n deg n state party republic korea n')","(0.30000000000000004, 'n criteria c iii n committee decided inscribe property world heritage list basis criterion iii n')","(0.28712871287128716, 'c iii n committee decided inscribe property world heritage list basis criterion iii n')","(0.33333333333333337, 'ritual monuments constructed large stones the')","(0.25773195876288657, 'property koch ang hwasun kanghwa dolmen sites n id n deg n')","(0.29670329670329665, 'technological social phenomenon resulted appearance millennia bce funerary ritual monuments')"
"Nov 27, 2000 The Mir Castle Complex Belarus","(0.3013698630136986, 'region n criterion iv region mir castle stands long')","(0.2661290322580645, 'n id n deg n state party belarus n criteria c ii iv n committee decided')","(0.34285714285714286, 'criterion ii mir castle exceptional')","(0.2815533980582524, 'criterion ii mir castle exceptional example central european castle reflecting design layout successive')","(0.33333333333333337, 'criterion iv region mir castle stands long history')","(0.2592592592592593, 'property mir castle complex n id n deg n state party belarus n criteria c')","(0.33333333333333337, 'harmoniously create impressive monument')","(0.33999999999999997, 'criteria ii iv n criterion ii mir castle')","(0.3076923076923077, 'list basis criteria ii iv n criterion ii mir castle')","(0.368421052631579, 'mir castle exceptional example central')","(0.323943661971831, 'political cultural confrontation coalescence graphically reflected form')","(0.3035714285714286, 'ii iv n committee decided inscribe property world heritage list basis criteria ii iv')","(0.28682170542635654, 'n criteria c ii iv n committee decided inscribe property world heritage list basis criteria ii')","(0.2727272727272727, 'exceptional example central european castle reflecting design layout successive cultural')","(0.3666666666666667, 'region n criterion iv region mir castle stands')","(0.30000000000000004, 'monument history region n criterion iv region mir')","(0.31343283582089554, 'region n criterion iv region mir castle stands')","(0.3382352941176471, 'exceptional example central european castle reflecting design layout')","(0.32499999999999996, 'criteria ii iv n criterion ii mir')","(0.2911392405063291, 'exceptional example central european castle reflecting design layout successive')","(0.30379746835443033, 'mir castle exceptional example central european castle reflecting design layout')","(0.3877551020408163, 'criterion iv region mir castle stands long')","(0.2844827586206896, 'property mir castle complex n id n deg n state party belarus n criteria c')","(0.29565217391304344, 'ii iv n criterion ii mir castle exceptional example central european castle reflecting design')","(0.2875, 'world heritage list basis criteria ii iv n criterion ii')","(0.3285714285714286, 'committee decided inscribe property world heritage list basis criteria')","(0.31999999999999995, 'create impressive monument history region n criterion iv region mir')","(0.28148148148148144, 'n state party belarus n criteria c ii iv n committee decided inscribe property world heritage list')","(0.2846153846153846, 'n state party belarus n criteria c ii iv n committee decided inscribe property world heritage')","(0.306930693069307, 'list basis criteria ii iv n criterion ii mir castle exceptional example central european')","(0.4, 'castle exceptional example central european castle')","(0.2989690721649485, 'region n criterion iv region mir castle stands long history political cultural')","(0.303030303030303, 'property mir castle complex n id n deg n state')"
"Nov 27, 2000 The Old City of Mostar Bosnia and Herzegovina","(0.3013698630136986, 'committee decided defer inscription property order allow state party')","(0.25806451612903225, 'property old city mostar n id n deg n state party bosnia herzegovina n criteria c')","(0.29032258064516125, 'criteria c iv vi n')","(0.2773109243697479, 'provide information protection site furthermore committee requested secretariat report issue forthcoming session bureau')","(0.2777777777777778, 'property old city mostar n id n deg')","(0.25384615384615383, 'allow state party provide information protection site furthermore committee requested secretariat report issue forthcoming session')","(0.3076923076923077, 'party bosnia herzegovina n')","(0.3076923076923077, 'information protection site furthermore committee requested secretariat report')","(0.3152173913043478, 'party provide information protection site furthermore committee requested secretariat report')","(0.3191489361702128, 'provide information protection site furthermore')","(0.30000000000000004, 'herzegovina n criteria c iv vi n')","(0.2767857142857143, 'herzegovina n criteria c iv vi n icomos recommended property inscribed criteria iv vi')","(0.2790697674418605, 'n state party bosnia herzegovina n criteria c iv vi n icomos recommended property inscribed criteria')","(0.2702702702702703, 'criteria c iv vi n icomos recommended property inscribed criteria')","(0.2857142857142857, 'property order allow state party provide information protection')","(0.30000000000000004, 'n state party bosnia herzegovina n criteria c')","(0.3561643835616438, 'party provide information protection site furthermore committee requested')","(0.3076923076923077, 'information protection site furthermore committee requested secretariat report')","(0.423728813559322, 'state party provide information protection site furthermore')","(0.29508196721311475, 'n deg n state party bosnia herzegovina n criteria')","(0.2934782608695652, 'party provide information protection site furthermore committee requested secretariat report')","(0.39682539682539686, 'party provide information protection site furthermore committee')","(0.2844827586206896, 'property old city mostar n id n deg n state party bosnia herzegovina n criteria')","(0.30578512396694213, 'provide information protection site furthermore committee requested secretariat report issue forthcoming session bureau n')","(0.2875, 'property old city mostar n id n deg n state')","(0.3176470588235294, 'party provide information protection site furthermore committee requested secretariat')","(0.34782608695652173, 'party provide information protection site furthermore committee requested secretariat report')","(0.28671328671328666, 'defer inscription property order allow state party provide information protection site furthermore committee requested secretariat report issue')","(0.3211678832116789, 'defer inscription property order allow state party provide information protection site furthermore committee requested secretariat report')","(0.33606557377049184, 'allow state party provide information protection site furthermore committee requested secretariat report issue forthcoming')","(0.36170212765957444, 'state party provide information protection site')","(0.2989690721649485, 'property old city mostar n id n deg n state party bosnia')","(0.32291666666666663, 'information protection site furthermore committee requested secretariat report issue forthcoming')"
"Nov 27, 2000 The Island of SaintLouis Senegal","(0.34246575342465757, 'criterion iv island saint louis former capital west africa')","(0.27419354838709675, 'architecture craftsmanship services large part west africa n criterion iv island saint louis former capital west')","(0.32258064516129037, 'criteria ii iv n criterion')","(0.29591836734693877, 'education culture architecture craftsmanship services large part west africa n criterion iv island')","(0.31481481481481477, 'iv n criterion ii historic town saint louis')","(0.26865671641791045, 'town saint louis exhibits important exchange values influences development education culture architecture craftsmanship services large')","(0.38888888888888884, 'part west africa n')","(0.31999999999999995, 'n deg n state party senegal n criteria')","(0.27692307692307694, 'n id n deg n state party senegal n criteria')","(0.3142857142857143, 'colonial government region n icomos')","(0.36, 'iv n criterion ii historic town saint')","(0.3035714285714286, 'ii iv n committee decided inscribe property world heritage list basis criteria ii iv')","(0.28682170542635654, 'n criteria c ii iv n committee decided inscribe property world heritage list basis criteria ii')","(0.27368421052631575, 'example colonial city characterized particular natural setting illustrates development colonial')","(0.31666666666666665, 'africa n criterion iv island saint louis former')","(0.3116883116883117, 'particular natural setting illustrates development colonial government region')","(0.3205128205128205, 'city characterized particular natural setting illustrates development colonial')","(0.29333333333333333, 'exhibits important exchange values influences development education culture')","(0.32499999999999996, 'iv n criterion ii historic town saint')","(0.2894736842105263, 'education culture architecture craftsmanship services large part west africa')","(0.30952380952380953, 'informed committee received map property responding request bureau expand boundaries')","(0.34693877551020413, 'africa n criterion iv island saint louis')","(0.27586206896551724, 'property island saint louis n id n deg n state party senegal n criteria c')","(0.29565217391304344, 'ii iv n criterion ii historic town saint louis exhibits important exchange values influences')","(0.3023255813953488, 'particular natural setting illustrates development colonial government region n icomos')","(0.3285714285714286, 'committee decided inscribe property world heritage list basis criteria')","(0.34883720930232553, 'setting illustrates development colonial government region n icomos informed committee')","(0.2962962962962963, 'property island saint louis n id n deg n state party senegal n criteria c ii iv')","(0.3262411347517731, 'africa outstanding example colonial city characterized particular natural setting illustrates development colonial government region n icomos')","(0.3305084745762712, 'values influences development education culture architecture craftsmanship services large part west africa n criterion')","(0.36111111111111116, 'africa n criterion iv island saint')","(0.27835051546391754, 'property world heritage list basis criteria ii iv n criterion ii historic')","(0.303030303030303, 'property island saint louis n id n deg n state')"
