,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jul 6, 1992 Delphes Greece","(0.29761904761904767, 'positive assessment state conservation monuments expressed wish national authorities')","(0, '')","(0.30434782608695654, 'conservation monuments expressed wish national')","(0.28695652173913044, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures')","(0.4305555555555556, 'positive assessment state conservation monuments expressed wish national')","(0.24817518248175185, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures strengthen protection')","(0.2857142857142857, 'satisfied positive assessment state')","(0.31999999999999995, 'bureau satisfied positive assessment state conservation monuments expressed')","(0.2696629213483146, 'positive assessment state conservation monuments expressed wish national authorities take')","(0.34693877551020413, 'assessment state conservation monuments expressed')","(0.296875, 'state conservation monuments expressed wish national authorities')","(0.2222222222222222, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures strengthen')","(0, '')","(0.3033707865168539, 'bureau satisfied positive assessment state conservation monuments expressed wish national')","(0.3623188405797102, 'state conservation monuments expressed wish national authorities take')","(0.28, 'bureau satisfied positive assessment state conservation monuments expressed')","(0.22857142857142854, 'monuments expressed wish national authorities take measures strengthen')","(0.2857142857142857, 'monuments expressed wish national authorities take measures strengthen')","(0.31746031746031744, 'conservation monuments expressed wish national authorities take')","(0.28205128205128205, 'state conservation monuments expressed wish national authorities take measures')","(0.2921348314606742, 'positive assessment state conservation monuments expressed wish national authorities take')","(0.3770491803278688, 'wish national authorities take measures strengthen protection')","(0.21167883211678828, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures strengthen protection')","(0.26190476190476186, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures strengthen')","(0.2584269662921348, 'state conservation monuments expressed wish national authorities take measures strengthen')","(0.29761904761904767, 'positive assessment state conservation monuments expressed wish national authorities')","(0.2921348314606742, 'bureau satisfied positive assessment state conservation monuments expressed wish national')","(0, '')","(0, '')","(0.2698412698412699, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take measures strengthen')","(0.4444444444444444, 'assessment state conservation monuments expressed wish')","(0.23584905660377353, 'bureau satisfied positive assessment state conservation monuments expressed wish national authorities take')","(0.3146067415730337, 'state conservation monuments expressed wish national authorities take measures strengthen')"
"Jul 6, 1992 Delos Greece","(0.26315789473684215, 'excavation connected installation electric line bureau concerned means human')","(0.23448275862068968, 'bureau noted restoration work continuing archaeological activities limited excavation connected installation electric line bureau concerned means')","(0.40816326530612246, 'work continuing archaeological activities limited')","(0.30000000000000004, 'work continuing archaeological activities limited excavation connected installation electric line bureau concerned means')","(0.3285714285714286, 'excavation connected installation electric line bureau concerned means')","(0.25, 'activities limited excavation connected installation electric line bureau concerned means human resources ensure protection site')","(0.2857142857142857, 'means human resources ensure')","(0.33783783783783783, 'bureau noted restoration work continuing archaeological activities limited')","(0.303030303030303, 'continuing archaeological activities limited excavation connected installation electric line bureau')","(0.36170212765957444, 'excavation connected installation electric line')","(0.265625, 'excavation connected installation electric line bureau concerned')","(0.26016260162601623, 'activities limited excavation connected installation electric line bureau concerned means human resources ensure protection')","(0.2689655172413793, 'bureau noted restoration work continuing archaeological activities limited excavation connected installation electric line bureau concerned means')","(0.2650602409638554, 'installation electric line bureau concerned means human resources ensure protection')","(0.29729729729729726, 'bureau noted restoration work continuing archaeological activities limited')","(0.3648648648648649, 'bureau noted restoration work continuing archaeological activities limited')","(0.3142857142857143, 'excavation connected installation electric line bureau concerned means')","(0.2931034482758621, 'concerned means human resources ensure protection site yet')","(0.39583333333333337, 'means human resources ensure protection site yet')","(0.3194444444444444, 'installation electric line bureau concerned means human resources ensure')","(0.32558139534883723, 'excavation connected installation electric line bureau concerned means human resources')","(0.33333333333333337, 'continuing archaeological activities limited excavation connected installation')","(0.28057553956834536, 'bureau noted restoration work continuing archaeological activities limited excavation connected installation electric line bureau concerned')","(0.2713178294573644, 'bureau noted restoration work continuing archaeological activities limited excavation connected installation electric line bureau')","(0.27884615384615385, 'restoration work continuing archaeological activities limited excavation connected installation electric')","(0.3157894736842105, 'excavation connected installation electric line bureau concerned means human')","(0.29292929292929293, 'continuing archaeological activities limited excavation connected installation electric line bureau')","(0.304635761589404, 'bureau noted restoration work continuing archaeological activities limited excavation connected installation electric line bureau concerned means human')","(0.261744966442953, 'continuing archaeological activities limited excavation connected installation electric line bureau concerned means human resources ensure protection')","(0.3089430894308943, 'activities limited excavation connected installation electric line bureau concerned means human resources ensure protection')","(0.30612244897959184, 'installation electric line bureau concerned means')","(0.23469387755102045, 'connected installation electric line bureau concerned means human resources ensure protection site')","(0.34883720930232553, 'excavation connected installation electric line bureau concerned means human resources')"
"Jul 6, 1992 AirTenere National Nature Reserve Niger","(0.31506849315068497, 'niger obtain information impact armed unrest region state conservation')","(0.234375, 'heritage centre contact authorities niger obtain information impact armed unrest region state conservation site request nominate')","(0.36363636363636365, 'conservation site request nominate inclusion')","(0.3137254901960784, 'niger obtain information impact armed unrest region state conservation site request nominate inclusion')","(0.3709677419354839, 'region state conservation site request nominate inclusion list')","(0.2627118644067796, 'armed unrest bureau informed ministry foreign affairs government niger requested director general unesco launch appeal')","(0.3125, 'foreign affairs government niger')","(0.31666666666666665, 'armed unrest region state conservation site request nominate')","(0.31645569620253167, 'information impact armed unrest region state conservation site request nominate')","(0.4473684210526315, 'region state conservation site request')","(0.32727272727272727, 'state conservation site request nominate inclusion list')","(0.2807017543859649, 'protection site bureau recommended world heritage centre contact authorities niger obtain information impact armed')","(0.3023255813953488, 'niger obtain information impact armed unrest region state conservation site request nominate inclusion list world heritage')","(0.30952380952380953, 'bureau informed ministry foreign affairs government niger requested director general')","(0.3548387096774194, 'region state conservation site request nominate inclusion list')","(0.265625, 'contact authorities niger obtain information impact armed unrest')","(0.29850746268656714, 'unesco launch appeal protection site bureau recommended world')","(0.33333333333333337, 'appeal protection site bureau recommended world heritage centre')","(0.3921568627450981, 'general unesco launch appeal protection site bureau')","(0.32835820895522383, 'conservation site request nominate inclusion list world heritage in')","(0.3116883116883117, 'concerns region site inscribed world heritage list situated recently affected')","(0.35185185185185186, 'launch appeal protection site bureau recommended world')","(0.26890756302521013, 'centre contact authorities niger obtain information impact armed unrest region state conservation site request nominate')","(0.26956521739130435, 'niger obtain information impact armed unrest region state conservation site request nominate inclusion list')","(0.26249999999999996, 'unesco launch appeal protection site bureau recommended world heritage centre')","(0.4, 'unesco launch appeal protection site bureau recommended world heritage')","(0.28915662650602414, 'appeal protection site bureau recommended world heritage centre contact authorities')","(0.31851851851851853, 'niger obtain information impact armed unrest region state conservation site request nominate inclusion list world heritage in')","(0.2692307692307693, 'niger obtain information impact armed unrest region state conservation site request nominate inclusion list world heritage')","(0.30000000000000004, 'unesco launch appeal protection site bureau recommended world heritage centre contact authorities niger obtain')","(0.46808510638297873, 'region state conservation site request nominate')","(0.2376237623762376, 'protection site bureau recommended world heritage centre contact authorities niger obtain information')","(0.32530120481927716, 'appeal protection site bureau recommended world heritage centre contact authorities')"
"Jul 6, 1992 Abou Mena Egypt","(0.30379746835443033, 'attention competent national authorities matters request assurances take action')","(0.2421875, 'possible reconstruction church saint s tomb bureau requested world heritage centre draw attention competent national authorities')","(0.37209302325581395, 'conservation site fragility increasing flow')","(0.3508771929824561, 'dangers threatening conservation site fragility increasing flow pilgrims well possible reconstruction church saint')","(0.4057971014492754, 'threatening conservation site fragility increasing flow pilgrims well')","(0.2845528455284553, 'bureau requested world heritage centre draw attention competent national authorities matters request assurances take action')","(0.2777777777777778, 'national authorities matters request')","(0.36764705882352944, 'bureau noted concern dangers threatening conservation site fragility')","(0.30952380952380953, 'bureau noted concern dangers threatening conservation site fragility increasing flow')","(0.34042553191489366, 'dangers threatening conservation site fragility')","(0.31343283582089554, 'attention competent national authorities matters request assurances')","(0.2767857142857143, 'possible reconstruction church saint s tomb bureau requested world heritage centre draw attention competent')","(0.24806201550387597, 'increasing flow pilgrims well possible reconstruction church saint s tomb bureau requested world heritage centre draw')","(0.28915662650602414, 'world heritage centre draw attention competent national authorities matters request')","(0.37681159420289856, 'threatening conservation site fragility increasing flow pilgrims well')","(0.2816901408450704, 'concern dangers threatening conservation site fragility increasing flow')","(0.25, 'centre draw attention competent national authorities matters request')","(0.28985507246376807, 'national authorities matters request assurances take action necessary')","(0.3666666666666667, 'centre draw attention competent national authorities matters')","(0.31645569620253167, 'attention competent national authorities matters request assurances take action')","(0.348314606741573, 'attention competent national authorities matters request assurances take action necessary')","(0.33333333333333337, 'concern dangers threatening conservation site fragility increasing')","(0.2790697674418605, 'bureau noted concern dangers threatening conservation site fragility increasing flow pilgrims well possible reconstruction church')","(0.24347826086956526, 'possible reconstruction church saint s tomb bureau requested world heritage centre draw attention competent')","(0.27956989247311825, 'threatening conservation site fragility increasing flow pilgrims well possible reconstruction')","(0.31999999999999995, 'world heritage centre draw attention competent national authorities matters')","(0.2857142857142857, 'centre draw attention competent national authorities matters request assurances take')","(0.22962962962962963, 's tomb bureau requested world heritage centre draw attention competent national authorities matters request assurances take action')","(0.2384615384615385, 'increasing flow pilgrims well possible reconstruction church saint s tomb bureau requested world heritage centre draw')","(0.28688524590163933, 'bureau noted concern dangers threatening conservation site fragility increasing flow pilgrims well possible reconstruction')","(0.4363636363636364, 'threatening conservation site fragility increasing flow')","(0.25, 'bureau requested world heritage centre draw attention competent national authorities matters request')","(0.30952380952380953, 'centre draw attention competent national authorities matters request assurances take')"
"Jul 6, 1992 Dinosaur Provincial Park Canada","(0.273972602739726, 'site resulted net gain hectares total area park bureau')","(0.23880597014925375, 'bureau agreement proposal canadian authorities delete hectares petroleum natural gas exploration take place add hectares significantly')","(0.31707317073170727, 'modification boundaries site resulted net')","(0.30841121495327106, 'significantly higher conservation value site effect proposed modification boundaries site resulted net gain')","(0.31081081081081086, 'provided canadian authorities describing revised boundaries world heritage')","(0.25, 'canadian authorities delete hectares petroleum natural gas exploration take place add hectares significantly higher conservation')","(0.3571428571428571, 'boundaries site resulted net')","(0.3188405797101449, 'hectares significantly higher conservation value site effect proposed')","(0.26249999999999996, 'hectares petroleum natural gas exploration take place add hectares significantly')","(0.34090909090909094, 'significantly higher conservation value site')","(0.30508474576271183, 'higher conservation value site effect proposed modification')","(0.2589285714285714, 'value site effect proposed modification boundaries site resulted net gain hectares total area park')","(0.28682170542635654, 'higher conservation value site effect proposed modification boundaries site resulted net gain hectares total area park')","(0.3033707865168539, 'bureau recommended committee register report map provided canadian authorities describing')","(0.3285714285714286, 'higher conservation value site effect proposed modification boundaries')","(0.2777777777777778, 'bureau agreement proposal canadian authorities delete hectares petroleum')","(0.2571428571428571, 'higher conservation value site effect proposed modification boundaries')","(0.3194444444444444, 'bureau agreement proposal canadian authorities delete hectares petroleum')","(0.3220338983050848, 'higher conservation value site effect proposed modification')","(0.30434782608695654, 'hectares total area park bureau recommended committee register report')","(0.3146067415730337, 'committee register report map provided canadian authorities describing revised boundaries')","(0.35593220338983056, 'higher conservation value site effect proposed modification')","(0.2295081967213115, 'significantly higher conservation value site effect proposed modification boundaries site resulted net gain hectares total')","(0.26956521739130435, 'canadian authorities delete hectares petroleum natural gas exploration take place add hectares significantly higher')","(0.27380952380952384, 'proposal canadian authorities delete hectares petroleum natural gas exploration take')","(0.29333333333333333, 'higher conservation value site effect proposed modification boundaries site')","(0.29333333333333333, 'net gain hectares total area park bureau recommended committee register')","(0.28148148148148144, 'higher conservation value site effect proposed modification boundaries site resulted net gain hectares total area park bureau')","(0.27692307692307694, 'higher conservation value site effect proposed modification boundaries site resulted net gain hectares total area park')","(0.2844827586206896, 'significantly higher conservation value site effect proposed modification boundaries site resulted net gain hectares')","(0.4, 'agreement proposal canadian authorities delete hectares')","(0.2680412371134021, 'proposed modification boundaries site resulted net gain hectares total area park bureau')","(0.3214285714285714, 'higher conservation value site effect proposed modification boundaries site resulted')"
"Jul 6, 1992 Angkor Cambodia","(0.2987012987012987, 'restoration specialists trained assistance japanese funds n following request')","(0.2987012987012987, 'elaborated legislation revised necessary personnel protection restoration site trained unesco participating elaboration management plan collaboration undp')","(0.4222222222222223, 'convention bureau considered duty participate')","(0.33999999999999997, 'restoration conservation angkor n member bureau underlined fact inscription site world heritage list')","(0.417910447761194, 'actively restoration conservation angkor n member bureau underlined')","(0.27338129496402874, 'personnel protection restoration site trained unesco participating elaboration management plan collaboration undp sweden france furthermore')","(0.3846153846153846, 'francaise d extreme orient')","(0.33333333333333337, 'treaty since then cambodia adhered convention bureau considered')","(0.32978723404255317, 'personnel protection restoration site trained unesco participating elaboration management plan')","(0.4358974358974359, 'then cambodia adhered convention bureau')","(0.32258064516129037, 'cambodia adhered convention bureau considered duty participate')","(0.31666666666666665, 'peace treaty since then cambodia adhered convention bureau considered duty participate actively restoration conservation')","(0.3112582781456954, 'guaranteed management plan site elaborated legislation revised necessary personnel protection restoration site trained unesco participating elaboration')","(0.3085106382978723, 'personnel protection restoration site trained unesco participating elaboration management plan')","(0.32835820895522383, 'actively restoration conservation angkor n member bureau underlined')","(0.33333333333333337, 'treaty since then cambodia adhered convention bureau considered')","(0.34782608695652173, 'devastated country protection site could longer guaranteed management')","(0.3538461538461538, 'contract established ecole francaise d extreme orient preparatory')","(0.4117647058823529, 'war devastated country protection site could longer')","(0.32499999999999996, 'undertaken unesco cambodian heritage organization already started work signature')","(0.33783783783783783, 'conservation angkor n member bureau underlined fact inscription site world')","(0.3939393939393939, 'convention bureau considered duty participate actively restoration')","(0.2975206611570248, 'authorities regarding preparation dossier nominate site angkor world heritage list contract established ecole francaise d')","(0.3779527559055118, 'personnel protection restoration site trained unesco participating elaboration management plan collaboration undp sweden france')","(0.276595744680851, 'personnel protection restoration site trained unesco participating elaboration management plan')","(0.38961038961038963, 'authorities regarding preparation dossier nominate site angkor world heritage')","(0.34042553191489366, 'personnel protection restoration site trained unesco participating elaboration management plan')","(0.31481481481481477, 'guaranteed management plan site elaborated legislation revised necessary personnel protection restoration site trained unesco participating elaboration management')","(0.304635761589404, 'guaranteed management plan site elaborated legislation revised necessary personnel protection restoration site trained unesco participating elaboration')","(0.34782608695652173, 'legislation revised necessary personnel protection restoration site trained unesco participating elaboration management plan collaboration')","(0.41666666666666663, 'management plan collaboration undp sweden france')","(0.327433628318584, 'personnel protection restoration site trained unesco participating elaboration management plan collaboration undp')","(0.37234042553191493, 'personnel protection restoration site trained unesco participating elaboration management plan')"
"Jul 6, 1992 Istanbul Turkey","(0.26027397260273977, 'bureau took note satisfaction urban development plan town modified')","(0.217741935483871, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan competent')","(0.30000000000000004, 'took note satisfaction urban development')","(0.27450980392156865, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding')","(0.23809523809523814, 'modified wished obtain information regarding new plan competent')","(0.18018018018018023, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan')","(0.3214285714285714, 'regarding new plan competent')","(0.2786885245901639, 'note satisfaction urban development plan town modified wished')","(0.2465753424657534, 'bureau took note satisfaction urban development plan town modified wished')","(0.28205128205128205, 'wished obtain information regarding new')","(0.2777777777777778, 'wished obtain information regarding new plan competent')","(0.2232142857142857, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new')","(0.21705426356589153, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan competent')","(0.2432432432432432, 'bureau took note satisfaction urban development plan town modified wished')","(0.23333333333333328, 'bureau took note satisfaction urban development plan town')","(0.19999999999999996, 'bureau took note satisfaction urban development plan town')","(0.4328358208955224, 'bureau took note satisfaction urban development plan town')","(0.2807017543859649, 'bureau took note satisfaction urban development plan town')","(0.28301886792452835, 'modified wished obtain information regarding new plan')","(0.23529411764705888, 'note satisfaction urban development plan town modified wished obtain')","(0.2875, 'note satisfaction urban development plan town modified wished obtain information')","(0.3214285714285714, 'development plan town modified wished obtain information')","(0.2586206896551724, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan')","(0.22608695652173916, 'satisfaction urban development plan town modified wished obtain information regarding new plan competent turkish')","(0.19999999999999996, 'bureau took note satisfaction urban development plan town modified wished')","(0.22058823529411764, 'note satisfaction urban development plan town modified wished obtain')","(0.36250000000000004, 'note satisfaction urban development plan town modified wished obtain information')","(0.2148148148148148, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan competent turkish')","(0.19999999999999996, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new plan competent')","(0.3113207547169812, 'bureau took note satisfaction urban development plan town modified wished obtain information regarding new')","(0.31818181818181823, 'wished obtain information regarding new plan')","(0.20618556701030932, 'bureau took note satisfaction urban development plan town modified wished obtain information')","(0.273972602739726, 'bureau took note satisfaction urban development plan town modified wished')"
"Jul 6, 1992 Garamba National Park Zaire","(0.26027397260273977, 'request made state party letter february delete site list')","(0.23076923076923073, 'bureau happy note rhinoceros population park increased individuals due increase budget personnel state conservation site continues')","(0.35, 'conservation site continues stable hence')","(0.3047619047619048, 'state conservation site continues stable hence bureau recommended committee accordance request made state')","(0.33333333333333337, 'budget personnel state conservation site continues stable hence')","(0.24, 'rhinoceros population park increased individuals due increase budget personnel state conservation site continues stable hence')","(0.2857142857142857, 'party letter february delete')","(0.34328358208955223, 'site continues stable hence bureau recommended committee accordance')","(0.32558139534883723, 'state conservation site continues stable hence bureau recommended committee accordance')","(0.37209302325581395, 'personnel state conservation site continues')","(0.29508196721311475, 'rhinoceros population park increased individuals due increase')","(0.2857142857142857, 'rhinoceros population park increased individuals due increase budget personnel state conservation site continues stable')","(0.22480620155038755, 'state conservation site continues stable hence bureau recommended committee accordance request made state party letter february')","(0.2674418604651163, 'state conservation site continues stable hence bureau recommended committee accordance')","(0.3076923076923077, 'state conservation site continues stable hence bureau recommended')","(0.28787878787878785, 'bureau happy note rhinoceros population park increased individuals')","(0.34328358208955223, 'state conservation site continues stable hence bureau recommended')","(0.30000000000000004, 'increased individuals due increase budget personnel state conservation')","(0.3571428571428571, 'personnel state conservation site continues stable hence')","(0.28, 'state conservation site continues stable hence bureau recommended committee')","(0.33720930232558144, 'state conservation site continues stable hence bureau recommended committee accordance')","(0.35593220338983056, 'conservation site continues stable hence bureau recommended')","(0.2583333333333333, 'bureau happy note rhinoceros population park increased individuals due increase budget personnel state conservation site')","(0.2857142857142857, 'rhinoceros population park increased individuals due increase budget personnel state conservation site continues stable')","(0.2674418604651163, 'state conservation site continues stable hence bureau recommended committee accordance')","(0.2666666666666667, 'state conservation site continues stable hence bureau recommended committee')","(0.3023255813953488, 'state conservation site continues stable hence bureau recommended committee accordance')","(0.2447552447552448, 'population park increased individuals due increase budget personnel state conservation site continues stable hence bureau recommended committee')","(0.22307692307692306, 'state conservation site continues stable hence bureau recommended committee accordance request made state party letter february')","(0.275, 'increase budget personnel state conservation site continues stable hence bureau recommended committee accordance request')","(0.43999999999999995, 'personnel state conservation site continues stable')","(0.24742268041237114, 'accordance request made state party letter february delete site list world heritage')","(0.3132530120481928, 'note rhinoceros population park increased individuals due increase budget personnel')"
"Jul 6, 1992 Gantija Malta","(0.2911392405063291, 'concern regarding protection megalithic temples requested world heritage centre')","(0.2797202797202797, 'attention competent maltese authorities necessity establishing larger buffer zone better legal protection report information received submitted')","(0.33333333333333337, 'protection report information received submitted')","(0.29729729729729726, 'bureau expressed concern regarding protection megalithic temples requested world heritage centre draw attention')","(0.375, 'concern regarding protection megalithic temples requested world heritage')","(0.302158273381295, 'regarding protection megalithic temples requested world heritage centre draw attention competent maltese authorities necessity establishing')","(0.29032258064516125, 'establishing larger buffer zone')","(0.303030303030303, 'world heritage centre draw attention competent maltese authorities')","(0.30000000000000004, 'legal protection report information received submitted committee next session particularly')","(0.3555555555555555, 'submitted committee next session particularly')","(0.27118644067796616, 'light proposal extension site presented maltese authorities')","(0.3114754098360656, 'better legal protection report information received submitted committee next session particularly light proposal extension')","(0.2797202797202797, 'attention competent maltese authorities necessity establishing larger buffer zone better legal protection report information received submitted')","(0.2696629213483146, 'world heritage centre draw attention competent maltese authorities necessity establishing')","(0.2894736842105263, 'attention competent maltese authorities necessity establishing larger buffer')","(0.26388888888888884, 'concern regarding protection megalithic temples requested world heritage')","(0.3194444444444444, 'concern regarding protection megalithic temples requested world heritage')","(0.36111111111111116, 'concern regarding protection megalithic temples requested world heritage')","(0.37037037037037035, 'buffer zone better legal protection report information')","(0.3417721518987342, 'concern regarding protection megalithic temples requested world heritage centre')","(0.3214285714285714, 'concern regarding protection megalithic temples requested world heritage centre draw')","(0.4126984126984127, 'concern regarding protection megalithic temples requested world')","(0.2713178294573644, 'bureau expressed concern regarding protection megalithic temples requested world heritage centre draw attention competent maltese')","(0.30952380952380953, 'regarding protection megalithic temples requested world heritage centre draw attention competent maltese authorities necessity')","(0.2696629213483146, 'bureau expressed concern regarding protection megalithic temples requested world heritage')","(0.4177215189873418, 'concern regarding protection megalithic temples requested world heritage centre')","(0.3571428571428571, 'concern regarding protection megalithic temples requested world heritage centre draw')","(0.277027027027027, 'protection megalithic temples requested world heritage centre draw attention competent maltese authorities necessity establishing larger buffer zone')","(0.29370629370629375, 'protection megalithic temples requested world heritage centre draw attention competent maltese authorities necessity establishing larger buffer')","(0.32258064516129037, 'attention competent maltese authorities necessity establishing larger buffer zone better legal protection report information')","(0.35416666666666663, 'heritage centre draw attention competent maltese')","(0.25, 'regarding protection megalithic temples requested world heritage centre draw attention competent maltese')","(0.30000000000000004, 'legal protection report information received submitted committee next session particularly')"
"Jul 6, 1992 Monitoring of the state of conservation of cultural World Heritage properties, and related technical problems  Monitorin","(0.28767123287671237, 'bureau took note information provided secretariat decided set aside')","(0.23199999999999998, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik')","(0.2954545454545454, 'information provided secretariat decided set')","(0.26086956521739135, 'bureau took note information provided secretariat decided set aside sum us urgent activities')","(0.3114754098360656, 'bureau took note information provided secretariat decided set')","(0.20869565217391306, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration')","(0.3157894736842105, 'aside sum us urgent')","(0.2542372881355932, 'note information provided secretariat decided set aside sum')","(0.22972972972972971, 'provided secretariat decided set aside sum us urgent activities undertaken')","(0.2702702702702703, 'bureau took note information provided')","(0.2777777777777778, 'took note information provided secretariat decided set')","(0.2678571428571429, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken')","(0.24031007751937983, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik')","(0.22972972972972971, 'bureau took note information provided secretariat decided set aside sum')","(0.25, 'note information provided secretariat decided set aside sum')","(0.21311475409836067, 'bureau took note information provided secretariat decided set')","(0.28358208955223885, 'note information provided secretariat decided set aside sum')","(0.30508474576271183, 'note information provided secretariat decided set aside sum')","(0.2962962962962963, 'took note information provided secretariat decided set')","(0.22388059701492535, 'bureau took note information provided secretariat decided set aside')","(0.2816901408450704, 'bureau took note information provided secretariat decided set aside sum')","(0.3207547169811321, 'aside sum us urgent activities undertaken restoration')","(0.27586206896551724, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration')","(0.20869565217391306, 'information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik n')","(0.30000000000000004, 'provided secretariat decided set aside sum us urgent activities undertaken')","(0.28358208955223885, 'bureau took note information provided secretariat decided set aside')","(0.29333333333333333, 'note information provided secretariat decided set aside sum us urgent')","(0.2666666666666667, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik n')","(0.2384615384615385, 'bureau took note information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik')","(0.26363636363636367, 'information provided secretariat decided set aside sum us urgent activities undertaken restoration dubrovnik n')","(0.30612244897959184, 'bureau took note information provided secretariat')","(0.24742268041237114, 'bureau took note information provided secretariat decided set aside sum us urgent')","(0.2702702702702703, 'provided secretariat decided set aside sum us urgent activities undertaken')"
