,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Sep 18, 1995 Designation of Competent Authorities and Focal Points","(0.2962962962962963, 'designation competent authorities focal points conference recalling article basel')","(0.2727272727272727, 'decision iii designation competent authorities focal points conference recalling article basel convention decision ii second meeting')","(0.45945945945945943, 'convention decision ii second meeting')","(0.30841121495327106, 'competent authorities focal points conference recalling article basel convention decision ii second meeting')","(0.33870967741935487, 'basel convention decision ii second meeting conference parties')","(0.2773109243697479, 'points conference recalling article basel convention decision ii second meeting conference parties requests parties yet')","(0.34375, 'parties yet informed secretariat')","(0.3278688524590164, 'recalling article basel convention decision ii second meeting')","(0.30434782608695654, 'requests parties yet informed secretariat basel convention designation competent authorities')","(0.41860465116279066, 'recalling article basel convention decision')","(0.38095238095238093, 'basel convention designation competent authorities focal points')","(0.3214285714285714, 'article basel convention decision ii second meeting conference parties requests parties yet informed secretariat')","(0.2706766917293233, 'authorities focal points conference recalling article basel convention decision ii second meeting conference parties requests parties')","(0.3924050632911392, 'basel convention decision ii second meeting conference parties requests parties')","(0.30666666666666664, 'secretariat basel convention designation competent authorities focal points')","(0.360655737704918, 'recalling article basel convention decision ii second meeting')","(0.4029850746268657, 'basel convention decision ii second meeting conference parties')","(0.31818181818181823, 'conference parties requests parties yet informed secretariat basel')","(0.4117647058823529, 'article basel convention decision ii second meeting')","(0.2987012987012987, 'conference parties requests parties yet informed secretariat basel convention')","(0.31645569620253167, 'basel convention decision ii second meeting conference parties requests parties')","(0.4354838709677419, 'convention designation competent authorities focal points soon')","(0.3025210084033614, 'points conference recalling article basel convention decision ii second meeting conference parties requests parties yet')","(0.272, 'meeting conference parties requests parties yet informed secretariat basel convention designation competent authorities focal')","(0.2875, 'points conference recalling article basel convention decision ii second meeting')","(0.31999999999999995, 'second meeting conference parties requests parties yet informed secretariat')","(0.3417721518987342, 'basel convention decision ii second meeting conference parties requests parties')","(0.2773722627737226, 'authorities focal points conference recalling article basel convention decision ii second meeting conference parties requests parties yet')","(0.30827067669172936, 'authorities focal points conference recalling article basel convention decision ii second meeting conference parties requests parties')","(0.29059829059829057, 'decision iii designation competent authorities focal points conference recalling article basel convention decision ii')","(0.33999999999999997, 'second meeting conference parties requests parties')","(0.27835051546391754, 'article basel convention decision ii second meeting conference parties requests parties yet')","(0.32608695652173914, 'requests parties yet informed secretariat basel convention designation competent authorities')"
"Sep 18, 1995 Establishment of the Information Management System on Wastes IMSW of the Basel Convention","(0.2808988764044944, 'consultation unctad collection statistics transboundary movements hazardous wastes wastes')","(0.2827586206896552, 'submit technical working group consideration guidance also request sbc continue consultation unctad collection statistics transboundary movements')","(0.37209302325581395, 'convention conference referring decision ii')","(0.31355932203389836, 'working group consideration guidance also request sbc continue consultation unctad collection statistics transboundary')","(0.3548387096774194, 'working group consideration guidance also request sbc continue')","(0.39097744360902253, 'guidance also request sbc continue consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')","(0.4, 'parties wishes to request')","(0.34328358208955223, 'management system wastes imsw basel convention conference referring')","(0.3146067415730337, 'deliverability project submit technical working group consideration guidance also request')","(0.4285714285714286, 'imsw basel convention conference referring')","(0.33333333333333337, 'imsw basel convention conference referring decision ii')","(0.33587786259541985, 'sbc continue consultation unctad collection statistics transboundary movements hazardous wastes wastes destined recovery operations')","(0.2945736434108527, 'management system wastes imsw basel convention conference referring decision ii second meeting conference parties wishes to')","(0.5714285714285714, 'consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')","(0.3484848484848485, 'pursue consultation un ece eurostat appropriate bodies development')","(0.3731343283582089, 'management system wastes imsw basel convention conference referring')","(0.31707317073170727, 'consultation unctad collection statistics transboundary movements hazardous wastes')","(0.32352941176470584, 'request secretariat progress establishment imsw report progress made')","(0.32352941176470584, 'sbc continue consultation unctad collection statistics transboundary')","(0.2808988764044944, 'consultation unctad collection statistics transboundary movements hazardous wastes wastes')","(0.3176470588235294, 'decision iii establishment information management system wastes imsw basel convention')","(0.39655172413793105, 'convention conference referring decision ii second meeting')","(0.2844827586206896, 'wastes imsw basel convention conference referring decision ii second meeting conference parties wishes to request')","(0.26086956521739135, 'wastes wastes destined recovery operations request sbc pursue consultation un ece eurostat appropriate bodies')","(0.2637362637362637, 'purpose design deliverability project submit technical working group consideration guidance')","(0.33333333333333337, 'basel convention conference referring decision ii second meeting conference')","(0.326530612244898, 'consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')","(0.2847222222222222, 'decision iii establishment information management system wastes imsw basel convention conference referring decision ii second meeting conference')","(0.25850340136054417, 'consideration guidance also request sbc continue consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')","(0.3706896551724138, 'convention conference referring decision ii second meeting conference parties wishes to request secretariat progress')","(0.3829787234042553, 'pursue consultation un ece eurostat appropriate')","(0.5045045045045045, 'sbc continue consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')","(0.30612244897959184, 'consultation unctad collection statistics transboundary movements hazardous wastes wastes destined')"
"Sep 18, 1995 Possible effects of the Basel Convention on the transboundary movements of reclaimed ozonedepleting chemica","(0.33333333333333337, 'national organizations including international standards organization iso fall scope')","(0.31818181818181823, 'montreal protocol agrees that controlled substances montreal protocol reclaimed purified usable purity specifications prescribed appropriate international')","(0.36, 'basel convention transboundary movements reclaimed')","(0.31092436974789917, 'conference referring decision ii consultations contracting parties secretariat montreal protocol agrees that controlled')","(0.3589743589743589, 'conference referring decision ii consultations contracting parties secretariat')","(0.3529411764705882, 'decision iii possible effects basel convention transboundary movements reclaimed ozone depleting chemicals conference referring decision')","(0.31034482758620685, 'montreal protocol agrees that')","(0.34328358208955223, 'including international standards organization iso fall scope basel')","(0.3431372549019608, 'montreal protocol reclaimed purified usable purity specifications prescribed appropriate international')","(0.3829787234042553, 'possible effects basel convention transboundary')","(0.3384615384615385, 'appropriate international and or national organizations including')","(0.35114503816793896, 'effects basel convention transboundary movements reclaimed ozone depleting chemicals conference referring decision ii consultations')","(0.29729729729729726, 'consultations contracting parties secretariat montreal protocol agrees that controlled substances montreal protocol reclaimed purified usable purity')","(0.4623655913978495, 'possible effects basel convention transboundary movements reclaimed ozone depleting chemicals')","(0.3417721518987342, 'appropriate international and or national organizations including international')","(0.3571428571428571, 'decision iii possible effects basel convention transboundary movements')","(0.30666666666666664, 'decision ii consultations contracting parties secretariat montreal protocol')","(0.4347826086956522, 'montreal protocol agrees that controlled substances montreal protocol')","(0.3787878787878788, 'basel convention transboundary movements reclaimed ozone depleting')","(0.32558139534883723, 'consultations contracting parties secretariat montreal protocol agrees that controlled')","(0.34444444444444444, 'national organizations including international standards organization iso fall scope basel')","(0.36111111111111116, 'or national organizations including international standards organization')","(0.3129251700680272, 'protocol reclaimed purified usable purity specifications prescribed appropriate international and or national organizations including international')","(0.3308270676691729, 'protocol reclaimed purified usable purity specifications prescribed appropriate international and or national organizations including')","(0.3137254901960784, 'montreal protocol reclaimed purified usable purity specifications prescribed appropriate international')","(0.37209302325581395, 'consultations contracting parties secretariat montreal protocol agrees that controlled')","(0.3402061855670103, 'basel convention transboundary movements reclaimed ozone depleting chemicals conference referring')","(0.29268292682926833, 'controlled substances montreal protocol reclaimed purified usable purity specifications prescribed appropriate international and or national organizations including')","(0.2987012987012987, 'controlled substances montreal protocol reclaimed purified usable purity specifications prescribed appropriate international and or national organizations')","(0.3515625, 'ii consultations contracting parties secretariat montreal protocol agrees that controlled substances montreal protocol reclaimed')","(0.36363636363636365, 'referring decision ii consultations contracting parties')","(0.3584905660377359, 'decision iii possible effects basel convention transboundary movements reclaimed ozone depleting chemicals')","(0.34090909090909094, 'montreal protocol agrees that controlled substances montreal protocol reclaimed purified')"
"Sep 18, 1995 Monitoring the implementation of and compliance with the obligations set out by the Basel Convention","(0.34246575342465757, 'convention takes note study reflected document unep chw inf')","(0.29496402877697847, 'sub group legal technical experts study issues related establishment mechanism monitoring implementation compliance basel convention design')","(0.4054054054054054, 'convention recalling decision ii open')","(0.3414634146341463, 'implementation compliance obligations set basel convention conference recalling article basel convention recalling decision')","(0.3733333333333333, 'convention conference recalling article basel convention recalling decision')","(0.40268456375838924, 'entitled monitoring implementation compliance basel convention control transboundary movements hazardous wastes wastes disposal requests consultative')","(0.30000000000000004, 'report findings fourth meeting')","(0.38888888888888884, 'compliance obligations set basel convention conference recalling article')","(0.36734693877551017, 'monitoring implementation compliance obligations set basel convention conference recalling article')","(0.46341463414634143, 'compliance basel convention design report')","(0.38181818181818183, 'set basel convention conference recalling article basel')","(0.3303571428571429, 'basel convention recalling decision ii open ended ad hoc committee implementation basel convention takes')","(0.3137254901960784, 'inf entitled monitoring implementation compliance basel convention control transboundary movements hazardous wastes wastes disposal requests consultative')","(0.8043478260869565, 'compliance basel convention control transboundary movements hazardous wastes wastes disposal')","(0.33333333333333337, 'basel convention recalling decision ii open ended ad')","(0.3529411764705882, 'monitoring implementation compliance basel convention control transboundary movements')","(0.3731343283582089, 'basel convention recalling decision ii open ended ad')","(0.30000000000000004, 'monitoring implementation compliance obligations set basel convention conference')","(0.4285714285714286, 'basel convention recalling decision ii open ended')","(0.3132530120481928, 'monitoring implementation compliance basel convention design report findings fourth')","(0.3493975903614458, 'convention conference recalling article basel convention recalling decision ii open')","(0.4032258064516129, 'basel convention conference recalling article basel convention')","(0.31034482758620685, 'set basel convention conference recalling article basel convention recalling decision ii open ended ad hoc')","(0.30000000000000004, 'technical experts study issues related establishment mechanism monitoring implementation compliance basel convention design report')","(0.27710843373493976, 'convention conference recalling article basel convention recalling decision ii open')","(0.3846153846153846, 'convention conference recalling article basel convention recalling decision ii')","(0.37349397590361444, 'convention conference recalling article basel convention recalling decision ii open')","(0.33333333333333337, 'decision iii monitoring implementation compliance obligations set basel convention conference recalling article basel convention recalling decision ii')","(0.326530612244898, 'decision iii monitoring implementation compliance obligations set basel convention conference recalling article basel convention recalling decision')","(0.3412698412698413, 'implementation compliance obligations set basel convention conference recalling article basel convention recalling decision ii')","(0.3829787234042553, 'requests consultative sub group legal technical')","(0.5254237288135593, 'entitled monitoring implementation compliance basel convention control transboundary movements hazardous wastes wastes')","(0.3163265306122449, 'monitoring implementation compliance obligations set basel convention conference recalling article')"
"Sep 18, 1995 Followup to UNEP Governing Council decisions concerning environmentally sound management of hazardous waste","(0.2987012987012987, 'basel convention implementation three unep governing council decisions namely')","(0.2751677852348994, 'namely application environmental norms military establishments carriage irradiated nuclear fuel sea environmentally sound management hazardous wastes')","(0.3913043478260869, 'convention implementation three unep governing')","(0.30081300813008127, 'governing council decisions namely application environmental norms military establishments carriage irradiated nuclear fuel')","(0.3970588235294118, 'basel convention cooperate unep headquarters regional offices fields')","(0.39534883720930236, 'up unep governing council decisions concerning environmentally sound management hazardous wastes conference referring decision ii')","(0.3214285714285714, 'parties wishes to appreciate')","(0.37142857142857144, 'appreciate work done secretariat basel convention implementation three')","(0.35, 'wishes to appreciate work done secretariat basel convention implementation three')","(0.4418604651162791, 'secretariat basel convention cooperate unep')","(0.34375, 'secretariat basel convention implementation three unep governing')","(0.3076923076923077, 'secretariat basel convention implementation three unep governing council decisions namely application environmental norms military')","(0.28873239436619713, 'appreciate work done secretariat basel convention implementation three unep governing council decisions namely application environmental norms')","(0.41860465116279066, 'nuclear fuel sea environmentally sound management hazardous wastes request secretariat')","(0.30000000000000004, 'council decisions namely application environmental norms military establishments')","(0.3013698630136986, 'request secretariat basel convention cooperate unep headquarters regional')","(0.3285714285714286, 'basel convention implementation three unep governing council decisions')","(0.3278688524590164, 'conference parties wishes to appreciate work done secretariat')","(0.40625, 'secretariat basel convention implementation three unep governing')","(0.28, 'headquarters regional offices fields related subjects covered referred unep')","(0.3932584269662921, 'basel convention implementation three unep governing council decisions namely application')","(0.421875, 'convention implementation three unep governing council decisions')","(0.3211678832116789, 'council decisions concerning environmentally sound management hazardous wastes conference referring decision ii second meeting conference')","(0.2846153846153846, 'secretariat basel convention implementation three unep governing council decisions namely application environmental norms military')","(0.303030303030303, 'council decisions concerning environmentally sound management hazardous wastes conference referring')","(0.3820224719101124, 'council decisions concerning environmentally sound management hazardous wastes conference')","(0.3595505617977528, 'basel convention implementation three unep governing council decisions namely application')","(0.31055900621118016, 'basel convention implementation three unep governing council decisions namely application environmental norms military establishments carriage irradiated nuclear')","(0.30718954248366015, 'basel convention implementation three unep governing council decisions namely application environmental norms military establishments carriage irradiated')","(0.33333333333333337, 'council decisions concerning environmentally sound management hazardous wastes conference referring decision ii second meeting')","(0.34042553191489366, 'meeting conference parties wishes to appreciate')","(0.3551401869158879, 'up unep governing council decisions concerning environmentally sound management hazardous wastes conference')","(0.2941176470588235, 'basel convention cooperate unep headquarters regional offices fields related subjects')"
"Sep 18, 1995 Training and seminars related to the Basel Convention","(0.4, 'convention example participation related international conferences symposia seminars publishing')","(0.32167832167832167, 'parties contribute technical cooperation trust fund assist developing countries parties implementation basel convention invite parties position')","(0.5483870967741935, 'convention kind i a provision')","(0.327433628318584, 'developing countries parties implementation basel convention invite parties position contribute trust funds cover')","(0.4067796610169492, 'convention kind i a provision resource persons organization')","(0.33999999999999997, 'awareness aims basel convention example participation related international conferences symposia seminars publishing newsletters publications material')","(0.4, 'parties wishes to request')","(0.3835616438356164, 'countries parties implementation basel convention invite parties position')","(0.3448275862068966, 'continue promoting public awareness aims basel convention example participation related')","(0.4772727272727273, 'seminars related basel convention conference')","(0.3709677419354839, 'established basel convention also request secretariat continue')","(0.31034482758620685, 'secretariat basel convention kind i a provision resource persons organization seminars workshops training programmes')","(0.33333333333333337, 'countries parties implementation basel convention invite parties position contribute trust funds cover costs participation developing country')","(0.3763440860215054, 'basel convention collaboration unep international organizations far possible within framework')","(0.3421052631578947, 'basel convention collaboration unep international organizations far possible')","(0.34246575342465757, 'countries parties implementation basel convention invite parties position')","(0.3421052631578947, 'basel convention collaboration unep international organizations far possible')","(0.32307692307692304, 'continue promoting public awareness aims basel convention example')","(0.4, 'aims basel convention example participation related international')","(0.36170212765957444, 'international conferences symposia seminars publishing newsletters publications material field')","(0.3932584269662921, 'collaboration unep international organizations far possible within framework regional sub')","(0.41428571428571426, 'convention collaboration unep international organizations far possible')","(0.3407407407407408, 'contribute technical cooperation trust fund assist developing countries parties implementation basel convention invite parties position')","(0.33587786259541985, 'continue promoting public awareness aims basel convention example participation related international conferences symposia seminars')","(0.2941176470588235, 'decision iii training seminars related basel convention conference referring decision')","(0.4117647058823529, 'convention kind i a provision resource persons organization seminars')","(0.3626373626373627, 'to request secretariat continue developing training programmes including curricula national')","(0.33333333333333337, 'national authorities organizing national regional training activities implementation basel convention collaboration unep international organizations far possible within')","(0.32413793103448274, 'regional centres training technology transfer presently established basel convention also request secretariat continue promoting public awareness')","(0.38095238095238093, 'contribute technical cooperation trust fund assist developing countries parties implementation basel convention invite parties')","(0.37037037037037035, 'parties implementation basel convention invite parties')","(0.3113207547169812, 'basel convention collaboration unep international organizations far possible within framework regional sub')","(0.33333333333333337, 'seminars organized secretariat basel convention kind i a provision resource')"
"Sep 19, 2016 Dicofol","(0.35365853658536583, 'convention paragraph annex decision sc conference parties establish intersessional')","(0.28260869565217395, 'analysis possible control measures dicofol accordance annex f convention invites accordance paragraph article convention parties observers')","(0.4473684210526315, 'convention also completed risk profile')","(0.30434782608695654, 'paragraph article convention dicofol likely result longrange environmental transport lead significant adverse human')","(0.35526315789473684, 'convention invites accordance paragraph article convention parties observers')","(0.3282442748091603, 'decision sc conference parties establish intersessional working group prepare risk management evaluation includes analysis possible')","(0.4137931034482759, 'group prepare risk management')","(0.3623188405797102, 'decides accordance paragraph article convention dicofol likely result')","(0.3571428571428571, 'poprc proposal meets criteria set annex convention also completed risk')","(0.4242424242424242, 'or c stockholm convention decided')","(0.5094339622641509, 'c stockholm convention decided tenth meeting decision')","(0.3482142857142857, 'set annex convention also completed risk profile dicofol accordance paragraph article convention adopts risk')","(0.2790697674418605, 'pollutants review committee completed evaluation proposal european union list dicofol annexes a b and or c')","(0.3214285714285714, 'annex f convention invites accordance paragraph article convention parties observers')","(0.28787878787878785, 'annex f convention invites accordance paragraph article convention')","(0.3833333333333333, 'b and or c stockholm convention decided tenth')","(0.32835820895522383, 'or c stockholm convention decided tenth meeting decision')","(0.30645161290322576, 'control measures dicofol accordance annex f convention invites')","(0.4035087719298246, 'article convention paragraph annex decision sc conference')","(0.308641975308642, 'intersessional working group prepare risk management evaluation includes analysis')","(0.368421052631579, 'convention invites accordance paragraph article convention parties observers submit secretariat')","(0.4, 'f convention invites accordance paragraph article convention')","(0.31034482758620685, 'proposal european union list dicofol annexes a b and or c stockholm convention decided tenth')","(0.28695652173913044, 'or c stockholm convention decided tenth meeting decision poprc proposal meets criteria set annex')","(0.30000000000000004, 'or c stockholm convention decided tenth meeting decision poprc proposal')","(0.3733333333333333, 'convention also completed risk profile dicofol accordance paragraph article')","(0.4285714285714286, 'convention dicofol likely result longrange environmental transport lead significant adverse')","(0.33333333333333337, 'list dicofol annexes a b and or c stockholm convention decided tenth meeting decision poprc proposal meets')","(0.3472222222222222, 'profile dicofol decides accordance paragraph article convention dicofol likely result longrange environmental transport lead significant adverse')","(0.35, 'convention paragraph annex decision sc conference parties establish intersessional working group prepare risk management')","(0.37037037037037035, 'committee completed evaluation proposal european union')","(0.29729729729729726, 'accordance paragraph article convention paragraph annex decision sc conference parties establish intersessional')","(0.3142857142857143, 'poprc proposal meets criteria set annex convention also completed risk')"
"Sep 19, 2016 Decabromodiphenyl ether commercial mixture, cdecaBDE","(0.33333333333333337, 'convention recommend conference parties consider listing decabromodiphenyl ether bde')","(0.27419354838709675, 'wiring etc speed sensors hoses fan modules knock sensors fuel system applications fuel hoses fuel tanks')","(0.38636363636363635, 'interconnection wire mobile air conditioning')","(0.3508771929824561, 'decabde annex convention specific exemptions critical spare parts defined automotive aerospace industries assessed')","(0.41428571428571426, 'convention specific exemptions critical spare parts defined automotive')","(0.3046875, 'article convention recommend conference parties consider listing decabromodiphenyl ether bde c decabde annex convention specific')","(0.4285714285714286, 'fabrics only airbag relevant')","(0.35526315789473684, 'decides accordance paragraph article convention recommend conference parties')","(0.31034482758620685, 'body pyrotechnical devices applications affected pyrotechnical devices air bag ignition')","(0.4285714285714286, 'c decabde annex convention specific')","(0.5862068965517242, 'commercial mixture c decabde persistent organic pollutants')","(0.3025210084033614, 'article convention recommend conference parties consider listing decabromodiphenyl ether bde c decabde annex convention')","(0.32191780821917804, 'decabde annex convention specific exemptions critical spare parts defined automotive aerospace industries assessed information provided accordance')","(0.2808988764044944, 'review committee recalling decision poprc recommended conference parties consider listing')","(0.3384615384615385, 'decabde annex convention specific exemptions critical spare parts')","(0.3026315789473685, 'decides accordance paragraph article convention recommend conference parties')","(0.31343283582089554, 'industry production use c decabde limited parts use')","(0.31818181818181823, 'countries notes increasing waste burden developing countries older')","(0.421875, 'decabde annex convention specific exemptions automotive industry')","(0.3013698630136986, 'interconnection wire mobile air conditioning mac pipe powertrains exhaust')","(0.34065934065934067, 'convention specific exemptions critical spare parts defined automotive aerospace industries')","(0.41538461538461535, 'convention specific exemptions automotive industry production use')","(0.30952380952380953, 'concludes apparent need exemption textile production small medium size enterprises developing countries notes increasing waste')","(0.32173913043478264, 'sensors hoses fan modules knock sensors fuel system applications fuel hoses fuel tanks fuel')","(0.275, 'hood engine wiring etc speed sensors hoses fan modules knock')","(0.38095238095238093, 'convention recommend conference parties consider listing decabromodiphenyl ether bde')","(0.3529411764705882, 'exemption textile production small medium size enterprises developing countries notes')","(0.2987804878048781, 'decabromodiphenyl ether commercial mixture c decabde decides accordance paragraph article convention recommend conference parties consider listing decabromodiphenyl')","(0.27692307692307694, 'use c decabde limited parts use legacy vehicles defined vehicles ceased mass production parts falling one')","(0.33613445378151263, 'article convention recommend conference parties consider listing decabromodiphenyl ether bde c decabde annex convention')","(0.3529411764705882, 'front side concludes information aerospace industry')","(0.2680412371134021, 'hood insulation wiring harness hood engine wiring etc speed sensors hoses fan')","(0.3294117647058824, 'exemption textile production small medium size enterprises developing countries notes')"
"Sep 19, 2016 Hexachlorobutadiene","(0.2911392405063291, 'monomer notes nonetheless concerns regarding cost benefit implications measures')","(0.30952380952380953, 'inf rev unintentional releases hexachlorobutadiene production certain chlorinated hydrocarbons production magnesium incineration processes production polyvinyl chloride')","(0.3902439024390244, 'convention concludes noted documents unep')","(0.31304347826086953, 'c make recommendation conference parties listing hexachlorobutadiene annex c consideration eighth meeting evaluated')","(0.3614457831325302, 'recommendation conference parties listing hexachlorobutadiene annex c consideration')","(0.2977099236641222, 'c make recommendation conference parties listing hexachlorobutadiene annex c consideration eighth meeting evaluated new information')","(0.3055555555555556, 'parties requested committee evaluate')","(0.3650793650793651, 'listed chemical annex convention concludes noted documents unep')","(0.33333333333333337, 'parties therefore listed chemical annex convention concludes noted documents unep')","(0.4390243902439024, 'chemical annex convention concludes noted')","(0.5217391304347826, 'demonstrates characteristics persistent organic pollutant decision sc')","(0.3035714285714286, 'convention concludes noted documents unep pops poprc add unep pops poprc inf rev unintentional')","(0.3214285714285714, 'inf rev unintentional releases hexachlorobutadiene production certain chlorinated hydrocarbons production magnesium incineration processes production polyvinyl chloride')","(0.41891891891891897, 'annex convention concludes noted documents unep pops poprc add unep')","(0.30487804878048785, 'magnesium incineration processes production polyvinyl chloride ethylene dichloride')","(0.31958762886597936, 'hexachlorobutadiene production certain chlorinated hydrocarbons production magnesium incineration')","(0.3431372549019608, 'evaluated new information unintentional production hexachlorobutadiene recognizing hexachlorobutadiene')","(0.3026315789473685, 'sc conference parties requested committee evaluate hexachlorobutadiene basis')","(0.375, 'chemical annex convention concludes noted documents unep')","(0.3466666666666667, 'information relation listing annex c make recommendation conference parties')","(0.3176470588235294, 'benefit implications measures address releases referred preceding paragraph unep pops')","(0.4177215189873418, 'chlorinated hydrocarbons production magnesium incineration processes production')","(0.3142857142857143, 'unintentional production hexachlorobutadiene recognizing hexachlorobutadiene demonstrates characteristics persistent organic pollutant decision sc conference parties therefore')","(0.3312101910828026, 'hexachlorobutadiene production certain chlorinated hydrocarbons production magnesium incineration processes production polyvinyl chloride ethylene dichloride')","(0.30188679245283023, 'hydrocarbons production magnesium incineration processes production polyvinyl chloride ethylene dichloride')","(0.33333333333333337, 'note decision sc conference parties requested committee evaluate hexachlorobutadiene')","(0.3267326732673267, 'c consideration eighth meeting evaluated new information unintentional production hexachlorobutadiene')","(0.3222222222222222, 'hexachlorobutadiene production certain chlorinated hydrocarbons production magnesium incineration processes production polyvinyl chloride ethylene dichloride vinyl chloride monomer')","(0.30386740331491713, 'c consideration eighth meeting evaluated new information unintentional production hexachlorobutadiene recognizing hexachlorobutadiene demonstrates characteristics persistent organic')","(0.3372781065088757, 'evaluated new information unintentional production hexachlorobutadiene recognizing hexachlorobutadiene demonstrates characteristics persistent organic pollutant decision')","(0.3913043478260869, 'annex c make recommendation conference parties')","(0.30000000000000004, 'evaluated new information unintentional production hexachlorobutadiene recognizing hexachlorobutadiene demonstrates characteristics persistent organic')","(0.3584905660377359, 'hydrocarbons production magnesium incineration processes production polyvinyl chloride ethylene dichloride')"
"Sep 19, 2016 Shortchain chlorinated paraffins","(0.3375, 'convention recommend conference parties consider listing short chain chlorinated')","(0.29166666666666663, 'paragraph article convention recommend conference parties consider listing short chain chlorinated paraffins annex convention including controls')","(0.43181818181818177, 'convention including controls limit presence')","(0.3162393162393162, 'management evaluation short chain chlorinated paraffins accordance paragraph article stockholm convention adopts risk')","(0.3529411764705882, 'convention recommend conference parties consider listing short chain')","(0.3282442748091603, 'annex convention including controls limit presence short chain chlorinated paraffins chlorinated paraffin mixtures without specific')","(0.33333333333333337, 'paraffins meet criteria set')","(0.4032258064516129, 'criteria set annex stockholm convention evaluated risk profile')","(0.34523809523809523, 'short chain chlorinated paraffins annex convention including controls limit presence')","(0.3902439024390244, 'annex stockholm convention evaluated risk')","(0.6190476190476191, 'short chain chlorinated paraffins persistent organic pollutants')","(0.32799999999999996, 'stockholm convention adopts risk management evaluation short chain chlorinated paraffins decides accordance paragraph article')","(0.3055555555555556, 'paragraph article convention recommend conference parties consider listing short chain chlorinated paraffins annex convention including controls')","(0.30952380952380953, 'annex convention including controls limit presence short chain chlorinated paraffins')","(0.32432432432432434, 'management evaluation short chain chlorinated paraffins decides accordance')","(0.3472222222222222, 'paragraph article stockholm convention adopts risk management evaluation')","(0.35820895522388063, 'stockholm convention adopts risk management evaluation short chain')","(0.295774647887324, 'environmental effects global action warranted completed risk management')","(0.39622641509433965, 'article convention decided decision poprc short chain')","(0.2941176470588235, 'decides accordance paragraph article convention recommend conference parties consider')","(0.3214285714285714, 'annex convention including controls limit presence short chain chlorinated paraffins')","(0.4107142857142857, 'convention adopts risk management evaluation short chain')","(0.32352941176470584, 'stockholm convention adopts risk management evaluation short chain chlorinated paraffins decides accordance paragraph article convention')","(0.28800000000000003, 'stockholm convention adopts risk management evaluation short chain chlorinated paraffins decides accordance paragraph article')","(0.275, 'result long range environmental transport lead significant adverse human health')","(0.4, 'convention recommend conference parties consider listing short chain chlorinated')","(0.3555555555555555, 'convention recommend conference parties consider listing short chain chlorinated paraffins')","(0.3262411347517731, 'article convention decided decision poprc short chain chlorinated paraffins likely result long range environmental transport lead significant')","(0.30201342281879195, 'chlorinated paraffins decides accordance paragraph article convention recommend conference parties consider listing short chain chlorinated paraffins')","(0.3252032520325203, 'range environmental transport lead significant adverse human health environmental effects global action warranted completed')","(0.3508771929824561, 'paragraph article convention recommend conference parties')","(0.31775700934579443, 'stockholm convention adopts risk management evaluation short chain chlorinated paraffins decides accordance')","(0.34090909090909094, 'stockholm convention adopts risk management evaluation short chain chlorinated paraffins')"
