,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jun 28, 2015 The Monumental Ensemble of Txc3xa2rgu Jiu, Romania","(0.2465753424657534, 'nomination monumental ensemble t jiu romania withdrawn request state')","(0, '')","(0.3055555555555556, 'nomination monumental ensemble t jiu')","(0, '')","(0.33870967741935487, 'nomination monumental ensemble t jiu romania withdrawn request')","(0, '')","(0.28125, 'nomination monumental ensemble t')","(0.25806451612903225, 'nomination monumental ensemble t jiu romania withdrawn request')","(0, '')","(0.36111111111111116, 'nomination monumental ensemble t jiu')","(0.2777777777777778, 'nomination monumental ensemble t jiu romania withdrawn')","(0, '')","(0, '')","(0, '')","(0.20967741935483875, 'nomination monumental ensemble t jiu romania withdrawn request')","(0.14516129032258063, 'nomination monumental ensemble t jiu romania withdrawn request')","(0.17910447761194026, 'nomination monumental ensemble t jiu romania withdrawn request')","(0.19354838709677424, 'nomination monumental ensemble t jiu romania withdrawn request')","(0.2962962962962963, 'nomination monumental ensemble t jiu romania withdrawn')","(0.27941176470588236, 'nomination monumental ensemble t jiu romania withdrawn request state')","(0, '')","(0.2592592592592593, 'nomination monumental ensemble t jiu romania withdrawn')","(0, '')","(0, '')","(0, '')","(0.2941176470588235, 'nomination monumental ensemble t jiu romania withdrawn request state')","(0, '')","(0, '')","(0, '')","(0, '')","(0.2790697674418605, 'monumental ensemble t jiu romania withdrawn')","(0, '')","(0, '')"
"Jun 28, 2015 Thimlich Ohinga Cultural Landscape, Kenya","(0.3296703296703297, 'preparation proposal revised nomination accordance recommendations world heritage committee')","(0.2857142857142857, 'zone n conducting archaeological research around nominated property substantiate site interpretations well determine extent archaeological evidence')","(0.4473684210526315, 'consideration following n n increasing')","(0.33999999999999997, 'providing maintenance conservation practices ensure continued stability walls n n n recommends state')","(0.4025974025974026, 'providing maintenance conservation practices ensure continued stability walls')","(0.2846153846153846, 'buffer zone n conducting archaeological research around nominated property substantiate site interpretations well determine extent')","(0.4642857142857143, 'place formal agreements land')","(0.36363636363636365, 'revised nomination accordance recommendations world heritage committee within')","(0.37755102040816324, 'preparation proposal revised nomination accordance recommendations world heritage committee within')","(0.37254901960784315, 'providing maintenance conservation practices ensure')","(0.34328358208955223, 'maintenance conservation practices ensure continued stability walls')","(0.2857142857142857, 'new nomination would need include augmented comparative analysis n also considers new nomination would')","(0.2925170068027211, 'consider inviting icomos work preparation proposal revised nomination accordance recommendations world heritage committee within framework upstream')","(0.31081081081081086, 'following n n increasing boundary property include plot south east')","(0.35064935064935066, 'providing maintenance conservation practices ensure continued stability walls')","(0.33333333333333337, 'state party give consideration following n n increasing')","(0.33333333333333337, 'icomos work preparation proposal revised nomination accordance recommendations')","(0.3648648648648649, 'nominated property substantiate site interpretations well determine extent')","(0.3921568627450981, 'owners also provide legal protection includes clear')","(0.3125, 'interpretations well determine extent archaeological evidence wider settlement n')","(0.32291666666666663, 'revised nomination accordance recommendations world heritage committee within framework upstream')","(0.3833333333333333, 'provide legal protection includes clear management permitted')","(0.30434782608695654, 'inviting icomos work preparation proposal revised nomination accordance recommendations world heritage committee within framework upstream')","(0.27826086956521734, 'also considers new nomination would need considered expert mission site n recommends state party')","(0.30000000000000004, 'n increasing boundary property include plot south east well buffer')","(0.34285714285714286, 'also provide legal protection includes clear management permitted uses')","(0.3258426966292135, 'interpretations well determine extent archaeological evidence wider settlement n defining')","(0.3037037037037037, 'putting place formal agreements land owners also provide legal protection includes clear management permitted uses buffer zone')","(0.28873239436619713, 'research around nominated property substantiate site interpretations well determine extent archaeological evidence wider settlement n defining')","(0.32558139534883723, 'inviting icomos work preparation proposal revised nomination accordance recommendations world heritage committee within framework')","(0.41463414634146345, 'agreements land owners also provide legal')","(0.31958762886597936, 'consideration following n n increasing boundary property include plot south east well')","(0.3380281690140845, 'legal protection includes clear management permitted uses buffer zone n')"
"Jun 28, 2015 Tentative Lists submitted by States Parties as of 15 April 2015, in conformity with the Operational Guidelines","(0.34246575342465757, 'document whc com n stressing importance process revision updating')","(0.25, 'n examined document whc com n stressing importance process revision updating tentative lists tool regional harmonisation')","(0.32558139534883723, 'tentative lists tool regional harmonisation')","(0.30208333333333337, 'regional harmonisation world heritage list long term planning development n takes note tentative')","(0.28985507246376807, 'process revision updating tentative lists tool regional harmonisation')","(0.2589285714285714, 'regional harmonisation world heritage list long term planning development n takes note tentative lists presented')","(0.33333333333333337, 'term planning development n')","(0.32835820895522383, 'updating tentative lists tool regional harmonisation world heritage')","(0.30952380952380953, 'process revision updating tentative lists tool regional harmonisation world heritage')","(0.30952380952380953, 'tool regional harmonisation world heritage')","(0.27419354838709675, 'stressing importance process revision updating tentative lists')","(0.2589285714285714, 'n n examined document whc com n stressing importance process revision updating tentative lists')","(0.2790697674418605, 'world heritage committee n n examined document whc com n stressing importance process revision updating tentative')","(0.2567567567567568, 'list long term planning development n takes note tentative lists')","(0.26865671641791045, 'stressing importance process revision updating tentative lists tool')","(0.28358208955223885, 'updating tentative lists tool regional harmonisation world heritage')","(0.34328358208955223, 'world heritage list long term planning development n')","(0.2622950819672131, 'regional harmonisation world heritage list long term planning')","(0.32692307692307687, 'regional harmonisation world heritage list long term')","(0.2622950819672131, 'list long term planning development n takes note tentative')","(0.2666666666666667, 'stressing importance process revision updating tentative lists tool regional harmonisation')","(0.3076923076923077, 'regional harmonisation world heritage list long term')","(0.24137931034482762, 'world heritage committee n n examined document whc com n stressing importance process revision updating')","(0.29565217391304344, 'process revision updating tentative lists tool regional harmonisation world heritage list long term planning')","(0.30000000000000004, 'term planning development n takes note tentative lists presented annexes')","(0.29166666666666663, 'updating tentative lists tool regional harmonisation world heritage list')","(0.31999999999999995, 'list long term planning development n takes note tentative lists')","(0.3037037037037037, 'lists tool regional harmonisation world heritage list long term planning development n takes note tentative lists presented')","(0.30000000000000004, 'lists tool regional harmonisation world heritage list long term planning development n takes note tentative lists')","(0.2844036697247706, 'document whc com n stressing importance process revision updating tentative lists tool regional harmonisation')","(0.3035714285714286, 'stressing importance process revision updating tentative')","(0.2680412371134021, 'process revision updating tentative lists tool regional harmonisation world heritage list long')","(0.31999999999999995, 'regional harmonisation world heritage list long term planning development n')"
"Jun 28, 2015 Tropical Rainforest Heritage of Sumatra Indonesia N 1167","(0.3287671232876712, 'doha n n n welcomes confirmation state party mining')","(0.27586206896551724, 'property implementation above including clear scientific data demonstrate progress meeting indicators desired state conservation removal property')","(0.36363636363636365, 'concessions exploration permits exist within')","(0.36448598130841126, 'n welcomes confirmation state party mining concessions exploration permits exist within property geothermal')","(0.375, 'enforcement forest cover population trends key species including')","(0.2870370370370371, 'com submit completed sea world heritage centre february review iucn n n n requests state')","(0.36, 'poaching encroachment n n')","(0.3472222222222222, 'welcomes confirmation state party mining concessions exploration permits')","(0.3157894736842105, 'dsocr particular relation law enforcement forest cover population trends key')","(0.39534883720930236, 'desired state conservation removal property')","(0.3484848484848485, 'summary state conservation property implementation above including')","(0.3046875, 'state conservation property implementation above including clear scientific data demonstrate progress meeting indicators desired')","(0.303448275862069, 'property implementation above including clear scientific data demonstrate progress meeting indicators desired state conservation removal property')","(0.3052631578947368, 'expedite implementation strategic environmental assessment sea requested committee decision com')","(0.36111111111111116, 'welcomes confirmation state party mining concessions exploration permits')","(0.31999999999999995, 'state conservation property implementation above including clear scientific')","(0.3880597014925373, 'n also notes appreciation new road development occurred')","(0.33333333333333337, 'potential impacts outstanding universal value ouv property line')","(0.390625, 'state conservation property implementation above including clear')","(0.33333333333333337, 'dsocr particular relation law enforcement forest cover population trends')","(0.34782608695652173, 'state conservation property implementation above including clear scientific data demonstrate')","(0.3913043478260869, 'conservation property implementation above including clear scientific')","(0.3191489361702128, 'evacuation improving connectivity areas surrounding property urges state party expedite implementation strategic environmental assessment sea')","(0.32173913043478264, 'advice note environmental assessment n n n notes appreciation closure illegal small scale gold')","(0.32499999999999996, 'illegal gold mines within property rehabilitation affected areas n n')","(0.390625, 'session n n n decides retain tropical rainforest heritage')","(0.37349397590361444, 'assessment eia license development geothermal energy adjacent bukit barisan selatan')","(0.3111111111111111, 'property rehabilitation affected areas n n n also notes appreciation new road development occurred within property noting')","(0.32307692307692304, 'state conservation removal property list world heritage danger dsocr particular relation law enforcement forest cover population')","(0.3515625, 'state conservation property implementation above including clear scientific data demonstrate progress meeting indicators desired')","(0.47916666666666663, 'desired state conservation removal property list')","(0.31958762886597936, 'property rehabilitation affected areas n n n also notes appreciation new road')","(0.32098765432098764, 'geothermal energy adjacent bukit barisan selatan national park include assessment')"
"Jun 28, 2015 Tipasa Algeria C 193","(0.28767123287671237, 'line icomos guidance heritage impact assessments cultural world heritage')","(0.25806451612903225, 'n examined document whc com n recalling decision com adopted session phnom penh n takes note')","(0.3191489361702128, 'implementation above examination world heritage')","(0.3047619047619048, 'enhancement tipasa port property line icomos guidance heritage impact assessments cultural world heritage')","(0.3513513513513513, 'summary state conservation property implementation above examination world')","(0.2706766917293233, 'updated report including page executive summary state conservation property implementation above examination world heritage committee')","(0.3548387096774194, 'party submit updated management')","(0.32258064516129037, 'enhancement tipasa port property line icomos guidance heritage')","(0.33333333333333337, 'impact proposed enhancement tipasa port property line icomos guidance heritage')","(0.37777777777777777, 'executive summary state conservation property')","(0.32352941176470584, 'summary state conservation property implementation above examination')","(0.2857142857142857, 'heritage properties work commences n encourages state party organize due time joint world heritage')","(0.2790697674418605, 'n examined document whc com n recalling decision com adopted session phnom penh n takes note')","(0.27956989247311825, 'summary state conservation property implementation above examination world heritage committee')","(0.3513513513513513, 'summary state conservation property implementation above examination world')","(0.30379746835443033, 'conservation property implementation above examination world heritage committee')","(0.3287671232876712, 'implementation plan protection enhancement property protected area assess')","(0.3188405797101449, 'made implementing plan protection enhancement property protected area')","(0.39682539682539686, 'progress made implementing plan protection enhancement property')","(0.31707317073170727, 'implementation plan protection enhancement property protected area assess proposed')","(0.3146067415730337, 'assess progress implementation plan protection enhancement property protected area assess')","(0.3793103448275862, 'note continuing progress made implementing plan protection')","(0.31404958677685946, 'takes note continuing progress made implementing plan protection enhancement property protected area n reiterates request')","(0.30434782608695654, 'property protected area n reiterates request state party submit world heritage centre assessment impact')","(0.38372093023255816, 'protection enhancement property protected area assess proposed enhancement tipasa port')","(0.4027777777777778, 'line icomos guidance heritage impact assessments cultural world heritage')","(0.35106382978723405, 'implementation plan protection enhancement property protected area assess proposed enhancement')","(0.3111111111111111, 'penh n takes note continuing progress made implementing plan protection enhancement property protected area n reiterates request')","(0.3384615384615385, 'penh n takes note continuing progress made implementing plan protection enhancement property protected area n reiterates')","(0.3306451612903226, 'progress implementation plan protection enhancement property protected area assess proposed enhancement tipasa port detailed')","(0.4107142857142857, 'summary state conservation property implementation above')","(0.30000000000000004, 'progress implementation plan protection enhancement property protected area assess proposed enhancement tipasa')","(0.34408602150537637, 'proposes report assess progress implementation plan protection enhancement property protected')"
"Jun 28, 2015 The Sundarbans Bangladesh N 798","(0.2823529411764706, 'state conservation property implementation above examination world heritage committee')","(0.26771653543307083, 'party invite joint world heritage centre iucn reactive monitoring mission property review state conservation property potential')","(0.4, 'sea n regrets ecological monitoring')","(0.32291666666666663, 'assessment potential impacts ouv n also requests state party provide details mitigation measures')","(0.37681159420289856, 'property review state conservation property potential impacts thermal')","(0.27692307692307694, 'reactive monitoring mission property review state conservation property potential impacts thermal power plant development dredging')","(0.3913043478260869, 'pashur river n requests')","(0.39655172413793105, 'heritage centre review iucn ensuring impact climate change')","(0.3285714285714286, 'delay world heritage centre review iucn ensuring impact climate change')","(0.3846153846153846, 'spill aquatic environment take measures')","(0.32352941176470584, 'summary state conservation property implementation above examination')","(0.2767857142857143, 'n n examined document whc com n recalling decision com adopted session doha n')","(0.31007751937984496, 'n examined document whc com n recalling decision com adopted session doha n notes environmental impact')","(0.28421052631578947, 'undertake comprehensive strategic environmental assessment sea order assess indirect cumulative')","(0.33333333333333337, 'state conservation property implementation above examination world heritage')","(0.29333333333333333, 'state conservation property implementation above examination world heritage')","(0.36764705882352944, 'increases river navigation related power plant developments upstream')","(0.33333333333333337, 'monitoring data property requested committee decision com provided')","(0.4, 'review state conservation property potential impacts thermal')","(0.31999999999999995, 'navigation related power plant developments upstream n requests furthermore')","(0.2857142857142857, 'review iucn ensuring impact climate change ouv documented initially requested')","(0.38983050847457623, 'conservation property potential impacts thermal power plant')","(0.29059829059829057, 'property review state conservation property potential impacts thermal power plant development dredging pashur river n')","(0.28695652173913044, 'provide details mitigation measures taken power plant project fully consider findings sea n regrets')","(0.35, 'project fully consider findings sea n regrets ecological monitoring data')","(0.3647058823529412, 'state conservation property implementation above examination world heritage committee')","(0.3466666666666667, 'com adopted session doha n notes environmental impact assessment eia')","(0.2962962962962963, 'com n recalling decision com adopted session doha n notes environmental impact assessment eia dredging pashur river')","(0.30000000000000004, 'com n recalling decision com adopted session doha n notes environmental impact assessment eia dredging pashur')","(0.3418803418803419, 'potential impacts ouv accordance iucn world heritage advice note environmental assessment ensure activities conducted')","(0.46153846153846156, 'review state conservation property potential impacts')","(0.27835051546391754, 'centre review iucn ensuring impact climate change ouv documented initially requested decision')","(0.3375, 'property potential impacts thermal power plant development dredging pashur river')"
"Jun 28, 2015 Tomb of the Askia Mali C 1139","(0.2987012987012987, 'support outstanding universal value ouv authenticity integrity world heritage')","(0.27419354838709675, 'urgent actions property n n n requests state party situation northern region mali stable invite joint')","(0.375, 'conservation work encourages state party')","(0.3448275862068966, 'repair conservation work encourages state party undertake analyses priority basis n n n')","(0.4126984126984127, 'desired state conservation removal property list world heritage')","(0.2685185185185185, 'repair conservation work encourages state party undertake analyses priority basis n n n also reiterates')","(0.33333333333333337, 'basis n n n')","(0.36, 'urgent actions property n n n requests state')","(0.3076923076923077, 'priority among urgent actions property n n n requests state')","(0.39534883720930236, 'desired state conservation removal property')","(0.32352941176470584, 'summary state conservation property implementation above examination')","(0.3482142857142857, 'continue application reinforced monitoring mechanism property n n n also decides retain tomb askia')","(0.32558139534883723, 'n n n decides continue application reinforced monitoring mechanism property n n n also decides retain')","(0.30107526881720426, 'state conservation property implementation above examination world heritage committee session')","(0.38095238095238093, 'desired state conservation removal property list world heritage')","(0.29333333333333333, 'state conservation property implementation above examination world heritage')","(0.36, 'state conservation property implementation above examination world heritage')","(0.32258064516129037, 'conservation removal property list world heritage danger dsocr')","(0.36764705882352944, 'summary state conservation property implementation above examination')","(0.3176470588235294, 'state conservation property implementation above examination world heritage committee')","(0.33333333333333337, 'property list world heritage danger dsocr n n n also')","(0.3835616438356164, 'conservation property progress achieved rehabilitation develop corrective')","(0.31034482758620685, 'monitoring mechanism property n n n also decides retain tomb askia mali list world heritage')","(0.31304347826086953, 'actions property n n n requests state party situation northern region mali stable invite')","(0.32499999999999996, 'reinforced monitoring mechanism property n n n also decides retain')","(0.3647058823529412, 'state conservation property implementation above examination world heritage committee')","(0.3655913978494624, 'state conservation property implementation above examination world heritage committee session')","(0.3012820512820513, 'monitoring mission evaluate general state conservation property progress achieved rehabilitation develop corrective measures well desired state conservation')","(0.32307692307692304, 'committee property priority among urgent actions property n n n requests state party situation northern region')","(0.35114503816793896, 'conservation property progress achieved rehabilitation develop corrective measures well desired state conservation removal property')","(0.47916666666666663, 'desired state conservation removal property list')","(0.2989690721649485, 'heritage property n n n reiterates continuing need prepare detailed in depth')","(0.30952380952380953, 'unesco icomos iccrom reactive monitoring mission evaluate general state conservation')"
"Jun 28, 2015 Tombs of Buganda Kings at Kasubi Uganda C 1022","(0.3375, 'facilities restaurants integrated master plan completed submitted world heritage')","(0.25806451612903225, 'world heritage committee n n examined document whc com add n recalling decision com adopted session')","(0.36363636363636365, 'developments within property could adversely')","(0.3423423423423423, 'summary state conservation property implementation above examination world heritage committee session n decides')","(0.3835616438356164, 'timelines provided state conservation report reconstruction muzibu azaala')","(0.2954545454545454, 'structure property particular ensure safeguarding ouv property overarching principle management decisions submit plan world heritage')","(0.4285714285714286, 'party revise management plan')","(0.36764705882352944, 'state conservation report reconstruction muzibu azaala mpanga overly')","(0.3448275862068966, 'timelines provided state conservation report reconstruction muzibu azaala mpanga overly')","(0.37777777777777777, 'executive summary state conservation property')","(0.32352941176470584, 'summary state conservation property implementation above examination')","(0.28787878787878785, 'system alterations entrance implementation visitor route development tourism facilities restaurants integrated master plan completed')","(0.2945736434108527, 'com add n recalling decision com adopted session doha n notes progress made reconstruction muzibu azaala')","(0.29292929292929293, 'system alterations entrance implementation visitor route development tourism facilities restaurants')","(0.3513513513513513, 'summary state conservation property implementation above examination world')","(0.30379746835443033, 'conservation property implementation above examination world heritage committee')","(0.381578947368421, 'system alterations entrance implementation visitor route development tourism')","(0.3125, 'installation fire protection system requests state party provide')","(0.4285714285714286, 'provided state conservation report reconstruction muzibu azaala')","(0.3380281690140845, 'integrated master plan completed submitted world heritage centre review')","(0.32183908045977017, 'facilities restaurants integrated master plan completed submitted world heritage centre')","(0.4029850746268657, 'concern timelines provided state conservation report reconstruction')","(0.31034482758620685, 'document whc com add n recalling decision com adopted session doha n notes progress made')","(0.2936507936507936, 'including page executive summary state conservation property implementation above examination world heritage committee session')","(0.30000000000000004, 'road may encroach one edge property requests state party ensure')","(0.3855421686746988, 'summary state conservation property implementation above examination world heritage')","(0.3820224719101124, 'conservation property implementation above examination world heritage committee session n')","(0.30666666666666664, 'february updated report including page executive summary state conservation property implementation above examination world heritage committee session')","(0.30000000000000004, 'protection system requests state party provide revised realistic reconstruction project timeline clearly defined benchmarks n also')","(0.3560606060606061, 'system alterations entrance implementation visitor route development tourism facilities restaurants integrated master plan completed')","(0.4107142857142857, 'summary state conservation property implementation above')","(0.30927835051546393, 'property n also requests state party to n n halt work provision')","(0.3292682926829268, 'installation fire protection system requests state party provide revised realistic')"
"Jun 28, 2015 Van Nellefabriek Netherlands C 1441","(0.33333333333333337, 'recommendations time inscription complete new municipal urban development plan')","(0.25806451612903225, 'n examined document whc com n recalling decision com adopted session doha n commends state party')","(0.32432432432432434, 'buffer zone conserve visual integrity')","(0.30000000000000004, 'state party actions undertaken response world heritage committee recommendations time inscription complete new')","(0.3287671232876712, 'recommendations time inscription complete new municipal urban development')","(0.2833333333333333, 'development plan property whole buffer zone conserve visual integrity property set management committee property confirm')","(0.31034482758620685, 'provide world heritage centre')","(0.359375, 'state party actions undertaken response world heritage committee')","(0.3176470588235294, 'state party actions undertaken response world heritage committee recommendations time')","(0.37777777777777777, 'executive summary state conservation property')","(0.30000000000000004, 'state party finalize soon possible municipal urban')","(0.3076923076923077, 'property set management committee property confirm threat property transport hazardous materials vicinity submit plan')","(0.31007751937984496, 'n examined document whc com n recalling decision com adopted session doha n commends state party')","(0.3586956521739131, 'management committee property confirm threat property transport hazardous materials vicinity')","(0.31506849315068497, 'management committee property confirm threat property transport hazardous')","(0.33333333333333337, 'plan property whole buffer zone conserve visual integrity')","(0.32835820895522383, 'finalize soon possible municipal urban development plan property')","(0.3035714285714286, 'party provide world heritage centre plans project review')","(0.3695652173913043, 'doha n commends state party actions undertaken')","(0.29230769230769227, 'n commends state party actions undertaken response world heritage')","(0.32183908045977017, 'recommendations time inscription complete new municipal urban development plan property')","(0.38888888888888884, 'commends state party actions undertaken response world')","(0.27586206896551724, 'document whc com n recalling decision com adopted session doha n commends state party actions')","(0.29166666666666663, 'state party actions undertaken response world heritage committee recommendations time inscription complete new municipal')","(0.28915662650602414, 'property confirm threat property transport hazardous materials vicinity submit plan')","(0.3125, 'advisory bodies n requests state party submit world heritage')","(0.31645569620253167, 'possible municipal urban development plan property submit world heritage centre')","(0.2962962962962963, 'com n recalling decision com adopted session doha n commends state party actions undertaken response world heritage')","(0.30000000000000004, 'property also requests state party provide world heritage centre plans project review advisory bodies n requests')","(0.319672131147541, 'conserve visual integrity property set management committee property confirm threat property transport hazardous materials')","(0.4, 'page executive summary state conservation property')","(0.32380952380952377, 'property set management committee property confirm threat property transport hazardous materials vicinity')","(0.29166666666666663, 'party provide world heritage centre plans project review advisory bodies')"
"Jun 28, 2015 The Naumburg Cathedral and the Landscape of the Rivers Saale and Unstrut xe2x80x93 Territories of Power in the High Midd","(0.3013698630136986, 'com inf n defers examination nomination naumburg cathedral landscape')","(0.282258064516129, 'high middle ages germany world heritage list order allow state party to n n explore relationship')","(0.3392857142857143, 'recommendations significantly revised nomination require')","(0.3076923076923077, 'n defers examination nomination naumburg cathedral landscape rivers saale unstrut territories power high')","(0.375, 'examination nomination naumburg cathedral landscape rivers saale unstrut')","(0.26956521739130435, 'urban organization period high middle ages significance related monuments n redefine boundaries site taking account')","(0.3571428571428571, 'submit basis above mentioned')","(0.33999999999999997, 'nomination require expert mission site n n n')","(0.3522727272727273, 'adequate protection n submit basis above mentioned recommendations significantly revised')","(0.34285714285714286, 'taking account concerns put forward')","(0.29166666666666663, 'strengthen representativeness territorial urban organization period high')","(0.2892561983471075, 'icomos ensure adequate protection n submit basis above mentioned recommendations significantly revised nomination require')","(0.26356589147286824, 'world heritage committee n n examined documents whc com whc com inf n defers examination nomination')","(0.32258064516129037, 'basis above mentioned recommendations significantly revised nomination require expert mission')","(0.34615384615384615, 'basis above mentioned recommendations significantly revised nomination require')","(0.28767123287671237, 'representativeness territorial urban organization period high middle ages')","(0.3205128205128205, 'basis above mentioned recommendations significantly revised nomination require')","(0.33333333333333337, 'adequate protection n submit basis above mentioned recommendations')","(0.35416666666666663, 'icomos ensure adequate protection n submit basis')","(0.313953488372093, 'representativeness territorial urban organization period high middle ages significance')","(0.3191489361702128, 'representativeness territorial urban organization period high middle ages significance related')","(0.37142857142857144, 'basis above mentioned recommendations significantly revised nomination')","(0.2773722627737226, 'strengthen representativeness territorial urban organization period high middle ages significance related monuments n redefine boundaries')","(0.32173913043478264, 'recommendations significantly revised nomination require expert mission site n n n suggests state party')","(0.28409090909090906, 'mentioned recommendations significantly revised nomination require expert mission site n')","(0.3214285714285714, 'examination nomination naumburg cathedral landscape rivers saale unstrut territories')","(0.36363636363636365, 'adequate protection n submit basis above mentioned recommendations significantly revised')","(0.274074074074074, 'world heritage committee n n examined documents whc com whc com inf n defers examination nomination naumburg')","(0.29230769230769227, 'site taking account concerns put forward icomos ensure adequate protection n submit basis above mentioned recommendations')","(0.3223140495867769, 'icomos ensure adequate protection n submit basis above mentioned recommendations significantly revised nomination require')","(0.34545454545454546, 'significantly revised nomination require expert mission')","(0.27835051546391754, 'world heritage committee n n examined documents whc com whc com inf')","(0.3295454545454546, 'adequate protection n submit basis above mentioned recommendations significantly revised')"
