,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Apr 24, 2017 Cartagena Declaration on the Prevention, Minimization and Recovery of Hazardous Wastes and Other Wastes","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Apr 24, 2017 Cooperation between the Basel Convention and the International Maritime Organization","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0.18518518518518523, 'unep chw unep chw inf')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Apr 24, 2017 Consideration of carbosulfan for listing in Annex III to the Rotterdam Convention","(0.3287671232876712, 'iii convention met encourages parties make use available information')","(0.30147058823529416, 'category carbosulfan pesticide decides requirements set article convention including criteria set annex ii convention referred paragraph')","(0.46153846153846156, 'convention including criteria set annex')","(0.32061068702290074, 'parties noting appreciation work chemical review committee consideration carbosulfan particular technical quality comprehensiveness')","(0.3972602739726028, 'rotterdam convention conference parties noting appreciation work chemical')","(0.3129770992366412, 'parties parties economies transition make informed decisions regarding import management carbosulfan inform parties decisions using')","(0.40909090909090906, 'parties yet able reach')","(0.390625, 'requirements set article convention including criteria set annex')","(0.36046511627906974, 'rc consideration carbosulfan listing annex iii rotterdam convention conference parties')","(0.5142857142857142, 'annex iii convention met encourages')","(0.4181818181818182, 'article convention process listing annex iii convention')","(0.4173913043478261, 'carbosulfan subject prior informed consent procedure accordingly list annex iii rotterdam convention taking account')","(0.3605442176870748, 'annex iii rotterdam convention conference parties noting appreciation work chemical review committee consideration carbosulfan particular technical')","(0.313953488372093, 'ii convention referred paragraph article requirements set paragraph article convention')","(0.33870967741935487, 'include consideration draft decision amend annex iii rotterdam')","(0.33333333333333337, 'guidance document chemical considered recommendation chemical review committee')","(0.34328358208955223, 'article convention including criteria set annex ii convention')","(0.30645161290322576, 'convention process listing annex iii convention met encourages')","(0.4137931034482759, 'iii rotterdam convention taking account conference parties')","(0.32499999999999996, 'rotterdam convention conference parties noting appreciation work chemical review')","(0.32558139534883723, 'ii convention referred paragraph article requirements set paragraph article convention')","(0.4716981132075472, 'convention including criteria set annex ii convention')","(0.3310344827586207, 'rotterdam convention conference parties noting appreciation work chemical review committee consideration carbosulfan particular technical quality')","(0.291970802919708, 'rotterdam convention conference parties noting appreciation work chemical review committee consideration carbosulfan particular technical')","(0.30000000000000004, 'particular developing country parties parties economies transition make informed decisions')","(0.3857142857142857, 'convention process listing annex iii convention met encourages parties')","(0.36046511627906974, 'ii convention referred paragraph article requirements set paragraph article convention')","(0.32258064516129037, 'particular developing country parties parties economies transition make informed decisions regarding import management carbosulfan inform parties decisions')","(0.30534351145038163, 'article convention requirements set first sentence paragraph article convention process listing annex iii convention met encourages')","(0.3652173913043478, 'including criteria set annex ii convention referred paragraph article requirements set paragraph article convention')","(0.4032258064516129, 'chemical review committee consideration carbosulfan particular')","(0.2989690721649485, 'set article convention including criteria set annex ii convention referred paragraph article')","(0.3375, 'article convention including criteria set annex ii convention referred paragraph')"
"Apr 24, 2017 Cooperation with the World Customs Organization and its Harmonized System Committee","(0.28767123287671237, 'conference parties takes note report status work world customs')","(0.273972602739726, 'system committee relevant subcommittees world customs organization order facilitate inclusion wastes covered basel convention harmonized commodity')","(0.3877551020408163, 'basel convention harmonized commodity description')","(0.30833333333333335, 'subcommittees world customs organization order facilitate inclusion wastes covered basel convention harmonized commodity')","(0.35526315789473684, 'cooperation harmonized system committee relevant subcommittees world customs')","(0.34615384615384615, 'basel convention harmonized commodity description coding system report progress implementation present decision open ended working')","(0.4, 'parties takes note report')","(0.3561643835616438, 'facilitate inclusion wastes covered basel convention harmonized commodity')","(0.32608695652173914, 'harmonized commodity description coding system related basel convention requests secretariat')","(0.42500000000000004, 'system related basel convention requests')","(0.38095238095238093, 'related basel convention requests secretariat continue guidance')","(0.28688524590163933, 'basel convention harmonized commodity description coding system report progress implementation present decision open ended')","(0.2941176470588235, 'basel convention harmonized commodity description coding system report progress implementation present decision open ended working group')","(0.35106382978723405, 'basel convention harmonized commodity description coding system report progress implementation')","(0.3026315789473685, 'working group cooperation harmonized system committee relevant subcommittees')","(0.3835616438356164, 'facilitate inclusion wastes covered basel convention harmonized commodity')","(0.2894736842105263, 'working group cooperation harmonized system committee relevant subcommittees')","(0.3076923076923077, 'system report progress implementation present decision open ended')","(0.39682539682539686, 'related basel convention requests secretariat continue guidance')","(0.3375, 'description coding system related basel convention requests secretariat continue')","(0.3375, 'basel convention requests secretariat continue guidance open ended working group')","(0.3833333333333333, 'commodity description coding system related basel convention')","(0.29007633587786263, 'open ended working group cooperation harmonized system committee relevant subcommittees world customs organization order facilitate')","(0.25217391304347825, 'customs organization harmonized system committee conference parties takes note report status work world customs')","(0.25, 'harmonized commodity description coding system related basel convention requests secretariat')","(0.3373493975903614, 'system committee relevant subcommittees world customs organization order facilitate')","(0.35106382978723405, 'basel convention harmonized commodity description coding system report progress implementation')","(0.26973684210526316, 'facilitate inclusion wastes covered basel convention harmonized commodity description coding system report progress implementation present decision open')","(0.2789115646258503, 'facilitate inclusion wastes covered basel convention harmonized commodity description coding system report progress implementation present decision')","(0.30833333333333335, 'open ended working group cooperation harmonized system committee relevant subcommittees world customs organization order')","(0.35185185185185186, 'eleventh meeting conference parties fourteenth meeting')","(0.2702702702702703, 'basel convention harmonized commodity description coding system report progress implementation present decision')","(0.3369565217391305, 'harmonized commodity description coding system related basel convention requests secretariat')"
"Apr 24, 2017 Exemptions","(0.3733333333333333, 'convention reminds parties may wish register specific exemptions acceptable')","(0.30281690140845074, 'noting priority areas action recognized decision sc effectiveness evaluation relate article stockholm convention persistent organic pollutants')","(0.40625, 'b convention reminds parties may')","(0.32173913043478264, 'relevant forms requests secretariat continue maintain update forms registers related information appropriate ensure')","(0.421875, 'convention reminds parties may wish register specific exemptions')","(0.3359375, 'stockholm convention persistent organic pollutants relevant parts annexes b convention encourages parties continue assess timely')","(0.42307692307692313, 'parts annexes b convention')","(0.3650793650793651, 'relevant parts annexes b convention encourages parties continue')","(0.3292682926829268, 'organic pollutants relevant parts annexes b convention encourages parties continue')","(0.46875, 'annex annex b convention reminds')","(0.7692307692307692, 'relate article stockholm convention persistent organic pollutants')","(0.30578512396694213, 'stockholm convention persistent organic pollutants relevant parts annexes b convention encourages parties continue assess')","(0.29104477611940294, 'annex b convention reminds parties may wish register specific exemptions acceptable purposes chemicals occurring constituents articles')","(0.3012048192771084, 'article stockholm convention persistent organic pollutants relevant parts annexes b')","(0.35, 'annex b convention reminds parties may wish register')","(0.3421052631578947, 'evaluation relate article stockholm convention persistent organic pollutants')","(0.34246575342465757, 'article stockholm convention persistent organic pollutants relevant parts')","(0.3076923076923077, 'constituents articles production use chemicals closed system site')","(0.4181818181818182, 'annexes b convention encourages parties continue assess')","(0.3411764705882353, 'information easily accessible parties stakeholders also requests secretariat continue')","(0.37209302325581395, 'convention encourages parties continue assess timely manner need exemptions particular')","(0.4, 'continue maintain update forms registers related information')","(0.328125, 'stockholm convention persistent organic pollutants relevant parts annexes b convention encourages parties continue assess timely')","(0.31404958677685946, 'stockholm convention persistent organic pollutants relevant parts annexes b convention encourages parties continue assess')","(0.2857142857142857, 'conference parties noting priority areas action recognized decision sc effectiveness')","(0.3733333333333333, 'convention encourages parties continue assess timely manner need exemptions')","(0.3448275862068966, 'convention persistent organic pollutants relevant parts annexes b convention encourages')","(0.3087248322147651, 'recognized decision sc effectiveness evaluation relate article stockholm convention persistent organic pollutants relevant parts annexes b convention')","(0.2857142857142857, 'specific exemptions acceptable purposes chemicals occurring constituents articles production use chemicals closed system site limited intermediates')","(0.33333333333333337, 'constituents articles production use chemicals closed system site limited intermediates currently available notify secretariat')","(0.4, 'parts annexes b convention encourages parties')","(0.28828828828828834, 'decision sc effectiveness evaluation relate article stockholm convention persistent organic pollutants relevant')","(0.3975903614457831, 'article stockholm convention persistent organic pollutants relevant parts annexes b')"
"Apr 24, 2017 Clearinghouse mechanism for information exchange","(0.3023255813953488, 'convention biennium also requests secretariat ensure activities undertaken development')","(0.30573248407643316, 'cost effective proportionate balanced line capacity resources secretariat prioritize recurring activities particular respect maintenance implement activities')","(0.42500000000000004, 'budget convention biennium also requests')","(0.3220338983050848, 'mechanism information exchange conference parties welcomes progress made implementation joint clearing house mechanism')","(0.3513513513513513, 'convention biennium also requests secretariat ensure activities undertaken')","(0.295774647887324, 'future activities tools mechanisms invites parties others participate appropriate development strategy relevant activities workplan accordance')","(0.33333333333333337, 'parties welcomes progress made')","(0.3918918918918919, 'united nations languages requests secretariat continue enhance cooperation')","(0.3529411764705882, 'already available six official united nations languages requests secretariat continue')","(0.38888888888888884, 'work budget convention biennium also')","(0.3508771929824561, 'work budget convention biennium also requests secretariat')","(0.2983870967741935, 'existing mechanisms sources information without redo content already contained them possible participate meetings electronic')","(0.33333333333333337, 'united nations languages requests secretariat continue enhance cooperation coordination activities existing partners area information exchange explore')","(0.3023255813953488, 'work budget convention biennium also requests secretariat ensure activities undertaken')","(0.32530120481927716, 'languages requests secretariat continue enhance cooperation coordination activities')","(0.3939393939393939, 'accordance programme work budget convention biennium also requests')","(0.35064935064935066, 'secretariat ensure activities undertaken development clearing house mechanism')","(0.3380281690140845, 'conference parties welcomes progress made implementation joint clearing')","(0.3620689655172413, 'house mechanism cost effective proportionate balanced line')","(0.36904761904761907, 'cost effective proportionate balanced line capacity resources secretariat prioritize')","(0.33684210526315794, 'enhance cooperation coordination activities existing partners area information exchange explore')","(0.41428571428571426, 'cooperation coordination activities existing partners area information')","(0.31506849315068497, 'requests secretariat continue enhance cooperation coordination activities existing partners area information exchange explore possible cooperative')","(0.2857142857142857, 'united nations languages requests secretariat continue enhance cooperation coordination activities existing partners area information')","(0.3267326732673267, 'proportionate balanced line capacity resources secretariat prioritize recurring activities particular')","(0.32558139534883723, 'convention biennium also requests secretariat ensure activities undertaken development')","(0.36458333333333337, 'activities undertaken development clearing house mechanism cost effective proportionate balanced')","(0.31818181818181823, 'convention biennium also requests secretariat ensure activities undertaken development clearing house mechanism cost effective proportionate balanced line')","(0.3087248322147651, 'convention biennium also requests secretariat ensure activities undertaken development clearing house mechanism cost effective proportionate balanced')","(0.3407407407407408, 'mechanisms invites parties others participate appropriate development strategy relevant activities workplan accordance present decision')","(0.36363636363636365, 'house mechanism information exchange conference parties')","(0.2807017543859649, 'explore possible cooperative activities new partners appropriate ensure complementarity avoid duplication existing')","(0.3294117647058824, 'participate meetings electronic means use translations already available six official')"
"Apr 24, 2017 Enhancing the effectiveness of the Rotterdam Convention","(0.36986301369863017, 'convention undertaken put forward date takes note various options')","(0.30487804878048785, 'taking account circumstances particular requirements developing countries countries economies transition particular need strengthen national capabilities capacities')","(0.41860465116279066, 'convention financial rules referred article')","(0.32499999999999996, 'consideration conference parties ninth meeting invites parties nominate representatives participate working group inform')","(0.42105263157894735, 'convention undertaken put forward date takes note various')","(0.3172413793103448, 'effectiveness convention prepare report identifying steps consideration conference parties ninth meeting invites parties nominate representatives')","(0.41666666666666663, 'parties shall make every')","(0.368421052631579, 'rc enhancing effectiveness rotterdam convention conference parties recalling')","(0.3626373626373627, 'note various options enhancing effectiveness rotterdam convention including improving prior')","(0.37735849056603776, 'effectiveness rotterdam convention conference parties')","(0.4137931034482759, 'effectiveness convention undertaken put forward date takes')","(0.42148760330578516, 'including improving prior informed consent procedure improving listing process considering cross cutting issues provision')","(0.323170731707317, 'taking account circumstances particular requirements developing countries countries economies transition particular need strengthen national capabilities capacities')","(0.30107526881720426, 'steps consideration conference parties ninth meeting invites parties nominate representatives')","(0.3666666666666667, 'agreement reached decision shall last resort taken two')","(0.31343283582089554, 'present voting unless otherwise provided convention financial rules')","(0.32835820895522383, 'convention undertaken put forward date takes note various')","(0.33333333333333337, 'actions sent parties june invitation complete survey october')","(0.39655172413793105, 'effectiveness convention undertaken put forward date takes')","(0.35443037974683544, 'also requests secretariat subject availability resources compile results survey')","(0.3595505617977528, 'convention including improving prior informed consent procedure improving listing process')","(0.421875, 'convention financial rules referred article paragraph convention')","(0.32089552238805974, 'participate working group inform secretariat nominations september decides abovementioned working group shall operate electronic means')","(0.3098591549295775, 'prioritized recommendations enhancing effectiveness convention prepare report identifying steps consideration conference parties ninth meeting')","(0.3119266055045872, 'prioritized recommendations enhancing effectiveness convention prepare report identifying steps consideration')","(0.3950617283950617, 'convention including improving prior informed consent procedure improving listing')","(0.37777777777777777, 'convention prepare report identifying steps consideration conference parties ninth meeting')","(0.30000000000000004, 'above set prioritized recommendations enhancing effectiveness convention prepare report identifying steps consideration conference parties ninth meeting invites')","(0.29605263157894735, 'provision technical financial assistance requests secretariat develop online survey gather information priority actions enhance effectiveness convention')","(0.3571428571428571, 'countries countries economies transition particular need strengthen national capabilities capacities management chemicals including transfer')","(0.39583333333333337, 'agreement matters substance consensus if efforts')","(0.2975206611570248, 'countries countries economies transition particular need strengthen national capabilities capacities management chemicals')","(0.3472222222222222, 'group shall operate electronic means open participation non party states')"
"Apr 24, 2017 Environmental Network for Optimizing Regulatory Compliance on Illegal Traffic","(0.3561643835616438, 'convention regional centre arab states located egypt asia pacific')","(0.31677018633540377, 'conference parties encourages members network continue collaborate exchanging experiences providing relevant information undertaking capacity building activities')","(0.4473684210526315, 'convention regional centre arab states')","(0.31313131313131315, 'region basel convention regional centre asia pacific located china central eastern basel convention')","(0.3561643835616438, 'convention regional coordinating centres serve members network fourteenth')","(0.35433070866141736, 'basel convention regional coordinating centres serve members network fourteenth meeting conference parties african region basel')","(0.4, 'parties takes note report')","(0.4032258064516129, 'located china central eastern basel convention regional centre')","(0.36, 'asia pacific located china central eastern basel convention regional centre')","(0.475, 'latin american basel convention regional')","(0.368421052631579, 'parties basel convention serve members network fourteenth')","(0.3214285714285714, 'meeting conference parties encourages members network continue collaborate exchanging experiences providing relevant information undertaking')","(0.36363636363636365, 'representatives basel convention regional coordinating centres serve members network fourteenth meeting conference parties african region basel')","(0.38749999999999996, 'basel convention regional centre central europe european region located slovakia')","(0.35820895522388063, 'meeting conference parties african region basel convention regional')","(0.3666666666666667, 'parties african region basel convention regional centre arab')","(0.3731343283582089, 'basel convention regional centre asia pacific located china')","(0.30645161290322576, 'central europe european region located slovakia latin american')","(0.4117647058823529, 'region basel convention regional centre arab states')","(0.3529411764705882, 'network environmental prosecutors arendal centre global resource information database')","(0.375, 'basel convention regional centre central europe european region located slovakia')","(0.44999999999999996, 'convention regional centre caribbean caribbean region region')","(0.3129251700680272, 'experiences providing relevant information undertaking capacity building activities prevent combat illegal traffic elects following representatives')","(0.28682170542635654, 'gurguliani georgia designates following four representatives basel convention regional coordinating centres serve members network')","(0.2875, 'basel convention regional centre asia pacific located china central eastern')","(0.3580246913580247, 'convention regional coordinating centres serve members network fourteenth meeting')","(0.3924050632911392, 'central eastern basel convention regional centre central europe european region')","(0.32592592592592595, 'mr serge molly allo o gabon asia pacific states mr renato tantoco cruz philippines latin american caribbean')","(0.36923076923076925, 'regional centre asia pacific located china central eastern basel convention regional centre central europe european region')","(0.4049586776859504, 'basel convention regional coordinating centres serve members network fourteenth meeting conference parties african region')","(0.4545454545454546, 'australia central eastern european states ms')","(0.2792792792792793, 'prosecutors arendal centre global resource information database additional members network requests secretariat')","(0.3291139240506329, 'central europe european region located slovakia latin american basel convention')"
"Apr 24, 2017 Listing of carbofuran in Annex III to the Rotterdam Convention","(0.3561643835616438, 'convention met decides amend annex iii rotterdam convention list')","(0.2692307692307693, 'pesticides international trade pesticide satisfied requirements listing annex iii rotterdam convention met decides amend annex iii')","(0.4883720930232558, 'convention list following chemical chemical')","(0.30927835051546393, 'iii rotterdam convention met decides amend annex iii rotterdam convention list following chemical')","(0.4285714285714286, 'convention conference parties noting appreciation work chemical review')","(0.33834586466165417, 'accordingly list annex iii rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides international')","(0.3142857142857143, 'approves decision guidance document')","(0.3728813559322034, 'decides amend annex iii rotterdam convention list following')","(0.3375, 'procedure accordingly list annex iii rotterdam convention prior informed consent')","(0.5, 'iii rotterdam convention met decides')","(0.3770491803278688, 'rotterdam convention prior informed consent procedure certain')","(0.8888888888888888, 'iii rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides international trade pesticide')","(0.3082191780821918, 'iii rotterdam convention conference parties noting appreciation work chemical review committee considered recommendation chemical review committee')","(0.34375, 'convention prior informed consent procedure certain hazardous chemicals pesticides international')","(0.3246753246753247, 'committee considered recommendation chemical review committee make carbofuran')","(0.31343283582089554, 'carbofuran annex iii rotterdam convention conference parties noting')","(0.32835820895522383, 'iii rotterdam convention prior informed consent procedure certain')","(0.2857142857142857, 'procedure accordingly list annex iii rotterdam convention prior')","(0.4385964912280702, 'iii rotterdam convention prior informed consent procedure')","(0.3580246913580247, 'pesticides international trade pesticide satisfied requirements listing annex iii')","(0.41758241758241754, 'pesticides international trade pesticide satisfied requirements listing annex iii rotterdam')","(0.39344262295081966, 'convention prior informed consent procedure certain hazardous')","(0.32592592592592595, 'annex iii rotterdam convention conference parties noting appreciation work chemical review committee considered recommendation chemical')","(0.2857142857142857, 'noting appreciation work chemical review committee considered recommendation chemical review committee make carbofuran subject')","(0.306930693069307, 'procedure certain hazardous chemicals pesticides international trade pesticide satisfied requirements')","(0.48750000000000004, 'convention conference parties noting appreciation work chemical review committee')","(0.36458333333333337, 'convention prior informed consent procedure certain hazardous chemicals pesticides international')","(0.29452054794520544, 'informed consent procedure accordingly list annex iii rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides')","(0.2857142857142857, 'parties noting appreciation work chemical review committee considered recommendation chemical review committee make carbofuran subject prior')","(0.3787878787878788, 'convention conference parties noting appreciation work chemical review committee considered recommendation chemical review committee')","(0.36734693877551017, 'relevant cas number category carbofuran pesticide')","(0.3090909090909091, 'iii rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides international')","(0.306930693069307, 'procedure certain hazardous chemicals pesticides international trade pesticide satisfied requirements')"
"Apr 24, 2017 From science to action","(0.34065934065934067, 'chemicals pesticides international trade stockholm convention persistent organic pollutants')","(0.31506849315068497, 'conventions encourages parties stakeholders initiate action promote science based decision making action implementation conventions national level')","(0.4864864864864865, 'conventions national level takes note')","(0.3137254901960784, 'meetings conferences parties three conventions invites parties others submit comments revised road map')","(0.36, 'conventions encourages parties stakeholders initiate action promote science')","(0.4285714285714286, 'ensure science based work decision making basel convention control transboundary movements hazardous wastes disposal rotterdam')","(0.4, 'parties three conventions next')","(0.4155844155844156, 'united nations environment programme relevant organizations scientific bodies')","(0.3979591836734694, 'certain hazardous chemicals pesticides international trade stockholm convention persistent organic')","(0.4444444444444444, 'making basel convention control transboundary')","(0.78125, 'stockholm convention persistent organic pollutants welcomes work')","(0.875, 'wastes disposal rotterdam convention prior informed consent procedure certain hazardous chemicals pesticides international trade')","(0.3464052287581699, 'united nations environment programme relevant organizations scientific bodies stakeholders strengthen science policy interface report conferences parties')","(0.8222222222222222, 'decision making basel convention control transboundary movements hazardous wastes disposal')","(0.32499999999999996, 'resources collaboration regional centres appropriate undertake capacity building')","(0.36363636363636365, 'making action implementation conventions national level takes note')","(0.3804347826086957, 'implementation conventions requests secretariat subject availability resources collaboration')","(0.3114754098360656, 'work regard emphasizes importance of need enhance interaction')","(0.4098360655737705, 'rotterdam convention prior informed consent procedure certain')","(0.38095238095238093, 'international trade stockholm convention persistent organic pollutants welcomes work')","(0.3902439024390244, 'conventions nominate bureau representatives four experts per united nations region')","(0.4029850746268657, 'conventions next meetings requests secretariat cooperate coordinate')","(0.31034482758620685, 'report conferences parties meetings implementation present decision unep chw inf unep fao rc cop inf')","(0.3308270676691729, 'engaging parties stakeholders informed dialogue enhanced science based action implementation conventions requests secretariat subject')","(0.28846153846153844, 'requests secretariat subject availability resources collaboration regional centres appropriate undertake')","(0.3466666666666667, 'conventions nominate bureau representatives four experts per united nations')","(0.3902439024390244, 'conventions nominate bureau representatives four experts per united nations region')","(0.3411764705882353, 'parties stakeholders informed dialogue enhanced science based action implementation conventions requests secretariat subject availability resources collaboration regional')","(0.32191780821917804, 'enhance interaction scientists policymakers actors policy process promote exchange development joint construction knowledge aim achieving informed')","(0.368421052631579, 'three conventions next meetings requests secretariat cooperate coordinate united nations environment programme relevant organizations')","(0.39622641509433965, 'exchange development joint construction knowledge aim')","(0.5238095238095238, 'work decision making basel convention control transboundary movements hazardous wastes disposal rotterdam')","(0.34408602150537637, 'stockholm convention persistent organic pollutants welcomes work regard emphasizes importance')"
