,Convention on Wetlands of International Importance especially as Waterfowl Habitat,Nagoya Protocol on Access to Genetic Resources and their Fair and Equitable Sharing of Benefits Arising from their Utilization to the Convention on Biological Diversity,Convention on Biological Diversity,"Agreement on the Conservation of Small Cetaceans of the Baltic, North East Atlantic, Irish and North Seas",Convention on the Conservation of Migratory Species of Wild Animals,Bamako Convention on the Ban of the Import into Africa and the Control of Transboundary Movement and Management of Hazardous Wastes within Africa,Paris Agreement,United Nations Framework Convention on Climate Change,Kyoto Protocol to the United Nations Framework Convention on Climate Change,Minamata Convention on Mercury,Stockholm Convention on Persistent Organic Pollutants,Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade,"United Nations Convention to Combat Desertification in those Countries Experiencing Serious Drought and/or Desertification, particulary in Africa",Basel Convention on the Control of Transboundary Movements of Hazardous Wastes and their Disposal,Agreement on the Conservation of African-Eurasian Migratory Waterbirds,Cartagena Protocol on Biosafety to the Convention on Biological Diversity,Framework Convention on the Protection and Sustainable Development of the Carpathians,Montreal Protocol on Substances that Deplete the Ozone Layer,Vienna Convention for the Protection of the Ozone Layer,International Treaty on Plant Genetic Resources for Food and Agriculture,Convention on International Trade in Endangered Species of Wild Fauna and Flora,Convention for the Protection of the Mediterranean Sea against Pollution,"Protocol concerning cooperation in preventing pollution from ships and, in cases of emergency combating pollution of the Mediterranean Sea",Protocol for the protection of the Mediterranean Sea against pollution resulting from exploration and exploitation of the continental shelf and the seabed and its subsoil,Protocol Concerning Specially Protected Areas and Biological Diversity in the Mediterranean,Convention concerning the Protection of the World Cultural and Natural Heritage,Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol concerning Pollution from Land-Based sources and activities to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Protocol Concerning Specially Protected Areas and Wildlife to the Convention for the Protection and Development of the Marine Environment of the Wider Caribbean Region,Convention for Co-operation in the Protection and Development of the Marine and Coastal Environment of the West and Central African Region,Agreement on the Conservation of European Bats,Protocol on the Prevention of Pollution of the Mediterranean Sea by Transboundary Movements of Hazardous Wastes and their Disposal,Protocol for the Protection of the Mediterranean Sea against Pollution from Land-Based Sources
"Jul 17, 2019 Multiyear workplans of the Convention institutions and subsidiary bodies","(0.15068493150684936, 'c g e c f e c f c')","(0.16935483870967738, 'j e b e c f e c k g g e c g e c')","(0.16129032258064513, 'j e b e c')","(0.20731707317073167, 'g g e c g e c f e c f c f')","(0.16666666666666663, 'e c k g g e c g')","(0.16666666666666663, 'e c k g g e c g e c f e c f c')","(0, '')","(0.19999999999999996, 'j e b e c f e c')","(0.18461538461538463, 'j e b e c f e c k g')","(0.18518518518518523, 'j e b e c')","(0.16000000000000003, 'f c e q r e u')","(0.1696428571428571, 'c f e c f c f e f c e q r e')","(0.1705426356589147, 'j e b e c f e c k g g e c g e c')","(0.16216216216216217, 'b e c f e c k g g e')","(0.16666666666666663, 'g e c g e c f e')","(0.18333333333333335, 'c g e c f e c f')","(0.14925373134328357, 'j e b e c f e c')","(0.1875, 'g e c g e c f e')","(0.22499999999999998, 'e c g e c f e')","(0.19672131147540983, 'g e c g e c f e c')","(0.18181818181818177, 'g e c g e c f e c f')","(0.18367346938775508, 'c e q r e u v')","(0.15517241379310343, 'j e b e c f e c k g g e c g e')","(0.15652173913043477, 'c e q r e u v q w x r q e v')","(0.16249999999999998, 'k g g e c g e c f e')","(0.1875, 'e c f e c f c f e')","(0.17333333333333334, 'c f e c k g g e c g')","(0.1703703703703704, 'c g e c f e c f c f e f c e q r e')","(0.17692307692307696, 'c g e c f e c f c f e f c e q r')","(0.19801980198019797, 'g g e c g e c f e c f c f e')","(0.19444444444444442, 'g e c g e c')","(0.1649484536082474, 'c e q r e u v q w x r q')","(0.1515151515151515, 'j e b e c f e c k g')"
"Jul 17, 2019 Participation and involvement of civil society organizations in meetings and processes of the United Nation","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')","(0, '')"
"Jul 17, 2019 Participation and involvement of  the private sector in meetings and processes of the United Nations Conven","(0.12328767123287676, 'e f g h j f k h k')","(0.15322580645161288, 'b c e f g h j f k h k f l k k h')","(0.16129032258064513, 'c e f g h')","(0.1585365853658537, 'b c e f g h j f k h k f l')","(0.14814814814814814, 'b c e f g h j f')","(0.15740740740740744, 'l k k h k f f f n p q r k f f')","(0.19999999999999996, 'p q r k')","(0.16000000000000003, 'k h k f l k k h')","(0.15384615384615385, 'b c e f g h j f k h')","(0.14814814814814814, 'b c e f g')","(0.14, 'b c e f g h j')","(0.1339285714285714, 'b c e f g h j f k h k f l k')","(0.1472868217054264, 'k f f f n p q r k f f f p f f h')","(0.1351351351351351, 'b c e f g h j f k h')","(0.1333333333333333, 'b c e f g h j f')","(0.1333333333333333, 'b c e f g h j f')","(0.13432835820895528, 'k f f f n p q r')","(0.16666666666666663, 'k f f f n p q r')","(0.17500000000000004, 'f f f n p q r')","(0.14754098360655743, 'b c e f g h j f k')","(0.16666666666666663, 'f f n p q r k f f f')","(0.1428571428571429, 'f n p q r k f')","(0.13793103448275867, 'b c e f g h j f k h k f l k k')","(0.13043478260869568, 'p q r k f f f p f f h h f p')","(0.125, 'f f n p q r k f f f')","(0.140625, 'e f g h j f k h k')","(0.1333333333333333, 'f f n p q r k f f f')","(0.1333333333333333, 'l k k h k f f f n p q r k f f f p')","(0.1384615384615384, 'l k k h k f f f n p q r k f f f')","(0.14851485148514854, 'f f n p q r k f f f p f f h')","(0.13888888888888884, 'b c e f g h')","(0.12371134020618557, 'b c e f g h j f k h k f')","(0.13636363636363635, 'k h k f f f n p q r')"
"Jul 17, 2019 Programme of work for the fourteenth session of the Committee on Science and Technology","(0.136986301369863, 'h h j n p k l w k')","(0.14516129032258063, 'b c e f g h h h j n p k l w k l')","(0.16129032258064513, 'c e f g h')","(0.1707317073170732, 'b c e f g h h h j n p k l')","(0.14814814814814814, 'b c e f g h h h')","(0.15740740740740744, 'b c e f g h h h j n p k l w k')","(0.1333333333333333, 'p k l w')","(0.18000000000000005, 'k l k c b c g c')","(0.16923076923076918, 'j n p k l w k l k c')","(0.14814814814814814, 'b c e f g')","(0.16000000000000003, 'h h j n p k l')","(0.1428571428571429, 'b c e f g h h h j n p k l w')","(0.13953488372093026, 'b c e f g h h h j n p k l w k l')","(0.14864864864864868, 'b c e f g h h h j n')","(0.1333333333333333, 'b c e f g h h h')","(0.15000000000000002, 'k l k c b c g c')","(0.13432835820895528, 'l w k l k c b c')","(0.1875, 'j n p k l w k l')","(0.17500000000000004, 'h h j n p k l')","(0.16393442622950816, 'l w k l k c b c g')","(0.16666666666666663, 'h h j n p k l w k l')","(0.1428571428571429, 'n p k l w k l')","(0.15517241379310343, 'b c e f g h h h j n p k l w k')","(0.13043478260869568, 'b c e f g h h h j n p k l w')","(0.13749999999999996, 'j n p k l w k l k c')","(0.15625, 'j n p k l w k l k')","(0.1333333333333333, 'b c e f g h h h j n')","(0.14074074074074072, 'b c e f g h h h j n p k l w k l k')","(0.1384615384615384, 'b c e f g h h h j n p k l w k l')","(0.16831683168316836, 'n p k l w k l k c b c g c e')","(0.13888888888888884, 'b c e f g h')","(0.12371134020618557, 'b c e f g h h h j n p k')","(0.16666666666666663, 'j n p k l w k l k c')"
"Jul 17, 2019 Programme of work for the fifteenth session of the Committee for the Review if the Implementation of the Co","(0.12328767123287676, 'b c h e p h b b c')","(0, '')","(0.16129032258064513, 'h b b c e')","(0, '')","(0.12962962962962965, 'b c h e p h b b')","(0, '')","(0.1333333333333333, 'p h b b')","(0.16000000000000003, 'h e p h b b c e')","(0.16923076923076918, 'b c h e p h b b c e')","(0.14814814814814814, 'b c h e p')","(0.16000000000000003, 'b c h e p h b')","(0, '')","(0, '')","(0.14864864864864868, 'b c h e p h b b c e')","(0.1333333333333333, 'b c h e p h b b')","(0.16666666666666663, 'h e p h b b c e')","(0.13432835820895528, 'b c h e p h b b')","(0.1875, 'h e p h b b c e')","(0.17500000000000004, 'b c h e p h b')","(0.16393442622950816, 'h e p h b b c e g')","(0.13636363636363635, 'b c h e p h b b c e')","(0.1428571428571429, 'b c h e p h b')","(0, '')","(0, '')","(0.15000000000000002, 'b c h e p h b b c e')","(0.15625, 'h e p h b b c e g')","(0.16000000000000003, 'b c h e p h b b c e')","(0, '')","(0, '')","(0, '')","(0.16666666666666663, 'b c h e p h')","(0.134020618556701, 'b c h e p h b b c e g h')","(0.18181818181818177, 'b c h e p h b b c e')"
"Jul 17, 2019 Outcomes of the UNCCD 3rd Scientific Conference","(0.1643835616438356, 'c r c r e e r h h')","(0.18548387096774188, 'h h r c c r e c r c r g r c c r')","(0.19354838709677424, 'c r e c r')","(0.2195121951219512, 'c r c r g r c c r c r e e')","(0.18518518518518523, 'c r e g c e h e')","(0.19444444444444442, 'b c e f g h l f c r e g c e h')","(0.2666666666666667, 'p q g e')","(0.19999999999999996, 'c r e g c e h e')","(0.19999999999999996, 'l f c r e g c e h e')","(0.18518518518518523, 'g c e h e')","(0.19999999999999996, 'u v e e r c u')","(0.1964285714285714, 'c r e c r c r g r c c r c r')","(0.18604651162790697, 'h h r c c r e c r c r g r c c r')","(0.17567567567567566, 'r c c r c r e e r h')","(0.19999999999999996, 'e c r c r g r c')","(0.18333333333333335, 'l f c r e g c e')","(0.17910447761194026, 'c r c r e e r h')","(0.20833333333333337, 'e r c u k v g e')","(0.22499999999999998, 'v e e r c u k')","(0.19672131147540983, 'r c c r e c r c r')","(0.19696969696969702, 'c r e g c e h e g h')","(0.20408163265306123, 'c r c r e e r')","(0.18965517241379315, 'c r c r g r c c r c r e e r h')","(0.16521739130434787, 'c c r c r e e r h h g h e h')","(0.19999999999999996, 'r c c r e c r c r g')","(0.203125, 'v e e r c u k v g')","(0.18666666666666665, 'r c c r e c r c r g')","(0.1777777777777778, 'c r e c r c r g r c c r c r e e r')","(0.1923076923076923, 'c r e c r c r g r c c r c r e e')","(0.20792079207920788, 'c r e c r c r g r c c r c r')","(0.2222222222222222, 'r c r e e r')","(0.1649484536082474, 'c c r c r e e r h h g h')","(0.19696969696969702, 'l f c r e g c e h e')"
"Jul 17, 2019 Promoting the analysis, dissemination and accessibility of best practices and the UNCCD Knowledge Hub","(0.17808219178082196, 'b e l r e e e k b')","(0.17741935483870963, 'l r e e e k b b b e v k b e n e')","(0.19354838709677424, 'n e b b e')","(0.20731707317073167, 'r e e e k b b b e v k b e')","(0.14814814814814814, 'b c b e f e g h')","(0.17592592592592593, 'b c b e f e g h e e k e k b p')","(0.1333333333333333, 'p q b b')","(0.19999999999999996, 'b e l r e e e k')","(0.18461538461538463, 'b c b e f e g h e e')","(0.18518518518518523, 'k b e n e')","(0.16000000000000003, 'c b e f e g h')","(0.1607142857142857, 'b c b e f e g h e e k e k b')","(0.15503875968992253, 'b c b e f e g h e e k e k b p q')","(0.18918918918918914, 'b e n e b b e k e k')","(0.16666666666666663, 'b c b e f e g h')","(0.16666666666666663, 'b c b e f e g h')","(0.14925373134328357, 'e e k e k b p q')","(0.22916666666666663, 'b e l r e e e k')","(0.22499999999999998, 'b e l r e e e')","(0.180327868852459, 'b e l r e e e k b')","(0.19696969696969702, 'b e l r e e e k b b')","(0.16326530612244894, 'e e k e k b p')","(0.1724137931034483, 'r e e e k b b b e v k b e n e')","(0.16521739130434787, 'b c b e f e g h e e k e k b')","(0.17500000000000004, 'l r e e e k b b b e')","(0.171875, 'b b b e l r e e e')","(0.18666666666666665, 'b e l r e e e k b b')","(0.1703703703703704, 'l r e e e k b b b e v k b e n e b')","(0.18461538461538463, 'l r e e e k b b b e v k b e n e')","(0.17821782178217827, 'e k e k b p q b b b e l r e')","(0.2222222222222222, 'r e e e k b')","(0.15463917525773196, 'b e l r e e e k b b b e')","(0.21212121212121215, 'l r e e e k b b b e')"
"Jul 17, 2019 Promotion and strengthening of relationships with other relevant conventions and international organization","(0.15068493150684936, 'v w b h n e z f g')","(0.15322580645161288, 'k l n l f u q j h j v w b h n e')","(0.12903225806451613, 'k l n l f')","(0.1707317073170732, 'l f u q j h j v w b h n e')","(0.14814814814814814, 'n e z f g h j k')","(0.16666666666666663, 'k l n l f u q j h j v w b h n')","(0, '')","(0.16000000000000003, 'n l f u q j h j')","(0.18461538461538463, 'k l n l f u q j h j')","(0.14814814814814814, 'l n l f u')","(0.16000000000000003, 'k l n l f u q')","(0.1428571428571429, 'j v w b h n e z f g h j k e')","(0.1472868217054264, 'h j v w b h n e z f g h j k e f')","(0.14864864864864868, 'k l n l f u q j h j')","(0.1333333333333333, 'k l n l f u q j')","(0.1333333333333333, 'k l n l f u q j')","(0.11940298507462688, 'k l n l f u q j')","(0.1875, 'v w b h n e z f')","(0.17500000000000004, 'j v w b h n e')","(0.16393442622950816, 'v w b h n e z f g')","(0.16666666666666663, 'v w b h n e z f g h')","(0.1428571428571429, 'v w b h n e z')","(0.14655172413793105, 'k l n l f u q j h j v w b h n')","(0.13913043478260867, 'b h n e z f g h j k e f l j')","(0.125, 'k l n l f u q j h j')","(0.15625, 'k l n l f u q j h')","(0.16000000000000003, 'q j h j v w b h n e')","(0.15555555555555556, 'k l n l f u q j h j v w b h n e z')","(0.15384615384615385, 'k l n l f u q j h j v w b h n e')","(0.15841584158415845, 'q j h j v w b h n e z f g h')","(0.13888888888888884, 'l n l f u q')","(0.134020618556701, 'k l n l f u q j h j v w')","(0.1515151515151515, 'k l n l f u q j h j')"
"Jul 17, 2019 Programme of work for the thirteenth session of the Conference of the Parties","(0.17808219178082196, 'e c e f c p l e b')","(0.17741935483870963, 'l b l c c l p q r z b z l e b l')","(0.22580645161290325, 'c b l c e')","(0.2195121951219512, 'e l l c c v q l r h c l e')","(0.20370370370370372, 'v q r g c e f l')","(0.18518518518518523, 'b c v q r c c c b e l l c c v')","(0.19999999999999996, 'p q r c')","(0.21999999999999997, 'l f e n k e c c')","(0.2153846153846154, 'j k l f e n k e c c')","(0.18518518518518523, 'b c e f c')","(0.18000000000000005, 'c c p q r c h')","(0.1785714285714286, 'q r u f c f e c e f c p l e')","(0.16279069767441856, 'l b c c b l u c v q r g c e f l')","(0.17567567567567566, 'b l v q r b l l b l')","(0.18333333333333335, 'e c e f c p l e')","(0.18333333333333335, 'r c l b c c b l')","(0.16417910447761197, 'r v q r l b l c')","(0.22916666666666663, 'r c l b c c b l')","(0.22499999999999998, 'l e p v c e l')","(0.19672131147540983, 'r c l b c c b l u')","(0.19696969696969702, 'v q r g c e f l v q')","(0.18367346938775508, 'e p v c e l l')","(0.1637931034482759, 'b c e f c g h c j k l f e n k')","(0.16521739130434787, 'l c c l p q r z b z l e b l')","(0.17500000000000004, 'r g c e f l v q r b')","(0.1875, 'k e c c p q r c h')","(0.17333333333333334, 'c c b l u c v q r g')","(0.1777777777777778, 'r c c c b e l l c c v q l r h c l')","(0.18461538461538463, 'r c c c b e l l c c v q l r h c')","(0.19801980198019797, 'c c v q l r h c l e p v c e')","(0.19444444444444442, 'r v q r l b')","(0.15463917525773196, 'q l r h c l e p v c e l')","(0.21212121212121215, 'r c c c b e l l c c')"
"Jul 17, 2019 Policy advocacy on drought","(0.1643835616438356, 'c q l c e p r p c')","(0.17741935483870963, 'c c c c c n k h b g g b k c c c')","(0.19354838709677424, 'c q l c e')","(0.2195121951219512, 'g b e n c c c h h c h c h')","(0.18518518518518523, 'c c e h c n n h')","(0.20370370370370372, 'b g b b g b c c n n n h c h c')","(0.19999999999999996, 'p r p c')","(0.21999999999999997, 'b b r c n c c g')","(0.19999999999999996, 'b b b b r c n c c g')","(0.2222222222222222, 'n n n h c')","(0.19999999999999996, 'q l c e p r p')","(0.1696428571428571, 'b c c n c c c c c c k c k k')","(0.16279069767441856, 'c c c c c n k h b g g b k c c c')","(0.17567567567567566, 'c c e h c n n h h b')","(0.18333333333333335, 'r c n c c g b g')","(0.16666666666666663, 'c c e h c n n h')","(0.16417910447761197, 'c c e h c n n h')","(0.1875, 'c q l c e p r p')","(0.19999999999999996, 'c c e h c n n')","(0.180327868852459, 'c q l c e p r p c')","(0.18181818181818177, 'c q l c e p r p c n')","(0.18367346938775508, 'c e p r p c n')","(0.18103448275862066, 'c c e h c n n h h b g g f b b')","(0.17391304347826086, 'r p c n j k g b h l f b b b')","(0.17500000000000004, 'r c n c c g b g b b')","(0.1875, 'c c e h c n n h h')","(0.17333333333333334, 'e h c n n h h b g g')","(0.1777777777777778, 'b c c n c c c c c c k c k k c b g')","(0.16923076923076918, 'h c p j c q l c e p r p c n j k')","(0.18811881188118806, 'c c n n n h c h c j c h c c')","(0.19444444444444442, 'e h c n n h')","(0.14432989690721654, 'c e p r p c n j k g b h')","(0.18181818181818177, 'c c e h c n n h h b')"
